age_CE,KR0118B_raw,KR0119A_raw,KR0120A_raw,KR0121B_raw,KR0122B_raw,KR0123B_raw,KR0124B_raw,KR0125A_raw,KR0126B_raw,KR0128A_raw,KR0129B_raw,KR0130B_raw,KR0133B_raw,KR0135B_raw,KR0137B_raw,KR0140A_raw,KR0141B_raw,KR0142B_raw,KR0143A_raw,KR0144A_raw,KR0149A_raw,KR0150A_raw,KR0151B_raw,KR0152B_raw,KR0154A_raw,KR0155B_raw,KR0156B_raw,KR0118B_raw_outlier_flag,KR0119A_raw_outlier_flag,KR0120A_raw_outlier_flag,KR0121B_raw_outlier_flag,KR0122B_raw_outlier_flag,KR0123B_raw_outlier_flag,KR0124B_raw_outlier_flag,KR0125A_raw_outlier_flag,KR0126B_raw_outlier_flag,KR0128A_raw_outlier_flag,KR0129B_raw_outlier_flag,KR0130B_raw_outlier_flag,KR0133B_raw_outlier_flag,KR0135B_raw_outlier_flag,KR0137B_raw_outlier_flag,KR0140A_raw_outlier_flag,KR0141B_raw_outlier_flag,KR0142B_raw_outlier_flag,KR0143A_raw_outlier_flag,KR0144A_raw_outlier_flag,KR0149A_raw_outlier_flag,KR0150A_raw_outlier_flag,KR0151B_raw_outlier_flag,KR0152B_raw_outlier_flag,KR0154A_raw_outlier_flag,KR0155B_raw_outlier_flag,KR0156B_raw_outlier_flag
1974,0.6,0.62,0.46,0.64,0.49,1.09,0.19,0.11,0.56,0.2,1.49,0.79,0.4,0.7,0.25,1.08,1.23,0.89,1.52,0.25,0.16,0.46,0.76,0.76,0.37,0.84,0.57,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1975,0.6,0.58,0.49,0.55,0.56,1.22,0.33,0.16,0.66,0.21,1.05,0.72,0.43,0.76,0.34,1.22,1.22,1.69,1.49,0.22,0.19,0.42,0.61,1.04,0.45,0.8,0.78,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1976,0.71,0.51,0.41,0.48,0.5,1.26,0.37,0.09,0.55,0.13,1.4,0.62,0.5,1.02,0.27,1.71,1.3,1.52,1.25,0.16,0.16,0.39,0.73,1.01,0.42,0.61,0.82,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1977,1.14,0.94,0.83,1.06,0.99,1.01,0.54,0.27,1.19,0.36,1.87,0.97,0.71,1.29,0.41,1.73,1.88,2.14,1.53,0.45,0.35,0.68,1.1,1.3,0.6,1.1,1.22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1978,0.81,0.69,0.47,1.04,0.82,1.31,0.39,0.15,0.41,0.23,1.41,0.64,0.59,0.86,0.13,1.25,1.35,1.83,1.1,0.33,0.12,0.42,0.79,0.89,0.47,0.78,0.85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1979,1.15,0.71,0.55,1,0.9,1.17,0.36,0.17,0.57,0.24,1.59,0.53,0.6,1.02,0.24,1.38,1.45,1.97,1.66,0.4,0.17,0.55,0.85,0.5,0.46,0.9,1.05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1980,1.1,0.63,0.38,0.75,0.75,1.14,0.31,0.15,0.52,0.12,1.82,0.3,0.42,1.26,0.21,1.6,1.85,2.17,1.79,0.4,0.27,0.5,1.02,0.95,0.4,0.76,0.93,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1981,1.26,0.84,0.67,0.87,0.92,1.19,0.39,0.21,0.54,0.19,1.66,0.38,0.59,1.19,0.28,1.44,1.84,2.1,2.03,0.48,0.47,0.55,1.15,0.97,0.52,0.96,1.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1982,1.03,0.64,0.51,0.7,0.77,0.85,0.23,0.12,0.39,0.17,1.4,0.48,0.37,0.86,0.15,0.92,1.17,0.79,1.36,0.38,0.11,0.41,0.93,0.53,0.3,0.78,0.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1983,0.81,0.43,0.41,0.53,0.68,0.65,0.27,0.08,0.34,0.17,1.33,0.39,0.21,0.98,0.32,1.17,1.26,1.1,1.48,0.29,0.13,0.36,1.09,0.64,0.27,0.83,0.47,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1984,1.1,0.64,0.71,0.73,0.76,0.84,0.47,0.13,0.35,0.26,1.33,0.51,0.5,0.98,0.32,1.89,1.67,2.11,2.21,0.52,0.29,0.58,0.89,0.96,0.65,0.95,0.95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,0.97,0.71,0.74,0.78,0.61,0.68,0.57,0.1,0.38,0.31,1.75,0.39,0.44,0.93,0.23,1.83,1.51,1.56,1.58,0.44,0.27,0.53,0.73,1,0.55,0.79,0.89,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1986,1.05,0.67,0.57,0.55,0.49,0.69,0.51,0.11,0.41,0.21,1.68,0.25,0.44,0.93,0.13,2.11,1.08,0.73,1.54,0.36,0.25,0.5,0.62,1.09,0.5,0.71,0.76,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1987,1.1,0.61,0.49,0.54,0.45,0.78,0.56,0.16,0.33,0.19,1.86,0.25,0.37,0.77,0.19,2.97,1.24,1.03,1.95,0.36,0.22,0.53,0.61,0.99,0.5,0.98,0.86,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1988,0.53,0.61,0.41,0.33,0.35,0.5,0.33,0.08,0.38,0.12,1.3,0.25,0.29,0.58,0.26,2.55,1.2,0.89,1.88,0.29,0.23,0.41,0.42,0.93,0.58,0.8,0.83,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1989,0.78,0.64,0.45,0.5,0.36,0.7,0.42,0.13,0.36,0.12,1.28,0.25,0.46,0.74,0.05,2.62,0.9,1.2,1.72,0.33,0.21,0.48,0.46,1.13,0.77,0.73,0.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1990,0.71,0.65,0.67,0.63,0.52,0.55,0.43,0.25,0.47,0.2,1.39,0.31,0.44,0.76,0.29,2.42,1.52,2.27,2.69,0.36,0.44,0.67,0.67,1.06,0.8,0.78,0.94,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
