"","State","Species","Band","Pair","Comp","Tag","PairUn","Lat","Long","Elev","Aspect","Slope","DBH","Bark","Height","BA_totLR","BA_totLRsc","in5_tot","in5_totsc","N_Cr","N_Crsc","ACF","ACFsc","BAI10yr"
"31","CO","ABLA","L",1,"H","ABLA-L-01H","L1",37.47528,108.16043,3060,"SSW",15,40.5,1.3,19,330,2.122829167,12,1.113891963,6,1.964354228,0.5,-1.091388297,1115.937061
"32","CO","ABLA","L",1,"L","ABLA-L-01L","L1",37.47547,108.16011,3060,"SW",15,34.6,1.4,13.311,70,-1.090249909,2,-0.855661606,2,-0.361854726,1,1.370245236,3079.162804
"33","CO","ABLA","L",2,"H","ABLA-L-02H","L2",37.47612,108.15976,3073,"S",10,40.7,1.3,21.607,210,0.639869594,9,0.523025892,5,1.38280199,0.586800574,-0.66404589,2187.599665
"34","CO","ABLA","L",2,"L","ABLA-L-02L","L2",37.47634,108.16026,3076,"SW",6,43.3,1.5,22,110,-0.595930051,4,-0.461750892,2,-0.361854726,0.765,0.213277475,2256.934421
"35","CO","ABLA","L",3,"H","ABLA-L-03H","L3",37.47689,108.15817,3073,"SW",40,25.3,1,22.117,220,0.763449558,8,0.326070535,5,1.38280199,0.49961568,-1.093280405,531.6645943
"36","CO","ABLA","L",3,"L","ABLA-L-03L","L3",37.47723,108.15843,3093,"SW",20,33.2,1.3,24,60,-1.213829873,0,-1.24957232,0,-1.524959204,1,1.370245236,849.1708642
"37","CO","ABLA","L",4,"H","ABLA-L-04H","L4",37.47802,108.15924,3093,"WSW",15,34,1,22.5,160,0.021969771,8,0.326070535,5,1.38280199,0.386666667,-1.649358564,707.0270449
"38","CO","ABLA","L",4,"L","ABLA-L-04L","L4",37.4782,108.15935,3091,"WSW",15,48.5,1.3,23.75,120,-0.472350086,2,-0.855661606,0,-1.524959204,0.263157895,-2.257425233,1437.177162
"39","CO","ABLA","L",5,"H","ABLA-L-05H","L5",37.47926,108.15854,3102,"SW",5,28.1,0.9,20.46,160,0.021969771,9,0.523025892,5,1.38280199,0.476344086,-1.207852679,1004.369648
"40","CO","ABLA","L",5,"L","ABLA-L-05L","L5",37.47939,108.15802,3099,"SW",5,28.5,1.2,21.33,170,0.145549736,3,-0.658706249,2,-0.361854726,0.569620253,-0.748629197,1018.049313
"41","CO","ABLA","L",6,"H","ABLA-L-06H","L6",37.4731,108.15221,3075,"S",10,58.5,2,28.334,140,-0.225190157,8,0.326070535,3,0.219697512,0.646608315,-0.369596408,4289.558336
"42","CO","ABLA","L",6,"L","ABLA-L-06L","L6",37.47309,108.15238,3081,"S",10,50,1.5,24.969,110,-0.595930051,1,-1.052616963,1,-0.943406965,0.860627178,0.68407561,3341.76612
"43","CO","ABLA","L",7,"H","ABLA-L-07H","L7",37.47358,108.15178,3095,"S",5,33.2,1,19.757,240,1.010609487,12,1.113891963,6,1.964354228,0.533178114,-0.92804358,1961.91181
"44","CO","ABLA","L",7,"L","ABLA-L-07L","L7",37.47392,108.15141,3100,"S",5,40.1,1.6,20.79,140,-0.225190157,7,0.129115178,4,0.801249751,1,1.370245236,1825.32028
"45","CO","ABLA","L",8,"H","ABLA-L-08H","L8",37.47407,108.15222,3086,"S",10,30,1,18.989,210,0.639869594,12,1.113891963,3,0.219697512,0.407341092,-1.547572846,1054.736555
"46","CO","ABLA","L",8,"L","ABLA-L-08L","L8",37.47415,108.1521,3090,"S",5,29.2,1,15.011,150,-0.101610193,2,-0.855661606,2,-0.361854726,0.685164213,-0.179775426,1825.46652
"47","CO","ABLA","L",9,"H","ABLA-L-09H","L9",37.47607,108.1553,3087,"SW",18,29.4,1,14.22,220,0.763449558,13,1.31084732,5,1.38280199,0.666666667,-0.270843786,601.8583996
"48","CO","ABLA","L",9,"L","ABLA-L-09L","L9",37.4758,108.15514,3090,"S",8,31.4,1.4,19.601,170,0.145549736,5,-0.264795535,0,-1.524959204,0.902862099,0.892009406,1270.157533
"49","CO","ABLA","L",10,"H","ABLA-L-10H","L10",37.48755,108.16793,3109,"SSW",5,44.2,1.5,23.53,240,1.010609487,27,4.068222317,5,1.38280199,0.538121547,-0.90370574,1176.404092
"50","CO","ABLA","L",10,"L","ABLA-L-10L","L10",37.48755,108.16811,3111,"SSW",5,46.7,1.5,19.803,200,0.516289629,6,-0.067840178,2,-0.361854726,0.715800636,-0.028944132,1636.380301
"51","CO","ABLA","L",11,"H","ABLA-L-11H","L11",37.48922,108.16915,3108,"SW",15,39.8,1.2,16.78,230,0.887029523,17,2.098668748,5,1.38280199,0.644815256,-0.378424115,915.7525648
"52","CO","ABLA","L",11,"L","ABLA-L-11L","L11",37.48987,108.16926,3109,"SSW",5,46.4,1.5,19.63,180,0.2691297,11,0.916936606,3,0.219697512,0.917880795,0.965950457,1941.227129
"53","CO","ABLA","L",12,"H","ABLA-L-12H","L12",37.49078,108.17015,3112,"SW",8,49,1.8,22.32,210,0.639869594,14,1.507802677,6,1.964354228,0.530555556,-0.940955136,1839.168905
"54","CO","ABLA","L",12,"L","ABLA-L-12L","L12",37.49075,108.17022,3104,"SW",9,56,1.4,26.6,150,-0.101610193,8,0.326070535,2,-0.361854726,0.822105263,0.494421937,1892.343419
"55","CO","ABLA","L",13,"H","ABLA-L-13H","L13",37.49456,108.17384,3083,"SW",28,34.5,0.9,22.144,340,2.246409131,16,1.901713391,5,1.38280199,0.606213873,-0.568469035,728.4623243
"56","CO","ABLA","L",13,"L","ABLA-L-13L","L13",37.49439,108.17384,3083,"SW",24,35,1.3,22.824,210,0.639869594,2,-0.855661606,2,-0.361854726,0.804416404,0.407334958,1017.990812
"57","CO","ABLA","L",14,"H","ABLA-L-14H","L14",37.4954,108.17471,3067,"W",15,57.5,2.3,30.09,200,0.516289629,10,0.719981249,4,0.801249751,0.66440678,-0.281969813,839.7188329
"58","CO","ABLA","L",14,"L","ABLA-L-14L","L14",37.49549,108.17503,3060,"W",25,56.5,1.7,23.436,150,-0.101610193,5,-0.264795535,3,0.219697512,0.841099164,0.587933982,3174.249173
"59","CO","ABLA","L",15,"H","ABLA-L-15H","L15",37.4971,108.17467,3067,"SW",2,28.5,1,17.119,300,1.752089274,22,3.083445532,4,0.801249751,0.432852386,-1.421973932,619.1005928
"60","CO","ABLA","L",15,"L","ABLA-L-15L","L15",37.49729,108.17474,3071,"SW",3,32.9,1.5,16.238,50,-1.337409837,5,-0.264795535,2,-0.361854726,0.922096317,0.9867046,2348.11329
"61","CO","ABLA","M",1,"H","ABLA-M-01H","M1",37.48679,108.14275,3300,"SSW",10,55.6,2.4,27.21,380,2.740728989,11,0.916936606,4,0.801249751,0.453142227,-1.322081627,1717.134177
"62","CO","ABLA","M",1,"L","ABLA-M-01L","M1",37.48695,108.14342,3310,"SSW",4,51.2,2,22.944,150,-0.101610193,6,-0.067840178,3,0.219697512,0.882845188,0.79346081,2365.665231
"63","CO","ABLA","M",2,"H","ABLA-M-02H","M2",37.48616,108.14242,3290,"SSW",10,31.5,1.2,25,300,1.752089274,16,1.901713391,5,1.38280199,0.46,-1.288318979,499.0447725
"64","CO","ABLA","M",2,"L","ABLA-M-02L","M2",37.48618,108.14272,3293,"SW",11,34.8,1.9,21.091,100,-0.719510015,4,-0.461750892,1,-0.943406965,0.634678299,-0.428331064,855.5051437
"65","CO","ABLA","M",3,"H","ABLA-M-03H","M3",37.48565,108.14149,3290,"SSW",6,39.3,1.4,25.259,220,0.763449558,5,-0.264795535,3,0.219697512,0.388059701,-1.642500282,1313.382516
"66","CO","ABLA","M",3,"L","ABLA-M-03L","M3",37.48539,108.14243,3287,"SSW",15,33.6,1.2,21.303,160,0.021969771,4,-0.461750892,1,-0.943406965,0.576679341,-0.713875423,1073.250273
"67","CO","ABLA","M",4,"H","ABLA-M-04H","M4",37.48489,108.14058,3285,"S",10,34,1.5,20.475,220,0.763449558,6,-0.067840178,4,0.801249751,0.522588523,-0.980178967,1258.207542
"68","CO","ABLA","M",4,"L","ABLA-M-04L","M4",37.48523,108.14028,3300,"SSW",10,25,1.9,16.175,70,-1.090249909,5,-0.264795535,2,-0.361854726,0.397217929,-1.597411882,NA
"69","CO","ABLA","M",5,"H","ABLA-M-05H","M5",37.48512,108.13885,3285,"SSW",8,25.2,1.1,17.28,220,0.763449558,17,2.098668748,1,-0.943406965,0.291666667,-2.117068935,1081.985855
"70","CO","ABLA","M",5,"L","ABLA-M-05L","M5",37.48514,108.13905,3285,"SSW",8,25.2,1,10.79,120,-0.472350086,3,-0.658706249,1,-0.943406965,0.879518072,0.777080529,1555.968792
"71","CO","ABLA","M",6,"H","ABLA-M-06H","M6",37.48589,108.1395,3298,"SW",5,33.1,1.2,24.435,300,1.752089274,16,1.901713391,4,0.801249751,0.285082873,-2.14948271,1127.35978
"72","CO","ABLA","M",6,"L","ABLA-M-06L","M6",37.48593,108.13933,3303,"SW",5,34.2,1.4,20.256,80,-0.966669944,3,-0.658706249,1,-0.943406965,0.565560821,-0.768614864,1254.096922
"73","CO","ABLA","M",7,"H","ABLA-M-07H","M7",37.48451,108.13879,3275,"NONE",0,39,1.4,18.32,120,-0.472350086,8,0.326070535,4,0.801249751,0.686681223,-0.172306781,2395.767275
"74","CO","ABLA","M",7,"L","ABLA-M-07L","M7",37.48437,108.13862,3279,"NONE",0,34.9,1.7,13.224,30,-1.584569766,0,-1.24957232,0,-1.524959204,1,1.370245236,2485.86506
"75","CO","ABLA","M",8,"H","ABLA-M-08H","M8",37.48429,108.13975,3281,"SW",5,42.2,1.7,19.76,260,1.257769416,8,0.326070535,5,1.38280199,0.5,-1.091388297,2094.827936
"76","CO","ABLA","M",8,"L","ABLA-M-08L","M8",37.48413,108.13988,3276,"SW",5,50.2,2,21.6,100,-0.719510015,3,-0.658706249,1,-0.943406965,1,1.370245236,2184.834151
"77","CO","ABLA","M",9,"H","ABLA-M-09H","M9",37.48442,108.14133,3271,"SW",10,48.8,2.2,24.724,160,0.021969771,7,0.129115178,4,0.801249751,0.569648924,-0.748488042,2319.464057
"78","CO","ABLA","M",9,"L","ABLA-M-09L","M9",37.48423,108.14154,3286,"SW",10,46,2.4,25.3,120,-0.472350086,2,-0.855661606,2,-0.361854726,0.916521739,0.959259463,1407.812934
"79","CO","ABLA","M",10,"H","ABLA-M-10H","M10",37.47838,108.11351,3289,"SSW",30,40.1,1.4,24.867,220,0.763449558,3,-0.658706249,3,0.219697512,0.515743757,-1.013877577,1262.103372
"80","CO","ABLA","M",10,"L","ABLA-M-10L","M10",37.4784,108.1142,3277,"SSW",30,38,1.6,23.49,140,-0.225190157,1,-1.052616963,1,-0.943406965,0.803448276,0.402568606,1477.028337
"81","CO","ABLA","M",11,"H","ABLA-M-11H","M11",37.47876,108.11326,3293,"SW",30,42.5,1.4,27.867,270,1.38134938,7,0.129115178,4,0.801249751,0.584777694,-0.674005068,1205.483435
"82","CO","ABLA","M",11,"L","ABLA-M-11L","M11",37.47888,108.11311,3296,"SW",30,47,1.5,24.864,160,0.021969771,1,-1.052616963,1,-0.943406965,0.890765766,0.832455928,1406.532422
"83","CO","ABLA","M",12,"H","ABLA-M-12H","M12",37.4797,108.11333,3303,"WSW",40,32,0.9,28.0807,320,1.999249203,14,1.507802677,5,1.38280199,0.746669421,0.123031138,542.8799003
"84","CO","ABLA","M",12,"L","ABLA-M-12L","M12",37.47984,108.11326,3304,"WSW",40,31.2,1,14.86,130,-0.348770122,3,-0.658706249,2,-0.361854726,0.917900404,0.966046997,2596.767707
"85","CO","ABLA","M",13,"H","ABLA-M-13H","M13",37.48077,108.1135,3312,"SW",20,39.8,1.2,27,240,1.010609487,6,-0.067840178,4,0.801249751,0.576888889,-0.712843762,500.0499866
"86","CO","ABLA","M",13,"L","ABLA-M-13L","M13",37.48055,108.11367,3305,"SW",20,42.8,1.5,27.54,280,1.504929345,1,-1.052616963,1,-0.943406965,0.730936819,0.045575339,1022.258325
"87","CO","ABLA","M",14,"H","ABLA-M-14H","M14",37.47972,108.11516,3275,"S",40,37.9,1.1,25.146,300,1.752089274,13,1.31084732,4,0.801249751,0.54855643,-0.852332022,1561.943602
"88","CO","ABLA","M",14,"L","ABLA-M-14L","M14",37.47979,108.1154,3278,"S",40,43.1,2.6,27.04,180,0.2691297,5,-0.264795535,2,-0.361854726,0.572115385,-0.736344999,450.8038372
"89","CO","ABLA","M",15,"H","ABLA-M-15H","M15",37.478,108.11216,3304,"S",16,36.1,1.5,22.35,170,0.145549736,9,0.523025892,4,0.801249751,0.558389262,-0.803922367,694.0872314
"90","CO","ABLA","M",15,"L","ABLA-M-15L","M15",37.47785,108.11226,3292,"S",16,36.9,1.5,18.792,130,-0.348770122,3,-0.658706249,2,-0.361854726,0.922094508,0.986695694,1366.496362
