Year,Qy_ES_m3_s-1,Qy_LS_m3_s-1,Qy_GS_m3_s-1,Qy2_GS_m3_s-1,Qy_annual_m3_s-1,Qy2_annual_m3_s-1,Qyp_ES_m3_s-1,Qyp_LS_m3_s-1,Qyp_GS_m3_s-1,Qyp_annual_m3_s-1,Py_ES_mm,Py_LS_mm,Py_GS_mm,Py_annual_mm,Pyp_ES_mm,Pyp_LS_mm,Pyp_GS_mm,Pyp_annual_mm,Ty_ES_degC,Ty_LS_degC,Ty_GS_degC,Ty_annual_degC,Typ_ES_degC,Typ_LS_degC,Typ_GS_DegC,Typ_annual,SMIy_ES,SMIy_LS,SMIy_GS,SMIy_annual,SMIyp_ES,SMIyp_LS,SMIyp_GS,SMIyp_annual,EnvFlows,NIRvP_GS_mol_m-2,NIRvP_LS_mol_m-2_d-1
1996,238.1,58.1,129.7,163.8,104.4,107.8,480.8,125.9,267.9,117.8,82.7,3.9,142.2,265.7,202.4,85.7,306.6,448.4,12.6,19.2,15,4.7,12.8,16.8,14.4,5.7,0.437,0.33,0.361,0.392,0.444,0.458,0.44,0.391,1,1023.6404,7.2621
1997,297.1,50.7,148.6,143.9,86.3,90.8,238.1,58.1,130.1,104.4,130,35.9,171,287.3,82.7,3.9,142.2,265.7,13.7,18.4,16,5,12.6,19.2,15,4.7,0.396,0.349,0.351,0.34,0.437,0.33,0.361,0.392,1,883.8539,6.1183
1998,242.9,69.9,138.3,140.9,72.1,75.7,297.1,50.7,149.3,86.3,167.1,50.3,229.8,335.4,130,35.9,171,287.3,13.9,20.2,16.8,7.1,13.7,18.4,16,5,0.334,0.343,0.323,0.282,0.396,0.349,0.351,0.34,1,817.4156,5.6421
1999,77.2,63.3,68.8,86.2,40.4,48.3,242.9,69.9,139.1,72.1,79.7,90.3,177.4,258.3,167.1,50.3,229.8,335.4,12.2,17.3,14.2,6.4,13.9,20.2,16.8,7.1,0.276,0.288,0.277,0.259,0.334,0.343,0.323,0.282,1,699.4051,5.2455
2000,37.4,25,30,39.7,42.2,41.7,77.2,63.3,68.8,40.4,29.4,17.3,91,201.3,79.7,90.3,177.4,258.3,13.5,18.9,15.5,7.2,12.2,17.3,14.2,6.4,0.268,0.195,0.22,0.239,0.276,0.288,0.277,0.259,1,564.7164,3.5682
2001,31.3,21.9,25.7,26.7,21.9,27,37.4,25,30,42.2,44,5.6,54.9,178.1,29.4,17.3,91,201.3,14.4,19.9,16.7,6.3,13.5,18.9,15.5,7.2,0.262,0.198,0.211,0.209,0.268,0.195,0.22,0.239,1,534.4224,3.3861
2002,377.7,91.5,203.8,159.3,90.3,73.2,31.3,21.9,25.7,21.9,267.3,80.9,400.2,512.6,44,5.6,54.9,178.1,12.4,17.6,14.5,5.1,14.4,19.9,16.7,6.3,0.323,0.428,0.382,0.249,0.262,0.198,0.211,0.209,1,687.5393,6.8274
2003,141,24.2,70.8,104,53.4,62.6,377.7,91.5,206,90.3,97.4,12,125.8,237.3,267.3,80.9,400.2,512.6,13.1,20.1,15.8,6.6,12.4,17.6,14.5,5.1,0.471,0.337,0.372,0.402,0.323,0.428,0.382,0.249,1,691.0853,4.5778
2004,38.9,40.4,39.7,47.5,22.6,30.3,141,24.2,70.9,53.4,118.4,69.8,205.5,290.8,97.4,12,125.8,237.3,11.6,17.8,14.2,6.2,13.1,20.1,15.8,6.6,0.299,0.297,0.291,0.269,0.471,0.337,0.372,0.402,1,829.945,5.9913
2005,290.7,93.1,170.1,137.5,83.1,68,38.9,40.4,39.8,22.6,256.1,89.2,458.6,563.4,118.4,69.8,205.5,290.8,12.6,17,14.2,6.3,11.6,17.8,14.2,6.2,0.35,0.459,0.42,0.347,0.299,0.297,0.291,0.269,1,854.1241,6.4633
2006,229.8,32.8,110.8,125.7,96.1,92.9,290.7,93.1,172.1,83.1,127.4,15.1,155.9,251.1,256.1,89.2,458.6,563.4,14.2,18.8,15.9,7.6,12.6,17,14.2,6.3,0.471,0.383,0.398,0.453,0.35,0.459,0.42,0.347,1,937.5865,6.1353
2007,140.6,23.4,70.2,80.3,52.5,63.4,229.8,32.8,111.6,96.1,102.9,7.6,151.1,262.9,127.4,15.1,155.9,251.1,13.9,19.5,15.8,6.7,14.2,18.8,15.9,7.6,0.364,0.257,0.29,0.287,0.471,0.383,0.398,0.453,1,845.8067,5.6436
2008,209.5,53,115.2,104,57.9,56.6,140.6,23.4,70.3,52.5,172.2,113.6,341.9,404.6,102.9,7.6,151.1,262.9,13.1,17.3,14.7,5.7,13.9,19.5,15.8,6.7,0.304,0.372,0.34,0.273,0.364,0.257,0.29,0.287,1,897.2847,7.5286
2009,61,48.6,53.6,69,31.7,38.2,209.5,53,115.6,57.9,73.1,120.5,200.6,296.1,172.2,113.6,341.9,404.6,12.3,16.9,14.9,5.7,13.1,17.3,14.7,5.7,0.366,0.356,0.353,0.354,0.304,0.372,0.34,0.273,1,868.9238,6.4578
2010,374.9,110.1,214.6,174.3,101,83.6,61,48.6,53.6,31.7,200.6,111,345.7,515.3,73.1,120.5,200.6,296.1,11.3,16.6,13.4,5.2,12.3,16.9,14.9,5.7,0.503,0.511,0.5,0.408,0.366,0.356,0.353,0.354,1,861.0776,7.5562
2011,480.6,121.4,264.5,252,141.2,131.1,374.9,110.1,216,101,148,77,233.3,373,200.6,111,345.7,515.3,11.9,17.6,15,4.7,11.3,16.6,13.4,5.2,0.579,0.519,0.52,0.489,0.503,0.511,0.5,0.408,1,941.442,7.8972
2012,226.3,79.6,137.9,169.5,75,91.5,480.6,121.4,265.1,141.2,165,50.4,222,354.7,148,77,233.3,373,12.7,18.8,15.6,7.3,11.9,17.6,15,4.7,0.442,0.413,0.404,0.406,0.579,0.519,0.52,0.489,1,909.7775,6.8233
2013,283.8,87.6,165.5,158.6,81.3,79.7,226.3,79.6,138.3,75,178.1,76,296.9,392.4,165,50.4,222,354.7,13.8,18.4,16,6.2,12.7,18.8,15.6,7.3,0.374,0.402,0.379,0.345,0.442,0.413,0.404,0.406,1,755.3335,6.8819
2014,424.2,105,231.4,215,123.2,112.7,283.8,87.6,166.1,81.3,226.8,57.4,335.7,435,178.1,76,296.9,392.4,12.4,18.7,15.1,4.9,13.8,18.4,16,6.2,0.436,0.463,0.441,0.397,0.374,0.402,0.379,0.345,1,879.4591,7.429
2015,94.7,28.9,55.1,99.2,62.3,77.5,424.2,105,232.7,123.2,64.9,50.3,163.9,252.5,226.8,57.4,335.7,435,13.7,18.6,15.4,7.2,12.4,18.7,15.1,4.9,0.365,0.294,0.316,0.37,0.436,0.463,0.441,0.397,1,808.5734,6.0634
2016,59.2,31.6,42.6,45.7,30.4,38.4,94.7,28.9,55.2,62.3,75.7,104.9,207.6,267.4,64.9,50.3,163.9,252.5,14.1,17.8,15.4,7.9,13.7,18.6,15.4,7.2,0.259,0.264,0.261,0.262,0.365,0.294,0.316,0.37,1,689.026,4.8277
2017,196.5,29,95.9,82.6,75,63.9,59.2,31.6,42.7,30.4,94.4,10.3,107.7,192.3,75.7,104.9,207.6,267.4,15.2,19.6,16.6,6.6,14.1,17.8,15.4,7.9,0.296,0.23,0.243,0.26,0.259,0.264,0.261,0.262,1,720.9454,4.4222
2018,133.7,28.2,70.5,76.8,45.4,52.8,196.5,29,96,75,68.2,49.2,136.8,242,94.4,10.3,107.7,192.3,15.5,18.4,15.5,4.8,15.2,19.6,16.6,6.6,0.244,0.221,0.225,0.213,0.296,0.23,0.243,0.26,1,735.0712,5.3552
2019,55,33.3,41.8,49,29.7,33.6,133.7,28.2,70.4,45.4,80.9,51.3,172.8,223.3,68.2,49.2,136.8,242,13.2,17.8,14.9,5.2,15.5,18.4,15.5,4.8,0.239,0.219,0.226,0.218,0.244,0.221,0.225,0.213,1,572.138,4.0809
2020,245.1,82.5,147.2,120.8,83.1,69.8,55,33.3,42,29.7,177.8,25.4,225.3,294.8,80.9,51.3,172.8,223.3,13.5,18.1,15.5,6.3,13.2,17.8,14.9,5.2,0.321,0.331,0.311,0.277,0.239,0.219,0.226,0.218,1,732.6067,6.0398
