age_CE,LAC01E_raw,LAC01W_raw,LAC02W_raw,LAC03E_raw,LAC03W_raw,LAC04W_raw,LAC04E_raw,LAC05N_raw,LAC05S_raw,LAC01E_raw_outlier_flag,LAC01W_raw_outlier_flag,LAC02W_raw_outlier_flag,LAC03E_raw_outlier_flag,LAC03W_raw_outlier_flag,LAC04W_raw_outlier_flag,LAC04E_raw_outlier_flag,LAC05N_raw_outlier_flag,LAC05S_raw_outlier_flag
1832,NA,NA,NA,2.1,2.36,NA,NA,3.21,2.1,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE
1833,NA,NA,NA,1.48,1.77,NA,NA,3.05,2,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE
1834,NA,NA,NA,0.86,1.67,NA,NA,2.29,1.62,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE
1835,NA,NA,NA,0.8,2.08,NA,NA,1.99,1.35,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE
1836,NA,NA,NA,0.65,1.64,NA,NA,1.15,1.21,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE
1837,NA,NA,NA,0.56,1.1,NA,NA,0.92,0.65,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE
1838,NA,NA,NA,1.02,1.44,NA,NA,0.88,0.77,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE
1839,NA,NA,NA,0.51,0.79,NA,NA,0.66,0.52,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE
1840,NA,NA,NA,0.49,1.03,NA,NA,0.85,0.68,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE
1841,NA,NA,NA,0.56,0.74,NA,NA,0.7,0.53,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE
1842,NA,NA,NA,0.63,0.97,NA,NA,1.45,0.83,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE
1843,NA,NA,NA,0.4,0.67,NA,NA,0.92,0.76,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE
1844,NA,NA,NA,0.25,0.43,NA,NA,0.6,0.55,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE
1845,NA,NA,NA,0.27,0.34,NA,NA,0.38,0.35,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE
1846,NA,NA,NA,0.43,0.6,NA,NA,0.32,0.4,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE
1847,NA,NA,NA,0.65,0.85,NA,NA,0.7,0.79,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE
1848,NA,NA,NA,0.94,0.98,NA,NA,0.73,0.88,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE
1849,NA,NA,NA,1.01,1.18,NA,NA,1.24,1.22,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE
1850,NA,NA,NA,0.72,1.35,NA,NA,1.36,1.04,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE
1851,NA,NA,NA,0.5,0.36,NA,NA,0.57,0.32,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE
1852,NA,NA,NA,0.67,1.27,NA,NA,1.36,0.6,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE
1853,NA,NA,NA,0.56,1.04,NA,NA,1.07,0.59,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE
1854,NA,NA,NA,0.38,0.96,NA,NA,0.83,0.5,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE
1855,NA,NA,NA,0.43,0.83,NA,NA,0.94,0.5,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE
1856,NA,NA,NA,0.27,0.41,NA,NA,0.41,0.28,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE
1857,NA,NA,NA,0.22,0.36,NA,NA,0.34,0.29,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE
1858,NA,NA,NA,0.17,0.26,NA,NA,0.28,0.23,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE
1859,NA,NA,NA,0.28,0.28,NA,NA,0.25,0.19,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE
1860,NA,NA,NA,0.19,0.25,NA,NA,0.51,0.2,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE
1861,NA,NA,NA,0.43,0.37,NA,NA,0.66,0.29,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE
1862,NA,NA,NA,0.42,1.31,NA,NA,2.13,0.66,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE
1863,NA,NA,NA,0.25,0.73,NA,NA,0.97,0.61,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE
1864,NA,NA,NA,0.31,0.37,NA,NA,0.34,0.15,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE
1865,NA,NA,NA,0.4,0.4,NA,NA,0.39,0.36,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE
1866,NA,NA,NA,0.42,0.7,NA,NA,0.44,0.34,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE
1867,NA,NA,NA,0.63,1.16,NA,NA,1.17,0.79,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE
1868,NA,NA,NA,1.16,3.72,NA,NA,2.36,1.47,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE
1869,NA,NA,NA,0.94,2.25,NA,NA,1.82,1.06,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,FALSE
1870,NA,2.68,NA,0.36,0.86,NA,NA,0.85,0.38,NA,FALSE,NA,FALSE,FALSE,NA,NA,FALSE,FALSE
1871,NA,2.27,NA,0.37,0.82,NA,NA,0.47,0.17,NA,FALSE,NA,FALSE,FALSE,NA,NA,FALSE,FALSE
1872,NA,1.89,NA,0.4,0.99,NA,NA,0.37,0.4,NA,FALSE,NA,FALSE,FALSE,NA,NA,FALSE,FALSE
1873,NA,2.35,NA,0.46,0.97,NA,NA,0.43,0.35,NA,FALSE,NA,FALSE,FALSE,NA,NA,FALSE,FALSE
1874,NA,3.57,NA,0.46,0.85,NA,NA,0.58,0.47,NA,FALSE,NA,FALSE,FALSE,NA,NA,FALSE,FALSE
1875,NA,4.45,NA,0.43,0.95,NA,0.51,0.82,0.7,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1876,NA,4.67,NA,0.66,2.07,NA,0.61,1.23,0.97,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1877,NA,4.8,NA,0.42,0.88,NA,0.65,0.51,0.29,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1878,NA,4.42,NA,1.63,4.47,NA,0.54,1.08,1.09,NA,FALSE,NA,FALSE,TRUE,NA,FALSE,FALSE,FALSE
1879,NA,3.71,NA,0.6,1.58,NA,1.04,0.9,0.74,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1880,NA,3.69,NA,1.25,3.47,NA,1.06,1.29,0.99,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1881,NA,3.52,NA,0.76,1.92,NA,0.72,1.14,0.54,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1882,NA,3.57,NA,0.99,2.14,NA,0.87,1.43,0.7,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1883,NA,2.2,NA,0.4,0.77,NA,0.3,0.43,0.2,NA,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1884,2.43,3.69,NA,1.16,3.02,NA,0.41,1.08,0.56,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1885,2.22,1.98,NA,0.75,1.51,NA,0.28,0.9,0.33,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1886,1.9,1.92,NA,0.92,2.19,NA,0.33,1.02,0.59,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1887,2.57,2.05,NA,1.22,2.19,NA,0.46,1.26,0.73,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1888,3.05,2.81,NA,0.97,1.97,NA,0.4,1.58,0.95,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1889,3.92,3.13,NA,1.06,3.26,NA,0.52,2.07,1.76,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1890,3,3.96,NA,0.95,2.97,NA,0.46,3.14,2.16,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1891,3.13,3.81,NA,1.59,3.91,NA,1.08,3.05,1.63,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1892,3.3,4.14,NA,0.77,1.41,NA,0.76,1.18,1.48,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1893,4.4,4.74,NA,1.95,4.35,NA,1.06,2.32,2.97,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1894,4.65,4.68,NA,1.36,1.74,NA,0.98,1.79,1.99,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1895,3.1,2.9,NA,0.97,1.71,NA,0.69,1.67,1.29,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1896,2.99,2.79,NA,1,1.7,NA,0.5,1.03,1.04,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1897,2.99,3.18,NA,1.08,1.61,NA,0.66,1.26,1.21,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1898,3.17,3.5,NA,0.75,0.94,NA,0.6,1.1,0.93,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1899,2.09,2.6,NA,0.41,0.57,NA,0.37,0.81,0.39,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1900,1.65,1.99,NA,0.24,0.46,NA,0.23,0.69,0.35,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1901,2.19,2.14,NA,0.59,0.86,NA,0.25,0.8,0.54,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1902,2.26,2.2,NA,0.52,0.71,NA,0.27,0.74,0.5,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1903,3.08,2.69,NA,0.47,0.61,NA,0.24,0.6,0.37,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1904,3.53,2.72,NA,0.48,0.68,NA,0.31,0.56,0.44,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1905,2.28,1.98,1.12,0.64,0.81,NA,0.28,0.55,0.37,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1906,2.37,1.7,2.35,0.73,0.96,NA,0.18,0.57,0.36,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1907,1.23,1.3,1.88,1.3,1.66,NA,0.21,0.69,0.63,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1908,1.42,1.25,2.42,1.29,1.42,NA,0.42,0.88,0.8,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1909,2.38,1.58,2.57,1.17,1.48,NA,0.32,1.56,0.85,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE
1910,2.4,2,3.01,1.58,1.85,0.87,0.47,2.23,1.45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1911,2.66,2.39,4.09,2,3.09,1.64,0.56,2.47,1.79,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1912,3.26,3.15,3,2.69,2.1,2.33,0.56,5.27,2.58,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
1913,2.78,2.63,2.1,1.61,1.89,2.87,1.1,3.63,2.32,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1914,2.29,3.08,2.88,2.46,3.47,3.38,0.64,3.98,3.77,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
1915,5.25,4.71,4.08,2.73,4.5,1.85,1.01,4.2,3.78,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
1916,6.97,4.89,4.68,2.51,3.77,2.56,2.08,4.57,3.83,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
1917,3.96,3.87,4.6,1.84,2.37,3,1.65,3.61,3.81,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
1918,3.74,2.96,5.83,2.12,5.33,4.81,3.21,4,3.59,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
1919,1.81,2.08,3.08,1.66,1.81,3.03,2.57,2.48,2.77,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1920,2,3.29,2.83,1.61,2.78,1.81,1.63,2.83,3.27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1921,1.83,3.14,2.47,1.23,1.8,1.55,1.72,2.23,1.84,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1922,2.22,2.59,2.27,1.41,1.69,1.42,2.4,2.67,2.14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1923,2.16,2.82,2.54,1.4,1.38,2.11,1.79,1.97,1.07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1924,1.97,2.44,1.74,0.95,0.95,1.78,1.11,1.41,1.02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1925,1.74,2.71,1.81,1.19,1.21,1.74,1.34,1.38,1.57,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1926,1.36,1.9,1.8,0.84,1.1,0.96,0.84,0.64,0.74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1927,1.61,2.77,2.37,0.7,1.6,0.87,0.9,0.87,0.81,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1928,2.36,2.59,2.82,0.92,1.62,1.33,0.98,1.3,0.88,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1929,2.63,2.28,3.39,1.01,1.48,1.54,1.14,1.13,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1930,1.55,2.22,4.75,1.07,1.24,1.5,1.27,1.29,1.25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1931,1.71,2.05,4.89,1.09,1.13,2.46,1.53,1.04,1.12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1932,2.82,3.63,4.35,1.61,1.48,3.37,1.48,1.91,1.53,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1933,2.22,2.26,4.57,0.83,0.84,1.08,0.87,1.26,0.75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1934,1.63,1.9,4.16,0.55,0.45,0.86,0.79,0.73,0.45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1935,1.53,1.81,3.06,0.68,0.77,1.64,1.02,0.85,0.55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1936,1.28,1.48,2.73,0.63,0.81,1.16,0.68,0.69,0.34,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1937,1.71,2.32,3.05,0.72,1.34,2.72,1.41,1.3,0.55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1938,2.09,1.52,3.3,1.07,2.41,1.44,0.62,2.27,0.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1939,2.85,2.04,4.76,0.81,1.67,2.83,1.23,1.96,0.94,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1940,2.71,2.18,3.91,0.96,1.84,2.82,0.93,2.38,1.19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1941,5.5,3.94,4.05,0.79,1.77,2.14,1.34,2.21,1.13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1942,2.49,1.73,3.74,0.57,1.24,2.4,1.24,1.33,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1943,4.13,3.55,3.23,1.05,1.96,3.56,1.87,2.47,1.41,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1944,3.94,2.87,3.93,1.51,1.9,4.71,2.51,2.33,1.57,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1945,2.19,2.06,2.44,0.77,1.18,2.8,1.3,1.54,0.87,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1946,2.28,2.33,2.74,0.72,1.22,1.8,0.77,1.41,0.93,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1947,0.8,1.08,1.6,0.55,0.89,1.22,0.52,0.72,0.54,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1948,1.49,1.58,2.1,0.63,0.95,2.67,1.28,1.27,0.63,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1949,1.2,1.06,2.21,0.51,0.86,2.08,0.95,1.05,0.69,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1950,1.65,1.92,2.44,0.61,1.04,1.22,0.73,1.3,0.82,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1951,1.26,1.43,1.87,0.52,0.78,0.87,0.45,0.92,0.49,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1952,2.05,2.46,2.22,0.66,1.12,2.08,1.28,1.85,0.96,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1953,1.47,1.74,1.61,0.53,0.67,1.3,0.64,1.03,0.61,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1954,1.75,1.63,1.59,0.26,0.53,1.04,0.61,0.85,0.45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1955,1.54,1.47,1.18,0.67,0.68,0.9,0.69,0.8,0.56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1956,2.6,2.56,1.98,0.87,1.13,1.78,0.84,1.76,1.37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1957,1.72,1.89,1.56,0.69,0.72,1.23,0.55,0.81,0.66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1958,2.79,2.46,2.24,1.79,1.22,1.36,0.47,1.75,1.06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1959,2.77,2.22,1.84,0.83,0.81,1.47,0.42,0.88,0.57,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1960,1.68,2.24,1.6,0.75,0.93,0.96,0.45,0.88,0.57,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1961,1.44,1.9,1.33,0.77,0.79,1.57,0.88,0.8,0.43,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1962,3.8,4.49,2.96,1.37,1.9,4.94,1.78,2.27,2.1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1963,0.97,1.49,1.47,0.66,1.03,2.26,0.65,0.82,0.76,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1964,1.25,0.96,0.6,0.31,0.55,0.81,0.28,0.45,0.38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1965,1.49,1.06,1.92,0.54,0.73,2.6,0.56,0.98,0.72,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1966,0.89,0.96,1.58,0.57,0.79,1.81,0.89,1,1.01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1967,1.18,0.57,0.87,0.52,0.82,1.41,0.74,0.82,0.81,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1968,0.77,0.55,1.21,0.25,0.46,1.18,0.62,0.43,0.46,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1969,2.2,2.06,1.99,1.24,1.05,2.06,1,1.44,1.91,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1970,1.11,1.25,1.34,0.94,0.87,2.55,1.3,1.01,1.28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1971,2.02,1.28,1.61,0.55,0.44,2.83,1.16,1.09,0.94,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1972,0.68,0.58,1.05,0.37,0.38,1.03,0.37,0.49,0.48,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1973,0.9,0.6,1.25,0.39,0.42,0.98,0.61,1.29,0.97,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1974,1.31,0.95,2.41,0.67,1.11,2.29,1.15,2.04,1.17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1975,1.95,1.56,1.93,1.01,1.42,2.25,1.51,1.53,1.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1976,1.46,1.23,2.26,0.74,1.27,2.03,1.23,1.83,1.89,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1977,0.8,0.89,1.87,0.53,0.68,0.82,0.32,1,0.74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1978,0.96,1.34,2.61,1.12,2.06,2.09,1.73,2.83,0.61,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1979,1.26,0.99,2.21,0.63,1.32,1.75,1,1.64,1.19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1980,1.82,1.58,2.27,0.91,2.38,2.25,1.51,2.85,0.94,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1981,1.78,1.26,2.12,0.94,2.05,3.28,1.75,1.96,0.79,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1982,2.43,1.3,1.83,0.84,1.63,2.12,1.34,1.71,0.72,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1983,1.83,0.84,1.73,0.6,1.27,1.51,1.06,2.12,1.11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1984,1,NA,NA,0.36,0.94,0.89,0.67,1.18,0.71,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
