"","State","Tree","Tag","years","Ring_width(mm)","Lat","Long","species"
"167","CO","01L","ABLA-H-01L","1986",1.0715,37.45758,108.08465,"ABLA"
"168","CO","01L","ABLA-H-01L","1985",1.0385,37.45758,108.08465,"ABLA"
"169","CO","01L","ABLA-H-01L","1984",1.079,37.45758,108.08465,"ABLA"
"170","CO","01L","ABLA-H-01L","1983",0.9455,37.45758,108.08465,"ABLA"
"171","CO","01L","ABLA-H-01L","1982",1.0745,37.45758,108.08465,"ABLA"
"172","CO","01L","ABLA-H-01L","1981",0.989,37.45758,108.08465,"ABLA"
"173","CO","01L","ABLA-H-01L","1980",0.948,37.45758,108.08465,"ABLA"
"174","CO","01L","ABLA-H-01L","1979",1.055,37.45758,108.08465,"ABLA"
"175","CO","01L","ABLA-H-01L","1978",0.939,37.45758,108.08465,"ABLA"
"176","CO","01L","ABLA-H-01L","1977",0.7265,37.45758,108.08465,"ABLA"
"177","CO","01L","ABLA-H-01L","1976",1.2155,37.45758,108.08465,"ABLA"
"178","CO","01L","ABLA-H-01L","1975",1.0665,37.45758,108.08465,"ABLA"
"179","CO","01L","ABLA-H-01L","1974",1.171,37.45758,108.08465,"ABLA"
"180","CO","01L","ABLA-H-01L","1973",0.8975,37.45758,108.08465,"ABLA"
"181","CO","01L","ABLA-H-01L","1972",0.9395,37.45758,108.08465,"ABLA"
"182","CO","01L","ABLA-H-01L","1971",1.1815,37.45758,108.08465,"ABLA"
"183","CO","01L","ABLA-H-01L","1970",1.486,37.45758,108.08465,"ABLA"
"184","CO","01L","ABLA-H-01L","1969",1.5885,37.45758,108.08465,"ABLA"
"185","CO","01L","ABLA-H-01L","1968",1.4655,37.45758,108.08465,"ABLA"
"186","CO","01L","ABLA-H-01L","1967",1.402,37.45758,108.08465,"ABLA"
"187","CO","01L","ABLA-H-01L","1966",1.8705,37.45758,108.08465,"ABLA"
"188","CO","01L","ABLA-H-01L","1965",1.735,37.45758,108.08465,"ABLA"
"189","CO","01L","ABLA-H-01L","1964",1.8015,37.45758,108.08465,"ABLA"
"190","CO","01L","ABLA-H-01L","1963",1.505,37.45758,108.08465,"ABLA"
"191","CO","01L","ABLA-H-01L","1962",1.6635,37.45758,108.08465,"ABLA"
"192","CO","01L","ABLA-H-01L","1961",1.5205,37.45758,108.08465,"ABLA"
"193","CO","01L","ABLA-H-01L","1960",1.663,37.45758,108.08465,"ABLA"
"194","CO","01L","ABLA-H-01L","1959",1.45,37.45758,108.08465,"ABLA"
"195","CO","01L","ABLA-H-01L","1958",1.638,37.45758,108.08465,"ABLA"
"196","CO","01L","ABLA-H-01L","1957",1.363,37.45758,108.08465,"ABLA"
"197","CO","01L","ABLA-H-01L","1956",1.451,37.45758,108.08465,"ABLA"
"198","CO","01L","ABLA-H-01L","1955",1.437,37.45758,108.08465,"ABLA"
"199","CO","01L","ABLA-H-01L","1954",1.434,37.45758,108.08465,"ABLA"
"200","CO","01L","ABLA-H-01L","1953",1.5035,37.45758,108.08465,"ABLA"
"201","CO","01L","ABLA-H-01L","1952",1.3805,37.45758,108.08465,"ABLA"
"202","CO","01L","ABLA-H-01L","1951",1.2365,37.45758,108.08465,"ABLA"
"203","CO","01L","ABLA-H-01L","1950",1.304,37.45758,108.08465,"ABLA"
"204","CO","01L","ABLA-H-01L","1949",1.837,37.45758,108.08465,"ABLA"
"205","CO","01L","ABLA-H-01L","1948",1.827,37.45758,108.08465,"ABLA"
"206","CO","01L","ABLA-H-01L","1947",1.512,37.45758,108.08465,"ABLA"
"207","CO","01L","ABLA-H-01L","1946",1.2905,37.45758,108.08465,"ABLA"
"208","CO","01L","ABLA-H-01L","1945",1.3995,37.45758,108.08465,"ABLA"
"209","CO","01L","ABLA-H-01L","1944",1.174,37.45758,108.08465,"ABLA"
"210","CO","01L","ABLA-H-01L","1943",1.2525,37.45758,108.08465,"ABLA"
"211","CO","01L","ABLA-H-01L","1942",1.4255,37.45758,108.08465,"ABLA"
"212","CO","01L","ABLA-H-01L","1941",1.4315,37.45758,108.08465,"ABLA"
"213","CO","01L","ABLA-H-01L","1940",1.3035,37.45758,108.08465,"ABLA"
"214","CO","01L","ABLA-H-01L","1939",1.266,37.45758,108.08465,"ABLA"
"215","CO","01L","ABLA-H-01L","1938",1.3915,37.45758,108.08465,"ABLA"
"216","CO","01L","ABLA-H-01L","1937",1.258,37.45758,108.08465,"ABLA"
"217","CO","01L","ABLA-H-01L","1936",1.1665,37.45758,108.08465,"ABLA"
"218","CO","01L","ABLA-H-01L","1935",1.081,37.45758,108.08465,"ABLA"
"219","CO","01L","ABLA-H-01L","1934",0.853,37.45758,108.08465,"ABLA"
"220","CO","01L","ABLA-H-01L","1933",0.918,37.45758,108.08465,"ABLA"
"221","CO","01L","ABLA-H-01L","1932",0.8385,37.45758,108.08465,"ABLA"
"222","CO","01L","ABLA-H-01L","1931",1.019,37.45758,108.08465,"ABLA"
"223","CO","01L","ABLA-H-01L","1930",0.9365,37.45758,108.08465,"ABLA"
"224","CO","01L","ABLA-H-01L","1929",0.8515,37.45758,108.08465,"ABLA"
"225","CO","01L","ABLA-H-01L","1928",0.835,37.45758,108.08465,"ABLA"
"226","CO","01L","ABLA-H-01L","1927",0.8455,37.45758,108.08465,"ABLA"
"227","CO","01L","ABLA-H-01L","1926",0.891,37.45758,108.08465,"ABLA"
"228","CO","01L","ABLA-H-01L","1925",0.78,37.45758,108.08465,"ABLA"
"229","CO","01L","ABLA-H-01L","1924",0.7475,37.45758,108.08465,"ABLA"
"230","CO","01L","ABLA-H-01L","1923",0.5965,37.45758,108.08465,"ABLA"
"231","CO","01L","ABLA-H-01L","1922",0.627,37.45758,108.08465,"ABLA"
"232","CO","01L","ABLA-H-01L","1921",0.61,37.45758,108.08465,"ABLA"
"233","CO","01L","ABLA-H-01L","1920",0.665,37.45758,108.08465,"ABLA"
"234","CO","01L","ABLA-H-01L","1919",0.7185,37.45758,108.08465,"ABLA"
"235","CO","01L","ABLA-H-01L","1918",0.58,37.45758,108.08465,"ABLA"
"236","CO","01L","ABLA-H-01L","1917",0.638,37.45758,108.08465,"ABLA"
"237","CO","01L","ABLA-H-01L","1916",0.607,37.45758,108.08465,"ABLA"
"238","CO","01L","ABLA-H-01L","1915",0.69,37.45758,108.08465,"ABLA"
"239","CO","01L","ABLA-H-01L","1914",0.7265,37.45758,108.08465,"ABLA"
"240","CO","01L","ABLA-H-01L","1913",0.7335,37.45758,108.08465,"ABLA"
"241","CO","01L","ABLA-H-01L","1912",0.726,37.45758,108.08465,"ABLA"
"242","CO","01L","ABLA-H-01L","1911",0.71,37.45758,108.08465,"ABLA"
"243","CO","01L","ABLA-H-01L","1910",0.964,37.45758,108.08465,"ABLA"
"244","CO","01L","ABLA-H-01L","1909",1.031,37.45758,108.08465,"ABLA"
"245","CO","01L","ABLA-H-01L","1908",1.154,37.45758,108.08465,"ABLA"
"246","CO","01L","ABLA-H-01L","1907",1.067,37.45758,108.08465,"ABLA"
"247","CO","01L","ABLA-H-01L","1906",1.0245,37.45758,108.08465,"ABLA"
"248","CO","01L","ABLA-H-01L","1905",1.1565,37.45758,108.08465,"ABLA"
"249","CO","01L","ABLA-H-01L","1904",1.1835,37.45758,108.08465,"ABLA"
"250","CO","01L","ABLA-H-01L","1903",1.3035,37.45758,108.08465,"ABLA"
"251","CO","01L","ABLA-H-01L","1902",1.011,37.45758,108.08465,"ABLA"
"252","CO","01L","ABLA-H-01L","1901",1.046,37.45758,108.08465,"ABLA"
"253","CO","01L","ABLA-H-01L","1900",1.059,37.45758,108.08465,"ABLA"
"254","CO","01L","ABLA-H-01L","1899",1.121,37.45758,108.08465,"ABLA"
"255","CO","01L","ABLA-H-01L","1898",1.025,37.45758,108.08465,"ABLA"
"256","CO","01L","ABLA-H-01L","1897",0.501,37.45758,108.08465,"ABLA"
"257","CO","01L","ABLA-H-01L","1896",NA,37.45758,108.08465,"ABLA"
"258","CO","01L","ABLA-H-01L","1895",NA,37.45758,108.08465,"ABLA"
"259","CO","01L","ABLA-H-01L","1894",NA,37.45758,108.08465,"ABLA"
"260","CO","01L","ABLA-H-01L","1893",NA,37.45758,108.08465,"ABLA"
"261","CO","01L","ABLA-H-01L","1892",NA,37.45758,108.08465,"ABLA"
"262","CO","01L","ABLA-H-01L","1891",NA,37.45758,108.08465,"ABLA"
"263","CO","01L","ABLA-H-01L","1890",NA,37.45758,108.08465,"ABLA"
"264","CO","01L","ABLA-H-01L","1889",NA,37.45758,108.08465,"ABLA"
"265","CO","01L","ABLA-H-01L","1888",NA,37.45758,108.08465,"ABLA"
"266","CO","01L","ABLA-H-01L","1887",NA,37.45758,108.08465,"ABLA"
"267","CO","01L","ABLA-H-01L","1886",NA,37.45758,108.08465,"ABLA"
"268","CO","01L","ABLA-H-01L","1885",NA,37.45758,108.08465,"ABLA"
"269","CO","01L","ABLA-H-01L","1884",NA,37.45758,108.08465,"ABLA"
"270","CO","01L","ABLA-H-01L","1883",NA,37.45758,108.08465,"ABLA"
"271","CO","01L","ABLA-H-01L","1882",NA,37.45758,108.08465,"ABLA"
"272","CO","01L","ABLA-H-01L","1881",NA,37.45758,108.08465,"ABLA"
"273","CO","01L","ABLA-H-01L","1880",NA,37.45758,108.08465,"ABLA"
"274","CO","01L","ABLA-H-01L","1879",NA,37.45758,108.08465,"ABLA"
"275","CO","01L","ABLA-H-01L","1878",NA,37.45758,108.08465,"ABLA"
"276","CO","01L","ABLA-H-01L","1877",NA,37.45758,108.08465,"ABLA"
"277","CO","01L","ABLA-H-01L","1876",NA,37.45758,108.08465,"ABLA"
"278","CO","01L","ABLA-H-01L","1875",NA,37.45758,108.08465,"ABLA"
"279","CO","02H","ABLA-H-02H","2013",0.1575,37.45622,108.08311,"ABLA"
"280","CO","02H","ABLA-H-02H","2012",1.035,37.45622,108.08311,"ABLA"
"281","CO","02H","ABLA-H-02H","2011",1.1635,37.45622,108.08311,"ABLA"
"282","CO","02H","ABLA-H-02H","2010",1.004,37.45622,108.08311,"ABLA"
"283","CO","02H","ABLA-H-02H","2009",1.2755,37.45622,108.08311,"ABLA"
"284","CO","02H","ABLA-H-02H","2008",1.0135,37.45622,108.08311,"ABLA"
"285","CO","02H","ABLA-H-02H","2007",0.908,37.45622,108.08311,"ABLA"
"286","CO","02H","ABLA-H-02H","2006",0.8335,37.45622,108.08311,"ABLA"
"287","CO","02H","ABLA-H-02H","2005",0.8325,37.45622,108.08311,"ABLA"
"288","CO","02H","ABLA-H-02H","2004",0.8115,37.45622,108.08311,"ABLA"
"289","CO","02H","ABLA-H-02H","2003",0.951,37.45622,108.08311,"ABLA"
"290","CO","02H","ABLA-H-02H","2002",1.1665,37.45622,108.08311,"ABLA"
"291","CO","02H","ABLA-H-02H","2001",1.407,37.45622,108.08311,"ABLA"
"292","CO","02H","ABLA-H-02H","2000",1.196,37.45622,108.08311,"ABLA"
"293","CO","02H","ABLA-H-02H","1999",1.3205,37.45622,108.08311,"ABLA"
"294","CO","02H","ABLA-H-02H","1998",1.349,37.45622,108.08311,"ABLA"
"295","CO","02H","ABLA-H-02H","1997",1.2615,37.45622,108.08311,"ABLA"
"296","CO","02H","ABLA-H-02H","1996",1.2605,37.45622,108.08311,"ABLA"
"297","CO","02H","ABLA-H-02H","1995",0.967,37.45622,108.08311,"ABLA"
"298","CO","02H","ABLA-H-02H","1994",0.999,37.45622,108.08311,"ABLA"
"299","CO","02H","ABLA-H-02H","1993",1.111,37.45622,108.08311,"ABLA"
"300","CO","02H","ABLA-H-02H","1992",1.1685,37.45622,108.08311,"ABLA"
"301","CO","02H","ABLA-H-02H","1991",1.094,37.45622,108.08311,"ABLA"
"302","CO","02H","ABLA-H-02H","1990",1.1975,37.45622,108.08311,"ABLA"
"303","CO","02H","ABLA-H-02H","1989",1.0345,37.45622,108.08311,"ABLA"
"304","CO","02H","ABLA-H-02H","1988",1.131,37.45622,108.08311,"ABLA"
"305","CO","02H","ABLA-H-02H","1987",1.151,37.45622,108.08311,"ABLA"
"306","CO","02H","ABLA-H-02H","1986",1.0775,37.45622,108.08311,"ABLA"
"307","CO","02H","ABLA-H-02H","1985",0.9815,37.45622,108.08311,"ABLA"
"308","CO","02H","ABLA-H-02H","1984",1.0015,37.45622,108.08311,"ABLA"
"309","CO","02H","ABLA-H-02H","1983",1.224,37.45622,108.08311,"ABLA"
"310","CO","02H","ABLA-H-02H","1982",1.309,37.45622,108.08311,"ABLA"
"311","CO","02H","ABLA-H-02H","1981",1.025,37.45622,108.08311,"ABLA"
"312","CO","02H","ABLA-H-02H","1980",0.6975,37.45622,108.08311,"ABLA"
"313","CO","02H","ABLA-H-02H","1979",1.0595,37.45622,108.08311,"ABLA"
"314","CO","02H","ABLA-H-02H","1978",0.9205,37.45622,108.08311,"ABLA"
"315","CO","02H","ABLA-H-02H","1977",0.836,37.45622,108.08311,"ABLA"
"316","CO","02H","ABLA-H-02H","1976",0.9045,37.45622,108.08311,"ABLA"
"317","CO","02H","ABLA-H-02H","1975",0.729,37.45622,108.08311,"ABLA"
"318","CO","02H","ABLA-H-02H","1974",0.7355,37.45622,108.08311,"ABLA"
"319","CO","02H","ABLA-H-02H","1973",0.729,37.45622,108.08311,"ABLA"
"320","CO","02H","ABLA-H-02H","1972",0.656,37.45622,108.08311,"ABLA"
"321","CO","02H","ABLA-H-02H","1971",0.821,37.45622,108.08311,"ABLA"
