Year,Tree,Ring_Width_mm
2002,MURPH07,1.766
2003,MURPH07,1.224
2004,MURPH07,1.36
2005,MURPH07,1.196
2006,MURPH07,0.869
2007,MURPH07,1.779
2008,MURPH07,1.355
2009,MURPH07,1.41
2010,MURPH07,0.808
2011,MURPH07,1.192
2012,MURPH07,0.921
2013,MURPH07,1.377
2014,MURPH07,1.198
2015,MURPH07,1.395
1972,MURPH08,1.203
1973,MURPH08,0.856
1974,MURPH08,0.985
1975,MURPH08,0.706
1976,MURPH08,0.733
1977,MURPH08,0.655
1978,MURPH08,0.966
1979,MURPH08,1.113
1980,MURPH08,0.814
1981,MURPH08,0.869
1982,MURPH08,1.026
1983,MURPH08,0.842
1984,MURPH08,0.709
1985,MURPH08,0.618
1986,MURPH08,0.43
1987,MURPH08,0.429
1988,MURPH08,0.282
1989,MURPH08,0.634
1990,MURPH08,1.032
1991,MURPH08,1.22
1992,MURPH08,1.076
1993,MURPH08,0.109
1994,MURPH08,0.653
1995,MURPH08,1.287
1996,MURPH08,1.098
1997,MURPH08,1.027
1998,MURPH08,0.896
1999,MURPH08,1.067
2000,MURPH08,1.4
2001,MURPH08,1.416
2002,MURPH08,1.296
2003,MURPH08,1.124
2004,MURPH08,1.075
2005,MURPH08,1.008
2006,MURPH08,0.93
2007,MURPH08,0.654
2008,MURPH08,1.161
2009,MURPH08,1.009
2010,MURPH08,0.493
2011,MURPH08,0.744
2012,MURPH08,0.679
2013,MURPH08,1.099
2014,MURPH08,1.001
2015,MURPH08,1.011
1969,MURPH09,0.739
1970,MURPH09,0.773
1971,MURPH09,1.026
1972,MURPH09,1.174
1973,MURPH09,0.794
1974,MURPH09,0.574
1975,MURPH09,0.572
1976,MURPH09,0.91
1977,MURPH09,0.942
1978,MURPH09,1.283
1979,MURPH09,1.475
1980,MURPH09,1.216
1981,MURPH09,1.508
1982,MURPH09,1.565
1983,MURPH09,1.105
1984,MURPH09,0.667
1985,MURPH09,0.808
1986,MURPH09,0.677
1987,MURPH09,0.849
1988,MURPH09,0.851
1989,MURPH09,1.779
1990,MURPH09,1.731
1991,MURPH09,1.45
1992,MURPH09,1.658
1993,MURPH09,1.342
1994,MURPH09,1.612
1995,MURPH09,2.207
1996,MURPH09,1.74
1997,MURPH09,0.902
1998,MURPH09,1.108
1999,MURPH09,1.295
2000,MURPH09,1.378
2001,MURPH09,1.307
2002,MURPH09,1.586
2003,MURPH09,1.15
2004,MURPH09,1.331
2005,MURPH09,1.331
2006,MURPH09,1.318
2007,MURPH09,1.235
2008,MURPH09,1.582
2009,MURPH09,1.925
2010,MURPH09,0.801
2011,MURPH09,1.093
2012,MURPH09,0.859
2013,MURPH09,0.714
2014,MURPH09,0.424
2015,MURPH09,0.497
1972,MURPH10,1.631
1973,MURPH10,0.92
1974,MURPH10,0.978
1975,MURPH10,0.991
1976,MURPH10,0.865
1977,MURPH10,0.813
1978,MURPH10,1.163
1979,MURPH10,1.107
1980,MURPH10,0.662
1981,MURPH10,0.941
1982,MURPH10,1.015
1983,MURPH10,0.607
1984,MURPH10,0.597
1985,MURPH10,0.349
1986,MURPH10,0.315
1987,MURPH10,0.398
1988,MURPH10,0.305
1989,MURPH10,0.479
1990,MURPH10,0.628
1991,MURPH10,0.754
1992,MURPH10,0.611
1993,MURPH10,0.335
1994,MURPH10,0.271
1995,MURPH10,0.65
1996,MURPH10,0.627
1997,MURPH10,0.668
1998,MURPH10,0.564
1999,MURPH10,0.888
2000,MURPH10,0.996
2001,MURPH10,0.644
2002,MURPH10,0.759
2003,MURPH10,0.938
2004,MURPH10,0.973
2005,MURPH10,1.191
2006,MURPH10,0.835
2007,MURPH10,0.813
2008,MURPH10,1.072
2009,MURPH10,1.008
2010,MURPH10,0.597
2011,MURPH10,1.012
2012,MURPH10,1.158
2013,MURPH10,1.031
2014,MURPH10,0.986
2015,MURPH10,0.862
1970,MURPH11,0.662
1971,MURPH11,0.87
1972,MURPH11,1.247
1973,MURPH11,1.298
1974,MURPH11,1.179
1975,MURPH11,0.981
1976,MURPH11,0.995
1977,MURPH11,1.09
1978,MURPH11,1.439
1979,MURPH11,1.375
1980,MURPH11,1.281
1981,MURPH11,1.289
1982,MURPH11,1.505
1983,MURPH11,0.98
1984,MURPH11,0.774
1985,MURPH11,0.421
1986,MURPH11,0.616
1987,MURPH11,0.638
1988,MURPH11,0.474
1989,MURPH11,0.682
1990,MURPH11,0.682
1991,MURPH11,0.881
1992,MURPH11,0.66
1993,MURPH11,0.604
1994,MURPH11,0.543
1995,MURPH11,0.833
1996,MURPH11,0.836
1997,MURPH11,0.758
1998,MURPH11,0.549
1999,MURPH11,0.855
2000,MURPH11,0.668
2001,MURPH11,0.627
2002,MURPH11,1.02
2003,MURPH11,0.876
2004,MURPH11,1.012
2005,MURPH11,0.898
2006,MURPH11,0.771
2007,MURPH11,0.638
2008,MURPH11,1.014
2009,MURPH11,0.928
2010,MURPH11,0.704
2011,MURPH11,1.055
2012,MURPH11,0.521
2013,MURPH11,0.79
2014,MURPH11,0.994
2015,MURPH11,0.751
1980,MURPH12,1.217
1981,MURPH12,1.138
1982,MURPH12,1.472
1983,MURPH12,1.078
1984,MURPH12,1.361
1985,MURPH12,0.83
1986,MURPH12,0.901
1987,MURPH12,0.77
1988,MURPH12,0.801
1989,MURPH12,1.023
1990,MURPH12,1.191
1991,MURPH12,1.192
1992,MURPH12,1.265
1993,MURPH12,0.814
1994,MURPH12,1.12
1995,MURPH12,1.276
1996,MURPH12,1.341
1997,MURPH12,0.708
1998,MURPH12,0.991
1999,MURPH12,1.112
2000,MURPH12,1.061
2001,MURPH12,1.151
2002,MURPH12,1.515
2003,MURPH12,1.277
2004,MURPH12,1.364
2005,MURPH12,1.476
2006,MURPH12,1.24
2007,MURPH12,1.125
2008,MURPH12,1.486
2009,MURPH12,1.452
2010,MURPH12,1.306
2011,MURPH12,1.543
2012,MURPH12,1.389
2013,MURPH12,1.157
2014,MURPH12,1.264
2015,MURPH12,1.064
1971,MURPH13,0.639
1972,MURPH13,0.833
1973,MURPH13,1.045
1974,MURPH13,1.14
1975,MURPH13,1.167
1976,MURPH13,1.395
1977,MURPH13,0.957
1978,MURPH13,1.752
1979,MURPH13,1.808
1980,MURPH13,1.613
1981,MURPH13,1.31
1982,MURPH13,1.251
1983,MURPH13,1.234
1984,MURPH13,1.476
1985,MURPH13,1.126
1986,MURPH13,1.159
1987,MURPH13,1.522
1988,MURPH13,0.81
1989,MURPH13,0.936
1990,MURPH13,0.978
1991,MURPH13,1.201
1992,MURPH13,1.187
1993,MURPH13,0.913
1994,MURPH13,1.096
1995,MURPH13,1.19
1996,MURPH13,1.013
1997,MURPH13,0.64
1998,MURPH13,0.355
1999,MURPH13,0.411
2000,MURPH13,1.043
2001,MURPH13,0.912
2002,MURPH13,1.185
2003,MURPH13,0.846
2004,MURPH13,1.05
2005,MURPH13,1.253
2006,MURPH13,0.773
2007,MURPH13,0.58
2008,MURPH13,0.7
2009,MURPH13,0.748
2010,MURPH13,0.408
2011,MURPH13,0.788
2012,MURPH13,0.521
2013,MURPH13,0.481
2014,MURPH13,0.711
2015,MURPH13,0.764
1976,MURPH14,0.966
1977,MURPH14,0.771
1978,MURPH14,1.097
1979,MURPH14,1.139
1980,MURPH14,1.039
1981,MURPH14,1.172
1982,MURPH14,1.405
1983,MURPH14,1.294
1984,MURPH14,1.178
1985,MURPH14,1.096
1986,MURPH14,1.074
1987,MURPH14,1.195
1988,MURPH14,0.751
1989,MURPH14,0.976
1990,MURPH14,1.34
1991,MURPH14,1.654
1992,MURPH14,2.211
1993,MURPH14,1.115
1994,MURPH14,1.445
1995,MURPH14,1.88
1996,MURPH14,1.685
1997,MURPH14,0.764
1998,MURPH14,0.944
1999,MURPH14,1.301
2000,MURPH14,1.249
2001,MURPH14,1.079
2002,MURPH14,1.407
2003,MURPH14,1.622
2004,MURPH14,1.197
2005,MURPH14,1.358
2006,MURPH14,1.237
2007,MURPH14,0.904
2008,MURPH14,1.266
2009,MURPH14,1.376
2010,MURPH14,0.698
2011,MURPH14,1.082
2012,MURPH14,0.966
2013,MURPH14,0.594
2014,MURPH14,0.952
2015,MURPH14,1.151
1967,MURPH15,0.731
1968,MURPH15,0.177
1969,MURPH15,0.641
1970,MURPH15,0.407
1971,MURPH15,0.849
1972,MURPH15,1.133
1973,MURPH15,1.012
1974,MURPH15,1.124
1975,MURPH15,1.296
1976,MURPH15,1.42
1977,MURPH15,1.646
1978,MURPH15,2.274
1979,MURPH15,1.476
1980,MURPH15,1.579
1981,MURPH15,2.591
1982,MURPH15,2.184
1983,MURPH15,1.877
1984,MURPH15,1.241
1985,MURPH15,1.138
1986,MURPH15,0.774
1987,MURPH15,0.543
1988,MURPH15,0.727
1989,MURPH15,0.69
1990,MURPH15,1.506
1991,MURPH15,1.57
1992,MURPH15,0.737
1993,MURPH15,1.466
1994,MURPH15,1.836
1995,MURPH15,1.594
1996,MURPH15,0.61
1997,MURPH15,0.696
1998,MURPH15,0.8
1999,MURPH15,0.99
2000,MURPH15,1.189
2001,MURPH15,1.337
2002,MURPH15,1.022
2003,MURPH15,1.158
2004,MURPH15,1.564
2005,MURPH15,0.607
2006,MURPH15,0.432
2007,MURPH15,0.653
2008,MURPH15,0.901
2009,MURPH15,0.232
2010,MURPH15,0.177
2011,MURPH15,0.089
2012,MURPH15,0.102
2013,MURPH15,0.109
2014,MURPH15,0.142
2015,MURPH15,0.313
1966,MURPH16,0.76
1967,MURPH16,0.694
1968,MURPH16,0.121
1969,MURPH16,0.551
1970,MURPH16,0.927
1971,MURPH16,0.678
1972,MURPH16,1.084
1973,MURPH16,0.687
1974,MURPH16,1.076
1975,MURPH16,1.07
1976,MURPH16,0.745
1977,MURPH16,0.821
1978,MURPH16,0.856
1979,MURPH16,1.153
1980,MURPH16,0.984
1981,MURPH16,0.688
1982,MURPH16,1.186
1983,MURPH16,0.98
1984,MURPH16,1.101
1985,MURPH16,1.098
1986,MURPH16,0.834
1987,MURPH16,1.038
1988,MURPH16,0.643
1989,MURPH16,0.852
1990,MURPH16,1.328
1991,MURPH16,1.821
1992,MURPH16,2.227
1993,MURPH16,1.163
1994,MURPH16,1.291
1995,MURPH16,1.998
1996,MURPH16,1.439
1997,MURPH16,0.674
1998,MURPH16,0.471
1999,MURPH16,0.745
2000,MURPH16,0.851
2001,MURPH16,0.822
2002,MURPH16,1.767
2003,MURPH16,1.173
2004,MURPH16,1.458
2005,MURPH16,1.554
2006,MURPH16,0.875
2007,MURPH16,0.754
2008,MURPH16,0.856
2009,MURPH16,1.313
2010,MURPH16,0.288
2011,MURPH16,0.816
2012,MURPH16,0.94
2013,MURPH16,0.823
2014,MURPH16,1.095
2015,MURPH16,1.111
1971,MURPH17,0.769
1972,MURPH17,0.844
1973,MURPH17,1.235
1974,MURPH17,0.741
1975,MURPH17,0.565
1976,MURPH17,0.72
1977,MURPH17,0.85
1978,MURPH17,2.432
1979,MURPH17,1.345
1980,MURPH17,1.069
1981,MURPH17,0.885
1982,MURPH17,1.359
1983,MURPH17,1.591
1984,MURPH17,1.745
1985,MURPH17,1.471
1986,MURPH17,1.293
1987,MURPH17,1.461
1988,MURPH17,1.005
1989,MURPH17,1.189
1990,MURPH17,1.318
1991,MURPH17,1.589
1992,MURPH17,1.657
1993,MURPH17,1.53
1994,MURPH17,2.307
1995,MURPH17,2.646
1996,MURPH17,3.093
1997,MURPH17,1.701
1998,MURPH17,2.22
1999,MURPH17,2.202
2000,MURPH17,2.024
2001,MURPH17,1.729
2002,MURPH17,3.025
2003,MURPH17,2.399
2004,MURPH17,1.948
2005,MURPH17,2.134
2006,MURPH17,1.625
2007,MURPH17,1.37
2008,MURPH17,1.692
2009,MURPH17,1.265
2010,MURPH17,0.913
2011,MURPH17,1.407
2012,MURPH17,1.125
2013,MURPH17,1.106
2014,MURPH17,0.954
2015,MURPH17,1.236
1966,MURPH18,0.594
1967,MURPH18,1.137
1968,MURPH18,1.255
1969,MURPH18,0.858
1970,MURPH18,1.554
1971,MURPH18,1.011
1972,MURPH18,1.544
1973,MURPH18,0.9
1974,MURPH18,1.207
1975,MURPH18,0.813
1976,MURPH18,0.544
1977,MURPH18,0.342
1978,MURPH18,0.437
1979,MURPH18,0.648
1980,MURPH18,0.687
1981,MURPH18,0.541
1982,MURPH18,0.766
1983,MURPH18,0.582
1984,MURPH18,0.709
1985,MURPH18,0.579
1986,MURPH18,0.437
1987,MURPH18,0.457
1988,MURPH18,0.478
1989,MURPH18,0.567
1990,MURPH18,0.658
1991,MURPH18,0.709
1992,MURPH18,0.876
1993,MURPH18,0.3
1994,MURPH18,0.696
1995,MURPH18,0.988
1996,MURPH18,0.88
1997,MURPH18,0.57
1998,MURPH18,0.289
1999,MURPH18,0.429
2000,MURPH18,0.469
2001,MURPH18,0.383
2002,MURPH18,0.628
2003,MURPH18,0.483
2004,MURPH18,0.536
2005,MURPH18,0.64
2006,MURPH18,0.358
2007,MURPH18,0.581
2008,MURPH18,0.411
2009,MURPH18,0.44
2010,MURPH18,0.188
2011,MURPH18,0.33
2012,MURPH18,0.327
2013,MURPH18,0.435
2014,MURPH18,0.432
2015,MURPH18,0.362
1969,MURPH19,0.939
1970,MURPH19,1.26
1971,MURPH19,0.978
1972,MURPH19,1.67
1973,MURPH19,1.155
1974,MURPH19,1.063
1975,MURPH19,0.662
1976,MURPH19,0.425
1977,MURPH19,0.303
1978,MURPH19,0.595
1979,MURPH19,0.996
1980,MURPH19,0.693
1981,MURPH19,0.635
1982,MURPH19,0.867
1983,MURPH19,0.961
1984,MURPH19,1.125
1985,MURPH19,0.859
1986,MURPH19,0.732
1987,MURPH19,0.965
1988,MURPH19,0.9
1989,MURPH19,0.777
1990,MURPH19,0.783
1991,MURPH19,0.879
1992,MURPH19,1.145
1993,MURPH19,0.78
1994,MURPH19,0.756
1995,MURPH19,1.129
1996,MURPH19,0.926
1997,MURPH19,0.993
1998,MURPH19,0.564
1999,MURPH19,0.572
2000,MURPH19,0.759
2001,MURPH19,0.698
2002,MURPH19,0.936
2003,MURPH19,0.665
2004,MURPH19,1.206
2005,MURPH19,0.823
2006,MURPH19,0.68
2007,MURPH19,0.763
2008,MURPH19,0.786
2009,MURPH19,0.98
2010,MURPH19,0.293
2011,MURPH19,0.735
2012,MURPH19,0.711
2013,MURPH19,0.79
2014,MURPH19,0.665
2015,MURPH19,0.807
1971,MURPH20,0.525
1972,MURPH20,0.976
1973,MURPH20,0.843
1974,MURPH20,1.023
1975,MURPH20,0.59
1976,MURPH20,0.603
1977,MURPH20,0.464
1978,MURPH20,0.875
1979,MURPH20,1.128
1980,MURPH20,0.748
1981,MURPH20,0.597
1982,MURPH20,0.995
1983,MURPH20,0.906
1984,MURPH20,0.922
1985,MURPH20,0.597
1986,MURPH20,0.622
1987,MURPH20,0.647
1988,MURPH20,0.604
1989,MURPH20,0.593
1990,MURPH20,0.659
1991,MURPH20,0.998
1992,MURPH20,1.075
1993,MURPH20,0.854
1994,MURPH20,1.016
1995,MURPH20,1.282
1996,MURPH20,0.821
1997,MURPH20,0.343
1998,MURPH20,0.309
1999,MURPH20,0.344
2000,MURPH20,0.7
2001,MURPH20,0.644
2002,MURPH20,0.766
2003,MURPH20,0.662
2004,MURPH20,0.92
2005,MURPH20,1.139
2006,MURPH20,0.61
2007,MURPH20,0.402
2008,MURPH20,0.537
2009,MURPH20,0.787
2010,MURPH20,0.442
2011,MURPH20,0.696
2012,MURPH20,0.59
2013,MURPH20,0.935
2014,MURPH20,0.739
2015,MURPH20,0.482
1968,MURPH21,0.829
1969,MURPH21,0.625
1970,MURPH21,0.682
1971,MURPH21,0.86
1972,MURPH21,1.165
1973,MURPH21,1.133
1974,MURPH21,1.056
1975,MURPH21,1.045
1976,MURPH21,1.154
1977,MURPH21,0.725
1978,MURPH21,1.406
1979,MURPH21,1.192
1980,MURPH21,0.938
1981,MURPH21,0.753
1982,MURPH21,0.917
1983,MURPH21,0.897
1984,MURPH21,0.892
1985,MURPH21,0.628
1986,MURPH21,0.696
1987,MURPH21,0.917
1988,MURPH21,0.772
1989,MURPH21,1.015
1990,MURPH21,1.013
1991,MURPH21,1.159
1992,MURPH21,1.284
1993,MURPH21,0.391
1994,MURPH21,1.341
1995,MURPH21,1.458
1996,MURPH21,1.14
1997,MURPH21,0.68
1998,MURPH21,0.512
1999,MURPH21,0.612
2000,MURPH21,0.679
2001,MURPH21,0.722
2002,MURPH21,1.245
2003,MURPH21,0.662
2004,MURPH21,1.094
2005,MURPH21,1.349
2006,MURPH21,1.034
2007,MURPH21,0.805
2008,MURPH21,1.027
2009,MURPH21,1.158
2010,MURPH21,0.572
2011,MURPH21,1.094
2012,MURPH21,0.939
2013,MURPH21,0.972
2014,MURPH21,1.061
2015,MURPH21,1.253
1969,MURPH22,0.406
1970,MURPH22,0.285
1971,MURPH22,1
1972,MURPH22,1.171
1973,MURPH22,0.954
1974,MURPH22,0.799
1975,MURPH22,0.64
1976,MURPH22,0.954
1977,MURPH22,0.891
1978,MURPH22,1.219
1979,MURPH22,1.111
1980,MURPH22,1.054
1981,MURPH22,0.753
1982,MURPH22,1.154
1983,MURPH22,0.773
1984,MURPH22,0.754
1985,MURPH22,0.929
1986,MURPH22,0.795
1987,MURPH22,0.795
1988,MURPH22,0.623
1989,MURPH22,0.806
1990,MURPH22,0.702
1991,MURPH22,0.709
1992,MURPH22,1.175
1993,MURPH22,0.832
1994,MURPH22,1.005
1995,MURPH22,1.158
1996,MURPH22,0.795
1997,MURPH22,0.558
1998,MURPH22,0.391
1999,MURPH22,0.204
2000,MURPH22,0.296
2001,MURPH22,0.651
2002,MURPH22,0.918
2003,MURPH22,0.779
2004,MURPH22,0.643
2005,MURPH22,0.763
2006,MURPH22,0.827
2007,MURPH22,0.797
2008,MURPH22,0.718
2009,MURPH22,0.805
2010,MURPH22,0.678
2011,MURPH22,1.066
2012,MURPH22,0.74
2013,MURPH22,0.443
2014,MURPH22,0.517
2015,MURPH22,1.144
1967,MURPH23,0.654
1968,MURPH23,0.783
1969,MURPH23,0.474
1970,MURPH23,0.422
1971,MURPH23,0.641
1972,MURPH23,1.195
1973,MURPH23,1.72
1974,MURPH23,2.09
1975,MURPH23,1.258
1976,MURPH23,1.598
1977,MURPH23,1.233
1978,MURPH23,2.015
1979,MURPH23,2.457
1980,MURPH23,1.698
1981,MURPH23,1.423
1982,MURPH23,1.987
1983,MURPH23,1.533
1984,MURPH23,1.741
1985,MURPH23,1.721
1986,MURPH23,1.895
1987,MURPH23,1.504
1988,MURPH23,1.273
1989,MURPH23,1.007
1990,MURPH23,1.38
1991,MURPH23,1.598
1992,MURPH23,1.864
1993,MURPH23,0.822
1994,MURPH23,1.332
1995,MURPH23,1.676
1996,MURPH23,1.508
1997,MURPH23,0.676
1998,MURPH23,0.456
1999,MURPH23,0.471
2000,MURPH23,0.473
2001,MURPH23,0.455
2002,MURPH23,1.049
2003,MURPH23,0.675
2004,MURPH23,0.83
2005,MURPH23,0.776
2006,MURPH23,0.565
2007,MURPH23,0.55
2008,MURPH23,0.89
2009,MURPH23,0.771
2010,MURPH23,0.367
2011,MURPH23,0.773
2012,MURPH23,0.49
2013,MURPH23,0.371
2014,MURPH23,0.523
2015,MURPH23,0.705
1974,MURPH24,1.212
1975,MURPH24,0.84
1976,MURPH24,0.709
1977,MURPH24,1.022
1978,MURPH24,1.641
1979,MURPH24,1.417
1980,MURPH24,1.392
1981,MURPH24,1.428
1982,MURPH24,1.759
1983,MURPH24,1.536
1984,MURPH24,1.469
1985,MURPH24,1.182
1986,MURPH24,1.372
1987,MURPH24,1.328
1988,MURPH24,0.849
1989,MURPH24,1.105
1990,MURPH24,1.092
1991,MURPH24,1.428
1992,MURPH24,1.396
1993,MURPH24,0.134
