age_CE,PJP01A_raw,PJP01B_raw,PJP02A_raw,PJP02B_raw,PJP03A_raw,PJP04A_raw,PJP04B_raw,PJP05A_raw,PJP05B_raw,PJP06A_raw,PJP06B_raw,PJP07A_raw,PJP07B_raw,PJP08A_raw,PJP08B_raw,PJP09A_raw,PJP09B_raw,PJP10A_raw,PJP10B_raw,PJP11A_raw,PJP11B_raw,PJP12A_raw,PJP12B_raw,PJP13A_raw,PJP13B_raw,PJP14B_raw,PJP15A_raw,PJP15B_raw,PJP16A_raw,PJP16B_raw,PJP18A_raw,PJP18B_raw,PJP19A_raw,PJP19B_raw,PJP20A_raw,PJP20B_raw,PJP01A_raw_outlier_flag,PJP01B_raw_outlier_flag,PJP02A_raw_outlier_flag,PJP02B_raw_outlier_flag,PJP03A_raw_outlier_flag,PJP04A_raw_outlier_flag,PJP04B_raw_outlier_flag,PJP05A_raw_outlier_flag,PJP05B_raw_outlier_flag,PJP06A_raw_outlier_flag,PJP06B_raw_outlier_flag,PJP07A_raw_outlier_flag,PJP07B_raw_outlier_flag,PJP08A_raw_outlier_flag,PJP08B_raw_outlier_flag,PJP09A_raw_outlier_flag,PJP09B_raw_outlier_flag,PJP10A_raw_outlier_flag,PJP10B_raw_outlier_flag,PJP11A_raw_outlier_flag,PJP11B_raw_outlier_flag,PJP12A_raw_outlier_flag,PJP12B_raw_outlier_flag,PJP13A_raw_outlier_flag,PJP13B_raw_outlier_flag,PJP14B_raw_outlier_flag,PJP15A_raw_outlier_flag,PJP15B_raw_outlier_flag,PJP16A_raw_outlier_flag,PJP16B_raw_outlier_flag,PJP18A_raw_outlier_flag,PJP18B_raw_outlier_flag,PJP19A_raw_outlier_flag,PJP19B_raw_outlier_flag,PJP20A_raw_outlier_flag,PJP20B_raw_outlier_flag
1890,1.87,1.24,0.93,0.44,0.37,1.52,0.93,0.81,0.72,0.36,0.55,0.99,0.28,0.44,1.83,0.58,0.57,0.8,0.44,0.53,0.53,0.36,0.22,0.86,0.59,1.17,1.58,1.5,0.53,1.2,1.91,0.37,0.49,0.41,2.71,3.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1891,2.28,1.53,0.74,0.54,0.61,2.49,1.49,1.03,0.99,0.49,0.83,1,0.29,0.41,1.59,0.57,0.66,1.03,0.67,0.63,1.26,0.37,0.22,1.07,1.05,1.24,1.49,1.18,0.69,1.33,1.88,0.62,0.48,0.41,3.51,3.88,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1892,1.92,1.58,0.71,0.64,0.42,1.44,1.14,1.21,0.99,0.56,0.78,1.05,0.65,0.34,1.29,0.66,0.66,1,0.77,0.96,1.39,0.31,0.27,1.28,1.23,1.23,1.32,1.06,0.72,1.09,1.25,0.69,0.66,0.69,3.3,3.36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1893,2.26,1.46,0.93,0.49,0.37,1.6,1.06,1.11,0.74,0.4,0.65,0.6,0.52,0.6,1.49,0.72,0.38,1.08,0.64,0.96,1.32,0.37,0.19,1.02,1.34,0.75,1.26,0.91,0.63,1.09,1.98,0.62,0.57,0.62,3.4,3.23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1894,2.56,1.67,1.24,0.77,0.58,1.79,1.47,1.51,1,0.35,0.71,1.2,0.54,0.71,2.57,0.99,0.77,1.26,0.73,1.1,1.69,0.4,0.26,1.24,1.4,1.21,1.33,1.12,0.93,1.67,2.09,0.81,0.39,0.4,3.75,4.03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1895,1.49,1.39,1.2,0.45,0.61,0.95,1.37,1.31,0.77,0.39,0.73,0.72,0.42,0.8,2.24,0.94,0.65,1.21,0.64,1.26,1.85,0.34,0.16,1.41,1.02,1.19,1.45,1.31,0.7,1.22,2.13,0.78,0.61,0.77,3.17,4.11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1896,1.49,1.1,0.88,0.53,0.65,0.26,1.21,1.06,0.65,0.27,0.67,0.8,0.43,0.63,1.92,0.68,0.71,1.11,0.51,0.95,1.87,0.25,0.18,0.85,1.17,0.98,1.32,0.93,0.78,0.97,1.79,0.82,0.61,0.39,3.19,3.12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1897,1.93,1.23,1.41,0.67,0.78,0.33,1.66,1.33,1.08,0.42,0.99,1.09,0.47,0.82,1.82,0.98,0.8,1.38,0.76,1.19,1.89,0.34,0.26,1.17,1.56,1.06,1.95,1.32,0.8,1.38,1.83,0.94,0.73,0.77,4.08,4.14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1898,1.72,1.19,1.2,0.78,0.84,0.97,1.24,1.11,1,0.4,0.73,0.78,0.63,1.07,1.12,0.89,0.84,1.11,0.53,1.42,1.94,0.39,0.21,1.06,1.47,1.26,1.75,1.2,0.83,1.52,2.01,0.82,0.69,0.85,3.42,4.24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1899,1.26,1.15,0.94,0.43,0.98,1.07,1.1,1.25,0.68,0.45,0.58,1,0.53,0.91,1.17,0.83,0.76,1.07,0.56,1.25,1.55,0.34,0.24,1.16,1.13,0.9,1.25,0.69,0.48,1.09,1.51,0.59,0.49,0.61,3.17,3.06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1900,1.9,1.05,0.95,0.62,1.1,1.39,1.31,1.33,0.66,0.79,0.97,1.14,0.71,1.05,1.13,0.9,0.97,1.3,0.89,1.11,1.44,0.43,0.39,1.1,1.54,1.27,1.47,0.6,0.66,1.52,1.39,0.65,0.9,0.81,3.88,3.48,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1901,1.96,1.42,1.14,0.79,1.06,1.71,1.52,1.28,0.98,0.64,1.08,0.86,0.78,1.05,1.07,0.76,0.81,1.36,0.79,1.44,1.9,0.43,0.28,1.58,1.55,1.48,1.62,1.13,0.7,1.83,1.76,1.09,1.13,0.99,4.13,3.71,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1902,1.24,1.05,0.94,0.69,0.7,1.27,1.32,1.27,0.65,0.53,0.76,1.06,0.57,0.72,1.31,0.63,0.66,1.21,0.83,1.5,1.9,0.3,0.19,1.14,1.16,0.94,1.34,0.81,0.75,1.4,1.65,0.94,0.68,1.07,3.66,2.91,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1903,0.95,1.1,0.66,0.85,0.64,1.57,0.96,1.71,0.61,0.57,0.7,0.57,0.51,0.7,0.83,0.79,0.65,1.26,0.7,1.07,1.28,0.33,0.2,0.97,1.26,0.9,1.26,0.8,0.56,1.22,1.21,0.69,0.57,0.79,2.85,2.11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1904,0.78,0.78,0.6,0.66,0.97,1.71,1.15,1.62,0.64,0.39,0.45,0.86,0.45,0.72,1.61,0.54,0.43,1.09,0.71,1.14,1.42,0.3,0.14,0.9,1.13,0.75,1.04,0.86,0.66,1.06,1.51,1.04,0.58,0.65,2.93,2.29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1905,0.6,0.47,0.41,0.77,0.82,1.63,0.92,1.96,0.66,0.37,0.75,0.77,0.38,1.1,1.33,0.67,0.6,0.93,0.78,0.97,1.4,0.34,0.19,1.07,1.16,1.04,1.66,1.13,0.61,1.26,1.67,0.86,0.78,0.7,3.66,3.15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1906,0.57,0.6,0.57,0.64,0.81,1.17,1.02,1.92,0.64,0.57,0.81,1.07,0.79,1.05,1.33,0.73,0.59,0.99,0.76,0.58,0.87,0.29,0.22,0.8,1.11,0.82,1.39,0.71,0.74,1.22,1.79,0.86,0.79,0.66,3.77,2.73,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1907,1.24,1.42,0.87,0.86,1.49,1.34,1.24,1.9,0.79,0.66,0.83,1.21,0.85,1.03,1.52,0.82,0.96,1.27,0.97,1.11,1.75,0.35,0.29,1.43,1.3,0.85,1.74,1.12,0.87,1.48,2.48,1.01,0.87,0.57,5.66,4.25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1908,1.5,1.21,1.02,0.73,1.28,1.07,1.14,1.79,1.18,0.87,0.86,1.07,0.83,1.34,1.36,0.95,0.93,1.61,0.97,1.78,2.19,0.4,0.22,1.57,1.97,1.4,1.83,1.22,0.81,1.44,2.09,1.12,0.91,1.1,5.56,3.98,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
1909,0.8,1.01,0.8,0.93,0.96,0.7,0.87,1.65,0.94,0.67,0.92,0.64,0.56,0.83,1.45,0.77,0.57,1.02,0.7,1.22,1.73,0.28,0.18,1.29,0.72,0.66,1.42,0.8,0.64,1.3,1.49,0.97,0.88,1.14,4.02,2.65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1910,0.94,1.13,0.67,0.93,1.35,0.8,0.77,1.22,0.7,0.47,0.4,0.4,0.52,0.77,1.18,0.54,0.44,0.66,0.27,0.82,1.32,0.3,0.16,0.52,0.71,0.35,1.01,0.63,0.44,0.91,1.57,0.53,0.53,0.48,3.06,2.38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1911,1.2,0.93,0.56,0.65,1.1,0.72,0.68,1.25,0.68,0.42,0.49,0.2,0.28,0.68,0.92,0.5,0.39,0.54,0,0.79,1.1,0.13,0.22,0.72,0.7,0.85,1.05,0.57,0.43,1.16,1.44,0.52,0.52,0.6,2.83,2.38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1912,1.17,0.81,0.54,1.09,1.3,0.92,0.77,1.55,1.19,0.46,0.85,0.17,0.36,0.46,1.15,0.83,0.64,0.6,0.32,0.9,1.41,0.25,0.22,0.98,0.68,1.05,1.32,0.71,0.65,1.06,1.46,0.39,0.6,0.79,3.03,2.76,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1913,1.28,1.31,0.84,1.4,1.42,1.09,0.94,2.4,1.7,0.47,0.67,0.61,0.7,0.81,0.89,1.35,0.83,0.7,0.61,1.03,1.78,0.42,0.25,1.09,1.48,1.06,1.64,0.91,1.01,1.43,1.35,0.56,0.6,1.15,3.06,3.25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1914,1.32,1.17,0.97,1.4,1.06,0.89,0.89,1.59,1.44,0.61,0.72,1.18,0.8,0.73,1.06,0.81,0.78,0.79,0.91,0.91,1.51,0.3,0.17,1.1,1.26,1.22,1.14,1.02,0.73,1.53,1.24,0.54,0.9,1.21,2.65,3.02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1915,1.01,0.82,0.77,1.08,0.78,0.52,0.57,1.67,1,0.54,0.71,0.83,0.66,0.32,0.89,0.6,0.6,0.73,0.64,0.56,1.02,0.29,0.25,0.88,0.93,0.77,0.87,0.43,0.55,0.85,0.74,0.41,0.44,0.62,2.05,2.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1916,1.11,0.91,0.73,0.97,0.26,0.74,0.43,2.24,1.35,0.49,0.64,0.75,0.71,0.37,0.79,0.61,0.41,0.54,0.54,0.73,0.81,0.32,0.23,0.55,1.03,0.75,1.05,0.62,0.73,1.07,1.08,0.67,0.62,0.73,3.09,2.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
