age_CE,WBO01A_raw,WBO01B_raw,WBO02B_raw,WBO03A_raw,WBO04A_raw,WBO04B_raw,WBO06A_raw,WBO06B_raw,WBO07A_raw,WBO09A_raw,WBO09B_raw,WBO10A_raw,WBO10B_raw,WBO11A_raw,WBO13A_raw,WBO13B_raw,WBO14B_raw,WBO15B_raw,WBO16B_raw,WBO17A_raw,WBO17B_raw,WBO18A_raw,WBO18B_raw,WBO19A_raw,WBO20A_raw,WBO01A_raw_outlier_flag,WBO01B_raw_outlier_flag,WBO02B_raw_outlier_flag,WBO03A_raw_outlier_flag,WBO04A_raw_outlier_flag,WBO04B_raw_outlier_flag,WBO06A_raw_outlier_flag,WBO06B_raw_outlier_flag,WBO07A_raw_outlier_flag,WBO09A_raw_outlier_flag,WBO09B_raw_outlier_flag,WBO10A_raw_outlier_flag,WBO10B_raw_outlier_flag,WBO11A_raw_outlier_flag,WBO13A_raw_outlier_flag,WBO13B_raw_outlier_flag,WBO14B_raw_outlier_flag,WBO15B_raw_outlier_flag,WBO16B_raw_outlier_flag,WBO17A_raw_outlier_flag,WBO17B_raw_outlier_flag,WBO18A_raw_outlier_flag,WBO18B_raw_outlier_flag,WBO19A_raw_outlier_flag,WBO20A_raw_outlier_flag
1890,2.49,2.26,1.82,1.94,0.9,NA,1.88,1.59,0.54,1.36,1.9,1.59,1.84,0.86,1.36,1.8,0.94,0.78,3.26,2.39,NA,NA,1.82,3.17,NA,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
1891,1.81,1.9,2.09,1.58,1,NA,2.01,1.6,0.5,1.32,1.98,1.55,1.75,0.7,1.44,1.68,0.84,0.55,2.92,1.79,NA,NA,1.37,2.95,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
1892,1.72,1.78,1.74,1.58,1.07,NA,1.62,1.47,0.49,1.2,1.87,1.34,1.54,0.72,1.38,1.5,0.81,0.61,2.48,1.78,NA,NA,1.02,2.71,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA
1893,1.41,1.49,1.51,1.16,1.01,NA,0.96,0.92,0.46,1.06,1.7,1.32,1.44,0.72,1.17,1.56,0.7,0.59,2.22,1.63,NA,NA,0.85,2.41,1.84,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE
1894,1.38,1.87,1.94,1.14,1.02,NA,1.12,0.95,0.53,1.43,2,1.45,1.5,0.66,1.12,1.79,0.74,0.85,2.49,2,NA,NA,0.73,2.09,2.04,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE
1895,1.58,1.83,2.09,1.33,1.18,NA,1.58,1.5,0.46,1.25,1.68,1.41,1.46,0.71,1.09,1.52,0.79,0.62,2.17,2.55,NA,NA,0.89,1.97,2.32,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE
1896,2.02,1.96,2.05,1.3,1.17,NA,1.63,1.4,0.52,1.53,1.82,1.39,1.63,0.69,1.03,1.32,0.82,0.72,2.34,3.05,NA,1.69,1.02,2.14,2.4,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1897,2.1,2.14,1.46,1.3,1.04,NA,1.55,1.44,0.45,1.91,1.78,1.68,1.81,0.73,1.22,1.45,0.83,0.6,2.17,3.09,NA,1.53,0.9,1.96,2,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1898,1.99,2.08,1.86,1.05,0.95,NA,1.46,1.42,0.6,1.64,1.87,1.76,1.81,0.84,1.22,1.45,0.96,0.68,2.07,2.21,NA,1.34,0.73,2.14,2.14,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1899,1.76,1.36,1.7,1.06,1.2,NA,1.46,1.26,0.38,1.6,1.71,1.34,1.35,0.6,1.04,1.39,0.62,0.59,1.72,1.73,NA,1.16,0.64,1.53,1.54,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1900,1.5,1.34,2.08,0.92,0.82,NA,1.8,1.43,0.5,2.51,2.3,1.41,1.43,0.68,1.25,1.44,0.79,0.46,1.73,2.34,NA,1.5,0.78,1.61,1.56,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1901,2.16,1.96,2.53,1.38,1.17,NA,2.1,1.53,0.47,3.21,2.55,1.85,2.35,0.8,1.11,1.32,0.7,0.48,1.92,2.71,NA,1.78,0.97,2.13,2.67,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1902,1.62,1.67,2.46,1.04,0.92,NA,1.42,1.3,0.53,2.33,2.33,1.58,1.58,0.7,0.8,1.07,0.73,0.47,1.85,2.29,2.36,0.98,0.76,1.82,2.26,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1903,1.86,1.86,2.21,0.92,1.08,NA,1.41,1.08,0.4,2.42,2.11,1.42,1.56,0.68,0.9,1.16,0.73,0.58,1.72,2.37,2.3,1.13,0.77,1.7,2.14,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1904,2.34,1.96,3.37,1.29,1.05,NA,1.92,1.57,0.6,3.14,2.87,1.52,2.19,0.91,1.01,1.49,0.82,0.67,1.88,2.84,3.34,1.71,1.25,1.92,2.41,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1905,1.83,2.11,2.23,1.22,0.84,NA,1.55,1.23,0.56,2.62,2.15,1.25,1.41,0.74,0.84,1.49,0.72,0.6,1.66,2.08,2.37,1.46,0.97,1.81,2.13,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1906,2.14,2.95,3.59,1.42,0.99,NA,1.9,1.52,0.59,2.07,1.76,1.34,1.95,0.81,0.87,1.73,0.76,0.55,2.6,2.51,2.75,1.63,0.94,2.06,2.35,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1907,1.51,2.86,2.77,1.33,0.65,NA,0.98,0.86,0.49,1.78,1.57,1.16,1.58,0.67,0.76,1.55,0.67,0.45,1.74,2.22,2.22,1.11,0.58,1.7,1.64,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1908,1.15,2.13,2.44,1.13,0.75,NA,0.7,0.78,0.48,1.44,1.41,1.01,1.23,0.68,0.9,1.37,0.44,0.38,1.19,1.6,1.41,0.99,0.41,1.3,1.66,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1909,0.98,1.8,2.24,1.04,0.81,NA,1.14,1.05,0.51,1.12,1.37,1.02,1.14,0.58,0.79,1.14,0.53,0.49,1.31,1.35,1.36,1.05,0.57,1.03,1.62,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1910,1.17,1.83,3.09,1.11,0.79,1,1.24,1.29,0.53,1.22,1.86,1.14,1.34,0.78,0.75,1.31,0.6,0.56,1.45,1.64,1.79,1.29,0.75,1.47,1.97,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1911,1.23,1.94,2.92,1.65,1.16,1.21,1.66,1.56,0.73,1.53,2.11,1.08,1.37,0.85,0.87,1.47,0.71,0.64,1.61,1.81,2.33,1.42,0.87,1.64,1.96,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1912,1.17,1.72,2.16,1.74,0.96,1.43,4.62,1.77,0.86,1.47,2.37,1.29,1.89,0.97,0.84,1.29,0.78,0.7,1.76,2.19,2.07,1.53,0.99,2,2.22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1913,1.27,2.07,2.58,1.71,0.85,1.5,3.77,1.6,0.94,1.66,2.18,1.68,1.69,0.95,0.94,1.4,0.7,0.61,1.54,1.97,2.17,1.33,0.79,1.84,1.31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1914,0.83,1.63,1.93,1.24,0.7,1.19,2.01,1.17,0.73,1.65,2.26,1.32,1.18,0.79,0.94,1.18,0.48,0.57,1.17,1.53,1.44,1.25,0.6,1.15,1.08,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1915,1.29,2.11,2.09,1.49,0.82,1.19,1.88,1.56,0.79,2.11,2.42,1.65,1.69,1.01,1.18,1.36,0.76,0.75,1.58,2.04,2.45,1.37,0.84,1.92,1.73,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1916,1.28,1.73,1.14,1.51,0.66,1.04,1.48,1.5,0.6,1.59,1.67,1.19,1.32,0.68,1.25,1.28,0.57,0.61,1.29,1.98,2.16,1.14,0.68,1.43,1.14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1917,1.13,1.64,1.56,1.64,0.88,1.42,2.66,1.62,0.65,1.74,2.63,1.24,1.64,0.82,1.51,1.09,0.66,0.71,1.27,1.85,2.37,1.39,0.81,1.45,1.41,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1918,1.09,1.29,1.51,1.39,0.61,1.06,2.33,2.14,0.58,1.67,2,1.01,1.16,0.65,1.41,1.02,0.66,0.77,1.29,1.3,1.62,1.31,0.9,1.24,1.37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1919,1.55,1.6,2.15,1.83,0.65,0.9,2.67,1.58,0.43,2.05,2.27,1.45,2.03,0.44,1,1.16,0.44,1.07,1.31,1.29,2.24,1.14,0.75,1.39,1.86,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1920,1.19,1.08,1.44,1.64,0.66,0.96,1.6,1.8,0.33,1.99,1.69,1.4,1.8,0.5,0.96,1.18,0.48,1.51,1.18,1.76,2.58,1.43,0.74,1.24,1.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1921,0.97,0.97,1.19,1.84,0.7,0.88,1.15,1.52,0.31,2.18,1.76,1.32,1.53,0.57,0.89,0.99,0.49,2.48,0.88,1.28,1.91,1.32,0.79,1.04,1.41,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1922,1.27,1.17,1.55,2.06,0.65,1.18,3.26,1.98,0.39,2.24,2.03,1.67,2.32,0.67,0.93,1.25,0.6,2.41,1.31,3.18,3.39,1.5,1.07,1.67,1.74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1923,0.88,1,0.86,1.78,0.7,1.04,2.63,2.37,0.4,1.6,1.49,1.65,1.91,0.59,0.81,1.05,0.55,1.46,0.94,3.07,3.04,1.16,0.67,1.06,1.34,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1924,0.97,1.06,1.02,1.98,0.74,0.91,1.56,1.83,0.36,1.23,1.05,1.74,1.92,0.56,0.72,0.99,0.58,1.27,0.88,1.49,1.36,0.74,0.42,0.99,0.93,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1925,1.34,1.56,0.78,2.7,0.71,0.99,1.63,2.34,0.43,1.54,1.29,1.56,2.05,0.69,0.68,1.19,0.54,2.83,1.02,1.74,1.77,1.14,0.73,1.06,1.25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1926,1.3,1.5,1.01,2.05,0.83,0.82,1.29,2.42,0.47,1.42,1.36,1.45,1.41,0.62,0.82,1.05,0.5,2.11,0.87,1.34,1.66,1.1,0.52,0.85,1.25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1927,1.17,0.96,0.72,1.33,0.64,0.85,0.96,2.12,0.47,1.03,1.04,1.25,1.41,0.45,0.66,0.91,0.49,1.66,0.91,1.19,1.29,1,0.62,0.92,1.06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1928,1.37,1.36,0.87,1.54,0.75,0.73,1.02,1.88,0.37,1.45,1.29,1.2,1.48,0.52,0.79,0.95,0.45,1.67,0.83,1.09,1.51,1.26,0.76,0.78,1.33,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1929,1.69,1.32,0.9,1.74,0.69,0.83,1.08,2.52,0.54,1.29,1.2,1.32,1.67,0.56,0.65,0.96,0.52,1.43,0.83,1.54,1.84,1.02,0.62,0.81,1.19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1930,1.47,1.26,0.88,1.56,0.6,0.92,1.06,1.93,0.37,1.45,1.56,1.04,1.69,0.57,0.56,0.84,0.31,1.43,0.84,1.31,1.46,1.1,0.75,0.81,1.18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1931,1.85,1.48,1.04,2.23,0.87,0.81,1.2,2.08,0.52,1.76,1.51,1.37,1.58,0.79,0.72,1.17,0.49,1.73,0.96,1.49,1.94,1.3,0.8,0.88,1.51,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1932,1.38,1.32,1.07,2.77,0.65,0.89,1.19,2.07,0.71,1.69,1.53,1.22,2.05,0.84,0.84,1.27,0.52,1.89,1.08,1.68,2.26,1.29,0.84,1.08,1.31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1933,1.23,1.61,1.24,3.23,0.72,1.03,1.2,2.31,0.83,1.41,1.53,1.23,2.19,0.83,0.75,1.25,0.57,1.92,1.39,1.78,2.08,1.13,0.89,0.99,1.44,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1934,1.22,1.09,1.12,2.66,0.59,0.57,1.2,2.25,0.7,1.41,1.41,1.17,1.69,0.93,0.58,1.19,0.36,1.42,0.75,1.23,1.91,1.06,0.76,0.77,0.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1935,1.87,2.21,1.57,3.44,0.74,1.16,1.95,3.21,0.98,1.38,1.76,1.56,2.31,1.17,0.92,1.6,0.51,1.41,1.64,2.44,4.39,1.24,0.97,1.07,1.83,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1936,1.33,1.73,1.11,1.93,0.71,0.93,1.56,2.72,1.04,1.44,2.02,1.44,1.73,0.87,0.77,1.28,0.44,1.08,1.39,1.74,3.54,1.14,0.68,0.66,1.09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
