age_CE,DBL01A_raw,DBL01B_raw,DBL01A_raw_outlier_flag,DBL01B_raw_outlier_flag
702,1.45,1.49,FALSE,FALSE
703,1.55,1.53,FALSE,FALSE
704,1.16,1.16,FALSE,FALSE
705,1.41,1.41,FALSE,FALSE
706,1.16,1.15,FALSE,FALSE
707,0.97,1.02,FALSE,FALSE
708,1.16,1.05,FALSE,FALSE
709,1.17,1.1,FALSE,FALSE
710,1.4,1.37,FALSE,FALSE
711,1.09,1.26,FALSE,FALSE
712,1,1,FALSE,FALSE
713,0.79,0.79,FALSE,FALSE
714,0.79,0.85,FALSE,FALSE
715,0.79,0.87,FALSE,FALSE
716,0.86,0.82,FALSE,FALSE
717,0.9,0.79,FALSE,FALSE
718,1.06,1.02,FALSE,FALSE
719,1.15,1.11,FALSE,FALSE
720,0.99,0.98,FALSE,FALSE
721,1,0.99,FALSE,FALSE
722,0.95,0.94,FALSE,FALSE
723,1.04,1.03,FALSE,FALSE
724,0.74,0.71,FALSE,FALSE
725,0.83,0.86,FALSE,FALSE
726,0.96,0.88,FALSE,FALSE
727,0.92,0.81,FALSE,FALSE
728,0.77,0.65,FALSE,FALSE
729,0.79,0.69,FALSE,FALSE
730,0.57,0.65,FALSE,FALSE
731,0.63,0.61,FALSE,FALSE
732,0.53,0.49,FALSE,FALSE
733,0.44,0.4,FALSE,FALSE
734,0.41,0.33,FALSE,FALSE
735,0.51,0.35,FALSE,FALSE
736,0.64,0.47,FALSE,FALSE
737,0.48,0.53,FALSE,FALSE
738,0.51,0.56,FALSE,FALSE
739,0.99,0.94,FALSE,FALSE
740,1.09,0.98,FALSE,FALSE
741,0.91,0.84,FALSE,FALSE
742,0.68,0.72,FALSE,FALSE
743,0.53,0.56,FALSE,FALSE
744,0.64,0.45,FALSE,FALSE
745,0.83,0.55,FALSE,FALSE
746,0.9,0.68,FALSE,FALSE
747,0.94,0.73,FALSE,FALSE
748,0.97,0.91,FALSE,FALSE
749,0.58,0.73,FALSE,FALSE
750,0.51,0.58,FALSE,FALSE
751,0.66,0.56,FALSE,FALSE
752,0.87,0.69,FALSE,FALSE
753,0.83,0.83,FALSE,FALSE
754,1.02,1.02,FALSE,FALSE
755,0.72,0.61,FALSE,FALSE
756,0.73,0.58,FALSE,FALSE
757,0.74,0.88,FALSE,FALSE
758,0.83,0.93,FALSE,FALSE
759,0.82,0.89,FALSE,FALSE
760,0.73,0.68,FALSE,FALSE
761,0.94,0.91,FALSE,FALSE
762,1.22,1.23,FALSE,FALSE
763,1.15,1.04,FALSE,FALSE
764,1.1,1,FALSE,FALSE
765,0.8,0.68,FALSE,FALSE
766,0.86,0.69,FALSE,FALSE
767,0.67,0.68,FALSE,FALSE
768,0.75,0.8,FALSE,FALSE
769,0.86,0.78,FALSE,FALSE
770,0.59,0.52,FALSE,FALSE
771,0.6,0.44,FALSE,FALSE
772,0.63,0.61,FALSE,FALSE
773,0.5,0.58,FALSE,FALSE
774,0.38,0.41,FALSE,FALSE
775,0.43,0.39,FALSE,FALSE
776,0.66,0.52,FALSE,FALSE
777,0.73,0.69,FALSE,FALSE
778,0.6,0.58,FALSE,FALSE
779,0.55,0.53,FALSE,FALSE
780,0.68,0.66,FALSE,FALSE
781,0.52,0.52,FALSE,FALSE
782,0.55,0.55,FALSE,FALSE
783,0.48,0.47,FALSE,FALSE
784,0.56,0.54,FALSE,FALSE
785,0.75,0.72,FALSE,FALSE
786,0.63,0.57,FALSE,FALSE
787,0.48,0.48,FALSE,FALSE
788,0.5,0.53,FALSE,FALSE
789,0.38,0.39,FALSE,FALSE
790,0.39,0.41,FALSE,FALSE
791,0.5,0.48,FALSE,FALSE
792,0.59,0.59,FALSE,FALSE
793,0.55,0.54,FALSE,FALSE
794,0.65,0.61,FALSE,FALSE
795,0.47,0.49,FALSE,FALSE
796,0.49,0.49,FALSE,FALSE
797,0.72,0.68,FALSE,FALSE
798,0.66,0.67,FALSE,FALSE
799,0.49,0.49,FALSE,FALSE
800,0.47,0.49,FALSE,FALSE
801,0.45,0.46,FALSE,FALSE
802,0.53,0.56,FALSE,FALSE
803,0.27,0.29,FALSE,FALSE
804,0.21,0.22,FALSE,FALSE
805,0.29,0.29,FALSE,FALSE
806,0.46,0.46,FALSE,FALSE
807,0.32,0.33,FALSE,FALSE
808,0.45,0.43,FALSE,FALSE
809,0.7,0.71,FALSE,FALSE
810,0.63,0.66,FALSE,FALSE
811,0.46,0.48,FALSE,FALSE
812,0.52,0.54,FALSE,FALSE
813,0.64,0.71,FALSE,FALSE
814,0.68,0.73,FALSE,FALSE
815,0.56,0.55,FALSE,FALSE
816,0.39,0.39,FALSE,FALSE
817,0.49,0.48,FALSE,FALSE
818,0.79,0.77,FALSE,FALSE
819,0.94,0.96,FALSE,FALSE
820,0.72,0.78,FALSE,FALSE
821,0.53,0.54,FALSE,FALSE
822,0.37,0.44,FALSE,FALSE
823,0.33,0.35,FALSE,FALSE
824,0.51,0.55,FALSE,FALSE
825,0.54,0.55,FALSE,FALSE
826,0.64,0.71,FALSE,FALSE
827,0.62,0.7,FALSE,FALSE
828,0.84,1.06,FALSE,FALSE
829,0.65,0.93,FALSE,FALSE
830,0.48,0.66,FALSE,FALSE
831,0.51,0.48,FALSE,FALSE
832,0.6,0.58,FALSE,FALSE
833,0.29,0.33,FALSE,FALSE
834,0.28,0.25,FALSE,FALSE
835,0.32,0.27,FALSE,FALSE
836,0.46,0.29,FALSE,FALSE
837,0.39,0.39,FALSE,FALSE
838,0.28,0.39,FALSE,FALSE
839,0.3,0.45,FALSE,FALSE
840,0.27,0.4,FALSE,FALSE
841,0.44,0.55,FALSE,FALSE
842,0.58,0.62,FALSE,FALSE
843,0.21,0.34,FALSE,FALSE
844,0.29,0.4,FALSE,FALSE
845,0.44,0.55,FALSE,FALSE
846,0.58,0.75,FALSE,FALSE
847,0.65,0.75,FALSE,FALSE
848,0.33,0.34,FALSE,FALSE
849,0.37,0.43,FALSE,FALSE
850,0.26,0.31,FALSE,FALSE
851,0.18,0.21,FALSE,FALSE
852,0.18,0.21,FALSE,FALSE
853,0.23,0.28,FALSE,FALSE
854,0.37,0.44,FALSE,FALSE
855,0.51,0.62,FALSE,FALSE
856,0.51,0.63,FALSE,FALSE
857,0.3,0.33,FALSE,FALSE
858,0.41,0.52,FALSE,FALSE
859,0.49,0.57,FALSE,FALSE
860,0.51,0.57,FALSE,FALSE
861,0.33,0.44,FALSE,FALSE
862,0.29,0.35,FALSE,FALSE
863,0.35,0.41,FALSE,FALSE
864,0.37,0.45,FALSE,FALSE
865,0.41,0.44,FALSE,FALSE
866,0.37,0.4,FALSE,FALSE
867,0.38,0.42,FALSE,FALSE
868,0.61,0.64,FALSE,FALSE
869,0.68,0.77,FALSE,FALSE
870,0.63,0.87,FALSE,FALSE
871,0.64,0.76,FALSE,FALSE
872,0.55,0.61,FALSE,FALSE
873,0.68,0.65,FALSE,FALSE
874,0.69,0.76,FALSE,FALSE
875,0.55,0.62,FALSE,FALSE
876,0.57,0.64,FALSE,FALSE
877,0.68,0.67,FALSE,FALSE
878,0.72,0.66,FALSE,FALSE
879,0.79,0.75,FALSE,FALSE
880,0.68,0.63,FALSE,FALSE
881,0.49,0.49,FALSE,FALSE
882,0.48,0.49,FALSE,FALSE
883,0.3,0.27,FALSE,FALSE
884,0.42,0.37,FALSE,FALSE
885,0.38,0.37,FALSE,FALSE
886,0.29,0.38,FALSE,FALSE
887,0.51,0.38,FALSE,FALSE
888,0.2,0.25,FALSE,FALSE
889,0.27,0.29,FALSE,FALSE
890,0.29,0.3,FALSE,FALSE
891,0.26,0.25,FALSE,FALSE
892,0.3,0.27,FALSE,FALSE
893,0.55,0.33,FALSE,FALSE
894,0.63,0.76,FALSE,FALSE
895,0.73,0.88,FALSE,FALSE
896,0.51,0.54,FALSE,FALSE
897,0.41,0.39,FALSE,FALSE
898,0.59,0.52,FALSE,FALSE
899,0.37,0.45,FALSE,FALSE
900,0.42,0.49,FALSE,FALSE
901,0.52,0.42,FALSE,FALSE
902,0.59,0.5,FALSE,FALSE
903,0.61,0.56,FALSE,FALSE
904,0.63,0.59,FALSE,FALSE
905,0.67,0.66,FALSE,FALSE
906,0.62,0.6,FALSE,FALSE
907,0.61,0.76,FALSE,FALSE
908,0.84,0.93,FALSE,FALSE
909,0.74,0.7,FALSE,FALSE
910,0.6,0.53,FALSE,FALSE
911,0.45,0.49,FALSE,FALSE
912,0.63,0.65,FALSE,FALSE
913,1.48,1.59,FALSE,FALSE
914,1.44,1.54,FALSE,FALSE
915,1.21,1.19,FALSE,FALSE
916,0.92,0.91,FALSE,FALSE
917,0.57,0.59,FALSE,FALSE
918,0.23,0.22,FALSE,FALSE
919,0.21,0.22,FALSE,FALSE
920,0.18,0.18,FALSE,FALSE
921,0.26,0.26,FALSE,FALSE
922,0.3,0.28,FALSE,FALSE
923,0.32,0.33,FALSE,FALSE
