age_CE,FMMR02A_raw,FMMR03B_raw,FMMR04A_raw,FMMR05B_raw,FMMR06A_raw,FMMR07B_raw,FMMR09A_raw,FMMR10A_raw,FMMR11A_raw,FMMR12A_raw,FMMR13A_raw,FMMR15A_raw,FMMR16A_raw,FMMR18A_raw,FMMR19A_raw,FMMR20B_raw,FMMR02A_raw_outlier_flag,FMMR03B_raw_outlier_flag,FMMR04A_raw_outlier_flag,FMMR05B_raw_outlier_flag,FMMR06A_raw_outlier_flag,FMMR07B_raw_outlier_flag,FMMR09A_raw_outlier_flag,FMMR10A_raw_outlier_flag,FMMR11A_raw_outlier_flag,FMMR12A_raw_outlier_flag,FMMR13A_raw_outlier_flag,FMMR15A_raw_outlier_flag,FMMR16A_raw_outlier_flag,FMMR18A_raw_outlier_flag,FMMR19A_raw_outlier_flag,FMMR20B_raw_outlier_flag
1866,NA,0.85,NA,0.74,NA,NA,1.06,NA,2.52,0.89,0.6,0.57,0.76,2.45,NA,NA,NA,FALSE,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1867,NA,0.95,NA,0.56,NA,NA,1.24,NA,2.08,0.64,0.5,0.58,0.67,2.25,NA,NA,NA,FALSE,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1868,NA,0.96,NA,1.09,NA,NA,1.57,NA,2.46,0.98,0.58,0.6,0.63,2.41,NA,NA,NA,FALSE,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1869,NA,0.97,NA,1.17,NA,NA,1.59,NA,2.19,1.22,0.67,0.77,0.68,2.18,NA,NA,NA,FALSE,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1870,NA,0.75,NA,1.28,NA,NA,1.38,NA,1.64,0.97,0.59,0.72,0.46,1.9,NA,NA,NA,FALSE,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1871,NA,0.74,NA,1.2,NA,NA,1.5,NA,2.23,1.07,0.68,0.59,0.58,1.97,NA,NA,NA,FALSE,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1872,NA,1.05,NA,1.22,NA,NA,1.66,NA,2.74,0.99,0.67,0.51,0.67,1.94,NA,NA,NA,FALSE,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1873,NA,1.08,NA,0.77,NA,NA,1.25,NA,2.27,1.24,0.72,0.53,0.77,2.1,NA,NA,NA,FALSE,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1874,NA,1.57,NA,1.3,NA,NA,1.97,NA,2.55,1.2,0.74,0.46,0.89,2.48,NA,NA,NA,FALSE,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1875,NA,1.74,NA,1.15,NA,NA,1.74,NA,2.22,1.65,0.77,0.57,0.89,1.98,NA,NA,NA,FALSE,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1876,NA,1.32,NA,0.87,NA,NA,1.4,NA,1.59,0.85,0.5,0.36,0.63,1.78,NA,NA,NA,FALSE,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1877,NA,1.97,NA,1.67,NA,NA,1.84,NA,2.3,1.1,0.73,0.38,1.08,2.71,NA,NA,NA,FALSE,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1878,NA,1.18,NA,1.24,NA,NA,1.46,NA,1.67,0.78,0.44,0.34,0.72,2.17,NA,NA,NA,FALSE,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1879,NA,1.11,NA,0.9,NA,NA,1.51,NA,1.41,1.21,0.81,0.47,0.98,2.25,NA,NA,NA,FALSE,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1880,NA,0.73,NA,0.62,NA,NA,1.45,NA,1.13,0.72,0.55,0.22,0.7,1.19,NA,NA,NA,FALSE,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1881,NA,1.33,NA,0.9,NA,NA,1.58,NA,2.22,0.73,0.82,0.25,0.77,2.41,NA,NA,NA,FALSE,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1882,NA,1.11,NA,0.35,NA,NA,1.46,NA,2.57,1.17,0.93,0.32,1.12,2.21,NA,NA,NA,FALSE,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1883,NA,0.99,NA,0.54,NA,NA,1.67,NA,3.24,1.26,0.86,0.43,1.2,2.35,NA,NA,NA,FALSE,NA,FALSE,NA,NA,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1884,NA,0.8,NA,0.73,NA,NA,1.6,NA,2.71,1.01,0.65,0.49,0.87,1.79,NA,NA,NA,FALSE,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1885,NA,1.09,NA,1.12,NA,NA,1.77,NA,2.95,1.03,0.91,0.32,1.25,1.67,NA,NA,NA,FALSE,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1886,NA,1.29,NA,1.07,NA,NA,1.98,NA,2.27,1.18,1.03,0.66,1.18,1.95,NA,NA,NA,FALSE,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1887,NA,1.29,NA,0.88,NA,NA,1.64,NA,2.21,0.73,0.7,0.38,0.88,1.86,NA,NA,NA,FALSE,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1888,NA,1.55,NA,1.18,NA,NA,1.7,NA,2.69,0.76,0.64,0.36,0.84,1.8,NA,NA,NA,FALSE,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1889,NA,1.24,NA,1.44,NA,NA,1.78,NA,1.93,0.76,0.53,0.3,0.68,1.69,NA,NA,NA,FALSE,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1890,0.87,0.81,NA,1.51,NA,NA,1.64,NA,1.62,0.74,0.69,0.35,0.83,2.14,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1891,0.85,1.09,NA,1.55,NA,NA,1.8,NA,2.11,0.71,0.76,0.48,1,1.84,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1892,0.57,0.87,1.78,1.03,NA,NA,0.96,NA,1.28,0.73,0.57,0.45,0.76,1.92,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1893,0.51,0.81,1.53,0.98,NA,NA,0.89,NA,1.33,0.86,0.56,0.26,0.44,1.82,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1894,0.43,0.99,1.5,0.96,NA,NA,0.93,NA,1.43,0.89,0.61,0.4,0.76,1.92,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1895,0.93,1.5,2.31,1.21,NA,NA,1.02,NA,1.93,0.77,0.73,0.45,0.88,1.97,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1896,0.69,0.97,1.55,0.92,NA,NA,0.84,NA,1.7,0.94,0.79,0.37,0.77,1.72,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1897,0.65,1.04,2.1,1.31,NA,NA,1.36,NA,1.53,0.69,0.55,0.22,0.66,2.11,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1898,0.86,1.2,2.46,1.29,NA,NA,1.85,NA,1.69,0.82,1.11,0.3,0.82,2.26,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1899,0.22,0.48,0.89,0.63,NA,1.05,0.92,1.38,0.99,0.53,0.56,0.25,0.5,1.46,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA
1900,0.95,1.03,2.38,1.39,NA,2.93,2.36,3.98,1.28,0.53,0.68,0.19,0.88,1.83,NA,5.38,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE
1901,0.75,1.09,2.52,1.11,NA,3.36,1.82,3.79,2.33,0.69,1.06,0.33,1.02,2.55,NA,3.19,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE
1902,0.88,0.98,1.87,0.94,NA,2.85,2.09,2.86,1.58,0.58,0.92,0.24,0.91,2.34,NA,2.51,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE
1903,0.7,0.68,1.66,1.05,NA,2.83,1.03,2.45,1.01,0.53,0.56,0.26,0.73,2.73,NA,1.6,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE
1904,0.91,1.02,2.53,1.08,NA,3.17,1.39,3.35,1.71,0.73,1.11,0.38,0.95,4.42,NA,2.83,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE
1905,1.09,0.82,3.18,1.23,NA,3.25,1.56,2.88,1.54,0.62,0.78,0.42,0.83,2.94,NA,2.31,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE
1906,0.95,0.92,3.97,1.98,NA,2.95,1.18,1.88,1.23,1.99,0.71,0.24,0.68,2.53,NA,2.89,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE
1907,1.17,1.14,3.7,1.66,NA,3.56,1.86,2.9,1.68,2.04,0.86,0.52,0.69,1.93,NA,3.6,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE
1908,0.8,0.82,3.33,1.54,NA,2.8,1.78,2.83,1.7,1.45,1.06,0.59,0.78,1.98,NA,3.39,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE
1909,0.76,0.56,2.56,1.42,NA,2.93,1.44,1.61,1.28,0.82,0.59,0.48,0.48,1.96,NA,3.53,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE
1910,0.89,0.83,2.71,2.04,NA,3.23,1.75,2.09,1.46,0.7,0.76,0.33,0.48,1.92,1.32,4.52,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1911,0.7,1.22,2.16,2.32,NA,2.96,1.68,2.2,1.77,1.09,1.05,0.77,0.77,2.02,1.86,3.96,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1912,0.71,0.8,2.44,1.65,NA,2.24,1.44,1.47,1.45,0.85,0.77,0.6,0.49,1.68,1.76,4.13,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1913,0.56,0.87,2.3,2.17,2.17,1.11,1.44,1.65,1.36,0.83,0.79,0.8,0.47,1.8,1.98,3.13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1914,1.02,0.8,3.09,3.88,4.82,1.35,2.37,4.18,1.8,1.03,1.49,1.02,0.46,2.01,3.23,4.55,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1915,1.54,0.7,1.77,3.91,1.27,1.14,2.05,3.73,1.35,0.88,1.17,0.92,0.38,1.55,1.68,2.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1916,0.4,0.44,1.42,2.29,1.73,0.95,1.21,1.31,1.05,0.71,0.89,0.7,0.28,1.32,0.93,1.05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1917,1,0.87,1.99,3.31,3.94,1.35,1.84,2.3,1.24,0.97,1.39,1.13,0.53,2.15,2.35,1.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1918,1.78,1.34,2.49,3.95,2.71,1.68,2.07,2.64,1.43,1.01,1.64,1.14,0.64,2.2,3.43,1.43,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1919,1.15,1.04,2.94,4.01,2.16,2.22,2.25,3.03,0.94,0.99,1.8,1.38,0.62,2.32,4.21,1.91,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1920,1.39,1.06,3.16,3.93,3.82,2.53,2.47,3.51,1.73,1.07,1.99,1.41,1.02,2.71,4.07,2.05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1921,0.59,0.6,2.17,2.75,3.36,2.31,2.23,2.05,1.43,1.28,1.92,1.31,0.8,3.06,3.59,2.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1922,1.54,0.86,2.73,3.89,3.63,2.07,2.07,2.8,1.95,1.59,1.84,1.24,1.01,3.51,4.13,2.46,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1923,1.17,0.72,2.92,2.73,2.45,1.5,1.78,2.35,1.43,1.24,1.99,1.15,0.7,2.91,3.1,2.12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1924,1.51,0.66,3.26,2.49,0.46,1.91,1.98,3.47,1.63,1.3,1.89,1.1,0.58,2.01,3.87,2.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1925,1.51,0.64,3.02,2.28,1.43,1.8,1.95,3.01,1.62,0.98,1.73,0.93,0.95,2.31,4.31,2.35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1926,1.9,0.48,2.51,2.71,2.47,1.58,2.08,3.55,1.47,1.06,1.24,0.84,0.69,1.78,3.21,2.46,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1927,1.27,0.37,2.84,2.62,2.21,1.17,1.71,2.22,1.66,0.82,1.32,0.92,0.69,2.2,3.29,2.09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1928,1.89,0.37,3.01,3.58,2.18,1.51,1.73,3.06,1.62,0.79,1.37,0.66,0.76,2.6,3.33,2.79,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1929,2.33,0.37,2.68,3.75,2.02,1.91,2.12,3.32,1.66,1.05,1.48,0.77,0.77,2.22,3.63,2.99,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1930,2.4,0.45,2.84,3.26,0.85,2.12,2.32,3.9,1.69,0.93,1.33,0.67,0.7,2.18,3.66,2.78,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1931,1.56,0.37,2.66,2.8,1.19,2.08,1.7,3.78,1.59,0.63,1.31,0.77,0.68,1.99,3.51,2.79,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1932,1.07,0.19,2.2,2.59,1.59,1.95,1.44,2.13,0.65,0.63,1.15,1.14,0.6,1.83,3,2.55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1933,1.38,0.44,2.26,2.65,2.2,2.18,1.68,2.01,1.8,0.81,1.77,1.04,1.03,2.27,3.82,2.46,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1934,2.13,0.34,2.37,2.73,1.81,1.87,1.73,2.9,1.19,0.77,0.93,0.56,0.61,1.85,2.9,2.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1935,2.05,0.53,1.9,2.43,1.82,2.13,1.74,2.91,1.93,2.44,1.31,1.11,1.35,1.88,2.62,1.77,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1936,2.09,0.42,1.77,2,1.45,2.05,1.5,2.53,1.4,2.65,1.11,0.59,0.66,1.87,2.98,2.15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1937,1.98,0.36,2.3,1.78,1.52,1.92,1.47,3.34,1.78,2.15,1.35,0.65,0.75,2.19,3.04,2.34,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1938,2,0.38,2.94,2.13,1.72,2.08,1.53,3.83,2,1.77,1.66,0.58,0.88,2.45,3.45,2.33,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1939,2.13,0.32,2.81,1.75,1.7,2,1.51,2.82,1.67,1.42,1.63,0.66,0.79,2.46,3.24,2.39,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1940,2.29,0.36,3.24,1.95,1.87,2.22,1.66,3.57,1.82,1.34,1.33,0.9,0.77,2.06,3.9,2.65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1941,2.65,0.36,2.94,1.77,1.92,1.92,1.62,3.14,1.65,0.98,1.29,0.94,0.96,1.7,3.62,2.52,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1942,2.56,0.33,2.53,1.44,1.83,1.27,1.13,2.11,1.35,0.7,1.22,0.86,0.77,1.78,3.34,2.48,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1943,1.96,0.21,1.98,1.33,1.63,1.39,0.99,1.85,1.16,0.61,0.89,0.84,0.78,2.04,2.89,1.75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1944,2.45,0.29,2.22,2.03,1.98,1.68,1.23,2.73,1.58,0.69,0.87,0.7,0.73,2.1,3.36,2.18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1945,2.41,0.26,2.51,1.85,1.96,2.12,1.33,2.85,1.72,0.8,0.61,0.69,0.75,2.03,3.28,2.23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
