age_CE,BW11A_raw,BW11B_raw,BW12A_raw,BW12B_raw,BW13A_raw,BW13B_raw,BW14A_raw,BW14B_raw,BW15A_raw,BW15B_raw,BW16A_raw,BW16B_raw,BW18A_raw,BW18B_raw,BW19A_raw,BW1A_raw,BW20A_raw,BW20B_raw,BW21A_raw,BW21B_raw,BW22A_raw,BW22B_raw,BW23A_raw,BW23B_raw,BW25A_raw,BW25B_raw,BW26A_raw,BW26B_raw,BW27A_raw,BW27B_raw,BW28A_raw,BW28B_raw,BW29A_raw,BW29B_raw,BW30A_raw,BW2A_raw,BW2B_raw,BW3B_raw,BW4A_raw,BW4B_raw,BW6A_raw,BW6B_raw,BW5A_raw,BW5B_raw,BW8B_raw,BW9A_raw,BW9B_raw
1943,-0.13124957559198644,-0.3578742988406065,0.6636999655680696,0.02552030869863589,-0.22269655546150777,-0.22068851346150148,-0.21138507984483368,-0.19492044256375773,-0.17998258683930896,-0.12145730859723525,-0.11552967779221278,-0.21450764640385023,0.0745737515543433,-0.2410760708792131,0.08324883551233525,-0.12610693189880295,-0.03668505131513078,-0.07795624395872562,0.795577140993982,1.04793455316886,-0.09167032111935683,-1.2004596609323372,-0.020224807504979448,-0.11527827157068933,-0.18976764566979237,-0.11433044548312167,-0.21152290200001542,-0.46216999392003016,-0.29133047384135063,-0.20637659426072025,-0.1168559957454303,-0.24942202001525776,-0.03584094426790827,-0.014110699659387382,0.09917196792771546,-1.341886207301185,0.02439493026316384,0.12163523934190233,-0.2994765495998363,0.02929599934152252,-0.06958959373873397,-0.1550737991458164,0.03764638030395048,-0.2490000340989673,-0.19195943676491106,-0.04621249814054649,-0.18690374200838467
1944,-0.13124957559198644,-0.42657449893235966,-0.5002962425584269,-0.3239578010097442,-0.22269655546150777,-0.22068851346150148,-0.21138507984483368,-0.19492044256375773,-0.29052062607043505,-0.12145730859723525,-0.11552967779221278,-0.21450764640385023,0.0745737515543433,-0.2410760708792131,0.08324883551233525,-0.12610693189880295,-0.03668505131513078,-0.07795624395872562,0.10663714727770454,0.2389925962312498,-0.09167032111935683,-1.3327830553760154,-0.020224807504979448,-0.11527827157068933,-0.18976764566979237,-0.11433044548312167,-0.21152290200001542,-1.2403140567044346,-0.29133047384135063,-0.20637659426072025,-0.1168559957454303,-0.24942202001525776,-0.03584094426790827,-0.014110699659387382,0.09917196792771546,-2.0213871665873833,0.02439493026316384,0.12163523934190233,-0.2994765495998363,0.02929599934152252,-0.06958959373873397,-0.1550737991458164,-0.21161634252766642,-0.2490000340989673,-0.19195943676491106,-0.04621249814054649,-0.18690374200838467
1945,-0.13124957559198644,-1.2348121470706321,-0.6612744415546445,-0.7549808029834124,-0.22269655546150777,-0.22068851346150148,-0.21138507984483368,-0.19492044256375773,-0.8599590099883575,-0.12145730859723525,-0.11552967779221278,-0.21450764640385023,0.0745737515543433,-0.2410760708792131,0.08324883551233525,-0.12610693189880295,-0.03668505131513078,-0.07795624395872562,-0.49497242469988945,0.1281786295274675,-0.09167032111935683,-1.4106203462252378,-0.020224807504979448,-0.11527827157068933,-0.18976764566979237,-0.11433044548312167,-0.21152290200001542,-1.8306302422650176,-0.29133047384135063,-0.20637659426072025,-0.1168559957454303,-0.24942202001525776,-0.03584094426790827,-0.014110699659387382,0.09917196792771546,-1.8672735469554622,0.02439493026316384,0.12163523934190233,-0.2994765495998363,0.02929599934152252,3.577404798266064,1.6598180664484201,-0.3736371123682176,-0.2490000340989673,-0.19195943676491106,-0.04621249814054649,-0.18690374200838467
1946,-0.13124957559198644,-0.07903231023290225,0.5894023352621229,0.3516998777597901,-0.22269655546150777,-0.22068851346150148,-0.21138507984483368,-0.19492044256375773,-0.37761120243435287,-0.12145730859723525,-0.11552967779221278,-0.21450764640385023,0.0745737515543433,-0.2410760708792131,0.08324883551233525,-0.12610693189880295,-0.03668505131513078,-0.07795624395872562,-0.5240825652794505,0.0062832661533069704,-0.09167032111935683,-1.3405667844609377,-0.020224807504979448,-0.11527827157068933,-0.18976764566979237,-0.11433044548312167,-0.21152290200001542,-0.046265408638710356,-0.29133047384135063,-0.20637659426072025,-0.1168559957454303,-0.24942202001525776,-0.03584094426790827,-0.014110699659387382,0.09917196792771546,-1.9793561794150412,0.02439493026316384,0.12163523934190233,-0.2994765495998363,0.02929599934152252,1.1421346369921954,1.1786363614493718,1.072086680055161,-0.2490000340989673,-0.19195943676491106,-0.04621249814054649,-0.18690374200838467
1947,-0.13124957559198644,0.37358077272453055,0.8989757948702337,0.6079838248792688,-0.22269655546150777,-0.22068851346150148,-0.21138507984483368,-0.19492044256375773,0.20522573169340305,-0.12145730859723525,-0.11552967779221278,-0.21450764640385023,0.0745737515543433,-0.2410760708792131,0.08324883551233525,-0.12610693189880295,-0.03668505131513078,-0.07795624395872562,0.8440940419599169,1.1698299165430202,-0.09167032111935683,-1.317215597206171,-0.020224807504979448,-0.11527827157068933,-0.18976764566979237,-0.11433044548312167,-0.21152290200001542,-0.01943285474959293,-0.29133047384135063,-0.20637659426072025,-0.1168559957454303,-0.24942202001525776,-0.03584094426790827,-0.014110699659387382,0.09917196792771546,-1.7621960790246065,0.02439493026316384,0.12163523934190233,-0.2994765495998363,0.02929599934152252,0.7401968433838874,2.2560649617733275,1.8323379846915926,-0.2490000340989673,-0.19195943676491106,-0.04621249814054649,-0.18690374200838467
1948,-0.13124957559198644,-0.35383311059991485,0.886592856485909,0.9225141236168106,-0.22269655546150777,-0.22068851346150148,-0.21138507984483368,-0.19492044256375773,0.5937836877785739,-0.12145730859723525,-0.11552967779221278,-0.21450764640385023,0.0745737515543433,-0.2410760708792131,0.08324883551233525,-0.12610693189880295,-0.03668505131513078,-0.07795624395872562,0.12604390766407855,0.6046786863537307,-0.09167032111935683,-1.005866433809281,-0.020224807504979448,-0.11527827157068933,-0.18976764566979237,-0.11433044548312167,-0.21152290200001542,0.11472991469599421,-0.29133047384135063,-0.20637659426072025,-0.1168559957454303,-0.24942202001525776,-0.03584094426790827,-0.014110699659387382,-1.8835103527034798,-1.6361031175075802,0.02439493026316384,0.12163523934190233,-0.2994765495998363,0.02929599934152252,1.496785631352468,-0.1550737991458164,1.6952434871342035,-0.2490000340989673,-0.19195943676491106,-0.04621249814054649,-0.18690374200838467
1949,-0.13124957559198644,-0.2568445928233224,0.24268006050103866,0.3400506074361777,-0.22269655546150777,-0.22068851346150148,-0.21138507984483368,-0.19492044256375773,1.2503126480604134,-0.12145730859723525,-0.11552967779221278,-0.21450764640385023,0.0745737515543433,-0.2410760708792131,0.08324883551233525,-0.12610693189880295,-0.03668505131513078,-0.07795624395872562,-0.5531927058590113,-0.47021679067295646,-0.09167032111935683,-0.6322474377330135,-0.020224807504979448,-0.11527827157068933,-0.18976764566979237,-0.11433044548312167,-0.21152290200001542,0.4769693921990792,-0.29133047384135063,-0.20637659426072025,-0.1168559957454303,-0.24942202001525776,1.6040513170467685,-0.014110699659387382,-2.116047168086151,-1.1247261069107506,0.02439493026316384,0.12163523934190233,-0.2994765495998363,2.291805502627867,1.9578319240208213,3.8146752670963306,2.181305796655857,-0.2490000340989673,-0.19195943676491106,-0.04621249814054649,-0.18690374200838467
1950,-0.13124957559198644,-0.7175400522621378,-1.2185066688492439,-0.6617866403945111,-0.22269655546150777,-0.22068851346150148,-0.21138507984483368,-0.19492044256375773,0.05784167938523507,-0.12145730859723525,-0.11552967779221278,-0.21450764640385023,0.0745737515543433,-0.2410760708792131,0.08324883551233525,-0.12610693189880295,-0.03668505131513078,-1.5741324983323441,-0.6890400285636294,-0.9356354508288419,-0.09167032111935683,-0.616679979563169,-0.020224807504979448,-0.11527827157068933,-0.18976764566979237,-0.11433044548312167,-0.21152290200001542,0.4769693921990792,-0.29133047384135063,-0.20637659426072025,-1.4707106746247351,-0.24942202001525776,0.055993022365713414,-0.014110699659387382,-1.9814205907593414,-1.138736435968198,0.02439493026316384,0.12163523934190233,-0.2994765495998363,0.9161997246297694,3.7547302954462003,2.6431024201421263,1.3213494028867776,-0.2490000340989673,-0.19195943676491106,-0.04621249814054649,-0.18690374200838467
1951,-0.13124957559198644,-0.887269958371175,-0.5869768112486979,-0.9530183984848276,-0.22269655546150777,-0.22068851346150148,-0.21138507984483368,-0.19492044256375773,0.1047366051196521,-0.12145730859723525,-0.11552967779221278,2.5133594664417656,0.0745737515543433,-0.2410760708792131,0.08324883551233525,-0.12610693189880295,-0.03668505131513078,-1.5741324983323441,-0.6017096068249463,-0.8802284674769507,-0.09167032111935683,-0.710084728582236,-0.020224807504979448,-0.11527827157068933,-0.18976764566979237,-0.11433044548312167,-0.089715848275732,-1.0122373486469365,-0.29133047384135063,-0.20637659426072025,-1.330656742326876,-0.24942202001525776,-0.18015146326359965,-0.014110699659387382,-2.1038083883291683,-1.5870669658065142,0.02439493026316384,0.12163523934190233,-0.2994765495998363,0.427497671919919,-0.06958959373873397,1.157715417753761,2.7421469230269953,-0.2490000340989673,-0.19195943676491106,-0.04621249814054649,-0.18690374200838467
1952,-0.13124957559198644,-0.7337048052249032,-0.37646685871518276,-0.8947720468667645,-0.22269655546150777,-0.22068851346150148,-0.21138507984483368,-0.19492044256375773,0.4196025350507384,-0.12145730859723525,-0.11552967779221278,-0.21450764640385023,0.0745737515543433,-0.2410760708792131,0.08324883551233525,-0.12610693189880295,-0.03668505131513078,-1.4528209101398881,0.3589250323005668,-0.15993768390236623,-0.09167032111935683,-0.07960267270353427,-0.020224807504979448,-0.11527827157068933,-0.18976764566979237,-0.11433044548312167,0.7223311765528226,-1.1598163950370828,-0.29133047384135063,-0.20637659426072025,-1.8535247562388832,-0.24942202001525776,0.4233288889002013,-0.014110699659387382,-1.846794013432532,-1.250819068427777,0.02439493026316384,0.12163523934190233,-0.2994765495998363,0.13789645549926713,2.2888395187570754,1.4924505168835336,0.4489298729761186,-0.2490000340989673,-0.19195943676491106,-1.2205306551148318,-0.18690374200838467
1953,-0.13124957559198644,-0.8226109465201131,-0.5002962425584269,-1.1277574533390176,-0.22269655546150777,-0.22068851346150148,-0.21138507984483368,-0.19492044256375773,0.38610615952615485,-0.12145730859723525,0.8539789159958725,2.005511865646039,0.0745737515543433,-0.2410760708792131,0.08324883551233525,-0.12610693189880295,-0.03668505131513078,-1.3180302565927156,-0.3688284821884583,-0.702926120750899,-0.09167032111935683,0.27844886520288886,-0.020224807504979448,-0.11527827157068933,-0.18976764566979237,-0.11433044548312167,-0.18896604019922192,-1.2537303336489933,-0.29133047384135063,-0.20637659426072025,-1.1439181659297304,-0.24942202001525776,-0.32446198225929135,-0.7626392206534547,-1.7121674361057224,-1.4679791688182113,0.02439493026316384,0.12163523934190233,-0.2994765495998363,0.9161997246297694,1.7686847270286765,0.9589664526454587,1.819874848550012,-0.2490000340989673,-0.19195943676491106,-1.5867158868595017,-0.18690374200838467
1954,-0.13124957559198644,-0.4508216283765077,-0.15357396779734284,-0.39385342295141995,-0.22269655546150777,-0.22068851346150148,-0.21138507984483368,-0.19492044256375773,1.5517800277816667,-0.12145730859723525,1.8947749063860226,1.3235450874346348,0.0745737515543433,-0.2410760708792131,0.08324883551233525,-0.12610693189880295,-0.03668505131513078,-0.10491437466816021,1.2031191091078361,0.11709723285708903,-0.09167032111935683,1.6172502678095144,-0.020224807504979448,-0.11527827157068933,-0.18976764566979237,-0.11433044548312167,0.6862401976715535,-0.4085048861417953,3.235281541094098,1.6010707016163719,-1.0972335218304443,-0.24942202001525776,-0.022721806177390554,0.9739469480527821,-1.6999286563487397,-0.8445195257618024,0.02439493026316384,0.12163523934190233,-0.2994765495998363,0.011195923315231756,1.579537530036531,1.8585670315567224,2.3682528387795694,-0.2490000340989673,-0.19195943676491106,-0.5386684994523437,-0.18690374200838467
1955,-0.13124957559198644,-0.4508216283765077,-0.3145521667935606,-0.10262166486110373,-0.22269655546150777,-0.22068851346150148,-0.21138507984483368,-0.19492044256375773,1.8532474075029197,-0.12145730859723525,3.4916125902722803,2.2376707688669426,0.0745737515543433,-0.2410760708792131,0.08324883551233525,-0.12610693189880295,-0.03668505131513078,-0.14535157073231209,1.309856291232893,-0.42589120399144353,2.561173878968968,1.2747661880729362,-0.020224807504979448,-0.11527827157068933,-0.18976764566979237,-0.11433044548312167,1.191513902009321,-0.15359562419518005,2.505956019680746,1.4644613129744988,-0.9478426607127277,-0.24942202001525776,-0.07519835853946026,1.0509384530693147,-1.6754510968347742,-0.41019932498093364,0.02439493026316384,0.12163523934190233,-0.2994765495998363,-0.04310430476364055,2.09969232176493,1.7016599538396415,1.1468654969046461,-0.2490000340989673,-0.19195943676491106,0.39573519534439977,-0.18690374200838467
1956,-0.6279874924639682,-0.42657449893235966,-0.7851038253978887,-0.056024583566653054,-0.22269655546150777,-0.3534437742724513,-0.21138507984483368,-0.19492044256375773,-0.00915107166393232,0.41865324842752205,0.9537812712387634,2.6874786438574425,0.0745737515543433,-0.2410760708792131,0.08324883551233525,-0.12610693189880295,-0.03668505131513078,-0.18578876679646367,0.8732041825394777,0.3830507529461666,-0.5736109204807381,0.2395302197782778,-0.020224807504979448,-1.5236003025861364,-0.18976764566979237,-0.11433044548312167,0.26217119581664183,-1.0256536255914956,1.573527188506714,1.0966668050925323,-1.4146891017055914,-0.24942202001525776,2.391199602477813,0.8456277730252282,-1.7978388944046013,-0.6623852480149865,0.02439493026316384,0.12163523934190233,-0.2994765495998363,0.08359622742039483,1.3194601341723313,0.18489153590785914,1.3587388113115204,3.4768314872764003,-0.19195943676491106,0.787174581002495,-0.18690374200838467
1957,-1.0971288583986176,-0.8791875818897923,-0.7974867637822132,0.13036374161114966,-0.22269655546150777,0.05588494656131051,-0.21138507984483368,-0.19492044256375773,-0.056045997398349645,0.0017258008996390516,1.8092300304635445,1.6862933737172965,0.0745737515543433,-0.2410760708792131,0.08324883551233525,-0.12610693189880295,-0.03668505131513078,-1.3989046487210193,0.5918061569370546,0.6379228763648657,-0.2610008019760583,0.6520678612791565,-0.020224807504979448,-0.6862196354958707,-0.18976764566979237,-0.11433044548312167,0.5779672610277461,0.3293903458089336,3.7061119409938574,1.8007305773237252,-1.125244308290016,-0.24942202001525776,1.0005709648829675,0.4264518012685501,-1.9691818110023587,-1.2298035748416059,0.02439493026316384,0.8860810913696142,-0.2994765495998363,0.8799995725771879,0.31461565015156073,-0.06615978843947035,0.4738561452592803,3.053769327429907,-0.19195943676491106,-0.13460203683753552,-0.18690374200838467
1958,-0.683180594338633,-0.6205515344855449,-1.057528469853026,-0.8365256952487011,0.5918702638388313,-0.13218500625420154,-0.21138507984483368,-0.19492044256375773,-0.7326727829949395,-0.6868361957751973,1.7094276752206536,0.1627505713301179,0.0745737515543433,-0.2410760708792131,0.08324883551233525,-0.12610693189880295,-0.03668505131513078,-0.6845141849210032,-0.9122177730069304,-0.9688796408399764,-0.13943020033534934,-0.2819796289115124,-0.020224807504979448,-1.1852646795193624,3.1584999615222857,-0.11433044548312167,0.15389825917283442,-1.2000652258707585,2.2105330236652114,1.8742894789001188,-1.3213198135070188,-0.24942202001525776,0.5676394078958927,-0.5316647056038567,-1.8957491324604625,-1.4259481816458695,0.02439493026316384,0.5139166634087545,-0.2994765495998363,0.39129751986733746,0.39736754883562425,0.9066640934064314,0.959918454780933,0.8134628900609764,-0.19195943676491106,-1.3089201938118213,-0.18690374200838467
1959,0.04352858034445153,-0.11944419263981573,-0.4383815506368047,-0.3705548823041946,1.6613778433782078,1.0515494026434336,-0.21138507984483368,-0.19492044256375773,0.21192500679831994,-0.30149416093882103,1.8234875097839578,1.0913861842137318,0.0745737515543433,-0.2410760708792131,0.08324883551233525,-0.12610693189880295,-0.03668505131513078,0.2724994552639237,-1.1353955174502315,-1.2348331609290537,0.5205244942856414,0.6209329449394675,-0.020224807504979448,0.6163725133112093,1.220029241568977,1.6419235329079678,1.570469180262647,-0.4755862708645886,2.3674764902984644,2.8095383703714045,-0.17287756866457402,-0.24942202001525776,0.48892457935278816,0.6488717046496443,-1.369481602910207,-1.3488913718299087,0.02439493026316384,0.28257120818984177,-0.2994765495998363,1.947904058128342,1.520429030976486,1.8062646723176952,2.555199880903282,1.7557377006281663,-0.19195943676491106,-0.7407017307597473,-0.18690374200838467
1960,0.7242435034653156,0.1796037371713449,-0.6117426880173469,-0.12592020550832908,1.1514963229001332,0.8081647578233593,-0.21138507984483368,-0.19492044256375773,0.18512790637865298,-0.1182987673280847,1.9945772616289135,1.6717834422659905,0.0745737515543433,-0.9588699548207754,0.08324883551233525,-0.12610693189880295,-0.03668505131513078,2.0517360820866046,-0.3397183416088975,-0.6586005340693863,-0.22626634436442716,0.2706651361179668,-0.020224807504979448,0.2864952808211049,2.08513187692004,2.56938349902461,1.579491924982964,0.718462377201136,3.8353595017506543,2.746487883305925,-0.20088835512414566,-0.24942202001525776,1.3941451075984896,0.665980927986652,-1.0879896684996053,-0.5643129446128547,0.02439493026316384,-0.029242231453040682,-0.2994765495998363,1.223901017076712,1.4613205319164404,1.0217292837322907,1.296423130603616,3.4095261436644586,-0.19195943676491106,0.33259981056083626,-0.18690374200838467
