# Woodhouse 2003 Gunnison River Basin Snow Water Equivalent Reconstruction
#----------------------------------------------------------------------- 
#               World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available),
# and date accessed when using these downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/6298
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-recon-6298.json
#   Study_Level_JSON_Description: JSON metadata of this file's parent study, which includes all study metadata.
#
# Data_Type: Climate Reconstructions
#
# Dataset_DOI: 10.25921/pd59-5n11
#
# Science_Keywords: Other Hydroclimate Reconstruction
#-------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/reconstructions/colorado/gunnison_swe-noaa.txt
#   Data_Download_Description: NOAA Template File; Snow Water Equivalent Data
#
#-------------------
# Contribution_Date
#   Date: 2003-05-01
#-------------------
# File_Last_Modified_Date
#    Date: 2025-06-12
#-------------------
# Title
#   Study_Name: Woodhouse 2003 Gunnison River Basin Snow Water Equivalent Reconstruction
#-------------------
# Investigators
#   Investigators: Woodhouse, C.A.(https://orcid.org/0000-0003-0545-9753)
#-------------------
# Description_Notes_and_Keywords
#   Description: Tree-ring-based reconstruction of 1 April snow water equivalent (SWE) for the Gunnison River basin region in western Colorado. 
#-------------------
# Publication
#   Authors: Woodhouse, C.A.
#   Journal_Name: Journal of Climate
#   Published_Title: A 431-Yr Reconstruction of Western Colorado Snowpack from Tree Rings
#   Published_Date_or_Year: 2003-05-15
#   Volume: 16
#   Issue: 10
#   Pages: 1551-1561
#   Report_Number: 
#   DOI: 10.1175/1520-0442(2003)016<1551:AYROWC>2.0.CO;2
#   Full_Citation: 
#   Abstract: A tree-ring-based reconstruction for 1 April snow water equivalent (SWE) is generated for the Gunnison River basin region in western Colorado. The reconstruction explains 63% of the variance in the instrumental record and extends from 1569 to 1999. When the twentieth-century part of the record is compared to the full record, the variability and extremes in the twentieth century appear representative of the long-term record. However, years of extreme SWE (low and high) and persistent low SWE events are not evenly distributed throughout the record. The twentieth century is notable for several periods that lack extreme years, and along with the nineteenth century and the second half of the eighteenth century, contains many fewer persistent low SWE events than the first half of the reconstruction. Low SWE in the western United States is associated with several circulation patterns, including the Pacific–North American (PNA) pattern and those related to El Niño–Southern Oscillation (ENSO), but the Gunnison River basin is on the edge of the area with a strong relationship to the PNA and is generally in a transitional zone with respect to regional ENSO influences. Tree-ring chronologies from Oregon and New Mexico, regions impacted by ENSO, were used as rough proxies of northwestern and southwestern U.S. winter precipitation to explore possible associations between Gunnison SWE and winter climate in these two regions over the past four centuries.
#-------------------
# Funding_Agency
#   Funding_Agency_Name: US National Science Foundation
#   Grant_Number: ATM-9729671 and ATM-0080889
#-------------------
# Site_Information
#   Site_Name: Gunnison River Basin
#   Location: Colorado
#   Northernmost_Latitude: 39
#   Southernmost_Latitude: 38
#   Easternmost_Longitude: -106
#   Westernmost_Longitude: -108
#   Elevation_m: 
#-------------------
# Data_Collection
#   Collection_Name: Gunnison_SNE_Woodhouse2003
#   First_Year: 1569
#   Last_Year: 1999
#   Time_Unit: CE
#   Core_Length_m: 
#   Parameter_Keywords: reconstructions
#   Notes: 
#-------------------
# Chronology_Information
#   Chronology:
#-------------------
# Variables 
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Variables format: shortname <tab> what,material,error,units,seasonality,data_type,detail,method, C(har) or N(umeric) data,additional information
#
## age	age,,,year Common Era,,climate reconstructions;tree ring,,,N,
## swer	snow water equivalent,,,centimeter,Apr,climate reconstructions;tree ring,,,N,April 1 SWE
## swei	snow water equivalent,,,centimeter,Apr,instrumental,,,N,
#-------------------------------
# Data: 
# Missing_Values: NA
age	swer	swei
1784	56.02	NA
1785	46.87	NA
1786	34.73	NA
1787	49.47	NA
1788	40.48	NA
1789	26.29	NA
1790	51.59	NA
1791	43.43	NA
1792	44.00	NA
1793	38.23	NA
1794	36.48	NA
1795	45.15	NA
1796	45.39	NA
1797	54.73	NA
1798	25.55	NA
1799	47.69	NA
1800	42.07	NA
1801	36.71	NA
1802	46.38	NA
1803	36.34	NA
1804	31.73	NA
1805	41.15	NA
1806	40.45	NA
1807	40.55	NA
1808	43.10	NA
1809	38.74	NA
1810	38.66	NA
1811	44.38	NA
1812	41.84	NA
1813	36.56	NA
1814	30.26	NA
1815	43.91	NA
1816	43.18	NA
1817	36.75	NA
1818	38.49	NA
1819	28.64	NA
1820	36.92	NA
1821	46.78	NA
1822	31.06	NA
1823	45.75	NA
1824	28.01	NA
1825	32.42	NA
1826	46.12	NA
1827	37.89	NA
1828	43.90	NA
1829	33.36	NA
1830	36.93	NA
1831	45.14	NA
1832	47.24	NA
1833	41.61	NA
1834	29.44	NA
1835	29.16	NA
1836	40.95	NA
1837	55.82	NA
1838	42.28	NA
1839	46.44	NA
1840	48.98	NA
1841	48.58	NA
1842	34.22	NA
1843	45.54	NA
1844	38.66	NA
1845	25.62	NA
1846	29.69	NA
1847	25.02	NA
1848	43.06	NA
1849	52.44	NA
1850	49.11	NA
1851	20.28	NA
1852	49.70	NA
1853	45.92	NA
1854	35.73	NA
1855	27.64	NA
1856	48.06	NA
1857	34.95	NA
1858	45.90	NA
1859	44.79	NA
1860	37.15	NA
1861	28.97	NA
1862	53.65	NA
1863	37.90	NA
1864	38.14	NA
1865	43.48	NA
1866	55.31	NA
1867	56.52	NA
1868	50.77	NA
1869	40.93	NA
1870	41.10	NA
1871	27.25	NA
1872	49.61	NA
1873	46.36	NA
1874	38.92	NA
1875	32.08	NA
1876	37.26	NA
1877	39.06	NA
1878	40.25	NA
1879	22.82	NA
1880	49.52	NA
1881	42.45	NA
1882	30.57	NA
1883	38.17	NA
1884	47.86	NA
1885	49.46	NA
1886	38.42	NA
1887	33.10	NA
1888	40.43	NA
1889	36.86	NA
1890	43.52	NA
1891	43.52	NA
1892	43.23	NA
1893	38.79	NA
1894	40.71	NA
1895	44.89	NA
1896	21.42	NA
1897	45.54	NA
1898	38.52	NA
1899	44.84	NA
1900	42.99	NA
1901	31.96	NA
1902	22.33	NA
1903	49.64	NA
1904	34.53	NA
1905	44.32	NA
1906	48.51	NA
1907	41.46	NA
1908	30.24	NA
1909	46.95	NA
1910	36.08	NA
1911	34.76	NA
1912	40.19	NA
1913	36.88	NA
1914	44.50	NA
1915	34.46	NA
1916	37.75	NA
1917	49.26	NA
1918	40.34	NA
1919	35.22	NA
1920	48.60	NA
1921	45.58	NA
1922	34.24	NA
1923	48.78	NA
1924	51.96	NA
1925	33.22	NA
1926	40.67	NA
1927	41.47	NA
1928	47.21	NA
1929	48.27	NA
1930	42.45	NA
1931	33.17	NA
1932	44.66	NA
1933	42.09	NA
1934	30.51	NA
1935	40.96	NA
1936	39.72	NA
1937	36.46	NA
1938	43.69	43.18
1939	37.41	29.718
1940	37.93	32.766
1941	45.27	40.64
1942	45.10	42.418
1943	35.98	36.83
1944	35.77	39.878
1945	30.51	43.434
1946	33.42	25.908
1947	44.25	39.878
1948	39.30	45.466
1949	45.84	48.514
1950	33.98	39.624
1951	36.31	35.814
1952	47.27	70.104
1953	34.85	32.512
1954	30.47	29.972
1955	41.84	34.29
1956	38.44	39.37
1957	49.53	55.626
1958	44.91	45.466
1959	33.02	36.576
1960	42.86	37.846
1961	32.08	30.988
1962	59.38	52.578
1963	38.29	27.432
1964	28.56	32.004
1965	51.53	54.356
1966	31.93	25.908
1967	33.79	32.258
1968	35.90	39.116
1969	44.73	49.276
1970	40.17	42.164
1971	37.85	38.608
1972	39.87	28.448
1973	47.43	42.672
1974	36.87	38.354
1975	45.59	52.578
1976	31.28	38.862
1977	19.83	16.256
1978	50.81	54.61
1979	52.53	52.832
1980	46.43	57.15
1981	27.38	22.86
1982	44.51	50.292
1983	55.07	47.498
1984	51.12	56.642
1985	53.62	44.958
1986	46.63	41.656
1987	39.81	39.878
1988	35.82	33.274
1989	41.28	35.052
1990	24.74	23.114
1991	44.92	38.1
1992	34.32	37.338
1993	47.91	52.324
1994	34.34	31.75
1995	47.28	44.958
1996	39.90	49.022
1997	47.09	46.99
1998	43.64	37.338
1999	44.20	24.27111
