age_CE,KAP01A_raw,KAP01B_raw,KAP02A_raw,KAP02B_raw,KAP02C_raw,KAP02D_raw,KAP02E_raw,KAP02F_raw,KAP01A_raw_outlier_flag,KAP01B_raw_outlier_flag,KAP02A_raw_outlier_flag,KAP02B_raw_outlier_flag,KAP02C_raw_outlier_flag,KAP02D_raw_outlier_flag,KAP02E_raw_outlier_flag,KAP02F_raw_outlier_flag
1858,NA,NA,NA,NA,NA,NA,0.52,0.51,NA,NA,NA,NA,NA,NA,FALSE,FALSE
1859,NA,NA,NA,NA,NA,NA,0.48,0.41,NA,NA,NA,NA,NA,NA,FALSE,FALSE
1860,NA,NA,NA,NA,NA,NA,0.39,0.34,NA,NA,NA,NA,NA,NA,FALSE,FALSE
1861,NA,NA,NA,NA,NA,NA,0.37,0.34,NA,NA,NA,NA,NA,NA,FALSE,FALSE
1862,NA,NA,NA,NA,NA,NA,0.29,0.31,NA,NA,NA,NA,NA,NA,FALSE,FALSE
1863,NA,NA,NA,NA,NA,NA,0.37,0.37,NA,NA,NA,NA,NA,NA,FALSE,FALSE
1864,NA,NA,NA,NA,NA,NA,0.3,0.33,NA,NA,NA,NA,NA,NA,FALSE,FALSE
1865,NA,NA,NA,NA,NA,NA,0.48,0.57,NA,NA,NA,NA,NA,NA,FALSE,FALSE
1866,NA,NA,NA,NA,NA,NA,0.65,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1867,NA,NA,NA,NA,NA,NA,1.18,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1868,NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
