age_CE,BIG002A_raw,BIG002B_raw,BIG003A_raw,BIG003B_raw,BIG005A_raw,BIG005B_raw,BIG011A_raw,BIG011B_raw,BIG015A_raw,BIG015B_raw,BIG018A_raw,BIG018B_raw,BIG020A_raw,BIG020B_raw,BIG002A_raw_outlier_flag,BIG002B_raw_outlier_flag,BIG003A_raw_outlier_flag,BIG003B_raw_outlier_flag,BIG005A_raw_outlier_flag,BIG005B_raw_outlier_flag,BIG011A_raw_outlier_flag,BIG011B_raw_outlier_flag,BIG015A_raw_outlier_flag,BIG015B_raw_outlier_flag,BIG018A_raw_outlier_flag,BIG018B_raw_outlier_flag,BIG020A_raw_outlier_flag,BIG020B_raw_outlier_flag
1938,NA,NA,NA,NA,0.34,0.42,0.61,0.77,0.6,0.66,0.51,0.66,1.63,1.38,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1939,NA,NA,NA,NA,0.32,0.29,0.36,0.47,0.46,0.39,0.3,0.44,1.63,1.15,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1940,NA,NA,NA,NA,0.52,0.41,0.47,0.69,0.68,0.68,0.6,0.51,1.56,1.11,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1941,NA,NA,NA,NA,0.42,0.33,0.36,0.64,0.46,0.38,0.37,0.29,1.36,0.75,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1942,NA,NA,NA,NA,0.54,0.37,0.28,0.42,0.41,0.66,0.56,0.41,1.21,0.82,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1943,NA,NA,NA,NA,0.34,0.25,0.35,0.46,0.22,0.2,0.24,0.23,1.12,0.56,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1944,NA,NA,NA,NA,0.43,0.38,0.46,0.74,0.37,0.28,0.59,0.4,1.01,0.71,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1945,NA,NA,NA,NA,0.25,0.2,0.33,0.54,0.4,0.36,0.31,0.28,0.9,0.73,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1946,NA,NA,NA,NA,0.18,0.15,0.19,0.42,0.17,0.19,0.24,0.42,0.64,0.56,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1947,NA,NA,NA,NA,0.21,0.14,0.29,0.32,0.13,0.15,0.34,0.25,0.68,0.52,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1948,NA,NA,NA,NA,0.2,0.12,0.17,0.2,0.16,0.12,0.24,0.18,0.84,0.71,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1949,NA,NA,NA,NA,0.71,0.54,0.77,0.66,0.77,0.58,0.87,0.58,1.28,1.45,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1950,NA,NA,NA,NA,0.38,0.53,0.56,0.67,0.64,0.49,0.44,0.41,1.6,1.47,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1951,NA,NA,NA,NA,0.84,0.78,0.72,0.69,0.72,0.46,0.37,0.44,1.34,1.21,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1952,NA,NA,NA,NA,0.96,0.88,0.9,1,0.7,0.58,0.44,0.56,1.47,1.19,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1953,NA,NA,NA,NA,0.57,0.82,0.48,0.84,0.75,0.5,0.39,0.48,1.39,1.45,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1954,NA,NA,NA,NA,0.47,0.52,0.37,0.55,0.39,0.23,0.16,0.22,1.42,1.3,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1955,NA,NA,NA,NA,0.57,0.55,0.21,0.52,0.51,0.19,0.33,0.3,0.73,0.71,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1956,NA,NA,NA,NA,0.36,0.19,0.11,0.38,0.18,0.07,0.12,0.15,0.53,0.56,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1957,NA,NA,NA,NA,0.79,0.69,0.65,0.69,0.59,0.29,0.47,0.62,0.77,0.65,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1958,NA,NA,NA,NA,0.61,0.58,0.47,0.75,0.63,0.38,0.29,0.26,0.68,0.65,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1959,NA,NA,NA,NA,0.44,0.56,0.52,0.61,0.41,0.23,0.38,0.41,0.68,0.67,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1960,0.63,0.64,NA,NA,0.28,0.54,0.48,0.73,0.32,0.23,0.26,0.38,0.55,0.43,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1961,1.04,1.04,1.47,1.96,0.42,0.45,0.6,0.73,0.42,0.21,0.24,0.34,0.68,0.65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1962,1.1,1.11,1.57,2.92,0.47,0.79,0.63,0.79,0.76,0.7,0.39,0.55,0.66,0.69,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1963,1.72,1.23,1.78,3.22,0.55,0.86,0.77,0.89,0.88,0.53,0.44,0.46,0.9,0.71,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1964,1.73,0.97,1.82,2.48,0.58,0.6,0.53,0.75,0.8,0.4,0.34,0.42,0.94,0.87,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1965,2.01,1.81,2.03,2.38,1.25,1.19,0.71,0.88,1.22,0.73,0.69,1.03,1.16,0.82,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1966,1.52,2.22,2.34,2.41,1.03,1,0.51,0.6,1.18,0.68,0.74,1.06,1.1,1.02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1967,2.47,2.31,2.61,2.36,1.1,0.98,0.81,0.78,0.86,0.64,0.76,0.86,1.25,1.25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1968,1.07,1.15,1.87,2.01,0.56,0.49,0.38,0.42,0.51,0.33,0.31,0.45,0.58,0.63,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1969,2.14,1.13,2.13,2.11,0.74,0.84,0.6,0.66,0.68,0.36,0.47,0.74,0.88,0.82,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1970,1.69,0.67,1.31,1.51,0.74,0.76,0.24,0.44,0.41,0.32,0.22,0.34,0.7,0.49,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1971,1.51,0.66,1.21,1.19,0.38,0.44,0.16,0.22,0.34,0.26,0.15,0.29,0.59,0.36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1972,1.29,0.5,0.99,0.87,0.21,0.29,0.21,0.15,0.35,0.21,0.34,0.32,0.29,0.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1973,1.89,1.16,1.56,1.22,0.49,0.52,0.6,0.64,0.69,0.48,0.19,0.38,0.35,0.21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1974,0.7,0.46,1.23,1.56,0.44,0.23,0.29,0.37,0.76,0.41,0.29,0.4,0.55,0.36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1975,1.59,0.8,1.64,1.65,0.79,0.58,0.83,0.99,1.43,0.96,0.19,0.49,0.83,0.61,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1976,1.61,0.82,1.35,1.83,0.81,0.61,0.72,0.75,1.02,0.65,0.33,0.49,0.72,0.56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1977,1.52,0.8,1.91,1.68,0.7,0.48,0.54,0.85,1.15,0.86,0.24,0.56,0.79,0.39,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1978,1.22,0.72,1.5,1.43,0.56,0.41,0.56,0.68,0.72,0.47,0.55,0.91,0.68,0.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
