age_CE,MDS-02A_raw,MDS-02B_raw,MCS-03A_raw,MDS-03B_raw,MDS-04A_raw,MDS-04B_raw,MDS-06A_raw,MDS-06B_raw,MDS-07A_raw,MDS-07B_raw,MDS-02A_raw_outlier_flag,MDS-02B_raw_outlier_flag,MCS-03A_raw_outlier_flag,MDS-03B_raw_outlier_flag,MDS-04A_raw_outlier_flag,MDS-04B_raw_outlier_flag,MDS-06A_raw_outlier_flag,MDS-06B_raw_outlier_flag,MDS-07A_raw_outlier_flag,MDS-07B_raw_outlier_flag
1902,NA,NA,2.002,1.85,2.318,1.984,1.905,NA,2.881,1.83,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE
1903,NA,NA,2.303,1.935,2.593,2.155,2.564,NA,2.685,1.718,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE
1904,NA,NA,2.535,1.848,2.924,2.123,2.736,3.977,3.207,1.913,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1905,1.397,NA,2.618,1.924,3.161,2.182,2.92,3.903,3.712,2.562,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1906,1.82,NA,3.074,2.301,2.497,2.103,2.944,3.441,2.877,2.744,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1907,2.455,NA,3.75,2.347,3.144,2.772,2.968,4.437,3.897,3.1,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1908,1.323,NA,3.29,1.891,2.839,2.595,3.415,4.207,2.992,2.848,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1909,1.085,NA,3.31,2.201,2.778,2.783,2.829,3.996,3.702,2.635,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1910,1.169,NA,2.902,1.941,2.341,2.725,2.669,3.304,2.895,2.05,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1911,2.136,NA,2.791,1.632,2.243,2.559,2.459,3.218,2.953,2.095,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1912,1.421,NA,2.493,1.372,2.488,2.287,2.225,2.717,2.16,1.562,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1913,2.025,NA,2.766,1.863,3.063,2.877,2.298,3.231,2.241,1.449,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1914,2.3,NA,3.624,3.168,3.636,3.108,2.722,3.551,3.07,2.381,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1915,1.867,NA,2.394,2.845,3.148,2.881,2.338,3.147,2.581,1.989,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1916,1.319,NA,2.058,2.323,2.431,2.318,1.96,2.541,2.304,1.38,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1917,1.468,NA,1.838,3.024,2.175,2.102,2.293,2.701,2.355,1.289,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1918,1.353,NA,1.389,2.533,2.505,1.864,1.698,2.187,2.44,1.401,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1919,1.921,NA,1.815,2.414,3.023,2.234,1.857,2.372,2.617,1.685,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1920,1.415,2.11,1.242,1.928,2.344,1.898,1.501,1.847,2.105,1.297,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1921,1.836,2.8,1.754,3.232,2.731,2.192,1.738,2.125,2.412,1.581,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1922,2.462,3.197,1.798,2.588,2.326,2.038,1.457,2.459,2.179,1.47,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1923,2.751,3.56,1.854,2.871,2.752,2.351,1.851,2.722,2.455,1.686,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1924,2.257,3.19,1.556,2.458,2.933,2.083,1.464,1.933,1.664,1.33,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1925,2.117,2.792,1.486,2.041,3.195,2.571,1.482,2.224,1.884,1.647,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1926,2.04,2.938,2.033,1.866,3.22,2.408,2.243,2.732,1.62,1.751,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1927,1.842,2.718,2.144,1.642,2.78,2.145,1.66,2.027,1.579,1.469,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1928,1.733,2.801,1.81,1.47,2.533,1.927,1.665,1.926,1.364,1.364,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1929,1.9,3.31,2.465,1.476,2.188,1.604,1.629,2.062,1.591,1.552,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1930,1.76,3.139,2.357,1.347,2.448,1.661,1.443,2.063,1.478,1.274,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1931,2.059,2.977,2.113,1.065,2.315,1.97,1.344,1.747,1.352,1.197,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1932,1.872,2.598,2.112,1.26,1.89,1.753,1.133,1.479,1.304,1.152,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1933,1.759,2.763,1.814,1.423,1.85,1.678,1.184,1.523,1.473,1.334,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1934,1.484,2.283,1.006,0.658,1.447,1.292,0.457,0.735,0.929,0.687,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1935,2.013,2.602,1.819,1.369,1.93,1.596,1.138,1.504,1.766,1.374,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1936,2.222,2.677,1.402,1.231,1.677,1.227,0.956,1.535,1.572,1.147,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1937,2.635,3.283,1.793,1.748,2.174,1.467,1.2,2.158,1.94,1.538,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1938,2.849,3.543,1.986,1.643,2.303,1.707,1.395,2.262,1.808,1.65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1939,3.194,3.821,2.009,1.737,2.269,1.569,1.628,1.997,1.972,1.747,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1940,2.228,2.378,1.551,1.502,1.833,1.489,1.3,1.815,1.383,1.225,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1941,1.975,1.604,1.652,1.449,1.698,1.305,1.608,1.74,1.394,1.184,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1942,2.252,2.246,1.561,1.431,1.983,1.537,1.189,1.762,1.851,1.21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1943,2.286,2.382,1.837,1.571,2.174,1.912,1.067,2.089,2.07,1.048,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1944,1.97,2.051,1.948,1.411,1.846,2.08,1.309,2.061,1.985,0.995,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1945,1.705,1.913,2.206,1.522,1.79,1.604,1.163,2.04,2.035,0.876,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1946,2.412,2.368,1.917,1.479,1.715,1.873,1.411,1.923,2.006,0.79,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1947,2.071,2.507,1.26,0.88,1.36,1.397,1.33,1.381,1.615,0.677,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1948,2.231,2.959,1.949,1.435,1.671,1.731,1.424,1.876,1.739,0.86,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1949,2.009,3.1,1.814,1.345,1.812,1.758,1.183,1.826,1.638,0.985,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1950,1.799,3.093,1.59,1.277,1.419,1.468,1.039,1.543,1.512,0.865,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1951,1.811,3.993,2.07,2.518,1.745,1.585,1.647,1.908,1.574,1.393,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1952,2.002,2.94,2.528,2.926,1.532,1.491,1.287,1.612,1.98,1.509,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1953,1.771,2.353,1.762,1.907,1.247,1.276,0.983,1.619,1.451,1.175,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1954,2.194,2.534,1.137,1.491,1.506,1.474,0.738,1.271,1.103,0.706,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1955,1.65,2.939,1.358,1.471,1.506,1.6,0.745,1.271,1.284,0.747,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1956,1.768,2.537,1.326,1.414,1.302,1.501,0.833,1.211,0.997,0.728,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1957,1.968,2.626,0.896,1.115,1.226,1.31,0.82,1.104,0.936,0.659,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1958,1.697,3.394,1.245,1.405,1.275,1.454,1.003,1.226,1.176,0.667,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1959,1.871,3.658,1.125,1.306,1.318,1.352,0.882,1.191,1.205,0.768,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1960,1.695,3.124,1.026,1.448,1.39,1.453,0.859,1.178,1.221,0.667,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1961,1.291,2.162,0.652,0.944,1.231,1.241,0.662,0.539,0.62,0.268,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1962,1.929,2.802,0.998,1.493,1.308,1.516,1.102,0.898,1.224,0.642,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1963,1.737,3.323,1.258,1.429,1.664,1.759,1.016,1.106,1.174,0.788,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1964,2.215,3.234,1.392,1.68,1.429,2.021,1.284,1.728,1.531,0.977,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1965,1.781,3.305,1.724,1.898,1.871,2.521,1.532,1.863,1.585,1.02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1966,1.907,3.681,1.445,1.321,1.726,1.994,1.366,1.593,1.883,1.199,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1967,1.718,3.266,1.684,1.202,1.793,1.699,1.221,1.121,1.527,1.044,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1968,1.963,4.093,3.591,1.935,2.092,2.164,1.572,1.674,1.738,1.281,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1969,2.103,4.027,4.028,1.652,2.127,2.176,1.502,2.262,1.712,1.274,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1970,1.903,2.618,2.061,0.967,1.349,1.423,1.239,1.173,1.323,0.803,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1971,1.763,2.68,2.736,0.968,1.764,1.492,1.219,1.44,1.328,0.893,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1972,1.848,2.427,2.685,1.125,1.863,1.418,1.262,1.215,1.457,0.928,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1973,1.711,2.383,2.137,1.072,1.691,1.707,1.362,1.158,1.495,0.756,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1974,1.88,3.489,2.14,1.636,1.596,1.835,1.564,1.419,1.518,0.807,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1975,1.592,3.155,1.851,1.185,1.369,1.557,1.38,1.369,1.553,0.723,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1976,1.904,3.069,1.652,1.162,1.88,1.91,1.351,1.628,1.471,0.701,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1977,1.303,2.384,0.994,0.695,1.535,1.368,0.856,1.03,0.721,0.471,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1978,1.537,2.757,1.508,1.177,1.238,1.334,1.255,1.536,1.289,0.568,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1979,1.367,2.557,1.548,0.929,1.201,0.961,0.832,1.128,0.938,0.46,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1980,1.193,2.731,1.202,0.68,1.162,0.882,0.982,1.343,0.98,0.537,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1981,1.587,3.329,1.266,0.865,1.456,1.306,1.03,1.434,1.246,0.563,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1982,1.85,3.541,1.213,0.949,1.211,0.945,0.693,1.157,1.077,0.566,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1983,1.947,3.2,1.391,1.264,1.492,1.34,1.107,1.656,1.013,0.643,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1984,2.059,3.295,1.553,1.1,1.378,1.31,1.11,1.598,1.208,0.803,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,2.839,3.577,2.03,1.948,2.034,1.39,1.793,2.112,2.195,1.289,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1986,2.693,3.24,1.85,2.12,1.842,1.442,1.522,2.265,2.032,1.613,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1987,2.248,2.474,1.502,1.381,1.351,1.147,0.935,1.593,1.427,1.191,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1988,1.358,1.8,0.881,0.884,0.849,0.898,0.462,0.707,0.566,0.672,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1989,1.128,2.323,0.24,0.212,0.432,0.37,0.245,0.558,0.514,0.349,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1990,0.992,2.323,0.484,0.531,0.992,0.767,0.498,0.893,0.833,0.578,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1991,1.044,1.773,0.419,0.552,0.655,0.597,0.525,1.096,0.711,0.475,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1992,1.303,2.365,0.558,0.561,0.886,0.818,0.407,0.846,0.512,0.351,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1993,1.649,2.972,0.822,0.502,0.813,0.952,0.479,1.116,0.68,0.579,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1994,1.625,2.414,1.013,0.901,0.963,1.11,0.563,1.705,0.943,0.592,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1995,1.718,2.446,0.914,0.755,1.062,1.087,0.489,1.528,1.122,0.575,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1996,2.03,3.04,1.592,1.038,1.462,1.43,0.68,2.01,1.365,0.741,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1997,1.806,2.184,1.546,0.872,1.377,NA,0.612,1.825,NA,0.762,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE
1998,2.206,2.67,2.584,1.283,1.758,NA,0.9,2.169,NA,0.987,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE
