"","years","Tag","Ring_width(mm)","LongW","LongE","LatN","LatS"
"185",1468,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"186",1469,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"187",1470,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"188",1471,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"189",1472,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"190",1473,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"191",1474,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"192",1475,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"193",1476,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"194",1477,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"195",1478,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"196",1479,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"197",1480,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"198",1481,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"199",1482,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"200",1483,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"201",1484,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"202",1485,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"203",1486,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"204",1487,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"205",1488,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"206",1489,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"207",1490,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"208",1491,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"209",1492,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"210",1493,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"211",1494,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"212",1495,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"213",1496,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"214",1497,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"215",1498,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"216",1499,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"217",1500,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"218",1501,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"219",1502,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"220",1503,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"221",1504,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"222",1505,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"223",1506,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"224",1507,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"225",1508,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"226",1509,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"227",1510,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"228",1511,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"229",1512,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"230",1513,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"231",1514,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"232",1515,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"233",1516,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"234",1517,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"235",1518,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"236",1519,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"237",1520,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"238",1521,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"239",1522,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"240",1523,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"241",1524,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"242",1525,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
"243",1526,"LSWL1",NA,-113.1207,-112.9285,44.9181,44.7155
