"","Sample tree ID","Sample tree species","Neighbor tree species","Neighbor tree DBH (cm)","Distance to neighbor tree (m)"
"98","BNF0702130925LP","Pinus contorta var. latifolia","Picea engelmannii",30.7,6
"99","BNF0702130925LP","Pinus contorta var. latifolia","Pinus contorta var. latifolia",23.6,2.6
"100","BNF0702130925LP","Pinus contorta var. latifolia","Pinus contorta var. latifolia",19.2,2.6
"101","BNF0702130925LP","Pinus contorta var. latifolia","Pinus contorta var. latifolia",21.6,9
"102","BNF0702130925LP","Pinus contorta var. latifolia","Pinus contorta var. latifolia",26.5,9.2
"103","BNF0702130925LP","Pinus contorta var. latifolia","Pinus contorta var. latifolia",18.7,6.9
"104","BNF0702130925LP","Pinus contorta var. latifolia","Pinus contorta var. latifolia",20,3.2
"105","BNF0702130925LP","Pinus contorta var. latifolia","Pinus contorta var. latifolia",10.6,2
"106","BNF0702130925LP","Pinus contorta var. latifolia","Pinus contorta var. latifolia",14.4,2
"107","BNF0702130925LP","Pinus contorta var. latifolia","Pinus contorta var. latifolia",16.2,3
"108","BNF0702130925LP","Pinus contorta var. latifolia","Abies lasiocarpa",11,3.6
"109","BNF0702130925LP","Pinus contorta var. latifolia","Pinus contorta var. latifolia",13.7,7.4
"110","BNF0702130925LP","Pinus contorta var. latifolia","Pinus contorta var. latifolia",17.6,9.4
"111","BNF0702130925LP","Pinus contorta var. latifolia","Pinus contorta var. latifolia",18.9,10.4
"112","BNF0702130925LP","Pinus contorta var. latifolia","Picea engelmannii",30.7,5.7
"113","BNF0702130925LP","Pinus contorta var. latifolia","Pinus contorta var. latifolia",22.3,9.87
"122","BNF0702130925LP","Pinus contorta var. latifolia","Pinus contorta var. latifolia",19.8,13.12
"123","BNF0702130925LP","Pinus contorta var. latifolia","Pinus contorta var. latifolia",10.6,13.36
"124","BNF0702130925LP","Pinus contorta var. latifolia","Pinus contorta var. latifolia",17.4,13.24
"125","BNF0702130925LP","Pinus contorta var. latifolia","Pinus contorta var. latifolia",17.8,12.63
"129","BNF0702130925LP","Pinus contorta var. latifolia","Pinus contorta var. latifolia",13.5,14.19
"130","BNF0702130925LP","Pinus contorta var. latifolia","Pinus contorta var. latifolia",19.3,13.46
"131","BNF0702130925LP","Pinus contorta var. latifolia","Pinus contorta var. latifolia",18.8,13.01
"132","BNF0702130925LP","Pinus contorta var. latifolia","Pinus contorta var. latifolia",10,13
"133","BNF0702130925LP","Pinus contorta var. latifolia","Pinus contorta var. latifolia",21.7,9.97
"134","BNF0702130925LP","Pinus contorta var. latifolia","Pinus contorta var. latifolia",20,9.75
"135","BNF0702130925LP","Pinus contorta var. latifolia","Pinus contorta var. latifolia",13.4,15
"141","BNF0702130925LP","Pinus contorta var. latifolia","Abies lasiocarpa",37.5,13.66
"145","BNF0702130925LP","Pinus contorta var. latifolia","Abies lasiocarpa",13.4,14.98
"146","BNF0702130925LP","Pinus contorta var. latifolia","Abies lasiocarpa",13,15
"147","BNF0702130925LP","Pinus contorta var. latifolia","Abies lasiocarpa",11.5,14.87
"160","BNF0702130925LP","Pinus contorta var. latifolia","Abies lasiocarpa",13,13.71
"161","BNF0702130925LP","Pinus contorta var. latifolia","Abies lasiocarpa",11.1,13.94
"162","BNF0702130925LP","Pinus contorta var. latifolia","Picea engelmannii",50,10.12
"163","BNF0702130925LP","Pinus contorta var. latifolia","Pinus contorta var. latifolia",23.6,8.28
"164","BNF0702130925LP","Pinus contorta var. latifolia","Pinus contorta var. latifolia",10.1,8.7
"165","BNF0702130925LP","Pinus contorta var. latifolia","Pinus contorta var. latifolia",13,7
"166","BNF0702130925LP","Pinus contorta var. latifolia","Picea engelmannii",41.8,7.53
"167","BNF0702130925LP","Pinus contorta var. latifolia","Pinus contorta var. latifolia",13.3,7.07
"168","BNF0702130925LP","Pinus contorta var. latifolia","Picea engelmannii",14.5,9.09
"169","BNF0702130925LP","Pinus contorta var. latifolia","Abies lasiocarpa",17,8.96
"170","BNF0702130925LP","Pinus contorta var. latifolia","Abies lasiocarpa",21.7,7.45
"171","BNF0702130925LP","Pinus contorta var. latifolia","Abies lasiocarpa",22,7.94
"173","BNF0702130925LP","Pinus contorta var. latifolia","Abies lasiocarpa",10.8,14.24
"181","BNF0702130925LP","Pinus contorta var. latifolia","Picea engelmannii",12.6,12.78
"182","BNF0702130925LP","Pinus contorta var. latifolia","Abies lasiocarpa",28,10.46
"183","BNF0702130927ES","Picea engelmannii","Pinus contorta var. latifolia",22.1,6
"184","BNF0702130927ES","Picea engelmannii","Abies lasiocarpa",22,11.9
"185","BNF0702130927ES","Picea engelmannii","Abies lasiocarpa",43.7,13.1
"186","BNF0702130927ES","Picea engelmannii","Abies lasiocarpa",29,9.8
"187","BNF0702130927ES","Picea engelmannii","Abies lasiocarpa",13.4,9.2
"188","BNF0702130927ES","Picea engelmannii","Abies lasiocarpa",13,9
"189","BNF0702130927ES","Picea engelmannii","Abies lasiocarpa",11.5,8.9
"190","BNF0702130927ES","Picea engelmannii","Abies lasiocarpa",22.5,12.9
"191","BNF0702130927ES","Picea engelmannii","Abies lasiocarpa",11.5,13.3
"192","BNF0702130927ES","Picea engelmannii","Abies lasiocarpa",10.1,13.7
"193","BNF0702130927ES","Picea engelmannii","Abies lasiocarpa",16.9,12.9
"194","BNF0702130927ES","Picea engelmannii","Abies lasiocarpa",14.7,12.5
"195","BNF0702130927ES","Picea engelmannii","Abies lasiocarpa",14,12
"196","BNF0702130927ES","Picea engelmannii","Pinus contorta var. latifolia",24.5,11.2
"197","BNF0702130927ES","Picea engelmannii","Pinus contorta var. latifolia",16.5,13.6
"198","BNF0702130927ES","Picea engelmannii","Pinus contorta var. latifolia",20,14
"199","BNF0702130927ES","Picea engelmannii","Pinus contorta var. latifolia",22.5,12.6
"200","BNF0702130927ES","Picea engelmannii","Abies lasiocarpa",13,10.2
"201","BNF0702130927ES","Picea engelmannii","Abies lasiocarpa",11,9.8
"202","BNF0702130927ES","Picea engelmannii","Abies lasiocarpa",13,7.8
"203","BNF0702130927ES","Picea engelmannii","Abies lasiocarpa",11.1,8
"204","BNF0702130927ES","Picea engelmannii","Picea engelmannii",50,5.3
"205","BNF0702130927ES","Picea engelmannii","Pinus contorta var. latifolia",23.6,5.6
"206","BNF0702130927ES","Picea engelmannii","Pinus contorta var. latifolia",10.1,6.2
"207","BNF0702130927ES","Picea engelmannii","Pinus contorta var. latifolia",13,3.6
"208","BNF0702130927ES","Picea engelmannii","Picea engelmannii",41.8,2.2
"209","BNF0702130927ES","Picea engelmannii","Pinus contorta var. latifolia",13.3,1.1
"210","BNF0702130927ES","Picea engelmannii","Picea engelmannii",14.5,3.8
"211","BNF0702130927ES","Picea engelmannii","Abies lasiocarpa",17,4
"212","BNF0702130927ES","Picea engelmannii","Abies lasiocarpa",21.7,3
"213","BNF0702130927ES","Picea engelmannii","Abies lasiocarpa",22,3.6
"214","BNF0702130927ES","Picea engelmannii","Abies lasiocarpa",28.6,13.2
"215","BNF0702130927ES","Picea engelmannii","Abies lasiocarpa",10.8,10.4
"216","BNF0702130927ES","Picea engelmannii","Abies lasiocarpa",28.9,13.5
"217","BNF0702130927ES","Picea engelmannii","Abies lasiocarpa",19.8,14.3
"218","BNF0702130927ES","Picea engelmannii","Abies lasiocarpa",13.3,14.6
"219","BNF0702130927ES","Picea engelmannii","Abies lasiocarpa",12,14.8
"220","BNF0702130927ES","Picea engelmannii","Abies lasiocarpa",14.2,14.3
"221","BNF0702130927ES","Picea engelmannii","Abies lasiocarpa",10,13.4
"222","BNF0702130927ES","Picea engelmannii","Pinus contorta var. latifolia",15.4,12.3
"223","BNF0702130927ES","Picea engelmannii","Picea engelmannii",12.6,10.1
"224","BNF0702130927ES","Picea engelmannii","Abies lasiocarpa",28,7.5
"225","BNF0702130927ES","Picea engelmannii","Pinus contorta var. latifolia",22.1,5.7
"226","BNF0702130927ES","Picea engelmannii","Pinus contorta var. latifolia",22.3,9.04
"227","BNF0702130927ES","Picea engelmannii","Picea engelmannii",20,13.3
"230","BNF0702130927ES","Picea engelmannii","Pinus contorta var. latifolia",16.8,14.79
"235","BNF0702130927ES","Picea engelmannii","Pinus contorta var. latifolia",19.8,12.72
"236","BNF0702130927ES","Picea engelmannii","Pinus contorta var. latifolia",10.6,12.77
"237","BNF0702130927ES","Picea engelmannii","Pinus contorta var. latifolia",17.4,13.07
"238","BNF0702130927ES","Picea engelmannii","Pinus contorta var. latifolia",17.8,12.52
"244","BNF0702130927ES","Picea engelmannii","Pinus contorta var. latifolia",18.8,14.84
"245","BNF0702130927ES","Picea engelmannii","Pinus contorta var. latifolia",10,15
"246","BNF0702130927ES","Picea engelmannii","Pinus contorta var. latifolia",21.7,12.81
"247","BNF0702130927ES","Picea engelmannii","Pinus contorta var. latifolia",20,12.64
"255","BNF0702130927ES","Picea engelmannii","Pinus contorta var. latifolia",23.6,8.51
"256","BNF0702130927ES","Picea engelmannii","Pinus contorta var. latifolia",19.2,8.59
"257","BNF0702130927ES","Picea engelmannii","Pinus contorta var. latifolia",21.6,14.98
"259","BNF0702130927ES","Picea engelmannii","Pinus contorta var. latifolia",18.7,8.49
"260","BNF0702130927ES","Picea engelmannii","Pinus contorta var. latifolia",20,6.85
"261","BNF0702130927ES","Picea engelmannii","Pinus contorta var. latifolia",10.6,5.92
"262","BNF0702130927ES","Picea engelmannii","Pinus contorta var. latifolia",14.4,4.27
"263","BNF0702130927ES","Picea engelmannii","Pinus contorta var. latifolia",16.2,5.77
"264","BNF0702130927ES","Picea engelmannii","Abies lasiocarpa",11,6.78
"265","BNF0702130927ES","Picea engelmannii","Pinus contorta var. latifolia",13.7,7.96
"266","BNF0702130927ES","Picea engelmannii","Pinus contorta var. latifolia",17.6,10.14
"267","BNF0702130927ES","Picea engelmannii","Pinus contorta var. latifolia",18.9,10.68
"268","BNF0702130930SF","Abies lasiocarpa","Pinus contorta var. latifolia",22.1,7.1
"269","BNF0702130930SF","Abies lasiocarpa","Picea engelmannii",30.7,7.2
"270","BNF0702130930SF","Abies lasiocarpa","Pinus contorta var. latifolia",22.3,2.8
"271","BNF0702130930SF","Abies lasiocarpa","Picea engelmannii",20,10
"272","BNF0702130930SF","Abies lasiocarpa","Pinus contorta var. latifolia",22.7,13.4
"273","BNF0702130930SF","Abies lasiocarpa","Pinus contorta var. latifolia",12.7,13.9
"274","BNF0702130930SF","Abies lasiocarpa","Pinus contorta var. latifolia",16.8,14.1
"275","BNF0702130930SF","Abies lasiocarpa","Abies lasiocarpa",16.1,14.5
"276","BNF0702130930SF","Abies lasiocarpa","Pinus contorta var. latifolia",11.5,13.5
"277","BNF0702130930SF","Abies lasiocarpa","Pinus contorta var. latifolia",26.8,13.9
"278","BNF0702130930SF","Abies lasiocarpa","Pinus contorta var. latifolia",10,14.4
"279","BNF0702130930SF","Abies lasiocarpa","Pinus contorta var. latifolia",19.8,6.1
"280","BNF0702130930SF","Abies lasiocarpa","Pinus contorta var. latifolia",10.6,6.3
"281","BNF0702130930SF","Abies lasiocarpa","Pinus contorta var. latifolia",17.4,6.3
"282","BNF0702130930SF","Abies lasiocarpa","Pinus contorta var. latifolia",17.8,5.7
"283","BNF0702130930SF","Abies lasiocarpa","Pinus contorta var. latifolia",15.2,10.6
"284","BNF0702130930SF","Abies lasiocarpa","Pinus contorta var. latifolia",10.1,10.9
"285","BNF0702130930SF","Abies lasiocarpa","Pinus contorta var. latifolia",15.5,10.8
"286","BNF0702130930SF","Abies lasiocarpa","Pinus contorta var. latifolia",13.5,8.6
"287","BNF0702130930SF","Abies lasiocarpa","Pinus contorta var. latifolia",19.3,8.2
"288","BNF0702130930SF","Abies lasiocarpa","Pinus contorta var. latifolia",18.8,7.7
"289","BNF0702130930SF","Abies lasiocarpa","Pinus contorta var. latifolia",10,7.9
"290","BNF0702130930SF","Abies lasiocarpa","Pinus contorta var. latifolia",21.7,6.3
"291","BNF0702130930SF","Abies lasiocarpa","Pinus contorta var. latifolia",20,6.2
"292","BNF0702130930SF","Abies lasiocarpa","Pinus contorta var. latifolia",13.4,11.1
"293","BNF0702130930SF","Abies lasiocarpa","Pinus contorta var. latifolia",15,11.6
"294","BNF0702130930SF","Abies lasiocarpa","Pinus contorta var. latifolia",11,11.7
"295","BNF0702130930SF","Abies lasiocarpa","Pinus contorta var. latifolia",20,12.6
"296","BNF0702130930SF","Abies lasiocarpa","Pinus contorta var. latifolia",11.3,13.7
"297","BNF0702130930SF","Abies lasiocarpa","Pinus contorta var. latifolia",23.8,14.9
"298","BNF0702130930SF","Abies lasiocarpa","Abies lasiocarpa",37.5,13.1
"303","BNF0702130930SF","Abies lasiocarpa","Abies lasiocarpa",13,13.99
"304","BNF0702130930SF","Abies lasiocarpa","Abies lasiocarpa",11.5,13.22
"311","BNF0702130930SF","Abies lasiocarpa","Pinus contorta var. latifolia",24.5,13.21
"312","BNF0702130930SF","Abies lasiocarpa","Pinus contorta var. latifolia",16.5,14.48
"313","BNF0702130930SF","Abies lasiocarpa","Pinus contorta var. latifolia",20,14.59
"314","BNF0702130930SF","Abies lasiocarpa","Pinus contorta var. latifolia",22.5,12.55
"315","BNF0702130930SF","Abies lasiocarpa","Abies lasiocarpa",13,13.56
"316","BNF0702130930SF","Abies lasiocarpa","Abies lasiocarpa",11,13.22
"317","BNF0702130930SF","Abies lasiocarpa","Abies lasiocarpa",13,11.83
"318","BNF0702130930SF","Abies lasiocarpa","Abies lasiocarpa",11.1,12.15
"319","BNF0702130930SF","Abies lasiocarpa","Picea engelmannii",50,6.82
"320","BNF0702130930SF","Abies lasiocarpa","Pinus contorta var. latifolia",23.6,3.46
"321","BNF0702130930SF","Abies lasiocarpa","Pinus contorta var. latifolia",10.1,3.38
"322","BNF0702130930SF","Abies lasiocarpa","Pinus contorta var. latifolia",13,4.31
"323","BNF0702130930SF","Abies lasiocarpa","Picea engelmannii",41.8,6.54
"324","BNF0702130930SF","Abies lasiocarpa","Pinus contorta var. latifolia",13.3,7.51
"325","BNF0702130930SF","Abies lasiocarpa","Picea engelmannii",14.5,10.88
"326","BNF0702130930SF","Abies lasiocarpa","Abies lasiocarpa",17,11.17
"327","BNF0702130930SF","Abies lasiocarpa","Abies lasiocarpa",21.7,10.17
"328","BNF0702130930SF","Abies lasiocarpa","Abies lasiocarpa",22,10.78
"339","BNF0702130930SF","Abies lasiocarpa","Abies lasiocarpa",28,14.56
"340","BNF0702130930SF","Abies lasiocarpa","Pinus contorta var. latifolia",23.6,7.65
"341","BNF0702130930SF","Abies lasiocarpa","Pinus contorta var. latifolia",19.2,8.09
"342","BNF0702130930SF","Abies lasiocarpa","Pinus contorta var. latifolia",21.6,12.74
"343","BNF0702130930SF","Abies lasiocarpa","Pinus contorta var. latifolia",26.5,13.24
"344","BNF0702130930SF","Abies lasiocarpa","Pinus contorta var. latifolia",18.7,13.58
"345","BNF0702130930SF","Abies lasiocarpa","Pinus contorta var. latifolia",20,10.18
"346","BNF0702130930SF","Abies lasiocarpa","Pinus contorta var. latifolia",10.6,8.86
"347","BNF0702130930SF","Abies lasiocarpa","Pinus contorta var. latifolia",14.4,7.54
"348","BNF0702130930SF","Abies lasiocarpa","Pinus contorta var. latifolia",16.2,9.62
"349","BNF0702130930SF","Abies lasiocarpa","Abies lasiocarpa",11,10.49
"350","BNF0702130930SF","Abies lasiocarpa","Pinus contorta var. latifolia",13.7,13.71
"353","BNF0702131132DF","Pseudotsuga menziesii","Pseudotsuga menziesii",19.4,1.1
"354","BNF0702131132DF","Pseudotsuga menziesii","Pseudotsuga menziesii",29.2,4.1
"355","BNF0702131132DF","Pseudotsuga menziesii","Pinus flexilis",13,9.1
"356","BNF0702131132DF","Pseudotsuga menziesii","Pseudotsuga menziesii",29.8,1.8
"357","BNF0702131132DF","Pseudotsuga menziesii","Pseudotsuga menziesii",25.7,10
"358","BNF0702131132DF","Pseudotsuga menziesii","Pseudotsuga menziesii",34.3,13.6
"359","BNF0702131132DF","Pseudotsuga menziesii","Pseudotsuga menziesii",17.4,13.6
"360","BNF0702131132DF","Pseudotsuga menziesii","Pseudotsuga menziesii",26.5,14.9
"361","BNF0702131132DF","Pseudotsuga menziesii","Pseudotsuga menziesii",25.5,11.5
"362","BNF0702131132DF","Pseudotsuga menziesii","Pseudotsuga menziesii",10.6,9.7
"363","BNF0702131132DF","Pseudotsuga menziesii","Pseudotsuga menziesii",13.4,8.7
"364","BNF0702131132DF","Pseudotsuga menziesii","Pseudotsuga menziesii",12.2,13.2
"365","BNF0702131132DF","Pseudotsuga menziesii","Pseudotsuga menziesii",11.2,12
"366","BNF0702131132DF","Pseudotsuga menziesii","Pseudotsuga menziesii",20.4,9.1
"367","BNF0702131132DF","Pseudotsuga menziesii","Pseudotsuga menziesii",17.6,9.6
"368","BNF0702131132DF","Pseudotsuga menziesii","Pseudotsuga menziesii",63,14.6
"369","BNF0702131132DF","Pseudotsuga menziesii","Pseudotsuga menziesii",67,8.1
"370","BNF0702131132DF","Pseudotsuga menziesii","Pseudotsuga menziesii",67.5,8.6
"371","BNF0702131132DF","Pseudotsuga menziesii","Pseudotsuga menziesii",55.5,8.1
"372","BNF0702131132DF","Pseudotsuga menziesii","Pseudotsuga menziesii",10.1,6
"373","BNF0702131132DF","Pseudotsuga menziesii","Pseudotsuga menziesii",11.7,7.4
"374","BNF0702131132DF","Pseudotsuga menziesii","Pseudotsuga menziesii",11.6,7.1
"375","BNF0702131132DF","Pseudotsuga menziesii","Pseudotsuga menziesii",14,6.2
"376","BNF0702131132DF","Pseudotsuga menziesii","Pseudotsuga menziesii",11.3,7.9
"377","BNF0702131132DF","Pseudotsuga menziesii","Pseudotsuga menziesii",14.8,8.5
"378","BNF0702131132DF","Pseudotsuga menziesii","Pseudotsuga menziesii",22.4,9
"379","BNF0702131132DF","Pseudotsuga menziesii","Pseudotsuga menziesii",17.5,10.3
"380","BNF0702131132DF","Pseudotsuga menziesii","Pseudotsuga menziesii",23.3,11.4
"381","BNF0702131132DF","Pseudotsuga menziesii","Pseudotsuga menziesii",15.7,14.8
"382","BNF0702131132DF","Pseudotsuga menziesii","Pseudotsuga menziesii",36.9,11.7
"383","BNF0702131132DF","Pseudotsuga menziesii","Pseudotsuga menziesii",31.6,11.1
"384","BNF0702131132DF","Pseudotsuga menziesii","Pseudotsuga menziesii",21.1,9.9
"385","BNF0702131132DF","Pseudotsuga menziesii","Pseudotsuga menziesii",15,7.8
"386","BNF0702131132DF","Pseudotsuga menziesii","Pseudotsuga menziesii",18.6,5.3
"387","BNF0702131132DF","Pseudotsuga menziesii","Pseudotsuga menziesii",18.4,8.1
"388","BNF0702131132DF","Pseudotsuga menziesii","Pseudotsuga menziesii",26.3,8.2
"389","BNF0702131132DF","Pseudotsuga menziesii","Pseudotsuga menziesii",23.3,6.4
"390","BNF0702131132DF","Pseudotsuga menziesii","Pseudotsuga menziesii",15.5,11.4
"391","BNF0702131132DF","Pseudotsuga menziesii","Pseudotsuga menziesii",30.7,6.3
"392","BNF0702131132DF","Pseudotsuga menziesii","Pseudotsuga menziesii",20.9,8.3
"393","BNF0702131132DF","Pseudotsuga menziesii","Pseudotsuga menziesii",37.7,7.5
"394","BNF0702131132DF","Pseudotsuga menziesii","Pseudotsuga menziesii",21.9,13
"395","BNF0702131132DF","Pseudotsuga menziesii","Pseudotsuga menziesii",91.2,14.5
"396","BNF0702131132DF","Pseudotsuga menziesii","Pseudotsuga menziesii",75.4,14.5
"397","BNF0702131132DF","Pseudotsuga menziesii","Pseudotsuga menziesii",32.3,9.4
"398","BNF0702131132DF","Pseudotsuga menziesii","Pseudotsuga menziesii",25.7,5.8
"399","BNF0702131132DF","Pseudotsuga menziesii","Pseudotsuga menziesii",21.1,4.6
"400","BNF0702131332LP","Pinus contorta var. latifolia","Picea engelmannii",42.9,1.7
"401","BNF0702131332LP","Pinus contorta var. latifolia","Abies lasiocarpa",34.5,9
"402","BNF0702131332LP","Pinus contorta var. latifolia","Picea engelmannii",34,2.1
"403","BNF0702131332LP","Pinus contorta var. latifolia","Abies lasiocarpa",11.1,5
"404","BNF0702131332LP","Pinus contorta var. latifolia","Abies lasiocarpa",19.1,6.4
"405","BNF0702131332LP","Pinus contorta var. latifolia","Picea engelmannii",35,8.4
