age_CE,BIG008A_raw,BIG008B_raw,BIG013B_raw,BIG013C_raw,BIG019E_raw,BIG019W_raw,BIG024A_raw,BIG024B_raw,BIG030A_raw,BIG030B_raw,BIG042A_raw,BIG042B_raw,BIG008A_raw_outlier_flag,BIG008B_raw_outlier_flag,BIG013B_raw_outlier_flag,BIG013C_raw_outlier_flag,BIG019E_raw_outlier_flag,BIG019W_raw_outlier_flag,BIG024A_raw_outlier_flag,BIG024B_raw_outlier_flag,BIG030A_raw_outlier_flag,BIG030B_raw_outlier_flag,BIG042A_raw_outlier_flag,BIG042B_raw_outlier_flag
1913,1.63,1.75,1.97,2.46,NA,1.91,NA,NA,NA,NA,2.24,1.46,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE
1914,1.83,1.82,2.79,2.6,NA,2.14,NA,NA,NA,NA,2.92,1.92,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE
1915,0.78,0.85,1.77,1.45,NA,1.25,NA,NA,NA,NA,2.14,1.54,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE
1916,1.19,1.25,2.22,2.45,NA,1.68,NA,NA,NA,NA,3.18,1.89,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE
1917,1.03,1.06,2.2,2.67,NA,1.56,NA,NA,NA,NA,3.04,1.92,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE
1918,0.83,1.17,1.61,1.79,NA,1.15,NA,NA,NA,NA,2.64,1.45,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE
1919,0.95,1.29,2.07,2.59,NA,1.35,NA,NA,NA,NA,2.74,1.5,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE
1920,1.06,1.47,1.62,2.3,NA,1.35,NA,NA,NA,NA,2.19,1.27,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE
1921,1.02,1.07,1.44,1.82,NA,1.09,NA,NA,NA,NA,2.05,1.35,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE
1922,0.66,1.43,1.3,2.08,NA,1.24,NA,NA,NA,NA,2.17,1.58,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE
1923,0.87,1.3,1.16,1.37,NA,1.06,NA,NA,NA,NA,1.93,1.61,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE
1924,0.67,1.04,1.16,1.43,NA,1.64,NA,NA,NA,NA,2.02,1.62,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE
1925,0.79,2.04,1.44,1.88,NA,1.46,NA,NA,NA,NA,2.31,1.78,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE
1926,0.64,1.18,1.25,1.46,NA,0.96,NA,NA,NA,NA,1.86,1.35,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE
1927,0.94,1.3,1.28,1.25,NA,1.57,NA,NA,NA,NA,2.16,1.82,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE
1928,0.92,1.57,0.98,1.54,NA,1.56,NA,NA,NA,NA,2.27,1.8,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE
1929,0.72,1.36,1.48,1.83,NA,1.77,NA,NA,NA,NA,2.53,1.59,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE
1930,1.25,1.55,1.93,1.57,1.55,1.75,NA,NA,NA,NA,2.24,1.81,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE
1931,1.12,1.71,1.61,2.25,1.39,1.94,NA,NA,NA,NA,2.02,1.63,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE
1932,1.04,1.45,1.63,1.94,1.47,2.01,NA,NA,NA,NA,1.69,1.39,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE
1933,1,1.33,1.91,1.38,1.73,1.15,NA,NA,NA,NA,1.9,1.88,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,FALSE,FALSE
1934,0.68,0.65,1.25,1.44,2.03,0.7,NA,NA,NA,NA,1.65,1.47,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,FALSE,FALSE
1935,1.31,1.28,1.42,1.87,1.64,1.18,NA,NA,NA,NA,2.34,2.52,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE
1936,0.91,1.02,1.1,1.26,1.06,0.56,NA,NA,NA,NA,1.98,1.78,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE
1937,0.61,0.6,0.96,1.34,0.93,1.02,NA,NA,NA,NA,1.57,1.31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE
1938,0.79,0.87,0.75,0.9,1.23,0.69,NA,NA,NA,NA,1.73,1.35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE
1939,0.65,0.66,0.44,1.15,0.69,0.43,NA,NA,NA,NA,1.74,1.42,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE
1940,0.53,0.77,0.65,1.22,1.09,0.25,NA,NA,NA,NA,1.38,0.91,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE
1941,0.54,0.97,0.51,0.53,0.83,0.95,NA,NA,NA,NA,1.23,1.09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE
1942,0.69,0.65,0.55,0.75,0.55,0.86,NA,NA,NA,NA,1.21,1.34,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE
1943,0.45,0.59,0.54,0.56,0.59,0.57,NA,NA,NA,NA,0.91,0.96,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE
1944,0.62,0.83,0.5,0.5,0.43,0.41,NA,NA,NA,NA,1,1.03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE
1945,0.53,0.7,0.52,0.48,0.25,0.25,NA,NA,NA,NA,1.08,0.99,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE
1946,0.29,0.63,0.46,0.49,0.19,0.05,NA,NA,NA,NA,0.97,0.93,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE
1947,0.4,0.6,0.39,0.48,0.41,0.1,NA,NA,NA,NA,0.85,0.91,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE
1948,0.35,0.67,0.28,0.23,0.25,0.13,NA,NA,NA,NA,0.8,1.04,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE
1949,0.75,1.3,0.81,0.67,0.37,0.52,NA,NA,NA,NA,1.34,1.39,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE
1950,0.6,1.22,0.6,0.48,0.18,0.54,1.76,1.75,NA,NA,1.47,1.62,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1951,0.8,1.28,0.47,0.41,0.23,0.53,1.68,1.91,NA,NA,0.89,1.23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1952,0.73,0.94,0.55,0.52,0.3,0.76,2.33,2.93,NA,NA,0.98,1.28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1953,0.82,1.09,0.56,0.54,0.28,0.44,2.33,2.92,NA,NA,0.77,1.17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1954,0.51,0.84,0.7,0.59,0.38,0.71,2.05,2.25,1,1.11,0.95,1.15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1955,0.33,0.59,0.64,0.5,0.36,0.62,2.22,2.53,0.33,0.35,0.56,0.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1956,0.07,0.41,0.38,0.35,0.23,0.22,2.07,2.59,0.66,0.66,0.41,0.35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1957,0.47,0.75,0.81,0.68,0.63,0.54,2.52,3.48,1.03,0.93,0.67,0.78,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1958,0.41,0.57,0.72,0.66,0.54,0.62,2.37,3.33,0.95,0.93,0.75,0.85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1959,0.5,0.63,0.66,0.56,0.5,0.52,1.91,3.11,0.34,0.39,0.58,0.95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1960,0.33,0.36,0.78,0.46,0.33,0.46,1.48,2.84,0.48,0.58,0.6,0.88,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1961,0.37,0.55,0.84,0.65,0.55,0.65,1.16,3.11,0.71,0.6,0.77,1.13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1962,0.5,0.67,0.96,0.63,0.51,0.68,1.64,3.42,0.84,0.8,0.9,1.35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1963,0.56,0.78,1.15,0.85,0.54,0.62,1.62,3.35,1.07,1,0.97,1.48,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1964,0.65,0.87,0.8,0.55,0.56,0.61,1.82,2.95,1.22,0.91,0.77,1.29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1965,0.68,0.98,1.36,1.08,0.41,0.57,2.45,3.02,1.61,1.71,0.88,1.22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1966,0.68,1.08,1.35,1.07,0.75,0.62,2.16,2.45,0.97,0.88,0.74,1.44,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1967,0.77,0.9,1.67,1.42,0.95,0.64,1.9,2.48,1.88,1.59,0.83,1.27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1968,0.47,0.64,0.81,0.56,0.25,0.24,1.45,2.01,1.25,0.69,0.39,0.63,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1969,0.47,0.68,1.26,0.91,0.71,0.49,1.76,2.23,1.82,0.71,0.55,1.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1970,0.4,0.61,0.99,0.86,0.41,0.31,1.37,1.65,1.38,1.24,0.36,1.03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1971,0.17,0.28,0.76,0.7,0.19,0.32,1.62,2.3,1.7,0.94,0.41,0.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1972,0.14,0.17,0.68,0.54,0.19,0.34,0.03,2.01,1.04,0.71,0.48,0.72,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1973,0.36,0.34,0.99,0.74,0.5,0.61,1.88,2.58,1.74,1.38,0.63,1.44,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1974,0.18,0.1,0.66,0.6,0.73,0.64,2.27,2.65,1.88,1.36,0.52,0.88,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1975,0.55,0.49,1.31,1.02,0.91,1.14,2.24,2.81,2.64,1.78,0.7,1.33,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1976,0.45,0.26,1.1,0.83,0.69,0.7,2.21,2.24,1.99,1.32,0.65,1.12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1977,0.4,0.51,1.28,1.08,0.71,0.9,2.14,2.54,1.35,1.57,0.45,0.72,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1978,0.36,0.2,1.32,0.97,0.44,0.57,1.61,2,1.43,1.42,0.48,0.79,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1979,0.62,0.48,1.3,0.99,0.79,0.64,2.11,2.52,2.2,1.9,0.78,1.18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1980,0.3,0.43,0.72,0.66,0.51,0.57,1.92,1.81,1.24,1.24,0.42,0.74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1981,0.16,0.29,0.96,0.9,0.6,0.39,1.33,1.91,1.33,1.4,0.43,0.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1982,0.04,0.14,0.49,0.34,0.36,0.23,0.54,0.89,1.1,1.05,0.18,0.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1983,0.17,0.13,0.41,0.46,0.3,0.37,0.57,0.64,1,1.46,0.24,0.47,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1984,0.11,0.15,0.56,0.56,0.42,0.5,0.53,0.67,1.34,1.68,0.41,0.55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,0.23,0.14,0.57,0.52,0.3,0.32,1.07,1.12,1.17,1.21,0.47,0.36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1986,0.31,0.08,0.45,0.43,0.24,0.02,0.45,0.48,0.19,0.38,0.42,0.54,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1987,0.33,0.23,0.48,0.54,0.16,0.04,0.56,0.5,0.39,0.34,0.65,0.36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1988,0.27,0.15,0.59,0.9,0.31,0.41,0.78,0.73,0.52,0.33,0.79,0.46,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1989,0.23,0.15,0.86,0.87,0.43,0.13,0.96,0.97,0.59,0.34,0.91,0.74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1990,0.35,0.36,1.39,1.18,0.54,0.3,1.26,1.08,0.94,0.73,0.82,0.81,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1991,0.37,0.35,0.79,0.77,0.23,0.57,1.06,1.46,1.13,1.29,0.38,0.63,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1992,0.63,0.83,1.93,1.71,0.48,0.28,1.22,1.59,2.23,2.43,0.78,1.47,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1993,0.29,0.3,0.79,0.63,0.19,0.32,0.67,1.06,1.69,1.35,0.42,0.53,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1994,0.32,0.36,0.98,0.99,0.36,0.47,0.71,1.04,1.8,1.51,0.66,0.59,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1995,0.34,0.58,1.38,1.11,0.54,0.42,0.97,1.41,2.21,1.76,0.91,0.84,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1996,0.24,0.31,1.14,1.02,0.48,0.36,1.24,1.43,1.13,1.24,0.75,0.79,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1997,0.25,0.36,1.07,1,0.37,0.54,1.04,1.42,1.27,2.05,0.71,0.61,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1998,0.66,0.76,1.58,1.25,0.62,0.52,1.62,1.9,1.78,2.43,0.95,0.99,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1999,0.47,0.58,1.6,1.45,0.65,0.31,1.61,2.17,1.63,3.29,0.62,0.81,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000,0.29,0.46,1.35,1.28,0.27,0.29,0.85,0.98,1.05,1.97,0.5,0.57,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2001,0.35,0.33,1.44,1.14,0.33,0.33,0.96,1.38,0.94,1.56,0.45,0.74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2002,0.09,0.01,0.8,0.6,0.33,0.38,0.66,0.5,0.56,1.06,0.24,0.32,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2003,0.3,0.24,1.36,1.12,0.5,0.27,0.75,1.08,0.71,1.77,0.41,0.51,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2004,0.19,0.12,1.09,0.9,0.22,0.24,0.48,1.04,1.02,1.7,0.37,0.66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2005,0.2,0.25,1.38,1.25,0.29,0.14,0.52,0.96,0.63,1.09,0.16,0.24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2006,0,0.11,1.29,0.76,0.11,0.28,0.48,0.65,0.7,1.22,0.4,0.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2007,0.43,0.23,1.24,1.03,0.26,0.66,0.42,0.59,0.76,2.1,0.23,0.34,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2008,0.58,0.39,1.29,1.43,0.25,0.54,0.57,0.99,1.48,3.74,0.6,0.89,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
2009,0.56,0.46,1.47,NA,0.27,0.61,0.64,1.08,1.23,3.12,0.49,0.73,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2010,NA,NA,1.78,NA,0.54,0.4,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
2011,NA,NA,2.26,NA,0.31,0.6,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
2012,NA,NA,NA,NA,0.4,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
