"","Transect","Species","Elev","Tree","Tag","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970","1969","1968","1967","1966","1965","1964","1963","1962","1961","1960","1959","1958","1957","1956","1955","1954","1953","1952","1951","1950","1949","1948","1947","1946","1945","1944","1943","1942","1941","1940","1939","1938","1937","1936","1935","1934","1933","1932","1931","1930","1929","1928","1927","1926","1925","1924","1923","1922","1921","1920","1919","1918","1917","1916","1915","1914","1913","1912","1911","1910","1909","1908","1907","1906","1905","1904","1903","1902","1901","1900","1899","1898","1897","1896","1895","1894","1893","1892","1891","1890","1889","1888","1887","1886","1885","1884","1883","1882","1881","1880","1879","1878","1877","1876","1875","1874","1873","1872","1871","1870","1869","1868","1867","1866","1865","1864","1863","1862","1861","1860","1859","1858","1857","1856","1855","1854","1853","1852","1851","1850","1849","1848","1847","1846","1845"
"69","CO","POTR","H","14H","POTR-H-14H",0.2275,0.9785,1.087,0.7025,0.797,0.9165,0.9025,0.8,1.218,0.56,0.74,0.2975,0.756,0.8035,0.696,0.773,0.8835,0.9445,0.722,1.138,1.1405,1.017,0.902,0.9565,1.211,1.48,1.23,0.9645,1.0575,1.0565,1.0575,1.3295,1.1,1.4005,1.623,1.714,1.26,1.6235,0.983,0.897,2.0595,2.022,2.0095,1.714,1.6785,1.2295,1.104,1.308,0.925,1.0665,0.795,0.7585,0.8,0.78,1.173,1.4265,1.3685,1.2595,1.1475,1.214,1.1815,1.192,1.3065,0.7835,0.7315,0.909,1.123,1.111,1.158,0.6775,1.0595,0.875,0.9905,1.6655,1.3795,1.6385,1.7485,1.8225,1.529,1.437,1.7065,1.6945,2.384,2.1195,2.251,1.526,1.699,2.0595,2.392,1.8325,1.906,2.834,2.531,2.411,2.291,2.1935,2.049,0.8845,0.643,0.7265,0.45,0.4855,0.872,2.749,1.6875,1.4895,1.862,1.0285,0.172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","CO","POTR","H","14L","POTR-H-14L",0.307,1.192,1.182,0.579,0.729,1.336,1.245,1.3095,1.5205,0.849,1.122,0.9465,1.465,1.4175,0.8325,0.974,1.1745,0.9805,0.685,1.1345,1.0395,1.221,1.3455,1.498,1.2685,1.6155,1.4915,1.177,1.2065,1.327,1.6695,1.836,1.383,1.957,2.3655,2.502,2.722,2.9175,2.1765,2.8865,3.192,3.3175,3.274,2.393,2.431,1.022,0.927,1.0485,0.8725,1.097,0.8185,0.6225,0.671,0.7785,1.021,1.4545,1.323,1.3255,1.2665,1.0455,0.945,0.9955,0.9085,0.7625,0.609,0.638,0.8735,0.768,0.958,0.7985,0.5585,0.6605,0.9895,1.4215,1.341,1.456,1.5185,1.6955,1.5005,1.005,1.517,1.526,2.248,2.0785,1.865,1.2865,1.751,2.227,1.818,1.8515,1.63,2.0405,1.549,1.6555,1.761,1.8985,1.831,0.9295,0.598,0.397,0.377,0.376,0.666,0.713,0.932,1.301,1.38,2.105,3.003,1.546,1.113,1.441,1.529,0.128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","CO","POTR","H","15H","POTR-H-15H",0.5025,2.2365,2.16,1.212,1.6845,1.9955,2.0775,2.5165,2.6855,2.229,2.656,2.1265,2.708,2.991,1.8685,2.0855,2.844,2.4235,2.0995,2.497,2.5665,2.9115,3.288,2.968,2.7385,3.2175,3.419,2.8745,3.411,3.1665,3.0965,3.5005,3.9965,3.1315,4.8545,2.5335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","CO","POTR","H","15L","POTR-H-15L",0.4075,1.4035,1.47,1.4715,2.111,2.447,2.854,2.834,2.477,2.1635,2.244,2.355,2.8105,3.051,2.9545,3.0495,3.1335,2.861,2.1315,2.489,2.792,3.138,3.436,3.2725,3.609,4.065,3.5645,3.9765,4.1075,4.6525,4.658,4.2565,3.7615,3.0095,3.1305,3.0465,2.9215,2.914,3.471,1.546,3.044,2.6405,2.7475,4.031,3.547,2.705,2.115,1.751,1.4565,2.376,2.7115,1.972,2.1435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","CO","POTR","H","2H","POTR-H-2H",0.07,0.0983333333333333,0.146666666666667,0.142666666666667,0.122666666666667,0.129,0.140666666666667,0.169,0.144333333333333,0.147,0.139,0.129666666666667,0.173666666666667,0.127666666666667,0.153666666666667,0.127666666666667,0.108333333333333,0.128333333333333,0.243666666666667,0.242,0.211333333333333,0.224666666666667,0.244,0.32,0.245333333333333,0.241,0.226,0.230666666666667,0.366333333333333,0.284,0.286666666666667,0.254666666666667,0.280333333333333,0.289666666666667,0.381666666666667,0.422333333333333,0.299333333333333,0.365,0.382333333333333,0.364,0.506333333333333,0.503666666666667,0.321333333333333,0.351666666666667,0.425666666666667,0.474333333333333,0.472333333333333,0.387,0.415666666666667,0.444,0.349333333333333,0.353,0.351333333333333,0.319333333333333,0.244666666666667,0.323,0.212333333333333,0.205666666666667,0.19,0.193666666666667,0.252333333333333,0.317666666666667,0.289666666666667,0.224666666666667,0.32,0.328,0.451333333333333,0.476333333333333,0.255666666666667,0.428666666666667,0.403666666666667,0.401,0.400333333333333,0.490666666666667,0.417333333333333,0.472333333333333,0.505333333333333,0.457666666666667,0.49,0.355,0.494666666666667,0.442333333333333,0.474,0.446,0.52,0.526333333333333,0.418333333333333,0.505333333333333,0.492666666666667,0.602333333333333,0.542666666666667,0.470666666666667,0.529333333333333,0.553666666666667,0.549333333333333,0.472,0.64,0.721666666666667,0.566333333333333,0.688,0.614,0.733,0.713666666666667,0.808,0.809666666666667,0.850333333333333,0.983,0.888,1.13133333333333,0.872666666666667,0.948333333333333,0.643333333333333,0.942,1.213,1.12,1.09766666666667,0.934333333333333,0.809666666666667,0.720333333333333,0.711333333333333,0.858666666666667,0.817666666666667,0.666,0.749666666666667,1.04766666666667,1.13933333333333,0.916333333333333,1.02,1.33333333333333,1.35666666666667,1.51266666666667,1.34966666666667,1.57433333333333,1.43533333333333,1.39033333333333,1.668,1.41033333333333,1.40066666666667,1.72333333333333,1.939,1.82033333333333,1.55,1.4305,1.8405,2.0065,3.021,2.053,2.6395,1.298,0.992,1.297,1.242,1.522,1.394,1.553,2.356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","CO","POTR","H","2L","POTR-H-2L",0.1305,0.1455,0.122,0.0975,0.1465,0.1355,0.111,0.1145,0.0795,0.117,0.1065,0.1005,0.1255,0.2155,0.181,0.1525,0.149,0.2285,0.0965,0.1375,0.1375,0.138,0.335,0.465,0.585,0.5335,0.8635,1.2345,1.4225,1.283,1.3695,1.164,1.0335,1.2095,1.3315,1.2335,1.4355,1.3945,1.525,1.095,0.863,0.49,0.522,0.512,0.4655,0.5165,0.525,0.378,0.27,0.359,0.2745,0.172,0.212,0.3255,0.3395,0.3395,0.378,0.243,0.156,0.2765,0.26,0.206,0.2215,0.2475,0.352,0.527,0.725,0.749,0.7115,0.6765,0.7495,0.541,0.3665,0.464,0.4635,0.542,0.459,0.373,0.352,0.352,0.405,0.429,0.596,0.5815,0.884,0.9475,1.129,0.787,1.06,1.051,0.5385,0.3845,0.357,0.581,0.501,0.545,0.7085,0.946,0.7585,0.9865,0.931,0.8695,0.746,0.9925,0.6605,0.95,1.0545,1.2725,1.489,1.2725,1.4775,1.1465,1.407,1.3195,1.3995,1.1685,1.0105,1.109,1.312,1.2535,1.408,1.176,1.1,0.956,0.455,0.772,0.837,1.145,2.001,1.647,2.024,1.942,0.197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","CO","POTR","H","3H","POTR-H-3H",0.101,0.574,0.574,0.352,0.3065,0.2585,0.4605,0.8135,0.956,0.725,0.7965,0.3565,1.1755,1.179,1.0175,1.5185,1.2015,0.891,0.981,1.0035,1.096,0.839,0.8215,0.8685,0.857,0.788,0.6235,0.5675,0.3665,0.485,0.8025,0.9455,1.193,1.214,1.2465,1.296,1.155,0.928,1.2215,1.0175,0.922,0.5495,0.6255,0.6935,0.4775,0.476,0.8075,0.5775,1.1225,1.687,1.6265,1.0375,1.066,0.598,0.537,0.5035,0.452,0.295,0.267,0.264,0.2435,0.264,0.1735,0.0965,0.115,0.1905,0.4065,0.1555,0.096,0.265,0.4705,0.5795,0.653,0.7555,0.4365,0.861,0.9745,0.9145,0.903,0.927,0.827,0.951,0.9625,0.77,0.865,0.625,1.121,1.278,1.0095,0.903,0.9435,1.153,0.972,1.18,1.045,1.1925,0.973,1.0575,0.641,0.7395,0.2485,0.3845,1.1105,1.9975,2.1365,2.185,2.2435,2.122,1.847,1.856,2.353,1.4355,1.974,1.5735,1.9415,1.6345,0.089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","CO","POTR","H","3L","POTR-H-3L",0.0675,1.0175,0.9,0.668,0.546,0.5335,0.9595,1.344,1.4145,0.7715,0.9625,0.4805,1.03,1.2365,1.2725,1.2645,1.2165,1.0325,1.112,1.23,1.2885,0.954,0.9205,1.0845,1.138,1.209,0.9275,0.7685,0.678,0.694,0.602,0.6735,0.7525,1.1705,1.158,1.196,0.8525,0.8975,0.962,1.1185,1.5415,1.0025,0.9685,0.909,0.714,0.745,0.803,0.6395,0.6995,1.0025,0.945,0.896,1.3605,0.802,0.9145,0.971,0.6555,0.603,0.6025,0.7355,0.9175,1.1265,1.242,1.0665,0.7495,0.792,1.003,0.56,0.5335,0.332,0.6425,0.9985,1.1525,1.721,1.275,1.515,0.9045,1.132,1.176,0.969,0.9035,0.59,0.674,0.7355,0.8515,0.873,1.0935,1.1175,1.0735,1.385,1.3105,1.452,1.127,1.2395,0.9,0.645,1.123,1.001,0.7865,0.7165,0.635,0.5885,0.7455,0.705,1.053,1.2515,1.2585,1.2945,1.0685,0.8225,1.211,0.918,1.3675,1.1825,1.3825,1.903,1.5975,1.4785,1.2375,1.0855,1.1365,0.9725,1.013,0.8985,1.2555,1.2525,1.078,1.2085,0.8485,0.993,0.6825,0.6745,0.502,0.465,0.3085,0.5,0.601,0.411,0.3175,0.4335,0.3955,0.3585,0.3385,0.466,0.556,0.3845,0.2395,0.189,0.2535,0.3745,0.784,0.482,0.4885,0.533,0.4885,0.7035,1.0185,0.993,1.007,0.981,1.135,0.8415,1.218,1.101,1.051,1.2305,1.1905,1.947,0.1605
"77","CO","POTR","H","4H","POTR-H-4H",0.1255,0.416,0.657,0.718,0.4965,0.315,0.53,0.763,0.977,0.709,0.885,0.674,0.6115,0.558,0.485,0.5055,0.3685,0.4715,0.504,0.491,0.4455,0.3735,0.426,0.492,0.5735,0.41,0.296,0.3195,0.547,0.536,0.484,0.509,0.5925,0.7175,0.688,0.8005,0.7,0.9285,0.671,0.6825,0.814,0.681,0.7105,0.797,0.937,0.7495,0.7535,0.607,0.704,0.945,0.7565,0.796,1.187,0.878,0.921,1.0875,0.8385,0.67,0.658,0.7625,0.8765,0.533,0.8135,0.5345,0.5025,0.564,1.0705,0.7455,0.851,0.725,0.9525,1.1255,0.942,1.1465,1.251,1.5675,1.459,1.5365,1.477,1.364,1.4245,1.3055,1.4785,1.287,1.559,1.162,1.3045,1.285,0.8845,0.9925,1.3655,1.3455,1.33,1.454,1.286,1.0755,1.4095,1.215,0.9695,1.2235,1.2905,1.3625,1.2165,1.3195,1.438,1.32,1.341,1.3315,1.163,1.0665,1.3405,0.8315,1.518,1.384,1.822,1.733,1.062,1.231,0.636,0.769,0.8085,0.9815,1.064,1.1285,1.5475,1.761,1.6335,1.686,1.2325,1.56,1.4245,1.287,1.764,1.6435,1.494,1.8595,1.8995,2.0955,1.6795,1.831,1.653,1.2845,1.2515,0.8695,0.988,1.0615,1.067,0.6555,0.839,1.196,1.69,2.5545,2.5675,2.5625,3.0765,2.8465,0.986,2.116,0.919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","CO","POTR","H","4L","POTR-H-4L",0.158,2.026,1.8935,1.8645,1.149,1.5475,2.14,2.6775,3.172,1.903,3.0165,2.1805,1.701,0.951,0.791,0.811,0.9485,0.733,0.424,0.571,0.526,0.315,0.262,0.6385,0.603,0.476,0.397,0.411,0.7205,0.7695,0.643,0.965,1.092,0.924,0.7855,0.734,0.951,1.0165,0.8105,1.231,1.158,0.9195,0.763,0.86,1.263,0.805,0.953,0.452,0.4835,0.744,0.464,0.5735,0.7295,0.63,0.872,1.0125,0.6875,0.661,0.505,0.7355,0.793,0.7255,0.863,0.5135,0.747,0.808,1.114,0.696,0.8265,0.8215,0.9815,1.277,1.362,1.513,1.7315,1.3005,0.9705,1.1915,1.0975,1.2125,1.2445,1.4205,1.871,1.5195,1.84,1.817,2.408,1.8015,1.426,1.3605,1.919,1.4825,1.76,2.088,1.842,1.6235,1.9025,1.7,1.3625,1.762,1.8685,1.566,1.3945,1.847,1.964,2.0835,2.217,2.2015,1.9795,1.7835,1.7785,1.5935,2.0755,2.01,2.202,2.6885,1.8635,1.9815,1.5995,1.7375,1.7065,1.6995,1.836,2.0995,2.448,2.5595,2.345,2.2205,1.778,2.0715,1.8925,2.148,2.355,1.9885,1.214,1.946,1.8215,1.905,1.676,1.6805,1.436,1.259,1.0345,0.5965,1.0945,1.028,0.725,0.6445,0.7735,1.8895,0.954,3.849,1.96,1.875,2.242,1.791,1.225,2.78,1.436,0.529,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","CO","POTR","H","5H","POTR-H-5H",0.1415,1.655,1.686,1.613,1.983,2.2325,1.7035,1.96,1.865,1.4295,1.5815,1.1935,1.564,1.643,1.562,1.471,1.3095,1.3965,1.84,1.8555,1.939,2.2795,2.623,2.2735,1.694,2.304,1.5695,1.766,1.97,2.202,2.1835,1.6145,1.624,1.04,1.1785,1.2465,1.412,1.5865,1.2945,1.594,1.4325,1.251,2.32,3.227,4.099,2.127,2.06,3.067,2.7485,1.9795,2.2055,1.5985,1.619,1.673,1.5115,1.449,1.153,1.075,1.26,1.243,0.8625,1.2195,0.7105,0.338,0.4975,1.0815,1.1345,0.775,0.34,0.1495,0.2385,0.3565,0.545,0.7685,0.8755,1.3665,1.359,0.917,0.748,0.4535,1.3445,1.538,1.335,1.144,0.806,0.425,0.507,1.0415,0.791,0.765,0.8255,0.8265,0.7465,1.3755,1.401,1.6,1.295,0.8125,0.466,0.488,0.492,1.16,1.587,1.6125,1.78,2.079,1.441,1.623,1.748,1.534,1.92,3.659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","CO","POTR","H","5L","POTR-H-5L",0.1415,1.655,1.686,1.587,2.009,2.2325,1.7035,1.96,1.865,1.4295,1.5815,1.1935,1.564,1.643,1.562,1.471,1.347,1.361,1.84,1.8555,1.939,2.2795,2.623,2.262,1.7055,2.304,1.5695,1.792,1.948,2.202,2.1835,1.6145,1.624,1.04,1.1745,1.2465,1.427,1.57,1.2945,1.594,1.4325,1.251,2.32,3.227,4.099,2.127,2.06,3.067,2.7485,1.9795,2.2055,1.5985,1.619,1.6865,1.5115,1.449,1.153,1.075,1.26,1.243,0.8625,1.185,0.744,0.338,0.4975,1.0815,1.1285,0.767,0.3355,0.1705,0.2385,0.3565,0.545,0.7685,0.8755,1.3645,1.315,0.9455,0.728,0.438,1.379,1.538,1.335,1.127,0.8215,0.4265,0.5145,1.0415,0.791,0.765,0.8255,0.8265,0.7465,1.3755,1.401,1.6,1.284,0.8235,0.466,0.277,0.217,0.635,1.277,1.584,1.575,1.6895,1.086,1.648,1.441,1.623,1.748,1.534,1.92,3.296,0.171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","CO","POTR","H","6H","POTR-H-6H",0.3225,0.897,1.2925,1.0215,0.873,1.4035,1.5365,1.845,1.954,1.4165,1.729,1.4105,1.373,1.2595,1.06,1.169,0.923,1.01,0.5805,0.739,0.8025,0.7735,0.947,1.089,0.9355,1.2035,0.9955,0.939,1.6,1.871,1.608,1.2315,1.4345,1.246,1.244,1.333,1.2525,1.4225,1.4165,1.56,1.4945,1.1335,1.4955,1.7165,1.598,1.5565,1.487,1.3015,1.468,2.104,1.787,1.3535,1.2625,0.66,0.904,1.3425,1.5015,1.3385,1.647,1.5535,1.02,0.792,1.127,0.952,0.983,1.4925,1.2215,1.131,0.9095,0.6555,0.758,1.0995,1.043,1.474,1.228,1.331,1.259,1.744,1.4705,1.5675,1.2365,1.0055,1.2005,1.5285,1.5125,1.5235,1.8355,1.898,1.455,1.7195,1.4715,1.859,1.542,1.854,1.998,1.12,1.85,1.628,1.957,2.382,1.439,1.541,1.469,2.559,1.913,2.597,2.6,2.989,2.66,1.891,2.542,2.347,2.935,3.194,3.259,3.964,0.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","CO","POTR","H","6L","POTR-H-6L",0.1315,0.9105,1.006,1.09,1.04,1.084,0.959,1.2395,1.1175,0.822,0.9915,0.8895,1.0735,0.818,0.582,0.929,0.884,0.6205,0.946,0.973,1.2865,1.2795,1.0415,1.1685,1.267,1.214,0.9665,1.1905,1.162,1.142,1.443,1.4265,1.7,1.408,1.353,1.135,1.1725,1.189,0.995,1.165,0.815,1.1165,1.14,1.0455,1.379,1.431,1.225,1.6825,1.279,1.4515,1.48,1.0005,1.242,0.971,1.111,1.1345,1.117,1.017,0.7575,1.107,1.068,0.971,0.9755,0.723,1.0265,1.098,0.94,0.7625,1.0495,1.104,0.905,0.984,0.8415,1.0035,1.479,1.357,1.204,1.3475,1.048,1.1645,1.0365,1.0145,1.021,1.086,1.1475,0.874,1.2015,1.3535,1.089,1.149,0.869,0.8895,1.024,0.7455,0.7475,0.7875,0.9305,0.721,0.5585,0.8445,0.9435,0.751,1.413,1.068,1.463,1.487,1.88,1.552,1.129,0.738,1.083,0.626,1.012,1.076,1.183,1.081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","CO","POTR","H","7H","POTR-H-7H",0.29,1.422,1.4945,1.024,0.9735,1.4475,1.446,2.1545,1.1655,1.1205,1.5865,1.1255,1.517,1.31,1.0045,1.298,1.3705,1.3505,1.2645,1.1165,1.09,1.1475,1.2765,1.4175,0.9395,1.306,1.83,1.8805,2.4745,2.1975,2.449,1.5155,1.701,1.2035,1.5665,1.5915,1.4175,1.6385,1.5435,1.394,1.8155,1.5835,1.51,1.719,2.1725,2.3485,2.2585,2.273,2.2365,3.003,2.569,1.655,2.1365,2.207,2.27,3.075,2.7975,2.51,2.326,2.5305,2.749,2.398,2.722,2.9515,2.292,2.8495,2.9735,2.254,2.126,1.04,1.048,2.715,3.0945,2.439,4.139,5.051,4.804,4.54,2.98,3.776,0.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","CO","POTR","H","7L","POTR-H-7L",0.1785,1.2185,1.768,1.4205,1.327,1.8545,1.481,2.192,1.952,1.3105,1.2585,1.02,1.156,1.361,0.767,1.197,1.764,1.8815,2.25,1.368,1.156,0.9825,1.3765,1.5585,0.901,1.1095,1.2955,0.728,1.081,1.1685,1.2705,1.0515,1.405,1.424,1.4895,1.3535,1.036,1.2335,1.158,1.4255,1.715,1.3715,1.178,1.7605,2.1945,2.1875,2.217,2.003,1.8875,2.432,2.0545,1.4355,3.0485,1.304,1.0725,0.994,1.296,1.175,1.2935,1.555,1.661,1.89,1.7555,1.145,0.721,1.4415,1.2845,1.1935,0.8155,0.5445,0.749,1.125,1.01,1.2015,1.3105,2.248,2.202,2.023,2.3205,1.583,2.1735,2.095,2.079,1.79,2.452,2.5835,2.016,2.633,2.1845,1.739,1.543,2.079,2.272,2.857,2.64,2.547,2.1415,2.099,1.4305,2.886,2.463,2.279,2.875,5.006,0.532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","CO","POTR","H","8H","POTR-H-8H",0.3775,0.9425,1.4515,1.258,1.3535,1.503,1.591,1.7615,1.6085,1.26,1.4585,0.9775,1.3065,1.4235,1.1795,1.582,1.293,1.0035,1.071,0.904,1.112,1.105,1.735,1.4955,1.336,1.3265,1.153,1.307,1.665,2.0435,2.229,1.394,1.354,1.354,1.584,1.666,1.3545,1.7175,1.419,1.3215,1.7815,1.6415,1.6215,2.088,2.394,2.4115,2.421,2.616,2.041,2.292,1.98,2.0245,2.276,2.4295,1.942,2.185,2.027,1.8435,1.8885,2.249,2.304,2.015,2.263,2.369,1.5585,2.3585,2.983,2.7835,2.0165,0.668,1.309,2.0445,2.2965,3.5605,3.0765,6.1975,0.2255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","CO","POTR","H","8L","POTR-H-8L",0.6055,1.9895,3.01,2.7965,2.704,3.0725,2.859,3.433,3.245,2.53,3.101,2.236,2.8485,3.0685,2.573,2.6885,3.5725,3.3615,3.598,2.8495,3.1715,3.49,3.9255,2.9975,3.119,2.953,3.194,3.1055,3.2435,3.8,3.5875,2.7195,1.848,3.345,3.598,3.1965,3.196,2.825,2.287,0.8265,2.0515,1.993,1.617,0.4515,3.1475,2.432,0.8395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","CO","POTR","H","9H","POTR-H-9H",0.3625,1.1365,1.361,0.835,0.8355,1.025,1.491,2.2,1.8935,1.3275,1.8775,1.375,1.4455,1.827,1.035,1.6265,1.6685,2.0725,1.6595,1.921,1.7025,1.523,1.7525,2.2175,1.5225,1.8485,1.6335,0.8765,1.3925,1.7555,1.5075,1.087,1.079,0.985,1.216,1.1625,0.802,1.149,0.994,1.0245,1.2245,0.8565,1.065,1.088,1.7455,1.6345,1.7655,1.507,1.56,1.8135,1.7255,1.3895,2.012,1.191,0.9745,1.574,1.589,1.486,1.17,1.9185,1.6955,2.0435,2.1555,1.749,1.1125,2.2315,2.4015,1.529,0.3525,1.188,1.5445,1.6595,1.916,2.779,2.0785,2.5215,2.462,1.377,2.079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
