"","Transect","Species","Elev","Tree","Tag","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970","1969","1968","1967","1966","1965","1964","1963","1962","1961","1960","1959","1958","1957","1956","1955","1954","1953","1952","1951","1950","1949","1948","1947","1946","1945","1944","1943","1942","1941","1940","1939","1938","1937","1936","1935","1934","1933","1932","1931","1930","1929","1928","1927","1926","1925","1924","1923","1922","1921","1920","1919","1918","1917","1916","1915","1914","1913","1912","1911","1910","1909","1908","1907","1906","1905","1904","1903","1902","1901","1900","1899","1898","1897","1896","1895","1894","1893","1892","1891","1890","1889","1888","1887","1886","1885","1884","1883","1882","1881","1880","1879","1878","1877"
"63","MT","PSME","H","06C","PSME-H-06C",0.532,0.7795,0.761,0.5975,0.788,0.5195,0.6155,0.6935,0.8775,0.7505,0.7135,0.7035,0.7405,0.7895,0.7135,0.6605,0.571,0.63,0.7645,0.8645,0.7675,0.7945,0.8565,1.2365,0.9625,0.689,0.707,0.804,0.7085,0.9295,1.119,0.9925,1.214,0.9325,0.9395,1.16,0.7655,0.838,0.454,0.531,0.5685,0.4455,0.716,0.816,0.898,0.7945,0.883,1.302,1.553,1.262,1.403,1.098,1.138,1.6145,1.485,1.595,1.706,1.3955,1.7775,1.6045,1.5615,1.85,2.2015,2.41,2.0815,2.1795,2.013,1.968,1.5345,1.4875,1.693,1.573,1.3715,1.2265,1.36,1.729,1.444,1.4105,1.3375,1.527,1.338,1.392,1.3025,1.207,1.316,1.4825,1.3735,1.18,1.976,1.5375,1.8575,1.448,1.9185,1.602,2.286,2.513,3.8945,0.7815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","MT","PSME","H","06N","PSME-H-06N",0.391,0.7645,0.9245,0.7335,0.7725,0.6545,0.731,0.722,0.908,0.639,0.7515,0.8865,0.749,0.9255,0.977,1.1965,0.7555,0.5585,0.7595,0.8875,0.8855,0.9545,1.2045,1.3505,0.5655,0.9475,0.843,0.8135,0.7105,1.0335,1.476,1.4755,1.674,0.9155,0.9585,1.369,1.076,1.1395,0.6965,0.559,0.7915,0.6655,1.014,0.9395,1.1095,1.0135,1.121,1.5005,1.2265,1.3625,1.58,1.286,1.4325,1.4945,1.787,1.782,1.6355,1.3995,1.617,1.3835,1.382,1.709,1.8215,2.57,2.284,2.368,2.1935,1.59,1.364,1.3745,1.567,1.6675,1.417,1.187,1.05,1.1975,0.887,0.419,0.479,0.442,0.466,0.774,1.724,1.394,0.984,0.893,1.351,1.839,1.707,1.336,1.351,1.761,1.779,2.369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","MT","PSME","H","07C","PSME-H-07C",0.641,0.729,0.9925,0.857,0.8785,0.751,0.751,0.6655,0.7065,0.5175,0.524,0.581,0.5445,0.666,0.73,0.676,0.582,0.539,0.579,0.9135,0.682,0.8565,1.1515,1.2665,0.9805,1.012,1.1395,1.1725,0.908,1.172,1.37,1.0665,1.036,0.8135,1.0245,1.5215,1.226,1.2865,0.903,0.7655,0.989,0.9455,1.141,1.215,1.026,1.14,1.0825,1.204,1.35,1.2505,1.4225,1.111,1.167,1.437,1.3885,1.442,1.3285,1.373,1.684,1.462,1.5205,1.547,1.752,2.2565,2.197,2.332,2.2885,2.296,2.089,2.2995,2.685,2.748,2.902,2.1305,2.202,2.693,1.8495,1.7575,1.0765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","MT","PSME","H","07N","PSME-H-07N",0.859,1.072,1.3155,1.242,1.0745,0.9805,0.98,1.0425,1.251,0.9495,0.816,0.9965,0.7435,0.8245,0.673,0.675,0.491,0.859,1.445,1.4385,0.976,0.9325,1.161,1.289,0.5165,0.94,0.9595,0.875,0.7375,0.8865,0.9465,0.807,1.368,1,1.2435,1.536,1.1365,1.2235,0.751,0.759,0.739,0.725,0.917,1.001,0.8635,0.8755,0.8335,1.023,0.9595,0.887,0.9935,0.832,0.9605,1.078,1.0675,0.909,0.898,0.962,1.1635,1.236,1.0465,1.0975,1.128,1.381,1.1465,1.3145,1.2545,1.265,1.046,1.029,1.1885,1.613,1.586,1.2025,0.8495,1.2615,1.315,0.4905,0.661,0.853,0.812,0.7035,0.599,0.4945,0.6175,0.8155,1.009,0.9715,1.1545,1.3315,1.56,1.021,1.1875,1.009,1.071,0.654,1.1675,1.6635,1.453,2.3875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","MT","PSME","H","08C","PSME-H-08C",1.078,0.989,1.2175,1.256,1.6345,1.369,1.587,1.7285,1.8935,1.3745,1.232,1.0865,0.992,1.157,1.05,1.3655,1.0905,0.9215,1.278,1.7345,1.528,1.4045,1.379,1.6545,1.222,1.0125,0.978,1.259,1.245,1.2935,1.3695,1.17,1.529,1.077,1.0025,1.2335,1.1475,1.1235,0.842,0.791,0.906,0.979,0.9145,0.8515,0.9725,1.0285,0.958,1.3285,1.489,1.1705,1.226,0.867,0.843,0.906,0.8535,0.7995,0.8835,1.02,1.1025,0.963,0.804,0.875,0.924,1.2875,1.281,1.26,1.234,1.121,0.9165,1.0475,1.3885,1.908,1.493,0.8105,1.086,1.233,1.0985,0.7085,0.799,1.4705,1.5475,1.047,0.804,0.749,0.9925,1.327,1.246,0.9325,0.9385,0.888,0.961,0.832,1.1025,1.1485,1.269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","MT","PSME","H","08N","PSME-H-08N",0.2585,0.2585,0.123,0.1345,0.21,0.3205,0.3005,0.376,0.3565,0.229,0.2765,0.2095,0.222,0.225,0.2795,0.282,0.3445,0.3405,0.3935,0.4325,0.3905,0.4175,0.486,0.5725,0.336,0.3365,0.258,0.267,0.201,0.248,0.3265,0.3085,0.336,0.322,0.433,0.4975,0.3965,0.525,0.412,0.3635,0.408,0.5405,0.486,0.5735,0.563,0.5795,0.532,0.89,0.918,0.794,0.9065,0.9495,0.788,0.881,0.9705,0.8555,1.0775,1.1375,1.3355,1.0555,1.4645,1.2545,1.504,1.944,1.766,2.1235,2.007,1.9455,1.7025,1.5075,1.6085,1.8905,1.9495,1.5825,1.117,1.679,1.216,0.8665,1.3175,1.358,1.2665,1.37,1.318,1.353,1.3775,1.537,1.6855,1.542,2.287,1.9455,2.549,1.6475,1.835,1.735,2.1905,1.442,2.2255,3.139,2.863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","MT","PSME","H","09C","PSME-H-09C",0.6115,0.7085,0.757,0.683,0.7115,0.658,0.734,0.7555,0.855,0.4835,0.5995,0.5415,0.4525,0.588,0.5615,0.799,0.5355,0.5325,0.5115,0.7405,0.6215,0.723,0.8675,1.0535,0.5485,0.607,0.5785,0.476,0.4025,0.56,0.8545,0.6675,0.6745,0.655,0.567,0.885,0.6495,0.817,0.519,0.4645,0.7055,0.65,0.8555,0.8195,0.8915,0.8565,0.8245,1.2045,1.198,1.0775,1.247,0.824,0.9395,1.16,1.2235,1.286,1.2215,1.0325,1.071,1.0775,1.047,1.205,1.5415,1.9795,1.4045,1.964,1.811,1.795,1.343,1.4825,1.871,1.975,1.859,1.3085,1.3505,1.826,1.749,1.4015,1.435,1.6435,1.5455,1.493,1.2785,1.407,1.173,1.522,1.4285,1.4425,1.932,1.4085,1.8475,1.4605,1.7975,1.249,1.464,1.1445,1.382,2.074,2.6265,1.9565,2.6405,3.106,3.0435,2.906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","MT","PSME","H","09N","PSME-H-09N",1.1055,1.15,1.651,1.576,2.0285,1.6245,1.7225,1.7595,2.4475,2.137,1.6235,1.519,1.4125,1.405,1.2575,2.1715,2.0595,1.9165,2.1085,2.1555,1.1905,1.877,1.39,1.476,1.165,1.2535,1.128,1.0825,0.838,1.031,1.641,1.329,1.5715,1.151,1.302,1.5765,1.412,1.3215,0.9395,1.0345,0.8965,1.0645,1.075,1.0265,1.3045,1.3075,1.197,1.3865,1.249,1.3,1.4185,1.364,1.2515,1.349,1.3135,1.245,1.4505,1.1105,1.2495,1.122,1.189,1.3465,1.5835,1.7605,1.546,1.901,1.809,1.804,1.714,1.814,2.101,2.16,1.9285,1.745,1.2665,1.528,1.3565,0.9615,1.1135,1.773,0.317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","MT","PSME","H","10C","PSME-H-10C",0.388,0.2525,0.449,0.509,0.775,0.656,0.7085,0.714,0.847,0.5715,0.4995,0.667,0.4885,0.724,0.5615,0.6785,0.657,0.731,0.8535,1.174,0.5755,0.924,0.9495,1.034,0.6075,0.546,0.4695,0.4685,0.3525,0.449,0.3755,0.3525,0.3945,0.2595,0.141,0.526,0.387,0.3565,0.4285,0.392,0.4455,0.3545,0.3445,0.5705,0.493,0.4425,0.5295,0.5885,0.587,0.5435,0.57,0.5445,0.6195,0.746,0.894,0.7685,0.608,0.489,0.6805,0.631,0.6895,0.5225,0.6155,0.781,0.5545,0.796,0.6275,0.5165,0.5255,0.482,0.5685,0.535,0.4965,0.4175,0.2625,0.3875,0.376,0.309,0.308,0.3025,0.3815,0.313,0.332,0.3605,0.4985,0.327,0.5025,0.3935,0.321,0.3605,0.3965,0.303,0.3815,0.288,0.329,0.349,0.408,0.5005,0.3175,0.3835,0.348,0.374,0.347,0.348,0.3525,0.375,0.428,0.439,0.576,0.4485,0.426,0.352,0.363,0.3795,0.234,0.269,0.329,0.39,0.491,0.184,0.352,0.428,0.394,0.662,0.418,0.396,0.333,0.414,0.474,0.354,0.25,0.335,0.335,0.356,0.354,0.432,0.517
"72","MT","PSME","H","10N","PSME-H-10N",0.324,0.263,0.5785,0.579,0.6535,0.474,0.495,0.5485,0.643,0.548,0.506,0.5365,0.4425,0.601,0.443,0.6965,0.676,0.5175,0.571,0.9615,0.698,0.5605,0.6025,0.6655,0.433,0.4335,0.3805,0.2855,0.243,0.35,0.453,0.2745,0.444,0.2855,0.455,0.4985,0.3685,0.381,0.264,0.2325,0.3595,0.296,0.3805,0.5495,0.486,0.3705,0.3805,0.666,0.7405,0.4865,0.3885,0.2885,0.317,0.444,0.4655,0.497,0.6135,0.5395,0.73,0.4865,0.5605,0.518,0.5705,0.6865,0.6655,0.5605,0.645,0.5395,0.4865,0.497,0.6235,0.475,0.4275,0.2915,0.28,0.38,0.252,0.2175,0.359,0.592,0.592,0.55,0.444,0.614,0.592,0.571,0.55,0.466,0.487,0.529,0.592,0.338,0.55,0.402,0.487,0.381,0.656,0.676,0.402,0.655,0.698,0.592,0.528,0.486,0.465,0.55,0.402,0.275,0.296,0.38,0.38,0.4,0.507,0.655,0.38,0.38,0.296,0.296,0.254,0.169,0.148,0.169,0.19,0.381,0.508,0.65,0.683,0.613,0.719,0.698,0.656,0.74,0.698,0.592,0.613,0.719,0.846
"73","MT","PSME","H","11C","PSME-H-11C",0.5585,0.6655,0.739,1.011,1.149,0.9695,1.0965,1.163,1.246,1.1395,0.9505,1.047,0.8465,1.121,1.121,1.396,1.2045,1.375,1.383,1.61,1.4355,1.0455,1.0445,1.418,1.369,1.2605,1.392,1.4025,0.8005,1.0255,1.2835,1.0925,1.1595,0.968,1.084,1.335,0.969,1.203,0.8335,0.8325,0.9985,1.107,1.0625,1.1865,0.8685,0.753,0.8005,1.117,1.313,1.083,1.031,0.862,0.9975,1.149,1.277,1.007,1.04,0.7735,0.9545,0.791,0.943,0.8695,1.381,1.338,1.1165,1.127,1.176,0.9995,0.8545,0.9125,1.285,1.0955,1.1145,0.844,0.764,0.76,0.501,0.315,0.533,0.7535,0.8145,0.6015,0.545,0.5765,0.673,0.7845,0.634,0.6715,0.724,0.644,0.7065,0.6505,0.844,0.525,0.6375,0.5585,0.6565,0.7505,0.6595,0.581,0.638,0.5625,0.5925,0.6865,0.7345,0.5575,0.5535,0.374,0.452,0.59,0.5585,0.492,0.556,0.593,0.5355,0.5585,0.4615,0.464,0.566,0.579,0.622,0.584,0.755,0.568,0.445,0.57,0.527,0.461,0.462,0.399,0.399,0.421,0.504,0.506,0.483,0.442,0.358
"74","MT","PSME","H","11N","PSME-H-11N",0.9655,0.8265,0.8655,0.812,1.1555,1.0535,1.249,1.387,1.158,1.129,1.083,1.019,0.9155,1.2065,0.8225,1.381,0.9735,0.976,1.113,1.2265,0.9805,1.0485,1.0745,1.2205,0.979,1.23,1.059,1.118,0.733,0.773,0.8545,0.7485,0.7205,0.5005,0.5445,0.613,0.395,0.4495,0.368,0.5285,0.487,0.5455,0.577,0.7695,0.729,0.4775,0.6075,0.7515,1.0295,1,0.9245,0.777,0.7595,0.917,0.9135,0.763,0.923,0.7795,0.876,0.752,0.837,0.6595,0.6785,0.6785,0.606,0.832,0.7815,0.7315,0.7135,0.5585,0.7145,0.5925,0.6335,0.389,0.229,0.4205,0.321,0.181,0.3125,0.3735,0.5195,0.338,0.292,0.292,0.3005,0.3085,0.369,0.3185,0.439,0.3265,0.511,0.414,0.497,0.2875,0.3885,0.256,0.5385,0.565,0.503,0.8565,0.595,0.6285,0.515,1.1725,0.353,0.508,0.698,0.698,0.783,0.761,0.698,0.633,0.717,0.795,0.524,0.714,0.379,0.423,0.338,0.232,0.211,0.254,0.274,0.464,0.846,0.857,0.73,0.698,0.611,0.529,0.466,0.391,0.582,0.55,0.529,0.529,0.634
