"","Transect","Species","Elev","Tree","Tag","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970","1969","1968","1967","1966","1965","1964","1963","1962","1961","1960","1959","1958","1957","1956","1955","1954","1953","1952","1951","1950","1949","1948","1947","1946","1945","1944","1943","1942","1941","1940","1939","1938","1937","1936","1935","1934","1933","1932","1931","1930","1929","1928","1927","1926","1925","1924","1923","1922","1921","1920","1919","1918","1917","1916","1915","1914","1913","1912","1911","1910"
"63","MT","TSHE","H","06C","TSHE-H-06C",1.0275,0.758,0.8555,0.9595,1.0245,1.014,1.3935,1.708,1.4355,1.0075,1.2845,1.2785,1.2045,1.5335,2.002,2.5315,2.1305,1.7745,1.912,2.733,1.931,1.979,1.3245,1.5995,0.874,2.1715,2.3305,2.231,1.842,2.49,3.308,2.6075,2.4675,2.03,1.16,2.147,1.6215,1.9115,1.2725,1.428,1.7265,1.998,2.2775,2.0175,1.6415,1.1285,1.3085,2.039,1.355,1.843,1.25,1.151,1.5155,1.363,1.589,1.5855,1.5025,0.971,1.838,1.1945,1.613,1.403,1.5165,1.2045,1.4015,1.496,1.4475,1.376,1.6775,2.0435,1.49,2.322,1.624,1.195,1.922,2.714,0.256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","MT","TSHE","H","06N","TSHE-H-06N",1.2675,1.533,1.162,1.3815,1.2775,0.9665,1.716,2.1195,1.8875,1.9095,2.061,1.9755,1.85,1.604,1.6865,2.404,1.8595,1.59,1.5325,1.4985,0.945,1.768,1.3295,1.147,0.4965,1.9965,2.173,2.1805,1.511,2.3075,3.241,2.8245,2.1455,1.3975,0.987,1.606,1.299,1.4555,0.8365,1.041,1.088,1.3825,1.571,1.1045,1.762,1.6095,1.2435,1.9275,1.4805,1.4795,1.0885,0.9305,0.884,0.902,0.853,0.7705,1.022,0.577,1.197,1.3655,0.884,1.182,1.375,1.1715,1.2065,1.147,1.0405,1.186,0.951,0.8755,0.876,0.9585,1.018,0.863,0.7165,0.925,0.702,0.7315,0.5925,0.677,0.738,1.107,0.7715,1.285,0.6415,0.992,0.827,0.334,0.209,0.473,0.568,0.397,0.703,0.677,0.667,0.504,1.029,0.443,NA,NA,NA,NA,NA,NA
"65","MT","TSHE","H","07C","TSHE-H-07C",0.2875,0.221,0.347,0.389,0.37,0.4065,0.549,0.4285,0.422,0.393,0.4445,0.381,0.3065,0.233,0.2855,0.252,0.2345,0.3585,0.392,0.8035,0.454,0.5595,0.412,0.6005,0.518,1.098,0.9615,0.993,0.8665,1.247,1.343,1.1425,0.95,0.856,0.914,1.1585,1.162,0.888,0.5705,0.856,1.849,1.8905,1.7535,1.718,1.8895,1.7855,2.1475,2.644,1.845,2.3245,1.8705,1.5775,2.181,2.1255,2.1575,2.446,2.045,1.301,2.3445,1.7165,2.253,2.186,1.6455,1.1935,1.5845,1.043,1.149,1.661,1.545,0.505,2.932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","MT","TSHE","H","07N","TSHE-H-07N",2.0065,2.0415,1.5025,1.7925,1.614,1.63,1.9755,2.193,1.8495,1.9425,1.764,1.561,1.685,1.575,1.995,2.294,1.836,1.5245,1.8075,2.0415,0.965,1.94,1.7195,1.9835,1.4295,1.973,1.7005,1.3645,1.079,1.158,1.527,1.5075,1.9,1.4855,1.2245,1.2755,1.265,1.251,0.8535,0.843,1.2035,1.2775,1.367,1.0805,1.2435,1.3,1.0525,1.416,0.758,0.7555,0.8325,0.7385,0.714,0.789,0.9605,0.635,0.8685,0.491,0.651,0.496,0.587,0.522,1.2625,1.144,0.805,0.6995,0.684,0.631,0.8545,0.6075,0.619,0.4345,0.441,0.4885,0.567,0.66,0.3865,0.681,0.188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","MT","TSHE","H","08C","TSHE-H-08C",0.8315,0.75,0.803,0.8985,0.6445,0.496,0.8235,0.8975,0.9305,0.8455,1.002,0.8325,0.8195,1.0035,1.2295,1.3765,1.1575,1.4525,1.749,2.2035,1.458,1.5595,1.6695,1.178,0.7115,1.286,1.2605,1.619,1.1045,1.5505,1.6015,0.955,1.398,1.2365,1.018,1.3355,1.06,1.2025,0.9945,1.229,1.4,1.71,1.7835,1.461,1.295,1.106,1.1825,1.7675,1.648,1.823,1.529,1.2225,1.522,1.558,1.786,1.9625,2.254,1.3605,2.121,1.7955,2.1735,2.2645,1.9915,2.2605,2.8595,2.8085,2.3965,2.156,2.106,1.997,2.7105,2.572,2.215,2.1375,1.2195,1.612,1.123,0.266,1.467,0.939,0.824,1.28,1.911,1.798,0.384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","MT","TSHE","H","08N","TSHE-H-08N",1.56966666666667,1.43966666666667,1.493,1.65366666666667,1.69766666666667,1.26366666666667,1.66333333333333,2.22833333333333,2.10366666666667,1.80866666666667,2.26366666666667,2.06933333333333,2.28366666666667,2.34633333333333,2.61366666666667,3.99833333333333,3.456,2.83166666666667,2.66266666666667,2.58333333333333,2.34633333333333,2.95466666666667,2.38233333333333,2.419,1.604,2.78633333333333,2.812,2.27033333333333,1.69866666666667,2.22066666666667,2.93633333333333,2.06766666666667,1.933,1.584,0.955666666666667,1.38533333333333,1.22,1.39166666666667,0.948333333333333,0.739,0.852666666666667,0.992,1.26633333333333,1.21466666666667,1.73933333333333,1.48933333333333,0.853,1.05633333333333,0.841666666666667,0.902,0.859333333333333,0.543666666666667,0.792666666666667,0.891333333333333,0.781333333333333,0.717,1.026,0.526,1.37866666666667,1.13566666666667,1.168,1.76566666666667,1.282,1.208,1.42766666666667,1.586,1.498,1.12533333333333,0.867333333333333,0.785,1.12966666666667,1.333,1.43066666666667,0.737,1.06,0.933,1.24766666666667,0.238,0.468,0.669,0.421333333333333,0.484,0.732666666666667,0.539666666666667,0.318666666666667,0.182,0.293,0.369666666666667,0.348,0.284333333333333,0.1455,0.2875,0.258,0.2685,0.306,0.3,0.282,NA,NA,NA,NA,NA,NA,NA
"69","MT","TSHE","H","09C","TSHE-H-09C",0.896,0.7545,0.888,0.928,0.751,0.687,0.8205,0.854,0.8105,0.737,0.948,0.6735,0.5905,0.8775,0.91,1.0535,0.901,0.743,1.328,1.028,1.063,1.0295,0.839,0.956,0.7435,1.191,1.0105,1.163,0.7905,1.2145,1.1095,0.9695,1.1635,0.7495,1.1265,1.2455,1.329,1.201,0.8315,0.727,1.1695,1.128,1.478,1.5945,1.1005,1.3135,1.3145,1.242,0.6195,1.27,1.334,1.115,1.3805,1.263,1.0895,1.1035,1.224,1.0285,1.5095,1.3105,1.269,1.16,0.9275,1.184,1.289,1.073,0.9955,1.163,1.1135,1.1375,1.262,1.231,1.0785,0.9455,0.8485,1.1,1.499,1.1735,0.888,1.0305,0.9595,1.2625,1.0465,1.3055,1.206,1.412,1.4795,0.6425,0.149,0.75,0.696,0.319,0.4595,0.4145,0.3175,0.1885,0.3855,1.0335,NA,NA,NA,NA,NA,NA
"70","MT","TSHE","H","09N","TSHE-H-09N",1.217,1.076,0.7715,1.187,1.087,0.9495,1.488,1.8765,1.792,1.329,1.617,1.2165,1.2145,1.283,1.525,1.515,1.316,0.979,1.4235,1.4445,0.9265,1.0015,0.999,0.5145,0.2945,1.58,1.3485,1.648,1.0925,1.533,2.139,1.759,2.0655,1.148,1.2435,1.697,1.544,1.5965,1.144,1.196,1.855,1.3995,1.632,1.897,1.701,1.0785,1.2175,1.7695,0.8635,1.548,1.669,0.9625,1.1645,1.2705,1.356,1.1105,1.216,0.6735,1.304,1.2115,1.3925,1.152,1.541,1.662,1.8365,2.2195,1.9695,1.105,1.047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","MT","TSHE","H","10C","TSHE-H-10C",1.2965,2.1295,1.6875,1.542,1.228,0.9165,1.274,1.4675,1.402,1.1155,1.5795,1.3045,1.2185,1.541,1.955,2.2105,1.4865,1.351,1.3375,1.7875,1.653,1.843,1.5815,2.0155,0.7645,1.4435,1.502,1.4595,0.952,1.2665,1.7955,1.3365,1.7855,1.2275,0.9535,1.2525,1.1285,1.0375,0.6895,0.757,1.0675,1.0285,1.3995,1.388,0.898,0.9015,1.0565,1.3135,1.072,1.128,1.1215,0.868,1.0235,1.1055,1.0375,1.275,1.286,0.9685,1.796,1.3645,2.069,1.8405,1.7105,0.528,1.035,0.841,0.508,1.772,1.563,1.518,1.678,1.821,1.278,0.945,1.044,0.799,0.369,0.747,1.177,0.617,0.475,1.047,1.163,0.943,0.756,0.732,0.892,0.609,0.781,1.811,0.199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","MT","TSHE","H","10N","TSHE-H-10N",0.182,0.32,0.516,0.88,1.2755,1.342,2.006,1.7965,2.224,2.2485,2.1285,2.312,2.801,2.518,2.521,3.571,2.962,3.1925,3.162,3.059,1.4765,2.5505,2.9375,2.758,1.063,2.5,2.381,2.4015,1.76,2.189,2.897,2.216,2.06,1.135,0.872,1.2325,0.9235,1.1185,0.7645,0.7795,0.9435,0.8635,1.2375,1.079,1.129,0.989,1.013,1.365,0.7815,0.8475,0.8045,0.751,0.7075,0.777,0.7335,0.709,0.8555,0.523,0.878,0.625,1.02,1.4795,1.6495,1.266,1.034,1.289,1.306,1.176,0.692,0.628,0.918,1.3,1.396,1.056,1.808,2.337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","MT","TSHE","H","11C","TSHE-H-11C",0.911,0.914,1.3465,1.2865,0.976,0.9055,1.1485,1.6295,1.411,1.1695,1.6685,1.6445,1.3595,1.4805,1.9875,2.4755,1.6505,1.576,1.1005,1.8145,1.1895,1.223,0.9305,0.9195,0.338,1.596,1.4975,1.587,0.9385,1.4345,1.7185,1.1635,1.9275,0.955,1.14,1.763,1.563,1.6895,1.1165,1.115,1.4445,1.509,1.784,1.552,2.412,0.973,1.989,1.968,1.755,2.009,2.01,1.248,1.27,1.291,1.545,1.036,1.096,0.632,1.801,1.327,1.69,1.687,1.873,1.373,1.415,1.686,1.574,1.802,1.651,1.012,1.425,1.079,0.995,0.739,0.993,1.076,1.365,0.845,1.358,1.26,1.162,1.373,1.331,1.132,0.941,1.605,2.311,1.478,1.493,0.999,0.971,0.705,1.209,0.925,0.953,1.051,2.587,3.755,NA,NA,NA,NA,NA,NA
"74","MT","TSHE","H","11N","TSHE-H-11N",1.179,1.6795,1.7665,1.777,1.2155,0.9155,1.3865,1.5755,1.418,1.2825,1.4145,1.248,1.176,1.251,1.3835,2.177,1.355,1.561,1.7405,2.025,1.412,1.801,1.1255,1.773,1.112,2.1125,2.066,1.5,1.3865,1.2755,1.46,1.044,1.508,0.893,0.818,1.7105,1.4735,1.3425,0.7615,0.902,1.094,0.833,0.8125,0.9225,1.0445,0.937,0.7855,1.525,1.441,1.0345,1.178,0.8635,1.1,1.215,1.0275,1.045,1.433,1.015,1.55,1.2155,1.2515,1.2775,1.358,1.1025,0.989,0.9375,0.991,1.4655,1.4195,1.3515,1.875,1.4345,0.859,0.637,0.495,0.5535,0.654,0.75,1.416,1.093,0.543,0.738,0.427,0.82,0.818,0.814,1.242,1.229,1.169,2.153,0.226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","MT","TSHE","H","12C","TSHE-H-12C",1.012,1.253,1.5285,1.481,1.0045,1.1105,1.5415,1.733,1.818,1.384,1.7515,1.5395,1.4005,1.392,1.2835,1.502,1.0205,1.3525,1.646,2.363,1.281,1.4375,1.114,0.943,0.3575,1.5965,1.681,1.5585,1.379,1.226,1.432,1.3395,1.3255,1.2835,1.2915,1.694,2.013,1.7485,1.3195,1.245,1.5345,1.103,1.3935,1.4205,1.0485,1.2205,1.473,1.74,0.9885,1.5715,1.15,1.185,1.308,1.1425,1.394,1.4445,1.211,0.946,1.3565,1.0095,1.495,1.3115,1.5125,0.9815,1.1285,1.0905,1.0545,1.046,1.2535,1.0675,1.007,1.077,0.9785,0.773,0.6645,0.9385,0.5555,0.586,0.4015,0.7785,0.669,0.7175,0.849,0.882,1.2295,1.2845,1.4335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","MT","TSHE","H","12N","TSHE-H-12N",1.48,1.655,1.4205,1.8955,1.7405,1.517,1.954,2.334,2.588,2.2975,2.235,2.2965,2.0945,2.1235,2.296,2.404,2.4825,2.8235,3.5065,3.2615,1.509,2.436,1.9135,2.152,1.776,2.475,2.4445,2.034,1.5055,2.005,1.811,1.698,1.9385,1.504,1.5655,1.4585,1.3945,1.339,1.0265,1.1155,1.556,1.065,1.569,1.2065,1.3795,1.4345,1.288,1.681,1.9215,1.527,1.5565,0.7925,0.974,1.188,1.437,1.589,1.5665,0.967,1.556,1.9315,1.476,1.523,1.1915,1.5615,1.4465,1.4675,0.698,0.828,1.577,0.0365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","MT","TSHE","H","13C","TSHE-H-13C",0.8905,1.111,1.014,1.005,1.0425,0.963,1.6435,1.737,1.5155,1.262,2.0655,1.338,1.6665,1.6905,2.01,2.359,1.9,1.5855,1.4935,1.4775,1.069,2.002,1.9085,1.1685,0.6855,1.424,1.1145,1.012,0.743,1.2705,1.343,1.0305,1.1035,0.82,1.339,1.5805,1.553,0.9125,0.6205,1.097,1.501,1.591,1.819,1.059,1.126,0.777,1.159,1.22,1.059,1.163,1.118,1.001,0.924,0.929,0.91,0.781,1.31,0.782,1.629,1.299,1.278,1.637,1.691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","MT","TSHE","H","13N","TSHE-H-13N",1.31,1.303,1.2065,1.255,1.116,0.8935,1.6235,1.9205,1.5605,1.1495,1.505,1.52,1.4675,1.667,1.924,2.2795,1.4905,1.379,2.0835,2.3355,1.9945,2.364,1.377,0.731,0.421,2.5425,2.491,2.0185,1.8245,2.1605,2.8005,2.387,2.3165,1.829,1.463,1.8055,1.73,1.767,1.273,0.9865,1.0285,0.961,1.388,1.3885,1.134,0.944,1.028,1.1585,1.025,1.2035,1.131,0.8985,0.9305,1.0175,1.1445,1.1785,1.1685,0.503,1.344,1.341,1.3065,2.368,1.809,1.325,1.674,2.626,3.011,1.509,1.377,1.491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","MT","TSHE","L","01C","TSHE-L-01C",1.104,0.9565,1.0075,1.102,0.756,0.5835,1.0465,1.4325,1.476,1.0515,1.6965,2.1765,2.0425,2.1005,1.4395,1.534,1.259,1.823,1.5195,1.2795,1.0575,1.279,0.5185,0.151,0.086,1.171,1.282,1.0795,0.5525,1.2115,1.416,1.3535,1.277,1.331,1.9135,1.3915,1.1975,1.5285,0.9055,1.024,0.788,0.6795,0.9495,1.3415,1.4455,1.086,1.0645,0.909,0.655,0.753,0.4325,1.0865,1.1085,0.831,0.8275,0.431,0.343,0.6085,1.042,0.932,1.0435,0.7355,0.568,0.712,1.112,1.142,1.3785,0.9615,0.7445,0.4095,0.4155,1.2775,1.206,1.4435,1.493,0.753,0.291,0.4665,0.3955,0.7125,0.513,0.566,0.556,0.526,0.621,0.653,0.401,0.2955,0.348,0.5965,0.394,0.459,0.65,0.4275,0.5195,0.4625,0.5465,0.445,0.5095,0.559,0.6195,0.661,0.524,0.6205
"2","MT","TSHE","L","01N","TSHE-L-01N",0.057,0.19,0.137,0.168,0.136,0.157,0.21,0.23,0.264,0.192,0.227,0.237,0.196,0.185,0.175,0.144,0.186,0.145,0.134,0.164,0.175,0.185,0.165,0.093,0.103,0.107,0.082,0.048,0.005,0.179,0.187,0.138,0.15,0.077,0.108,0.188,0.145,0.156,0.082,0.093,0.11,0.083,0.088,0.069,0.073,0.063,0.052,0.065,0.045,0.05,0.062,0.08,0.078,0.021,0.088,0.017,0.083,0.083,0.094,0.125,0.125,0.114,0.104,0.063,0.104,0.083,0.104,0.052,0.046,0.094,0.026,0.059,0.049,0.063,0.032,0.093,0.016,0.135,0.098,0.089,0.073,0.077,0.015,0.135,0.113,0.092,0.155,0.031,0.144,0.165,0.278,0.247,0.267,0.226,0.256,0.296,0.46,0.508,0.541,0.553,0.659,0.919,0.715,1
