"","Transect","Species","Elev","Tree","Tag","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970","1969","1968","1967","1966","1965","1964","1963","1962","1961","1960","1959","1958","1957","1956","1955","1954","1953","1952","1951","1950","1949","1948","1947","1946","1945","1944","1943","1942","1941","1940","1939","1938","1937","1936","1935","1934","1933","1932","1931","1930","1929","1928","1927","1926","1925","1924","1923","1922","1921","1920","1919","1918","1917","1916","1915","1914","1913","1912","1911","1910","1909","1908","1907","1906","1905","1904","1903","1902"
"51","CO","PIPO","H","3H","PIPO-H-3H",0.148,0.42,0.809,0.9925,0.863,0.8255,1,0.857,0.85,0.658,0.517,0.226,0.4325,0.6235,0.8445,0.7345,0.6145,0.6915,0.859,0.775,0.5435,0.8125,0.716,0.7885,0.655,0.953,0.8375,1.1155,0.7785,1.0075,1.2385,1.0605,1.204,0.7975,0.978,0.894,0.662,0.99,0.9485,0.753,0.6155,0.472,0.452,0.67,0.5305,0.648,0.599,0.694,0.7735,0.6505,0.4975,0.744,0.7395,0.8455,0.818,1.3455,1.301,1.336,1.1385,1.626,1.331,1.0245,1.2655,1.064,1.337,1.19,1.782,1.5425,1.6255,1.5945,1.9085,1.909,2.396,1.826,2.127,1.94,2.284,2.0395,2.04,1.9115,2.052,2.5495,3.004,3.458,2.3685,2.9305,2.9715,3.1605,2.928,2.7975,3.2885,2.6075,3.6865,2.7445,2.957,2.874,2.221,3.334,2.9445,3.5295,3.339,3.168,3.72,3.9195,3.72,3.7985,4.027,3.475,3.6425,3.0675,3.484,2.8935
"52","CO","PIPO","H","3L","PIPO-H-3L",0.255,1.0845,0.9675,1.384,1.395,1.057,1.435,1.1915,0.6875,1.1635,1.067,0.707,0.895,1.236,1.4915,1.6505,1.268,1.468,1.321,1.066,1.109,1.235,1.564,1.392,1.1095,1.124,1.1695,1.443,1.056,1.2045,1.5835,1.438,1.689,0.9525,1.003,0.964,1.158,1.2855,1.782,1.277,1.2355,1.5935,1.1505,1.3835,1.8955,1.757,2.05,2.08,2.2805,1.8515,1.283,1.7025,1.2675,1.3305,1.1305,1.3635,1.5805,1.1795,1.338,1.73,1.731,1.563,1.5105,1.566,1.9365,1.661,1.83,1.605,2.188,2.419,2.0085,2.062,2.4835,1.851,1.45,1.681,2.309,2.381,2.7185,2.175,2.65,2.6335,3.0865,3.579,3.0975,3.399,3.2665,3.604,3.439,3.513,4.185,2.647,4.3305,3.3585,4.04,3.9565,2.484,3.3375,3.037,3.4515,3.239,2.95,4.1415,3.164,3.474,3.6675,4.383,3.554,3.7385,3.4345,3.546,3.098
"53","CO","PIPO","H","4H","PIPO-H-4H",0.165,0.4965,0.8555,1.0545,0.8015,0.4305,0.8435,0.698,0.465,0.939,1.2335,0.654,1.1505,1.4515,2.2105,1.637,1.161,1.372,2.0595,1.512,1.5535,1.415,1.7885,2.2065,1.945,1.903,2.1465,2.1475,1.5975,1.713,2.3295,2.036,2.1195,1.4065,1.249,1.3235,1.3805,1.6945,2.255,2.051,2.004,1.901,1.2585,2.325,2.591,2.549,3.0835,2.254,2.453,2.1675,1.6875,1.7465,2.013,1.7035,1.7865,2.1005,2.7065,1.6285,2.4515,2.832,2.507,2.5235,2.354,1.8925,2.706,2.2065,3.042,2.6405,2.3255,2.5155,2.592,2.4465,2.593,2.5035,2.095,2.461,2.613,2.449,2.4045,2.111,2.704,2.3545,2.9825,3.033,2.905,2.515,3.068,2.5435,2.628,2.101,2.8505,1.891,2.8705,1.893,1.9445,2.129,1.3465,2.069,1.515,1.815,1.667,1.94,1.7655,1.8225,2.0605,2.197,1.908,1.625,1.6765,1.4225,1.692,1.1565
"54","CO","PIPO","H","4L","PIPO-H-4L",0.66,2.871,3.0125,3.1175,2.732,2.654,3.8755,2.324,3.018,3.4285,2.3465,2.34,2.6065,2.444,3.8855,3.5355,3.2235,2.902,4.051,3.5805,3.146,3.99,3.756,3.748,3.182,3.7095,3.55,4.501,2.96,2.7115,3.6315,3.517,3.809,2.723,2.66,3.4645,3.5125,3.8095,4.5545,4.2175,4.1115,3.143,2.832,3.544,4.0685,3.3565,4.127,3.582,4.103,4.4475,3.3815,3.586,3.4825,3.34,3.486,2.7085,3.0975,3.2685,3.3635,3.567,3.997,3.4215,3.6745,3.332,4.106,3.3725,3.191,2.6465,3.0945,3.218,4.142,3.24,2.37,1.74,2.01,4.591,0.452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","CO","PIPO","H","5H","PIPO-H-5H",0.475,1.3345,1.553,1.805,1.9235,1.4975,2.4285,1.656,1.2665,1.415,1.4065,0.714,1.0835,1.96,2.503,2.143,2.4415,1.739,2.6445,2.214,1.827,2.0195,2.0615,2.3745,2.282,2.517,2.922,3.4265,2.642,2.659,4.2395,2.9935,2.69,1.7865,2.4395,1.9815,1.835,2.6005,3.0045,2.739,2.749,3.2445,3.01,3.2395,3.949,3.0765,3.6905,3.93,3.602,3.4725,3.2435,3.5255,2.5805,3.003,3.213,3.379,2.892,2.5515,2.099,2.519,2.6405,2.8745,2.103,1.7565,1.915,1.935,2.409,2.1695,1.7925,2.0875,2.3315,3.14,3.2305,3.0345,2.9115,2.8355,3.395,2.4925,2.275,2.531,2.684,3.5915,2.825,3.534,0.641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","CO","PIPO","H","5L","PIPO-H-5L",0.4235,1.197,1.198,1.725,2.348,1.679,3.616,2.305,1.7555,2.0415,2.0665,0.934,1.479,1.398,2.6535,2.317,2.6675,2.1155,2.601,1.3695,1.1025,1.6825,1.736,2.5015,1.934,2.424,2.055,2.6715,1.5645,1.5055,2.07,1.7525,1.787,1.3835,1.5805,1.325,1.535,2.823,3.037,3.4225,2.0515,3.039,3.2715,3.189,3.6535,3.065,3.1705,3.466,3.8735,3.0965,2.6515,2.647,2.148,2.7815,2.66,3.0305,3.196,3.966,3.427,4.5245,4.259,3.224,3.5865,3.198,3.9115,3.185,4.335,3.886,3.512,3.4635,3.121,4.051,4.166,3.867,4.1525,4.1,2.6405,3.893,3.065,3.64,2.858,3.574,2.691,0.576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","CO","PIPO","H","6H","PIPO-H-6H",0.1155,0.2445,0.4765,0.3315,0.3865,0.338,0.431,0.294,0.2675,0.263,0.2995,0.1415,0.627,0.6785,0.9755,0.9865,1.2585,1.012,1.1595,0.6845,0.651,0.978,0.923,1.1055,0.759,1.183,1.146,1.401,0.9205,0.9685,1.3765,1.196,1.259,0.662,0.92,0.874,0.98,1.0365,1.3745,1.0805,1.3205,1.1025,1.0875,0.9285,1.41,1.0735,1.477,1.2335,1.7885,1.015,0.8955,1.072,1.014,0.968,0.9515,0.916,1.076,1.0335,0.914,1.2695,1.163,1.29,1.1055,0.922,1.646,1.4055,1.442,1.397,1.3355,1.2675,1.4185,1.3225,1.6325,1.5625,1.1535,1.7945,1.666,1.5635,1.5165,1.253,1.2385,2.0365,1.968,2.7745,2.4295,2.2835,2.657,2.711,2.616,1.946,1.8065,1.4595,3.202,2.5085,2.424,2.313,1.8335,2.5565,2.589,3.1245,2.4075,3.065,3.3585,2.6905,2.534,3.6095,3.755,3.6085,3.4605,2.7515,2.983,2.3925
"58","CO","PIPO","H","6L","PIPO-H-6L",0.768,1.6655,1.9295,2.4405,2.4065,2.078,3.2365,2.4265,1.5615,2.078,1.817,1.491,2.024,2.625,3.99,3.0535,3.349,3.6395,3.5395,2.393,2.0005,2.235,2.3775,3.762,2.738,3.553,3.484,3.234,2.9345,3.418,3.1285,2.8375,3.4095,1.945,2.501,2.5015,2.8215,2.978,3.0495,3.7185,2.8975,3.6465,3.4545,3.775,3.8875,3.389,4.197,3.7515,3.6235,3.1225,2.9215,2.7975,2.6665,2.6535,2.32,2.698,2.8955,2.786,3.0005,3.642,3.259,2.8505,2.5185,3.18,4,3.1395,2.347,2.451,2.21,2.152,2.236,2.792,3.703,2.363,2.392,2.352,3.299,4.07,2.253,3.124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","CO","PIPO","H","7H","PIPO-H-7H",0.236,0.7805,1.006,0.669,0.783,0.6375,1.6055,1.084,0.806,0.929,0.8345,0.322,0.984,1.215,1.7305,1.2975,1.455,1.053,1.5805,1.2605,1.1135,1.2125,1.195,1.6225,1.205,1.4525,1.613,2.13,1.4895,1.5335,2.2695,1.8095,1.978,1.0575,1.236,1.204,0.9385,1.2405,1.5725,1.4395,1.5915,1.6865,1.592,1.8695,2.2475,1.731,2.1215,2.255,2.513,2.0425,1.438,1.9585,2.056,1.834,1.4575,1.924,1.795,1.5235,1.789,2.032,1.616,2.063,1.767,1.5725,2.301,1.995,2.3285,1.9665,1.8645,2.2425,2.1565,1.8365,2.5755,2.5135,2.101,2.63,3.529,2.651,2.8025,2.245,2.85,3.177,2.9255,3.2295,3.1775,3.0825,3.337,3.6575,3.122,2.9935,3.0525,2.354,3.5485,3.144,3.977,3.2675,2.6125,3.5685,3.068,3.8225,2.009,3.45,4.302,3.066,2.753,5.295,NA,NA,NA,NA,NA,NA
"60","CO","PIPO","H","7L","PIPO-H-7L",0.899,1.2805,1.417,1.1125,1.042,0.99,2.016,1.3285,0.9725,1.4115,1.609,1.1815,1.071,1.8245,2.9565,2.105,2.7915,2.195,3.582,2.65,1.7635,2.2255,2.931,3.8705,2.6505,2.9575,2.5835,3.1815,2.474,2.812,3.4615,2.628,2.0835,1.378,1.602,2.1325,2.95,3.0495,3.292,3.4295,2.401,2.807,2.8225,3.9795,4.505,2.8935,3.9745,3.9645,4.935,3.4145,3.2825,3.536,2.626,3.0525,4.1005,4.6375,3.666,2.7445,2.654,2.533,2.406,2.282,2.66,2.32,2.912,2.616,2.603,1.635,1.589,1.832,1.613,2.165,2.537,2.637,1.486,1.453,2.361,2.265,1.729,1.486,2.156,1.139,1.439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","CO","PIPO","H","8H","PIPO-H-8H",0.368,1.34,1.556,1.95,1.677,1.7555,2.612,1.692,1.574,1.405,1.543,0.179,1.9995,1.754,3.165,1.822,2.052,1.679,2.026,1.5295,1.7595,2.037,1.525,2.283,1.7735,2.2565,2.18,2.982,2.095,2.163,2.7895,2.29,2.3845,1.708,1.8565,2.07,1.3645,1.7805,2.647,2.3945,2.0525,2.3795,1.975,2.672,2.812,2.7495,3.073,2.7025,3.3345,2.401,1.8825,2.1105,2.1195,2.025,1.9105,2.7435,2.9125,1.7915,2.0765,2.397,2.4455,2.887,2.4045,2.1435,2.7285,1.949,2.44,1.974,1.8,2.3885,2.56,2.9205,3.2435,3.0345,2.2865,3.048,3.5555,1.896,2.238,2.786,2.296,3.143,0.458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","CO","PIPO","H","8L","PIPO-H-8L",0.9965,2.325,2.489,3.48,3.237,2.4165,4.5705,3.4485,2.0285,2.4495,2.932,1.1385,2.874,3.7175,4.329,3.3075,3.466,2.4425,3.3225,2.889,2.8955,3.1925,3.077,3.286,2.9425,3.235,3.256,4.146,2.6575,2.971,3.71,3.339,3.5225,2.208,2.092,2.3695,2.0955,2.3985,2.854,2.9205,2.306,2.4605,2.706,3.3255,2.8885,2.511,3.0035,2.012,2.128,2.0225,2.099,2.2505,2.0045,1.9835,2.065,2.0845,2.3955,2.2655,2.2935,2.678,2.7205,2.146,1.8105,1.8565,1.9325,1.7425,1.8395,1.671,1.7335,1.7205,1.2915,1.915,1.999,1.654,1.419,2.16,0.348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","CO","PIPO","H","9H","PIPO-H-9H",0.169,0.8635,1.0035,0.908,0.8135,0.982,1.4345,1.3185,1.077,1.0235,1.0555,0.3475,0.886,1.3695,1.571,1.287,1.266,1.1395,1.36,1.0345,0.9275,1.1705,1.1625,1.401,1.289,1.4585,1.552,1.76,1.1565,1.1125,1.4985,1.5415,1.5985,0.899,0.8665,1.172,0.946,1.2045,1.2395,1.093,1.0155,0.8155,0.709,1.7915,1.8355,1.7575,1.6095,1.781,1.9465,1.9775,1.651,1.7085,1.322,1.836,1.662,1.572,1.5245,1.1735,1.506,1.562,1.3315,1.7465,1.667,1.545,1.873,2.099,2.0025,1.931,1.9015,2.0935,2.8035,2.5755,3.198,3.1105,2.8545,2.7755,3.255,2.7755,2.453,2.7395,2.698,2.512,2.4475,2.7355,2.409,3.2075,4.2215,4.0215,3.33,3.2925,2.796,2.755,3.9695,3.946,5.475,2.5135,4.223,3.976,3.35,3.211,2.136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","CO","PIPO","H","9L","PIPO-H-9L",0.401,1.4385,1.9335,2.1745,2.3055,2.0035,3.1535,2.2085,1.4385,1.92,1.7595,1.0445,1.53,2.1425,2.608,2.207,2.576,2.7775,2.993,2.008,1.9445,2.1455,1.952,2.3955,2.29,1.8695,2.6345,3.206,2.3595,2.825,3.2585,2.9725,2.884,2.1565,2.422,2.26,1.7345,3.0865,2.686,2.782,2.4505,3.327,2.1035,2.852,3.6955,3.066,3.4005,3.486,3.6665,2.5515,2.528,2.5985,2.6015,2.635,2.6605,3.3585,3.25,2.861,3.4215,3.2505,2.9355,2.0605,3.589,2.862,4.02,3.208,4.11,3.824,3.131,3.553,3.925,3.1,4.149,4.099,4.319,4.386,4.96,4.519,3.095,3.99,3.61,4.354,3.796,3.968,1.488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","CO","PIPO","L","01H","PIPO-L-01H",0.507,0.59,1.622,1.057,1.227,1.015,1.141,1.15,1.544,0.697,0.583,0.042,0.67,0.786,2.069,1.559,2.006,0.735,1.765,1.366,1.097,1.576,1.455,1.178,1.091,1.379,1.359,2.018,1.156,1.2,2.254,1.157,1.261,1.085,1.199,1.103,0.43,0.9,1.818,1.094,1.439,0.953,0.887,0.559,1.534,1.182,1.44,1.414,2.177,1.275,1.39,0.97,1.146,0.746,0.288,1.535,2.348,1.948,2.507,1.781,1.848,2.557,1.014,1.476,2.394,2.105,2.069,1.892,1.986,2.314,2.992,2.787,3.402,2.218,1.894,2.17,2.641,1.925,1.491,1.197,1.157,1.981,1.273,2.514,2.538,2.307,3.703,3.198,3.749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","CO","PIPO","L","01L","PIPO-L-01L",0.317,0.296,0.676,0.486,0.571,0.528,0.549,0.38,0.591,0.33,0.324,0.084,0.36,0.591,1.077,0.824,0.886,0.63,1.087,0.621,0.635,1.205,0.867,0.801,0.631,0.904,0.82,1.119,0.992,0.904,1.095,0.972,0.634,0.697,0.802,0.908,0.338,0.972,0.952,0.741,0.973,0.888,0.888,0.55,1.312,1.417,1.1,1.079,0.973,1.016,0.843,0.857,0.578,0.719,0.211,0.909,1.393,1.079,1.311,1.268,1.311,1.58,0.674,1.058,1.693,1.46,1.756,1.227,1.375,1.291,1.926,2.094,2.941,1.984,1.987,2.239,2.427,1.733,1.456,1.247,1.618,2.077,2.179,2.881,2.322,2.304,2.45,2.723,2.442,2.286,2.681,2.442,3.205,3.203,3.019,2.624,2.343,2.688,2.571,3.648,0.328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
