age_CE,BC1801A_raw,BC1802A_raw,BC1803A_raw,BC1804B_raw,BC1805B_raw,BC1806A_raw,BC1807A_raw,BC1808A_raw,BC1809A_raw,BC1810B_raw,BC1811A_raw,BC1812A_raw,BC1813A_raw,BC1814A_raw,BC1815B_raw,BC1816A_raw,BC1817A_raw,BC1818A_raw,BC1819A_raw,BC1820A_raw,BC1801A_raw_outlier_flag,BC1802A_raw_outlier_flag,BC1803A_raw_outlier_flag,BC1804B_raw_outlier_flag,BC1805B_raw_outlier_flag,BC1806A_raw_outlier_flag,BC1807A_raw_outlier_flag,BC1808A_raw_outlier_flag,BC1809A_raw_outlier_flag,BC1810B_raw_outlier_flag,BC1811A_raw_outlier_flag,BC1812A_raw_outlier_flag,BC1813A_raw_outlier_flag,BC1814A_raw_outlier_flag,BC1815B_raw_outlier_flag,BC1816A_raw_outlier_flag,BC1817A_raw_outlier_flag,BC1818A_raw_outlier_flag,BC1819A_raw_outlier_flag,BC1820A_raw_outlier_flag
1803,NA,NA,NA,1.3,NA,NA,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1804,NA,NA,NA,1.98,NA,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.39,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1805,NA,NA,NA,1.81,NA,NA,1.48,NA,NA,2.31,NA,NA,NA,NA,NA,NA,NA,NA,1.24,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1806,NA,NA,NA,1.34,NA,NA,1.17,NA,NA,1.77,NA,NA,NA,NA,NA,NA,NA,NA,0.92,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1807,NA,NA,NA,1.23,NA,NA,0.57,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,0.66,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1808,NA,NA,NA,1.6,NA,NA,1.36,NA,NA,2.02,NA,NA,NA,NA,NA,NA,NA,NA,0.62,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1809,NA,NA,NA,0.29,NA,NA,0.31,NA,NA,0.33,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1810,NA,NA,NA,1.68,NA,NA,1.02,NA,NA,2.32,NA,NA,NA,NA,NA,NA,NA,NA,0.23,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1811,NA,NA,NA,1.24,NA,NA,0.68,NA,NA,2.38,NA,NA,NA,NA,NA,NA,NA,NA,0.94,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1812,NA,NA,NA,0.53,NA,NA,0.56,NA,NA,0.84,NA,NA,NA,NA,NA,NA,NA,NA,0.65,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1813,NA,NA,NA,0.74,NA,NA,0.66,NA,NA,1.92,NA,NA,NA,NA,NA,NA,NA,0.74,0.26,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
1814,NA,NA,NA,0.67,NA,NA,0.48,NA,NA,1.73,NA,NA,NA,NA,NA,NA,NA,0.72,0.52,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
1815,NA,NA,NA,0.75,NA,NA,0.52,NA,NA,1.55,NA,NA,NA,NA,1.48,NA,NA,0.76,0.96,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA
1816,NA,NA,NA,0.8,NA,NA,0.68,NA,NA,2.3,NA,NA,NA,NA,1.94,NA,NA,0.73,0.77,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA
1817,NA,NA,NA,0.59,NA,NA,0.62,NA,NA,2.02,NA,NA,NA,NA,1.48,NA,NA,0.82,0.8,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA
1818,NA,NA,NA,1.17,NA,NA,0.9,NA,NA,3.59,NA,NA,NA,NA,1.83,NA,NA,1.28,1.27,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA
1819,NA,NA,NA,1.39,2.55,NA,0.92,NA,NA,3.66,NA,NA,NA,NA,1.84,NA,NA,1.09,1.24,NA,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA
1820,NA,NA,NA,0.45,0.89,NA,0.32,NA,NA,1.14,NA,NA,NA,NA,0.73,NA,NA,0.46,0.33,NA,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA
1821,NA,NA,NA,1.05,1.88,NA,0.51,NA,NA,2.72,NA,NA,NA,NA,1.71,NA,NA,0.91,0.86,NA,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA
1822,NA,NA,NA,0.42,0.89,NA,0.31,NA,NA,0.78,NA,NA,NA,NA,0.78,NA,NA,0.33,0.42,NA,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA
1823,NA,NA,NA,0.58,0.89,NA,0.45,NA,NA,0.81,NA,NA,NA,NA,0.79,NA,NA,0.4,0.69,NA,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA
1824,NA,NA,NA,0.14,0.73,NA,0.81,NA,NA,1.16,NA,NA,NA,NA,0.83,NA,NA,0.55,0.58,NA,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA
1825,NA,NA,NA,0.51,1.75,NA,0.75,NA,NA,1.62,NA,NA,NA,NA,1.4,NA,1.19,1.33,0.84,1.45,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1826,NA,NA,NA,0.9,2.09,NA,0.82,NA,NA,1.94,NA,NA,NA,NA,1.72,NA,1.07,0.93,0.65,1.52,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1827,NA,NA,NA,1.06,2.32,NA,0.84,NA,2.43,2.1,NA,NA,NA,NA,1.7,NA,1.1,0.82,0.65,1.5,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1828,NA,NA,NA,1.21,2.94,NA,0.85,NA,3.64,2.72,NA,NA,NA,NA,2.31,NA,1.55,0.95,1.05,2.45,NA,NA,NA,FALSE,TRUE,NA,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1829,NA,NA,NA,0.49,1.08,NA,0.41,NA,1.48,1.02,NA,NA,NA,NA,0.9,NA,0.56,0.39,0.41,0.76,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1830,NA,NA,NA,1.06,1.84,NA,0.7,NA,4.75,3.11,NA,NA,NA,NA,1.83,NA,1.2,0.63,0.9,2.01,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,TRUE,FALSE,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1831,NA,NA,NA,0.96,1.92,NA,0.57,NA,4.44,4.4,NA,NA,NA,NA,2,NA,1.03,0.57,0.7,1.89,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,TRUE,TRUE,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1832,NA,NA,NA,0.91,2.03,NA,0.64,NA,3.05,5.57,5.32,NA,NA,NA,1.63,NA,1.35,0.71,0.8,1.56,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,TRUE,TRUE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1833,NA,NA,NA,1.09,1.72,NA,0.75,NA,2.83,3.73,4.68,NA,2.39,NA,1.7,NA,1.1,0.64,0.86,1.45,NA,NA,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,TRUE,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1834,NA,NA,NA,0.95,1.31,0.75,0.62,5.4,2.62,1.56,2.32,NA,1.95,NA,1.5,NA,0.74,0.42,0.78,0.73,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1835,NA,NA,NA,0.87,1.47,1.27,0.68,1.95,2.34,1.3,2.04,NA,1.94,NA,1.9,NA,0.88,0.58,0.94,0.72,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1836,NA,NA,NA,1.44,1.89,1.35,0.99,3.08,3.01,1.86,3.58,NA,1.77,NA,2.29,NA,0.99,0.64,1.13,0.57,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1837,NA,NA,NA,1.4,1.59,1.12,1.07,3.67,2.82,2.36,3.68,NA,1.65,NA,2.14,NA,0.89,0.92,1.19,0.78,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1838,NA,NA,NA,1.53,1.46,1.1,1.06,3.43,2.89,2.51,3.05,NA,1.55,NA,1.76,NA,0.82,1.05,1.03,1.85,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1839,NA,NA,NA,1.34,1.64,1.27,0.99,3.02,3.17,2.62,2.31,NA,1.7,NA,1.73,NA,0.78,1.02,1.05,1.84,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1840,NA,NA,NA,1.21,1.7,1.54,0.97,2.94,2.87,2.18,2.11,NA,1.73,NA,1.92,NA,1.04,1.05,1.34,1.62,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1841,NA,0.51,NA,0.11,0.41,0.35,0.27,0.49,0.32,0.36,0.31,NA,0.58,NA,0.46,NA,0.17,0.23,0.41,0.25,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1842,NA,1.19,NA,0.65,1.3,0.88,0.55,1.53,1.72,1.43,1.09,NA,1.19,NA,0.97,NA,0.72,0.45,0.9,0.81,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1843,NA,0.88,NA,0.38,0.92,0.55,0.4,0.95,1.22,0.74,0.61,NA,0.85,NA,0.88,NA,0.53,0.21,0.59,0.43,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1844,NA,1.11,NA,0.63,1.49,0.92,0.55,1.66,1.74,1.46,1.07,NA,1.25,NA,1.7,NA,0.8,0.56,0.89,1.19,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1845,NA,0.66,NA,0.42,0.98,0.59,0.49,1.15,1.59,1.49,0.8,NA,0.59,1.03,1.36,NA,0.77,0.25,0.59,0.49,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1846,NA,1.62,2.22,0.82,1.72,0.75,0.56,1.92,2.19,2.68,1.56,NA,1.2,1.63,2.14,NA,1.39,0.77,0.88,1,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1847,NA,1.43,1.58,0.57,1.37,0.42,0.36,1.61,1.63,1.9,1.1,NA,0.81,1.18,1.27,NA,1.06,0.48,0.71,0.7,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1848,NA,1.21,1.54,0.58,1.26,0.67,0.51,1.26,1.59,1.67,1.4,NA,0.82,1.07,1.52,NA,1.16,0.48,0.88,0.73,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1849,NA,1.27,1.49,0.57,1.03,0.45,0.45,1.03,1.28,1.68,1.24,NA,0.65,0.85,1.01,NA,0.96,0.48,0.82,0.78,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1850,NA,1.54,2.1,1.3,1.5,0.45,0.92,2.09,2.35,2.92,2.06,NA,1.15,1.56,1.51,NA,2.17,0.92,0.98,1.51,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1851,NA,1.03,1.58,1.02,1.28,0.39,0.91,1.27,1.73,1.92,1.57,NA,0.96,1.24,1.58,NA,1.48,0.6,0.77,1.03,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1852,NA,1.6,2.14,1.34,1.38,0.39,0.83,1.51,2.39,2.56,1.65,1.08,1.17,1.54,2.15,NA,2.01,0.86,0.97,1.58,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1853,NA,2.47,2.53,1.49,1.73,0.62,1.01,1.78,2.52,2.66,2.86,1.12,1.64,2.29,2.8,NA,2.49,1.15,1.05,2.73,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1854,NA,2.27,2,1.3,2.28,0.81,0.86,1.96,2.83,3.47,4.05,0.7,2.24,2.38,2.15,NA,2.65,1.14,0.89,2.5,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1855,NA,1.77,1.99,1.31,2.3,0.75,0.95,2.35,3.13,3.39,4.18,1.06,2.23,2.2,2.38,NA,3.15,1.25,0.94,2.3,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE
1856,NA,0.88,1.18,0.91,1.24,0.76,0.63,1.31,1.54,1.74,2.11,0.6,1.3,1.46,1.37,NA,1.35,0.55,0.5,0.96,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1857,NA,0.05,0.2,0.17,0.18,0.48,0.16,0.27,0.28,0.44,0.62,0.12,0.26,0.4,0.32,NA,0.16,0.09,0.14,0.15,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1858,NA,1.37,1.75,1.11,0.98,0.63,0.7,1.21,1.43,1.66,1.6,1.17,1.31,1.22,1.32,NA,1.37,0.71,0.74,1.1,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1859,NA,2.06,1.53,1.05,1.15,0.8,0.78,1.61,1.86,1.4,1.91,0.97,1.56,1.26,1.5,NA,1.07,0.8,0.59,1.22,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1860,NA,1.35,1.22,0.67,0.98,0.68,0.74,0.96,1.63,0.8,1.87,0.61,1.12,0.98,1.2,NA,0.83,0.46,0.48,0.58,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1861,NA,1.53,2.1,0.65,1.24,0.86,0.92,1.36,1.96,1.11,1.75,0.57,1.31,1.1,1.63,NA,1.06,0.69,0.73,0.61,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1862,NA,2.08,2.84,0.9,1.46,1.2,1.09,1.36,2.28,1.75,2.06,1.04,1.43,1.3,1.94,NA,1.19,0.87,1.07,0.86,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1863,NA,1.13,1.47,0.58,0.85,0.55,0.69,0.8,1.33,0.82,1.26,0.75,0.86,0.84,0.84,NA,0.73,0.44,0.55,0.4,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1864,NA,1.5,1.34,0.63,1,0.68,0.6,0.61,1.81,1.19,1.2,0.91,1.31,1.1,1.05,NA,1.01,0.49,0.64,0.53,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1865,NA,1.6,1.94,0.8,1.24,0.91,0.81,1.3,2.44,2.96,1.98,0.89,1.47,1.42,1.59,NA,1.36,0.73,0.78,0.88,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1866,NA,2.11,2.46,1.05,1.4,1.15,1.05,1.78,3.55,3.35,2.26,1.92,1.37,2.28,2.23,NA,1.35,0.98,1.21,1.04,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1867,NA,1.97,2,0.77,1.29,0.79,0.85,1.59,2.61,2.41,1.86,1.58,1.32,2.07,1.91,NA,1.46,0.94,1.16,0.96,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1868,2.02,2.97,3.49,1.28,1.8,1.38,1.19,2.11,3.51,2.69,3.15,2.66,2.7,2.88,3.21,NA,2.53,1.47,1.92,1.12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1869,1.69,2.43,3.13,1.15,1.87,1.22,1.01,1.68,2.75,2.19,2.64,1.72,2.21,2.01,2.33,3.77,2.23,1.29,1.4,1.49,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1870,1.35,1.63,2.59,0.74,1.38,0.95,0.78,0.96,1.66,1.58,1.45,1.25,1.47,1.13,1.41,2.18,1.43,0.83,0.96,0.95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1871,1.71,1.5,2.99,1.01,1.48,1.12,0.83,1.25,1.93,1.77,1.83,1.74,1.95,1.6,2,3.57,1.91,1.07,1.21,1.32,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1872,1.36,1.12,3.05,0.68,0.96,0.63,0.63,1.05,1.88,1.91,1.71,1.23,1.3,1.1,1.29,2.94,1.78,0.72,0.53,0.98,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1873,1.5,1.33,2.8,0.78,1.4,0.73,0.69,1.16,1.96,1.82,1.81,1.11,1.48,1.04,1.8,3.31,1.92,0.91,0.8,1.15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1874,1.51,2,3.08,0.92,1.65,0.86,0.93,1.28,1.95,1.87,1.76,1.48,1.61,1.6,2.07,4.01,1.84,1.15,0.99,1.59,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
