age_CE,AZP0102B_raw,AZP0102C_raw,AZP0103C_raw,AZP0103B_raw,AZP0104B_raw,AZP0104A_raw,AZP0104C_raw,AZP0105C_raw,AZP0105B_raw,AZP0106B_raw,AZP0106A_raw,AZP0108A_raw,AZP0108B_raw,AZP0112A_raw,AZP0113A_raw,AZP0113B_raw,AZP0115B_raw,AZP0102B_raw_outlier_flag,AZP0102C_raw_outlier_flag,AZP0103C_raw_outlier_flag,AZP0103B_raw_outlier_flag,AZP0104B_raw_outlier_flag,AZP0104A_raw_outlier_flag,AZP0104C_raw_outlier_flag,AZP0105C_raw_outlier_flag,AZP0105B_raw_outlier_flag,AZP0106B_raw_outlier_flag,AZP0106A_raw_outlier_flag,AZP0108A_raw_outlier_flag,AZP0108B_raw_outlier_flag,AZP0112A_raw_outlier_flag,AZP0113A_raw_outlier_flag,AZP0113B_raw_outlier_flag,AZP0115B_raw_outlier_flag
1963,0.456,0.395,0.313,0.561,0.088,0.235,0.085,0.181,0.098,0.2,0.124,0.074,0.074,0.061,0.076,0.119,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1964,0.724,0.677,0.354,0.721,0.241,0.474,0.224,0.537,0.426,0.593,0.418,0.336,0.335,0.21,0.287,0.199,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1965,1.211,1.337,0.747,1.155,0.505,0.727,0.345,0.177,0.163,0.481,0.341,0.467,0.459,0.375,0.196,0.307,0.574,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1966,1.047,1.116,0.868,1.047,0.509,0.743,0.348,0.324,0.059,0.72,0.624,0.483,0.475,0.337,0.296,0.419,0.434,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1967,1.085,1.093,0.962,1.367,0.528,0.813,0.5,0.353,0.193,0.647,0.432,0.457,0.471,0.57,0.376,0.52,0.375,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1968,1.316,1.258,0.735,1.51,0.608,0.862,0.458,0.307,0.166,0.523,0.339,0.327,0.311,0.533,0.305,0.456,0.349,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1969,1.108,1.198,0.553,1.495,0.739,0.91,0.608,0.38,0.202,1.075,0.754,0.449,0.462,0.477,0.313,0.555,0.577,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1970,0.898,0.891,0.51,0.992,0.49,0.58,0.491,0.225,0.241,0.505,0.367,0.278,0.233,0.338,0.156,0.325,0.285,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1971,0.767,0.769,0.617,1.02,0.501,0.541,0.5,0.224,0.131,0.677,0.322,0.286,0.305,0.287,0.197,0.386,0.368,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1972,0.616,0.609,0.512,0.991,0.688,0.711,0.4,0.301,0.1,0.972,0.523,0.41,0.392,0.552,0.173,0.325,0.188,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1973,0.835,0.836,0.616,0.836,0.945,0.892,0.797,0.568,0.295,0.856,0.491,0.644,0.643,0.56,0.221,0.427,0.519,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1974,0.528,0.564,0.152,0.328,0.371,0.338,0.366,0.216,0.133,0.43,0.189,0.095,0.096,0.19,0.033,0.056,0.226,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1975,0.77,0.915,0.329,0.624,0.578,0.629,0.677,0.261,0.248,0.775,0.527,0.438,0.435,0.499,0.23,0.385,0.522,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1976,0.88,1.078,0.655,1.317,0.856,0.909,0.745,0.537,0.423,0.853,0.567,0.503,0.502,0.688,0.37,0.439,0.439,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1977,0.455,0.52,0.204,0.569,0.269,0.437,0.367,0.247,0.139,0.224,0.149,0.175,0.169,0.39,0.061,0.133,0.209,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1978,0.815,0.961,0.606,1,0.668,0.876,0.35,0.57,0.413,1.171,0.855,0.685,0.709,0.678,0.432,0.358,0.44,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1979,0.73,0.8,0.836,1.748,0.651,0.984,0.337,0.573,0.486,1.08,0.919,0.835,0.824,0.658,0.43,0.426,0.457,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1980,0.85,1.189,0.881,1.618,0.633,0.618,0.36,0.62,0.447,0.803,0.733,0.632,0.643,0.801,0.562,0.487,0.447,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1981,1.096,1.357,0.444,1.728,0.622,0.631,0.22,0.436,0.299,0.824,0.787,0.463,0.482,0.694,0.361,0.353,0.265,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1982,1.139,1.647,0.305,1.287,0.645,0.802,0.261,0.398,0.335,0.447,0.384,0.494,0.487,0.727,0.506,0.457,0.368,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1983,1.378,1.928,0.753,2.509,0.764,0.942,0.337,0.611,0.442,0.58,0.599,0.667,0.708,0.768,0.837,0.861,0.604,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
1984,1.335,1.56,0.746,2.066,0.591,0.493,0.169,0.509,0.249,0.451,0.574,0.519,0.55,0.545,0.505,0.6,0.35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,1.123,1.504,0.687,1.233,0.64,0.781,0.307,0.657,0.496,0.616,0.693,0.658,0.657,0.442,0.559,0.521,0.508,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1986,0.84,1.134,0.605,1.36,0.708,0.822,0.377,0.523,0.353,0.702,0.722,0.57,0.601,0.539,0.5,0.378,0.472,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1987,0.893,1.017,0.39,1.311,0.596,0.691,0.304,0.455,0.289,0.548,0.727,0.383,0.348,0.357,0.4,0.28,0.389,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1988,1.184,1.324,0.701,1.24,0.773,0.962,0.492,0.463,0.39,0.532,0.526,0.478,0.494,0.525,0.625,0.432,0.558,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1989,0.5,0.534,0.295,0.568,0.413,0.339,0.187,0.232,0.157,0.232,0.154,0.089,0.073,0.071,0.058,0.046,0.148,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1990,0.722,0.745,0.418,1.141,0.395,0.297,0.193,0.22,0.189,0.228,0.208,0.052,0.063,0.18,0.189,0.16,0.261,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1991,0.546,0.443,0.197,0.529,0.586,0.452,0.351,0.347,0.344,0.356,0.486,0.28,0.305,0.17,0.248,0.162,0.297,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1992,1.035,1.106,0.365,0.566,0.645,0.511,0.375,0.495,0.474,0.449,0.499,0.335,0.288,0.29,0.208,0.151,0.489,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1993,1.083,1.399,0.228,0.281,0.881,0.517,0.448,0.363,0.44,0.555,0.636,0.471,0.447,0.366,0.332,0.312,0.674,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1994,0.792,1.139,0.216,0.245,0.721,0.438,0.427,0.264,0.378,0.345,0.352,0.29,0.281,0.347,0.159,0.161,0.397,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1995,0.89,1.34,0.832,1.621,1.221,0.917,0.818,0.555,0.648,0.742,0.699,0.593,0.61,0.592,0.447,0.422,0.706,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1996,0.645,0.953,0.214,1.321,0.438,0.356,0.284,0.307,0.272,0.176,0.29,0.176,0.158,0.212,0.169,0.257,0.314,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1997,0.977,1.058,0.324,1.276,0.621,0.492,0.445,0.335,0.324,0.363,0.323,0.301,0.258,0.459,0.19,0.156,0.324,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1998,1.129,0.974,0.3,0.952,0.676,0.695,0.544,0.464,0.404,0.41,0.468,0.384,0.406,0.389,0.356,0.358,0.482,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1999,1.073,0.731,0.47,1.147,0.58,0.606,0.33,0.426,0.38,0.227,0.286,0.117,0.161,0.35,0.246,0.459,0.297,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000,0.632,0.452,0.168,0.51,0.338,0.284,0.194,0.271,0.191,0.046,0.123,0.075,0.068,0,0.024,0.042,0.16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2001,0.759,0.861,0.363,1.03,0.821,0.745,0.466,0.482,0.401,0.496,0.5,0.347,0.36,0.275,0.394,0.513,0.524,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2002,0.114,0.08,0,0,0.023,0,0,0,0,0,0,0,0,0,0,0,0.019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2003,0.372,0.359,0.441,0.857,0.425,0.425,0.259,0.378,0.254,0.201,0.32,0.057,0.049,0.098,0.088,0.156,0.366,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2004,0.404,0.475,0.146,0.382,0.325,0.457,0.159,0.243,0.236,0.195,0.296,0.04,0.052,0.044,0.06,0.097,0.225,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2005,0.791,0.704,0.445,0.645,0.828,0.786,0.495,0.52,0.417,0.668,0.643,0.431,0.39,0.417,0.315,0.341,0.653,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2006,0.601,0.538,0.171,0.691,0.539,0.499,0.451,0.275,0.222,0.34,0.308,0.177,0.178,0.163,0.137,0.147,0.369,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2007,0.57,0.383,0.043,0.372,0.266,0.277,0.173,0.141,0.163,0.28,0.231,0.146,0.147,0.163,0.108,0.151,0.207,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2008,0.806,0.686,0.326,1.129,0.694,0.688,0.445,0.361,0.385,0.526,0.573,0.306,0.324,0.24,0.303,0.409,0.521,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2009,0.789,0.753,0.65,1.115,0.712,0.706,0.533,0.49,0.43,0.585,0.569,0.348,0.347,0.295,0.423,0.561,0.527,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2010,0.823,0.813,0.685,0.936,0.757,0.63,0.561,0.537,0.429,0.666,0.634,0.434,0.398,0.295,0.305,0.405,0.489,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2011,0.84,0.949,0.985,1.13,1.171,0.828,0.724,0.592,0.454,0.784,0.819,0.465,0.487,0.381,0.585,0.561,0.56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2012,0.584,1.133,0.53,0.887,0.7,0.416,0.414,0.329,0.229,0.271,0.265,0.099,0.101,0.146,0.228,0.083,0.155,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,1.162,1.168,0.479,0.972,0.396,0.316,0.393,0.191,0.228,0.332,0.278,0.163,0.163,0.108,0.184,0.196,0.232,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2014,0.926,1.022,0.497,1.169,0.82,0.701,0.762,0.51,0.434,0.433,0.405,0.232,0.267,0.31,0.357,0.466,0.313,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
