"","years","Tag","Ring_width(mm)","Lat","Long","speciesfull","species"
"26",1992,"19C11",0.84,40.6,-105.4,"Populus tremuloides","POTR"
"27",1992,"19C111",0.84,39.4,-106.3,"Populus tremuloides","POTR"
"28",1992,"19C74",1.5,38.8,-106.3,"Populus tremuloides","POTR"
"29",1992,"110M55",2.47,48.3,-113.4,"Populus tremuloides","POTR"
"30",1992,"110C22",2.12,40.6,-105.5,"Populus tremuloides","POTR"
"31",1992,"110M91",2.8,45.7,-113.9,"Populus tremuloides","POTR"
"32",1992,"111M14",2.22,46.8,-110.8,"Populus tremuloides","POTR"
"33",1992,"111M23",2.25,46.8,-110.7,"Populus tremuloides","POTR"
"34",1992,"111M34",2.61,47,-110.8,"Populus tremuloides","POTR"
"35",1992,"112C115",2.75,39.4,-106.3,"Populus tremuloides","POTR"
"36",1992,"112C92",2.05,38.8,-106.4,"Populus tremuloides","POTR"
"37",1992,"112M121",1.89,44.9,-111.4,"Populus tremuloides","POTR"
"38",1992,"112M85",1.82,45.7,-114,"Populus tremuloides","POTR"
"39",1992,"113C65",2.67,38.5,-106.3,"Populus tremuloides","POTR"
"40",1992,"113M43",1.99,48.3,-113.4,"Populus tremuloides","POTR"
"41",1992,"114C83",2.12,38.8,-106.4,"Populus tremuloides","POTR"
"42",1992,"114M115",1.93,44.8,-111.2,"Populus tremuloides","POTR"
"43",1992,"115C62",3.27,38.5,-106.3,"Populus tremuloides","POTR"
"44",1992,"115C84",3.82,38.8,-106.4,"Populus tremuloides","POTR"
"45",1992,"115W23",2.88,44.8,-107.5,"Populus tremuloides","POTR"
"46",1992,"116W25",1.9,44.8,-107.5,"Populus tremuloides","POTR"
"47",1992,"21C165",3.2,40.6,-105.5,"Populus tremuloides","POTR"
"48",1992,"21M74",1.51,45.7,-114,"Populus tremuloides","POTR"
"49",1992,"21W51",1.26,42.7,-108.9,"Populus tremuloides","POTR"
"50",1992,"22C43",3.6,38.4,-105.4,"Populus tremuloides","POTR"
"51",1992,"22M101",1.74,45.4,-111.2,"Populus tremuloides","POTR"
"52",1992,"22W43",1.4,41.7,-108.9,"Populus tremuloides","POTR"
"53",1992,"23C153",3.8,40.4,-106.1,"Populus tremuloides","POTR"
"54",1992,"23M24",2.08,46.8,-110.7,"Populus tremuloides","POTR"
"55",1992,"23M53",2.56,48.3,-113.4,"Populus tremuloides","POTR"
"56",1992,"23M75",1.79,45.7,-114,"Populus tremuloides","POTR"
"57",1992,"23W33",0.85,42.7,-108.9,"Populus tremuloides","POTR"
"58",1992,"24C15",2.74,40.6,-105.4,"Populus tremuloides","POTR"
"59",1992,"24C103",2.75,39.4,-106.3,"Populus tremuloides","POTR"
"60",1992,"24C55",1.63,38.5,-105.4,"Populus tremuloides","POTR"
"61",1992,"24M105",3.81,45.4,-111.2,"Populus tremuloides","POTR"
"62",1992,"24M123",2.6,44.9,-111.4,"Populus tremuloides","POTR"
"63",1992,"24M31",6.06,47,-110.8,"Populus tremuloides","POTR"
"64",1992,"24M51",2.06,48.3,-113.4,"Populus tremuloides","POTR"
"65",1992,"24M91",1.96,45.7,-113.9,"Populus tremuloides","POTR"
"66",1992,"24M92",0.78,45.7,-113.9,"Populus tremuloides","POTR"
"67",1992,"25C12",2.05,40.6,-105.4,"Populus tremuloides","POTR"
"68",1992,"25C113",1.9,39.4,-106.3,"Populus tremuloides","POTR"
"69",1992,"25C83",1.44,38.8,-106.4,"Populus tremuloides","POTR"
"70",1992,"26C123",2.04,39.5,-106.4,"Populus tremuloides","POTR"
"71",1992,"26C23",2.11,40.6,-105.5,"Populus tremuloides","POTR"
"72",1992,"27C42",3.9,38.4,-105.4,"Populus tremuloides","POTR"
"73",1992,"27M11",2.88,46.8,-110.8,"Populus tremuloides","POTR"
"74",1992,"27M33",2.23,47,-110.8,"Populus tremuloides","POTR"
"75",1992,"27W44",2.85,41.7,-108.9,"Populus tremuloides","POTR"
"76",1992,"28C145",2.86,40.4,-106.1,"Populus tremuloides","POTR"
"77",1992,"28M64",1.95,46.7,-114.5,"Populus tremuloides","POTR"
"78",1992,"28M92",1.7,45.7,-113.9,"Populus tremuloides","POTR"
"79",1992,"28W11",1.87,44.8,-107.4,"Populus tremuloides","POTR"
"80",1992,"28W25",1.02,44.8,-107.5,"Populus tremuloides","POTR"
"81",1992,"29M34",3.23,47,-110.8,"Populus tremuloides","POTR"
"82",1992,"210C23",1.1,40.6,-105.5,"Populus tremuloides","POTR"
"83",1992,"211C125",2.14,39.5,-106.4,"Populus tremuloides","POTR"
"84",1992,"211C154",1.86,40.4,-106.1,"Populus tremuloides","POTR"
"85",1992,"211W5A2",2.44,42.6,-108.8,"Populus tremuloides","POTR"
"86",1992,"212C92",2.47,38.8,-106.4,"Populus tremuloides","POTR"
"87",1992,"212M14",1.1,46.8,-110.8,"Populus tremuloides","POTR"
"88",1992,"213C112",0.86,39.4,-106.3,"Populus tremuloides","POTR"
"89",1992,"213M44",2.28,48.3,-113.4,"Populus tremuloides","POTR"
"90",1992,"213M84",1.2,45.7,-114,"Populus tremuloides","POTR"
"91",1992,"213W34",3.29,42.7,-108.9,"Populus tremuloides","POTR"
"92",1992,"215C103",2.34,39.4,-106.3,"Populus tremuloides","POTR"
"93",1992,"215C134",3.36,40.3,-106.1,"Populus tremuloides","POTR"
"94",1992,"215C54",2.69,38.5,-105.4,"Populus tremuloides","POTR"
"95",1992,"215M31",2.5,47,-110.8,"Populus tremuloides","POTR"
"96",1992,"215M62",1.75,46.7,-114.5,"Populus tremuloides","POTR"
"97",1992,"215W11",1.82,44.8,-107.4,"Populus tremuloides","POTR"
"98",1992,"216C112",2.08,39.4,-106.3,"Populus tremuloides","POTR"
"99",1992,"216C131",2.37,40.3,-106.1,"Populus tremuloides","POTR"
"100",1992,"216C84",2.1,38.8,-106.4,"Populus tremuloides","POTR"
"101",1992,"216M112",1.97,44.8,-111.2,"Populus tremuloides","POTR"
"102",1992,"216M24",1.82,46.8,-110.7,"Populus tremuloides","POTR"
"103",1992,"216M41",1.01,48.3,-113.4,"Populus tremuloides","POTR"
"104",1992,"216M82",2.37,45.7,-114,"Populus tremuloides","POTR"
"105",1992,"31C92",2.3,38.8,-106.4,"Populus tremuloides","POTR"
"106",1992,"32C11",2.07,40.6,-105.4,"Populus tremuloides","POTR"
"107",1992,"32C143",3.03,40.4,-106.1,"Populus tremuloides","POTR"
"108",1992,"32C22",3.11,40.6,-105.5,"Populus tremuloides","POTR"
"109",1992,"32W45",2.57,41.7,-108.9,"Populus tremuloides","POTR"
"110",1992,"33M111",1.65,44.8,-111.2,"Populus tremuloides","POTR"
"111",1992,"34C145",2.29,40.4,-106.1,"Populus tremuloides","POTR"
"112",1992,"34C151",1.99,40.4,-106.1,"Populus tremuloides","POTR"
"113",1992,"34M83",1.19,45.7,-114,"Populus tremuloides","POTR"
"114",1992,"35C111",1.23,39.4,-106.3,"Populus tremuloides","POTR"
"115",1992,"35C42",3.24,38.4,-105.4,"Populus tremuloides","POTR"
"116",1992,"35C81",0.94,38.8,-106.4,"Populus tremuloides","POTR"
"117",1992,"35M12",2.23,46.8,-110.8,"Populus tremuloides","POTR"
"118",1992,"35M22",0.59,46.8,-110.7,"Populus tremuloides","POTR"
"119",1992,"35M45",2.24,48.3,-113.4,"Populus tremuloides","POTR"
"120",1992,"35W42",2.56,41.7,-108.9,"Populus tremuloides","POTR"
"121",1992,"36M12",1.82,46.8,-110.8,"Populus tremuloides","POTR"
"122",1992,"36M105",1.89,45.4,-111.2,"Populus tremuloides","POTR"
"123",1992,"36M22",2.73,46.8,-110.7,"Populus tremuloides","POTR"
"124",1992,"36M52",2.74,48.3,-113.4,"Populus tremuloides","POTR"
"125",1992,"36M71",1.9,45.7,-114,"Populus tremuloides","POTR"
"126",1992,"36M73",1.77,45.7,-114,"Populus tremuloides","POTR"
"127",1992,"36W5A1",2.13,42.6,-108.8,"Populus tremuloides","POTR"
"128",1992,"37C113",2.38,39.4,-106.3,"Populus tremuloides","POTR"
"129",1992,"38C25",3.37,40.6,-105.5,"Populus tremuloides","POTR"
"130",1992,"38C43",1.86,38.4,-105.4,"Populus tremuloides","POTR"
"131",1992,"38M115",2.79,44.8,-111.2,"Populus tremuloides","POTR"
"132",1992,"38M75",2.11,45.7,-114,"Populus tremuloides","POTR"
"133",1992,"39C34",2.64,37.6,-105.2,"Populus tremuloides","POTR"
"134",1992,"39M122",2.14,44.9,-111.4,"Populus tremuloides","POTR"
"135",1992,"39M31",1.77,47,-110.8,"Populus tremuloides","POTR"
"136",1992,"39M91",2.37,45.7,-113.9,"Populus tremuloides","POTR"
"137",1992,"310C122",3.03,39.5,-106.4,"Populus tremuloides","POTR"
"138",1992,"310C32",2.25,37.6,-105.2,"Populus tremuloides","POTR"
"139",1992,"310W31",1.49,42.7,-108.9,"Populus tremuloides","POTR"
"140",1992,"311C123",1.71,39.5,-106.4,"Populus tremuloides","POTR"
"141",1992,"311C134",1.45,40.3,-106.1,"Populus tremuloides","POTR"
"142",1992,"311C83",2.1,38.8,-106.4,"Populus tremuloides","POTR"
"143",1992,"311W41",1.78,41.7,-108.9,"Populus tremuloides","POTR"
"144",1992,"31212W21",1.97,44.8,-107.5,"Populus tremuloides","POTR"
"145",1992,"3123W21",2.33,44.8,-107.5,"Populus tremuloides","POTR"
"146",1992,"312C103",3.26,39.4,-106.3,"Populus tremuloides","POTR"
"147",1992,"312C63",1.32,38.5,-106.3,"Populus tremuloides","POTR"
"148",1992,"312C73",1.79,38.8,-106.3,"Populus tremuloides","POTR"
"149",1992,"312M41",3.07,48.3,-113.4,"Populus tremuloides","POTR"
"150",1992,"312W51",1.97,42.7,-108.9,"Populus tremuloides","POTR"
"151",1992,"313C152",2.54,40.4,-106.1,"Populus tremuloides","POTR"
"152",1992,"313C92",1.88,38.8,-106.4,"Populus tremuloides","POTR"
"153",1992,"313M64",1.3,46.7,-114.5,"Populus tremuloides","POTR"
"154",1992,"314C131",1.89,40.3,-106.1,"Populus tremuloides","POTR"
"155",1992,"314C161",2.82,40.6,-105.5,"Populus tremuloides","POTR"
"156",1992,"314C72",2.02,38.8,-106.3,"Populus tremuloides","POTR"
"157",1992,"314M61",2.43,46.7,-114.5,"Populus tremuloides","POTR"
"158",1992,"314W31",1.42,42.7,-108.9,"Populus tremuloides","POTR"
"159",1992,"315M23",3.42,46.8,-110.7,"Populus tremuloides","POTR"
"160",1992,"315W5A3",1.2,42.6,-108.8,"Populus tremuloides","POTR"
"161",1993,"11C103",1.78,39.4,-106.3,"Populus tremuloides","POTR"
"162",1993,"11C123",3.11,39.5,-106.4,"Populus tremuloides","POTR"
"163",1993,"11C135",3.37,40.3,-106.1,"Populus tremuloides","POTR"
"164",1993,"11C142",2.67,40.4,-106.1,"Populus tremuloides","POTR"
"165",1993,"11C34",2.12,37.6,-105.2,"Populus tremuloides","POTR"
"166",1993,"11C55",2.42,38.5,-105.4,"Populus tremuloides","POTR"
"167",1993,"11M45",3.09,48.3,-113.4,"Populus tremuloides","POTR"
"168",1993,"11M52",1.48,48.3,-113.4,"Populus tremuloides","POTR"
"169",1993,"11M73",1.7,45.7,-114,"Populus tremuloides","POTR"
"170",1993,"11M84",2.56,45.7,-114,"Populus tremuloides","POTR"
"171",1993,"12C22",2.86,40.6,-105.5,"Populus tremuloides","POTR"
"172",1993,"12C73",2.01,38.8,-106.3,"Populus tremuloides","POTR"
"173",1993,"12W51",1.61,42.7,-108.9,"Populus tremuloides","POTR"
"174",1993,"13C154",2.13,40.4,-106.1,"Populus tremuloides","POTR"
"175",1993,"14M91",2.03,45.7,-113.9,"Populus tremuloides","POTR"
"176",1993,"15C165",2.41,40.6,-105.5,"Populus tremuloides","POTR"
"177",1993,"15C34",2.42,37.6,-105.2,"Populus tremuloides","POTR"
"178",1993,"15M113",2.71,44.8,-111.2,"Populus tremuloides","POTR"
"179",1993,"15M73",2.03,45.7,-114,"Populus tremuloides","POTR"
"180",1993,"16M62",3.43,46.7,-114.5,"Populus tremuloides","POTR"
"181",1993,"17W44",2.18,41.7,-108.9,"Populus tremuloides","POTR"
"182",1993,"18C101",3.5,39.4,-106.3,"Populus tremuloides","POTR"
"183",1993,"18C153",2.59,40.4,-106.1,"Populus tremuloides","POTR"
"184",1993,"18M11",0.96,46.8,-110.8,"Populus tremuloides","POTR"
"185",1993,"18M122",2.82,44.9,-111.4,"Populus tremuloides","POTR"
"186",1993,"19C11",1.36,40.6,-105.4,"Populus tremuloides","POTR"
"187",1993,"19C111",1.36,39.4,-106.3,"Populus tremuloides","POTR"
"188",1993,"19C74",1.69,38.8,-106.3,"Populus tremuloides","POTR"
"189",1993,"110M55",2.56,48.3,-113.4,"Populus tremuloides","POTR"
"190",1993,"110C22",2.56,40.6,-105.5,"Populus tremuloides","POTR"
"191",1993,"110M91",2.1,45.7,-113.9,"Populus tremuloides","POTR"
"192",1993,"111M14",2.5,46.8,-110.8,"Populus tremuloides","POTR"
"193",1993,"111M23",2.85,46.8,-110.7,"Populus tremuloides","POTR"
"194",1993,"111M34",3.2,47,-110.8,"Populus tremuloides","POTR"
"195",1993,"112C115",2.94,39.4,-106.3,"Populus tremuloides","POTR"
"196",1993,"112C92",2.82,38.8,-106.4,"Populus tremuloides","POTR"
"197",1993,"112M121",2.08,44.9,-111.4,"Populus tremuloides","POTR"
"198",1993,"112M85",2.1,45.7,-114,"Populus tremuloides","POTR"
"199",1993,"113C65",2.01,38.5,-106.3,"Populus tremuloides","POTR"
"200",1993,"113M43",2.58,48.3,-113.4,"Populus tremuloides","POTR"
"201",1993,"114C83",2.82,38.8,-106.4,"Populus tremuloides","POTR"
"202",1993,"114M115",1.23,44.8,-111.2,"Populus tremuloides","POTR"
"203",1993,"115C62",2.63,38.5,-106.3,"Populus tremuloides","POTR"
"204",1993,"115C84",3.4,38.8,-106.4,"Populus tremuloides","POTR"
"205",1993,"115W23",3.11,44.8,-107.5,"Populus tremuloides","POTR"
"206",1993,"116W25",1.55,44.8,-107.5,"Populus tremuloides","POTR"
"207",1993,"21C165",3.87,40.6,-105.5,"Populus tremuloides","POTR"
"208",1993,"21M74",1.88,45.7,-114,"Populus tremuloides","POTR"
"209",1993,"21W51",1.5,42.7,-108.9,"Populus tremuloides","POTR"
"210",1993,"22C43",2.88,38.4,-105.4,"Populus tremuloides","POTR"
"211",1993,"22M101",2.18,45.4,-111.2,"Populus tremuloides","POTR"
"212",1993,"22W43",2.16,41.7,-108.9,"Populus tremuloides","POTR"
"213",1993,"23C153",3.3,40.4,-106.1,"Populus tremuloides","POTR"
"214",1993,"23M24",2.72,46.8,-110.7,"Populus tremuloides","POTR"
"215",1993,"23M53",2.14,48.3,-113.4,"Populus tremuloides","POTR"
"216",1993,"23M75",2.47,45.7,-114,"Populus tremuloides","POTR"
"217",1993,"23W33",1.74,42.7,-108.9,"Populus tremuloides","POTR"
"218",1993,"24C15",3.23,40.6,-105.4,"Populus tremuloides","POTR"
"219",1993,"24C103",3.21,39.4,-106.3,"Populus tremuloides","POTR"
"220",1993,"24C55",2.52,38.5,-105.4,"Populus tremuloides","POTR"
"221",1993,"24M105",4.3,45.4,-111.2,"Populus tremuloides","POTR"
"222",1993,"24M123",3.4,44.9,-111.4,"Populus tremuloides","POTR"
"223",1993,"24M31",4.04,47,-110.8,"Populus tremuloides","POTR"
"224",1993,"24M51",2.49,48.3,-113.4,"Populus tremuloides","POTR"
"225",1993,"24M91",2.77,45.7,-113.9,"Populus tremuloides","POTR"
"226",1993,"24M92",1.04,45.7,-113.9,"Populus tremuloides","POTR"
"227",1993,"25C12",1.96,40.6,-105.4,"Populus tremuloides","POTR"
"228",1993,"25C113",2.62,39.4,-106.3,"Populus tremuloides","POTR"
"229",1993,"25C83",1.87,38.8,-106.4,"Populus tremuloides","POTR"
"230",1993,"26C123",2.53,39.5,-106.4,"Populus tremuloides","POTR"
"231",1993,"26C23",2.88,40.6,-105.5,"Populus tremuloides","POTR"
"232",1993,"27C42",3.38,38.4,-105.4,"Populus tremuloides","POTR"
"233",1993,"27M11",2.64,46.8,-110.8,"Populus tremuloides","POTR"
"234",1993,"27M33",2.07,47,-110.8,"Populus tremuloides","POTR"
"235",1993,"27W44",2.85,41.7,-108.9,"Populus tremuloides","POTR"
"236",1993,"28C145",3.24,40.4,-106.1,"Populus tremuloides","POTR"
"237",1993,"28M64",2.5,46.7,-114.5,"Populus tremuloides","POTR"
"238",1993,"28M92",2.03,45.7,-113.9,"Populus tremuloides","POTR"
"239",1993,"28W11",1.91,44.8,-107.4,"Populus tremuloides","POTR"
"240",1993,"28W25",1.57,44.8,-107.5,"Populus tremuloides","POTR"
"241",1993,"29M34",2.65,47,-110.8,"Populus tremuloides","POTR"
"242",1993,"210C23",1.5,40.6,-105.5,"Populus tremuloides","POTR"
"243",1993,"211C125",2.21,39.5,-106.4,"Populus tremuloides","POTR"
"244",1993,"211C154",1.81,40.4,-106.1,"Populus tremuloides","POTR"
"245",1993,"211W5A2",2.44,42.6,-108.8,"Populus tremuloides","POTR"
"246",1993,"212C92",3.1,38.8,-106.4,"Populus tremuloides","POTR"
"247",1993,"212M14",1.72,46.8,-110.8,"Populus tremuloides","POTR"
"248",1993,"213C112",1.35,39.4,-106.3,"Populus tremuloides","POTR"
"249",1993,"213M44",2.61,48.3,-113.4,"Populus tremuloides","POTR"
"250",1993,"213M84",2.22,45.7,-114,"Populus tremuloides","POTR"
"251",1993,"213W34",3.45,42.7,-108.9,"Populus tremuloides","POTR"
"252",1993,"215C103",2.82,39.4,-106.3,"Populus tremuloides","POTR"
"253",1993,"215C134",3.48,40.3,-106.1,"Populus tremuloides","POTR"
"254",1993,"215C54",2.9,38.5,-105.4,"Populus tremuloides","POTR"
"255",1993,"215M31",2.79,47,-110.8,"Populus tremuloides","POTR"
"256",1993,"215M62",2.59,46.7,-114.5,"Populus tremuloides","POTR"
"257",1993,"215W11",2.44,44.8,-107.4,"Populus tremuloides","POTR"
"258",1993,"216C112",2.21,39.4,-106.3,"Populus tremuloides","POTR"
"259",1993,"216C131",2.71,40.3,-106.1,"Populus tremuloides","POTR"
"260",1993,"216C84",2.24,38.8,-106.4,"Populus tremuloides","POTR"
"261",1993,"216M112",2.06,44.8,-111.2,"Populus tremuloides","POTR"
"262",1993,"216M24",1.99,46.8,-110.7,"Populus tremuloides","POTR"
"263",1993,"216M41",2.22,48.3,-113.4,"Populus tremuloides","POTR"
"264",1993,"216M82",2.71,45.7,-114,"Populus tremuloides","POTR"
"265",1993,"31C92",2.53,38.8,-106.4,"Populus tremuloides","POTR"
"266",1993,"32C11",2.54,40.6,-105.4,"Populus tremuloides","POTR"
"267",1993,"32C143",3.75,40.4,-106.1,"Populus tremuloides","POTR"
"268",1993,"32C22",3.75,40.6,-105.5,"Populus tremuloides","POTR"
"269",1993,"32W45",2.76,41.7,-108.9,"Populus tremuloides","POTR"
"270",1993,"33M111",1.99,44.8,-111.2,"Populus tremuloides","POTR"
"271",1993,"34C145",2.53,40.4,-106.1,"Populus tremuloides","POTR"
"272",1993,"34C151",2.55,40.4,-106.1,"Populus tremuloides","POTR"
"273",1993,"34M83",1.38,45.7,-114,"Populus tremuloides","POTR"
"274",1993,"35C111",1.25,39.4,-106.3,"Populus tremuloides","POTR"
"275",1993,"35C42",3.49,38.4,-105.4,"Populus tremuloides","POTR"
"276",1993,"35C81",1.02,38.8,-106.4,"Populus tremuloides","POTR"
"277",1993,"35M12",2.6,46.8,-110.8,"Populus tremuloides","POTR"
"278",1993,"35M22",1.4,46.8,-110.7,"Populus tremuloides","POTR"
"279",1993,"35M45",2.39,48.3,-113.4,"Populus tremuloides","POTR"
"280",1993,"35W42",3.14,41.7,-108.9,"Populus tremuloides","POTR"
"281",1993,"36M12",2.24,46.8,-110.8,"Populus tremuloides","POTR"
"282",1993,"36M105",2.72,45.4,-111.2,"Populus tremuloides","POTR"
"283",1993,"36M22",2.96,46.8,-110.7,"Populus tremuloides","POTR"
"284",1993,"36M52",3.53,48.3,-113.4,"Populus tremuloides","POTR"
"285",1993,"36M71",2.07,45.7,-114,"Populus tremuloides","POTR"
"286",1993,"36M73",2.12,45.7,-114,"Populus tremuloides","POTR"
"287",1993,"36W5A1",2.27,42.6,-108.8,"Populus tremuloides","POTR"
"288",1993,"37C113",2.94,39.4,-106.3,"Populus tremuloides","POTR"
"289",1993,"38C25",3.51,40.6,-105.5,"Populus tremuloides","POTR"
"290",1993,"38C43",1.82,38.4,-105.4,"Populus tremuloides","POTR"
"291",1993,"38M115",3.17,44.8,-111.2,"Populus tremuloides","POTR"
"292",1993,"38M75",2.24,45.7,-114,"Populus tremuloides","POTR"
"293",1993,"39C34",3.01,37.6,-105.2,"Populus tremuloides","POTR"
"294",1993,"39M122",2.13,44.9,-111.4,"Populus tremuloides","POTR"
"295",1993,"39M31",1.88,47,-110.8,"Populus tremuloides","POTR"
"296",1993,"39M91",2.54,45.7,-113.9,"Populus tremuloides","POTR"
"297",1993,"310C122",2.63,39.5,-106.4,"Populus tremuloides","POTR"
"298",1993,"310C32",2.31,37.6,-105.2,"Populus tremuloides","POTR"
"299",1993,"310W31",2.06,42.7,-108.9,"Populus tremuloides","POTR"
"300",1993,"311C123",1.94,39.5,-106.4,"Populus tremuloides","POTR"
"301",1993,"311C134",2.84,40.3,-106.1,"Populus tremuloides","POTR"
"302",1993,"311C83",2.06,38.8,-106.4,"Populus tremuloides","POTR"
"303",1993,"311W41",2.06,41.7,-108.9,"Populus tremuloides","POTR"
"304",1993,"31212W21",2.91,44.8,-107.5,"Populus tremuloides","POTR"
"305",1993,"3123W21",2.69,44.8,-107.5,"Populus tremuloides","POTR"
"306",1993,"312C103",3.36,39.4,-106.3,"Populus tremuloides","POTR"
"307",1993,"312C63",2.17,38.5,-106.3,"Populus tremuloides","POTR"
"308",1993,"312C73",2.69,38.8,-106.3,"Populus tremuloides","POTR"
"309",1993,"312M41",1.97,48.3,-113.4,"Populus tremuloides","POTR"
"310",1993,"312W51",2.97,42.7,-108.9,"Populus tremuloides","POTR"
"311",1993,"313C152",2.67,40.4,-106.1,"Populus tremuloides","POTR"
"312",1993,"313C92",1.91,38.8,-106.4,"Populus tremuloides","POTR"
"313",1993,"313M64",2.05,46.7,-114.5,"Populus tremuloides","POTR"
"314",1993,"314C131",2.21,40.3,-106.1,"Populus tremuloides","POTR"
"315",1993,"314C161",2.69,40.6,-105.5,"Populus tremuloides","POTR"
"316",1993,"314C72",2.72,38.8,-106.3,"Populus tremuloides","POTR"
"317",1993,"314M61",2.75,46.7,-114.5,"Populus tremuloides","POTR"
"318",1993,"314W31",1.8,42.7,-108.9,"Populus tremuloides","POTR"
"319",1993,"315M23",3.22,46.8,-110.7,"Populus tremuloides","POTR"
"320",1993,"315W5A3",2.32,42.6,-108.8,"Populus tremuloides","POTR"
"321",1994,"11C103",1.74,39.4,-106.3,"Populus tremuloides","POTR"
"322",1994,"11C123",1.86,39.5,-106.4,"Populus tremuloides","POTR"
"323",1994,"11C135",3.03,40.3,-106.1,"Populus tremuloides","POTR"
"324",1994,"11C142",2.23,40.4,-106.1,"Populus tremuloides","POTR"
"325",1994,"11C34",1.97,37.6,-105.2,"Populus tremuloides","POTR"
"326",1994,"11C55",2.13,38.5,-105.4,"Populus tremuloides","POTR"
"327",1994,"11M45",3.03,48.3,-113.4,"Populus tremuloides","POTR"
"328",1994,"11M52",1.18,48.3,-113.4,"Populus tremuloides","POTR"
"329",1994,"11M73",1.39,45.7,-114,"Populus tremuloides","POTR"
"330",1994,"11M84",2.39,45.7,-114,"Populus tremuloides","POTR"
"331",1994,"12C22",2.56,40.6,-105.5,"Populus tremuloides","POTR"
"332",1994,"12C73",2.15,38.8,-106.3,"Populus tremuloides","POTR"
"333",1994,"12W51",1.84,42.7,-108.9,"Populus tremuloides","POTR"
"334",1994,"13C154",2.33,40.4,-106.1,"Populus tremuloides","POTR"
"335",1994,"14M91",2.22,45.7,-113.9,"Populus tremuloides","POTR"
"336",1994,"15C165",2.37,40.6,-105.5,"Populus tremuloides","POTR"
"337",1994,"15C34",2.65,37.6,-105.2,"Populus tremuloides","POTR"
"338",1994,"15M113",2.37,44.8,-111.2,"Populus tremuloides","POTR"
"339",1994,"15M73",2.1,45.7,-114,"Populus tremuloides","POTR"
"340",1994,"16M62",3.26,46.7,-114.5,"Populus tremuloides","POTR"
"341",1994,"17W44",2.12,41.7,-108.9,"Populus tremuloides","POTR"
"342",1994,"18C101",3.14,39.4,-106.3,"Populus tremuloides","POTR"
"343",1994,"18C153",2.59,40.4,-106.1,"Populus tremuloides","POTR"
"344",1994,"18M11",0.43,46.8,-110.8,"Populus tremuloides","POTR"
"345",1994,"18M122",2.54,44.9,-111.4,"Populus tremuloides","POTR"
"346",1994,"19C11",1.59,40.6,-105.4,"Populus tremuloides","POTR"
"347",1994,"19C111",1.59,39.4,-106.3,"Populus tremuloides","POTR"
"348",1994,"19C74",1.63,38.8,-106.3,"Populus tremuloides","POTR"
"349",1994,"110M55",2.03,48.3,-113.4,"Populus tremuloides","POTR"
"350",1994,"110C22",2.37,40.6,-105.5,"Populus tremuloides","POTR"
"351",1994,"110M91",1.25,45.7,-113.9,"Populus tremuloides","POTR"
"352",1994,"111M14",2.04,46.8,-110.8,"Populus tremuloides","POTR"
"353",1994,"111M23",2.56,46.8,-110.7,"Populus tremuloides","POTR"
"354",1994,"111M34",2.53,47,-110.8,"Populus tremuloides","POTR"
"355",1994,"112C115",3.03,39.4,-106.3,"Populus tremuloides","POTR"
"356",1994,"112C92",2.98,38.8,-106.4,"Populus tremuloides","POTR"
"357",1994,"112M121",1.86,44.9,-111.4,"Populus tremuloides","POTR"
"358",1994,"112M85",2.24,45.7,-114,"Populus tremuloides","POTR"
