,pm-841,pm-889,pm-872,pr-919,pr-915,pr-924,pm-877,pm-861,mg-518,mg-492,mg-497,mg-505,mg-509,pm-882,pm-875,pm-871,pm-873,pm-845b,pm-874,pm-878,pm-859,pm-863,pm-865
1956,1555,697,828,1194,428,360,1025,1323,375,199,155,187,133,113,166,56,99,132,138,165,303,75,87
1955,1204,1288,764,606,843,416,576,852,269,161,132,172,120,104,154,44,90,80,125,102,204,87,109
1954,1751,1403,1059,929,744,1192,1119,1346,371,206,106,190,227,122,121,67,103,73,131,143,234,105,93
1953,2038,1358,1438,1129,852,921,1347,2473,367,233,157,185,207,174,194,70,134,153,156,212,300,136,76
1952,2199,1316,1211,750,751,1186,1327,2508,363,130,119,137,199,143,177,122,123,179,120,214,250,124,126
1951,2709,1793,1220,1178,978,1363,2046,3669,338,196,175,198,165,133,268,118,129,185,178,268,381,222,230
1950,2588,1838,1284,831,1360,1504,2107,2434,334,116,159,140,130,130,195,76,154,180,178,293,274,148,142
1949,3082,2723,1077,1285,1331,1517,1423,1821,348,129,148,118,145,121,156,70,175,178,161,177,248,114,123
1948,2722,1897,1540,1056,2056,1666,2181,1593,344,178,153,155,194,104,213,158,223,184,176,281,226,146,151
1947,2695,1597,1973,1009,1585,904,2622,1036,406,155,202,177,184,124,200,170,192,117,210,333,273,86,151
1946,2031,1347,1405,890,1157,681,2259,1388,399,130,157,216,209,55,172,111,164,128,198,188,208,65,100
1945,2424,1035,1118,991,1666,743,1897,1923,435,154,164,179,268,110,233,146,150,116,208,184,224,70,82
1944,2967,1160,1280,883,895,575,2274,2611,382,165,164,135,262,84,199,231,139,165,162,193,196,43,82
1943,2985,1274,2393,781,1785,1196,2089,2814,542,194,196,182,204,185,261,292,176,169,243,278,314,58,57
1942,2472,1444,2565,597,1744,1269,1836,2158,433,143,146,158,225,165,404,275,198,121,211,226,320,48,100
1941,3000,2881,2710,769,1329,1484,2668,2560,512,84,193,374,282,145,249,338,337,131,210,340,327,78,131
1940,2639,1892,2707,429,1021,888,3151,1898,425,98,158,199,290,129,286,345,274,115,189,356,221,56,111
1939,2828,1750,2602,674,1487,1142,.,2263,521,119,203,.,256,.,312,298,389,110,297,480,287,80,72
1938,2554,2817,2358,390,1652,1119,.,3823,432,113,144,.,282,.,263,.,.,104,298,455,316,151,82
1937,2397,3474,1578,348,1437,1357,.,2727,616,115,126,.,282,.,191,.,.,113,327,308,278,126,87
1936,1232,1666,1107,1104,1478,552,.,1717,428,96,102,.,250,.,191,.,.,158,261,259,195,104,63
1935,1349,902,.,1906,2062,900,.,1764,586,99,134,.,272,.,211,.,.,116,.,184,78,97,79
1934,2724,764,.,560,1280,406,.,2182,651,99,78,.,225,.,221,.,.,146,.,189,133,92,68
1933,3319,326,.,785,1031,989,.,1431,487,106,82,.,279,.,120,.,.,117,.,.,141,137,98
1932,2327,265,.,1038,1164,407,.,842,240,47,42,.,233,.,.,.,.,106,.,.,131,64,57
1931,1270,237,.,1021,815,371,.,1332,255,48,32,.,176,.,.,.,.,125,.,.,109,98,27
1930,953,175,.,1113,588,494,.,1299,270,47,35,.,186,.,.,.,.,97,.,.,82,59,55
1929,813,122,.,1296,728,312,.,1273,324,16,50,.,.,.,.,.,.,62,.,.,14,59,50
1928,1884,280,.,1070,1006,946,.,1646,183,27,15,.,.,.,.,.,.,115,.,.,.,124,45
1927,1690,325,.,1187,953,997,.,3145,.,22,27,.,.,.,.,.,.,80,.,.,.,148,116
1926,1289,245,.,412,728,.,.,1684,.,17,13,.,.,.,.,.,.,51,.,.,.,142,100
1925,1111,278,.,1133,1325,.,.,1158,.,36,52,.,.,.,.,.,.,96,.,.,.,195,92
1924,1460,343,.,2524,1455,.,.,1478,.,59,56,.,.,.,.,.,.,76,.,.,.,202,139
1923,1267,402,.,1737,1643,.,.,2116,.,36,60,.,.,.,.,.,.,60,.,.,.,232,118
1922,1769,244,.,1797,1151,.,.,2363,.,90,105,.,.,.,.,.,.,157,.,.,.,172,213
1921,1799,415,.,2056,1444,.,.,2265,.,78,132,.,.,.,.,.,.,207,.,.,.,288,276
1920,1672,207,.,1424,1181,.,.,1644,.,96,.,.,.,.,.,.,.,182,.,.,.,232,235
1919,1481,420,.,893,839,.,.,1691,.,91,.,.,.,.,.,.,.,128,.,.,.,292,345
1918,2011,240,.,1277,865,.,.,1591,.,88,.,.,.,.,.,.,.,122,.,.,.,182,276
1917,.,173,.,1107,1222,.,.,1130,.,.,.,.,.,.,.,.,.,86,.,.,.,103,.
1916,.,175,.,1077,884,.,.,792,.,.,.,.,.,.,.,.,.,84,.,.,.,28,.
1915,.,152,.,1134,962,.,.,209,.,.,.,.,.,.,.,.,.,74,.,.,.,55,.
1914,.,244,.,1227,397,.,.,278,.,.,.,.,.,.,.,.,.,74,.,.,.,56,.
1913,.,351,.,1144,556,.,.,303,.,.,.,.,.,.,.,.,.,81,.,.,.,64,.
1912,.,422,.,776,439,.,.,417,.,.,.,.,.,.,.,.,.,86,.,.,.,87,.
1911,.,521,.,998,432,.,.,150,.,.,.,.,.,.,.,.,.,111,.,.,.,88,.
1910,.,391,.,899,352,.,.,279,.,.,.,.,.,.,.,.,.,61,.,.,.,72,.
1909,.,348,.,825,393,.,.,392,.,.,.,.,.,.,.,.,.,.,.,.,.,61,.
1908,.,335,.,797,315,.,.,282,.,.,.,.,.,.,.,.,.,.,.,.,.,60,.
1907,.,687,.,781,708,.,.,699,.,.,.,.,.,.,.,.,.,.,.,.,.,61,.
1906,.,271,.,623,262,.,.,561,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1905,.,580,.,785,504,.,.,590,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1904,.,370,.,826,421,.,.,453,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1903,.,222,.,689,807,.,.,452,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1902,.,443,.,748,851,.,.,300,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1901,.,336,.,545,717,.,.,727,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1900,.,455,.,564,422,.,.,249,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1899,.,694,.,506,694,.,.,370,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1898,.,355,.,957,600,.,.,273,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1897,.,1014,.,822,578,.,.,402,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1896,.,613,.,844,281,.,.,206,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1895,.,206,.,375,220,.,.,120,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1894,.,142,.,320,122,.,.,76,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1893,.,1290,.,674,353,.,.,231,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1892,.,1642,.,523,494,.,.,238,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1891,.,1587,.,422,550,.,.,372,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1890,.,1508,.,839,647,.,.,382,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1889,.,2006,.,1220,786,.,.,259,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1888,.,1929,.,891,485,.,.,172,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1887,.,1326,.,1029,650,.,.,172,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1886,.,2092,.,995,508,.,.,241,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1885,.,1131,.,910,445,.,.,191,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1884,.,582,.,590,273,.,.,245,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1883,.,271,.,586,122,.,.,287,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1882,.,1603,.,1402,633,.,.,204,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1881,.,1627,.,1511,565,.,.,215,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1880,.,1595,.,1190,316,.,.,249,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1879,.,1728,.,1132,273,.,.,259,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1878,.,2251,.,1485,415,.,.,246,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1877,.,2359,.,.,635,.,.,263,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1876,.,2907,.,.,510,.,.,239,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1875,.,3239,.,.,642,.,.,154,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1874,.,3087,.,.,423,.,.,202,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1873,.,2863,.,.,611,.,.,216,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1872,.,2397,.,.,622,.,.,308,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1871,.,1620,.,.,396,.,.,266,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1870,.,1796,.,.,478,.,.,134,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1869,.,2430,.,.,597,.,.,344,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1868,.,2316,.,.,479,.,.,295,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1867,.,1238,.,.,516,.,.,665,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1866,.,1213,.,.,853,.,.,473,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1865,.,1674,.,.,1348,.,.,1303,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1864,.,1864,.,.,910,.,.,1234,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1863,.,1132,.,.,1482,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1862,.,830,.,.,1421,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1861,.,980,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1860,.,1154,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
