,CC-3,CC-6,CC-7,CC-8,CB-1,CB-7,CB-16,NN-1,NN-6,NN-2,NN-9,CC-19,NN-3
1977,990,1596,1279,633,2640,1387,1455,754,863,744,696,637,889
1976,997,1708,1404,564,2578,1450,1470,829,799,988,678,940,905
1975,1095,1631,1365,608,1787,1542,1492,614,862,887,671,748,1096
1974,1177,2027,1639,669,2140,1983,1810,1142,940,832,726,851,1031
1973,1032,1888,1416,659,2335,2027,1587,1270,986,1009,918,995,1042
1972,944,2003,1355,698,1684,1932,1476,1207,1005,1010,732,940,887
1971,760,1844,1623,551,1296,1714,1352,1184,1046,1020,459,879,960
1970,987,1803,1994,802,1779,1510,1592,1133,1141,1036,799,1160,989
1969,695,1731,1326,984,1548,1577,1511,1237,1241,929,792,1016,979
1968,890,1729,1433,899,1418,1682,1543,1145,1226,1252,1088,791,1110
1967,832,1071,997,666,1950,1513,1703,1221,1366,1039,1387,678,863
1966,1025,1698,1355,788,1839,1633,1476,913,1153,1009,1128,470,752
1965,1018,1862,1243,568,1524,1188,1693,1002,1024,1752,1612,574,706
1964,684,1606,988,566,1344,957,1642,578,525,853,856,491,570
1963,508,1048,1141,502,752,701,1255,325,545,968,755,543,559
1962,531,799,770,587,978,641,1442,394,425,964,632,528,733
1961,1039,1148,836,559,1341,689,2146,1014,958,1293,730,682,1116
1960,772,1151,899,695,2009,1202,2241,1148,940,1394,908,933,1135
1959,1035,1076,1027,692,1669,1080,2272,1223,961,1276,871,935,1201
1958,1100,829,875,681,2181,840,2414,701,938,1341,569,636,1009
1957,1128,989,941,793,2271,998,2858,1147,1112,1266,1012,787,1163
1956,1254,945,1037,923,2404,1036,3169,1165,1046,1268,963,528,1463
1955,1120,874,1081,626,2889,850,2737,934,967,1493,730,507,1283
1954,1365,1435,1361,775,2568,1031,2990,1019,997,1490,897,596,1038
1953,1162,1402,1323,811,2377,732,2847,1322,558,1347,970,606,943
1952,967,1238,909,678,2521,692,3269,1404,1012,1525,921,810,986
1951,1393,1409,1090,967,2847,828,3737,2101,1026,1704,1097,989,1222
1950,1190,891,1269,880,1898,792,2523,1861,951,1118,1259,1269,1212
1949,1094,1199,813,977,2189,1038,3053,2107,1321,1077,1522,1351,1264
1948,1417,1872,1084,973,2320,948,2833,2763,1342,1115,1518,1229,1251
1947,1148,1189,1002,902,2328,876,2887,2397,1114,1020,1716,1077,1039
1946,1300,1376,1205,844,2336,1250,2936,3559,1159,1361,2055,1288,1314
1945,1318,1109,1147,669,2382,1255,2355,2496,1087,1099,2143,1627,1462
1944,949,1119,1158,776,1864,1481,2318,1891,1028,1258,1526,1431,1105
1943,850,1152,1074,774,2237,.,3549,2580,918,1459,2231,1402,1977
1942,852,1662,1051,824,2047,.,4236,2728,1078,1378,2041,1298,1282
1941,896,1484,1019,696,2393,.,3996,3053,782,1219,2526,801,1132
1940,744,1365,1086,888,2525,.,2906,3671,932,1384,2427,1340,1415
1939,705,1190,1104,763,2692,.,2859,3344,691,1369,2103,1281,1113
1938,661,1578,1210,1052,3390,.,3277,3987,783,1871,2736,1883,1540
1937,708,1866,1126,1104,2955,.,4758,3882,1059,1782,2923,1732,1582
1936,559,2166,1549,1031,2771,.,4749,2425,719,1528,2686,1520,1540
1935,623,1784,1628,1003,2565,.,4855,3297,985,2623,3082,1667,1909
1934,474,1558,1287,762,2219,.,3870,3980,1169,2170,3575,1571,1730
1933,385,1410,1242,618,1858,.,3835,2216,913,1873,3472,956,1352
1932,413,1729,1214,717,2852,.,4461,1761,1107,2163,3799,843,1607
1931,379,1533,1117,787,2972,.,4462,1147,1103,2221,3323,840,1264
1930,310,820,1208,573,2924,.,4310,1460,1146,2235,3838,.,1648
1929,301,1241,1319,720,2745,.,4820,1458,1146,2517,4500,.,1662
1928,429,1231,1109,536,2636,.,6515,1563,1140,2140,3279,.,2241
1927,346,1943,978,544,2222,.,7037,1504,1024,2398,.,.,1856
1926,342,1715,651,386,2123,.,5195,1602,1337,1723,.,.,1404
1925,295,1900,704,491,1200,.,5773,1342,782,2059,.,.,1327
1924,540,1739,994,464,1745,.,5290,.,1546,3137,.,.,1778
1923,548,2438,1120,635,2504,.,4588,.,1799,3458,.,.,2607
1922,576,2014,1010,552,1929,.,4578,.,1449,3746,.,.,2473
1921,478,1229,583,398,998,.,4236,.,1444,2813,.,.,2462
1920,438,1299,782,529,1257,.,3635,.,1427,3111,.,.,2400
1919,591,1867,909,430,1753,.,3836,.,1045,4039,.,.,2675
1918,568,1296,778,308,1457,.,3535,.,868,3693,.,.,2316
1917,605,1282,982,402,.,.,3561,.,1255,4438,.,.,2966
1916,590,1395,930,476,.,.,3465,.,1287,5112,.,.,3029
1915,899,1799,795,546,.,.,3640,.,1056,4985,.,.,2589
1914,779,1305,608,362,.,.,3542,.,783,3625,.,.,1700
1913,965,1439,817,534,.,.,3999,.,1030,4715,.,.,2058
1912,1117,995,796,547,.,.,3814,.,933,4899,.,.,2025
1911,1151,775,549,458,.,.,3113,.,565,1588,.,.,1191
1910,1507,962,1089,528,.,.,3867,.,660,1409,.,.,1706
1909,1153,1075,910,718,.,.,3599,.,.,667,.,.,1846
1908,1435,1265,981,641,.,.,3433,.,.,.,.,.,1085
1907,1505,1703,1258,632,.,.,4134,.,.,.,.,.,1749
1906,1740,1353,1085,687,.,.,3554,.,.,.,.,.,1082
1905,1622,1810,1332,692,.,.,3614,.,.,.,.,.,1028
1904,1537,1604,992,711,.,.,3555,.,.,.,.,.,1029
1903,1717,1596,1299,559,.,.,3809,.,.,.,.,.,1023
1902,1443,1310,1107,675,.,.,.,.,.,.,.,.,823
1901,1139,1140,1042,405,.,.,.,.,.,.,.,.,720
1900,1141,872,1028,480,.,.,.,.,.,.,.,.,569
1899,.,.,961,444,.,.,.,.,.,.,.,.,419
1898,.,.,816,432,.,.,.,.,.,.,.,.,362
1897,.,.,1100,560,.,.,.,.,.,.,.,.,428
1896,.,.,1136,598,.,.,.,.,.,.,.,.,379
1895,.,.,997,374,.,.,.,.,.,.,.,.,354
1894,.,.,1240,614,.,.,.,.,.,.,.,.,407
1893,.,.,1312,644,.,.,.,.,.,.,.,.,543
1892,.,.,1360,614,.,.,.,.,.,.,.,.,521
1891,.,.,1150,513,.,.,.,.,.,.,.,.,526
1890,.,.,1312,660,.,.,.,.,.,.,.,.,808
1889,.,.,1528,980,.,.,.,.,.,.,.,.,1023
1888,.,.,1137,642,.,.,.,.,.,.,.,.,839
1887,.,.,874,475,.,.,.,.,.,.,.,.,681
1886,.,.,940,704,.,.,.,.,.,.,.,.,706
1885,.,.,992,535,.,.,.,.,.,.,.,.,854
1884,.,.,1085,581,.,.,.,.,.,.,.,.,646
1883,.,.,1207,663,.,.,.,.,.,.,.,.,592
1882,.,.,1254,751,.,.,.,.,.,.,.,.,1014
1881,.,.,1062,635,.,.,.,.,.,.,.,.,683
1880,.,.,1156,307,.,.,.,.,.,.,.,.,767
1879,.,.,886,348,.,.,.,.,.,.,.,.,.
1878,.,.,887,417,.,.,.,.,.,.,.,.,.
1877,.,.,535,330,.,.,.,.,.,.,.,.,.
1876,.,.,741,496,.,.,.,.,.,.,.,.,.
1875,.,.,837,433,.,.,.,.,.,.,.,.,.
1874,.,.,678,436,.,.,.,.,.,.,.,.,.
1873,.,.,715,644,.,.,.,.,.,.,.,.,.
1872,.,.,1334,527,.,.,.,.,.,.,.,.,.
1871,.,.,1175,741,.,.,.,.,.,.,.,.,.
1870,.,.,1154,1041,.,.,.,.,.,.,.,.,.
1869,.,.,1147,1044,.,.,.,.,.,.,.,.,.
1868,.,.,985,657,.,.,.,.,.,.,.,.,.
1867,.,.,1022,863,.,.,.,.,.,.,.,.,.
1866,.,.,1218,601,.,.,.,.,.,.,.,.,.
1865,.,.,1292,909,.,.,.,.,.,.,.,.,.
1864,.,.,960,673,.,.,.,.,.,.,.,.,.
1863,.,.,1252,953,.,.,.,.,.,.,.,.,.
1862,.,.,1288,878,.,.,.,.,.,.,.,.,.
1861,.,.,1141,764,.,.,.,.,.,.,.,.,.
1860,.,.,1637,692,.,.,.,.,.,.,.,.,.
1859,.,.,1377,538,.,.,.,.,.,.,.,.,.
1858,.,.,1436,920,.,.,.,.,.,.,.,.,.
1857,.,.,1436,1119,.,.,.,.,.,.,.,.,.
1856,.,.,1204,820,.,.,.,.,.,.,.,.,.
1855,.,.,1717,964,.,.,.,.,.,.,.,.,.
1854,.,.,1323,538,.,.,.,.,.,.,.,.,.
1853,.,.,1112,373,.,.,.,.,.,.,.,.,.
1852,.,.,1176,524,.,.,.,.,.,.,.,.,.
1851,.,.,1458,554,.,.,.,.,.,.,.,.,.
1850,.,.,1318,496,.,.,.,.,.,.,.,.,.
1849,.,.,1606,.,.,.,.,.,.,.,.,.,.
1848,.,.,1704,.,.,.,.,.,.,.,.,.,.
1847,.,.,1739,.,.,.,.,.,.,.,.,.,.
1846,.,.,976,.,.,.,.,.,.,.,.,.,.
1845,.,.,992,.,.,.,.,.,.,.,.,.,.
1844,.,.,1347,.,.,.,.,.,.,.,.,.,.
1843,.,.,1362,.,.,.,.,.,.,.,.,.,.
1842,.,.,1324,.,.,.,.,.,.,.,.,.,.
1841,.,.,1088,.,.,.,.,.,.,.,.,.,.
1840,.,.,1158,.,.,.,.,.,.,.,.,.,.
