age_CE,HL1A_raw,HL1B_raw,HL2A_raw,HL2B_raw,HL3A_raw,HL3B_raw,HL4A_raw,HL4B_raw,HL5A_raw,HL5B_raw,HL6A_raw,HL6B_raw,HL7A_raw,HL7B_raw,HL8A_raw,HL8B_raw,HL9A_raw,HL9B_raw,HL10A_raw,HL10B_raw,HL11A_raw,HL11B_raw,HL12A_raw,HL12B_raw,HL13A_raw,HL13B_raw,HL14A_raw,HL14B_raw,HL15B_raw,HL16A_raw,HL16B_raw,HL17A_raw,HL17B_raw,HL18A_raw,HL18B_raw,HL19A_raw,HL19B_raw,HL20A_raw,HL20B-1_raw,HL20B-2_raw,HL1A_raw_outlier_flag,HL1B_raw_outlier_flag,HL2A_raw_outlier_flag,HL2B_raw_outlier_flag,HL3A_raw_outlier_flag,HL3B_raw_outlier_flag,HL4A_raw_outlier_flag,HL4B_raw_outlier_flag,HL5A_raw_outlier_flag,HL5B_raw_outlier_flag,HL6A_raw_outlier_flag,HL6B_raw_outlier_flag,HL7A_raw_outlier_flag,HL7B_raw_outlier_flag,HL8A_raw_outlier_flag,HL8B_raw_outlier_flag,HL9A_raw_outlier_flag,HL9B_raw_outlier_flag,HL10A_raw_outlier_flag,HL10B_raw_outlier_flag,HL11A_raw_outlier_flag,HL11B_raw_outlier_flag,HL12A_raw_outlier_flag,HL12B_raw_outlier_flag,HL13A_raw_outlier_flag,HL13B_raw_outlier_flag,HL14A_raw_outlier_flag,HL14B_raw_outlier_flag,HL15B_raw_outlier_flag,HL16A_raw_outlier_flag,HL16B_raw_outlier_flag,HL17A_raw_outlier_flag,HL17B_raw_outlier_flag,HL18A_raw_outlier_flag,HL18B_raw_outlier_flag,HL19A_raw_outlier_flag,HL19B_raw_outlier_flag,HL20A_raw_outlier_flag,HL20B-1_raw_outlier_flag,HL20B-2_raw_outlier_flag
1718,1.334,1.312,0.8,0.942,NA,0.614,NA,0.91,0.576,0.472,1.172,1.358,1.264,1.602,0.342,NA,0.802,1.02,0.764,0.526,0.688,0.588,1.242,0.722,0.828,0.794,0.786,NA,0.53,NA,NA,2.028,1.328,0.504,NA,NA,NA,NA,NA,0.93,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE
1719,1.32,1.426,0.796,0.898,NA,0.714,NA,0.908,0.596,0.59,1.462,1.556,1.266,1.53,0.418,NA,0.944,1.282,0.976,0.644,0.956,0.736,0.972,0.58,0.45,0.748,0.796,NA,0.634,NA,NA,2.028,1.214,0.878,NA,NA,NA,NA,NA,0.916,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE
1720,1.334,1.268,0.772,0.956,NA,0.786,NA,0.916,0.954,1.26,1.688,1.558,1.314,1.492,0.288,NA,0.934,1.108,0.998,0.728,1.248,0.824,1.744,0.694,0.816,0.868,0.846,NA,0.782,NA,NA,1.872,1.232,1.134,NA,NA,NA,NA,NA,0.906,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE
1721,1.198,1.162,0.532,0.814,NA,0.628,NA,0.71,1.088,1.508,1.656,1.428,0.892,0.784,0.406,NA,0.994,1.126,0.796,0.516,0.58,0.638,1.65,0.82,0.76,1.018,0.762,NA,0.644,NA,NA,1.392,1.248,1.044,NA,NA,NA,NA,NA,0.57,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE
1722,1.25,1.002,0.472,0.842,NA,0.708,NA,0.454,1.432,0.964,1.362,1.102,1.008,1.122,0.59,NA,1.182,1.018,0.578,0.412,0.974,0.798,1.572,0.932,1.276,1.078,0.626,NA,0.638,NA,NA,1.696,1.02,0.912,NA,NA,NA,NA,NA,0.708,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE
1723,2.036,1.34,0.378,0.738,NA,0.964,NA,0.898,1.048,0.88,1.224,1.132,1.124,1.746,0.524,NA,1.152,0.998,0.672,0.634,1.09,0.76,1.158,1.202,1.26,1.1,0.706,NA,0.68,NA,NA,1.582,0.968,1.15,NA,NA,NA,NA,NA,0.632,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE
1724,1.676,1.092,0.484,0.728,NA,0.86,NA,0.408,0.75,0.844,1.252,1.478,1.308,2.516,0.542,NA,1.098,0.892,0.818,0.668,1.32,1.046,1.256,1.116,1.204,1.196,0.76,NA,0.744,NA,1.004,1.604,1.15,0.824,NA,NA,NA,NA,NA,0.762,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE
1725,2.068,1.324,0.514,0.754,NA,0.776,NA,0.962,0.752,0.886,1.228,1.688,1.002,1.58,0.55,NA,1.148,1.154,0.864,0.73,1.122,0.924,1.052,0.882,1.06,1.112,0.84,NA,0.586,NA,0.974,1.004,0.888,0.498,NA,NA,NA,NA,NA,0.606,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE
1726,1.67,1.33,0.914,1.048,NA,1.22,NA,1.152,0.854,1.502,1.606,1.86,1.514,2.954,0.85,NA,1.132,1,1.98,0.936,1.192,1.24,1.366,1.376,1.322,1.304,0.928,NA,0.768,NA,1.538,1.032,0.902,0.552,NA,NA,NA,NA,NA,0.994,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE
1727,1.198,1.162,0.616,0.886,NA,0.7,NA,0.756,0.78,1.82,1.296,1.28,1.006,1.93,1.062,NA,1.452,0.94,1.62,0.768,0.732,0.93,1.214,1.388,1.568,1.474,0.978,NA,0.656,NA,1.248,1.318,0.828,0.262,NA,NA,NA,NA,NA,0.822,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE
