age_CE,MD0301B_raw,MD0302A_raw,MD0303A_raw,MD0304A_raw,MD0305B_raw,MD0306B_raw,MD0307B_raw,MD0308B_raw,MD0309A_raw,MD0310B_raw,MD0311A_raw,MD0312A_raw,MD0314B_raw,MD0315A_raw,MD0316B_raw,MD0317A_raw,MD0318B_raw,MD0319B_raw,MD0320B_raw,MD0321A_raw,MD0322A_raw,MD0323B_raw,MD0324A_raw,MD0325B_raw,MD0301B_raw_outlier_flag,MD0302A_raw_outlier_flag,MD0303A_raw_outlier_flag,MD0304A_raw_outlier_flag,MD0305B_raw_outlier_flag,MD0306B_raw_outlier_flag,MD0307B_raw_outlier_flag,MD0308B_raw_outlier_flag,MD0309A_raw_outlier_flag,MD0310B_raw_outlier_flag,MD0311A_raw_outlier_flag,MD0312A_raw_outlier_flag,MD0314B_raw_outlier_flag,MD0315A_raw_outlier_flag,MD0316B_raw_outlier_flag,MD0317A_raw_outlier_flag,MD0318B_raw_outlier_flag,MD0319B_raw_outlier_flag,MD0320B_raw_outlier_flag,MD0321A_raw_outlier_flag,MD0322A_raw_outlier_flag,MD0323B_raw_outlier_flag,MD0324A_raw_outlier_flag,MD0325B_raw_outlier_flag
1886,NA,0.77,1.85,NA,0.76,2.26,0.87,1.83,NA,NA,NA,1.2,1.52,NA,1.41,1.9,0.68,0.46,NA,0.58,0.67,NA,NA,1.47,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,FALSE
1887,NA,0.71,1.52,NA,0.68,1.5,0.67,1.28,NA,NA,NA,1.14,0.9,NA,1.18,1.2,0.55,0.34,NA,0.33,0.46,NA,NA,1.14,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,FALSE
1888,NA,0.61,1.03,NA,0.61,1.57,0.62,1.29,NA,NA,NA,1.15,0.9,NA,1.1,1.03,0.86,0.94,NA,0.65,0.4,NA,NA,1.02,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,FALSE
1889,NA,1,1.23,NA,0.5,2,0.77,1.43,NA,NA,NA,1.05,1.48,NA,1.34,1.84,1.2,0.7,NA,0.94,0.54,NA,NA,0.98,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,FALSE
1890,NA,0.93,1.39,NA,1.03,2.22,0.88,1.64,NA,NA,NA,1.15,1.45,NA,1.37,1.34,1,0.78,NA,1.09,0.67,NA,NA,0.95,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,FALSE
1891,NA,0.85,1.38,NA,1.04,2.12,0.88,1.4,NA,NA,1.67,1.02,1.4,NA,1.35,1.18,0.64,0.57,NA,0.87,0.59,NA,NA,0.95,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,FALSE
1892,NA,0.74,1.12,NA,0.87,1.38,0.79,1.68,NA,NA,2.04,0.89,1.7,NA,0.89,1.41,0.32,0.49,NA,0.83,0.62,0.33,NA,0.87,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE
1893,NA,0.74,1.23,NA,0.81,1.32,0.73,1.64,NA,NA,2.13,1.05,1.61,NA,0.89,1.6,0.25,0.4,NA,0.51,0.71,0.37,NA,0.92,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE
1894,NA,0.69,1.3,0.18,0.86,1.3,0.58,1.28,1.63,NA,1.73,0.76,1.3,NA,1,1.75,0.25,0.44,NA,0.47,0.64,0.39,NA,0.64,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE
1895,NA,0.79,1.39,0.24,0.79,1.65,0.6,1.3,1.8,NA,1.92,0.92,1.68,NA,1.21,2.04,0.68,0.76,NA,0.61,1.49,0.43,NA,0.86,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,TRUE,FALSE,NA,FALSE
1896,NA,0.75,1.06,0.26,0.56,1.46,0.48,1.27,1.87,NA,1.51,0.71,1.61,NA,0.89,1.47,0.45,0.41,NA,0.29,0.6,0.64,NA,0.78,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE
1897,NA,1.07,1.11,0.24,0.42,1.45,0.52,1.37,2.14,NA,1.41,0.83,1.32,NA,0.8,2.24,0.57,0.67,NA,0.51,0.45,0.92,NA,0.9,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE
1898,NA,0.91,1.21,0.42,0.63,1.53,0.57,1.7,1.89,NA,1.61,0.74,1.6,NA,1.11,1.77,0.4,0.44,NA,0.59,0.64,1.04,NA,0.87,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE
1899,NA,0.59,0.87,0.29,0.56,1.17,0.3,1.21,1.62,NA,1.36,0.6,1.17,NA,0.78,1.12,0.4,0.4,NA,0.34,0.56,0.88,NA,0.66,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE
1900,NA,0.77,0.78,0.34,0.5,1.21,0.28,1.13,1.51,NA,1.17,0.66,0.92,NA,0.73,1.87,0.86,0.74,NA,0.54,0.48,1.43,NA,0.73,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE
1901,1.21,0.99,1.31,0.4,0.53,1.46,0.38,0.75,1.65,1.67,1.06,0.74,1.33,NA,0.9,1.76,0.56,0.49,NA,0.65,0.76,1.13,NA,0.94,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE
1902,1.2,0.79,0.7,0.34,0.48,1.29,0.49,0.89,2.79,1.18,1.94,0.57,1.16,NA,0.84,1.31,0.87,0.52,NA,0.45,0.6,1.15,NA,0.83,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE
1903,0.77,0.62,1.32,0.38,0.95,1.12,0.37,0.92,1.94,0.97,2.15,0.42,1.28,NA,0.54,1.04,0.61,0.26,NA,0.31,0.54,0.9,NA,0.75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE
1904,0.74,0.92,2.09,0.54,1.22,1.65,0.73,1.43,2.87,1.01,2.91,0.65,1.34,NA,0.93,1.8,0.52,0.28,NA,0.5,0.73,0.91,NA,1.32,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE
1905,0.82,0.94,1.57,0.43,0.85,1.43,0.68,1.13,1.9,1.33,1.91,0.48,1.15,NA,0.8,1.79,0.86,0.5,NA,0.43,0.65,1.17,NA,1.12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE
1906,0.8,0.91,1.41,0.68,0.63,1.52,0.5,1.1,1.31,1.24,1.54,0.46,1.08,NA,0.6,1.95,1.07,0.62,NA,0.49,0.59,1.24,NA,0.94,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE
1907,0.65,0.93,1.72,0.56,0.71,1.72,0.81,1.27,1.11,1.61,2.06,0.62,1.37,NA,0.73,1.77,1.38,0.69,NA,0.58,0.6,1.47,NA,1.21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE
1908,0.45,0.71,1.78,0.56,0.87,1.77,0.72,1.3,1.03,0.87,2.03,0.45,1.35,NA,0.78,1.56,0.54,0.37,NA,0.46,0.56,1.12,NA,1.11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE
1909,0.65,0.61,1.74,0.71,1.05,1.18,0.71,0.77,1.08,0.53,2.02,0.47,0.72,NA,0.62,1.18,0.44,0.51,NA,0.37,0.58,0.82,NA,0.95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE
1910,0.87,0.59,1.82,0.73,0.56,1.4,0.71,0.95,1.77,1.22,1.98,0.51,1.1,NA,0.88,1.9,1.11,0.82,NA,0.55,0.68,1.37,NA,1.18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE
1911,1.01,0.46,1.87,0.74,0.7,1.31,1.01,1.37,1.76,1.14,1.86,0.77,1.53,NA,0.92,1.73,0.87,0.68,NA,0.69,0.85,1.05,NA,1.23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE
1912,0.97,0.49,1.97,0.71,0.66,1.22,0.92,1.15,1.5,1.73,1.92,0.66,1.35,1.27,0.86,1.7,0.82,0.77,NA,0.63,0.78,1.32,NA,0.98,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE
1913,0.46,0.43,1.47,0.67,0.47,1.41,0.83,1.14,1.91,0.99,2.11,0.56,1.22,0.62,0.86,1.76,0.56,0.47,NA,0.64,0.79,0.83,NA,1.19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE
1914,0.9,0.68,1.78,0.62,0.43,1.31,0.93,1.09,1.81,0.99,1.85,0.71,1.26,0.71,0.92,1.73,0.92,0.61,NA,0.45,0.79,0.94,NA,1.27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE
1915,1.54,0.73,1.76,0.5,0.35,1.32,0.88,0.95,1.54,1.75,1.77,0.64,1.1,1.64,0.85,1.34,1.4,0.75,2.03,0.61,0.71,1.38,NA,1.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE
