"SiteID","Rel_density_MAP","Rel_density_CWD","Rel_density_VPD"
"mexi104",0.980192036,0.209808418,0.585648132
"mexi105",0.816287463,0.219882431,0.585648132
"mexi109",0.969220989,0.380453466,0.870903052
"mexi110",0.938143369,0.367158085,1
"mexi111",0.802107374,0.590146874,0.870903052
"mexi112",0.964204982,0.525988249,0.545382073
"mexi113",0.933987033,0.230625706,0.345771334
"mexi114",0.933987033,0.230625706,0.345771334
"mexi115",0.933987033,0.230625706,0.345771334
"MIACA_MEX_01",0.928241018,0.342083057,0.681820357
"MYBAL_PER_01",0.802107374,0.577535013,0.712867659
"NEOPP_BRA_01",0.802107374,0.828022687,0.545382073
"NEOPP_BRA_02",0.802107374,0.828022687,0.545382073
"nepa001",0.938143369,0.577535013,0.870903052
"nepa002",0.389606914,0.590146874,0.545382073
"nepa003",0.933987033,0.519091504,0.844669526
"nepa004",0.348545921,0.590146874,0.364244592
"nepa005",0.545407696,0.590146874,1
"nepa006",1,0.590146874,0.870903052
"nepa007",0.545407696,0.491048964,0.805455567
"nepa008",0.980192036,0.577535013,0.671474423
"nepa009",0.802107374,0.559814319,0.545382073
"nepa010",0.802107374,0.559814319,0.545382073
"nepa011",0.348545921,0.590146874,0.364244592
"nepa012",0.348545921,0.590146874,0.364244592
"nepa013",0.969220989,0.559814319,0.545382073
"nepa014",0.802107374,0.559814319,0.545382073
"nepa015",0.545407696,0.559814319,1
"nepa016",0.545407696,0.559814319,1
"nepa017",1,0.559814319,0.545382073
"nepa018",1,0.559814319,0.545382073
"nepa019",0.933987033,0.519091504,0.844669526
"nepa020",0.933987033,0.519091504,0.844669526
"nepa021",0.933987033,0.590146874,0.364244592
"nepa022",0.964204982,0.519091504,0.671474423
"nepa023",0.933987033,0.519091504,0.844669526
"nepa024",0.933987033,0.519091504,0.844669526
"nepa025",0.933987033,0.519091504,0.844669526
"nepa026",1,0.590146874,0.186141792
"nepa027",0.482225809,0.577535013,0.186141792
"nepa028",0.802107374,0.519091504,0.671474423
"nepa029",0.938143369,0.590146874,1
"nepa030",0.397344554,0.590146874,0.364244592
"nepa031",0.969220989,0.577535013,0.870903052
"nepa032",1,0.590146874,0.186141792
"nepa033",1,0.507535157,0.805455567
"nepa034",1,0.590146874,0.364244592
"nepa035",1,0.590146874,1
"nepa036",1,0.590146874,0.364244592
"nepa037",0.933987033,0.519091504,0.948140941
"nepa038",0.964204982,0.559814319,0.948140941
"nepa039",0.964204982,0.559814319,0.948140941
"nepa040",0.969220989,0.491048964,0.712867659
"nepa041",0.545407696,0.559814319,0.545382073
"nepa042",0.969220989,0.577535013,0.186141792
"nepa043",0.969220989,0.590146874,1
"nepa044",0.969220989,0.507535157,0.844669526
"nepa045",0.969220989,0.507535157,0.844669526
"nepa046",0.933987033,0.525988249,0.545382073
"nepa047",0.971546922,0.577535013,0.870903052
"nepa048",0.969220989,0.577535013,0.870903052
"nepa049",0.928241018,0.577535013,0.870903052
"nepa050",0.928241018,0.577535013,0.870903052
"nepa051",0.933987033,0.525988249,0.671474423
"nepa052",0.933987033,0.525988249,0.671474423
"nepa053",0.980192036,0.525988249,0.671474423
"nepa054",0.85857208,0.590146874,0.671474423
"nepa055",0.928241018,0.559814319,0.870903052
"PAPRA_COL_01",0.85857208,0.299245567,0.447006684
"PEELA_DEM_01",0.802107374,1,1
"ph001",0.348545921,0.559814319,0.364244592
"PICEM_MEX_01",0.85857208,0.166332239,0.585648132
"PIELL_BAH_01",0.969220989,0.519091504,0.712867659
"PIELL_UNI_01",0.971546922,0.443760737,0.681820357
"PIELL_USA_03",0.971546922,0.443760737,0.681820357
"PIGRE_MEX_01",0.933987033,0.299245567,0.447006684
"PIGRE_MEX_02",0.816287463,0.13355506,0.447006684
"PIHAR_MEX_01",0.969220989,0.330136205,0.948140941
"PIHAR_MEX_02",0.969220989,0.330136205,0.948140941
"PIHAR_MEX_03",1,0.519091504,0.870903052
"PIHAR_MEX_04",0.980192036,0.166332239,0.585648132
"PIHAR_MEX_05",0.969220989,0.348640984,0.681820357
"PIHAR_MEX_06",0.969220989,0.348640984,0.681820357
"PIKES_THA_01",0.938143369,0.443760737,0.805455567
"PIKES_THA_02",0.938143369,0.443760737,0.805455567
"PIKES_THA_03",0.938143369,0.443760737,0.805455567
"PIKES_THA_04",0.938143369,0.367158085,0.585648132
"PIKES_THA_05",0.938143369,0.367158085,0.585648132
"PIKES_THA_06",0.969220989,0.402037106,0.805455567
"PIMAR_MEX_01",0.980192036,0.299245567,0.345771334
"PIMAR_MEX_02",0.980192036,0.219882431,0.643291979
"PIMAR_MEX_03",0.816287463,0.185667195,0.585648132
"PIMER_THA_01",0.969220989,0.443760737,0.805455567
"PIMER_THA_02",0.971546922,0.402037106,0.844669526
"PIMER_THA_03",0.971546922,0.367158085,0.643291979
"PIMEX_MEX_01",0.933987033,0.185667195,0.585648132
"PIMEX_MEX_02",0.933987033,0.185667195,0.585648132
"PIMON_MEX_01",1,0.340844616,0.226100849
"PINEL_MEX_01",0.85857208,0.166332239,0.585648132
"PIOOC_MEX_01",0.928241018,0.230625706,0.447006684
"PIOOC_MEX_02",0.348545921,0.559814319,0.671474423
"PIOOC_MEX_03",0.938143369,0.491048964,1
"PIOOC_MEX_04",0.980192036,0.342083057,0.681820357
"PIOOC_MEX_05",0.319581487,0.604080496,0.870903052
"PIOOC_MEX_06",0.980192036,0.342083057,0.681820357
"PIPAL_UNI_01",0.969220989,0.507535157,0.844669526
"PIPAL_UNI_02",0.938143369,0.519091504,0.844669526
"PIPAL_UNI_03",0.938143369,0.590146874,0.844669526
"PIPAT_MEX_01",0.389606914,0.491048964,1
"PIPIN_MEX_01",0.816287463,0.206771268,0.525226383
"PIPIN_MEX_02",0.816287463,0.206771268,0.525226383
"PIPIN_MEX_03",0.85857208,0.148718315,0.585648132
"PIPSE_MEX_01",0.980192036,0.348640984,0.712867659
"PIPSE_MEX_02",0.969220989,0.340844616,0.643291979
"PIRUD_MEX_01",0.482225809,0.367158085,1
"PISMI_NEP_01",0.933987033,0.519091504,0.948140941
"PISMI_NEP_02",0.933987033,0.519091504,0.948140941
"PISMI_NEP_03",0.933987033,0.519091504,0.948140941
"PITEO_MEX_01",0.802107374,0.367158085,0.844669526
"PITEO_MEX_02",0.980192036,0.206771268,0.585648132
"POPYR_BRA_01",0.816287463,0.264699519,0.525226383
"POROD_PER_01",0.971546922,0.507535157,0.671474423
"POTAR_PER_01",0.85857208,0.308750143,0.870903052
"PRBAL_DEM_01",0.971546922,0.519091504,0.948140941
"PSMEN_MEX_01",0.928241018,0.320128983,0.844669526
"PSMEN_MEX_02",0.928241018,0.348640984,0.805455567
"PSSIN_VIE_01",0.802107374,0.577535013,0.948140941
"PTANG_NAM_01",0.816287463,0.230625706,0.122301006
"QULIN_COL_01",0.000977277,0.828022687,0.671474423
"RHCAM_NEP_01",0.816287463,0.590146874,0.545382073
"SCBRA_BOL_01",0.971546922,0.367158085,0.585648132
"SCBRA_BRA_02",0.980192036,0.230625706,0.447006684
"SISAL_MEX_01",0.969220989,0.507535157,0.870903052
"SOAPE_BAN_01",0.348545921,0.507535157,0.712867659
"SOCHR_USA_01",0.933987033,0.828022687,0.364244592
"sur001",0.397344554,0.525988249,0.226100849
"SWMAC_BRA_01",0.545407696,0.559814319,0.870903052
"SWMAC_PER_02",0.802107374,0.525988249,0.844669526
"TAAUR_BRA_01",0.816287463,0.264699519,0.525226383
"TAAUR_BRA_02",0.980192036,0.342083057,0.643291979
"TAIMP_BOL_01",0.969220989,0.348640984,0.643291979
"TAMUC_GUA_02",0.802107374,0.590146874,0.870903052
"TAMUC_GUA_03",0.802107374,0.577535013,0.671474423
"TAMUC_MEX_01",0.816287463,0.320128983,0.844669526
"TAMUC_MEX_04",1,0.519091504,1
"TAMUC_MEX_05",0.928241018,0.348640984,0.844669526
"TAMUC_MEX_06",NA,NA,NA
"TEGRA_IND_01",0.802107374,0.491048964,0.844669526
"TEGRA_IND_02",0.802107374,0.507535157,0.844669526
"TEGRA_THA_01",0.969220989,0.402037106,0.712867659
"TEGRA_THA_02",0.969220989,0.402037106,0.712867659
"TEGRA_THA_03",0.969220989,0.402037106,0.712867659
"TEGRA_THA_04",0.969220989,0.402037106,0.712867659
"TEGRA_THA_05",0.969220989,0.402037106,0.712867659
"TEGRA_THA_06",0.969220989,0.402037106,0.712867659
"TEGRA_THA_07",0.938143369,0.380453466,0.805455567
"TEGRA_THA_08",0.938143369,0.380453466,0.805455567
"TEGRA_THA_09",0.969220989,0.380453466,0.681820357
"TEGRA_THA_10",0.938143369,0.380453466,0.805455567
"TEGRA_THA_11",0.938143369,0.380453466,0.805455567
"TEPAN_PAN_01",0.397344554,0.507535157,0.870903052
"TESIN_CHI_01",0.928241018,0.491048964,1
"TESUP_DEM_01",0.971546922,0.519091504,0.948140941
"TESUP_DEM_02",0.802107374,1,1
"TESUP_IVO_03",0.802107374,0.590146874,0.643291979
"th001",0.969220989,0.402037106,0.805455567
"th002",0.971546922,0.367158085,0.585648132
"th003",0.971546922,0.380453466,0.643291979
"th004",0.969220989,0.367158085,0.643291979
"th005",0.971546922,0.380453466,0.712867659
"th006",0.971546922,0.402037106,0.844669526
"TOCIL_AUS_01",0.319581487,0.491048964,0.643291979
"TOCIL_AUS_02",0.802107374,0.519091504,0.805455567
"TOCIL_BAN_04",0.389606914,0.519091504,0.805455567
"TOCIL_THA_03",0.938143369,0.380453466,0.844669526
"TRSCL_CAM_01",1,0.525988249,0.870903052
"TRSCL_CAM_02",1,0.590146874,0.948140941
"TRTUB_PAN_01",0.397344554,0.507535157,0.870903052
"TSDOM_CHI_01",0.971546922,0.559814319,0.671474423
"tw001",0.279424859,0.828022687,0.054531753
"tx030",0.928241018,0.348640984,0.805455567
"tx033",0.971546922,0.402037106,0.844669526
"tx039",0.928241018,0.380453466,0.948140941
"tx041",0.933987033,0.348640984,0.805455567
"tx042",0.816287463,0.116492917,0.214527119
"tx052",0.928241018,0.348640984,0.805455567
"tx054",0.971546922,0.507535157,0.844669526
"viet001",0.802107374,0.519091504,0.671474423
"viet002",0.545407696,0.590146874,0.643291979
"XYWIL_DEM_01",0.971546922,0.519091504,0.948140941
"ZETUB_BOL_01",0.969220989,0.348640984,0.643291979
"zimb001",0.980192036,0.299245567,0.525226383
"zimb002",0.980192036,0.299245567,0.447006684
"zimb003",0.980192036,0.299245567,0.447006684
