Stand,Year,Lat,Long,Plus or Minus (Ft),Tag,Species,DBH,Canopy,Old notes--Caution: Many likely not matched with correct tree!,New notes,
AG05,2008,46.74707,121.80530,,C2,Abam,47.3,y,,,
AG05,2008,46.74660,121.80407,,C20,Abam,71.2,y,,,
AG05,2008,46.74677,121.80372,,C21,Thpl,75.7,n,,,
AG05,2008,46.74655,121.80403,,C22,Tshe,52.2,y,,,
AG05,2008,46.74643,121.80392,,C23,Tshe,65.5,y,,,
AG05,2008,46.74623,121.80388,,C24,Tshe,91.2,y,,,
AG05,2008,46.74633,121.80368,,C25,Psme,140.5,y,,,
AG05,2008,46.74738,121.80367,,C26,Thpl,73.1,y,,,
AG05,2008,46.74742,121.80363,,C27,Psme,138,y,,,
AG05,2008,46.74733,121.80373,,C28,Tshe,60.3,y,,,
AG05,2008,46.74713,121.80363,,C29,Psme,,,,DBH and canopy status never observed,
AG05,2008,46.74678,121.80528,,C3,Tshe,80.4,y,,,
AG05,2008,46.74678,121.80375,,C30,Thpl,48.5,y,,,
AG05,2008,46.74678,121.80375,,C31,Tshe,53.8,y,,,
AG05,2008,46.74677,121.80355,,C32,Psme,132.4,y,,,
AG05,2008,46.74648,121.80347,9.8,C33,Psme,125.5,y,on steep slope,,
AG05,2008,46.74642,121.80350,14,C34,Thpl,61.2,y,,,
AG05,2008,46.74657,121.80367,13.4,C35,Tshe,61.8,y,,,
AG05,2008,46.74653,121.80337,11.7,C36,Thpl,54.6,n,,,
AG05,2008,46.74662,121.80340,,C37,Tshe,45.8,y,,,
AG05,2008,46.74722,121.80543,18,C38,Thpl,68.5,y,,,
AG05,2008,46.74718,121.80533,8.4,C39,Tshe,60.2,y,,,
AG05,2008,46.74670,121.80520,,C4,Tshe,96.1,y,,,
AG05,2008,46.74755,121.80567,11.1,C40,Psme,142.9,y,,,
AG05,2009,46.74777,121.80460,,C41,Thpl,73,n,,,
AG05,2009,46.74785,121.80468,,C42,Psme,107.3,y,,,
AG05,2009,46.74772,121.80405,,C43,Psme,127.5,y,,,
AG05,2009,46.74772,121.77410,,C44,Thpl,66.4,n,Missing,,
AG05,2009,46.74783,121.80407,,C45,Psme,127.3,y,,,
AG05,2009,46.74783,121.80392,,C46,Thpl,73,n,,,
AG05,2009,46.74775,121.80342,,C47,Thpl,63.4,n,,,
AG05,2009,46.74792,121.80333,,C48,Psme,141.8,y,,,
AG05,2009,46.74775,121.80317,,C49,Thpl,76,n,,,
AG05,2008,46.74658,121.80488,,C5,Abam,68.7,y,,,
AG05,2009,46.74763,121.80302,,C50,Thpl,50.4,n,,,
AG05,2009,46.74738,121.80302,,C51,Psme,127.5,y,,,
AG05,2009,46.74732,121.80273,,C52,Thpl,57.2,n,,,
AG05,2009,46.74713,121.80293,,C53,Psme,98,y,,,
AG05,2009,46.74715,121.80307,,C54,Psme,102.5,y,,,
AG05,2009,46.74717,121.80312,,C55,Thpl,52,n,,,
AG05,2009,46.74712,121.80353,,C56,Psme,145,y,,,
AG05,2009,46.74632,121.80327,,C57,Psme,107.8,y,,,
AG05,2009,46.74630,121.80327,,C58,Thpl,36.5,n,,,
AG05,2009,46.74638,121.80295,,C59,Psme,143.7,y,,,
AG05,2008,46.74652,121.80495,,C6,Psme,148.5,y,,,
AG05,2009,46.74665,121.80320,,C60,Thpl,44.9,n,,,
AG05,2009,46.74762,121.80499,11,C61,Abam,49,y,,,
AG05,2009,46.74791,121.80479,15.5,C62,Tshe,58.5,y,,,
AG05,2009,46.74783,121.80466,12,C63,Abam,45.8,y,,,
AG05,2009,46.74769,121.80448,19.3,C64,Tshe,41.7,n,,,
AG05,2009,46.74778,121.80403,14.9,C65,Abam,38.9,n,,,
AG05,2009,46.74778,121.80363,19.3,C66,Abam,42.2,y,,,
AG05,2009,46.74760,121.80359,,C67,Tshe,79.8,y,,,
AG05,2009,46.74758,121.80348,30,C68,Abam,61.3,y,,,
AG05,2009,46.74739,121.80346,15,C69,Abam,60.6,y,,,
AG05,2008,46.74633,121.80517,,C7,Thpl,60.2,y,,,
AG05,2009,46.74710,121.80357,16,C70,Abam,42,y,,,
AG05,2009,46.74679,121.80340,25,C71,Abam,52.4,y,,,
AG05,2009,46.74677,121.80325,,C72,Tshe,33.5,n,Only 1 core b/c of rot,,
AG05,2009,46.74672,121.80328,,C73,Tshe,42.5,n,,,
AG05,2009,46.74659,121.80346,11,C74,Abam,72.7,y,,,
AG05,2009,46.74586,121.80402,11,C75,Tshe,47.7,n,,,
AG05,2009,46.74648,121.80308,15,C76,Tshe,64.2,y,,,
AG05,2009,46.74647,121.80308,14.5,C77,Abam,40.2,y,,,
AG05,2009,46.74636,121.80301,13.6,C78,Tshe,47.4,y,,,
AG05,2009,46.74623,121.80322,11,C79,Tshe,55,y,,,
AG05,2008,46.74655,121.80480,,C8,Abam,56.9,y,,,
AG05,2009,46.74611,121.80347,19,C80,Tshe,47.8,y,,,
AG05,2009,46.74586,121.80414,,C81,Tshe,50.7,y,,,
AG05,2009,46.74557,121.80414,,C82,Tshe,65,y,,,
AG05,2008,46.74652,121.80460,,C9,Abam,69.5,y,,,
AM16,2008,46.76910,121.75752,,H1,Abam,71.1,y,,,
AM16,2008,46.76808,121.75887,,H10,Cano,86.3,y,,,
AM16,2008,46.76807,121.75885,,H11,Tshe,110.3,y,,,
AM16,2008,46.76865,121.75687,,H12,Abam,69.1,y,,,
AM16,2008,46.76857,121.75695,,H13,Cano,129.6,y,,,
AM16,2008,46.76878,121.75683,,H14,Tshe,120.4,y,,,
AM16,2008,46.76865,121.75680,,H15,Tsme,107.5,y,,,
AM16,2008,46.76858,121.75695,,H16,Tshe,66,y,,,
AM16,2008,46.76863,121.75665,,H17,Abam,50.2,y,,,
AM16,2008,46.76833,121.75653,,H18,Cano,60.7,y,,,
AM16,2008,46.76828,121.76395,,H19,Abam,57.1,y,,,
AM16,2008,46.76930,121.75742,,H2,Cano,62.3,y,,,
AM16,2008,46.76813,121.75623,,H20,Tshe,71.1,y,,,
AM16,2008,46.76820,121.75663,,H21,Abam,59.8,y,,,
AM16,2008,46.76820,121.75663,,H22,Cano,76.6,n,,,
AM16,2008,46.76807,121.75672,,H23,Tshe,117.7,y,,,
AM16,2008,46.76802,121.75703,,H24,Tshe,126.9,y,,,
AM16,2008,46.76802,121.75703,,H25,Abam,55.6,n,,,
AM16,2008,46.76780,121.75722,,H26,Tsme,104.6,y,,,
AM16,2008,46.76788,121.75742,,H27,Abam,60.4,y,,,
AM16,2008,46.76788,121.75742,,H28,Cano,69.1,y,,Near H29,
AM16,2008,46.76782,121.75793,,H29,Tsme,52.3,y,,Near H28,
AM16,2008,46.76927,121.75753,,H3,Tsme,78.5,y,,,
AM16,2008,46.76782,121.75793,,H30,Abam,80.2,y,,,
AM16,2008,46.76782,121.75802,,H31,Cano,64.8,y,,,
AM16,2009,46.76859,121.75636,,H32,Tshe,79,y,,"entered in 2011 when discovered was missing from this data-no nbrs-tag had been lost in 2008, found&used in 2009",
AM16,2008,46.76777,121.75815,,H33,Tsme,67.6,y,,,
AM16,2008,46.76770,121.75835,,H34,Tshe,111.5,y,,,
AM16,2008,46.76765,121.75847,,H35,Cano,87.6,y,,,
AM16,2008,46.76787,121.75902,,H36,Tshe,62.5,y,,,
AM16,2008,46.76763,121.75932,,H37,Tsme,76.2,y,,,
AM16,2008,46.76743,121.75910,,H38,Cano,60.9,y,,,
AM16,2008,46.76667,121.75000,,H39,Tshe,69.3,y,,Correct lat long? Only taken to 2 digit minutes with no decimals in original data sheet(has more now due to conversion math)- Are all AX15 points in master wp file?,
AM16,2008,46.76902,121.75785,,H4,Tsme,90.7,y,,,
AM16,2008,46.76743,121.75882,,H40,Tsme,101.9,y,,,
AM16,2008,46.76710,121.75853,,H41,Tshe,73.5,y,,,
AM16,2009,46.76858,121.75648,27,H42,Abam,56.5,y,,,
AM16,2009,46.76844,121.75611,12.3,H43,Tshe,52.7,y,,,
AM16,2009,46.76833,121.75642,12,H44,Abam,44.3,y,,,
AM16,2009,46.76775,121.75642,29,H45,Abam,55.9,y,,,
AM16,2009,46.76767,121.75642,25,H46,Tshe,71.9,y,,,
AM16,2009,46.76777,121.75681,15.4,H47,Abam,43.7,y,,,
AM16,2009,46.76770,121.75710,20,H48,Abam,42.4,n,,,
AM16,2009,46.76757,121.75701,17,H49,Abam,46.2,y,,,
AM16,2008,46.76865,121.75815,,H5,Abam,67.3,y,,,
AM16,2009,46.76747,121.75705,,H50,Tshe,108.8,y,,,
AM16,2009,46.76838,121.75668,,H51,Cano,57.4,n,,,
AM16,2009,46.76833,121.75467,,H52,Cano,79.9,y,,,
AM16,2009,46.76835,121.75615,,H53,Cano,91.6,y,,,
AM16,2009,46.76805,121.75642,,H54,Cano,60,y,,,
AM16,2009,46.76797,121.75628,,H55,Cano,78.2,y,,,
AM16,2009,46.76777,121.75648,,H56,Cano,63.8,y,,,
AM16,2009,46.76787,121.75657,,H57,Tsme,122.4,y,,,
AM16,2009,46.76780,121.75705,,H58,Cano,48.6,n,,,
AM16,2009,46.76783,121.75735,,H59,Cano,54.2,y,,,
AM16,2008,46.76850,121.75858,,H6,Tsme,73.8,y,,,
AM16,2009,46.76752,121.75753,,H60,Cano,78.3,y,,,
AM16,2009,46.76748,121.75747,,H61,Tsme,78.6,y,next to stream,,
AM16,2009,46.76742,121.75740,,H62,Cano,52.1,y,,,
AM16,2009,46.76732,121.75793,,H63,Tsme,84,y,,,
AM16,2009,46.76732,121.75793,,H64,Tsme,71,y,,,
AM16,2009,46.76750,121.75823,,H65,Tsme,66.9,y,,,
AM16,2009,46.76752,121.75863,,H66,Tsme,86.2,y,,,
AM16,2009,46.76757,121.75903,,H67,Tsme,71,y,,"tags H68, H69 & H70 were lost",
AM16,2008,46.76848,121.75843,,H7,Tsme,67.9,y,,,
AM16,2009,46.76736,121.75739,15,H71,Tshe,51.4,y,,,
AM16,2009,46.76734,121.75738,,H72,Abam,40,y,,,
AM16,2009,46.76727,121.75761,11,H73,Tshe,50.2,n,,,
AM16,2009,46.76737,121.75809,10,H74,Abam,39.8,y,,,
AM16,2009,46.76736,121.75812,10,H75,Tshe,45.5,y,,,
AM16,2009,46.76738,121.75827,19,H76,Abam,44.5,y,,,
AM16,2009,46.76757,121.75863,15,H77,Abam,41,n,,,
AM16,2009,46.76774,121.75922,17,H78,Tshe,68,y,,,
AM16,2009,46.76760,121.75936,11,H79,Tshe,50.8,y,,,
AM16,2008,46.76817,121.75885,,H8,Cano,69,y,,,
AM16,2009,46.76793,121.75874,13.6,H80,Tshe,64.8,y,,,
AM16,2008,46.76817,121.75885,,H9,Abam,55.7,y,,,
AO03,2009,46.82655,121.54712,,J1,Tshe,43.5,n,,,
AO03,2009,46.82588,121.54807,,J10,Abam,89.5,n,shorter b/c of rot,,
AO03,2009,46.82587,121.54798,,J11,Tshe,64.9,n,,,
AO03,2009,46.82542,121.54858,,J12,Tshe,60.2,n,growing on a nurse log,,
AO03,2009,46.82543,121.54887,,J13,Tshe,50.8,n,,,
AO03,2009,46.82543,121.54887,,J14,Abam,87.9,y,,,
AO03,2009,46.82585,121.54887,,J15,Tshe,58.4,n,,,
AO03,2009,46.82593,121.54855,,J16,Abam,77.9,y,,,
AO03,2009,46.82603,121.54860,,J17,Tshe,73.4,y,,,
AO03,2009,46.82602,121.54858,,J18,Abam,49.5,n,,,
AO03,2009,46.82617,121.54875,,J19,Tshe,60,n,,,
AO03,2009,46.82665,121.54708,,J2,Abam,103.8,y,,,
AO03,2009,46.82643,121.54903,,J20,Tshe,113.9,y,,,
AO03,2009,46.82693,121.54925,,J21,Tshe,85.3,y,,,
AO03,2009,46.82702,121.54902,,J22,Abam,70.7,y,,,
AO03,2009,46.82718,121.54865,,J23,Tshe,65.9,y,,,
AO03,2009,46.82732,121.54858,,J24,Abam,594,y,,,
AO03,2009,46.82757,121.54805,,J25,Abam,41.5,n,,,
AO03,2009,46.82750,121.54773,,J26,Abam,45.3,y,,,
AO03,2009,46.82712,121.54750,,J27,Abam,83.5,y,,,
AO03,2009,46.82702,121.54727,,J28,Tshe,47.4,n,"(OLD J28) The original J28 was fairly rotten, so a new TSHE was selected around 3m away to replace the original J28. 2 cores were taken from the new J28 tree. GPS is the same as before.",,
AO03,2011,46.82702,121.54727,,J28,Tshe,,n,(NEW J28),,
AO03,2009,46.82683,121.54647,,J29,Tshe,79.5,y,,,
AO03,2009,46.82680,121.54690,,J3,Abam,65,y,,,
AO03,2009,46.82698,121.54627,,J30,Tshe,90,y,,,
AO03,2009,46.82703,121.54558,,J31,Abam,54.7,y,,,
AO03,2009,46.82703,121.54515,,J32,Tshe,83.3,y,,,
AO03,2009,46.82712,121.54505,,J33,Abam,62.7,y,next to river,,
AO03,2009,46.82722,121.54487,,J34,Tshe,67.6,y,next to river,,
AO03,2009,46.82745,121.54493,,J35,Abam,48.5,n,,,
AO03,2009,46.82777,121.54447,,J36,Tshe,101.2,y,,,
AO03,2009,46.82770,121.54442,,J37,Abam,79.1,y,,,
AO03,2009,46.82758,121.54423,,J38,Tshe,113.1,y,,,
AO03,2009,46.82772,121.54408,,J39,Abam,89.9,y,next to river,,
AO03,2009,46.82667,121.54735,,J4,Abam,79.9,y,,,
AO03,2009,46.82790,121.54397,,J40,Tshe,138.3,y,,,
AO03,2009,46.82655,121.54715,,J41,Psme,227,y,,,
AO03,2009,46.82568,121.54735,,J42,Psme,203,y,,,
AO03,2009,46.82557,121.54808,,J43,Psme,209,y,,,
AO03,2009,46.82708,121.54713,,J44,Psme,223.5,y,,,
AO03,2009,46.82740,121.66428,,J45,Psme,170.3,y,,,
AO03,2009,46.82788,121.66383,,J46,Psme,161.7,y,,,
AO03,2009,46.82770,121.66462,,J47,Psme,166.4,y,,,
AO03,2009,46.82783,121.66500,,J48,Psme,145.6,y,,,
AO03,2009,46.82797,121.66548,,J49,Psme,119.5,y,,,
AO03,2009,46.82628,121.54778,,J5,Abam,58.5,y,,,
AO03,2009,46.82732,121.66482,,J50,Psme,164.1,y,,,
AO03,2009,46.82738,121.66548,,J51,Psme,222.5,y,,,
AO03,2009,46.82622,121.66638,,J52,Psme,198.6,y,,,
AO03,2009,46.82587,121.66647,,J53,Psme,176.5,y,,,
AO03,2009,46.82628,121.54752,,J6,Tshe,91.5,y,,,
AO03,2009,46.82623,121.54778,,J7,Abam,97.4,y,,,
AO03,2009,46.82638,121.54763,,J8,Tshe,52.3,n,,,
AO03,2009,46.82617,121.54798,,J9,Abam,92.2,y,,,
AO03,2011,46.82577,121.54726,,J57,Cano,54.8,n,,,
AO03,2011,46.82595,121.54704,,J55,Cano,104.6,n,,,
AO03,2011,46.82584,121.54739,,J56,Cano,115.4,y,,,
AO03,2011,46.82192,121.54569,,J54,Cano,180.8,y ,"new J54, old one could not be cored",,
AO03,2011,46.82262,121.54757,,J62,Cano,113.3,y,,,
AO03,2011,46.82460,121.54835,,J63,Cano,98.2,y,,,
AO03,2011,46.82460,121.54865,,J64,Cano,77.9,y,,,
AO03,2011,46.82409,121.54926,,J65,Cano,83.9,y,,,
AO03,2011,46.82387,121.54923,,J66,Cano,82.2,y,,,
AO03,2011,46.82353,121.54932,,J67,Cano,92.5,y,,,
AR07,2008,46.77702,121.74795,,G1,Tsme,71.2,y,,,
AR07,2008,46.77685,121.74877,,G10,Cano,48.3,y,,,
AR07,2008,46.77657,121.74878,,G11,Cano,50.2,y,NO G46! Tag lost,,
AR07,2008,46.77657,121.74882,,G12,Tsme,51,n,,,
AR07,2008,46.77647,121.74873,,G13,Cano,63.8,n,,,
AR07,2008,46.77647,121.74873,,G14,Tsme,74.7,y,,,
AR07,2008,46.77547,121.74918,,G15,Abam,53,y,,,
AR07,2008,46.77635,121.74682,,G16,Cano,75.2,y,,,
AR07,2008,46.77673,121.74682,,G17,Tsme,76.7,y,,,
AR07,2008,46.77668,121.74653,,G18,Abam,63.8,y,,,
AR07,2008,46.77705,121.74670,,G19,Cano,63.8,y,,,
AR07,2008,46.77703,121.74798,,G2,Abam,58.2,n,,,
AR07,2008,46.77705,121.74670,,G20,Tsme,77.5,y,,,
AR07,2008,46.77705,121.74670,,G21,Abam,72.9,y,,,
AR07,2008,46.77702,121.74712,,G22,Abam,62.5,y,,,
AR07,2008,46.77703,121.74713,,G23,Tsme,71,y,,,
AR07,2008,46.77708,121.74757,,G24,Cano,49.5,y,,,
AR07,2008,46.77695,121.74758,,G25,Abam,71.8,y,,,
AR07,2008,46.77695,121.74758,,G26,Cano,57.6,n,,,
AR07,2008,46.77587,121.74725,,G28,Abam,95,y,,,
AR07,2008,46.77563,121.74743,,G29,Cano,66.6,y,NO G27! Tag lost,,
AR07,2008,46.77685,121.74780,,G3,Cano,51.7,y,,,
AR07,2008,46.77570,121.74795,,G30,Tsme,64.2,y,,,
AR07,2008,46.77588,121.74803,,G31,Cano,50.3,y,,,
AR07,2009,46.77632,121.74667,,G32,Tsme,41.7,y,,,
AR07,2009,46.77628,121.74663,,G33,Cano,55,n,In gap,,
AR07,2009,46.77653,121.74657,,G34,Tsme,88.1,y,In gap,,
AR07,2009,46.77672,121.74612,,G35,Cano,51.8,n,,,
AR07,2009,46.77655,121.74597,,G36,Tsme,43.2,n,,,
AR07,2009,46.77665,121.74607,,G37,Cano,39.7,n,,,
AR07,2009,46.77687,121.74637,,G38,Tsme,53.7,y,,,
AR07,2009,46.77700,121.74647,,G39,Cano,51.4,y,,,
AR07,2008,46.77705,121.74798,,G4,Abam,81.3,y,,,
AR07,2009,46.77700,121.74647,,G40,Tsme,53.9,n,,,
AR07,2009,46.77732,121.74657,,G41,Cano,55.4,n,,,
AR07,2009,46.77725,121.74658,,G42,Cano,57.1,y,,,
AR07,2009,46.77765,121.74673,,G43,Cano,66.1,n,,,
AR07,2009,46.77758,121.74713,,G44,Cano,49.9,n,,,
AR07,2009,46.77728,121.74715,,G45,Cano,54,n,,,
AR07,2009,46.77613,121.74664,13,G47,Abam,53,y,,,
AR07,2009,46.77613,121.74664,13,G48,Tsme,57.2,n,,,
AR07,2009,46.77611,121.74692,18,G49,Tsme,76.5,y,,,
AR07,2008,46.77707,121.74818,,G5,Tsme,53.3,n,,,
AR07,2009,46.77602,121.74717,20,G50,Abam,80.8,y,,,
AR07,2009,46.77568,121.74724,12.8,G51,Tsme,48,y,,,
AR07,2009,46.77568,121.74733,9,G52,Abam,91.4,y,,,
AR07,2009,46.77544,121.74748,12.8,G53,Abam,80,y,,,
AR07,2009,46.77547,121.74754,17,G54,Tsme,39.5,n,,,
