Avalanche Path,ID,Sample,Species,TransInPlace,Outer_yr,Inner_yr,Age,Pith,Event,Class,Y,X,Z,Lab Notes,Field Notes
54-3,6,X,PIEN,INPLACE,2014,1945,69,Y,1956,2,48.71553004,-113.780997,1081.685547,(1956 RW DIRECTIONAL SHIFT MULT YRS) MSR,"In place, downhill side of road 3m north of #1, Staub broken off 1m"
54-3,6,X,PIEN,INPLACE,2014,1945,69,Y,2014,1,48.71553004,-113.780997,1081.685547,(2014 DEATH DATE EW PRESENT),NA
54-3,7,X,ABLA,INPLACE,2007,1938,69,Y,1975,3,48.71569902,-113.78083,1081.354614,"(1975 TRDS BOTH SIDES OF SCAR) MSR Heart Rot, Scar incomploete","In place, downhill side of road 4m northeast of #6, Root wad intact "
54-3,7,X,ABLA,INPLACE,2007,1938,69,Y,1980,1,48.71569902,-113.78083,1081.354614,(1980 SCAR TRDS most convincing year of rotten part of scar),NA
54-3,7,X,ABLA,INPLACE,2007,1938,69,Y,1985,2,48.71569902,-113.78083,1081.354614,(1985 MINIMAL SCAR TISSUE TRDS),NA
54-3,7,X,ABLA,INPLACE,2007,1938,69,Y,1991,2,48.71569902,-113.78083,1081.354614,(1991 MINIMAL SCAR TISSUE TRDS),NA
54-3,8,X,PIEN,INPLACE,2014,1972,42,Y,2014,1,48.71554999,-113.781028,1079.783691,(2014 EW DEATH DATE) VIS XD,"In place, downhill side of road 3m west of #6, broken off at base"
54-3,9,X,PIEN,INPLACE,2014,1972,42,Y,NA,NA,48.71557798,-113.781242,1076.595215,NA,"In place, downhill side of road ~60m north of road, ~3m north of #8, broken off at base"
54-3,10,X,ABLA,INPLACE,2014,1935,79,Y,2014,1,48.71518303,-113.780854,1088.269653,(2014 VERY MINIMAL EW  DEATH DATE) VIS XD,"In place, downhill side of road ~3m NW of #1, Standing staub"
54-3,11,X,ABLA,INPLACE,2001,1936,65,N,1950,2,48.71526903,-113.780793,1080.495239,(1950 MULTIPLE YRS RW CW) Heart Rot no P,"In place, downhill side of road ~2m W of #1, standing short staub"
54-3,12,X,ABLA,INPLACE,2006,1925,81,Y,1933,2,48.71555803,-113.780913,1089.403198,(1933 MULTIPLE YRS RW CW) VIS XD ,"In place, just next to #13 1m, standing staub"
54-3,12,X,ABLA,INPLACE,2006,1925,81,Y,1956,2,48.71555803,-113.780913,1089.403198,(1956 SMALL DISTURBANCE/SCAR W/O RW),NA
54-3,13,X,PIEN,INPLACE,2014,1935,79,Y,1990,2,48.71561897,-113.78086,1104.092651,(1990 MULTIPLE YEARS CW RW) MSR ,"Transported, possible stump ~10m south of stem. Downhill side of road."
54-3,13,X,PIEN,INPLACE,2014,1935,79,Y,2014,1,48.71561897,-113.78086,1104.092651,(2014 MINIMAL EW DEATH DATE),NA
54-3,14,X,PIEN,INPLACE,2014,1934,80,Y,2014,1,48.71570103,-113.781053,1106.873413,"(2014 EW CELLS DEATH DATE) VS XD, TRDS DISPURSED in 2000s","In place, downhill side of road ~2m N of #12, root wad intact"
54-3,15,X,PIEN,INPLACE,2000,1938,62,Y,1987,2,48.71558301,-113.781009,1093.9552,(1987 GS TRDS) MSR ,"In place, downhill side of road ~2m N of #14, leaner full dead tree"
54-3,15,X,PIEN,INPLACE,2000,1938,62,Y,1995,2,48.71558301,-113.781009,1093.9552,(1995 GS TRDS),NA
54-3,16,X,ABLA,INPLACE,2013,1929,84,Y,1967,1,48.71499603,-113.779172,1105.189331,"(1967 SCAR NO RW, MAYBE NOT AVE?)","In place, uphill south side of road eastern lower lobe ~7m N of creek, root wad intact"
54-3,16,X,ABLA,INPLACE,2013,1929,84,Y,1972,2,48.71499603,-113.779172,1105.189331,(1972 SMALL SCAR TRD DISTURBANCE),NA
54-3,16,X,ABLA,INPLACE,2013,1929,84,Y,1990,2,48.71499603,-113.779172,1105.189331,(1990 GS TRDS),NA
54-3,17,X,ABLA,INPLACE,2014,1929,85,N,1933,3,48.71513098,-113.778851,1090.010742,"(1933 RW) MSR, NO P ROT","In place uphill south side of road eastern lower lobe ~2m SW of #16, standing staub"
54-3,17,X,ABLA,INPLACE,2014,1929,85,N,1945,3,48.71513098,-113.778851,1090.010742,(1945 RW),NA
54-3,17,X,ABLA,INPLACE,2014,1929,85,N,2014,1,48.71513098,-113.778851,1090.010742,(2014 EW DEATH DATE),NA
54-3,18,X,PIEN,INPLACE,2014,1918,96,Y,1927,2,48.714905,-113.778802,1074.187744,(1927 3YRS RW) VIS XD,"In place uphill south side of road eastern lower lobe on north creek bank ~5m from #19, standing staub"
54-3,18,X,PIEN,INPLACE,2014,1918,96,Y,1933,2,48.714905,-113.778802,1074.187744,(1933 6YRS RW),NA
54-3,18,X,PIEN,INPLACE,2014,1918,96,Y,1950,2,48.714905,-113.778802,1074.187744,(1950 4YRS RW),NA
54-3,18,X,PIEN,INPLACE,2014,1918,96,Y,1956,1,48.714905,-113.778802,1074.187744,"(1956 LARGE SCAR, TRDS)",NA
54-3,18,X,PIEN,INPLACE,2014,1918,96,Y,1974,1,48.714905,-113.778802,1074.187744,"(1974 SMALL SCAR, TRDS)",NA
54-3,18,X,PIEN,INPLACE,2014,1918,96,Y,1990,2,48.714905,-113.778802,1074.187744,"(1990 GS, TRDS)",NA
54-3,18,X,PIEN,INPLACE,2014,1918,96,Y,2014,1,48.714905,-113.778802,1074.187744,(2014 EW DEATH DATE),NA
54-3,19,X,ABLA,INPLACE,2017,1932,85,Y,1933,3,48.71491204,-113.778974,1086.645508,(1933 2YRS RW EARLY) VIS XD,"In place uphill south side of road eastern lower lobe ~2m north of creek, recently dead green canopy, root wad intact"
54-3,19,X,ABLA,INPLACE,2017,1932,85,Y,1950,2,48.71491204,-113.778974,1086.645508,(1950 4YRS RW),NA
54-3,19,X,ABLA,INPLACE,2017,1932,85,Y,1953,4,48.71491204,-113.778974,1086.645508,(1953 ISOLATED TRDS),NA
54-3,19,X,ABLA,INPLACE,2017,1932,85,Y,1972,2,48.71491204,-113.778974,1086.645508,(1972 TRDS RW GS),NA
54-3,19,X,ABLA,INPLACE,2017,1932,85,Y,1987,3,48.71491204,-113.778974,1086.645508,(1987 ISOLATED TRDS),NA
54-3,20,X,PIEN,INPLACE,2014,1912,102,Y,1933,2,48.71475798,-113.778992,1088.026978,(1933 RW MULTIPLE YRS)  VIS XD,"In place, uphill south side of road eastern lower lobe ~1m N of creek, standing staub"
54-3,20,X,PIEN,INPLACE,2014,1912,102,Y,1954,3,48.71475798,-113.778992,1088.026978,(1954 2 YRS RW),NA
54-3,20,X,PIEN,INPLACE,2014,1912,102,Y,2014,1,48.71475798,-113.778992,1088.026978,(2014 EW DEATH DATE),NA
54-3,21,X,ABLA,INPLACE,2014,1937,77,Y,1972,2,48.71301798,-113.77468,1191.175903,(1972 RW MULTPIPLE YRS) MSR,"In place, East trimline obvious uphill scar, above second bench, standing staub"
54-3,21,X,ABLA,INPLACE,2014,1937,77,Y,2000,1,48.71301798,-113.77468,1191.175903,(2000 SCAR TRDS),NA
54-3,21,X,ABLA,INPLACE,2014,1937,77,Y,2014,1,48.71301798,-113.77468,1191.175903,(2014 EW DEATH DATE),NA
54-3,22,X,PSME,INPLACE,2007,1777,230,N,NA,NA,48.71228096,-113.773961,1228.686035,"(CORE MSR XD, NO DISTURBANCES)","In place, Cored ~10m in forest from edge of trimline, uphill (SW) core good intact, unsuccessful downhill core rotten, dead standing"
54-3,23,X,ABLA,INPLACE,2007,1777,230,N,NA,NA,48.71219496,-113.773936,1226.464722,NA,"In place, ~20m in forest from east trimline above second bench, root wad intact"
54-3,24,X,ABLA,INPLACE,2007,1935,72,Y,1946,4,48.71221902,-113.773714,1236.138428,(1946 RW 2YR) MSR ,"In place, ~25m in forest from east trimline above second bench , root wad intact"
54-3,24,X,ABLA,INPLACE,2007,1935,72,Y,1954,3,48.71221902,-113.773714,1236.138428,(1954 RW 2YR) ,NA
54-3,25,X,ABLA,INPLACE,2008,1934,74,Y,1947,5,48.71229596,-113.773827,1228.067627,(1947 RW 1YR) MSR,"In place, ~23m in forest from east trimline above second bench , root wad intact"
54-3,25,X,ABLA,INPLACE,2008,1934,74,Y,1967,1,48.71229596,-113.773827,1228.067627,(1967 SCAR RW TRDS),NA
54-3,25,X,ABLA,INPLACE,2008,1934,74,Y,1982,1,48.71229596,-113.773827,1228.067627,(1982 SCAR RW TRDS),NA
54-3,26,L,THPL,CORE,2017,1914,103,N,NA,NA,48.711885,-113.773378,1219.761353,"CORES AB, SKP POOR XD, NO DISTURBANCE","In place, ~40m in forest from east trimline above second bench ~12ft in diameter, two cores; A uphill and B 90degrees from A on W side facing trimline"
54-3,27,X,ABLA,INPLACE,2012,1936,76,Y,1949,5,48.71275898,-113.774294,1199.739136,(1949 RW) MSR XD WELL,"In place, ~5m in forest from east trimline above second bench, 1.5m east from #28, root wad intact"
54-3,27,X,ABLA,INPLACE,2012,1936,76,Y,2008,3,48.71275898,-113.774294,1199.739136,(2008 TRDS),NA
54-3,27,X,ABLA,INPLACE,2012,1936,76,Y,2012,3,48.71275898,-113.774294,1199.739136,(2012 TRDS),NA
54-3,28,X,ABLA,INPLACE,2007,1912,95,Y,1933,3,48.71279997,-113.77434,1204.252441,(1933 RW 2YRS) MSR XD WELL,"In place, ~4m in forest from east trimline above second bench, large scar and partially rotten, standing staub"
54-3,28,X,ABLA,INPLACE,2007,1912,95,Y,1954,2,48.71279997,-113.77434,1204.252441,(1954 RW MULT YR),NA
54-3,28,X,ABLA,INPLACE,2007,1912,95,Y,1982,1,48.71279997,-113.77434,1204.252441,(1982 SCAR TRDS GS),NA
54-3,28,X,ABLA,INPLACE,2007,1912,95,Y,2002,2,48.71279997,-113.77434,1204.252441,(2003 TRDS SMALL SCAR),NA
54-3,28,X,ABLA,INPLACE,2007,1912,95,Y,2007,1,48.71279997,-113.77434,1204.252441,(2007 EW DEATH DATE),NA
54-3,29,X,ABLA,INPLACE,2014,1920,94,Y,1933,3,48.71328402,-113.774834,1192.425171,(1933 DEFINED RW 1YR) VIS XD,"In place, ~4m in forest from east trimline above second bench, large scar on west side of stem facing trimline, standing staub"
54-3,29,X,ABLA,INPLACE,2014,1920,94,Y,1935,2,48.71328402,-113.774834,1192.425171,(1935 SMALL SCAR TRDS),NA
54-3,29,X,ABLA,INPLACE,2014,1920,94,Y,1950,3,48.71328402,-113.774834,1192.425171,(1950  RW 1YR),NA
54-3,29,X,ABLA,INPLACE,2014,1920,94,Y,1954,3,48.71328402,-113.774834,1192.425171,(1954  RW 1YR),NA
54-3,29,X,ABLA,INPLACE,2014,1920,94,Y,1960,3,48.71328402,-113.774834,1192.425171,(1960 RW 1YR),NA
54-3,29,X,ABLA,INPLACE,2014,1920,94,Y,1982,2,48.71328402,-113.774834,1192.425171,(1982 SUBSTANTIAL TRDS),NA
54-3,29,X,ABLA,INPLACE,2014,1920,94,Y,1990,3,48.71328402,-113.774834,1192.425171,(1990 TRDS),NA
54-3,29,X,ABLA,INPLACE,2014,1920,94,Y,2000,3,48.71328402,-113.774834,1192.425171,(2000 TRDS),NA
54-3,29,X,ABLA,INPLACE,2014,1920,94,Y,2004,1,48.71328402,-113.774834,1192.425171,(2004 SCAR TRDS),NA
54-3,29,X,ABLA,INPLACE,2014,1920,94,Y,2014,1,48.71328402,-113.774834,1192.425171,(2014 EW DEATH DATE),NA
54-3,30,X,ABLA,TRANSPORT,2014,1949,65,N,1954,3,48.71366397,-113.776029,1157.027344,(1954 RW 3YRS YOUNG TREE) MSR ,"Potentially transported, bark removed, likely in place.  East of center island of living trees seperating upper east lobe "
54-3,30,X,ABLA,TRANSPORT,2014,1949,65,N,1968,3,48.71366397,-113.776029,1157.027344,(1968 RW 1YR),NA
54-3,30,X,ABLA,TRANSPORT,2014,1949,65,N,2014,1,48.71366397,-113.776029,1157.027344,(2014 NO EW DEATH DATE),NA
54-3,31,X,ABLA,TRANSPORT,2014,1968,46,N,1982,2,48.71377797,-113.775931,1156.757202,"(1982 TRDS FOLLOWING EVENT, POTENTIAL SCAR) VIS XD","Transported, crown laying uphill, scar, rot, ~4m from #30 on eastern edge of center island of living trees"
54-3,31,X,ABLA,TRANSPORT,2014,1968,46,N,2000,3,48.71377797,-113.775931,1156.757202,"(2000 TRDS IN LW,  MULTIPLE ARES)",NA
54-3,31,X,ABLA,TRANSPORT,2014,1968,46,N,2001,3,48.71377797,-113.775931,1156.757202,"(2001 TRDS IN EW, COULD BE SAME EVENT 2000/2001)",NA
54-3,31,X,ABLA,TRANSPORT,2014,1968,46,N,2003,2,48.71377797,-113.775931,1156.757202,(2003 SMALL SCAR TRDS),NA
54-3,31,X,ABLA,TRANSPORT,2014,1968,46,N,2014,1,48.71377797,-113.775931,1156.757202,(2014 EW DEATH DATE),NA
54-3,32,X,PIEN,INPLACE,2014,1943,71,Y,1954,3,48.71373799,-113.77634,1148.39502,(1954 2YRS RW) MSR XD WELL,"In place, eastern edge of trimline of center island, ~10m downslope from #31  (No photo), stading staub"
54-3,32,X,PIEN,INPLACE,2014,1943,71,Y,1960,4,48.71373799,-113.77634,1148.39502,(1960 RW),NA
54-3,32,X,PIEN,INPLACE,2014,1943,71,Y,1975,3,48.71373799,-113.77634,1148.39502,(1975 2YR RW),NA
54-3,32,X,PIEN,INPLACE,2014,1943,71,Y,1982,2,48.71373799,-113.77634,1148.39502,"(1982 ABUNDANT TRDS, GS)",NA
54-3,32,X,PIEN,INPLACE,2014,1943,71,Y,2014,1,48.71373799,-113.77634,1148.39502,(2014 EW DEATH DATE),NA
54-3,33,X,ABLA,INPLACE,2014,1939,75,Y,1946,4,48.71397503,-113.776777,1130.125,(1946 RW 2YRS YOUNG TREE) MSR SKP XD,"In place, stem with scars, middle of far eastern lobe at base of second bench slope.  (No photo) Note: Far eastern lobe mostly deciduous., standing staub"
54-3,33,X,ABLA,INPLACE,2014,1939,75,Y,1950,3,48.71397503,-113.776777,1130.125,(1950 RW 1YR),NA
54-3,33,X,ABLA,INPLACE,2014,1939,75,Y,1954,3,48.71397503,-113.776777,1130.125,(1954 RW 2YR),NA
54-3,33,X,ABLA,INPLACE,2014,1939,75,Y,1982,1,48.71397503,-113.776777,1130.125,(1982 SCAR TRDS),NA
54-3,33,X,ABLA,INPLACE,2014,1939,75,Y,1997,1,48.71397503,-113.776777,1130.125,(1997 LARGE SCAR TRDS),NA
54-3,33,X,ABLA,INPLACE,2014,1939,75,Y,2003,1,48.71397503,-113.776777,1130.125,(2003 SCAR TRDS),NA
54-3,33,X,ABLA,INPLACE,2014,1939,75,Y,2014,1,48.71397503,-113.776777,1130.125,(2014 EW DEATH DATE),NA
54-3,34,X,ABLA,TRANSPORT,2014,1925,89,Y,1933,2,48.71394804,-113.777497,1123.480225,(1933 RW 2YRS) VIS XD WELL,"Transported, Uphill side unknown, on edge of trimline far eastern lobe."
54-3,34,X,ABLA,TRANSPORT,2014,1925,89,Y,1950,2,48.71394804,-113.777497,1123.480225,(1950 MAJOR GS),NA
54-3,34,X,ABLA,TRANSPORT,2014,1925,89,Y,1982,2,48.71394804,-113.777497,1123.480225,(1982 SMALL TRAUMA TRDS),NA
54-3,34,X,ABLA,TRANSPORT,2014,1925,89,Y,1984,2,48.71394804,-113.777497,1123.480225,(1984 MAJOR GS TRDS),NA
54-3,34,X,ABLA,TRANSPORT,2014,1925,89,Y,2003,1,48.71394804,-113.777497,1123.480225,(2003 SMALL SCAR TRDS),NA
54-3,34,X,ABLA,TRANSPORT,2014,1925,89,Y,2008,1,48.71394804,-113.777497,1123.480225,(2008 SMALL SCAR TRDS),NA
54-3,34,X,ABLA,TRANSPORT,2014,1925,89,Y,2014,1,48.71394804,-113.777497,1123.480225,(2014 EW DEATH DATE),NA
54-3,35,L,PSME,CORE,2017,1810,207,N,NA,NA,48.71434299,-113.777952,1098.725952,"CORES A/B NO DISTURBANCES WEAK XD, RING CT TO CENTER","In place, two cores: uphill south side (A), and perpandicular west side (B). Located in forest of eastern trimline main lobe. ~8ft diameter."
54-3,36,X,ABLA,INPLACE,2014,1971,43,Y,1979,5,48.71495102,-113.780404,1065.303467,(1979 RW YOUNG TREE) VIS XD,"In place, ~40m south from road in main slide path lobe, ~8m from center tree island, standing staub"
54-3,36,X,ABLA,INPLACE,2014,1971,43,Y,1984,2,48.71495102,-113.780404,1065.303467,(1984 TRDS GS),NA
54-3,36,X,ABLA,INPLACE,2014,1971,43,Y,2014,1,48.71495102,-113.780404,1065.303467,(2014 EW DEATH DATE),NA
54-3,37,X,PIEN,INPLACE,2007,1947,60,Y,1950,4,48.71466997,-113.780536,1069.704834,(1950 RW YOUNG TREE)  MSR XD,"In place, ~25m from west trimline of main lobe, standing staub"
54-3,38,X,PIEN,INPLACE,2014,1923,91,Y,1933,2,48.71463904,-113.780631,1075.88916,"(1933 MULTIPLE RW YRS, GS LAB) MSR WEAK XD ","In place, ~20m from west trimline main lobe, obvious scar and tree may have twisted when fell, on ground with roots, root wad intact"
54-3,38,X,PIEN,INPLACE,2014,1923,91,Y,1950,2,48.71463904,-113.780631,1075.88916,(1950 STRONG RW),NA
54-3,38,X,PIEN,INPLACE,2014,1923,91,Y,1966,1,48.71463904,-113.780631,1075.88916,"(1966 LARGE SCAR, EW, TRDS)",NA
54-3,38,X,PIEN,INPLACE,2014,1923,91,Y,2014,1,48.71463904,-113.780631,1075.88916,(2014 EW DEATH DATE),NA
54-3,39,X,PIEN,INPLACE,2008,1941,67,Y,1949,5,48.71447601,-113.780544,1078.459229,(1949 1 YR RW POORLY DEFINED  YOUNG) VIS XD ,"In place, ~15m from west trimline in main lobe south of creek, scar on uphill side, standing staub"
54-3,40,X,PIEN,INPLACE,2014,1934,80,Y,1950,4,48.71438004,-113.780579,1086.811401,"(1950 2YR MINIMAL DISTURBANCE, LW GS) MSR XD WELL","In place, ~5m from west trimline trees in main lobe on slope of first bench, standing staub"
54-3,40,X,PIEN,INPLACE,2014,1934,80,Y,2014,1,48.71438004,-113.780579,1086.811401,(2014 EW DEATH DATE),NA
54-3,41,X,ABLA,INPLACE,2014,1942,72,Y,1950,2,48.71388098,-113.780044,1088.862671,(1950 DEFINED RW 2 YRS) VIS XD WELL,"In place, ~6m from west trimline trees in main lobe on edge of gulley , standing staub"
54-3,41,X,ABLA,INPLACE,2014,1942,72,Y,1954,2,48.71388098,-113.780044,1088.862671,(1954 RW 4 YRS),NA
54-3,41,X,ABLA,INPLACE,2014,1942,72,Y,1972,4,48.71388098,-113.780044,1088.862671,(1972 WEAKLY DEFINED TRDS),NA
54-3,41,X,ABLA,INPLACE,2014,1942,72,Y,1988,2,48.71388098,-113.780044,1088.862671,"(1988 TRDS MULTIPLE SPOTS, GS)",NA
54-3,41,X,ABLA,INPLACE,2014,1942,72,Y,2014,1,48.71388098,-113.780044,1088.862671,(2014 EW DEATH DATE),NA
54-3,42,L,PSME,CORE,2017,1954,63,N,NA,NA,48.71395801,-113.780174,1093.713257,"CORES A/B NO DISTURBANCES, MSR XD","In place, cored on edge of west trimline on west side of gulley in main lobe. Two cores; (A) uphill south side, (B) perpendicular  east side of stem facing lobe"
54-3,43,X,ABLA,INPLACE,2014,1960,54,Y,1972,2,48.71394603,-113.779972,1094.680908,(1972 DEFINED RW 2YRS)  VIS XD,"In place, located on east side of gulley in main lobe about ~15m from west trimline across from #42, standing staub"
54-3,43,X,ABLA,INPLACE,2014,1960,54,Y,2003,2,48.71394603,-113.779972,1094.680908,(2003  MAJOR GS),NA
54-3,43,X,ABLA,INPLACE,2014,1960,54,Y,2014,1,48.71394603,-113.779972,1094.680908,(2014 EW DEATH DATE),NA
54-3,44,X,ABLA,INPLACE,2014,1950,64,Y,1964,4,48.71418298,-113.78021,1104.127441,(1964 MINIMAL TRDS RW) MSR SKP XD,"In place, located on east side of gulley in main lobe in bottom of gulley just before bench drop,standing staub"
54-3,44,X,ABLA,INPLACE,2014,1950,64,Y,1972,2,48.71418298,-113.78021,1104.127441,(1972 DEFINED RW),NA
54-3,44,X,ABLA,INPLACE,2014,1950,64,Y,2014,1,48.71418298,-113.78021,1104.127441,(EW DEATH DATE),NA
54-3,45,X,ABLA,INPLACE,2014,1942,72,Y,1956,3,48.71414702,-113.780251,1104.104614,(1956 RW 2 YRS) MSR SKP XD,"In place, located in gulley in main lobe, bottom of gulley just before bench drop, standing staub"
54-3,45,X,ABLA,INPLACE,2014,1942,72,Y,2003,5,48.71414702,-113.780251,1104.104614,(2003 MINIMAL TRDS),NA
54-3,45,X,ABLA,INPLACE,2014,1942,72,Y,2007,4,48.71414702,-113.780251,1104.104614,(2007 TRDS),NA
54-3,45,X,ABLA,INPLACE,2014,1942,72,Y,2010,5,48.71414702,-113.780251,1104.104614,(2010 TRDS),NA
54-3,45,X,ABLA,INPLACE,2014,1942,72,Y,2014,1,48.71414702,-113.780251,1104.104614,(2014 EW DEATH DATE),NA
54-3,46,X,ABLA,INPLACE,2014,1915,99,Y,1933,2,48.71225297,-113.778622,1095.558105,(1933 RW 3YRS) MSR XD,"In place, just below cliff on first bench ~60-70m abover lower west trimline, staub 15ft tall, ~1.5ft DBH, standing staub"
54-3,46,X,ABLA,INPLACE,2014,1915,99,Y,1950,2,48.71225297,-113.778622,1095.558105,(1950 DEFINED 3YRS RW),NA
54-3,46,X,ABLA,INPLACE,2014,1915,99,Y,1982,1,48.71225297,-113.778622,1095.558105,"(1982 SMALL SCAR, TRDS",NA
54-3,46,X,ABLA,INPLACE,2014,1915,99,Y,2014,1,48.71225297,-113.778622,1095.558105,(2014 EW DEATH DATE),NA
54-3,47,X,ABLA,INPLACE,2014,1923,91,Y,1933,2,48.71232899,-113.778487,1133.615234,(1933 DEFINED RW) VIS XD,"In place, below cliffs near west trimline, ~20ft tall staub, ~1.5ft dbh, obvious uphill scar, sample in pieces tapped up, standing staub"
54-3,47,X,ABLA,INPLACE,2014,1923,91,Y,1943,2,48.71232899,-113.778487,1133.615234,(1943 RW 4 YRS),NA
54-3,47,X,ABLA,INPLACE,2014,1923,91,Y,1950,1,48.71232899,-113.778487,1133.615234,"(1950 VERY STRONG RW, TRDS, GS, PROBABLE IMPACT)",NA
54-3,47,X,ABLA,INPLACE,2014,1923,91,Y,1968,2,48.71232899,-113.778487,1133.615234,"(1968 SMALL SCAR, TRDS)",NA
54-3,47,X,ABLA,INPLACE,2014,1923,91,Y,1972,1,48.71232899,-113.778487,1133.615234,"(1972 LARGE SCAR, EW 1972, TRDS)",NA
54-3,47,X,ABLA,INPLACE,2014,1923,91,Y,1990,2,48.71232899,-113.778487,1133.615234,(1990 SIGNIFICANT GS),NA
54-3,47,X,ABLA,INPLACE,2014,1923,91,Y,2014,1,48.71232899,-113.778487,1133.615234,"(2014 NO EW, MOST PROBABLE CAUSE OF DEATH)",NA
54-3,48,X,PSME,INPLACE,2014,1927,87,Y,1933,2,48.71236897,-113.778685,1142.737671,(1933 DEFINED 3YRS RW) MSR,"In place, below cliffs ~15m, ~2-2.5ft dbh, downed in place, root wad intact"
54-3,48,X,PSME,INPLACE,2014,1927,87,Y,1943,2,48.71236897,-113.778685,1142.737671,"(1943 DIRECTIONAL SHIFT, RW MULTIPLE YRS)",NA
54-3,48,X,PSME,INPLACE,2014,1927,87,Y,1950,2,48.71236897,-113.778685,1142.737671,(1950 DEFINED RW MULTIPLE YEARS),NA
54-3,48,X,PSME,INPLACE,2014,1927,87,Y,1960,1,48.71236897,-113.778685,1142.737671,"(1960 SCAR, TRDS)",NA
54-3,48,X,PSME,INPLACE,2014,1927,87,Y,2014,1,48.71236897,-113.778685,1142.737671,(2014 EW DEATH DATE),NA
54-3,49,X,ABLA,INPLACE,2014,1951,63,Y,1964,2,48.71236101,-113.778691,1144.315063,"(1964 VERY SMALL SCAR, TRDS, RW) VIS XD","In place, ~7ft tall next to large PSME above #47, standing staub"
54-3,49,X,ABLA,INPLACE,2014,1951,63,Y,1971,1,48.71236101,-113.778691,1144.315063,"(1971 SCAR, TRDS)",NA
54-3,49,X,ABLA,INPLACE,2014,1951,63,Y,2014,1,48.71236101,-113.778691,1144.315063,(2014 EW DEATH DATE),NA
54-3,50,X,ABLA,INPLACE,2017,1935,82,Y,1950,2,48.71233704,-113.778913,1135.919067,(1950 RW 3 YRS) MSR SKP WEAK XD,"In place, ~20m below cliffs, ~15ft tall, live branches, numerous scars on uphill side, standing staub"
54-3,50,X,ABLA,INPLACE,2017,1935,82,Y,1954,3,48.71233704,-113.778913,1135.919067,(1954 RW 1YR),NA
54-3,50,X,ABLA,INPLACE,2017,1935,82,Y,1960,3,48.71233704,-113.778913,1135.919067,(1960 RW 1YR),NA
54-3,50,X,ABLA,INPLACE,2017,1935,82,Y,1972,1,48.71233704,-113.778913,1135.919067,"(1972 SCAR, RW, TRDS)",NA
54-3,50,X,ABLA,INPLACE,2017,1935,82,Y,1985,1,48.71233704,-113.778913,1135.919067,"(1985 SCAR, RW, TRDS)",NA
54-3,50,X,ABLA,INPLACE,2017,1935,82,Y,1993,1,48.71233704,-113.778913,1135.919067,"(1993 SCAR, TRDS)",NA
