age_CE,DLK02B_raw,DLK05A_raw,DLK05B_raw,DLK05C_raw,DLK06A_raw,DLK06B_raw,DLK06C_raw,DLK07A_raw,DLK07B_raw,DLK07C_raw,DLK08A_raw,DLK08B_raw,DLK09A_raw,DLK09B_raw,DLK10A_raw,DLK10B_raw,DLK11A_raw,DLK11B_raw,DLK12A_raw,DLK12B_raw,DLK02B_raw_outlier_flag,DLK05A_raw_outlier_flag,DLK05B_raw_outlier_flag,DLK05C_raw_outlier_flag,DLK06A_raw_outlier_flag,DLK06B_raw_outlier_flag,DLK06C_raw_outlier_flag,DLK07A_raw_outlier_flag,DLK07B_raw_outlier_flag,DLK07C_raw_outlier_flag,DLK08A_raw_outlier_flag,DLK08B_raw_outlier_flag,DLK09A_raw_outlier_flag,DLK09B_raw_outlier_flag,DLK10A_raw_outlier_flag,DLK10B_raw_outlier_flag,DLK11A_raw_outlier_flag,DLK11B_raw_outlier_flag,DLK12A_raw_outlier_flag,DLK12B_raw_outlier_flag
1543,NA,1.44,NA,NA,NA,NA,NA,1.54,2,1.12,1.51,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1544,NA,1.82,NA,NA,NA,NA,NA,1.85,2.31,1.26,1.6,2.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1545,NA,1.39,NA,NA,NA,NA,NA,2.18,2.31,1.13,1.63,2.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
1546,NA,1.56,NA,NA,NA,NA,NA,1.54,2.21,1.23,1.29,2.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1547,NA,1.85,NA,NA,NA,NA,NA,2.36,2.37,1.35,2,3.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
1548,NA,1.44,NA,1.96,NA,NA,NA,2.19,2.2,1.31,1.9,2.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
1549,NA,1.56,NA,1.59,NA,NA,NA,1.92,2.8,1.61,2.11,3.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
1550,NA,1.46,NA,1.65,NA,NA,NA,2.02,2.17,1.53,1.66,2.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1551,NA,1.78,NA,2.18,NA,NA,NA,2.43,2.12,1.58,2.07,3.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
1552,NA,1.72,NA,1.78,NA,NA,NA,1.86,2.15,1.58,2.48,2.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1553,NA,2.11,NA,2.53,NA,NA,NA,2.02,2.13,1.5,2.64,2.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1554,NA,1.59,NA,1.61,NA,NA,NA,1.8,1.8,1.31,1.99,2.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1555,NA,2.05,NA,2.19,NA,NA,NA,1.63,1.65,1.07,2.68,2.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1556,NA,1.43,NA,1.53,NA,NA,NA,1.45,1.4,1.25,2.51,1.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1557,NA,0,NA,0,NA,NA,NA,0.93,0.66,0.78,1.9,2.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1558,NA,0,NA,0,NA,NA,NA,0.99,0.69,0.84,2,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1559,NA,0.13,NA,0.27,NA,NA,NA,1.52,1.03,1.01,2.34,2.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1560,NA,0.3,NA,0.4,NA,NA,NA,1.59,1.19,1.13,1.5,2.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1561,NA,0.47,NA,0.37,NA,NA,NA,1.72,0.92,1.02,1.51,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1562,NA,0.46,NA,0.45,NA,NA,NA,1.54,1.16,1.14,1.61,1.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1563,NA,0.55,NA,0.52,NA,NA,NA,1.75,1.63,1.1,1.45,1.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1564,NA,0.81,NA,0.98,NA,NA,NA,1.56,1.49,1.21,1.44,2.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1565,NA,1.27,NA,1.12,NA,NA,NA,2.38,1.71,1.66,1.77,1.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1566,NA,1.65,NA,2.12,NA,NA,NA,2.74,2.09,1.8,1.89,2.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1567,NA,1.82,NA,2.33,NA,NA,NA,2.97,2.19,1.7,1.24,2.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1568,NA,2.57,NA,2.22,NA,NA,NA,2.1,2.16,1.33,1.49,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1569,NA,3.12,NA,3.5,NA,NA,NA,3.14,2.46,1.63,1.89,2.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1570,NA,2.42,NA,2.8,NA,NA,NA,2.43,2.74,1.64,1.51,2.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
1571,NA,3.15,NA,3.05,NA,NA,NA,1.91,1.85,1.54,1.63,2.6,NA,NA,NA,2.33,NA,NA,NA,NA,NA,TRUE,NA,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA
1572,NA,3.08,NA,3.05,NA,NA,NA,1.95,2,1.75,1.84,2.24,NA,NA,NA,2.73,NA,NA,NA,NA,NA,TRUE,NA,TRUE,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,TRUE,NA,NA,NA,NA
1573,NA,1.76,NA,2.26,NA,NA,NA,1.47,1.44,1.01,1.47,1.68,NA,NA,NA,2.35,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA
1574,NA,3.04,NA,2.72,NA,NA,NA,1.16,1.07,0.89,0.79,1.53,NA,NA,NA,2.07,NA,NA,NA,NA,NA,TRUE,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA
1575,NA,3.11,NA,2.66,NA,NA,NA,2.25,1.08,1.23,1.5,2.03,NA,NA,NA,2.49,NA,NA,NA,NA,NA,TRUE,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA
1576,NA,2.51,NA,1.84,NA,NA,NA,1.69,1.32,1.23,1.62,1.62,NA,NA,NA,2.41,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA
1577,NA,2.07,NA,2.09,NA,NA,NA,1.79,1.47,1.2,1.88,2.35,NA,NA,NA,2.98,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,TRUE,NA,NA,NA,NA
1578,NA,2.86,NA,2.59,NA,NA,NA,1.97,1.6,1.5,1.72,2.11,NA,NA,NA,2.17,NA,NA,NA,NA,NA,TRUE,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA
1579,NA,2.57,NA,2.79,NA,NA,NA,1.79,1.51,1.36,2.61,2.59,NA,NA,NA,2.72,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,TRUE,NA,NA,NA,NA
1580,NA,2.93,3.87,2.88,NA,NA,NA,2.58,1.81,1.53,3.08,2.76,NA,NA,NA,2.49,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,TRUE,NA,NA,NA,FALSE,NA,NA,NA,NA
1581,NA,2,3.37,1.57,NA,NA,NA,1.68,1.61,1.19,2.12,2.51,NA,NA,NA,2.3,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA
1582,NA,3.05,2.52,2.27,NA,NA,NA,1.49,1.47,1.35,1.71,2.3,NA,NA,NA,2.35,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA
1583,NA,3.77,3.17,3.52,NA,NA,NA,2.49,1.82,1.53,2.22,2.13,NA,NA,3.7,2.75,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,TRUE,TRUE,NA,NA,NA,NA
1584,NA,3.28,3.77,3.11,NA,NA,NA,1.82,2.05,1.65,1.83,2.43,NA,NA,3.41,2.31,NA,2.32,NA,NA,NA,TRUE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,TRUE,FALSE,NA,FALSE,NA,NA
1585,NA,2.66,3.08,2.06,NA,NA,NA,2.79,1.92,1.64,1.74,2.42,NA,NA,3.76,3.36,NA,2.77,NA,NA,NA,FALSE,TRUE,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,TRUE,TRUE,NA,FALSE,NA,NA
1586,NA,3.13,3.35,2.84,NA,NA,NA,2.38,1.51,1.29,1.11,1.83,NA,NA,3.52,2.39,NA,2.87,NA,NA,NA,TRUE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,TRUE,FALSE,NA,FALSE,NA,NA
1587,NA,2.21,3.85,2.59,NA,NA,NA,2.02,1.92,1.22,1.38,1.77,2.5,NA,3.25,2.66,NA,2.54,NA,NA,NA,FALSE,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,NA,FALSE,NA,NA
1588,NA,3.17,3.65,2.57,NA,NA,NA,2.57,1.9,1.56,1.66,2.11,2.78,NA,3.39,2.58,NA,3.15,NA,NA,NA,TRUE,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,TRUE,TRUE,NA,FALSE,NA,NA
1589,NA,2.47,3.19,3.11,NA,NA,NA,2.43,2.07,1.65,1.43,1.62,1.94,NA,3.06,2.49,NA,2.63,NA,NA,NA,FALSE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,NA,FALSE,NA,NA
1590,NA,2.63,3.18,2.69,NA,NA,NA,2.41,1.63,1.74,1.5,2.21,2.18,NA,3.15,2.74,NA,2.16,NA,NA,NA,FALSE,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,NA,FALSE,NA,NA
1591,NA,2.13,3.54,2.62,NA,NA,NA,2.1,1.87,1.34,1.08,1.79,1.67,NA,3.18,2.86,NA,2.26,NA,NA,NA,FALSE,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,NA,FALSE,NA,NA
1592,NA,2.32,3.28,2.3,NA,NA,NA,2.66,2.11,1.32,1.2,1.78,1.61,NA,3.68,2.23,NA,2.44,NA,NA,NA,FALSE,TRUE,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,NA,FALSE,NA,NA
1593,NA,2.38,2.53,1.99,NA,NA,NA,2.21,1.75,1.49,1.43,1.94,1.74,NA,2.5,2.71,NA,2.91,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,TRUE,NA,FALSE,NA,NA
1594,NA,1.55,2.87,2.01,NA,NA,NA,1.77,2.04,1.43,1.12,1.49,1.51,NA,2.59,2.11,NA,1.71,NA,NA,NA,FALSE,TRUE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,NA
1595,NA,1.79,1.62,1.98,NA,NA,NA,2.56,1.54,1.37,1.3,1.31,1.52,NA,2.56,2.29,NA,2.01,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,NA
1596,NA,2.23,2.29,2.07,NA,NA,NA,2.3,1.35,1.22,1.24,1.43,1.77,NA,2.6,1.97,NA,2.04,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,NA
1597,NA,2.28,2.63,2.13,NA,NA,NA,2.19,1.49,1.26,1.57,1.7,1.77,NA,2.85,2.34,NA,2.96,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,NA
1598,NA,1.95,1.86,2.51,NA,NA,NA,2.53,1.66,1.3,1.36,1.31,1.5,NA,2.5,2.24,NA,2.76,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,NA
1599,NA,2.13,2.36,2.53,NA,NA,NA,2.37,1.69,1.34,1.22,1.54,1.44,NA,2.12,2.38,NA,2.77,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,NA
1600,NA,2.84,2.61,2.33,NA,NA,NA,2.52,1.89,1.41,1.66,1.81,1.49,NA,2.88,2.35,NA,2.52,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,NA
1601,NA,2.72,2.3,3.03,NA,NA,NA,2,1.43,1.19,1.36,1.7,1.77,NA,3.19,2.51,NA,2.7,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,NA,FALSE,NA,NA
