age_CE,FMLM01A_raw,FMLM02A_raw,FMLM03A_raw,FMLM04A_raw,FMLM05A_raw,FMLM06A_raw,FMLM07A_raw,FMLM08A_raw,FMLM09A_raw,FMLM10A_raw,FMLM11A_raw,FMLM12A_raw,FMLM13A_raw,FMLM14A_raw,FMLM16A_raw,FMLM17A_raw,FMLM19A_raw,FMLM20A_raw,FMLM01A_raw_outlier_flag,FMLM02A_raw_outlier_flag,FMLM03A_raw_outlier_flag,FMLM04A_raw_outlier_flag,FMLM05A_raw_outlier_flag,FMLM06A_raw_outlier_flag,FMLM07A_raw_outlier_flag,FMLM08A_raw_outlier_flag,FMLM09A_raw_outlier_flag,FMLM10A_raw_outlier_flag,FMLM11A_raw_outlier_flag,FMLM12A_raw_outlier_flag,FMLM13A_raw_outlier_flag,FMLM14A_raw_outlier_flag,FMLM16A_raw_outlier_flag,FMLM17A_raw_outlier_flag,FMLM19A_raw_outlier_flag,FMLM20A_raw_outlier_flag
1878,1.99,NA,NA,2.22,2.15,NA,1.63,1.71,NA,2.11,NA,1.26,NA,NA,2.46,2.05,2.52,2.41,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE
1879,1.81,NA,1.02,1.58,1.33,NA,1.14,0.82,NA,1.13,NA,0.85,NA,NA,1.09,0.47,1.08,1.89,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE
1880,1.36,NA,0.64,1.03,0.72,NA,1.08,0.76,0.97,1.34,NA,0.68,NA,NA,0.82,0.63,1.58,1.74,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE
1881,1.88,NA,0.68,1.84,1.67,NA,1.03,1.21,1.53,2.07,NA,1.2,NA,NA,0.72,0.77,1.83,1.61,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE
1882,2.04,NA,0.89,2.35,1.75,1.77,1.34,1.56,1.6,1.33,NA,0.91,NA,NA,0.72,1.35,2.16,2.35,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE
1883,2.47,NA,1.73,2.25,1.83,1.43,1.41,1.44,1.35,1.21,NA,0.93,NA,NA,0.93,0.91,1.83,2.13,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE
1884,2.58,NA,2.39,2.37,2.39,1.5,1.88,1.9,2.01,2.54,NA,1.93,1.24,NA,1.34,0.84,2.07,2.48,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1885,2.76,NA,2.77,2.35,2.46,2.04,1.62,1.66,2.88,2.95,NA,2.05,1.62,NA,1.78,0.79,2.35,2.21,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1886,2.17,NA,2.04,1.54,1.56,1.71,1.47,1.75,2.05,2.54,NA,1.68,1.4,NA,1.78,0.9,1.65,1.54,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1887,2.01,NA,1.74,1.61,1.47,1.52,0.98,1.02,1.26,1.8,NA,1.17,0.59,NA,0.77,0.39,0.96,1.38,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1888,2.5,NA,2.01,2.35,2.58,1.92,1.41,1.66,1.37,2.27,NA,1.58,1.16,NA,1.75,1.01,1.34,2.13,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1889,3.09,NA,1.92,1.98,2.04,1.54,1.74,2.02,2.22,3.3,NA,1.05,1.96,NA,2.32,2.17,1.77,2.29,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE
1890,2.84,NA,1.66,1.72,1.72,1.47,2.15,2.6,2.46,2.32,NA,1.12,2.48,NA,2.54,1.8,2.04,2.22,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,TRUE,NA,TRUE,FALSE,FALSE,FALSE
1891,2.11,NA,1.56,1.67,1.6,1.13,1.88,2.54,2.87,1.74,NA,1.22,1.74,NA,2.4,1.32,1.61,1.93,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1892,1.81,NA,1.34,1.38,1.38,0.99,1.2,1.74,1.65,1.3,NA,1.13,0.97,NA,1.5,0.55,1.31,1.48,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1893,1.73,NA,1.16,1.16,1.31,1.29,0.81,1.35,1.53,0.95,NA,1.08,0.69,NA,1.04,0.48,1.18,1.55,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1894,1.9,NA,1.26,1.23,1.42,1.61,0.78,1.45,1.31,1.26,NA,1.15,0.58,NA,0.68,0.38,1.56,1.58,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1895,2.4,NA,1.61,1.6,1.89,1.83,1.34,1.7,1.72,2.24,NA,1.63,1.34,NA,0.98,0.8,2.09,1.94,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1896,2.15,NA,1.2,1.32,1.54,1.1,1.26,1.58,1.07,1.98,NA,1.39,1.18,NA,0.66,0.92,1.36,1.52,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1897,2.49,NA,1.75,1.67,1.61,1.62,1.34,2.37,1.67,2.7,NA,1.58,1.38,NA,1.22,1.38,1.76,1.45,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1898,2.58,NA,1.91,1.65,1.75,2.08,1.4,2.1,2.16,2.21,NA,1.71,1.2,NA,1.28,0.99,1.85,1.94,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1899,1.75,NA,1.23,1.04,1.13,1.3,0.78,1.12,0.96,1.91,NA,1.19,0.68,NA,0.74,0.59,1.36,1.18,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1900,2.6,1.48,1.98,2.53,1.62,2.11,1.28,1.9,1.88,3.23,NA,1.86,1.45,NA,1.45,1.72,2.33,2.06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1901,3.01,1.6,1.89,2.32,1.34,1.29,1.41,1.71,1.96,2.6,NA,1.62,1.27,NA,1.33,1.45,1.9,1.73,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1902,2.56,1.49,1.51,1.73,1.31,1.25,1.37,1.28,1.22,1.71,NA,1.17,1.15,NA,1.25,1.48,1.72,1.05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1903,2.56,1.93,1.73,1.68,1.27,1.46,1.4,1.14,1.58,1.7,1.09,1.34,1.08,NA,1.25,1.49,1.73,1.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1904,3.38,2.09,1.87,2.57,1.53,1.92,1.62,1.75,1.63,1.87,1.18,1.87,1.29,NA,1.69,1.43,1.96,2.13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1905,3.01,1.65,1.7,1.52,0.87,1.33,1.15,1.37,1.33,1.36,0.83,1.18,0.89,NA,1.06,1.32,1.89,1.59,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1906,3.04,2.04,1.77,1.55,1.18,1.32,1.17,1.53,2,1.96,0.94,1.43,1.06,NA,1.3,1.97,1.87,1.46,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1907,2.48,1.92,1.65,1.61,1.2,1.22,1.35,1.31,1.23,2,1.1,1.32,1.07,NA,1.26,2.07,1.92,1.08,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1908,2.97,1.96,1.26,1.51,1.31,1.21,1.42,1.29,1.89,1.6,1.15,1.47,1.28,NA,1.08,1.14,1.65,0.99,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1909,2.08,1.79,1.37,1.35,0.8,1.1,1.16,1.44,1.54,0.96,1.05,1.08,1.12,1.15,0.76,1.09,1.14,0.53,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1910,2.27,2.19,1.6,1.11,0.95,1.19,1.28,1.49,1.46,1.28,1.28,1.19,1.21,1.24,0.61,1.28,1.51,0.75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1911,2.39,1.88,1.3,1.22,1.11,1.08,1.59,1.26,1.39,1.4,1.27,1.16,1.15,1.03,1.13,1.07,1.67,1.17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1912,1.91,1.33,1.21,1.01,0.84,0.89,1.37,1.08,1.1,1.12,0.84,0.67,0.97,1.19,0.82,1.35,1.42,0.84,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1913,2.1,1.31,1.4,1.37,0.98,1.16,1.33,1.2,0.96,1.25,0.79,0.83,1.09,0.79,1.05,1.09,0.8,1.26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1914,3.11,1.95,1.91,1.61,1.22,1.49,1.86,1.39,1.63,1.57,1.15,1.37,1.25,0.97,1.13,1.47,1.33,1.68,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1915,2.51,1.84,1.4,1.26,0.84,1.15,1.61,1.23,1.25,1.85,0.98,1.22,0.97,0.73,1.24,1.11,1.43,1.35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1916,1.44,1.47,1.16,0.89,0.68,0.76,1.19,0.91,0.97,1.19,0.42,1.07,0.57,0.66,0.88,0.64,1.2,0.91,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1917,1.88,1.5,1.41,1.01,1.04,0.85,1.45,0.84,1.1,1.51,1.1,0.9,0.82,1.06,0.88,0.77,1.01,0.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1918,2.43,1.3,1.13,1.14,0.98,1.32,1.14,0.94,1.22,1.35,0.96,1.05,1.2,1.07,0.96,1.2,1.05,0.97,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1919,2.05,1.32,1.26,1.01,0.91,0.93,1.28,0.94,1.13,1.29,1.27,1.3,0.91,1.15,1.02,1.12,1.23,0.86,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1920,2.51,1.76,1.31,1.36,1.38,1.26,1.64,1.22,1.29,2.05,1.33,1.51,1.32,1.51,1.55,1.56,1.33,1.24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1921,2.06,1.32,1.2,1.1,1.01,0.84,1.3,1.21,0.98,1.54,1.04,1.24,0.71,1.28,1.09,1.37,1.14,0.94,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1922,2.64,1.8,1.12,1.08,1.41,1.08,2.14,1.33,1.12,2,1.14,1.11,0.92,1.38,1.15,1.68,1.08,0.86,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1923,2.06,1.31,1.02,0.92,1.11,0.93,1.65,1.1,0.93,1.41,0.97,0.86,0.76,1.22,0.95,1.45,1.1,0.84,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1924,2.05,1.65,1.22,1.1,0.99,1.22,1.75,1.1,0.87,1.3,1.06,1,0.97,1.73,1.39,1.62,1.02,0.87,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1925,2.59,1.69,1.38,1.2,1.12,1.16,2.46,1.41,1.09,1.56,1.06,1.09,0.97,1.5,1.07,1.3,1.06,0.94,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1926,2.09,1.47,0.88,0.97,0.93,0.97,1.68,1.42,0.99,1.49,0.87,1.13,0.95,1.27,1.12,1.34,0.94,0.83,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1927,1.86,1.56,1.17,1.1,1.07,0.94,2.13,1.52,1.09,1.54,0.87,1.19,1.13,1.21,0.93,1.28,0.97,0.84,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1928,1.81,1.6,1.5,0.99,1.14,0.94,2.2,1.51,1.04,1.5,1.02,1.28,1.05,1.38,0.97,1.3,1.05,0.75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1929,2.36,1.64,1.58,1.02,1.22,1.03,2.33,1.42,1.04,1.36,1.04,1.11,0.85,1.4,1.12,1.33,1.14,0.88,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1930,2.21,1.44,1.79,1.2,1.18,1.09,2.41,1.54,1.07,1.52,1.21,1.72,0.9,1.54,1.16,1.19,1.14,0.92,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1931,1.44,1.57,1.48,0.95,1.06,0.97,1.91,1.27,0.88,1.1,0.82,1.4,0.88,1.34,0.89,1.27,0.94,0.99,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1932,1.8,1.37,1.45,0.81,1.12,0.77,2.03,1.42,0.84,1.29,0.79,1.25,0.81,1.29,0.66,1.04,1,0.69,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1933,2.14,1.41,1.65,1.11,1.35,0.95,1.99,1.6,0.85,1.62,1.07,1.42,0.88,1.31,0.73,1.16,1.11,0.86,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1934,2.25,1.33,1.64,1.12,1.11,1.04,1.94,1.42,0.96,1.43,1.13,1.24,1.04,1.57,0.92,1.29,1.25,0.78,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1935,2.42,1.52,1.49,1.13,1.23,1.04,2.07,1.38,1.29,1.27,1.11,1.17,1.12,1.48,0.98,1.34,1.25,0.77,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1936,2.89,1.63,1.26,0.93,1.04,1.07,1.52,1.47,1.03,0.96,1.2,1.04,1.13,1.61,1.03,1.47,1.32,0.85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1937,2.43,1.28,1.36,0.68,0.99,0.98,1.58,1.37,0.95,0.92,0.95,0.96,0.98,1.54,0.85,1.42,1.2,0.76,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1938,2.63,1.57,1.7,0.93,1.26,1.13,2.61,1.47,1.1,1.03,1.1,1.17,1.01,1.63,1.07,1.51,1.53,0.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1939,2.14,1.37,1.42,0.94,1.21,1.04,2.87,1.45,1.19,0.98,1.06,1,0.87,1.49,0.87,1.37,1.63,0.78,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1940,2.27,1.49,1.52,0.79,1.3,1.17,3.22,1.57,1.14,0.94,0.99,1.01,0.76,1.64,1.38,1.46,1.7,0.73,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1941,1.87,1.59,1.11,0.77,1.13,0.99,2.71,1.34,1.1,1.12,1.04,1.33,0.87,1.43,1.28,1.42,2.12,0.79,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1942,1.79,1.54,1.15,0.66,1.11,0.84,2.61,1.18,0.9,0.79,1.14,1.01,0.75,1.46,1.21,1.33,2.12,0.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1943,1.39,1.2,1.13,0.51,1.03,0.78,1.77,0.98,0.7,0.57,0.96,0.8,0.58,0.96,0.85,1.12,1.41,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1944,2.47,1.72,1.64,0.65,1.41,1,2.06,1.25,1.1,0.92,1.34,1.07,0.81,1.44,1.28,1.62,1.91,0.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1945,2.42,1.61,1.12,0.65,1.29,0.95,2.05,1.25,1.01,0.93,1.13,1.06,0.77,1.34,1.14,1.29,1.7,0.77,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1946,1.48,0.99,1.14,0.53,1.14,1.15,1.65,1.04,0.65,0.68,1.07,0.97,0.62,1.16,0.8,0.94,1.62,0.57,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
