age_CE,KLT02A_raw,KLT02B_raw,KLT03A_raw,KLT03B_raw,KLT04A_raw,KLT04B_raw,KLT06A_raw,KLT06B_raw,KLT02A_raw_outlier_flag,KLT02B_raw_outlier_flag,KLT03A_raw_outlier_flag,KLT03B_raw_outlier_flag,KLT04A_raw_outlier_flag,KLT04B_raw_outlier_flag,KLT06A_raw_outlier_flag,KLT06B_raw_outlier_flag
1534,1.83,1.84,1.32,1.25,NA,NA,1.07,1.08,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1535,1.73,1.74,1.8,1.82,NA,NA,1.33,0.93,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1536,1.63,1.69,1.62,1.61,NA,NA,1.12,1.04,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1537,1.61,1.63,1.53,1.51,NA,NA,0.99,0.75,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1538,1.54,1.9,1.33,1.35,NA,NA,1.09,1.01,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1539,1.97,2.43,1.58,1.8,NA,NA,1.35,1.18,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1540,1.74,1.95,2.33,2.5,NA,NA,1.25,1.21,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1541,1.93,1.97,2.4,2.53,NA,NA,1.4,1.33,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1542,2.38,2.29,1.35,1.37,NA,NA,1.82,1.79,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1543,2.56,2.69,1.18,0.85,NA,NA,1.94,1.95,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1544,2.5,2.38,1.17,0.92,NA,NA,1.61,1.45,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1545,2.31,2.38,1.17,1.17,NA,NA,1.32,1.33,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
1546,1.51,1.63,1.08,1.27,NA,NA,0.66,0.6,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE
