age_CE,01C407a_raw,01C409a_raw,01C409b_raw,01C411a_raw,01C411b_raw,01C414a_raw,01C414b_raw,01C415a_raw,01C415b_raw,01C417b_raw,01C419b_raw,01C420b_raw,01C421a_raw,01C421b_raw,01C422a_raw,01C422b_raw,01C424a_raw,01C424b_raw,01C426a_raw,01C427b_raw,01C407a_raw_outlier_flag,01C409a_raw_outlier_flag,01C409b_raw_outlier_flag,01C411a_raw_outlier_flag,01C411b_raw_outlier_flag,01C414a_raw_outlier_flag,01C414b_raw_outlier_flag,01C415a_raw_outlier_flag,01C415b_raw_outlier_flag,01C417b_raw_outlier_flag,01C419b_raw_outlier_flag,01C420b_raw_outlier_flag,01C421a_raw_outlier_flag,01C421b_raw_outlier_flag,01C422a_raw_outlier_flag,01C422b_raw_outlier_flag,01C424a_raw_outlier_flag,01C424b_raw_outlier_flag,01C426a_raw_outlier_flag,01C427b_raw_outlier_flag
1748,NA,NA,NA,0.23,NA,NA,NA,0.71,0.73,1.02,NA,NA,NA,1.02,NA,NA,0.88,0.92,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA
1749,NA,NA,NA,0.39,NA,NA,NA,0.44,0.6,0.79,NA,NA,NA,0.98,NA,NA,0.82,0.95,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA
1750,NA,NA,NA,0.28,NA,NA,NA,0.41,0.48,0.76,NA,NA,NA,0.73,NA,NA,0.82,0.79,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA
1751,NA,NA,NA,0.32,NA,NA,NA,0.35,0.44,0.82,0.41,NA,NA,1,NA,NA,0.48,0.7,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA
1752,NA,NA,NA,0.35,NA,NA,NA,0.48,0.57,0.82,0.32,NA,NA,1.24,NA,NA,0.49,0.63,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA
1753,NA,NA,NA,0.34,NA,NA,NA,0.57,0.72,1.04,0.41,NA,NA,1.51,NA,NA,0.77,1.04,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA
1754,NA,NA,NA,0.41,NA,NA,NA,0.48,0.84,0.63,0.44,NA,NA,0.85,NA,NA,0.47,0.57,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA
1755,NA,NA,NA,0.33,NA,NA,NA,0.39,0.43,0.6,0.54,NA,1.04,1.08,NA,NA,0.53,0.62,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA
1756,NA,NA,NA,0.56,NA,NA,NA,0.52,0.65,0.89,0.5,NA,0.98,1.26,NA,NA,0.73,0.86,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA
1757,NA,NA,NA,0.31,NA,NA,NA,0.65,0.75,0.8,0.38,NA,1.11,1.28,NA,0.26,0.75,0.82,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,NA
1758,NA,NA,NA,0.46,NA,NA,NA,0.61,0.7,0.76,0.33,NA,1.24,1.06,NA,0.33,0.58,0.76,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,NA
1759,NA,NA,NA,0.44,NA,NA,NA,0.42,0.55,0.7,0.47,NA,1.05,1.07,NA,0.34,0.57,0.79,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,NA
1760,NA,NA,NA,0.57,NA,NA,NA,0.44,0.48,0.73,0.47,NA,0.95,1.2,NA,0.32,0.7,1,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,NA
