age_CE,WPT01A_raw,WPT01C_raw,WPT01B_raw,WPT01A_raw_outlier_flag,WPT01C_raw_outlier_flag,WPT01B_raw_outlier_flag
868,4.57,4.52,4.54,FALSE,FALSE,FALSE
869,3.6,3.23,3.16,FALSE,FALSE,FALSE
870,4.29,3.81,4.01,FALSE,FALSE,FALSE
871,3.06,2.46,2.52,FALSE,FALSE,FALSE
872,4.07,3.57,3.86,FALSE,FALSE,FALSE
873,3.23,2.46,2.88,FALSE,FALSE,FALSE
874,3.77,3.25,3.72,FALSE,FALSE,FALSE
875,3.8,3.24,3.57,FALSE,FALSE,FALSE
876,4.29,3.89,3.87,FALSE,FALSE,FALSE
877,3.69,3.45,2.92,FALSE,FALSE,FALSE
878,4.26,4.01,3.68,FALSE,FALSE,FALSE
879,2.43,2.32,1.77,FALSE,FALSE,FALSE
880,3.39,3.35,2.65,FALSE,FALSE,FALSE
881,3.82,4.13,3.28,FALSE,FALSE,FALSE
882,3.04,3.38,2.71,FALSE,FALSE,FALSE
883,1.56,1.75,1.36,FALSE,FALSE,FALSE
884,2.87,2.86,2.41,FALSE,FALSE,FALSE
885,2.07,2.65,1.87,FALSE,FALSE,FALSE
886,3.61,3.76,2.93,FALSE,FALSE,FALSE
887,3.02,3.27,2.17,FALSE,FALSE,FALSE
888,3.04,2.85,2.47,FALSE,FALSE,FALSE
889,3.54,3.56,2.64,FALSE,FALSE,FALSE
890,1.77,1.83,1.09,FALSE,FALSE,FALSE
891,2.68,2.36,2,FALSE,FALSE,FALSE
892,1.73,1.75,1.12,FALSE,FALSE,FALSE
893,2.39,2.2,1.94,FALSE,FALSE,FALSE
894,1.92,1.99,1.59,FALSE,FALSE,FALSE
895,2.75,2.4,2.11,FALSE,FALSE,FALSE
896,1.6,1.6,1.42,FALSE,FALSE,FALSE
897,2.17,1.96,1.48,FALSE,FALSE,FALSE
898,2.35,2.65,1.73,FALSE,FALSE,FALSE
899,1.76,1.65,1.19,FALSE,FALSE,FALSE
900,2.11,1.75,1.6,FALSE,FALSE,FALSE
901,1.95,2.03,1.37,FALSE,FALSE,FALSE
902,1.9,1.88,1.54,FALSE,FALSE,FALSE
903,2.94,2.71,2.11,FALSE,FALSE,FALSE
904,2.86,2.95,2.18,FALSE,FALSE,FALSE
905,2.65,3.31,2.74,FALSE,FALSE,FALSE
906,1.55,1.67,1.4,FALSE,FALSE,FALSE
907,2.78,2.65,2.25,FALSE,FALSE,FALSE
908,2.74,2.85,2.4,FALSE,FALSE,FALSE
909,3.16,3.26,2.42,FALSE,FALSE,FALSE
910,2.44,2.7,2.05,FALSE,FALSE,FALSE
911,2.47,2.79,2.21,FALSE,FALSE,FALSE
912,1.52,2.17,1.27,FALSE,FALSE,FALSE
913,1.86,2.23,1.49,FALSE,FALSE,FALSE
914,1.13,1.39,0.94,FALSE,FALSE,FALSE
915,2.08,2.11,1.36,FALSE,FALSE,FALSE
916,1.55,1.61,1.2,FALSE,FALSE,FALSE
917,1.94,2.15,1.67,FALSE,FALSE,FALSE
918,1.95,2.45,1.7,FALSE,FALSE,FALSE
919,1.67,2.15,1.63,FALSE,FALSE,FALSE
920,1.62,2.33,1.9,FALSE,FALSE,FALSE
921,1.74,2.15,1.58,FALSE,FALSE,FALSE
922,1.78,2.11,1.56,FALSE,FALSE,FALSE
923,1.48,1.74,0.81,FALSE,FALSE,FALSE
