age_CE,HLL069_raw,HLL026_raw,HLL450_raw,HLL397_raw,HLL523_raw,HLL142_raw,HLL979_raw,HLL668_raw,HLL069_raw_outlier_flag,HLL026_raw_outlier_flag,HLL450_raw_outlier_flag,HLL397_raw_outlier_flag,HLL523_raw_outlier_flag,HLL142_raw_outlier_flag,HLL979_raw_outlier_flag,HLL668_raw_outlier_flag
-772,1.95,1.73,3.09,2.99,1.72,2.84,2.27,1.46,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-771,2.1,1.89,3.31,3,1.93,3.18,2.74,1.85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-770,3.03,1.6,2.79,3.67,2.43,3.75,3.68,1.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-769,2.55,1.82,4.25,3.64,2.29,2.56,2.66,1.75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-768,3.55,1.63,2.41,2.71,2.14,3.31,3.1,1.26,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-767,2.5,1.93,3.63,3.04,2.05,3.46,3.37,1.38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-766,3.81,1.78,3.13,3.29,1.96,3.3,3.47,1.47,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-765,3.15,1.75,2.35,2.47,2,2.58,3.05,1.27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-764,3.81,1.47,2.99,3.41,2.36,3.13,3.17,1.27,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-763,1.88,1.29,2.94,3.23,2.23,2.53,2.92,1.01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-762,2.41,1.45,2.25,2.36,2.09,2.45,2.95,0.96,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-761,1.86,1.51,3.23,3.19,2.21,2.67,3.36,1.51,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-760,1.24,1.4,3.23,2.86,1.6,1.67,2.09,1.02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-759,1.14,1.72,2.81,2.57,1.36,1.53,2.09,1.04,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-758,1.96,1.61,3.88,3.23,1.92,2.16,2.63,1.16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-757,1.96,1.76,3.29,3.43,1.95,1.85,2.49,1.12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
