age_CE,SC-002_raw,SC-003_raw,SC-004_raw,SC-005_raw,SC-006_raw,SC-007_raw,SC-008_raw,SC-009_raw,SC-002_raw_outlier_flag,SC-003_raw_outlier_flag,SC-004_raw_outlier_flag,SC-005_raw_outlier_flag,SC-006_raw_outlier_flag,SC-007_raw_outlier_flag,SC-008_raw_outlier_flag,SC-009_raw_outlier_flag
1883,1.21,1.16,0.38,NA,0.83,0.92,1.16,0.88,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1884,1.44,1.56,0.64,NA,1.34,1.05,1.33,1.12,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1885,2.03,1.78,0.72,NA,1.27,1.31,1.27,1.18,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1886,1.93,1.75,0.76,NA,0.97,1.14,1.17,1.2,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1887,1.78,1.52,0.89,NA,1.79,1.84,1.38,1.44,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1888,1.95,1.88,1.04,NA,2.3,1.78,1.42,1.46,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE
1889,1.99,2.07,1.14,NA,1.7,1.17,1.71,1.12,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1890,2.04,2.31,1.23,NA,1.57,1,1.74,1.2,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1891,1.73,1.28,1.33,NA,1.71,1.26,1.61,1.33,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1892,1.6,1.07,1.57,NA,1.33,1.33,1.49,1.05,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1893,1.91,1.09,1.12,NA,1.18,0.9,1.08,0.79,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1894,2.03,1.07,0.72,NA,1.86,1.13,1.14,0.84,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1895,2.06,1.37,0.87,NA,1.71,1.28,1.2,1.01,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1896,2.03,1.09,0.59,NA,1.27,1.35,0.73,0.7,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1897,2.12,1.5,0.87,NA,1.52,1.56,0.92,0.95,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1898,2.6,1.77,1.06,NA,1.87,2.03,0.99,1.38,FALSE,FALSE,FALSE,NA,FALSE,TRUE,FALSE,FALSE
1899,2.58,1.15,0.4,NA,0.98,1.18,0.57,0.77,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1900,2.07,1.04,0.53,NA,0.92,1.56,0.68,1.1,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1901,1.99,0.93,0.66,NA,0.99,1.6,0.75,0.92,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1902,1.5,1,0.52,NA,0.76,1.12,0.62,0.79,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1903,2.2,1.5,0.75,NA,1.15,1.89,1.01,1.21,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1904,1.91,1.16,0.53,NA,0.87,1.18,0.9,1.22,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1905,2.14,1.08,0.59,NA,0.76,1,1.09,1.46,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1906,2.69,1.29,0.87,NA,1.37,1.27,2.63,1.69,FALSE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,FALSE
1907,2.12,1.33,0.95,2.54,1.39,1.18,2.6,1.56,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
1908,2.35,1.25,1.08,2.79,1.58,1.27,2.79,1.77,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
1909,2.5,1.54,1.1,2.69,1.39,1.35,2.71,1.74,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
1910,1.86,1.25,1.02,1.74,1.19,1.11,2.07,1.62,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1911,2.58,1.4,1.12,2.05,1.33,0.89,2.27,1.79,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1912,1.99,1.38,0.78,1.67,0.78,0.79,1.55,1.59,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1913,1.57,1.02,0.87,1.5,0.85,0.74,1.42,1.28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1914,2.33,1.16,0.89,1.99,1.2,0.71,1.61,1.59,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1915,2.01,1.27,1.14,1.99,1.86,0.8,1.79,1.47,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1916,1.57,0.99,1.14,2.18,1.92,0.76,2.14,1.62,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1917,1.42,1.29,1.21,1.78,1.3,0.72,1.94,1.34,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1918,0.76,1.1,0.7,1,0.99,0.46,1.35,0.95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1919,0.91,1.23,0.7,1,1.04,0.44,1.4,1.19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1920,0.81,1.4,0.76,0.85,0.88,0.48,1.51,1.19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1921,1.06,0.97,0.95,0.72,1.2,0.48,1.44,1.19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1922,0.99,1.12,0.95,0.87,1.51,0.53,1.53,1.15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1923,1.12,1.23,0.99,0.91,1.16,0.57,1.5,1.28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1924,1.29,0.93,0.81,0.76,0.98,0.58,0.95,1.17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1925,1.31,1.16,0.93,0.81,1.3,0.68,1.35,1.23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1926,1.29,1.29,0.99,0.42,1.16,0.62,1.72,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1927,2.39,1.78,1.29,0.47,1.76,1.01,1.9,0.92,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1928,2.35,1.61,1.44,0.42,1.37,1.03,1.85,0.86,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1929,2.1,1.67,1.67,0.42,0.93,0.97,1.8,0.66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1930,2.2,1.76,1.57,0.49,0.8,0.78,1.55,0.66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1931,1.57,1.4,1.27,0.44,0.72,0.68,1.19,0.64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1932,1.19,1.27,1.52,0.49,0.75,0.77,1.1,0.63,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1933,1.5,1.35,1.63,0.44,0.84,0.71,1.1,0.53,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1934,1.25,0.95,1.36,0.57,0.75,0.64,0.92,0.62,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1935,1.23,1.1,2.18,0.99,1.18,0.78,1.37,0.71,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1936,0.97,0.61,1.61,0.61,1.08,0.71,1.22,0.47,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1937,1.88,0.89,1.74,0.64,1.25,0.76,1.45,0.76,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1938,1.9,0.68,1.46,0.57,0.92,0.61,1.12,0.62,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1939,1.61,0.38,2.46,0.54,0.95,0.73,1.14,0.53,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1940,1.82,0.44,2.35,0.74,0.91,0.72,1.14,0.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1941,2.2,0.47,2.43,0.68,0.83,0.98,1.65,0.76,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1942,1.95,0.44,1.9,0.44,0.59,0.99,1.23,0.64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1943,1.82,0.34,1.33,0.28,0.48,0.65,1.21,0.52,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1944,1.82,0.42,1.71,0.34,0.46,0.55,1.19,0.46,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1945,1.12,0.23,1.14,0.21,0.28,0.4,0.66,0.26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1946,1.25,0.25,0.89,0.27,0.35,0.4,0.76,0.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1947,1.48,0.28,0.95,0.32,0.3,0.38,1.19,0.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1948,1.44,0.3,1.38,0.38,0.45,0.42,1.46,0.39,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1949,0.95,0.17,0.93,0.23,0.21,0.33,1.12,0.32,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1950,0.91,0.13,0.74,0.36,0.4,0.59,1.04,0.27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1951,0.64,0.19,0.57,0.25,0.28,0.61,0.72,0.35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1952,0.76,0.28,0.63,0.17,0.29,0.46,0.91,0.37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1953,1.52,0.23,0.64,0.28,0.25,0.47,1.19,0.38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1954,1.69,0.28,0.68,0.3,0.23,0.49,1.19,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1955,1.59,0.17,0.74,0.3,0.23,0.46,1.35,0.64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1956,1.23,0.19,0.55,0.3,0.28,0.38,1.12,0.48,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1957,1.02,0.15,0.72,0.3,0.26,0.64,1.14,0.64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1958,0.74,0.17,0.78,0.32,0.25,0.54,1.21,0.64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1959,0.68,0.06,0.63,0.3,0.3,0.38,1.06,0.62,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1960,0.68,0.11,0.53,0.36,0.2,0.38,1.04,0.46,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1961,0.64,0.08,0.44,0.34,0.17,0.27,0.97,0.37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1962,1,0.11,0.7,0.42,0.28,0.27,0.97,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1963,0.87,0.11,0.36,0.25,0.09,0.24,0.61,0.43,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1964,1.25,0.08,0.4,0.32,0.25,0.24,0.68,0.48,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1965,1.8,0.13,0.47,0.55,0.24,0.34,0.97,0.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1966,1.55,0.13,0.55,0.47,0.24,0.31,0.91,0.89,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1967,1.44,0.13,0.42,0.38,0.27,0.29,0.57,0.76,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1968,0.7,0.23,0.66,0.68,0.35,0.34,0.85,0.76,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1969,0.89,0.38,0.83,0.64,0.32,0.39,1.1,0.92,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1970,1.04,0.51,0.66,0.47,0.26,0.3,0.83,0.71,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1971,1,0.59,1.1,0.61,0.36,0.37,0.89,0.94,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1972,1.1,0.78,1.01,0.51,0.3,0.39,0.97,0.96,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1973,0.99,1,1.08,0.53,0.43,0.32,0.91,0.88,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1974,0.51,0.87,1.16,0.32,0.33,0.3,0.89,0.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1975,0.92,0.7,1.97,0.59,0.52,0.36,1.33,1.08,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1976,0.73,0.81,1.4,0.53,0.45,0.41,1.08,0.96,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1977,0.62,0.63,0.91,0.23,0.21,0.22,0.62,0.81,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1978,0.43,0.72,1,0.28,0.27,0.18,0.55,0.73,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1979,0.45,0.63,0.91,0.25,0.36,0.23,0.62,0.78,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1980,0.41,0.51,0.87,0.23,0.32,0.26,0.42,0.58,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1981,0.17,0.32,0.68,0.17,0.25,0.26,0.39,0.69,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1982,0.36,0.42,0.8,0.09,0.29,0.3,0.51,0.64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1983,0.3,0.4,0.95,0.13,0.29,0.31,0.95,0.69,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1984,0.15,0.17,1.04,0.1,0.2,0.26,0.95,0.75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,0.19,0.25,1.36,0.17,0.36,0.31,1.19,0.91,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1986,0.28,0.17,1.65,0.15,0.31,0.29,1.21,0.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1987,0.17,0.17,1.08,0.15,0.25,0.29,0.59,0.91,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1988,0.28,0.15,3.41,0.28,0.31,0.28,1.44,1.24,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1989,0.18,0.08,3.05,0.19,0.23,0.25,1.29,1.2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1990,0.26,0.13,1.54,0.25,0.28,0.32,1.08,1.04,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1991,0.34,0.13,1.36,0.25,0.32,0.24,1.08,0.97,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1992,0.66,0.19,1.65,0.36,0.43,0.3,1.23,1.14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1993,0.51,0.21,1.86,0.36,0.45,0.37,1.27,1.12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1994,0.28,0.13,1.08,0.3,0.39,0.36,0.83,0.71,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1995,0.34,0.13,1.74,0.34,0.43,0.48,1.25,0.81,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1996,0.34,0.13,1.63,0.32,0.5,0.55,1.1,0.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1997,0.4,0.15,0.81,0.32,0.39,0.38,0.89,0.81,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1998,0.49,0.15,1.16,0.19,0.53,0.44,0.85,0.82,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1999,0.64,0.13,1.03,0.32,0.31,0.39,0.7,0.86,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000,0.52,0.17,0.71,0.25,0.38,0.47,0.87,0.82,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2001,0.26,0.11,0.71,0.19,0.29,0.43,0.66,0.58,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2002,0.17,0.08,0.47,0.08,0.33,0.22,0.44,0.54,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2003,0.17,0.13,0.69,0.19,0.31,0.39,0.53,0.56,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2004,0.28,0.11,0.79,0.19,0.49,0.49,0.4,0.64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2005,0.23,0.25,0.77,0.42,0.48,0.51,0.64,0.75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2006,0.17,0.13,0.62,0.3,0.44,0.47,0.49,0.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2007,0.15,0.15,0.77,0.23,0.5,0.37,0.66,0.75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2008,0.21,0.19,0.79,0.25,0.4,0.61,0.61,0.45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2009,0.13,0.15,0.85,0.23,0.45,0.63,0.81,0.52,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2010,0.13,0.19,0.7,0.28,0.33,0.55,1.06,0.54,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2011,0.23,0.25,1.07,0.32,0.47,0.56,1.44,0.71,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2012,0.15,0.28,0.81,0.21,0.43,0.53,1.35,0.47,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2013,0.17,0.28,0.9,0.13,0.68,0.61,1.4,0.62,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2014,0.23,0.36,0.73,0.13,0.65,0.59,1.08,0.88,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015,0.38,0.74,0.83,0.17,0.74,0.64,1.27,0.97,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2016,0.3,0.7,0.73,0.17,0.76,0.55,0.99,0.95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2017,0.19,0.68,0.7,0.13,0.72,0.53,1.12,0.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2018,0.23,0.51,0.49,0.08,0.45,0.42,0.55,0.51,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
