age_CE,CLC01B_raw,CLC02A_raw,CLC02B_raw,CLC03A_raw,CLC03B_raw,CLC04B_raw,CLC05A_raw,CLC05B_raw,CLC06A_raw,CLC06B_raw,CLC06C_raw,CLC07A_raw,CLC07B_raw,CLC08A_raw,CLC08B_raw,CLC09A_raw,CLC09B_raw,CLC10A_raw,CLC10B_raw,CLC11A_raw,CLC11B_raw,CLC12A_raw,CLC12B_raw,CLC01B_raw_outlier_flag,CLC02A_raw_outlier_flag,CLC02B_raw_outlier_flag,CLC03A_raw_outlier_flag,CLC03B_raw_outlier_flag,CLC04B_raw_outlier_flag,CLC05A_raw_outlier_flag,CLC05B_raw_outlier_flag,CLC06A_raw_outlier_flag,CLC06B_raw_outlier_flag,CLC06C_raw_outlier_flag,CLC07A_raw_outlier_flag,CLC07B_raw_outlier_flag,CLC08A_raw_outlier_flag,CLC08B_raw_outlier_flag,CLC09A_raw_outlier_flag,CLC09B_raw_outlier_flag,CLC10A_raw_outlier_flag,CLC10B_raw_outlier_flag,CLC11A_raw_outlier_flag,CLC11B_raw_outlier_flag,CLC12A_raw_outlier_flag,CLC12B_raw_outlier_flag
1910,0.454,0.602,0.572,0.281,0.347,0.155,0.408,0.375,0.416,0.353,1.249,0.409,0.47,0.876,0.75,0.657,0.683,0.891,0.462,0.46,0.602,0.181,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1911,0.305,0.547,0.646,0.294,0.319,0.217,0.222,0.267,0.425,0.414,0.504,0.264,0.46,0.776,1.267,0.534,0.597,0.837,0.406,0.263,0.477,0.274,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1912,0.417,0.409,0.502,0.075,0.113,0.182,0.158,0.187,0.501,0.271,0.755,0.209,0.372,1.029,1.134,0.326,0.303,0.68,0.363,0.334,0.508,0.285,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1913,0.654,0.441,0.237,0.22,0.184,0.261,0.144,0.153,0.47,0.395,0.931,0.226,0.319,0.809,1.17,0.573,0.428,0.854,0.469,0.453,0.618,0.357,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1914,0.686,0.467,0.298,0.282,0.244,0.352,0.2,0.311,0.605,0.623,1.111,0.314,0.431,1.144,1.019,0.82,0.78,0.922,0.632,0.503,0.665,0.52,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1915,0.594,0.535,0.495,0.134,0.192,0.179,0.43,0.394,0.783,0.574,0.875,0.341,0.45,0.662,1.269,0.522,0.505,0.992,0.689,0.364,0.445,0.469,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1916,0.399,0.507,0.391,0.185,0.148,0.242,0.472,0.201,0.568,0.436,0.898,0.303,0.532,1.1,1.195,0.478,0.456,0.958,0.495,0.492,0.582,0.346,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1917,0.223,0.28,0.326,0.094,0.237,0.178,0.404,0.206,0.379,0.249,0.445,0.225,0.235,0.672,0.819,0.339,0.336,0.501,0.283,0.41,0.457,0.342,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
1918,0.23,0.245,0.192,0.182,0.231,0.26,0.244,0.259,0.46,0.403,0.609,0.226,0.435,0.602,0.601,0.442,0.387,0.721,0.459,0.282,0.518,0.487,0.701,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1919,0.403,0.402,0.307,0.153,0.151,0.393,0.37,0.527,0.454,0.367,1.008,0.301,0.568,0.556,0.604,0.582,0.663,0.917,0.491,0.387,0.497,0.517,0.625,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1920,0.246,0.248,0.148,0.066,0,0.491,0.591,0.22,0.305,0.298,0.458,0.201,0.393,0.519,1.029,0.274,0.246,0.752,0.423,0.323,0.335,0.383,0.534,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1921,0.341,0.51,0.405,0.198,0.271,0.522,0.244,0.406,0.503,0.634,0.862,0.28,0.468,0.7,1.001,0.432,0.412,0.763,0.433,0.499,0.481,0.542,0.645,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1922,0.195,0.262,0.302,0.119,0.186,0.543,0.45,0.421,0.238,0.236,0.627,0.299,0.258,0.588,0.669,0.537,0.225,0.695,0.235,0.355,0.487,0.543,0.561,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1923,0.286,0.198,0.152,0.191,0.158,0.605,0.335,0.348,0.28,0.407,0.496,0.257,0.34,0.422,0.643,0.19,0.184,0.852,0.253,0.245,0.558,0.436,0.656,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1924,0.275,0.257,0.237,0.188,0.242,0.55,0.289,0.308,0.277,0.387,0.645,0.195,0.19,0.295,0.445,0.356,0.327,0.519,0.31,0.293,0.288,0.581,0.429,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1925,0.15,0.22,0.34,0.115,0.161,0.715,0.222,0.42,0.375,0.326,0.488,0.254,0.367,0.349,0.381,0.248,0.227,0.669,0.348,0.229,0.293,0.433,0.514,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1926,0.332,0.058,0.031,0.039,0.013,0.521,0.304,0.217,0.247,0.227,0.534,0.062,0.156,0.382,0.405,0.169,0.097,0.543,0.158,0.19,0.178,0.253,0.373,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1927,0.29,0.276,0.238,0.131,0.152,0.483,0.123,0.247,0.323,0.298,0.384,0.168,0.197,0.32,0.266,0.213,0.119,0.655,0.266,0.248,0.275,0.413,0.403,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1928,0.203,0.182,0.202,0.241,0.213,0.611,0.27,0.358,0.432,0.412,0.727,0.161,0.269,0.51,0.472,0.314,0.354,0.672,0.339,0.196,0.326,0.474,0.432,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1929,0.336,0.228,0.095,0.117,0.05,0.396,0.404,0.171,0.301,0.313,0.371,0.135,0.141,0.444,0.541,0.194,0.232,0.659,0.28,0.23,0.276,0.362,0.354,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1930,0.354,0.275,0.232,0.133,0,0.584,0.185,0.435,0.373,0.361,0.764,0.35,0.262,0.444,0.671,0.263,0.225,0.681,0.197,0.262,0.286,0.461,0.475,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1931,0.338,0.156,0,0.026,0.182,0.284,0.363,0.13,0.451,0.377,0.522,0.126,0.112,0.635,0.678,0.24,0.157,0.683,0.286,0.182,0.29,0.228,0.289,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1932,0.218,0.186,0.246,0.173,0.128,0.585,0.255,0.325,0.343,0.448,0.419,0.177,0.153,0.861,0.873,0.276,0.166,0.65,0.302,0.223,0.397,0.31,0.314,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1933,0.322,0.228,0.151,0.129,0.033,0.331,0.318,0.297,0.335,0.443,0.724,0.115,0.231,0.812,0.766,0.282,0.248,0.581,0.36,0.302,0.448,0.321,0.423,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1934,0.362,0.31,0.23,0.175,0.163,0.615,0.381,0.371,0.408,0.515,0.544,0.201,0.249,1.099,1.107,0.326,0.318,0.922,0.518,0.278,0.485,0.37,0.407,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1935,0.279,0.232,0.233,0.257,0.123,0.581,0.339,0.524,0.402,0.591,0.792,0.475,0.243,1.088,1.347,0.41,0.447,0.906,0.43,0.415,0.339,0.448,0.48,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1936,0.431,0.058,0.08,0.068,0,0.271,0.208,0.202,0.254,0.19,0.328,0.174,0.164,0.73,0.834,0.273,0.209,0.491,0.163,0.157,0.215,0.392,0.374,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1937,0.254,0.215,0.176,0.22,0.152,0.328,0.344,0.27,0.382,0.457,0.372,0.102,0.202,1.004,1.033,0.262,0.238,0.688,0.328,0.167,0.223,0.516,0.825,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1938,0.287,0.268,0.222,0.222,0.148,0.434,0.321,0.343,0.335,0.471,0.499,0.185,0.249,0.717,0.777,0.369,0.271,0.564,0.311,0.26,0.361,0.424,0.716,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1939,0.591,0.22,0.201,0.196,0.137,0.593,0.378,0.406,0.691,0.486,0.71,0.36,0.293,0.688,0.83,0.37,0.217,0.853,0.451,0.26,0.568,0.56,0.628,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1940,0.375,0.218,0.223,0.293,0.155,0.449,0.237,0.307,0.497,0.53,0.733,0.246,0.368,0.842,0.846,0.334,0.37,0.717,0.409,0.244,0.319,0.517,0.854,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1941,0.469,0.144,0.214,0.117,0.15,0.517,0.269,0.292,0.659,0.705,0.804,0.444,0.27,1.014,0.988,0.328,0.259,0.703,0.5,0.326,0.465,0.877,1.147,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1942,0.336,0.228,0.321,0.157,0.169,0.554,0.381,0.454,1.09,0.62,0.955,0.222,0.309,1.313,1.369,0.422,0.398,0.89,0.47,0.358,0.735,0.732,1.589,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1943,0.539,0.104,0.231,0.18,0.128,0.57,0.39,0.4,0.628,0.704,0.639,0.541,0.399,0.928,1.489,0.351,0.212,0.584,0.604,0.399,0.716,0.734,1.409,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1944,0.405,0.063,0.089,0.111,0.045,0.31,0.155,0.282,0.389,0.346,0.426,0.328,0.221,0.807,1.101,0.176,0.124,0.679,0.311,0.199,0.553,0.309,1.015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1945,0.289,0.179,0.173,0.252,0.15,0.351,0.283,0.592,0.645,0.445,0.56,0.332,0.315,0.979,1.134,0.314,0.242,0.768,0.4,0.239,0.415,0.451,1.398,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1946,0.41,0.179,0.191,0.202,0.109,0.394,0.336,0.658,0.556,0.631,0.75,0.295,0.314,1.214,1.359,0.317,0.227,0.839,0.543,0.399,0.621,0.52,1.849,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1947,0.369,0.179,0.227,0.283,0.14,0.414,0.275,0.476,0.422,0.486,0.737,0.276,0.273,0.786,1.068,0.313,0.252,0.683,0.495,0.392,0.566,0.443,1.63,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1948,0.217,0.148,0.339,0.211,0.09,0.38,0.331,0.573,0.478,0.476,0.85,0.344,0.309,0.855,1.354,0.331,0.212,0.7,0.484,0.281,0.488,0.396,1.304,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1949,0.454,0.349,0.435,0.297,0.212,0.514,0.507,0.817,0.403,0.618,0.941,0.344,0.29,1.001,1.408,0.488,0.307,0.602,0.549,0.226,0.45,0.45,1.652,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1950,0.413,0.301,0.264,0.42,0.226,0.424,0.444,0.587,0.659,0.491,0.805,0.421,0.296,1.013,1.343,0.471,0.365,0.623,0.516,0.224,0.351,0.388,1.341,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1951,0.346,0.253,0.241,0.209,0.076,0.343,0.381,0.527,0.279,0.278,0.419,0.349,0.31,0.582,1.202,0.408,0.29,0.426,0.256,0.258,0.43,0.277,1.099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1952,0.31,0.336,0.272,0.349,0.186,0.446,0.401,0.679,0.399,0.44,0.601,0.428,0.426,0.848,0.973,0.418,0.375,0.533,0.428,0.331,0.502,0.31,1.518,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1953,0.44,0.221,0.3,0.325,0.171,0.389,0.449,0.734,0.541,0.332,0.518,0.201,0.278,0.622,1.141,0.357,0.291,0.483,0.328,0.316,0.355,0.284,1.125,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1954,0.426,0.23,0.232,0.336,0.208,0.418,0.476,0.561,0.561,0.462,0.567,0.545,0.235,1.053,0.852,0.363,0.253,0.432,0.49,0.424,0.439,0.261,1.092,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1955,0.354,0.268,0.287,0.416,0.235,0.393,0.618,0.634,0.468,0.589,0.767,0.628,0.503,0.879,1.163,0.592,0.335,0.697,0.515,0.35,0.498,0.33,1.319,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1956,0.35,0.306,0.304,0.205,0.115,0.338,0.468,0.903,0.437,0.349,0.634,0.46,0.427,0.809,1.175,0.56,0.241,0.534,0.369,0.264,0.542,0.399,0.981,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1957,0.423,0.26,0.324,0.306,0.218,0.43,0.542,0.846,0.611,0.493,0.704,0.451,0.299,0.472,0.545,0.415,0.375,0.616,0.417,0.163,0.354,0.399,1.076,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1958,0.23,0.187,0.152,0.388,0.186,0.439,0.704,0.653,0.365,0.28,0.857,0.294,0.579,0.613,0.73,0.446,0.29,0.704,0.585,0.218,0.386,0.361,0.955,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1959,0.504,0.395,0.284,0.272,0.232,0.523,0.542,0.705,0.62,0.592,0.726,0.358,0.643,0.639,0.926,0.489,0.317,0.752,0.476,0.261,0.488,0.46,1.24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1960,0.629,0.246,0.193,0.265,0.177,0.701,0.642,0.747,0.637,0.667,0.717,0.408,0.618,0.657,0.855,0.421,0.282,0.804,0.427,0.269,0.486,0.362,1.17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
