age_CE,FLHP01A_raw,FLHP02B_raw,FLHP03A_raw,FLHP04A_raw,FLHP05A_raw,FLHP06B_raw,FLHP07B_raw,FLHP08B_raw,FLHP09B_raw,FLHP10B_raw,FLHP11B_raw,FLHP12B_raw,FLHP13B_raw,FLHP14A_raw,FLHP15B_raw,FLHP16B_raw,FLHP19A_raw,FLHP20A_raw,FLHP01A_raw_outlier_flag,FLHP02B_raw_outlier_flag,FLHP03A_raw_outlier_flag,FLHP04A_raw_outlier_flag,FLHP05A_raw_outlier_flag,FLHP06B_raw_outlier_flag,FLHP07B_raw_outlier_flag,FLHP08B_raw_outlier_flag,FLHP09B_raw_outlier_flag,FLHP10B_raw_outlier_flag,FLHP11B_raw_outlier_flag,FLHP12B_raw_outlier_flag,FLHP13B_raw_outlier_flag,FLHP14A_raw_outlier_flag,FLHP15B_raw_outlier_flag,FLHP16B_raw_outlier_flag,FLHP19A_raw_outlier_flag,FLHP20A_raw_outlier_flag
1862,NA,NA,2.9,NA,1.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863,NA,NA,2.63,NA,1.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1864,NA,NA,1.67,1.1,2.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1865,NA,NA,1.97,1.41,2.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1866,NA,NA,1.65,1.12,2.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1867,NA,NA,0.57,0.57,1.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868,NA,NA,0.96,1.02,2.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1869,NA,NA,1.1,0.94,2.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1870,NA,NA,1.28,1.27,2.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1871,NA,NA,1.51,0.39,1.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1872,NA,NA,1.83,0.73,2.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1873,NA,NA,2.07,0.69,2.23,NA,NA,NA,NA,NA,NA,0.87,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1874,NA,NA,2.75,1.11,2.66,NA,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1875,NA,NA,2.85,1.06,2.4,1.58,NA,NA,NA,NA,NA,2.22,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1876,NA,NA,2.69,1.9,2.13,1.5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1877,NA,NA,2.92,1.93,3.05,2.12,1.63,NA,NA,NA,NA,1.06,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1878,NA,NA,1.78,1.9,1.08,1.46,1.73,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1879,NA,NA,2.02,0.79,2.06,1.17,1.2,NA,NA,NA,NA,0.63,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1880,NA,NA,1.92,0.63,2.34,0.79,1.5,NA,1.39,NA,NA,1.14,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1881,NA,NA,2.01,1.05,2.4,2.22,1.79,NA,1.52,NA,NA,1.35,NA,NA,NA,NA,2.11,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA
1882,1.82,1.13,2.14,1.01,1.92,2.95,1.91,0.88,1.54,NA,NA,1.06,NA,NA,1.73,NA,2.24,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,FALSE,NA
1883,1.72,1.35,2.19,1.02,2.03,2.27,1.81,1.16,1.67,NA,NA,1.41,1.85,NA,1.4,NA,2.14,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,NA
1884,1.9,1.59,2.36,1.92,1.94,1.92,1.97,1.24,1.67,NA,NA,1.92,2,NA,1.32,NA,2.12,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,NA,FALSE,NA
1885,1.9,1.52,1.58,2.24,2.13,1.7,1.91,1.76,1.47,NA,NA,1.78,2.7,1.55,1.06,NA,2.43,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,TRUE,FALSE,FALSE,NA,FALSE,NA
1886,1.33,1.7,2.72,1.9,2.79,2.35,2.48,1.62,1.96,NA,NA,1.88,1.49,0.98,0.5,NA,1.51,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA
1887,2.05,1.39,2.06,1.19,2.56,2.22,2.08,1.13,1.75,NA,NA,1.94,1.52,0.88,0.41,NA,1.6,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA
1888,1.92,1.65,2.64,1.76,2.75,2.69,2.46,1.81,2.69,1.32,NA,1.8,1.81,1.91,0.91,NA,2.53,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA
1889,2.73,1.86,2.73,1.2,2.48,2.36,1.54,2.74,3.04,0.77,NA,1.83,1.45,1.92,1.09,NA,1.8,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA
1890,1.78,1.98,2.17,1.35,2.31,2.14,1.59,1.98,1.29,1.05,NA,1.76,1.58,1.13,1.12,NA,2.22,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA
1891,1.19,2.75,3.05,2.33,2.17,2.39,4.51,2.93,2.05,0.71,NA,1.86,1.34,1.68,1.48,NA,2.18,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA
1892,0.98,2.26,2.57,1.57,2.16,1.7,3.04,2.09,2.08,0.93,NA,1.98,1.22,1.23,1.15,NA,1.84,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA
1893,1.18,2.3,2.4,0.93,1.88,1.91,3.31,1.9,2.95,1.23,NA,1.81,0.88,0.71,0.77,NA,1.74,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA
1894,1.48,1.7,2.24,1.5,1.73,1.87,2.69,1.41,3.43,0.88,NA,1.75,1.29,0.64,1.46,NA,1.81,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA
1895,1.41,2.32,2.89,1.66,2.28,1.97,3.71,1.58,3.87,1.21,NA,2.14,1.13,1.2,1.6,NA,2.17,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA
1896,1.8,2.17,3.17,1.89,1.77,1.86,2.94,1.39,2.28,1.3,NA,1.74,1.04,0.48,1.01,NA,2.03,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA
1897,1.14,2.06,2.5,1.98,1.82,1.81,2.6,1.86,2.56,1.64,NA,1.66,2.35,1.18,1.49,NA,2.23,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA
1898,1.08,2.49,2.74,2.35,2.67,2.11,3.06,2.44,2.93,1.82,NA,2.04,1.94,1.57,1.46,NA,2.33,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA
1899,0.84,1.82,2.46,1.73,2.07,2.3,2.54,2.2,2.9,1.18,1.98,1.58,1.29,1.21,1.13,NA,2.01,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA
1900,1.14,1.98,2.58,2.55,2.58,3.03,3.26,3.18,4.15,1.97,2.35,1.63,2.04,1.66,1.6,NA,2.73,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA
1901,0.98,2.17,3.03,2.13,2.31,2.47,2.9,2.33,3.3,1.4,2.17,1.44,1.4,1.18,1.55,NA,2.48,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA
1902,1.54,2.42,2.47,1.77,1.82,3.08,3.39,2.27,3.2,1.37,2.28,1.33,1.4,1.98,1.62,NA,2.93,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA
1903,1.28,2.43,2.71,1.49,2,3,3.28,1.97,3.05,1.18,2.4,1.14,1.28,1.3,1.13,NA,2.36,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA
1904,1.47,2.75,2.91,1.88,2.34,2.6,3.82,2.4,3.13,1.5,2.54,1.43,1.41,1.41,1.39,NA,2.33,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA
1905,1.24,2.72,2.31,1.8,1.77,2.72,3.1,2.36,2.68,1.21,1.97,1.26,1.32,1.13,1.31,NA,2.59,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA
1906,2.25,2.89,2.83,1.98,2.52,3.27,3.76,3.21,3.12,1.64,2.42,1.76,1.56,1.33,1.35,NA,2.84,2.51,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE
1907,0.75,2.22,2.17,1.93,1.45,2.3,2.56,1.7,2.78,0.89,1.84,1.1,0.2,0.42,0.39,1.89,0.86,0.14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1908,1.46,2.48,2.52,2.36,1.43,2.14,2.89,1.75,3.09,1.17,2.44,1.31,0.72,0.33,1.47,1.84,1.23,0.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1909,1.88,2.6,2.35,2.31,1.59,2.23,3.19,2.33,3.48,1.07,2.67,1.45,0.92,0.6,1.64,2.61,1.57,0.36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1910,1.16,2.68,2.03,2.12,1.85,2.32,2.75,2.04,3.26,1.18,2.45,1.5,1.11,1.23,1.37,1.98,1.78,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1911,1.09,2.16,2.48,2.32,1.61,2,2.47,2,2.99,1.27,2.19,1.44,0.95,1.08,1.11,1.69,2.53,0.64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1912,1.13,3.7,2.12,2.82,1.65,2.44,3.04,2.68,3.58,1.06,2.01,1.35,1.46,2.18,1.53,3.16,1.47,0.62,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1913,1.71,2.9,2.53,2.67,2.22,2.38,3.25,2.6,3.73,1.33,2.34,1.23,1.63,2.48,1.29,2.13,2.49,0.52,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1914,2.23,3.3,2.73,2.54,2,2.25,3.04,2.44,3.66,1.08,2.77,1.38,1.58,1.75,1.64,2.6,3.42,0.54,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1915,1.79,3.69,2.55,2.21,1.9,1.81,3.01,2.52,3.81,0.86,2.6,1.43,1.98,1.99,1.34,3.2,2.79,0.52,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1916,1.94,2.8,1.92,1.71,1.88,2.04,3.14,1.87,3.78,1.15,2.71,1.44,1.71,1.93,1.13,2.53,2.09,0.26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1917,1.54,2.11,1.65,1.58,1.51,1.63,2.64,1.84,3.13,1.12,2.42,1.03,1.36,1.31,0.9,2.06,2.16,0.54,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1918,1.5,1.52,1.43,1.31,0.93,1.36,2.17,1.8,2.79,0.95,2.26,1,1.26,1.28,0.97,2.1,2.37,0.93,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1919,1.95,2.46,1.72,1.39,1.39,1.92,2.29,2.16,3.1,1.13,2.71,1.3,1.64,1.55,0.85,1.94,2.96,1.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1920,2.44,2.68,1.89,1.79,1.65,1.77,2.14,2.39,3.4,1.09,2.34,1.31,1.57,1.44,1.6,2.41,3.8,1.12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1921,2.21,2.54,1.91,1.78,1.35,1.62,1.69,1.53,2.64,1.19,1.89,1.17,1.21,1.45,1.87,1.74,2.51,0.52,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1922,2.13,2.14,1.88,1.72,1.19,1.56,1.52,1.45,2.39,1,2.13,1.21,1.1,1.53,2.38,1.35,2.18,0.61,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1923,3.37,2.33,1.58,1.79,1.48,1.66,1.72,2.31,2.98,1.05,2.21,1.21,1.71,1.94,2.76,2.33,3.15,0.79,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1924,2.77,1.91,1.53,1.47,1.01,1.43,1.45,1.52,1.94,0.8,1.65,1.12,1.22,1.37,1.72,1.83,2.31,0.73,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1925,3.23,2.25,1.14,1.54,1.14,1.32,1.57,1.82,2.75,0.84,0.68,0.83,2.08,1.7,1.78,2.7,2.85,1.11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1926,2.57,1.4,0.97,1.11,0.88,0.72,1,1.15,1.68,0.55,1.11,0.98,1.12,1.17,1.41,1.7,2.87,0.78,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1927,3.28,1.97,0.98,1.43,1.07,0.93,1.32,1.7,2.43,0.75,1.53,1.41,1.65,1.71,1.79,2.13,2.91,1.37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1928,3.31,2.29,1.06,1.75,1.14,1.03,1.44,1.9,2.41,0.73,1.63,1.08,1.68,1.82,1.87,2.15,2.61,1.78,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1929,3.28,1.72,1.32,1.72,1.05,0.86,1.71,1.86,2.12,0.95,1.46,1.15,1.46,1.84,2.04,2.01,2.71,2.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1930,3.83,2.15,1.66,1.88,0.91,0.78,1.73,2.13,2.2,1,1.52,1.34,1.66,1.96,1.96,2.07,2.84,1.87,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1931,3.52,1.54,1.38,1.45,0.82,0.72,1.43,1.62,1.83,0.7,1.14,0.96,1.17,1.82,1.75,1.8,2.18,1.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1932,3.5,1.48,1.4,1.02,0.86,0.72,1.46,1.77,1.79,0.86,1.05,1.03,0.8,1.69,1.87,1.3,1.88,1.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1933,4,1.73,1.78,1.3,0.99,0.9,1.53,2.04,2.05,1.04,1.35,1.05,1.14,1.91,2.13,1.3,2.54,1.92,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1934,3.58,1.51,1.36,1.03,1,0.98,1.51,2.03,1.89,1.2,1.27,1.05,1.03,2.03,1.73,1.44,1.67,1.42,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1935,3.21,1.88,1.76,1.35,1.11,1.1,1.6,2.39,2.01,1.21,1.39,1.17,1.43,2.4,1.67,1.61,3.01,0.91,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1936,3.14,1.25,1.39,1.39,0.41,0.66,1.21,1.86,1.52,0.85,0.61,0.64,1.01,2.13,1.8,1.86,3.5,1.08,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1937,2.83,1.38,1.59,1.58,0.77,0.63,1.12,1.35,1.42,1.01,1.18,0.84,1.02,2.08,1.54,1.8,2.23,1.26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1938,3.33,1.7,2.26,1.8,1.04,0.75,1.36,1.37,1.46,1.17,1.99,0.86,1.56,2.41,1.9,1.52,2.18,1.94,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
