age_CE,UTA1101A_raw,UTA1101C_raw,UTA1102A_raw,UTA1102C_raw,UTA1103B_raw,UTA1103C_raw,UTA1104A_raw,UTA1104C_raw,UTA1105B_raw,UTA1105C_raw,UTA1106A_raw,UTA1106B_raw,UTA1107A_raw,UTA1107B_raw,UTA1108A_raw,UTA1108B_raw,UTA1109A_raw,UTA1109B_raw,UTA1110A_raw,UTA1110B_raw,UTA1111A_raw,UTA1111B_raw,UTA1112A_raw,UTA1112B_raw,UTA1113A_raw,UTA1113B_raw,UTA1114A_raw,UTA1114B_raw,UTA1115A_raw,UTA1115C_raw,UTA1101A_raw_outlier_flag,UTA1101C_raw_outlier_flag,UTA1102A_raw_outlier_flag,UTA1102C_raw_outlier_flag,UTA1103B_raw_outlier_flag,UTA1103C_raw_outlier_flag,UTA1104A_raw_outlier_flag,UTA1104C_raw_outlier_flag,UTA1105B_raw_outlier_flag,UTA1105C_raw_outlier_flag,UTA1106A_raw_outlier_flag,UTA1106B_raw_outlier_flag,UTA1107A_raw_outlier_flag,UTA1107B_raw_outlier_flag,UTA1108A_raw_outlier_flag,UTA1108B_raw_outlier_flag,UTA1109A_raw_outlier_flag,UTA1109B_raw_outlier_flag,UTA1110A_raw_outlier_flag,UTA1110B_raw_outlier_flag,UTA1111A_raw_outlier_flag,UTA1111B_raw_outlier_flag,UTA1112A_raw_outlier_flag,UTA1112B_raw_outlier_flag,UTA1113A_raw_outlier_flag,UTA1113B_raw_outlier_flag,UTA1114A_raw_outlier_flag,UTA1114B_raw_outlier_flag,UTA1115A_raw_outlier_flag,UTA1115C_raw_outlier_flag
1964,2.351,1.881,2.131,1.817,2.369,1.826,0.795,0.723,0.511,0.789,1.169,1.214,0.815,0.768,1.492,1.909,1.218,0.898,1.286,1.538,1.226,1.311,1.621,1.413,1.411,0.985,1.531,0.897,2.685,3.289,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1965,2.09,2.247,1.991,1.951,2.078,1.87,0.45,0.625,0.489,0.859,1.32,0.965,1.142,0.674,1.109,1.665,1.149,0.824,1.082,1.405,1.301,1.299,1.235,1.453,1.266,1.013,1.439,0.82,2.794,3.177,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1966,2.003,1.65,1.55,1.34,1.455,1.022,0.21,0.312,0.3,0.458,0.823,0.637,0.864,0.54,0.638,1.048,0.65,0.27,0.942,0.996,0.881,0.836,0.849,0.737,0.496,0.567,1.688,0.943,2.77,3.133,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1967,2.595,2.439,2.41,2.276,2.398,1.865,0.571,0.854,1.075,1.163,1.253,0.875,1.04,1.049,1.258,1.358,1.162,0.91,1.521,1.452,1.274,1.606,1.447,1.545,1.148,1.096,2.061,1.34,3.602,3.736,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1968,2.35,1.879,2.341,2.122,2.578,2,0.793,0.83,1.212,1.507,1.44,1.008,1.08,1.274,1.41,1.407,1.151,0.922,1.371,1.642,1.341,1.544,1.185,1.361,0.907,0.819,2.293,1.375,3.811,3.719,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1969,2.46,1.774,2.465,2.206,2.494,1.973,0.889,0.616,1.177,1.362,1.463,1.065,0.84,0.788,1.288,1.255,1.026,0.672,0.963,1.168,1.258,1.722,0.839,0.864,0.547,0.398,2.625,1.443,3.778,3.584,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1970,2.351,2.082,0.839,1.003,1.508,1.055,0.388,0.443,1.009,0.92,1.36,0.681,0.745,0.833,1.114,0.832,0.623,0.442,0.747,0.751,0.806,0.883,0.773,1.063,0.792,0.773,2.164,1.105,2.652,2.281,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1971,2.368,2.621,1.735,1.872,1.968,1.624,0.533,0.266,1.319,1.331,1.347,0.786,1.026,0.92,1.297,1.314,0.79,0.725,0.387,0.827,0.972,1.241,0.969,0.799,0.726,0.687,2.564,1.294,3.195,2.965,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1972,2.681,2.824,1.82,2.225,2.144,1.788,0.868,0.577,1.201,1.331,1.342,1.35,0.87,1.111,1.236,1.12,0.958,0.756,0.789,1.121,1.085,1.498,1.112,0.883,0.733,0.657,1.997,1.272,3.087,2.753,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1973,2.939,2.947,2.092,2.127,2.288,1.856,1.437,1.025,1.619,1.439,1.673,1.499,1.16,1.359,1.965,1.553,1.355,1.175,1.769,1.563,1.325,1.698,1.644,1.593,1.218,1.046,1.987,1.619,3.787,3.452,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1974,2.919,2.919,2.007,1.908,2.209,1.886,1.151,0.853,1.428,1.429,1.493,1.64,1.204,1.085,2.398,1.687,1.24,0.712,1.941,1.538,1.115,1.479,1.072,1.269,1.031,0.975,1.831,1.537,3.535,2.903,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1975,2.411,2.43,2.068,2.04,2.051,1.978,1.59,0.814,1.554,1.303,1.436,1.453,1.072,1.292,1.659,1.403,1.14,0.926,1.362,1.505,1.183,1.577,1.31,1.244,1.074,1.073,1.654,1.453,3.547,2.821,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1976,2.34,2.058,1.667,1.813,1.818,1.718,0.922,0.727,1.511,1.211,1.103,1.435,1.053,1,1.418,1.389,0.984,0.809,1.271,1.483,1.078,1.359,0.8,0.762,0.699,0.934,1.926,1.239,3.172,2.811,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1977,2.428,2.09,1.899,1.897,1.862,1.826,0.787,0.571,1.28,1.271,1.148,1.07,0.821,0.99,1.252,1.07,0.655,0.589,0.761,1.071,1.034,1.421,0.911,0.705,0.802,0.66,1.64,1.185,3.019,2.959,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1978,2.169,2.496,1.904,1.812,1.885,1.881,1.024,0.585,1.265,1.182,0.969,1.148,0.823,0.773,1.443,1.347,0.724,0.537,0.95,1.213,1.085,1.228,0.952,0.691,0.705,0.669,2.231,1.626,2.93,2.812,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1979,2.157,1.718,1.428,1.479,1.755,1.383,0.763,0.435,0.86,0.963,0.97,0.894,0.418,0.545,1.101,1.008,0.474,0.235,0.824,0.871,0.738,0.832,0.678,0.696,0.467,0.287,1.609,1.276,2.763,2.758,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1980,2.481,1.962,1.767,1.738,1.883,1.917,1.074,0.762,1.017,1.038,1.452,1.098,0.819,1.037,1.409,1.207,1,0.854,0.858,1.302,1.052,1.102,0.801,0.827,0.729,0.914,1.473,1.009,2.754,2.818,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1981,2.075,1.656,1.656,1.709,1.955,1.793,0.634,0.696,0.828,1.042,1.181,0.67,0.756,0.915,1.157,1.059,0.603,0.715,0.719,1.036,1.101,1.243,0.68,0.724,0.603,0.725,1.13,0.842,2.209,2.277,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1982,2.354,2.036,1.578,1.685,1.747,1.833,0.756,0.617,0.694,1.061,1.695,0.903,0.714,0.986,1.033,1.054,0.759,0.782,0.995,1.463,1.095,1.357,0.721,0.752,0.557,0.73,1.604,1.082,1.909,1.965,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1983,2.536,2.75,1.406,1.631,1.725,1.638,1.319,0.815,0.815,1.443,2.064,1.162,0.807,0.938,1.392,1.38,0.769,0.847,1.407,1.493,1.147,1.267,0.78,0.976,1.011,1.112,1.83,1.878,2.572,2.44,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1984,2.487,1.847,1.64,1.624,1.977,1.7,1.018,0.739,1.066,1.669,1.65,1.102,0.727,0.949,1.131,1.315,0.857,0.792,1.073,1.239,1.243,1.535,1.049,1.017,0.759,0.956,1.451,1.351,2.614,2.582,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1985,2.329,2.078,1.559,1.459,2.329,2.112,0.87,0.615,1.311,1.729,1.567,1.061,0.998,1.077,1.019,1.206,0.843,0.902,0.825,1.253,1.494,1.397,0.729,0.795,1.157,0.811,1.468,0.992,2.497,2.329,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1986,2.096,2.239,1.405,1.444,2.071,1.702,0.754,0.5,1.249,1.443,1.405,0.908,0.744,0.745,0.872,0.994,0.602,0.461,0.697,0.97,0.991,1.352,0.96,0.768,0.717,0.985,1.549,0.932,2.413,2.277,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1987,2.466,2.077,1.361,1.33,1.96,1.599,0.731,0.545,1.289,1.5,1.547,1.045,0.871,0.766,1.164,1.25,0.895,0.809,0.868,0.928,0.993,1.238,0.764,0.887,0.771,0.937,1.063,0.943,2.441,2.222,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1988,2.565,2.237,1.577,1.539,2.155,1.743,0.692,0.498,1.34,1.476,1.667,1.311,1.036,0.952,1.385,1.6,0.779,0.928,0.713,1.118,1.261,1.511,0.885,0.876,1.235,0.901,1.24,0.976,2.221,2.011,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1989,2.452,2.694,1.101,1.209,1.769,1.247,0.775,0.298,1.155,1.384,1.018,1.705,0.645,0.648,1.181,0.825,0.547,0.574,0.773,0.966,0.909,1.117,0.644,0.71,1.537,1.906,1.477,1.212,2.323,2.174,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1990,2.062,2.111,1.156,1.349,2.291,1.552,0.586,0.442,1.091,1.499,0.827,1.123,0.437,0.552,0.95,0.843,0.416,0.375,0.752,0.971,0.838,1.228,0.945,0.872,1.066,1.361,1.592,0.971,2.067,2.181,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1991,1.568,1.727,1.081,1.359,1.798,1.369,0.564,0.456,0.989,1.112,0.679,0.808,0.655,0.592,0.685,0.698,0.417,0.568,0.583,0.821,0.763,1.03,0.966,1.174,2.436,1.9,0.81,0.759,2.079,2.07,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1992,1.453,1.508,1.078,1.203,1.846,1.267,0.613,0.459,0.88,1.014,0.992,1.035,0.487,0.42,0.7,0.66,0.45,0.455,0.587,0.667,0.56,0.986,0.554,0.765,2.598,1.196,0.702,0.418,2.072,1.729,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1993,1.585,1.483,0.895,0.777,1.577,1.161,0.561,0.407,0.95,1.028,1.333,1.176,0.459,0.475,0.908,0.693,0.56,0.497,0.453,0.787,0.446,0.788,0.359,0.591,1.333,0.444,0.411,0.176,1.966,1.858,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1994,2.049,1.935,1.144,1.079,1.642,1.255,0.613,0.467,0.992,1.081,1.573,1.392,0.473,0.546,1.251,0.923,0.558,0.53,0.789,0.743,0.567,0.7,0.785,1.053,2.538,2.317,0.685,0.552,1.98,1.723,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1995,2.433,2.098,1.587,1.791,2.194,1.618,0.755,0.51,1.267,1.211,1.63,1.293,0.688,0.675,1.202,1.126,0.981,0.648,1.07,0.91,0.891,1.03,1.558,1.37,3.101,3.383,1.098,0.991,2.299,1.965,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1996,2.814,2.193,1.085,1.057,1.887,1.425,0.603,0.402,1.379,1.063,1.503,1.219,0.417,0.503,0.733,0.723,0.48,0.287,0.824,0.855,0.843,0.998,0.978,1.103,2.019,1.818,1.669,0.866,2.752,2.219,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1997,2.274,1.763,1.007,1.497,2.025,1.468,0.574,0.497,1.495,1.237,1.539,1.14,0.573,0.679,0.82,0.751,0.619,0.545,0.32,0.687,0.605,1.047,1.215,1.047,2.787,1.954,0.974,0.605,2.704,2.183,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1998,2.193,2.124,1.527,1.668,2.585,1.939,0.78,0.652,1.61,1.143,1.792,1.007,0.752,0.924,0.937,1.024,0.773,0.771,0.844,0.858,1.045,1.426,1.596,1.271,2.877,2.166,1.306,0.857,2.409,2.001,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1999,1.897,1.933,1.714,1.718,2.472,1.869,0.966,0.935,1.804,1.383,1.816,1.076,0.924,1.003,1.124,1.203,0.904,0.88,1.011,1.241,1.229,1.356,1.419,1.43,3.309,2.956,1.412,0.836,2.331,1.969,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000,2.399,2.488,1.503,1.741,2.364,2.286,1.083,0.84,1.542,1.265,1.902,1.116,0.906,0.982,1.328,1.413,0.931,1.147,0.819,1.163,1.105,1.296,1.772,1.471,3.582,3.089,1.566,0.958,2.272,2.11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2001,1.943,2.01,1.367,1.664,2.16,1.765,1.095,0.526,1.272,1.2,1.402,0.876,0.765,0.799,0.93,1.22,0.626,0.635,0.648,0.713,0.856,0.962,1.227,1.094,2.543,1.779,1.049,0.781,1.951,1.706,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2002,1.836,1.742,1.296,1.569,2.505,1.944,0.861,0.522,0.99,0.913,1.18,0.607,0.524,0.776,1.093,1.326,0.721,0.494,0.781,0.779,0.756,0.912,1.105,1.095,3.466,2.46,1.014,0.58,1.861,1.819,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2003,2.219,2.056,1.513,1.86,2.171,2.012,1.123,0.633,1.39,1.374,1.13,1.045,0.801,0.972,1.196,1.479,0.68,0.668,1.246,1,0.948,0.903,1.575,1.713,3.213,2.885,1.054,0.917,2.495,2.403,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2004,2.072,1.788,1.463,1.851,2.084,1.615,0.903,0.515,1.045,0.974,1.233,1.006,0.616,0.833,1.079,1.234,0.74,0.764,0.568,0.802,0.856,0.664,0.992,1.388,2.711,2.183,1.018,0.601,1.759,1.946,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2005,2.684,2.282,1.549,2.051,2.496,1.804,1.078,0.745,1.192,1.146,1.662,1.592,0.784,0.857,1.194,1.291,0.941,0.836,1.016,1.306,0.83,0.817,1.679,1.658,2.937,2.363,1.03,0.63,2.302,2.412,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2006,2.482,2.398,1.233,1.387,2.081,1.656,0.461,0.547,1.177,0.945,1.214,1.145,0.58,0.533,0.55,0.82,0.408,0.339,0.669,0.864,0.546,0.505,1.804,1.678,3.102,2.779,1.172,0.533,2.276,1.981,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2007,1.262,1.57,1.229,1.074,1.712,1.683,0.367,0.321,0.451,0.486,0.531,0.575,0.304,0.332,0.481,0.646,0.278,0.264,0.514,0.675,0.552,0.57,0.65,0.732,1.067,0.894,0.561,0.129,0.989,0.935,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2008,1.421,1.601,1.294,1.411,1.715,1.587,0.779,0.403,0.81,0.757,1.049,0.965,0.343,0.447,1.039,0.537,0.634,0.478,0.559,0.673,0.307,0.448,1.452,1.105,2.39,1.435,0.564,0.277,1.186,1.272,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2009,1.837,2.022,1.291,1.61,1.83,1.902,0.768,0.538,0.888,1.384,1.145,1.141,0.635,0.65,0.917,0.83,0.62,0.41,0.677,0.741,0.564,0.491,1.404,1.375,3.415,2.324,0.723,0.468,1.861,1.975,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2010,2.392,2.059,1.55,2.017,2.163,2.243,0.724,0.788,1.157,1.218,1.536,1.364,0.77,0.944,1.092,1.276,0.969,0.978,1.038,1.189,0.729,0.649,1.498,1.38,2.989,1.998,0.929,0.629,1.865,2.202,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2011,2.267,1.96,1.819,1.628,1.956,2.07,0.737,0.588,1.017,1.16,1.196,1.081,0.769,0.805,1.131,1.19,0.93,0.9,0.63,0.825,0.784,0.715,1.058,1.447,2.342,1.982,0.866,0.616,2.225,2.452,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
