"","years","Tag","Long","Lat","Ring_width(mm)","speciesfull","species"
"30",2001,"BNF0702131414SF",-107.0675873,44.18145885,0.454,"Abies lasiocarpa","ABLA"
"31",2002,"BNF0702131414SF",-107.0675873,44.18145885,0.502,"Abies lasiocarpa","ABLA"
"32",2003,"BNF0702131414SF",-107.0675873,44.18145885,0.652,"Abies lasiocarpa","ABLA"
"33",2004,"BNF0702131414SF",-107.0675873,44.18145885,0.55,"Abies lasiocarpa","ABLA"
"34",2005,"BNF0702131414SF",-107.0675873,44.18145885,0.714,"Abies lasiocarpa","ABLA"
"35",2006,"BNF0702131414SF",-107.0675873,44.18145885,0.392,"Abies lasiocarpa","ABLA"
"36",2007,"BNF0702131414SF",-107.0675873,44.18145885,0.387,"Abies lasiocarpa","ABLA"
"37",2008,"BNF0702131414SF",-107.0675873,44.18145885,0.422,"Abies lasiocarpa","ABLA"
"38",2009,"BNF0702131414SF",-107.0675873,44.18145885,0.489,"Abies lasiocarpa","ABLA"
"39",2010,"BNF0702131414SF",-107.0675873,44.18145885,0.551,"Abies lasiocarpa","ABLA"
"40",2011,"BNF0702131414SF",-107.0675873,44.18145885,0.457,"Abies lasiocarpa","ABLA"
"41",1992,"BNF0703130937SF",-107.0326807,44.17486509,2.708,"Abies lasiocarpa","ABLA"
"42",1993,"BNF0703130937SF",-107.0326807,44.17486509,2.744,"Abies lasiocarpa","ABLA"
"43",1994,"BNF0703130937SF",-107.0326807,44.17486509,3.083,"Abies lasiocarpa","ABLA"
"44",1995,"BNF0703130937SF",-107.0326807,44.17486509,2.754,"Abies lasiocarpa","ABLA"
"45",1996,"BNF0703130937SF",-107.0326807,44.17486509,1.982,"Abies lasiocarpa","ABLA"
"46",1997,"BNF0703130937SF",-107.0326807,44.17486509,1.948,"Abies lasiocarpa","ABLA"
"47",1998,"BNF0703130937SF",-107.0326807,44.17486509,2.238,"Abies lasiocarpa","ABLA"
"48",1999,"BNF0703130937SF",-107.0326807,44.17486509,1.844,"Abies lasiocarpa","ABLA"
"49",2000,"BNF0703130937SF",-107.0326807,44.17486509,1.56,"Abies lasiocarpa","ABLA"
"50",2001,"BNF0703130937SF",-107.0326807,44.17486509,1.456,"Abies lasiocarpa","ABLA"
"51",2002,"BNF0703130937SF",-107.0326807,44.17486509,1.379,"Abies lasiocarpa","ABLA"
"52",2003,"BNF0703130937SF",-107.0326807,44.17486509,1.885,"Abies lasiocarpa","ABLA"
"53",2004,"BNF0703130937SF",-107.0326807,44.17486509,1.792,"Abies lasiocarpa","ABLA"
"54",2005,"BNF0703130937SF",-107.0326807,44.17486509,1.806,"Abies lasiocarpa","ABLA"
"55",2006,"BNF0703130937SF",-107.0326807,44.17486509,1.622,"Abies lasiocarpa","ABLA"
"56",2007,"BNF0703130937SF",-107.0326807,44.17486509,1.43,"Abies lasiocarpa","ABLA"
"57",2008,"BNF0703130937SF",-107.0326807,44.17486509,1.525,"Abies lasiocarpa","ABLA"
"58",2009,"BNF0703130937SF",-107.0326807,44.17486509,1.556,"Abies lasiocarpa","ABLA"
"59",2010,"BNF0703130937SF",-107.0326807,44.17486509,1.565,"Abies lasiocarpa","ABLA"
"60",2011,"BNF0703130937SF",-107.0326807,44.17486509,1.345,"Abies lasiocarpa","ABLA"
"61",1992,"BNF0703131348SF",-107.0412482,44.18678535,0.962,"Abies lasiocarpa","ABLA"
"62",1993,"BNF0703131348SF",-107.0412482,44.18678535,1.056,"Abies lasiocarpa","ABLA"
"63",1994,"BNF0703131348SF",-107.0412482,44.18678535,1.135,"Abies lasiocarpa","ABLA"
"64",1995,"BNF0703131348SF",-107.0412482,44.18678535,1.031,"Abies lasiocarpa","ABLA"
"65",1996,"BNF0703131348SF",-107.0412482,44.18678535,0.76,"Abies lasiocarpa","ABLA"
"66",1997,"BNF0703131348SF",-107.0412482,44.18678535,0.758,"Abies lasiocarpa","ABLA"
"67",1998,"BNF0703131348SF",-107.0412482,44.18678535,0.858,"Abies lasiocarpa","ABLA"
"68",1999,"BNF0703131348SF",-107.0412482,44.18678535,1.002,"Abies lasiocarpa","ABLA"
"69",2000,"BNF0703131348SF",-107.0412482,44.18678535,0.822,"Abies lasiocarpa","ABLA"
"70",2001,"BNF0703131348SF",-107.0412482,44.18678535,0.566,"Abies lasiocarpa","ABLA"
"71",2002,"BNF0703131348SF",-107.0412482,44.18678535,0.472,"Abies lasiocarpa","ABLA"
"72",2003,"BNF0703131348SF",-107.0412482,44.18678535,0.556,"Abies lasiocarpa","ABLA"
"73",2004,"BNF0703131348SF",-107.0412482,44.18678535,0.562,"Abies lasiocarpa","ABLA"
"74",2005,"BNF0703131348SF",-107.0412482,44.18678535,0.71,"Abies lasiocarpa","ABLA"
"75",2006,"BNF0703131348SF",-107.0412482,44.18678535,0.442,"Abies lasiocarpa","ABLA"
"76",2007,"BNF0703131348SF",-107.0412482,44.18678535,0.347,"Abies lasiocarpa","ABLA"
"77",2008,"BNF0703131348SF",-107.0412482,44.18678535,0.496,"Abies lasiocarpa","ABLA"
"78",2009,"BNF0703131348SF",-107.0412482,44.18678535,0.46,"Abies lasiocarpa","ABLA"
"79",2010,"BNF0703131348SF",-107.0412482,44.18678535,0.548,"Abies lasiocarpa","ABLA"
"80",2011,"BNF0703131348SF",-107.0412482,44.18678535,0.434,"Abies lasiocarpa","ABLA"
"81",1992,"BNF0703131606SF",-107.0452289,44.19117964,0.534,"Abies lasiocarpa","ABLA"
"82",1993,"BNF0703131606SF",-107.0452289,44.19117964,0.608,"Abies lasiocarpa","ABLA"
"83",1994,"BNF0703131606SF",-107.0452289,44.19117964,0.686,"Abies lasiocarpa","ABLA"
"84",1995,"BNF0703131606SF",-107.0452289,44.19117964,0.7,"Abies lasiocarpa","ABLA"
"85",1996,"BNF0703131606SF",-107.0452289,44.19117964,0.635,"Abies lasiocarpa","ABLA"
"86",1997,"BNF0703131606SF",-107.0452289,44.19117964,0.588,"Abies lasiocarpa","ABLA"
"87",1998,"BNF0703131606SF",-107.0452289,44.19117964,0.762,"Abies lasiocarpa","ABLA"
"88",1999,"BNF0703131606SF",-107.0452289,44.19117964,0.788,"Abies lasiocarpa","ABLA"
"89",2000,"BNF0703131606SF",-107.0452289,44.19117964,0.876,"Abies lasiocarpa","ABLA"
"90",2001,"BNF0703131606SF",-107.0452289,44.19117964,0.611,"Abies lasiocarpa","ABLA"
"91",2002,"BNF0703131606SF",-107.0452289,44.19117964,0.583,"Abies lasiocarpa","ABLA"
"92",2003,"BNF0703131606SF",-107.0452289,44.19117964,0.628,"Abies lasiocarpa","ABLA"
"93",2004,"BNF0703131606SF",-107.0452289,44.19117964,0.68,"Abies lasiocarpa","ABLA"
"94",2005,"BNF0703131606SF",-107.0452289,44.19117964,0.864,"Abies lasiocarpa","ABLA"
"95",2006,"BNF0703131606SF",-107.0452289,44.19117964,0.792,"Abies lasiocarpa","ABLA"
"96",2007,"BNF0703131606SF",-107.0452289,44.19117964,0.565,"Abies lasiocarpa","ABLA"
"97",2008,"BNF0703131606SF",-107.0452289,44.19117964,0.605,"Abies lasiocarpa","ABLA"
"98",2009,"BNF0703131606SF",-107.0452289,44.19117964,0.632,"Abies lasiocarpa","ABLA"
"99",2010,"BNF0703131606SF",-107.0452289,44.19117964,0.606,"Abies lasiocarpa","ABLA"
"100",2011,"BNF0703131606SF",-107.0452289,44.19117964,0.496,"Abies lasiocarpa","ABLA"
"101",1992,"BNF0704130924SF",-107.2822552,44.27590735,0.77,"Abies lasiocarpa","ABLA"
"102",1993,"BNF0704130924SF",-107.2822552,44.27590735,0.891,"Abies lasiocarpa","ABLA"
"103",1994,"BNF0704130924SF",-107.2822552,44.27590735,0.926,"Abies lasiocarpa","ABLA"
"104",1995,"BNF0704130924SF",-107.2822552,44.27590735,0.908,"Abies lasiocarpa","ABLA"
"105",1996,"BNF0704130924SF",-107.2822552,44.27590735,0.667,"Abies lasiocarpa","ABLA"
"106",1997,"BNF0704130924SF",-107.2822552,44.27590735,0.577,"Abies lasiocarpa","ABLA"
"107",1998,"BNF0704130924SF",-107.2822552,44.27590735,0.655,"Abies lasiocarpa","ABLA"
"108",1999,"BNF0704130924SF",-107.2822552,44.27590735,0.661,"Abies lasiocarpa","ABLA"
"109",2000,"BNF0704130924SF",-107.2822552,44.27590735,0.593,"Abies lasiocarpa","ABLA"
"110",2001,"BNF0704130924SF",-107.2822552,44.27590735,0.558,"Abies lasiocarpa","ABLA"
"111",2002,"BNF0704130924SF",-107.2822552,44.27590735,0.526,"Abies lasiocarpa","ABLA"
"112",2003,"BNF0704130924SF",-107.2822552,44.27590735,0.54,"Abies lasiocarpa","ABLA"
"113",2004,"BNF0704130924SF",-107.2822552,44.27590735,0.549,"Abies lasiocarpa","ABLA"
"114",2005,"BNF0704130924SF",-107.2822552,44.27590735,0.66,"Abies lasiocarpa","ABLA"
"115",2006,"BNF0704130924SF",-107.2822552,44.27590735,0.384,"Abies lasiocarpa","ABLA"
"116",2007,"BNF0704130924SF",-107.2822552,44.27590735,0.439,"Abies lasiocarpa","ABLA"
"117",2008,"BNF0704130924SF",-107.2822552,44.27590735,0.426,"Abies lasiocarpa","ABLA"
"118",2009,"BNF0704130924SF",-107.2822552,44.27590735,0.469,"Abies lasiocarpa","ABLA"
"119",2010,"BNF0704130924SF",-107.2822552,44.27590735,0.437,"Abies lasiocarpa","ABLA"
"120",2011,"BNF0704130924SF",-107.2822552,44.27590735,0.364,"Abies lasiocarpa","ABLA"
"121",1992,"BNF0704130935SF",-107.1976937,44.1193296,2.096,"Abies lasiocarpa","ABLA"
"122",1993,"BNF0704130935SF",-107.1976937,44.1193296,2.041,"Abies lasiocarpa","ABLA"
"123",1994,"BNF0704130935SF",-107.1976937,44.1193296,1.895,"Abies lasiocarpa","ABLA"
"124",1995,"BNF0704130935SF",-107.1976937,44.1193296,1.865,"Abies lasiocarpa","ABLA"
"125",1996,"BNF0704130935SF",-107.1976937,44.1193296,1.478,"Abies lasiocarpa","ABLA"
"126",1997,"BNF0704130935SF",-107.1976937,44.1193296,1.776,"Abies lasiocarpa","ABLA"
"127",1998,"BNF0704130935SF",-107.1976937,44.1193296,2.044,"Abies lasiocarpa","ABLA"
"128",1999,"BNF0704130935SF",-107.1976937,44.1193296,1.827,"Abies lasiocarpa","ABLA"
"129",2000,"BNF0704130935SF",-107.1976937,44.1193296,1.751,"Abies lasiocarpa","ABLA"
"130",2001,"BNF0704130935SF",-107.1976937,44.1193296,1.298,"Abies lasiocarpa","ABLA"
"131",2002,"BNF0704130935SF",-107.1976937,44.1193296,1.19,"Abies lasiocarpa","ABLA"
"132",2003,"BNF0704130935SF",-107.1976937,44.1193296,1.521,"Abies lasiocarpa","ABLA"
"133",2004,"BNF0704130935SF",-107.1976937,44.1193296,1.347,"Abies lasiocarpa","ABLA"
"134",2005,"BNF0704130935SF",-107.1976937,44.1193296,1.53,"Abies lasiocarpa","ABLA"
"135",2006,"BNF0704130935SF",-107.1976937,44.1193296,1.22,"Abies lasiocarpa","ABLA"
"136",2007,"BNF0704130935SF",-107.1976937,44.1193296,1.209,"Abies lasiocarpa","ABLA"
"137",2008,"BNF0704130935SF",-107.1976937,44.1193296,1.229,"Abies lasiocarpa","ABLA"
"138",2009,"BNF0704130935SF",-107.1976937,44.1193296,1.383,"Abies lasiocarpa","ABLA"
"139",2010,"BNF0704130935SF",-107.1976937,44.1193296,1.47,"Abies lasiocarpa","ABLA"
"140",2011,"BNF0704130935SF",-107.1976937,44.1193296,1.329,"Abies lasiocarpa","ABLA"
"141",1992,"BNF0705131251SF",-107.2950877,44.30874462,0.692,"Abies lasiocarpa","ABLA"
"142",1993,"BNF0705131251SF",-107.2950877,44.30874462,0.763,"Abies lasiocarpa","ABLA"
"143",1994,"BNF0705131251SF",-107.2950877,44.30874462,1.098,"Abies lasiocarpa","ABLA"
"144",1995,"BNF0705131251SF",-107.2950877,44.30874462,0.966,"Abies lasiocarpa","ABLA"
"145",1996,"BNF0705131251SF",-107.2950877,44.30874462,0.834,"Abies lasiocarpa","ABLA"
"146",1997,"BNF0705131251SF",-107.2950877,44.30874462,0.735,"Abies lasiocarpa","ABLA"
"147",1998,"BNF0705131251SF",-107.2950877,44.30874462,0.904,"Abies lasiocarpa","ABLA"
"148",1999,"BNF0705131251SF",-107.2950877,44.30874462,0.954,"Abies lasiocarpa","ABLA"
"149",2000,"BNF0705131251SF",-107.2950877,44.30874462,1.047,"Abies lasiocarpa","ABLA"
"150",2001,"BNF0705131251SF",-107.2950877,44.30874462,0.93,"Abies lasiocarpa","ABLA"
"151",2002,"BNF0705131251SF",-107.2950877,44.30874462,0.7,"Abies lasiocarpa","ABLA"
"152",2003,"BNF0705131251SF",-107.2950877,44.30874462,0.81,"Abies lasiocarpa","ABLA"
"153",2004,"BNF0705131251SF",-107.2950877,44.30874462,0.74,"Abies lasiocarpa","ABLA"
"154",2005,"BNF0705131251SF",-107.2950877,44.30874462,0.857,"Abies lasiocarpa","ABLA"
"155",2006,"BNF0705131251SF",-107.2950877,44.30874462,0.763,"Abies lasiocarpa","ABLA"
"156",2007,"BNF0705131251SF",-107.2950877,44.30874462,0.626,"Abies lasiocarpa","ABLA"
"157",2008,"BNF0705131251SF",-107.2950877,44.30874462,0.648,"Abies lasiocarpa","ABLA"
"158",2009,"BNF0705131251SF",-107.2950877,44.30874462,0.858,"Abies lasiocarpa","ABLA"
"159",2010,"BNF0705131251SF",-107.2950877,44.30874462,0.751,"Abies lasiocarpa","ABLA"
"160",2011,"BNF0705131251SF",-107.2950877,44.30874462,0.782,"Abies lasiocarpa","ABLA"
"161",1992,"BNF0710131105SF",-107.088305,44.53706154,0.931,"Abies lasiocarpa","ABLA"
"162",1993,"BNF0710131105SF",-107.088305,44.53706154,1.118,"Abies lasiocarpa","ABLA"
"163",1994,"BNF0710131105SF",-107.088305,44.53706154,1.095,"Abies lasiocarpa","ABLA"
"164",1995,"BNF0710131105SF",-107.088305,44.53706154,0.988,"Abies lasiocarpa","ABLA"
"165",1996,"BNF0710131105SF",-107.088305,44.53706154,0.806,"Abies lasiocarpa","ABLA"
"166",1997,"BNF0710131105SF",-107.088305,44.53706154,0.699,"Abies lasiocarpa","ABLA"
"167",1998,"BNF0710131105SF",-107.088305,44.53706154,0.908,"Abies lasiocarpa","ABLA"
"168",1999,"BNF0710131105SF",-107.088305,44.53706154,1.026,"Abies lasiocarpa","ABLA"
"169",2000,"BNF0710131105SF",-107.088305,44.53706154,0.808,"Abies lasiocarpa","ABLA"
"170",2001,"BNF0710131105SF",-107.088305,44.53706154,0.796,"Abies lasiocarpa","ABLA"
"171",2002,"BNF0710131105SF",-107.088305,44.53706154,0.748,"Abies lasiocarpa","ABLA"
"172",2003,"BNF0710131105SF",-107.088305,44.53706154,0.83,"Abies lasiocarpa","ABLA"
"173",2004,"BNF0710131105SF",-107.088305,44.53706154,0.592,"Abies lasiocarpa","ABLA"
"174",2005,"BNF0710131105SF",-107.088305,44.53706154,0.846,"Abies lasiocarpa","ABLA"
"175",2006,"BNF0710131105SF",-107.088305,44.53706154,0.684,"Abies lasiocarpa","ABLA"
"176",2007,"BNF0710131105SF",-107.088305,44.53706154,0.689,"Abies lasiocarpa","ABLA"
"177",2008,"BNF0710131105SF",-107.088305,44.53706154,0.596,"Abies lasiocarpa","ABLA"
"178",2009,"BNF0710131105SF",-107.088305,44.53706154,0.654,"Abies lasiocarpa","ABLA"
"179",2010,"BNF0710131105SF",-107.088305,44.53706154,0.714,"Abies lasiocarpa","ABLA"
"180",2011,"BNF0710131105SF",-107.088305,44.53706154,0.539,"Abies lasiocarpa","ABLA"
"181",1992,"BNF0710131415SF",-107.0880073,44.57554379,0.84,"Abies lasiocarpa","ABLA"
"182",1993,"BNF0710131415SF",-107.0880073,44.57554379,1.091,"Abies lasiocarpa","ABLA"
"183",1994,"BNF0710131415SF",-107.0880073,44.57554379,1.31,"Abies lasiocarpa","ABLA"
"184",1995,"BNF0710131415SF",-107.0880073,44.57554379,1.254,"Abies lasiocarpa","ABLA"
"185",1996,"BNF0710131415SF",-107.0880073,44.57554379,1.099,"Abies lasiocarpa","ABLA"
"186",1997,"BNF0710131415SF",-107.0880073,44.57554379,1.131,"Abies lasiocarpa","ABLA"
"187",1998,"BNF0710131415SF",-107.0880073,44.57554379,1.259,"Abies lasiocarpa","ABLA"
"188",1999,"BNF0710131415SF",-107.0880073,44.57554379,1.557,"Abies lasiocarpa","ABLA"
"189",2000,"BNF0710131415SF",-107.0880073,44.57554379,1.083,"Abies lasiocarpa","ABLA"
"190",2001,"BNF0710131415SF",-107.0880073,44.57554379,0.852,"Abies lasiocarpa","ABLA"
"191",2002,"BNF0710131415SF",-107.0880073,44.57554379,0.772,"Abies lasiocarpa","ABLA"
"192",2003,"BNF0710131415SF",-107.0880073,44.57554379,0.985,"Abies lasiocarpa","ABLA"
"193",2004,"BNF0710131415SF",-107.0880073,44.57554379,0.808,"Abies lasiocarpa","ABLA"
"194",2005,"BNF0710131415SF",-107.0880073,44.57554379,0.817,"Abies lasiocarpa","ABLA"
"195",2006,"BNF0710131415SF",-107.0880073,44.57554379,0.552,"Abies lasiocarpa","ABLA"
"196",2007,"BNF0710131415SF",-107.0880073,44.57554379,0.76,"Abies lasiocarpa","ABLA"
"197",2008,"BNF0710131415SF",-107.0880073,44.57554379,0.609,"Abies lasiocarpa","ABLA"
"198",2009,"BNF0710131415SF",-107.0880073,44.57554379,0.644,"Abies lasiocarpa","ABLA"
"199",2010,"BNF0710131415SF",-107.0880073,44.57554379,0.681,"Abies lasiocarpa","ABLA"
"200",2011,"BNF0710131415SF",-107.0880073,44.57554379,0.57,"Abies lasiocarpa","ABLA"
"201",1992,"BNF0710131424SF",-107.1009664,44.53913389,1.288,"Abies lasiocarpa","ABLA"
"202",1993,"BNF0710131424SF",-107.1009664,44.53913389,1.49,"Abies lasiocarpa","ABLA"
"203",1994,"BNF0710131424SF",-107.1009664,44.53913389,1.545,"Abies lasiocarpa","ABLA"
"204",1995,"BNF0710131424SF",-107.1009664,44.53913389,1.055,"Abies lasiocarpa","ABLA"
"205",1996,"BNF0710131424SF",-107.1009664,44.53913389,1.238,"Abies lasiocarpa","ABLA"
"206",1997,"BNF0710131424SF",-107.1009664,44.53913389,1.408,"Abies lasiocarpa","ABLA"
"207",1998,"BNF0710131424SF",-107.1009664,44.53913389,1.462,"Abies lasiocarpa","ABLA"
"208",1999,"BNF0710131424SF",-107.1009664,44.53913389,1.312,"Abies lasiocarpa","ABLA"
"209",2000,"BNF0710131424SF",-107.1009664,44.53913389,1.205,"Abies lasiocarpa","ABLA"
"210",2001,"BNF0710131424SF",-107.1009664,44.53913389,1.052,"Abies lasiocarpa","ABLA"
"211",2002,"BNF0710131424SF",-107.1009664,44.53913389,0.984,"Abies lasiocarpa","ABLA"
"212",2003,"BNF0710131424SF",-107.1009664,44.53913389,1.208,"Abies lasiocarpa","ABLA"
"213",2004,"BNF0710131424SF",-107.1009664,44.53913389,0.988,"Abies lasiocarpa","ABLA"
"214",2005,"BNF0710131424SF",-107.1009664,44.53913389,1.034,"Abies lasiocarpa","ABLA"
"215",2006,"BNF0710131424SF",-107.1009664,44.53913389,0.918,"Abies lasiocarpa","ABLA"
"216",2007,"BNF0710131424SF",-107.1009664,44.53913389,0.998,"Abies lasiocarpa","ABLA"
"217",2008,"BNF0710131424SF",-107.1009664,44.53913389,0.661,"Abies lasiocarpa","ABLA"
"218",2009,"BNF0710131424SF",-107.1009664,44.53913389,0.744,"Abies lasiocarpa","ABLA"
"219",2010,"BNF0710131424SF",-107.1009664,44.53913389,0.821,"Abies lasiocarpa","ABLA"
"220",2011,"BNF0710131424SF",-107.1009664,44.53913389,0.726,"Abies lasiocarpa","ABLA"
"221",1992,"BNF0710131628SF",-107.0867196,44.57862819,1.851,"Abies lasiocarpa","ABLA"
"222",1993,"BNF0710131628SF",-107.0867196,44.57862819,1.722,"Abies lasiocarpa","ABLA"
"223",1994,"BNF0710131628SF",-107.0867196,44.57862819,1.577,"Abies lasiocarpa","ABLA"
"224",1995,"BNF0710131628SF",-107.0867196,44.57862819,1.122,"Abies lasiocarpa","ABLA"
"225",1996,"BNF0710131628SF",-107.0867196,44.57862819,1.486,"Abies lasiocarpa","ABLA"
"226",1997,"BNF0710131628SF",-107.0867196,44.57862819,1.622,"Abies lasiocarpa","ABLA"
"227",1998,"BNF0710131628SF",-107.0867196,44.57862819,1.532,"Abies lasiocarpa","ABLA"
"228",1999,"BNF0710131628SF",-107.0867196,44.57862819,1.872,"Abies lasiocarpa","ABLA"
"229",2000,"BNF0710131628SF",-107.0867196,44.57862819,1.403,"Abies lasiocarpa","ABLA"
"230",2001,"BNF0710131628SF",-107.0867196,44.57862819,0.944,"Abies lasiocarpa","ABLA"
"231",2002,"BNF0710131628SF",-107.0867196,44.57862819,0.542,"Abies lasiocarpa","ABLA"
"232",2003,"BNF0710131628SF",-107.0867196,44.57862819,1.003,"Abies lasiocarpa","ABLA"
"233",2004,"BNF0710131628SF",-107.0867196,44.57862819,0.774,"Abies lasiocarpa","ABLA"
"234",2005,"BNF0710131628SF",-107.0867196,44.57862819,0.89,"Abies lasiocarpa","ABLA"
"235",2006,"BNF0710131628SF",-107.0867196,44.57862819,0.401,"Abies lasiocarpa","ABLA"
"236",2007,"BNF0710131628SF",-107.0867196,44.57862819,0.836,"Abies lasiocarpa","ABLA"
"237",2008,"BNF0710131628SF",-107.0867196,44.57862819,0.729,"Abies lasiocarpa","ABLA"
"238",2009,"BNF0710131628SF",-107.0867196,44.57862819,0.89,"Abies lasiocarpa","ABLA"
"239",2010,"BNF0710131628SF",-107.0867196,44.57862819,0.776,"Abies lasiocarpa","ABLA"
"240",2011,"BNF0710131628SF",-107.0867196,44.57862819,0.646,"Abies lasiocarpa","ABLA"
"241",1992,"BNF0711131351SF",-107.2371072,44.68409724,1.358,"Abies lasiocarpa","ABLA"
"242",1993,"BNF0711131351SF",-107.2371072,44.68409724,1.398,"Abies lasiocarpa","ABLA"
"243",1994,"BNF0711131351SF",-107.2371072,44.68409724,1.363,"Abies lasiocarpa","ABLA"
"244",1995,"BNF0711131351SF",-107.2371072,44.68409724,1.214,"Abies lasiocarpa","ABLA"
"245",1996,"BNF0711131351SF",-107.2371072,44.68409724,1.001,"Abies lasiocarpa","ABLA"
"246",1997,"BNF0711131351SF",-107.2371072,44.68409724,1.142,"Abies lasiocarpa","ABLA"
"247",1998,"BNF0711131351SF",-107.2371072,44.68409724,0.862,"Abies lasiocarpa","ABLA"
"248",1999,"BNF0711131351SF",-107.2371072,44.68409724,1.192,"Abies lasiocarpa","ABLA"
"249",2000,"BNF0711131351SF",-107.2371072,44.68409724,0.952,"Abies lasiocarpa","ABLA"
"250",2001,"BNF0711131351SF",-107.2371072,44.68409724,0.859,"Abies lasiocarpa","ABLA"
"251",2002,"BNF0711131351SF",-107.2371072,44.68409724,0.79,"Abies lasiocarpa","ABLA"
"252",2003,"BNF0711131351SF",-107.2371072,44.68409724,1.164,"Abies lasiocarpa","ABLA"
"253",2004,"BNF0711131351SF",-107.2371072,44.68409724,1.041,"Abies lasiocarpa","ABLA"
"254",2005,"BNF0711131351SF",-107.2371072,44.68409724,1.395,"Abies lasiocarpa","ABLA"
"255",2006,"BNF0711131351SF",-107.2371072,44.68409724,1.325,"Abies lasiocarpa","ABLA"
"256",2007,"BNF0711131351SF",-107.2371072,44.68409724,1.622,"Abies lasiocarpa","ABLA"
"257",2008,"BNF0711131351SF",-107.2371072,44.68409724,1.988,"Abies lasiocarpa","ABLA"
"258",2009,"BNF0711131351SF",-107.2371072,44.68409724,1.627,"Abies lasiocarpa","ABLA"
"259",2010,"BNF0711131351SF",-107.2371072,44.68409724,1.684,"Abies lasiocarpa","ABLA"
"260",2011,"BNF0711131351SF",-107.2371072,44.68409724,1.599,"Abies lasiocarpa","ABLA"
"261",1992,"BNF0713130846SF",-107.1056638,44.62326567,1.43,"Abies lasiocarpa","ABLA"
"262",1993,"BNF0713130846SF",-107.1056638,44.62326567,1.784,"Abies lasiocarpa","ABLA"
"263",1994,"BNF0713130846SF",-107.1056638,44.62326567,1.701,"Abies lasiocarpa","ABLA"
"264",1995,"BNF0713130846SF",-107.1056638,44.62326567,0.699,"Abies lasiocarpa","ABLA"
"265",1996,"BNF0713130846SF",-107.1056638,44.62326567,0.434,"Abies lasiocarpa","ABLA"
"266",1997,"BNF0713130846SF",-107.1056638,44.62326567,0.439,"Abies lasiocarpa","ABLA"
"267",1998,"BNF0713130846SF",-107.1056638,44.62326567,0.62,"Abies lasiocarpa","ABLA"
"268",1999,"BNF0713130846SF",-107.1056638,44.62326567,0.734,"Abies lasiocarpa","ABLA"
