stem,dbh,notes,year,sp,count,to_center,overallx,overally,corelength
1358,44.1,,1995,acsa,165,NA,65.98,28.47,NA
1362,11.9,,1995,fagr,69,1.3,59.84,25.92,NA
1364,16.4,,1995,fagr,119,0,59.24,25.11,NA
1366,56.4,,1995,acsa,182,NA,57.3,22.87,NA
1369,38.5,,1995,fagr,228,0,55.58,27.3,NA
1372,14.1,,1995,acru,97,0,49.75,22.98,NA
1373,21,,1995,fagr,93,0.4,50.79,25.21,NA
1379,45.4,,1995,acsa,299,0,51.28,33.64,NA
1381,14.7,,1995,osvi,143,1.2,51.02,34.75,NA
1396,26.5,,1995,acsa,154,2,43.3,32.97,NA
1400,64,,1995,acsa,266,2,44.92,31.21,NA
1404,25.9,,1995,fagr,121,0.3,40.91,29.1,NA
1408,13.8,,1995,fagr,81,0.5,43.22,24.4,NA
1409,29.6,,1995,fagr,125,0.4,45.36,22.13,NA
1410,43,,1995,acsa,217,NA,42.22,24.48,NA
1418,40.4,,1995,fagr,144,0.7,33.76,20.53,NA
1419,37.2,,1995,acsa,239,NA,31.2,22.71,NA
1422,13.7,,1995,beal,47,NA,27.94,20.04,NA
1423,42.1,rotten,1995,acsa,120,NA,27.98,21.08,NA
1426,21.2,"cored from w, rotten",1995,fagr,142,0.8,28.51,24.74,NA
1430,32.6,,1995,acsa,232,NA,30.29,27.81,NA
1431,55.9,,1995,acru,89,NA,28.1,29.71,NA
1432,13.4,,1995,osvi,96,0,29.41,31.72,NA
1442,44,,1995,acsa,204,1.5,34.7,38.25,NA
1444,36.7,,1995,fagr,99,1,11.73,38.19,NA
1450,37.5,rotten,1995,fagr,85,NA,21.28,35.31,NA
1453,40.5,,1995,acsa,229,2,20.34,34.03,NA
1461,12,,1995,fagr,84,0.5,16.74,25.59,NA
1462,49.7,,1995,acsa,205,0.7,16.96,25.08,NA
1465,47.8,rotten,1995,acsa,114,NA,19,19.78,NA
1468,30.3,rotten,1995,acsa,118,NA,13.43,23.02,NA
1470,13.2,,1995,fagr,147,0.4,8.63,25.19,NA
1471,20.1,,1995,fagr,84,1.3,3.46,21.59,NA
1473,39,,1995,acsa,99,NA,8.55,27.52,NA
1485,16.3,from NW,1995,acru,84,3,-1.21,25.2,NA
1486,12.9,,1995,fagr,86,0.3,-1.55,26.56,NA
1487,49,"from NE, core rotten",1995,beal,135,NA,-1.56,27.5,NA
1495,35,,1995,beal,83,3,2.22,32.43,NA
1502,21.8,,1995,acsa,168,1,8.96,32.18,NA
1507,28.8,,1995,fagr,164,1,10.43,33.49,NA
1513,29,,1994,fagr,131,0,98.82,13.73,NA
1515,38.5,,1994,acsa,213,0,102.72,17.93,NA
1516,28.6,,1994,tsca,89,1.3,103.8,17.5,NA
1519,57.9,,1994,acsa,76,NA,103.45,8.08,NA
1522,35.4,rotten,1994,acsa,68,NA,100.16,2.09,NA
1530,68.7,,1994,acsa,,NA,95.14,6.81,NA
1532,14,,1994,fagr,79,0,91.64,4.25,NA
1547,60,,1994,acsa,,NA,87.43,7.95,NA
1562,40.1,rotten center,1994,beal,169,NA,90.71,14.21,NA
1565,25.5,,1994,fagr,161,1,91.12,15,NA
1567,11.9,,1994,fagr,86,0,91.13,17.97,NA
1568,36.4,,1994,acsa,253,3,91.25,18.75,NA
1576,40.2,,1994,acsa,101,NA,81.22,15.66,NA
1578,24.7,cored from N,1994,fagr,119,NA,82.27,16.19,NA
1581,42,cored from E,1994,fagr,127,2,85.08,17.11,NA
1582,23.6,some rot,1994,tsca,127,NA,83.3,13.88,NA
1584,22.1,,1994,beal,186,1,86.82,12.43,NA
1590,18.9,rot at center,1994,beal,117,NA,82.09,7.05,NA
1600,10.7,,1994,fagr,73,0,78.16,3.05,NA
1602,56.3,,1994,fagr,155,NA,76.32,9.1,NA
1603,40.8,,1994,acsa,213,NA,74.77,5.56,NA
1618,14.3,,1994,tsca,78,1,71.77,7.06,NA
1622,21.8,,1994,tsca,99,0.2,72.64,8.67,NA
1627,12.3,small center piece lost,1994,tsca,89,0.4,73.76,9.46,NA
1629,13.6,,1994,fagr,80,0.5,66.82,10.66,NA
1639,22.2,,1994,fagr,187,0.3,74.32,17.96,NA
1640,44.2,,1994,acsa,159,1.3,57.56,15.46,NA
1641,12.1,,1994,tsca,60,NA,57.38,14.68,NA
1642,7.5,,1994,fagr,61,0.6,57.66,12.45,NA
1645,10.9,,1994,fagr,80,0,62,17.85,NA
1650,30.1,some rot,1994,fagr,137,2,61.87,12.72,NA
1651,40.4,,1994,fagr,121,2,64.59,10.29,NA
1662,29.3,,1994,fagr,121,NA,57.26,6.43,NA
1665,67.2,,1994,acsa,272,NA,55.92,4.51,NA
1668,20.9,,1994,acsa,106,0,51.14,4.84,NA
1670,13.3,,1994,fagr,73,0,52.04,6.68,NA
1671,8.7,,1994,fagr,58,0,49.35,7.47,NA
1672,10.3,,1994,fagr,56,0,47.55,7.16,NA
1675,12.7,,1994,tsca,30,2,47.09,13.35,NA
1677,12.5,,1994,fagr,43,1.2,46.43,15.7,NA
1683,36.2,,1994,acsa,146,2.5,50.6,17.85,NA
1684,13.8,,1994,fagr,88,0,50.21,19.75,NA
1686,23,,1994,fagr,70,3,54.73,14.32,NA
1687,24.7,,1994,fagr,141,2,54.01,17.98,NA
1692,31.2,,1994,acsa,269,0,36.39,14.9,NA
1694,8.9,,1994,fagr,46,0,39.21,17.99,NA
1699,14,,1994,fagr,76,0,38.87,13.81,NA
1702,18.8,rotten middle,1994,acsa,103,NA,45.05,17.61,NA
1704,8.4,,1994,tsca,61,0,43.57,14.2,NA
1711,16,,1994,fagr,68,1,43,9.88,NA
1721,23,,1994,fagr,88,0,42.45,0.88,NA
1724,8.7,,1994,fagr,80,0,39.75,1.47,NA
1726,13.5,,1994,fagr,63,0.6,36.04,7.01,NA
1727,47.7,,1994,fagr,148,3,34.69,5.05,NA
1728,16.8,,1994,tsca,109,0,32.78,0.32,NA
1730,14.9,,1994,fagr,96,0.3,30.31,0.42,NA
1731,13.6,fragmented,1994,fagr,66,0.7,31.09,4.6,NA
1732,32.5,middle rotten,1994,acru,166,2.5,26.31,3,NA
1736,41.2,,1994,fagr,153,NA,28.02,9.42,NA
1738,21.7,,1994,fagr,72,NA,32.08,10.82,NA
1741,13.3,,1994,fagr,152,0,27.41,15.77,NA
1743,47.8,,1994,fagr,254,NA,34.36,12.16,NA
1754,24.5,,1994,fagr,185,0.4,12.41,19.03,NA
1759,41.4,,1994,acsa,252,2,16.59,16.78,NA
1762,41.2,,1994,acsa,264,NA,13.72,12.1,NA
1771,27.7,,1994,acsa,295,0.3,19.57,12.37,NA
1775,14.5,,1994,fagr,70,0,18.7,10.13,NA
1779,20.1,,1994,fagr,106,0.5,13.84,8.59,NA
1780,24,,1994,acsa,187,0.9,21.78,3.95,NA
1782,17.3,,1994,tsca,75,0,19.8,2.87,NA
1785,30.7,,1994,acru,163,NA,15.47,4.26,NA
1786,14.5,,1994,fagr,85,0.5,12.16,3.86,NA
1788,47.7,rotten,1994,beal,157,NA,8.55,1.54,NA
1790,16.8,,1994,fagr,96,0.2,2.96,1.37,NA
1795,66.1,,1994,fagr,160,NA,9.75,9.31,NA
1797,11.8,,1994,acsa,115,0.4,4.8,8.38,NA
1811,26.9,rotten,1994,fagr,49,0.6,0.88,18.74,NA
1812,19.7,,1994,fagr,78,0,4.61,16.02,NA
1823,27.2,,1994,acsa,267,3,10.99,18.89,NA
2264,11.3,,1995,fagr,81,1,56.3,58.7,NA
2266,30.6,,1995,fagr,122,0.9,58.92,57.12,NA
2267,50.3,,1995,acsa,284,NA,64.4,59.29,NA
2268,18.4,,1995,beal,117,0.4,65.66,58.73,NA
2270,42.1,,1995,acsa,207,3,60.07,52.57,NA
2271,17.4,,1995,fagr,91,0.4,59.76,52.3,NA
2273,14,,1995,pigl,44,0,62.96,52.46,NA
2279,44.7,,1995,acsa,218,0,61.73,45.58,NA
2280,29.2,,1995,fagr,138,1,62.95,40.8,NA
2283,26,rotten,1995,acsa,150,NA,58.38,44.25,NA
2284,56,,1995,acsa,263,NA,58.8,42.6,NA
2290,19.2,rotten,1995,fagr,20,NA,53.83,40.4,NA
2291,36.6,,1995,acsa,157,NA,53.63,40.98,NA
2299,36,core from SE,1995,acsa,212,NA,45.55,40.27,NA
2307,12,,1995,tsca,58,1,52.66,49.66,NA
2309,58.4,,1995,acsa,175,NA,51.87,51.08,NA
2310,17.5,,1995,acsa,148,0.3,49.45,51.76,NA
2311,61.1,,1995,acsa,254,4,46.5,55.08,NA
2313,32.6,rotten,1995,fagr,94,NA,47.47,57.98,NA
2317,38.1,rotten,1995,acsa,187,NA,54.97,54.39,NA
2325,49.5,,1995,fagr,157,NA,37.4,50.79,NA
2326,16.3,,1995,fagr,102,0.3,43.94,53.54,NA
2331,15.2,,1995,acsa,92,0.9,45.25,44.26,NA
2341,24.8,,1995,fagr,112,NA,28.53,43.54,NA
2356,61.4,,1995,beal,203,NA,30.26,57.5,NA
2359,74.6,rotten,1995,acsa,114,NA,33.93,59.81,NA
2360,34.6,,1995,fagr,189,NA,34.94,58.89,NA
2363,10.3,,1995,fagr,67,1,13.84,57.68,NA
2364,13.6,,1995,acru,52,0.9,16.83,57.9,NA
2365,12.9,,1995,fagr,56,1.3,14.09,52.73,NA
2369,11.6,hollow,1995,fagr,34,NA,22.52,58.16,NA
2371,44,hollow,1995,beal,85,NA,21,54.82,NA
2375,24.6,,1995,beal,84,1.5,20.43,52.07,NA
2376,22.4,,1995,beal,107,0,23.81,51.84,NA
2377,16.3,,1995,fagr,104,0.4,20,50.45,NA
2383,41.6,,1995,acsa,205,0.5,22.15,44.29,NA
2387,34.7,,1995,fagr,89,2,16.72,44.69,NA
2389,15.5,,1995,beal,92,0.3,17.82,41.32,NA
2393,29.2,,1995,fagr,159,0,12.34,44.39,NA
2394,12.2,,1995,fagr,64,0.5,12.69,38.98,NA
2401,11.6,,1995,fagr,71,0,4.65,40.8,NA
2403,45.7,hollow,1995,acsa,111,NA,8.57,47.66,NA
2404,14.5,,1995,fagr,75,1.5,8.19,47.78,NA
2411,59.9,,1995,acsa,249,0.2,1.83,47.76,NA
2416,19.9,,1995,acsa,143,2,4.5,53.47,NA
2419,66.4,,1995,acru,95,NA,5.45,55.76,NA
2429,24.7,,1995,tsca,122,2,9.76,54.1,NA
2431,22.5,,1995,fagr,84,0.5,9.97,58.7,NA
