Site Name,Date Visited,Collected By,Fire History,Latitude,Longitude,x,y,Aspect,Slope,Vegetation Type ,Observations
ALA4,6/4/2021 18:00,"M. Kunkel, E. McClure ",Thompson_Ridge_2013,35.908432,-106.587553,-106.587553,35.908432,N,15,Shrubland,"On a knife ridge, numerous fire scars on west side majority killed by most recent fire. numerous exotics, lots of standing dead/d and d. grass/forb understory"
ALA1,6/4/2021 18:00,"M. Kunkel, E. McClure ",Thompson_Ridge_2013,35.912663,-106.589355,-106.589355,35.912663,SE,20,PIPO/QUGA,"Meadow directly to S & E, tree coords landed in meadow.  Open PIPO w/lg oaks (approx half killed by fire), grassy understory.  Sampled stump found nearby, in meadow (ALA16)"
LGR2-43,6/5/2021 18:00,"M. Kunkel, E. McClure",Cajete_2017,35.801047,-106.55083,-106.55083,35.801047,NNW,20,RONE/POTR,"Replanting of seedlings roughly ever 10 square meters, pipo, psme, spruce seedlings. Roughly half already dead. Mix of native and exotic forbs. Lots of dandelions"
LOG,6/5/2021 18:00,"M. Kunkel, E. McClure ",Las_Conchas_2011,35.798478,-106.541224,-106.541224,35.798478,SE,15,RONE,"On edge of knob/ridge, locust w/ grass, mullein, goose foot, dandelion in understory, cattle sign, sampled tree just to N of plot, appears to have been live pre-fire"
RBS3-27,6/5/2021 18:00,"M. Kunkel, E. McClure",Thompson_Ridge_2013,35.897995,-106.581609,-106.581609,35.897995,SSW,15,Mixed conifer,"Plot center at stump w/ cookie taken out.  Lots of abco regen. occasional aspen patch, grass understory"
VSR,6/5/2021 18:00,"M. Kunkel, E. McClure ",Las_Conchas_2011,35.934142,-106.508797,-106.508797,35.934142,SSW,25,PIPO,"Just above road, plot at tree coords but none found, grassy understory w/ forbs, mostly native but VETH present, rocky hillside, light d&d"
VJ-15,6/5/2021 18:00,"M. Kunkel, E. McClure ",Thompson_Ridge_2013,35.924172,-106.519547,-106.519547,35.924172,N,5,PIPO,"Site at live cookie tree, also has a lightning scar. Healthy pipo forest. Native bunchgrass & forb understory"
CAN-40,6/6/2021 18:00,"M. Kunkel, E. McClure",Las_Conchas_2011,35.915504,-106.38534,-106.38534,35.915504,NE,20,POTR,"Thick dead & down, fairly sparse remaining snags, dense aspen regen w/ thermopsis, TAOF, BRIN, PTAQ in understory, plot center at tree coords - none found, sparse RONE seedling note - counted in 2.5m radius & doubled"
CMN,6/6/2021 18:00,"M. Kunkel, E. McClure",Las_Conchas_2011,35.905393,-106.396298,-106.396298,35.905393,ENE,30,Open mixed conifer,"5 potential live trees looked for nearby, 3 found (1 live, 2 dead pre-fire, all dead now, all PSME).  Lots of d&d, patchy severity, understory forb dominated, some grass, elderberry, Ribes, regen (mostly spruce)"
CMN2-52,6/6/2021 18:00,M. Kunkel. E. McClure ,Las_Conchas_2011,35.905235,-106.390883,-106.390883,35.905235,NNE,15,PIEN/ABCO,"Grass understory.  Lots of d and d, mature forest. Plot center at sampled tree - standing dead, likely died shortly before fire."
PIPE-03,6/6/2021 18:00,"M. Kunkel, E. McClure ",Cerro_Grande_2000,35.892813,-106.337917,-106.337917,35.892813,E,20,"QUGA woodland w/ PIPO, JUSC","Plot center at tree coords, by candidate stump (dead pre-fire). Lots of shrubs - RONE, Ceanothus, some grasses & forbs both native & exotic (VETH, BRTE). Substantial PIPO regen downhill (to E) of plot"
FP-1-010,6/16/2021 19:00,"M. Kunkel, E. McClure, L. Brannfors, C. Lakin, A. Lalor, I. Muscettola",Ikes_2019,36.356968,-112.351521,-112.3515181,36.35697443,N,35,PIPO,"Oak understory (some sapling sized), also locust, exotic & native forbs, carex sp.  Also burned in 1999 Boundary Fire.  Plot on side of small drainage.  Beefalo sin"
FP-2-019,6/16/2021 19:00,"M. Kunkel, E. McClure, L. Brannfors, C. Lakin, A. Lalor, I. Muscettola",Ikes_2019,36.360456,-112.342614,-112.3426027,36.3605407,NA,0,Open PIPO,"Locust & lupine understory w/ exotic grasses (BRIN) and VETH. Three v lg logs down, since pre-fire."
SR-201,6/16/2021 19:00,"M. Kunkel, E. McClure",Poplar_2003,36.328056,-112.256193,-112.2560975,36.32820078,SSW,10,PIPO/mixed conifer,"Slightly rolling topography, poplar fire 2003"
GB-00-02-16,6/17/2021 19:00,"M. Kunkel, E. McClure",Tower_2001,36.259889,-112.225721,-112.2258142,36.25989762,ESE,40,PIPO,"Open understory w/ MARE, ROWO, SOXX, RONE.  Lots of saplings.  May have burned 3x - Tower, Point, Galahad. "
GB-00-02-06,6/17/2021 19:00,"M. Kunkel, E. McClure",Tower_2001,36.25474,-112.235583,-112.2356472,36.2546248,W,15,PIPO,"oak/locust understory, 3 fire area, straight west of ridgetop"
GB-00-01-04,6/17/2021 19:00,"M. Kunkel, E. McClure",Tower_2001,36.271474,-112.243337,-112.2428212,36.27112088,NA,0,PIPO,"Open PIPO, very sparse herb understory, patches of locust just outside plot to W & N. Small cut stump, group of several small cut stumps to NE, also cut tree dbh 14.9 - probably not sampled but has face cut"
GB-00-01-13,6/17/2021 19:00,"M. Kunkel, E. McClure",Tower_2001,36.277797,-112.219875,-112.2199074,36.27777495,E,60,PIPO,"Steep hill, large rocks present, goose foot present, locust understory"
JLN,6/18/2021 19:00,"M. Kunkel, E. McClure",Mangum_2020,36.717399,-112.253202,-112.2532357,36.71740452,NW,15,PIPO,"Locust understory, some herbs, open ground, giant Ribes clump.  Cattle grazing in area.  On edge of small E-W drainage"
JLS,6/18/2021 19:00,"M. Kunkel, E. McClure",Mangum_2020,36.716838,-112.251118,-112.2512372,36.71681923,WNW,5,PIPO,"Right on edge of Jacob RX maybe burned twice, lots of small cut stumps next too slash pile burning, cow grazing, exotics, mistletoe. Old 2 track running through plot. Understory w/ miscellaneous forbs some grass"
BLR,6/18/2021 19:00,"M. Kunkel, E. McClure",Jacob_Ryan_Rx_2018,36.713784,-112.241902,-112.2419469,36.7138676,NE,15,Open PIPO,"Old logging evident, along w/ cattle grazing.  PIPO/QUGA.  Open understory w/ VETH, RONE, CHXX. Burned twice - 2018 & 2020.  Old 2-track thru edge of plot. "
CRC_20,6/19/2021 19:00,"M. Kunkel, E. McClure",Aspen_2003,32.407949,-110.732603,-110.7323214,32.40820295,SE,40,Shrubland,"All PIPO dead, ceanothus, oak, VETH, occasional herbs in understory. Moderate d&d, very rocky hillside. Burned in Aspen & Bighorn. Plot in pocket of regen from 2003 fire, torched out in 2020 fire."
CRC_2,6/19/2021 19:00,"M. Kunkel, E. McClure",Bighorn_2020,32.409783,-110.735127,-110.7349994,32.4098528,SSW,42,PIPO/PIST,"Found sampled tree, numerous fire scars many with 2 scars on one tree. all litter ground cover"
CRC_1,6/19/2021 19:00,"M. Kunkel, E. McClure",Bighorn_2020,32.412115,-110.735187,-110.7351745,32.41207107,NNW,57,Mixed conifer,"Rocky hillside, v open understory, some dead seedlings.  Several cut stumps w/ fire scars - look sampled "
CRC_22,6/19/2021 19:00,"M. Kunkel, E. McClure",Bighorn_2020,32.410267,-110.72907,-110.7290515,32.41017955,W,24,PIPO,"Some PSME.  Lots of scorched and now dead pipo/fir regen, plot on east side of small drainage. Power line to SW of plot, cut trees near/under power line."
RCL,6/19/2021 19:00,"M. Kunkel, E. McClure",Aspen_2003,32.392832,-110.707976,-110.707997,32.39284823,SSW,37,QUEM shrub/woodland,"Area burned in Aspen (type-converted) then Bighorn.  Dominated by Emory oak pre-fire and now.  Rocky scree slope, lots of ceanothus in understory, very occasional grasses, mostly open ground w/ loose rocky soils.  Some PIPO regen in vicinity, killed by 2020 fire. Edge of drainage, toward bottom PIPO canopy intact (camping/picnic area)."
CRC_18,6/19/2021 19:00,"M. Kunkel, E. McClure",Aspen_2003,32.386227,-110.714652,-110.7146243,32.38626952,W,61,QUEM/PIPO,"Steep rocky hillside, loose gravel. Oak dominated with some pipo, lots of oak snags with regen at the base. Burned 2003 & 2020. Ceanothus, grasses, yucca in understory- v sparse."
CRC_17,6/19/2021 19:00,"M. Kunkel, E. McClure",Aspen_2003,32.385474,-110.709127,-110.7091811,32.38542238,ENE ,57,QUEM/PIPO,"V rocky slope, understory w/ manzanita, some grass, ceanothus, oak regen, generally sparse.  Burned 2003 & 2020. V much tree-sized oaks… questioning decision to not count this S AZ sp as tree."
RCU,6/19/2021 19:00,"M. Kunkel, E. McClure",Bullock_2002,32.395267,-110.688983,-110.6890218,32.39526065,W,59,PIPO/PSME,"Very steep rocky hillside, big rocks and loose gravel. Burned in bighorn fire as well. Slight drainage on south end of plot."
CRC_9,6/19/2021 19:00,"M. Kunkel, E. McClure",Bullock_2002,32.391813,-110.693279,-110.693319,32.3918063,SW,15,QUEM/PIPO,"Nose of narrow ridge line.  Lots of oak, some PIST, understory w/ ceanothus, super rocky w/lots of bare ground.  Burned in 2002 & 2020. Lots of pine saplings have multiple fire scars"
CBP_28,6/20/2021 19:00,"M. Kunkel, E. McClure",Bullock_2002,32.434317,-110.734808,-110.7347851,32.43429915,NNE,67,PTAQ,"Burned 2002 & 2020 - looks like high severity in first fire. Several large charred down logs, some saplings in vicinity (not plot) killed by second fire. Sea of bracken fern, occasional shrubs - ceanothus, raspberry, oak.  Steep rocky slope at side of small drainage."
CBP_1,6/20/2021 19:00,"M. Kunkel, E. McClure",Bullock_2002,32.435802,-110.729936,-110.7300459,32.43580897,NNW,72,Open oak woodland,"Very rocky steep hillside, a few PSME, PIPO, junipers, mostly oak.  Understory w/ CHXX, grasses.  Burned in 2002 & 2020."
CBP_2,6/20/2021 19:00,"M. Kunkel, E. McClure",Bullock_2002,32.429454,-110.742199,-110.742185,32.42939363,NNE,72,PIPO/mixed conifer,"RONE.  Burned in bighorn 2020 as well, exotics; cheat grass and goose foot. Very steep no rocks, fern understory."
PAL_02,6/20/2021 19:00,"M. Kunkel, E. McClure",Aspen_2003,32.411058,-110.711983,-110.7120902,32.41104172,S,30,Open PIPO/QUEM,"Open rocky slope, lots of oak, d&d, ceanothus understory. Old logging evidence."
IS,6/30/2021 19:00,"M. Kunkel, E. McClure, S. Parks",Rincon_1994,32.224051,-110.535879,-110.536082,32.22400845,N,11,PIPO,Also burned in Helens 2003. A couple SW white pines.
02_04,6/30/2021 19:00,"M. Kunkel, E. McClure, S. Parks",Helens_2_2003,32.224575,-110.539696,-110.5396657,32.22461238,NNW,35,Pipo w/ scattered firs,"Good amount of regen, grass/snowberry understory"
NS,6/30/2021 19:00,"M. Kunkel, E. McClure, S. Parks",Helens_2_2003,32.22398,-110.546018,-110.5460094,32.22391212,NNW,27,Shrubland,"RONE, QUGA, SYOR, Ceanothus, Holodiscus, some grasses & forbs. Early seral veg, burned v. Hot."
03_07,6/30/2021 19:00,"M. Kunkel, E. McClure, S. Parks",Helens_2_2003,32.221223,-110.549013,-110.548999,32.22120097,NW,59,Mixed conifer,"Understory w/ mature QUGA, SYOR, CHXX, other forbs - generally open.  Lots of d&d. Directly above FX plot!"
02_29,6/30/2021 19:00,"M. Kunkel, E. McClure, S. Parks",Helens_2_2003,32.224361,-110.551868,-110.5519198,32.22440577,NNE,56,Mixed conifer,"Looked at site &tree coords.  Open understory on E side of plot, lots of RONE & QUGA on W &S sides. Old oak on E side.  Mistletoe on PSME.  Edge of drainage.  Edge of unburned area w/ high sev patches nearby."
HD,6/30/2021 19:00,"M. Kunkel, E. McClure, S. Parks",Helens_2_2003,32.216013,-110.557991,-110.5580352,32.21600587,SSW,22,PIPO,"Lots of pipo regen, ravine bottom on southern edge of plot, fern and grass understory"
HD-72,6/30/2021 19:00,"M. Kunkel, E. McClure, S. Parks",Chimenea_1998,32.213412,-110.55713,-110.5571408,32.21342327,SW,44,PIPO/PIST/PIAR5,This plot is right off the trail. Lots of pine regen and some Emory oak understory 
02_28,7/1/2021 19:00,"M. Kunkel, E. McClure, S. Parks",Deer_Head_2014,32.207248,-110.531156,-110.5312044,32.20722977,NNE,18,QUEM/PIPO,"Small bench, very large boulders near by, fern/grass understory, sampled live tree center of plot"
ES,7/1/2021 19:00,"M. Kunkel, E. McClure, S. Parks",Rincon_1994,32.211758,-110.528015,-110.5279692,32.21169842,SSE,25,QUEM,"Some PIPO5 (PIAZ?) intermixed, occasional JUDE.  Understory w/ PTAQ, young QUEM, native bunch grasses, maybe bear grass.  Some kind of shrub - Sheperdia sp. Looked for sampled PIAZ but site was 10 ac., found nothing.  Burned in Deer Head, 2014 as well - looks like low sev in both fires, based on age of oaks & scattered pines. Regen nearby of PIST & PSME. "
02_12,7/1/2021 19:00,"M. Kunkel, E. McClure, S. Parks",Rincon_1994,32.20986,-110.524727,-110.5246095,32.20987935,NE,21,PIAR5/QUEM,Also burned in 2014 Deerhead fire. Found three cut stumps somewhat near site coordinates. We selected middle stump in the line of three. Seedling note: Zero zip zilch. Lots and lots of seedlings upslope of site.
03_12C,7/1/2021 19:00,"M. Kunkel, E. McClure, S. Parks",Deer_Head_2014,32.209263,-110.526,-110.5259541,32.20936908,E,34,QUEM/PIPO,Large steep ravine strait north of plot. large rocks nearby
03_15D,7/1/2021 19:00,"M. Kunkel, E. McClure, S. Parks",Deer_Head_2014,32.205004,-110.530376,-110.5304965,32.20496338,SSE,15,PIPO,"Some madrone & QUEM in understory, along w/ PTAQ, lg bunchgrasses.  Lots of pine regen (PIPO 5/PIAZ). Centered plot at sampled tree, FS sampling site rebar w/in plot area.  Tons of FS trees!  Mature forest stand."
03_15D-2,7/1/2021 19:00,"M. Kunkel, E. McClure, S. Parks",Deer_Head_2014,32.204733,-110.530343,-110.5305758,32.20485898,E,15,PIAR5,Bracken fern & some oak in understory 
03_15B,7/1/2021 19:00,"M. Kunkel, E. McClure, S. Parks",Deer_Head_2014,32.19975,-110530569,-110.5304997,32.19969178,E,12,PIAR5/QUEM,"Also burned in rincon 1994, varied topography surrounding our flat plot, lots of oaks. Yucca present to south of plot"
Random_1,7/2/2021 19:00,"M. Kunkel, E. McClure, S. Parks",Deer_Head_2014,32.210674,-110.540803,-110.540898,32.21061087,NA,0,PIAR5/PIST,"At random sampled tree, 10 feet east of fire loop trail, slight grass understory"
Random_2,7/2/2021 19:00,"M. Kunkel, E. McClure, S. Parks",Deer_Head_2014,32.210948,-110.540695,-110.5406795,32.21095322,NA,0,PIAR5,"Edge of Deer Head perimeter & Fire Loop Trail both run thru plot. Open understory w/ native bunch grasses, some older regen.  Some PIST. Lots of mistletoe on trees."
03_11D,7/2/2021 19:00,"M. Kunkel, E. McClure, S. Parks",Deer_Head_2014,32.210382,-110.536557,-110.5365222,32.21036902,WSW,32,PIPO,Grass understory. Some PIST in vicinity. Above rocky drainage. Woodland.
03_11D-2,7/2/2021 19:00,"M. Kunkel, E. McClure, S. Parks",Deer_Head_2014,32.20997,-110.537145,-110.5371957,32.20993258,ESE,33,PIPO,"rocky hillside with a little bit of grass understory, potentially burned in mica bowl Rx 2019"
03_11D-3,7/2/2021 19:00,"M. Kunkel, E. McClure, S. Parks",Deer_Head_2014,32.210215,-110.537335,-110.5374745,32.21024213,E,25,Open PIPO ,"Very open canopy, grass under w/ some shrubs. Likely also burned 2019 Mica Bowl Rx. Sampled stump w/ 13+ scars! Rocky hillside."
03_11D-4,7/2/2021 19:00,"M. Kunkel, E. McClure, S. Parks",Deer_Head_2014,32.20973,-110.537724,-110.5377228,32.2097454,S,24,Open PIPO ,Probably also burned in 2019 Mica Bowl rx fire.
02_11,7/2/2021 19:00,"M. Kunkel, E. McClure, S. Parks",Deer_Head_2014,32.208768,-110.538422,-110.5383583,32.20855817,SW,26,PIPO/PIST,"Rocky hillside, some grass/shrub understory. Ridge top on NE side of plot. Might have burned in mica bowl 2019"
03_11B,7/2/2021 19:00,"M. Kunkel, E. McClure, S. Parks",Deer_Head_2014,32.204253,-110.537681,-110.537697,32.20424663,NW,31,PIPO/PIST,"V open understory. Likely also burned in 2019 Mica Bowl Rx (2013 MB Rx?). Near small saddle.  So many FS trees on this ridge line!! Centered @ live sampled PIST, dead & down sampled PIST also in plot.  "
03_11B-2,7/2/2021 19:00,"M. Kunkel, E. McClure, S. Parks",Deer_Head_2014,32.204477,-110.537964,-110.5379798,32.20438643,S,27,Open PIPO/PIST,"Probably also probably burned in 2019 mica bowl  rx fire. Seedling note: Zero, but regen in vicinity "
03_11B-3,7/2/2021 19:00,"M. Kunkel, E. McClure, S. Parks",Deer_Head_2014,32.203812,-110.538108,-110.5382492,32.20383977,NNW,28,PIPO/PIST,"Probable mica bowl 2019 plot, thin grass understory "
03_11B-4,7/2/2021 19:00,"M. Kunkel, E. McClure, S. Parks",Deer_Head_2014,32.203171,-110.53792,-110.5382001,32.20299935,ESE,26,Open PIAR5,Shrub & bunchgrassunderstory.  Also likely burned 2019 MB Rx. Rocky slope. 
RHU,7/13/2021 19:00,"M. Kunkel, E. McClure",Horseshoe_2_2011,31.993953,-109.311447,-109.3114491,31.99393185,NNE,37,QUEM/other oak/manzanita shrubland,"Dense oak shrubland, manzanita interspersed w/ v sparse herbs.  Rocky hillside just above drainage where PIPO canopy persists, albeit patchily.  Most of dead trees on slope & in drainage are PSME. Lots of d&d, mostly saplings. Occasional pine regen on hillside around plot."
SDC,7/13/2021 19:00,"M. Kunkel, E. McClure",Horseshoe_2_2011,31.996239,-109.328527,-109.3282713,31.99664692,NE,80,QUEM,"Emory oak and shrubs. Very steep rocky slope leading down to big drainage, more pines down low in drainage. Very little pine canopy even before fire at plot. Wild grape understory"
RHL,7/13/2021 19:00,"M. Kunkel, E. McClure",Horseshoe_2_2011,32.006018,-109.341016,-109.3410764,32.0060849,W,5,Pine/oak/juniper woodland ,"In drainage - Rhyolite Canyon, just S of main channel.  Rocky, gently sloping.  Lots of QUEM, thick juniper regen, some pine regen.  Shrub w/ huge spines (Ceanothus sp.?) some bunchgrass in understory. NB - look up Juniper sp. & pines!"
RPK,7/14/2021 19:00,"M. Kunkel, E. McClure",Horseshoe_2_2011,31.906383,-109.275501,-109.2754747,31.90632252,NNW,26,PIPO/mixed conifer,"Also burned in rattlesnake 1994, light bunch grass understory, logging 120 yards to south"
UMC_1,7/14/2021 19:00,"M. Kunkel, E. McClure",Horseshoe_2_2011,31.84915,-109.29888,-109.2989754,31.84915395,W,55,PIPO/PSME ,"Open, rocky slope, sparse herb/shrub understory (raspberry, white oak).  Patches of PSME regen near plot.  Mod-heavy d&d. Heavy rain."
I19,7/15/2021 19:00,"M. Kunkel, E. McClure",Frye_2017,32.683655,-109.888001,0,0,SW,13,Mixed conifer,"PIPO/PIST/PSME/ABCO.  Two old two-tracks forming triangle in plot (converge to NW).  Edge of pile burning unit (plot not thinned or burned).  Lush bunch grass understory, moderate d&d.  Plenty of old stumps which could have been sampled in area - or old logging?  Old cable near plot center hints at the latter."
G14,7/15/2021 19:00,"M. Kunkel, E. McClure",Frye_2017,32.709785,-109.930293,-109.9304692,32.7097208,S,41,Grassland,"Bunch grass and fern, overstory of dead mixed con. All surrounding trees dead; in large bowl, beatiful view, lots of potr regen surrounding, plot center at potentially sampled log"
CMP,7/15/2021 19:00,"M. Kunkel, E. McClure",Frye_2017,32.700054,-109.91639,-109.9164191,32.70005188,W,13,POTR,"Thick POTR regen & PTAQ, along w/ elk sedge, holodiscus.  Was moderately dense mixed con stand w/ v large trees, some survived just outside plot (PIST, PSME). Many of dead large trees w/ old fire scars."
H16,7/15/2021 19:00,"M. Kunkel, E. McClure",Nutall_Complex_2004,32.696769,-109.912749,-109.912813,32.69674887,S,22,Mixed conifer,"Also burned in frye 2017, plot center as possible sampled tree in small meadow. Burned slash pile in plot, numerous cut stumps around plot. grass and fern understory"
J18,7/15/2021 19:00,"M. Kunkel, E. McClure",Frye_2017,32.678547,-109.89136,-109.891231,32.67849292,WNW,45,Mixed conifer,"Lots of trees & stumps tagged (post-fire).  Grassy understory w/ herbs & lg shrubs (holodiscus sp. & others). Gravelly slope above small drainage, just off main road. Lots of cut stumps - potentially sampled but area also clearly logged historically."
K19,7/15/2021 19:00,"M. Kunkel, E. McClure",Frye_2017,32.671615,-108.881068,-109.88109,32.6716365,S,10,Mixed conifer,"Plot center at sampled stump, right on edge of old road that runs SSW to NNE."
L20,7/15/2021 19:00,"M. Kunkel, E. McClure",Frye_2017,32.660133,-109.870333,-109.8703064,32.66018897,N,43,Mixed conifer,"Tagged trees pointing to plot center - at found rebar.  Several cut &/or scarred trees about - none obviously sampled.  Tall sedge dominate understory, abundant conifer regen in places, mod d&d."
M20,7/15/2021 19:00,"M. Kunkel, E. McClure",Frye_2017,32.651405,-109.870776,-109.870849,32.65135988,S,28,Shrubland,"sparse shrubland, bracken fern and pea shrubys. Rocky hillside, leading down to almost cliffs, dead mixed con overstory"
L70,7/16/2021 19:00,"M. Kunkel, E. McClure",Frye_2017,32.664925,-109.863204,0,0,SW,44,Grassland,"Mixed con pre-fire (ABCO & PSME, very occasional PIST & PIPO), some canopy intact downslope of plot & upslope along forest road. Very sparse regen across hillside surrounding plot - above 4 spp plus POTR. Understory rocky & open, lg native bunchgrasses & occasional forbs, particularly a nonnative seral aster family thing & tarragon Artemisia. "
L21,7/16/2021 19:00,"M. Kunkel, E. McClure",Nutall_Complex_2004,32.660802,-109.860554,-109.8605134,32.66078328,NE,45,Mixed conifer,"Steep rocky hillside, plot center on NE side of dirt road, artemisia and bunch grass understory, old cut stumps present in plot and in surrounding area. "
M21,7/16/2021 19:00,"M. Kunkel, E. McClure",Frye_2017,32.651197,-109.859728,-109.8597649,32.6512281,W,38,PTAQ,"forbland, esp PTAQ.  Lots of tagged trees pointing toward rebar - centered plot there.  One standing dead tree burned out just so - dead pre-fire, might have been sampled! PTAQ understory beneath all dead mixed con, variety of other forbs around, mostly native. Rocky, loose soil.
"
J19,7/16/2021 19:00,"M. Kunkel, E. McClure",Frye_2017,32.678439,-109.881003,-109.8809875,32.67852827,N,62,Mixed conifer,"Steep rocky hillside, slight drainage on east side of plot, locust understory"
N22,7/16/2021 19:00,"M. Kunkel, E. McClure",Frye_2017,32.640524,-109.848981,-109.8489643,32.64051285,WNW,52,Grassland,"native bunch grass dominated. VETH & other nonnative forbs, sparse herb cover overall.  Dead canopy of MC, aside from small patch to W of plot.  Steep rocky drainage (running E-W), plot just below highway.  Lg expanse of high sev fire across steep hillside."
