Site Name,ID,mtnrange,PIPO,PIST,PIAR5,PSME,ABCO,PIEN,JUOS,POTR,count_conifer,count_total
RCU,Baisa_RCU,Catalina,0,0,0,0,0,0,0,0,0,0
RHL,Swetn_RHL,Chiricahua,1,0,3,0,0,0,63,0,67,67
RHU,Swetn_RHU,Chiricahua,0,0,0,0,0,0,0,0,0,0
RPK,Griss_RPK,Chiricahua,4,0,0,3,0,0,0,0,7,7
SAW,Allen_SAW,Jemez,5,0,0,0,0,0,0,0,5,5
SDC,Baisa_SDCCNM,Chiricahua,0,0,0,0,0,0,0,0,0,0
SR-201,Fule__SR,Kaibab,12,0,0,4,15,0,0,12,31,43
UEF,Allen_UEF,Jemez,1,1,0,0,0,0,0,8,2,10
UMC_1,Swetn_UMC1,Chiricahua,0,0,1,1,0,0,0,0,2,2
UWF,Allen_UWF,Jemez,0,0,0,0,0,0,0,0,0,0
VJ-15,Dewar_VJ,Jemez,0,0,0,0,0,0,0,0,0,0
VSR,Dewar_VSR,Jemez,0,0,0,0,0,0,0,0,0,0
