Site Name,ID,mtnrange,Latitude,Longitude,Aspect,Slope,% torch,% scorch,% mortality,average char height (m),% consumption of heavy fuels,torch_cbi,scorch_cbi,mort_cbi,char_cbi,fuel_cbi,cbi_field
ALA2-30,Allen_ALA2,Jemez,35.911723,-106.584331,WNW,20,3,30,25,0.5,50,0.5,1.5,1.2,0.3,3,1.3
ALA4,Allen_ALA4,Jemez,35.908432,-106.587553,N,15,15,85,100,2,85,1.2,2.5,3,1.2,3,2.18
BLR,Swetn_BLR,Kaibab,36.713784,-112.241902,NE,15,0,0,0,0.2,30,0,0,0,0.2,2.3,0.5
CAN-40,Allen_CAN,Jemez,35.915504,-106.38534,NE,20,15,85,100,2,80,1,2.5,3,1.4,3,2.18
CBP_1,Inigu_CBP1,Catalina,32.435802,-110.729936,NNW,72,5,95,100,2.5,10,1,2.5,3,1.6,1,1.82
CBP_2,Inigu_CBP2,Catalina,32.429454,-110.742199,NNE,72,0,100,100,1.5,NA,0,2.5,3,0.7,NA,NA
CBP_28,Inigu_CBP28,Catalina,32.434317,-110.734808,NNE,67,NA,NA,NA,NA,5,NA,NA,NA,NA,0.5,NA
CMN,Allen_CMN,Jemez,35.905393,-106.396298,ENE,30,0,65,60,0.2,20,0,2,2.3,0.1,1.7,1.22
CMN2-52,Allen_CMN2,Jemez,35.905235,-106.390883,NNE,15,0,25,20,0.1,10,0,1.2,1.1,0.1,1,0.68
CMP,Griss_CMP,Pinaleno,32.700054,-109.91639,W,13,5,95,100,0.2,5,1,2.5,3,0.1,0.5,1.42
CRC_1,Inigu_CRC1,Catalina,32.412115,-110.735187,NNW,57,0,15,5,1.7,25,0,1.3,0.5,0.9,2,0.94
CRC_17,Inigu_CRC17,Catalina,32.385474,-110.709127,ENE ,57,0,50,5,0.5,5,0,2,0.5,0.4,0.5,0.68
CRC_18,Inigu_CRC18,Catalina,32.386227,-110.714652,W,61,0,40,5,2.3,40,0,2,0.5,1.2,2.9,1.32
CRC_2,Inigu_CRC2,Catalina,32.409783,-110.735127,SSW,42,0,20,5,1,10,0,1.5,0.5,0.6,1,0.72
CRC_20,Inigu_CRC20,Catalina,32.407949,-110.732603,SE,40,40,60,100,2,15,1.7,2,3,1.4,1.3,1.88
CRC_22,Inigu_CRC22,Catalina,32.410267,-110.72907,W,24,1,25,15,1.3,10,0.1,1.8,1.2,0.7,1,0.96
CRC_9,Inigu_CRC9,Catalina,32.391813,-110.693279,SW,15,0,10,0,0.1,5,0,1,0,0.1,0.5,0.32
ES,Farri_ES,Rincon,32.211758,-110.528015,SSE,25,NA,NA,NA,NA,5,NA,NA,NA,NA,0.5,NA
ESC,Allen_ESC,Jemez,35.830259,-106.365132,SE,50,1,99,100,0.1,70,0.1,2.5,3,0.1,3,1.74
FP-1-010,Fule__FP,Kaibab,36.356968,-112.351521,N,35,0,5,5,0.4,30,0,1,0.5,0.3,2.3,0.82
FP-2-019,Fule__FP,Kaibab,36.360456,-112.342614,NA,0,0,10,1,0.1,15,0,1,0.1,0.1,1.3,0.5
FR2,Allen_FR2,Jemez,35.813779,-106.396923,NNW,40,15,85,100,6,60,1,2.5,3,3,3,2.5
G14,O.Con_G14,Pinaleno,32.709785,-109.930293,S,41,0,100,100,0.5,10,0,2.5,3,0.4,1,1.38
GB-00-01-04,Fule__GB,Kaibab,36.271474,-112.243337,NA,0,0,7,0,0.7,40,0,1,0,0.5,2.9,0.88
GB-00-01-13,Fule__GB,Kaibab,36.277797,-112.219875,E,60,0,5,5,1.5,10,0,1,0.5,0.8,1,0.66
GB-00-02-06,Fule__GB,Kaibab,36.25474,-112.235583,W,15,5,15,10,1.2,35,1,1.3,0.5,0.7,2.7,1.24
GB-00-02-16,Fule__GB,Kaibab,36.259889,-112.225721,ESE,40,0,10,5,0.3,50,0,1,0.4,0.3,3,0.94
H16,O.Con_H16,Pinaleno,32.696769,-109.912749,S,22,0,5,3,0.1,1,0,1,0.3,0.1,0.1,0.3
HD,Farri_HD,Rincon,32.216013,-110.557991,SSW,22,0,40,35,0.1,5,0,2,1.6,0.1,0.5,0.84
HD-72,Farri_HD,Rincon,32.213412,-110.55713,SW,44,0,40,20,0.1,5,0,2,1.1,0.1,0.5,0.74
I19,O.Con_I19,Pinaleno,32.683655,-109.888001,SW,13,3,70,60,0.3,5,0.5,2,2.2,0.2,0.5,0.68
IS,Farri_IS,Rincon,32.224051,-110.535879,N,11,0,0,0,0,2,0,0,0,0,0.2,0.04
J18,O.Con_J18,Pinaleno,32.678547,-109.89136,WNW,45,5,50,40,0.6,5,1,2,1.7,0.4,0.5,1.12
J19,O.Con_J19,Pinaleno,32.678439,-109.881003,N,62,1,30,15,0.5,10,0.1,2,1.2,0.4,1,0.94
JLN,Swetn_JLN,Kaibab,36.717399,-112.253202,NW,15,3,25,20,1.5,20,0.5,1.7,1.3,0.8,1.7,1.2
JLS,Swetn_JLS,Kaibab,36.716838,-112.251118,WNW,5,5,45,25,0.5,40,1,2,1.4,0.4,2.9,1.54
K19,O.Con_K19,Pinaleno,32.671615,-108.881068,S,10,1,70,60,0.3,10,0.1,2,2,0.3,1,0.68
L20,O.Con_L20,Pinaleno,32.660133,-109.870333,N,43,1,75,60,1.5,12,0.1,2,2.2,0.8,1.2,0.86
L21,O.Con_L21,Pinaleno,32.660802,-109.860554,NE,45,5,75,60,1,15,1,2,2.2,0.6,1.3,1.02
L70,O.Con_L70,Pinaleno,32.664925,-109.863204,SW,44,30,70,100,2.2,20,1.5,2,3,1.2,1.7,1.48
LGR2-43,Margo_LGR2,Jemez,35.801047,-106.55083,NNW,20,25,75,100,4.5,95,1.4,2,3,2.2,3,1.92
LOG,Allen_LOG,Jemez,35.798478,-106.541224,SE,15,0,100,100,1.5,95,0,2.5,3,0.8,3,1.86
M20,O.Con_M20,Pinaleno,32.651405,-109.870776,S,28,10,90,100,2.5,50,1,2.5,3,1.6,3,2.22
M21,O.Con_M21,Pinaleno,32.651197,-109.859728,W,38,25,75,100,2.5,35,1.4,2,3,1.6,2.7,1.74
N22,O.Con_N22,Pinaleno,32.640524,-109.848981,WNW,52,2,98,100,1.7,20,0.3,2.5,3,0.9,1.7,1.68
NAB-11,Morin_NAB,Jemez,35.919451,-106.586453,W,20,0,75,75,0.3,55,0,2,2.6,0.2,3,1.16
NS,Farri_NS,Rincon,32.22398,-110.546018,NNW,27,35,65,100,2.5,80,1.6,2,3,1.7,3,2.26
PAL_02,Swetn_PAL02,Catalina,32.411058,-110.711983,S,30,0,0,0,0.1,5,0,0,0,0.1,0.5,0.12
PIPE-03,Allen_PIPE,Jemez,35.892813,-106.337917,E,20,25,75,100,0.5,30,1.1,2,3,0.4,2.3,1.36
Random_1,Farri_HD,Rincon,32.210674,-110.540803,NA,0,0,0,0,0.1,1,0,0,0,0.1,0.1,0.04
Random_2,Farri_HD,Rincon,32.210948,-110.540695,NA,0,0,5,1,0.1,1,0,1,0.1,0.1,0.1,0.26
RBS3-27,Margo_RBS3,Jemez,35.897995,-106.581609,SSW,15,1,55,50,1,35,0.1,2,2,0.6,2.7,1.48
RCL,Baisa_RCL,Catalina,32.392832,-110.707976,SSW,37,NA,NA,NA,NA,15,NA,NA,NA,NA,1.3,NA
RCU,Baisa_RCU,Catalina,32.395267,-110.688983,W,59,0,15,5,0.2,20,0,1.2,0.5,0.1,1.7,0.7
RHL,Swetn_RHL,Chiricahua,32.006018,-109.341016,W,5,0,5,20,0.3,85,0,1,1.2,0.2,3,1.08
RHU,Swetn_RHU,Chiricahua,31.993953,-109.311447,NNE,37,5,95,100,0.3,90,1,2.5,3,0.3,3,1.96
RPK,Griss_RPK,Chiricahua,31.906383,-109.275501,NNW,26,0,35,15,1.5,10,0,2,1.2,0.8,1,1
SAW,Allen_SAW,Jemez,35.828177,-106.433925,W,5,0,84,85,0.3,50,0,2.5,2.7,0.2,3,1.68
SDC,Baisa_SDCCNM,Chiricahua,31.996239,-109.328527,NE,80,0,5,0,0.5,50,0,1,0,0.3,3,0.86
SR-201,Fule__SR,Kaibab,36.328056,-112.256193,SSW,10,0,20,15,0.2,20,0,1.5,1.1,0.1,1.7,0.88
UEF,Allen_UEF,Jemez,35.844218,-106.408133,SW,15,1,55,45,1,25,0.1,2,1.9,0.6,2,1.32
UMC_1,Swetn_UMC1,Chiricahua,31.84915,-109.29888,W,55,0,50,40,0.7,30,0,2,1.6,0.5,2.3,1.28
UWF,Allen_UWF,Jemez,35.838438,-106.42808,SW,55,10,90,100,3,45,1,2.5,3,1.4,3,2.18
VJ-15,Dewar_VJ,Jemez,35.924172,-106.519547,N,5,3,10,7,1,35,0.5,1,0.7,0.6,2.7,1.1
VSR,Dewar_VSR,Jemez,35.934142,-106.508797,SSW,25,5,20,0,1,40,1,1.5,0,0.6,2.9,1.2
