Site Name,Coordinates ,Aspect,Slope,Number Live Overstory,Number Live Sapling,Total Live Tree,Number Standing Dead,Number Dead & Down
02_04,"32.224575, -110.539696",NNW,35,1,1,2,5,8
NS,"32.223980, -110.546018",NNW,27,0,0,0,14,18
03_07,"32.221223, -110.549013",NW,59,4,0,4,1,12
02_29,"32.224361, -110.551868",NNE,56,3,1,4,5,15
HD,"32.216013, -110.557991",SSW,22,8,0,8,1,13
HD-72,32.213412; -110.55713,SW,44,7,50,57,3,1
02_28,"32.207248, -110.531156",NNE,18,7,0,7,0,0
ES,"32.211758, -110.528015",SSE,25,0,0,0,0,0
02_12,32.209860; -110.524727,NE,21,14,0,14,0,2
03_12C,"32.209263, -110.526000",E,34,5,1,6,0,1
03_15D,"32.205004, -110.530376",SSE,15,7,0,7,1,0
03_15D-2,32.204733; -110.530343,E,15,2,0,2,0,1
03_15B,"32.199750, -110530569",E,12,8,0,8,0,0
Random_1,"32.210674, -110.540803",NA,0,15,3,18,2,0
Random_2,"32.210948, -110.540695",NA,0,10,9,19,3,0
03_11D,32.210382; -110.536557,WSW,32,9,1,10,2,0
03_11D-2,"32.209970, -110.537145",ESE,33,3,0,3,0,0
03_11D-3,"32.210215, -110.537335",E,25,4,2,6,0,0
03_11D-4,32.209730; -110.537724,S,24,14,0,14,0,0
02_11,"32.208768, -110.538422",SW,26,12,3,15,0,2
03_11B,"32.204253, -110.537681",NW,31,19,3,22,0,0
03_11B-2,32.204477; -110.537964,S,27,3,0,3,3,0
03_11B-3,"32.203812, -110.538108",NNW,28,4,0,4,2,0
03_11B-4,"32.203171, -110.537920",ESE,26,4,0,4,0,0
RHU,"31.993953, -109.311447",NNE,37,0,0,0,1,18
SDC,"31.996239, -109.328527",NE,80,1,0,1,0,0
RHL,"32.006018, -109.341016",W,5,4,10,14,0,2
RPK,"31.906383, -109.275501",NNW,26,9,0,9,3,3
UMC_1,"31.849150, -109.298880",W,55,5,0,5,6,16
I19,"32.683655, -109.888001",SW,13,10,9,19,20,0
G14,"32.709785, -109.930293",S,41,0,0,0,7,0
CMP,"32.700054, -109.916390",W,13,0,1,1,26,3
H16,"32.696769, -109.912749",S,22,14,11,25,10,0
J18,"32.678547, -109.891360",WNW,45,6,0,6,10,0
K19,"32.671615, -108.881068",S,10,8,2,10,33,8
L20,"32.660133, -109.870333",N,43,3,1,4,15,5
M20,"32.651405, -109.870776",S,28,0,0,0,15,4
L70,"32.664925, -109.863204",SW,44,0,0,0,33,3
L21,"32.660802, -109.860554",NE,45,2,0,2,8,0
M21,"32.651197, -109.859728",W,38,0,0,0,34,1
J19,"32.678439, -109.881003",N,62,8,3,11,10,1
N22,"32.640524, -109.848981",WNW,52,0,0,0,21,2
