age_CE,MR1A_raw,MR1B_raw,MR10A_raw,MR10B_raw,MR11A_raw,MR11B_raw,MR12A_raw,MR12B_raw,MR13A_raw,MR13B_raw,MR14A_raw,MR14B_raw,MR15A_raw,MR15B_raw,MR16A_raw,MR16B_raw,MR17A_raw,MR17B_raw,MR18A_raw,MR18B_raw,MR2B_raw,MR20A_raw,MR20B_raw,MR21A_raw,MR21B_raw,MR22A_raw,MR22B_raw,MR23A_raw,MR23B_raw,MR24A_raw,MR24B_raw,MR25A_raw,MR25B_raw,MR27A_raw,MR27B_raw,MR28A_raw,MR28B_raw,MR29A_raw,MR29B_raw,MR3A_raw,MR3B_raw,MR30A_raw,MR4A_raw,MR4B_raw,MR5A_raw,MR6A_raw,MR6B_raw,MR7A_raw,MR7B_raw,MR8A_raw,MR8B_raw,MR9A_raw,MR9B_raw
1923,-0.0945,-0.0316,-0.3017,-0.2252,-1.3074,-0.2431,-0.0881,-0.0858,-0.0155,-0.1959,-0.1221,-0.0607,-0.2035,0.1074,-0.0842,-0.0024,-0.2972,1.1402,-0.0644,0.0564,-0.2330,-1.1691,-0.1716,-0.1384,0.0018,-0.0333,-0.0924,-0.0284,0.0011,-0.0840,0.0224,-0.0617,0.0038,-0.0664,-0.1340,-0.0757,-0.3918,-0.2740,0.0400,-0.0169,0.0322,-0.0601,-0.0842,-0.0379,-0.1797,-0.0283,-0.0594,-0.1929,-0.1293,-0.1846,-0.2101,-0.2053,-0.0499
1924,-0.0945,-0.0316,-0.3017,-0.2252,-0.5107,-0.2431,-0.0881,-0.0858,-0.0155,-0.1959,-0.1221,-0.0607,-0.2035,0.1074,-0.0842,-0.0024,0.6941,-0.0686,-0.0644,0.0564,-0.2330,-0.5683,-0.1716,-0.1384,0.0018,-0.0333,-0.0924,-0.0284,0.0011,-0.0840,0.0224,-0.0617,0.0038,-0.0664,-0.1340,-0.0757,-0.4812,-0.2740,0.0400,-0.0169,0.0322,-0.0601,-0.0842,-0.0379,-0.1797,-0.0283,-0.0594,-0.1929,-0.1293,-0.1846,-0.2101,-0.2053,-0.0499
1925,-0.0945,-0.0316,-0.3017,-0.2252,-0.8171,-0.2431,-0.0881,-0.0858,-0.0155,-0.1959,-0.1221,-0.0607,-0.2035,0.1074,-0.0842,-0.0024,-0.1871,-0.4289,-0.0644,0.0564,-0.2330,-0.6632,-0.1716,-0.1384,0.0018,-0.0333,-0.0924,-0.0284,0.0011,-0.0840,0.0224,-0.0617,0.0038,-0.0664,-0.1340,-0.0757,-0.5661,-0.2740,0.0400,-0.0169,0.0322,-0.0601,-0.0842,-0.0379,-0.1797,-0.0283,-0.0594,-0.1929,-0.1293,-0.1846,-0.2101,-0.2053,-0.0499
1926,-0.0945,-0.0316,-0.3017,-0.2252,-1.2461,-0.2431,-0.0881,-0.0858,-0.0155,-0.1959,-0.1221,-0.0607,-0.2035,0.1074,-0.0842,-0.0024,-1.0282,0.0128,-0.0644,0.0564,-0.2330,-0.8150,-0.1716,-0.1384,0.0018,-0.0333,-0.0924,-0.0284,0.0011,-0.0840,0.0224,-0.0617,0.0038,-0.0664,-0.1340,-0.0757,-0.8075,-0.2740,0.0400,-0.0169,0.0322,-0.0601,-0.0842,-0.0379,-0.1797,-0.0283,-0.0594,-0.1929,-0.1293,-0.1846,-0.2101,-0.2053,-0.0499
1927,-0.0945,-0.0316,-0.3017,-0.2252,0.0715,-0.2431,-0.0881,-0.0858,-0.0155,-0.1959,-0.1221,-0.0607,-0.2035,0.1074,-0.0842,-0.0024,2.0359,-0.0279,-0.0644,0.0564,-0.2330,-0.1130,-0.1716,-0.1384,0.0018,-0.0333,-0.0924,-0.0284,0.0011,-0.0840,0.0224,-0.0617,0.0038,-0.0664,-0.1340,-0.0757,-0.5214,-0.2740,0.0400,-0.0169,0.0322,-0.0601,-0.0842,-0.0379,-0.1797,-0.0283,-0.0594,-0.1929,-0.1293,-0.1846,-0.2101,-0.2053,-0.0499
1928,-0.0945,-0.0316,-0.3017,-0.2252,-0.4494,-0.2431,-0.0881,-0.0858,-0.0155,0.0645,-0.1221,-0.0607,-0.2035,0.1074,-0.0842,-0.0024,0.7341,1.8957,-0.0644,0.0564,-0.2330,-0.2332,-0.1716,-0.1384,0.0018,-0.0333,-0.0924,-0.0284,0.0011,-0.0840,0.0224,-0.0617,0.0038,-0.0664,-0.1340,-0.0757,-0.4946,-0.2740,0.0400,-0.0169,0.0322,-0.0601,-0.0842,-0.0379,-0.1797,-0.0283,-0.0594,-0.1929,-0.1293,-0.1846,-0.2101,-0.2053,-0.0499
1929,-0.0945,-0.0316,-0.3017,-0.2252,-0.6333,-0.2431,-0.0881,-0.0858,-0.0155,0.1182,-0.1221,-0.0607,-0.2035,0.1074,-0.0842,-0.0024,0.4337,0.6521,-0.0644,0.0564,-0.2330,0.0388,-0.1716,-0.1384,0.0018,-0.0333,-0.0924,-0.0284,0.0011,-0.0840,0.0224,-0.0617,0.0038,-0.0664,-0.1340,-0.0757,-0.6108,-0.2740,0.0400,-0.0169,0.0322,-0.0601,-0.0842,-0.0379,-0.1797,-0.0283,-0.0594,-0.1929,-0.1293,-0.1846,-0.2101,-0.2053,-0.0499
1930,-0.0945,-0.0316,-0.3017,-0.2252,-0.8171,-0.2431,-0.0881,-0.0858,-0.0155,-0.6402,-0.1221,-0.0607,-0.2035,0.1074,-0.0842,-0.0024,0.7141,0.8845,-0.0644,0.0564,-0.2330,-0.4608,-0.1716,-0.1384,0.0018,-0.0333,-0.0924,-0.0284,0.0011,-0.0840,0.0224,-0.0617,0.0038,-0.0664,-0.1340,-0.0757,-0.8165,-0.2740,0.0400,-0.0169,0.0322,-0.0601,-0.0842,-0.0379,-0.1797,-0.0283,-0.0594,-0.1929,-0.1293,-0.1846,-0.2101,-0.2053,-0.0499
1931,-0.0945,-0.0316,-0.3017,-0.2252,0.6230,-0.2431,-0.0881,-0.0858,-0.0155,-0.2418,-0.1221,-0.0607,-0.2035,0.1074,-0.0842,-0.0024,-0.0169,1.3146,-0.0644,0.0564,-0.2330,-0.5936,-0.1716,-0.1384,0.0018,-0.0333,-0.0924,-0.0284,0.0011,-0.0840,0.0224,-0.0617,0.0038,-0.0664,-0.1340,-0.0757,-0.9416,-0.2740,0.0400,-0.0169,0.0322,-0.0601,-0.0842,-0.0379,-0.1797,-0.0283,-0.0594,-0.1929,-0.1293,-0.1846,-0.2101,-0.2053,-0.0499
1932,-0.0945,-0.0316,-0.3017,-0.2252,0.2553,-0.2431,-0.0881,-0.0858,-0.0155,-0.5253,-0.1221,-0.0607,-0.2035,0.1074,-0.0842,-0.0024,0.2635,0.3615,-0.0644,0.0564,-0.2330,-0.5241,-0.9058,-0.1384,0.0018,-0.0333,-0.0924,-0.0284,0.0011,-0.0840,0.0224,-0.0617,0.0038,-0.0664,-0.1340,-0.0757,-0.9193,-0.2740,0.0400,-0.0169,0.0322,-0.0601,-0.0842,-0.0379,-0.1797,-0.0283,-0.0594,-0.1929,-0.1293,-0.1846,-0.2101,-0.2053,-0.0499
1933,-0.0945,-0.0316,-0.3017,-0.2252,0.1634,-0.2431,-0.0881,-0.0858,-0.0155,0.2407,-0.1221,-0.0607,-0.2035,0.1074,-0.0842,-0.0024,0.7141,0.9659,-0.0644,0.0564,-0.2330,0.2095,-0.2986,-0.1384,0.0018,-0.0333,-0.0924,-0.0284,0.0011,-0.0840,0.0224,-0.0617,0.0038,-0.0664,-0.1340,-0.0757,-0.8433,-0.2740,0.0400,-0.0169,0.0322,-0.0601,-0.0842,-0.0379,-0.1797,-0.0283,-0.0594,-0.1929,-0.1293,-0.8905,-0.2101,-0.2053,-0.0499
1934,-0.0945,-0.0316,-0.3017,-0.2252,-0.2043,-0.2431,-0.0881,-0.0858,-0.0155,-1.1074,-0.1221,-0.0607,-0.2035,0.1074,-0.0842,-0.0024,1.9558,2.9999,-0.0644,0.0564,-0.2330,-0.2205,-0.7913,-0.1384,0.0018,-0.0333,-0.0924,-0.0284,0.0011,-0.0840,0.0224,-0.0617,0.0038,-0.0664,-0.1340,-0.0757,-0.9908,-0.2740,0.0400,-0.0169,0.0322,-0.0601,-0.0842,-0.0379,-0.1797,-0.0283,-0.0594,-0.1929,-0.1293,-1.1930,-0.2101,-0.2053,-0.0499
1935,-0.0945,-0.0316,-0.3017,-0.2252,0.0102,-0.2431,-0.0881,-0.0858,-0.0155,-0.7474,-0.1221,-0.0607,-0.2035,0.1074,-0.0842,-0.0024,-0.0970,-0.4521,-0.0644,0.0564,-0.2330,-0.3470,-1.0402,-0.1384,0.0018,-0.0333,-0.0924,-0.0284,0.0011,-0.0840,0.0224,-0.0617,0.0038,-0.0664,-0.1340,-0.0757,-0.9595,-0.2740,0.0400,-0.0169,0.0322,-0.0601,-0.0842,-0.0379,-0.1797,-0.0283,-0.0594,-0.1929,-0.1293,-1.1426,-0.2101,-0.2053,-0.0499
1936,-0.0945,-0.0316,-0.3017,-0.2252,-1.3993,-0.2431,-0.0881,-0.0858,-0.0155,-0.4793,-0.1221,-0.0607,-0.2035,0.1074,-0.0842,-0.0024,-0.2372,-0.2661,-0.0644,0.0564,-0.2330,-0.4229,-1.0352,-0.1384,0.0018,-0.0333,-0.0924,-0.0284,0.0011,-0.0840,0.0224,-0.0617,0.0038,-0.0664,-0.1340,-0.0757,-0.8343,-0.2740,0.0400,-0.0169,0.0322,-0.0601,-0.0842,-0.0379,-0.1797,-0.0283,-0.0594,-0.1929,-0.1293,-0.9577,-0.2101,-0.2053,-0.0499
1937,-0.0945,-0.0316,-0.3017,-0.2252,-0.5413,-0.2431,-0.0881,-0.0858,-0.0155,0.3556,-0.1221,-0.0607,-1.3491,0.1074,-0.0842,-0.0024,0.3536,0.1523,-0.0644,0.0564,-0.2330,-0.4292,-0.7366,-0.1384,0.0018,-0.0333,-0.0924,-0.0284,0.0011,-0.0840,0.0224,-0.0617,0.0038,-0.0664,-0.1340,-0.0757,-0.6734,-0.2740,0.0400,-0.0169,0.0322,-0.0601,-0.0842,-0.0379,-0.1797,-0.0283,-0.0594,-0.1929,-0.1293,-0.8821,-0.2101,-0.2053,-0.0499
1938,-0.0945,-0.0316,-0.3017,-0.2252,-0.2962,-0.2272,-0.0881,-0.0858,-0.0155,-0.7014,-0.1221,-0.0607,-1.0474,0.1074,-0.0842,-0.0024,0.0032,-0.6729,-0.0644,0.0564,-0.2330,-0.6695,-1.1696,-0.1384,0.0018,-0.0333,-0.0924,-0.0284,0.0011,-0.0840,0.0224,-0.0617,0.0038,-0.0664,-0.1340,-0.0757,-0.9059,-0.2740,0.0400,-0.0169,0.0322,-0.0601,-0.0842,-0.0379,-0.1797,-0.0283,-0.0594,-0.1929,-0.1293,-0.8401,-0.2101,-0.2053,-0.0499
1939,-0.0945,-0.0316,-0.3017,-0.2252,-0.6026,-0.6561,-0.0881,-0.0858,-0.0155,-0.8240,-0.1221,-0.0607,-1.0379,0.1074,-0.0842,-0.0024,-0.1971,-0.3591,-0.0644,0.0564,-0.2330,-0.7391,-1.2592,-0.1384,0.0018,-0.0333,-0.0924,-0.0284,0.0011,-0.0840,0.0224,-0.0617,0.0038,-0.0664,-0.1340,-0.0757,-1.0087,-0.2740,0.0400,-0.0169,0.0322,-0.0601,-0.0842,-0.0379,-0.1797,-0.0283,-0.0594,-0.1929,-0.1293,-1.0754,-0.2101,-0.2053,-0.0499
1940,-0.0945,-0.0316,-0.3017,-0.2252,-0.4494,-0.2431,-0.0881,-0.0858,-0.0155,-0.8929,-0.1221,-0.0607,-1.1039,0.1074,-0.0842,-0.0024,-1.3587,-0.7311,-0.0644,0.0564,-0.2330,-0.2205,-1.1049,-0.1384,0.0018,-0.0333,-0.0924,-0.0284,0.0011,-0.0840,0.0224,-0.0617,0.0038,-0.0664,-0.1340,-0.0757,-0.9908,-0.2740,0.0400,-0.0169,0.0322,-0.0601,-0.0842,-0.0379,-0.1797,-0.0283,-0.0594,-0.1929,-0.1293,-0.9073,-0.2101,-0.2053,-0.0499
1941,-0.0945,-0.0316,-0.3017,-0.2252,0.2247,0.6146,-0.0881,-0.0858,-0.0155,-0.3338,-0.1221,-0.0607,-1.2642,0.1074,-0.0842,-0.0024,-0.2572,-0.1732,-0.0644,0.0564,-0.2330,-0.3596,-1.0651,-0.1384,0.0018,-0.0333,-0.0924,-0.0284,0.0011,-0.0840,0.0224,-0.0617,0.0038,-0.0664,-0.1340,-0.0757,-0.9595,-0.2740,0.0400,-0.0169,0.0322,-0.0601,-0.0842,-0.0379,-0.1797,-0.0283,-0.0594,-0.1929,-0.1293,-1.3023,-0.2101,-0.2053,-0.0499
1942,-0.0945,-0.0316,-0.3017,-0.2252,1.1746,-0.1160,-0.0881,-0.0858,-0.0155,-0.3031,-0.1221,-0.0607,-1.4339,0.1074,-0.0842,-0.0024,0.8042,1.4540,-0.0644,0.0564,-0.2330,0.3802,-0.5126,-0.1384,0.0018,-0.0333,-0.0924,-0.0284,0.0011,-0.0840,0.0224,-0.0617,0.0038,-0.0664,-0.1340,-0.0757,-0.8925,-0.2740,0.0400,-0.0169,0.0322,-0.0601,-0.0842,-0.0379,-0.1797,-0.0283,-0.0594,-0.1929,-0.1293,-1.2267,-0.2101,-0.2053,-0.0499
1943,-0.0945,-0.0316,-0.3017,-0.2252,0.8988,-0.4814,-0.0881,-0.0858,-0.0155,-0.5559,-0.1221,-0.0607,-1.4717,0.1074,-0.0842,-0.0024,-0.2872,0.9659,-0.0644,0.0564,-0.2330,0.2222,-0.4230,-0.1384,0.0018,-0.0333,-0.0924,-0.0284,0.0011,-0.0840,0.0224,-0.0617,0.0038,-0.0664,-0.1340,-0.0757,-1.0266,-0.2740,0.0400,-0.0169,0.0322,-0.0601,-0.0842,-0.0379,-0.1797,-0.0283,-0.0594,-0.1929,-0.1293,-1.1762,-0.2101,-0.2053,-0.0499
1944,-0.0945,-0.0316,-0.3017,-0.2252,2.7067,0.2016,-0.0881,-0.0858,-0.0155,-0.7167,-0.1221,-0.0607,-1.4528,0.1074,-0.0842,-0.0024,0.1634,0.0825,-0.0644,0.0564,-0.2330,0.2791,-0.7366,-0.1384,0.0018,-0.0333,-0.0924,-0.0284,0.0011,-0.0840,0.0224,-0.0617,0.0038,-0.0664,-0.1340,-0.0757,-1.0131,-0.2740,0.0400,-0.0169,0.0322,-0.0601,-0.0842,-0.0379,-0.1797,-1.6311,-0.0594,-0.1929,-0.1293,-0.9073,-0.2101,-0.2053,-0.0499
1945,-0.0945,-0.0316,-0.3017,-0.2252,1.2665,-0.1319,-0.0881,-0.0858,-0.0155,-1.0997,-0.1221,-0.0607,-0.9342,0.1074,-0.0842,-0.0024,-0.2572,-0.6846,-0.0644,0.0564,-0.2330,-0.0245,-1.0452,-0.1384,0.0018,-0.0333,-0.0924,-2.9504,0.0011,-0.0840,0.0224,-0.0617,0.0038,-0.0664,-0.1340,-0.0757,-1.0534,-0.2740,0.0400,-0.0169,0.0322,-0.0601,-0.0842,-0.0379,-0.1797,-1.6212,-0.0594,-0.1929,-0.1293,-1.1762,-0.2101,-0.2053,-0.0499
1946,-0.0945,-0.0316,-0.3017,-0.2252,0.5618,-0.0684,-0.0881,-0.0858,-0.0155,-0.8393,-0.1221,-0.0607,-1.2642,0.1074,-0.0842,-0.0024,-0.3673,-0.4405,-0.0644,0.0564,-0.2330,0.0767,-1.1348,-0.1384,0.0018,-0.0333,-0.0924,-0.4285,0.0011,-0.0840,0.0224,-0.0617,0.0038,-0.0664,-0.1340,-0.0757,-1.0757,-0.2740,0.0400,-0.0169,0.0322,-0.0601,-0.0842,-0.0379,-0.1797,-1.6704,-0.0594,-0.1929,-0.1293,-0.9241,-0.2101,-0.2053,-0.0499
1947,-0.0945,-0.0316,-0.3017,-0.2252,1.7874,0.0905,-0.0881,-0.0858,-0.0155,-1.0997,-0.1221,-0.0607,-1.4057,0.1074,-0.0842,-1.8905,1.4351,0.3847,-0.0644,0.0564,-0.2330,-0.6126,-1.1746,-0.1384,0.0018,-0.0333,-0.0924,0.0565,0.0011,-0.0840,0.0224,-0.0617,0.0038,-0.0664,-0.1340,-0.0757,-1.1428,-0.2740,0.0400,-0.0169,0.0322,-0.0601,-0.0842,-0.0379,-0.1797,-1.7982,-0.0594,-0.1929,-0.1293,-1.2771,-0.2101,-0.2053,-0.0499
1948,-0.0945,-0.0316,-0.3017,-0.2252,1.6955,-0.6085,-0.0881,-0.0858,-0.0155,-0.5636,-0.1221,-0.0607,-1.4245,0.1074,-0.0842,-1.7940,-0.3974,-0.6729,-0.0644,0.0564,-0.2330,0.5320,-0.6171,-0.1384,0.0018,-0.0333,-0.0924,0.2383,0.0011,-0.0840,0.0224,-0.0617,0.0038,-0.0664,-0.1340,-0.0757,-1.1696,-0.2740,0.0400,-0.0169,0.0322,-0.0601,-0.0842,-0.0379,-0.1797,-1.8670,-0.0594,-0.1929,-0.1293,-1.3107,-0.2101,-0.2053,-0.0499
1949,-0.0945,-0.0316,-0.3017,-0.2252,-0.7252,-0.7038,-0.0881,-0.0858,-0.0155,-1.0844,-0.1221,-0.0607,-1.3868,0.1074,-0.0842,-2.0018,-1.0182,-0.9868,-0.0644,-2.0658,-0.2330,-0.2268,-0.9755,-0.1384,0.0018,1.9045,-0.0924,0.1050,0.0011,-0.0840,0.0224,-0.0617,0.0038,-0.0664,-0.1340,-0.0757,-1.1920,-0.2740,0.0400,-0.0169,0.0322,-0.0601,-0.0842,-0.0379,-0.1797,-1.8769,-0.0594,-0.1929,-0.1293,-1.1930,-0.2101,-0.2053,-0.0499
1950,-0.0945,-0.0316,-0.3017,-0.2252,2.0019,-0.0049,-0.0881,-0.0858,-0.0155,-1.0002,-0.1221,-0.0607,-1.4434,0.1074,-0.0842,-1.7198,0.0032,0.1523,-0.0644,-2.1364,-0.2330,0.5447,-0.2787,-0.1384,0.0018,2.2142,-0.0924,1.4144,0.0011,-0.0840,0.0224,-0.0617,0.0038,-0.0664,-0.1340,-0.0757,-1.1651,-0.2740,0.0400,-0.0169,0.0322,-0.0601,-0.0842,-0.0379,-0.1797,-1.6212,-2.3965,-0.1929,-0.1293,-1.3191,-0.2101,-0.2053,-0.0499
1951,-0.0945,-0.0316,-0.3017,-0.2252,1.0827,-0.4655,-0.0881,-0.0858,-0.0155,-1.1763,-0.1221,-0.0607,-1.0851,0.1074,-0.0842,-1.5492,-0.2972,-0.3591,-0.0644,-2.2494,-0.2330,-0.5177,-0.6769,-0.1384,0.0018,0.6078,-0.0924,0.8567,0.0011,-0.0840,0.0224,-0.0617,0.0038,-0.0664,-0.1340,-0.0757,-1.1607,-0.2740,0.0400,-0.0169,0.0322,-0.0601,-0.0842,-0.0379,-0.1797,-1.7884,-2.4265,-0.1929,-0.1293,-1.2603,-0.2101,-0.2053,-0.0499
1952,-0.0945,-0.0316,-0.3017,-0.2252,1.8181,-0.3861,-0.0881,-0.0858,-0.0155,-0.9082,-0.1221,-0.0607,-1.1039,0.1074,-0.0842,-1.1412,0.3636,0.1058,-0.0644,-2.4684,-0.2330,-0.5051,-0.7665,-0.1384,0.0018,0.4061,-0.0924,0.6991,0.0011,-0.0840,0.0224,-0.0617,0.0038,-0.0664,-0.1340,-0.0757,-1.1294,-0.2740,0.0400,-0.0169,0.0322,-0.0601,-0.0842,-0.0379,-0.1797,-1.6507,-2.5164,-0.1929,-0.1293,-1.3107,-0.2101,-0.2053,-0.0499
1953,-0.0945,-0.0316,-0.3017,-0.2252,-0.0204,-0.9262,-0.0881,-0.0858,-0.0155,-0.2112,-0.1221,-0.0607,-1.2548,0.1074,-0.0842,-1.3563,0.4037,0.0012,-0.0644,-2.2635,-0.2330,0.2285,-0.7366,-0.1384,0.0018,0.1036,-0.0924,1.3417,0.0011,-0.0840,0.0224,-0.0617,0.0038,-0.0664,-0.1340,-0.0757,-1.0489,-0.2740,0.0400,-0.0169,0.0322,-0.0601,-0.0842,-0.0379,-0.1797,-1.2476,-2.0469,-0.1929,-0.1293,-1.1846,-0.2101,-0.2053,-0.0499
1954,-0.0945,-0.0316,-0.3017,-0.2252,1.5117,0.4876,-0.0881,-0.0858,-0.0155,-0.1270,-0.1221,-0.0607,-1.2265,0.1074,-0.0842,-0.7702,2.0459,0.7334,-0.0644,-2.1929,-0.2330,-0.0434,-0.5226,-0.1384,0.0018,1.7964,-0.0924,1.9236,0.0011,-0.0840,0.0224,-0.0617,0.0038,-0.0664,-0.1340,-0.0757,-0.6153,-0.2740,0.0400,-0.0169,0.0322,-0.0601,-0.0842,-0.0379,-0.1797,-1.3262,-1.5176,-0.1929,-0.1293,-1.1510,-0.2101,-0.2053,-0.0499
