,jc-141,jc-132,jc-133,jc-179b,jc-180,jc-161,jc-129,jc-160,jc-131,jc-159,jc-180b,jc-179,jc-166,jc-182,jc-137,pr-938,pr-922,pr-970,pr-945,pr-947,pr-927,pr-949,pm-918a,pm-918b,pm-956a,pm-956b,pr-931,pr-953,pr-961,pr-925,pr-946,pr-969,pr-932,pr-941,pr-935,pr-946b,pr-950,pr-942,pr-964,pr-955,pr-923,pr-958,pr-944,pr-960,pr-939,pr-916,pr-959,pr-939b,pr-917,pr-966,pm-852,pm-891,pm-881,pm-906,pm-880b,pm-897b,pm-858,pm-837,pm-830,pm-899,pm-898,pm-884a,pm-884b,pm-842,pm-838a,pm-838b,pm-868,pm-887,pm-880a,pm-897,pm-840a,pm-840b,pm-827,pm-843,pm-892,pm-913,pm-905,pm-850,pm-903,pm-902,pm-886,pm-867,pm-825,pm-3,pm-822,pm-858b,pm-847,pm-856,pm-829,pm-831,pm-853b,pm-850b,pm-820,pm-914,pm-860,pm-912,pm-851,pm-846,pm-896,pm-885,mg-503,mg-520,mg-536,mg-516,mg-504,mg-486,mg-502,mg-534,mg-515,mg-520b,mg-498a,mg-509,mg-537,mg-525,mg-535,mg-517,mg-496,mg-527,mg-493a,mg-530b,mg-531,mg-521,mg-489,mg-512,mg-487,mg-493b,mg-495a,mg-529,mg-526,mg-524,mg-498b,mg-495b,mg-538,mg-527b,mg-508,mg-499b,mg-500,mg-484,mg-499,mg-522,mg-507,mg-488,mg-519,mg-p8,mg-p9
1991,1950,4630,1010,440,2560,890,1050,2320,620,2000,1850,350,1260,2580,1230,1200,1620,1220,790,1020,1120,430,1950,1950,1190,1820,950,670,1290,1850,670,890,680,1390,750,710,740,420,660,1630,1180,1390,1970,2080,4500,1140,1900,4040,1230,1200,1440,860,1330,630,1430,2390,620,2120,1040,1270,1450,950,1010,920,1070,1500,1460,1140,1470,1370,1980,1650,1220,880,440,2250,1660,1780,1540,950,740,1180,1030,740,930,900,710,890,820,1190,1980,2280,690,1460,1520,1290,2880,1420,890,1350,1030,1520,2240,700,3220,980,720,1520,1430,1380,780,1570,1220,1090,1060,510,820,1070,1240,1330,500,1390,850,1610,840,1690,610,1010,1380,610,1120,600,700,1190,960,1260,1300,950,1190,530,1740,760,330,1310,670
1990,2880,3150,1340,480,4240,1370,1470,2900,720,2090,2780,290,1610,2600,1960,1140,1870,1270,1000,1260,1660,410,1580,2060,1530,2250,940,710,1210,2050,730,860,870,1400,780,790,850,630,660,2020,1160,1240,2650,2040,4790,1350,1820,4460,1390,1140,2240,1170,1350,780,1340,2790,840,2500,1360,1130,1840,1110,1150,990,1560,2250,1350,1470,1360,1640,2790,2670,1300,1030,860,2770,1620,1520,2080,1180,850,1300,860,670,910,1200,1000,760,1020,1720,1920,1570,1000,1160,1770,1440,3570,1250,980,1390,900,1540,2430,740,3640,790,910,1600,1460,1310,800,2070,1610,1230,1350,900,530,1030,810,1590,630,1360,940,2180,710,1320,750,1180,1350,800,860,800,790,1080,1130,1180,1010,930,1030,450,1570,540,410,920,590
1989,2990,3410,1300,500,3620,1510,1300,2820,630,1440,2190,320,1060,2370,1800,1160,1760,1320,800,1030,1400,360,2130,2050,1400,1750,1110,530,1560,1370,570,740,640,1190,770,740,780,500,710,2040,1150,1560,1750,2370,3440,1310,1900,3980,1370,1090,1720,1120,1200,780,1410,2490,750,2380,1620,1140,1530,920,1010,980,1230,1870,1080,1120,1570,1420,2380,1800,960,930,590,2020,1150,1930,1450,1050,740,900,890,780,820,1110,900,680,960,1320,2170,1810,640,1460,2080,1190,3080,1250,1080,1570,750,1630,2250,640,3240,1050,860,1380,1630,930,790,1560,1260,1090,1140,740,560,1080,980,1380,460,1240,730,1930,770,1080,650,1330,1290,700,1260,640,650,1020,1020,1090,800,1220,980,590,1370,720,340,1110,560
1988,2440,3700,1490,490,3720,1740,1180,2130,640,1590,1820,490,1200,2330,1460,1260,1640,1200,800,1140,1190,300,2130,1720,1460,1910,890,720,1170,1560,660,900,880,930,740,730,700,430,560,1780,800,1750,1750,2420,3130,1180,2020,3320,1140,1660,1860,1230,1180,610,1450,2320,890,2110,2240,1050,1300,1270,1090,960,960,1430,1120,1210,1400,1230,1700,1280,1990,700,710,1890,1340,1370,2080,1080,1110,1200,1080,960,930,1040,660,980,960,1590,1590,1490,750,1720,1990,1660,2240,940,1200,1440,840,1230,1910,950,2260,620,810,1010,1150,1170,850,1240,1260,1100,1170,820,500,1200,710,1120,540,1280,770,2310,840,700,690,1070,1380,810,1310,630,860,1300,1140,1170,1020,1240,1050,800,1170,770,320,1360,760
1987,2640,3890,1920,540,2940,2350,1110,2670,560,2530,2100,420,1170,2580,1560,1590,2240,1310,760,1240,1190,350,1820,1540,1620,1810,1130,800,1380,1800,650,970,890,1140,740,700,930,510,950,2170,1250,2120,2040,2900,4520,1210,2300,3790,1320,1780,2140,1390,1620,680,1470,3060,890,2400,2100,1330,1230,1420,1280,1210,1400,2070,1800,1520,1600,1670,1900,1430,1330,880,930,2230,1900,1930,1670,860,1310,1470,1200,1060,1030,1210,910,1020,1000,2090,1530,2200,970,1710,2050,1850,3000,1260,1350,1690,890,1390,2350,710,2430,900,820,1330,1500,1310,780,1430,1540,1270,1060,550,490,1360,690,930,510,1820,770,1950,760,830,870,1170,1180,860,1360,650,720,1390,1170,1060,790,1300,1130,880,1030,760,390,1090,610
1986,2270,3270,1760,490,1950,1840,910,1820,520,1400,1530,480,910,2450,1300,1180,2060,1500,1110,1040,1000,330,1460,1360,1660,2060,1120,840,1070,1730,630,940,900,1110,640,530,640,410,620,2090,1090,1660,1770,1920,3320,1080,1860,2520,1160,1830,2440,1320,1170,620,1500,2610,950,1920,2040,780,1320,1310,1230,1170,1660,1850,1770,1420,1710,1430,1550,1350,1260,910,810,1690,1550,1870,1950,810,1580,1610,1120,1010,1070,1120,890,820,750,1680,2050,2510,860,1970,1920,1950,2590,1090,1160,1100,830,1240,2250,760,2240,810,940,1140,1420,1040,780,1140,1240,1400,1070,710,570,1190,800,930,470,1680,650,1820,880,670,800,950,830,950,1090,900,700,1230,1090,1120,810,1060,1260,650,970,510,340,1000,620
1985,2170,2750,1830,620,2560,2140,800,1780,480,1810,1220,530,880,2420,1550,1500,2200,1460,1110,1120,1180,500,1680,1640,1530,2200,1090,690,1130,1700,620,1030,1110,1110,590,770,840,350,750,1940,1210,1710,2120,2000,3900,1250,1810,3400,1280,1470,2850,1080,1320,680,1550,2380,730,1900,1970,800,1320,1260,1220,1280,1680,1920,1180,1410,1780,1440,1770,1470,1310,840,740,1850,1510,2010,1620,1140,1420,1440,1050,960,990,1020,850,830,730,1440,1850,2980,770,1900,2130,1750,2880,980,1430,1430,890,1520,2300,590,2180,670,800,1020,1570,1110,800,1240,1640,1450,1080,770,520,1160,840,1030,580,1290,860,1680,760,570,880,1000,820,1160,1160,860,790,1280,1030,1300,740,1170,1220,600,870,730,440,1030,760
1984,1750,2740,1340,540,2250,2100,930,1800,490,2010,1610,520,990,2200,1600,1080,1530,1310,800,900,790,430,1180,1080,1070,1580,790,560,930,1360,630,790,1020,810,420,500,670,620,780,1660,880,1450,1420,1760,3600,1150,1410,2510,1010,1120,1360,1150,730,470,1090,1600,560,1470,1280,570,1030,1020,860,800,1260,1340,850,1050,1140,970,1440,1270,830,490,640,1040,1190,1050,1370,850,1190,1310,850,620,810,840,560,970,710,1260,1210,1460,780,1310,1900,1410,1810,870,940,1290,760,1150,2050,620,1850,570,680,1000,1200,1020,660,900,1110,1300,1130,570,590,1140,1130,1010,680,1310,610,1290,650,780,910,980,740,930,1130,920,650,1230,690,1260,630,950,1300,720,620,500,470,880,640
1983,2420,3380,2270,700,2440,3000,1350,2420,760,2690,1990,690,1370,2430,1780,1370,1830,1530,930,970,1300,360,1610,1430,1420,1780,1070,700,1180,1800,590,990,1120,1010,480,600,780,590,770,2040,1040,1410,1640,2020,3640,1180,1800,2980,1200,1520,1910,1780,980,600,1360,1810,1090,1930,1960,870,1450,1620,1200,1260,1720,1980,1450,1290,1440,1350,1780,1560,1640,800,920,1270,1500,1360,1980,1010,1290,1540,990,700,1110,1220,780,1400,850,1770,1840,1810,980,1800,2460,2010,2370,1040,1360,1480,840,1530,2420,760,2200,720,810,1350,1190,1120,760,1390,1350,1310,1220,830,620,1280,1140,1140,920,1660,700,1480,740,1080,1230,990,830,980,1250,1350,940,1550,1050,1500,920,1060,1400,860,650,550,460,1100,710
1982,2640,3740,3030,1010,2550,3330,1330,2710,1100,2870,1660,810,1190,2430,2170,1400,2130,1740,1050,1170,960,370,2220,1720,1340,1400,1040,770,1290,1900,640,1000,1040,1090,440,670,680,640,940,1670,1300,1460,1680,1980,3670,1220,1760,3360,1290,1780,2900,1650,1630,700,1780,1800,900,2080,1630,730,1190,1200,1090,1260,1180,1710,1630,1750,1720,1290,1960,1820,1570,740,1070,1450,1670,2000,2130,990,1520,2080,940,830,1090,1230,960,1240,930,1980,2210,2450,820,2390,2280,2250,2720,1120,1340,1880,780,1450,2420,770,1690,580,840,1920,1340,1080,740,1440,1650,1450,1230,820,490,1430,930,850,1110,1620,720,1420,750,1190,1300,1200,660,1010,1150,1300,1000,1460,1040,1440,790,870,1420,1150,750,540,500,790,800
1981,2640,3620,2810,770,2750,2570,830,3690,1720,2610,1910,520,1240,2290,2380,1000,1560,1410,910,830,1030,330,1730,1630,1110,1260,1090,520,1110,1080,810,870,1150,860,480,770,450,430,640,1850,1470,1350,1680,1790,3530,1340,1620,2990,1160,1330,2360,1550,1060,630,1450,1750,880,1550,1240,620,990,1040,880,1080,1400,1240,1100,1260,1350,1080,1900,1800,1490,640,900,1250,1340,1530,2000,1090,1370,2100,830,810,1150,1180,760,1160,880,1940,1470,2190,900,2610,2390,1750,2280,1020,1270,2250,1140,1280,2260,730,1650,670,570,1140,1380,960,610,1280,1530,1590,1160,740,420,1130,1320,1060,1640,1850,590,1300,520,1810,1040,930,470,800,1100,1010,800,1250,910,1230,680,700,1120,890,780,380,400,760,780
1980,3620,2900,2700,410,2330,2560,1030,5100,1460,2460,1620,390,1250,2370,2610,1200,1460,1360,970,750,1150,350,1690,1360,1150,1400,890,620,970,1240,690,740,1070,890,520,660,450,570,780,1480,1510,1270,1690,1440,2950,1390,1840,3220,1300,1330,3240,1670,1540,720,980,1560,650,1250,1290,550,970,820,600,1110,1570,1540,1050,1210,830,920,1550,1420,1290,760,1060,1290,1420,1290,1500,990,1100,1570,860,650,730,1050,750,880,780,1500,1570,1620,1010,2680,1870,1080,1920,930,1080,1980,1100,1330,2480,830,1510,1150,900,1170,1570,1040,790,1340,1990,1840,1440,830,540,1610,1580,1250,2250,1640,690,1470,560,2150,1360,1150,680,810,1210,1270,820,1460,1000,1360,770,840,1190,810,930,490,590,610,650
1979,3630,2440,3010,490,1640,2500,980,4140,1160,3100,1240,390,1040,2560,2630,1100,1050,1330,920,800,800,370,1720,1460,1030,930,1050,410,820,970,800,780,1090,590,570,770,390,300,540,1300,930,1080,1020,1470,2180,1170,1700,2590,1130,950,1690,930,800,610,1010,1170,790,680,950,480,700,920,750,770,650,720,900,970,990,660,1130,980,870,480,740,900,1170,1180,940,1030,1230,1340,650,860,820,860,500,820,710,1350,1250,1200,680,1630,1360,950,1220,860,860,1420,1100,1180,2100,600,1010,820,660,790,1140,880,680,1140,1110,1580,1220,560,370,1210,750,980,1510,1340,450,1480,640,760,810,1060,460,670,1060,960,890,1300,810,1210,790,760,1180,910,690,560,420,610,650
1978,3150,2600,2500,720,1800,3230,1280,3130,1110,2090,1390,660,1110,2380,4060,1230,1470,1590,1010,900,840,470,1970,1680,1560,1590,1190,640,1180,1450,860,940,1290,840,660,790,400,380,640,1970,1110,1650,1530,2040,2880,1310,1880,2870,1310,1670,1810,1370,1610,460,2060,1530,880,1490,1550,710,1200,1410,1310,1190,1190,1120,1380,1480,1840,980,1140,1080,1640,640,980,1460,1840,1770,1790,1100,2190,1530,1140,1130,1060,1060,770,980,860,1570,1690,1930,1050,2370,1920,1830,2380,980,1180,2080,1300,1650,3250,730,1390,790,980,1240,1370,1230,850,1510,1220,1830,1910,880,450,1700,1200,1140,1920,2260,620,2400,510,1240,1140,1310,930,1260,1360,1080,1070,1540,980,1620,920,860,1520,1480,900,640,410,700,950
1977,2950,2170,2030,730,2000,3110,1090,2120,970,1640,1440,640,1230,2060,3660,1150,1160,1410,1030,1130,840,470,1610,1410,1350,1690,1060,480,1110,1150,740,790,1370,650,670,660,380,360,630,1790,1020,1320,1400,1460,3000,870,1810,2440,1310,1300,1800,1310,1380,740,1420,1530,720,950,860,540,1060,910,720,1100,730,890,920,1370,1430,980,870,830,1140,620,990,1180,1380,1100,1570,950,1720,1110,1020,1020,1040,840,750,830,620,1460,1610,1500,950,1910,1720,1890,1750,890,1120,2050,1290,1610,2620,630,1250,980,1420,1240,1540,1260,1000,1200,1750,2060,1310,950,490,1500,970,1040,1950,1580,770,1990,660,1490,1030,1310,610,850,1290,970,1170,1420,910,1370,960,880,1300,1120,880,710,460,760,780
1976,2770,2480,2430,480,2140,2770,1240,2350,960,1660,1600,490,1360,2070,2970,990,1240,1140,1010,830,850,360,1670,1320,1040,1130,940,590,840,1250,620,780,1320,680,780,600,480,390,510,1170,810,1110,890,1080,3510,1030,1500,2280,960,890,1110,670,820,630,1360,980,910,700,710,420,550,640,600,780,560,440,740,640,1400,660,640,490,770,640,380,660,1070,1120,1160,960,1070,960,760,1140,730,910,510,490,600,940,1010,1280,650,1960,1290,1130,980,630,800,1190,1200,1570,2220,590,1210,720,1160,900,1450,1170,710,1310,1480,1440,1040,710,410,1360,550,1250,2140,970,760,1670,510,790,990,1650,550,960,1050,990,1170,1250,980,1060,620,860,1110,970,650,560,300,560,770
1975,2650,3300,2850,730,2620,3090,2220,1700,1090,1960,1830,780,1300,2330,2530,1580,1650,1440,1350,1320,930,800,2130,1790,1560,2040,960,850,1090,1950,740,890,1290,1160,580,770,580,520,530,1990,1090,1670,1690,1920,5070,1180,1930,3650,1320,1510,1040,1100,620,370,1610,1250,1290,1400,800,660,620,1050,1090,800,700,880,1670,820,1630,910,1030,960,1090,1110,640,860,1370,1330,2410,940,1580,1630,950,1300,720,1590,680,820,660,790,1390,1660,530,1550,1830,1370,1660,960,860,2690,1400,1690,2210,720,1780,1150,1390,1500,1500,1130,900,1430,1810,1640,950,1160,350,1330,1220,1090,1980,970,940,1460,800,2100,940,1310,600,800,1230,860,1100,1270,860,1220,650,890,1210,1300,1000,860,380,740,860
1974,2650,2640,1970,1000,2210,3070,1150,2500,790,1710,1510,820,1190,2170,2380,1750,2270,1630,1760,1410,870,680,2900,2010,1800,2180,1310,830,1340,2270,960,1120,1450,1290,650,950,620,560,460,2050,1520,1770,2130,2140,5220,1550,2200,3510,1770,1630,1440,1720,1060,530,2540,2250,1220,2200,1170,780,960,1200,1040,1320,1030,1140,1560,1270,2680,1340,1600,1790,1260,1800,630,1320,1760,1560,2210,1110,1490,1940,1190,1300,1100,1520,880,800,850,1020,2450,2300,650,2690,2270,2380,2350,1400,1340,1370,1490,1610,2410,560,1750,1310,1330,1740,1600,1170,720,1280,2210,1300,1010,1020,490,1410,1140,1110,1920,1320,860,1700,830,1740,900,1580,690,900,1360,940,1400,1450,850,1070,520,1060,910,1590,1060,700,390,530,820
1973,3070,3440,1820,1290,2000,3390,1400,1940,880,2010,1600,880,1160,2390,3470,1680,1800,1550,1830,1580,1120,820,2590,1730,2030,2650,1180,790,1420,1680,980,1090,1360,1240,770,870,570,590,540,1970,1460,1920,2050,1800,4930,1590,2260,4270,1700,1470,1740,2530,1760,630,2840,2320,1230,2350,1440,1030,1220,1130,1060,1170,1550,1690,1730,1320,2930,1360,1840,1710,1190,1290,980,1340,2350,2640,1590,1060,1430,2120,1420,1110,1070,1700,1090,930,1260,1600,2650,3080,970,2790,2490,2430,2560,1820,1330,1230,1160,1400,1890,430,1350,1160,1330,1170,1850,1140,720,1100,1840,1120,820,720,410,1330,1150,800,2220,1220,920,1510,830,2360,1020,1420,520,700,1260,960,1170,1170,960,920,460,940,800,1150,860,570,350,630,950
1972,2640,3740,1750,1590,1350,3010,1420,1970,950,2410,1090,910,1100,2150,5880,1030,1720,1430,1680,1390,860,850,2270,2030,1810,2380,1440,940,1390,1560,920,1210,1280,970,810,960,530,420,620,1820,1740,2040,2110,2680,5450,1820,2440,3650,1620,1400,1810,3100,1400,710,2650,2410,1250,2330,1840,990,1350,1620,1250,1240,1770,1780,1570,1660,2630,1400,1860,1910,1460,1360,990,1670,2790,2800,1850,1670,1520,2360,1490,1060,1150,1800,900,1040,1620,1750,2170,2670,1020,3000,2250,2490,2940,1720,1690,1340,1290,1090,1100,720,920,700,910,840,920,620,520,920,970,1110,560,660,730,790,740,830,1230,1020,650,1430,510,1390,790,890,490,460,790,730,1270,820,720,760,490,780,720,1030,790,510,370,520,840
