,HCL-2,HCL-4,HCL-15,HCU-4,HCU-5,HCU-6,HC-7,PB-6,PB-7,PB-10,RB-3,RB-4,RB-10,USF-23,USF-7,HCL-12,USF-8
1991,884,1691,1366,4266,3315,5635,.,893,2069,1182,1784,1973,2541,703,1136,590,713
1990,772,1700,1286,3657,3059,5676,.,1362,2291,708,1358,1756,1864,749,1787,623,1025
1989,1064,1415,1681,5006,4724,6017,.,1708,2302,1782,2507,1843,3139,1208,1648,500,994
1988,308,943,1164,4585,3763,4797,.,728,1582,1042,1413,1177,1324,933,1433,117,845
1987,600,996,1024,5650,4638,3942,.,790,1679,1049,2032,1594,2660,1113,2019,245,1181
1986,571,778,1001,4161,2970,3461,.,430,938,573,1524,1362,1602,1285,1690,333,1206
1985,817,1450,828,6010,4430,6164,.,769,2071,1209,1586,1622,2148,1037,1714,879,1563
1984,867,1938,1009,4635,3053,4281,.,1370,1555,1165,2016,891,2690,946,1177,903,852
1983,1182,2503,1405,4823,3329,4061,.,1853,1837,1230,1664,1356,2957,2001,1473,1174,1622
1982,752,1693,1063,7202,4238,5215,.,1561,1450,1384,2136,1644,3179,1746,1115,990,866
1981,566,1958,1036,7042,4281,3575,.,1518,1153,1031,2224,2016,3246,2075,1668,852,1131
1980,983,2886,1334,5326,3093,2908,.,1592,863,1430,1645,1198,1963,1025,1307,1232,1703
1979,510,2413,1401,6920,3252,3819,.,2500,1039,797,1837,1339,2537,1271,700,940,1220
1978,767,1111,1917,7023,2232,3422,.,1912,1116,859,1982,1465,1662,1395,1033,1062,2914
1977,1188,1614,1387,7600,3348,3262,.,1884,1935,1608,2485,2078,1846,1806,1250,1145,3030
1976,1936,2197,2578,7774,5282,3669,.,2848,3601,2157,3407,3639,2689,1666,930,2491,3096
1975,2031,1486,2678,9338,5587,4283,.,2272,2757,2415,2913,2662,1939,1944,843,2847,2828
1974,2095,1438,2413,10007,5406,5478,.,2880,3127,2558,4301,4586,3080,2321,2314,2751,3038
1973,2447,2877,2340,8856,5000,3093,.,3056,2572,2655,3955,3268,2611,2100,2924,3150,2371
1972,2758,1898,3001,8000,5000,4427,.,3298,3079,2651,3568,4063,2948,2657,4211,3532,2991
1971,2216,1980,3020,8000,.,4015,.,2859,3397,2343,3507,3069,3034,1967,3107,2262,2639
1970,2206,1065,2191,8000,.,3428,.,2855,3531,1836,2303,2354,1992,1550,2929,1666,2578
1969,2989,1886,2533,8000,.,4158,.,2693,3286,2447,2940,3944,2544,1635,2906,2023,2415
1968,2090,2021,2597,.,.,4000,.,2763,3288,2014,3120,3921,2021,1723,2768,1788,2448
1967,1981,1708,1802,.,.,4000,.,2519,3154,1755,3297,3190,2239,2413,2292,1441,2526
1966,1363,1176,1678,.,.,.,.,2362,2496,1911,3577,2796,2404,1505,1594,918,1478
1965,1592,1146,1825,.,.,.,.,2611,2770,1477,2753,3738,2436,1684,3018,547,1114
1964,1351,976,1919,.,.,.,.,1426,2458,866,1818,2380,1556,1666,2727,830,1369
1963,1584,1184,1917,.,.,.,.,1593,3284,2075,2178,5006,2957,2573,2670,590,1330
1962,1586,1428,2218,.,.,.,.,1343,4002,3571,1909,3507,1704,3230,2036,732,1528
1961,2128,1718,2239,.,.,.,.,1347,3834,2860,1855,3250,2144,3638,2380,639,2007
1960,1194,1170,2248,.,.,.,.,885,2691,2739,1577,2034,1715,3059,2062,868,2462
1959,1091,1619,2104,.,.,.,.,1650,2088,2333,1615,1650,1524,2244,1877,1162,3141
1958,1476,1239,1665,.,.,.,.,1289,1990,2651,1114,901,1476,1487,1573,705,2794
1957,2192,1614,1869,.,.,.,.,2644,2039,2238,2070,1756,1459,2661,2882,1124,3668
1956,2139,2442,1607,.,.,.,.,2015,2103,2483,2289,2594,1791,2503,2801,1249,2795
1955,2676,1494,2023,.,.,.,.,1881,2476,1734,1488,2525,1989,2349,2440,937,2293
1954,3109,3744,2120,.,.,.,.,1809,2484,2048,1910,3337,2302,2266,2463,1435,3331
1953,3831,2661,2425,.,.,.,.,2302,3118,2769,2294,3900,2289,2798,3482,1370,2822
1952,3415,2875,3254,.,.,.,.,2521,2055,2621,1768,3048,1410,3554,4694,1676,4710
1951,3975,4637,3922,.,.,.,.,2518,1840,4009,3881,4704,1801,2627,4720,1362,5156
1950,4355,4183,4632,.,.,.,.,3305,2072,3164,3338,4582,2425,3521,5415,1479,5518
1949,5590,4865,3985,.,.,.,.,2552,1209,2349,3500,3825,2745,4061,4997,1484,6548
1948,5385,4423,4902,.,.,.,.,2511,1177,2230,3500,3857,1923,3901,5618,1222,6241
1947,3719,4507,3864,.,.,.,.,2000,885,1733,3500,2630,1883,2941,3974,1269,4361
1946,4252,5363,4693,.,.,.,.,2000,1091,2538,3500,2980,1897,3550,3960,895,4935
1945,2464,4919,5240,.,.,.,.,2000,1172,3135,3500,2196,1290,3899,4750,487,5420
1944,2002,3625,.,.,.,.,.,2000,1200,1138,3500,2791,1119,3836,4607,462,4446
1943,3341,4316,.,.,.,.,.,2000,1200,2866,3500,.,1706,5359,5621,216,4646
1942,3532,4521,.,.,.,.,.,2000,1200,3038,3500,.,1696,6848,5646,362,5049
1941,4066,4695,.,.,.,.,.,2000,1200,3527,.,.,1887,7082,5565,393,5559
1940,3987,5567,.,.,.,.,.,2000,1200,3821,.,.,1829,5758,4585,444,5440
1939,5089,6780,.,.,.,.,.,2000,1200,4851,.,.,1773,6198,4259,678,5682
1938,5092,6933,.,.,.,.,.,.,1200,5317,.,.,1982,6924,5204,1150,6282
1937,7500,5808,.,.,.,.,.,.,.,5782,.,.,1871,7799,5183,488,6503
1936,5850,5512,.,.,.,.,.,.,.,4487,.,.,1267,5992,3532,780,5174
1935,6610,6921,.,.,.,.,.,.,.,5386,.,.,1623,6700,.,687,6180
1934,6342,4128,.,.,.,.,.,.,.,5656,.,.,1815,7000,.,1464,5930
1933,4523,1057,.,.,.,.,.,.,.,5175,.,.,1538,7000,.,836,4628
1932,6434,3358,.,.,.,.,.,.,.,4451,.,.,1529,.,.,1195,5204
1931,5561,4472,.,.,.,.,.,.,.,2697,.,.,1082,.,.,955,.
1930,5537,2976,.,.,.,.,.,.,.,2729,.,.,1188,.,.,845,.
1929,6052,.,.,.,.,.,.,.,.,.,.,.,1350,.,.,1001,.
1928,6409,.,.,.,.,.,.,.,.,.,.,.,1337,.,.,897,.
1927,4513,.,.,.,.,.,.,.,.,.,.,.,1209,.,.,637,.
1926,3696,.,.,.,.,.,.,.,.,.,.,.,.,.,.,455,.
1925,4933,.,.,.,.,.,.,.,.,.,.,.,.,.,.,565,.
1924,4834,.,.,.,.,.,.,.,.,.,.,.,.,.,.,436,.
1923,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,457,.
1922,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,294,.
1921,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,317,.
1920,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,298,.
