,BC-4,SD-14,SD-9,pr-974b,pr-930,pr-921,pr-926,pr-957a,pr-951,pr-967,pr-933,pr-952,pr-962,pr-948,jc-156,jc-p400,mg-523,mg-523b
1977,938,920,858,881,497,575,269,373,623,1066,1441,1205,740,943,820,1920,460,610
1976,875,611,790,673,364,393,210,444,522,868,662,603,560,644,980,2330,320,390
1975,966,501,945,1506,473,989,452,481,821,1497,1314,1149,803,1724,1240,2450,510,670
1974,856,908,1177,1423,668,1018,481,499,914,1609,1810,1089,774,1853,1000,2640,420,560
1973,720,1087,967,1395,715,988,322,583,1034,1811,1854,1120,743,1953,780,3170,310,600
1972,710,1232,989,1569,796,1158,576,493,1264,2183,2212,1320,912,2061,990,1940,440,500
1971,1152,981,931,1422,989,1218,368,683,1146,1988,2012,1420,1045,1726,940,1990,640,770
1970,1321,1070,1076,1534,950,1363,214,603,1081,2693,2026,1585,1028,1687,1270,2050,1070,1280
1969,1260,854,998,1408,742,1742,413,651,1012,2459,1819,1571,936,1418,1200,2450,1130,1340
1968,1406,863,998,791,666,1414,318,421,1108,2235,1383,1415,831,1508,1370,2590,1130,1190
1967,1101,834,1017,1185,708,1643,400,394,847,1471,1200,1308,945,1320,1130,2420,910,860
1966,1581,1023,1023,1591,1111,2108,607,706,1315,2214,1624,1721,1272,1493,1470,3780,1550,1370
1965,1293,1571,1033,2258,1074,1837,749,891,1278,2101,1436,1661,1153,1689,1750,3180,1610,1510
1964,1170,682,939,1260,732,1605,583,638,904,1730,1252,1381,1156,1007,1340,2350,1170,1500
1963,870,433,635,985,967,1970,318,488,899,1569,1696,1401,1087,1130,1170,1420,1020,1090
1962,833,531,769,1325,1026,1760,593,663,987,1635,1632,1434,1004,984,1430,1640,1130,1360
1961,839,511,850,1881,1092,2190,639,596,1181,2468,1928,1744,1029,1198,1370,1830,1300,1600
1960,722,486,821,891,989,2109,481,476,890,1809,1661,1381,991,930,1200,1650,1110,1300
1959,821,945,921,1215,989,2129,499,737,1004,2016,1537,1508,1025,1239,1360,1950,1370,1610
1958,833,911,1178,1986,884,2314,495,793,976,1919,1371,1564,1223,1104,1090,1890,960,1300
1957,954,1293,1100,1895,1020,2261,516,916,1226,1857,1602,1816,1254,1221,1350,2770,1170,1860
1956,1066,1522,1923,1952,966,2099,560,1062,1057,1908,1717,1704,1257,1524,1240,2590,820,1440
1955,844,1238,1602,1520,941,2351,541,883,812,1930,1734,1470,1124,1319,1570,2600,1160,1370
1954,851,962,1213,2065,1351,2408,795,1165,963,1866,1584,1867,1217,1587,2160,3590,1220,1380
1953,1215,940,1505,2164,1497,2554,618,1224,1214,2022,1948,1941,1647,1471,1870,3170,1580,1870
1952,971,1072,1437,1916,1371,2169,750,1187,1116,2116,1781,1843,1326,1473,1730,2500,1480,1770
1951,1196,1845,1553,1870,1485,2894,773,1378,1488,2986,1657,2398,1580,2301,1350,2440,1130,1770
1950,1134,.,1848,1786,1177,2785,845,1256,1309,2580,1558,1990,1221,1681,1600,2590,780,860
1949,924,.,2081,2187,1346,2498,836,1267,1278,3271,1588,2351,1168,1902,1720,2590,780,1000
1948,941,.,1376,1655,909,2243,825,928,1275,3018,1434,1975,1340,1747,1510,1950,610,1030
1947,863,.,1302,1739,843,2519,852,930,1067,2478,1420,2646,1057,1781,1470,2410,1360,1630
1946,915,.,1038,1526,921,1956,870,915,1182,2487,1256,2365,905,1518,1300,2030,1240,1390
1945,971,.,1197,1793,926,2582,1071,566,1129,2384,1427,2246,1038,1948,1070,1840,850,840
1944,860,.,1254,1803,942,1942,747,751,1120,2380,1308,1964,1271,1058,930,2420,1340,1340
1943,991,.,1485,1893,1332,2848,1002,576,1373,2929,1670,2546,1766,1730,1350,2110,900,770
1942,1106,.,2080,1955,1274,2735,994,642,1329,2824,1283,2313,1514,1895,1270,2300,1240,1110
1941,1171,.,1127,1767,1291,2637,902,612,1686,3058,1583,2380,1684,1641,980,2960,1020,910
1940,1090,.,1295,1866,1253,2853,858,604,1689,2809,1613,2222,1589,2049,1190,2210,900,1030
1939,1132,.,1287,1854,1268,2508,1119,619,1568,2850,1420,2018,1423,1815,1070,2440,950,940
1938,958,.,1396,1879,1174,2843,1147,623,1831,2804,1547,2204,1430,2185,1910,3150,550,540
1937,1185,.,1530,1879,1534,2993,1354,597,1946,3551,1665,2219,1672,1944,1840,3020,780,700
1936,945,.,1270,2181,1159,2324,981,558,1753,2592,1777,1985,1299,1699,1360,2390,540,470
1935,1022,.,1001,2996,853,2338,959,465,1983,2238,1236,1416,776,1397,1670,3450,470,540
1934,1117,.,1386,1591,1164,2054,1028,595,2210,2883,1292,1943,1216,1777,1330,2230,770,660
1933,685,.,1527,1162,785,2093,794,487,1387,2011,998,1248,777,1106,860,1550,480,360
1932,899,.,1070,1653,990,2486,850,627,1659,2512,1040,1858,827,1411,.,1340,620,560
1931,727,.,1459,1717,773,2281,633,538,1394,1726,1091,1447,976,905,.,1550,490,420
1930,871,.,1012,1367,826,1817,651,487,1085,1402,1164,1228,638,941,.,1240,360,320
1929,680,.,1105,1510,996,.,926,.,1430,1624,979,1455,651,1443,.,1100,260,300
1928,903,.,1520,2272,1359,.,910,.,2364,2303,1241,1925,1131,1909,.,1460,520,350
1927,770,.,1469,1735,937,.,1239,.,1889,1933,1034,1715,803,1639,.,1220,410,360
1926,738,.,1017,1556,864,.,.,.,1518,1406,1273,1308,760,1154,.,1130,410,390
1925,725,.,583,1295,743,.,.,.,1203,1240,970,1017,606,992,.,950,400,350
1924,818,.,950,1360,1149,.,.,.,1810,1704,1447,1662,853,1745,.,1050,540,460
1923,823,.,1492,1210,924,.,.,.,1404,2047,1450,1537,772,1896,.,1060,520,530
1922,1234,.,1706,1130,871,.,.,.,1043,2007,1306,1443,627,2057,.,820,650,540
1921,833,.,1389,1263,952,.,.,.,1159,2024,1418,2103,670,1897,.,410,530,460
1920,998,.,1383,1370,909,.,.,.,1107,1809,1643,1776,779,1666,.,460,720,510
1919,1027,.,964,1528,919,.,.,.,1057,1817,1440,1519,713,1475,.,570,570,480
1918,1061,.,1045,1238,910,.,.,.,1111,1431,1296,1576,982,1401,.,570,470,490
1917,939,.,810,1192,749,.,.,.,1101,1248,1094,1584,816,929,.,730,450,520
1916,1140,.,1202,1699,726,.,.,.,1354,1254,1058,1203,972,1094,.,730,570,510
1915,1126,.,1235,1804,990,.,.,.,1485,1814,1357,1562,967,1108,.,610,690,680
1914,783,.,1125,1351,749,.,.,.,1469,1312,1072,1008,834,811,.,610,600,640
1913,1057,.,1039,1395,1009,.,.,.,3096,1564,1388,1232,895,1029,.,690,730,740
1912,822,.,1108,1456,1145,.,.,.,.,2133,1530,1263,876,1435,.,550,560,590
1911,682,.,972,752,762,.,.,.,.,1364,1132,915,688,656,.,370,850,850
1910,665,.,952,458,539,.,.,.,.,1031,796,1044,447,552,.,480,610,500
1909,911,.,898,1147,905,.,.,.,.,1257,1170,1213,578,785,.,560,880,820
1908,863,.,1581,1502,774,.,.,.,.,1810,1009,1521,667,1001,.,720,570,530
1907,809,.,1000,1792,819,.,.,.,.,1509,1142,1392,837,922,.,730,570,470
1906,1106,.,1389,2278,1051,.,.,.,.,1910,1509,1582,873,1190,.,750,790,740
1905,902,.,1125,1927,963,.,.,.,.,1593,1445,1748,960,906,.,610,650,720
1904,1103,.,990,1723,982,.,.,.,.,1555,1336,1726,860,698,.,780,910,890
1903,928,.,789,1646,1000,.,.,.,.,1550,1222,1296,838,588,.,420,1120,940
1902,780,.,778,1250,835,.,.,.,.,1361,1248,1483,696,814,.,480,740,700
1901,731,.,900,1389,700,.,.,.,.,1597,1090,1247,721,1005,.,330,640,520
1900,646,.,837,1217,822,.,.,.,.,1963,1060,1239,767,1349,.,320,540,570
1899,578,.,.,1414,759,.,.,.,.,1495,1196,1071,712,1068,.,360,530,510
1898,804,.,.,1252,713,.,.,.,.,1801,875,1370,685,839,.,300,530,460
1897,933,.,.,1222,812,.,.,.,.,1844,1087,1067,870,1096,.,440,1100,860
1896,758,.,.,949,926,.,.,.,.,2129,1103,1303,600,1188,.,320,760,480
1895,817,.,.,926,929,.,.,.,.,1937,975,962,833,1162,.,340,840,730
1894,962,.,.,694,638,.,.,.,.,1567,716,783,391,753,.,500,580,420
1893,1053,.,.,1268,825,.,.,.,.,1840,1184,1193,795,1229,.,570,840,570
1892,1168,.,.,1959,995,.,.,.,.,1820,1316,1390,884,1604,.,560,760,720
1891,827,.,.,1073,817,.,.,.,.,1725,1016,1071,689,1220,.,640,600,520
1890,1286,.,.,1289,988,.,.,.,.,1753,1174,967,752,1461,.,640,830,760
1889,1238,.,.,1590,980,.,.,.,.,2246,1479,1296,824,1346,.,.,590,580
1888,966,.,.,879,680,.,.,.,.,1559,1127,961,740,1030,.,.,460,420
1887,1024,.,.,920,919,.,.,.,.,1718,1401,1206,868,1078,.,.,670,790
1886,1139,.,.,792,805,.,.,.,.,1054,1136,1340,752,992,.,.,480,650
1885,1119,.,.,1179,1074,.,.,.,.,1427,1464,1963,936,1205,.,.,770,1050
1884,1340,.,.,798,1078,.,.,.,.,1262,967,1582,968,1412,.,.,590,900
1883,1264,.,.,586,550,.,.,.,.,1124,1204,1324,631,822,.,.,400,550
1882,1342,.,.,735,846,.,.,.,.,1084,1172,1508,866,874,.,.,750,890
1881,1218,.,.,1019,811,.,.,.,.,1393,1289,1671,888,799,.,.,870,980
1880,1486,.,.,854,856,.,.,.,.,1314,1399,1670,985,1079,.,.,840,940
1879,1031,.,.,942,666,.,.,.,.,1054,1245,1373,768,974,.,.,760,800
1878,1390,.,.,1022,785,.,.,.,.,1460,1350,1948,1051,1134,.,.,730,760
1877,1330,.,.,1408,622,.,.,.,.,1001,1260,.,1204,959,.,.,650,680
1876,1462,.,.,1765,855,.,.,.,.,1097,1370,.,1351,1290,.,.,610,740
1875,1495,.,.,1958,930,.,.,.,.,1078,1294,.,1036,1362,.,.,650,850
1874,1457,.,.,1408,661,.,.,.,.,1057,1066,.,951,1192,.,.,630,520
1873,1089,.,.,1760,760,.,.,.,.,1102,1237,.,1211,1401,.,.,690,760
1872,1878,.,.,2747,751,.,.,.,.,1300,1148,.,1126,1453,.,.,540,450
1871,1653,.,.,1296,716,.,.,.,.,886,1084,.,1093,1303,.,.,630,580
1870,1830,.,.,1020,920,.,.,.,.,1229,1386,.,1226,1261,.,.,550,540
1869,1611,.,.,923,988,.,.,.,.,1105,941,.,1047,1279,.,.,490,480
1868,1444,.,.,599,696,.,.,.,.,1149,810,.,678,902,.,.,480,580
1867,1010,.,.,426,665,.,.,.,.,1121,664,.,813,941,.,.,460,600
1866,1061,.,.,622,700,.,.,.,.,998,488,.,939,942,.,.,500,740
1865,1040,.,.,941,1031,.,.,.,.,896,415,.,1042,1042,.,.,560,530
1864,1263,.,.,680,1206,.,.,.,.,1067,490,.,849,1204,.,.,630,670
1863,1276,.,.,643,992,.,.,.,.,1057,861,.,831,1058,.,.,550,570
1862,1272,.,.,1732,829,.,.,.,.,1426,514,.,787,1314,.,.,800,740
1861,1402,.,.,1845,750,.,.,.,.,970,1459,.,868,1794,.,.,1030,970
1860,1028,.,.,1859,899,.,.,.,.,939,1324,.,745,1431,.,.,900,930
1859,921,.,.,.,837,.,.,.,.,751,992,.,.,1519,.,.,860,750
1858,830,.,.,.,1037,.,.,.,.,872,1462,.,.,2099,.,.,950,690
1857,1209,.,.,.,964,.,.,.,.,883,1282,.,.,1986,.,.,1010,930
1856,1232,.,.,.,800,.,.,.,.,831,929,.,.,1613,.,.,860,950
1855,949,.,.,.,690,.,.,.,.,620,1095,.,.,2189,.,.,1150,1190
1854,1154,.,.,.,706,.,.,.,.,650,1130,.,.,1844,.,.,1010,1110
1853,1561,.,.,.,740,.,.,.,.,714,1181,.,.,1822,.,.,1050,1350
1852,1496,.,.,.,943,.,.,.,.,1133,1561,.,.,1973,.,.,1000,1380
1851,1712,.,.,.,1272,.,.,.,.,1205,1544,.,.,2003,.,.,1200,1360
1850,1971,.,.,.,1056,.,.,.,.,910,1501,.,.,1898,.,.,1010,1300
1849,1371,.,.,.,883,.,.,.,.,959,1200,.,.,2255,.,.,1130,1090
1848,1739,.,.,.,996,.,.,.,.,1221,1277,.,.,2689,.,.,950,870
1847,1188,.,.,.,1168,.,.,.,.,960,1118,.,.,2210,.,.,910,790
1846,1185,.,.,.,1256,.,.,.,.,.,1049,.,.,2757,.,.,1000,990
1845,1260,.,.,.,1056,.,.,.,.,.,986,.,.,1582,.,.,1000,770
1844,1114,.,.,.,1055,.,.,.,.,.,840,.,.,2069,.,.,970,890
1843,1125,.,.,.,730,.,.,.,.,.,1015,.,.,2076,.,.,840,740
1842,1042,.,.,.,877,.,.,.,.,.,1175,.,.,1958,.,.,780,770
1841,1029,.,.,.,1003,.,.,.,.,.,1091,.,.,2249,.,.,950,850
1840,1417,.,.,.,1012,.,.,.,.,.,1305,.,.,2008,.,.,880,890
1839,931,.,.,.,838,.,.,.,.,.,1302,.,.,1618,.,.,720,740
1838,993,.,.,.,903,.,.,.,.,.,1110,.,.,1791,.,.,990,990
1837,1042,.,.,.,742,.,.,.,.,.,1099,.,.,1197,.,.,680,600
1836,1552,.,.,.,1045,.,.,.,.,.,1618,.,.,1566,.,.,1050,870
1835,1470,.,.,.,1031,.,.,.,.,.,1229,.,.,1505,.,.,1120,1070
1834,1459,.,.,.,985,.,.,.,.,.,1320,.,.,1306,.,.,1120,960
1833,1535,.,.,.,1093,.,.,.,.,.,1879,.,.,.,.,.,930,1040
1832,1194,.,.,.,1077,.,.,.,.,.,1297,.,.,.,.,.,720,710
1831,1170,.,.,.,1322,.,.,.,.,.,1283,.,.,.,.,.,1080,1110
1830,1264,.,.,.,1384,.,.,.,.,.,1628,.,.,.,.,.,910,1030
1829,.,.,.,.,1373,.,.,.,.,.,1459,.,.,.,.,.,1300,1350
1828,.,.,.,.,1325,.,.,.,.,.,1264,.,.,.,.,.,1080,1090
1827,.,.,.,.,1248,.,.,.,.,.,1494,.,.,.,.,.,1430,1280
1826,.,.,.,.,1605,.,.,.,.,.,1869,.,.,.,.,.,1230,1130
1825,.,.,.,.,1419,.,.,.,.,.,1865,.,.,.,.,.,1060,1220
1824,.,.,.,.,1515,.,.,.,.,.,2102,.,.,.,.,.,940,880
1823,.,.,.,.,1589,.,.,.,.,.,1855,.,.,.,.,.,940,1090
1822,.,.,.,.,1424,.,.,.,.,.,2525,.,.,.,.,.,680,860
1821,.,.,.,.,1363,.,.,.,.,.,1466,.,.,.,.,.,630,720
1820,.,.,.,.,1392,.,.,.,.,.,1300,.,.,.,.,.,640,820
1819,.,.,.,.,1342,.,.,.,.,.,799,.,.,.,.,.,860,810
1818,.,.,.,.,1869,.,.,.,.,.,1422,.,.,.,.,.,1070,1200
1817,.,.,.,.,1378,.,.,.,.,.,.,.,.,.,.,.,980,1370
1816,.,.,.,.,1287,.,.,.,.,.,.,.,.,.,.,.,1010,1520
1815,.,.,.,.,988,.,.,.,.,.,.,.,.,.,.,.,770,820
1814,.,.,.,.,1223,.,.,.,.,.,.,.,.,.,.,.,1060,980
1813,.,.,.,.,917,.,.,.,.,.,.,.,.,.,.,.,820,660
1812,.,.,.,.,1075,.,.,.,.,.,.,.,.,.,.,.,870,650
1811,.,.,.,.,1461,.,.,.,.,.,.,.,.,.,.,.,660,560
1810,.,.,.,.,1598,.,.,.,.,.,.,.,.,.,.,.,710,710
1809,.,.,.,.,1392,.,.,.,.,.,.,.,.,.,.,.,570,550
1808,.,.,.,.,1702,.,.,.,.,.,.,.,.,.,.,.,1010,920
1807,.,.,.,.,1838,.,.,.,.,.,.,.,.,.,.,.,1180,1100
1806,.,.,.,.,1605,.,.,.,.,.,.,.,.,.,.,.,1240,1180
1805,.,.,.,.,1545,.,.,.,.,.,.,.,.,.,.,.,1750,2450
1804,.,.,.,.,2496,.,.,.,.,.,.,.,.,.,.,.,1960,2320
1803,.,.,.,.,2508,.,.,.,.,.,.,.,.,.,.,.,1670,1990
1802,.,.,.,.,2038,.,.,.,.,.,.,.,.,.,.,.,1400,1490
1801,.,.,.,.,1795,.,.,.,.,.,.,.,.,.,.,.,1440,830
1800,.,.,.,.,2066,.,.,.,.,.,.,.,.,.,.,.,1840,1160
1799,.,.,.,.,1927,.,.,.,.,.,.,.,.,.,.,.,1780,860
1798,.,.,.,.,2530,.,.,.,.,.,.,.,.,.,.,.,1530,1170
1797,.,.,.,.,2037,.,.,.,.,.,.,.,.,.,.,.,1250,1020
1796,.,.,.,.,2178,.,.,.,.,.,.,.,.,.,.,.,920,770
1795,.,.,.,.,1723,.,.,.,.,.,.,.,.,.,.,.,1080,790
1794,.,.,.,.,1906,.,.,.,.,.,.,.,.,.,.,.,1160,940
1793,.,.,.,.,1906,.,.,.,.,.,.,.,.,.,.,.,910,880
1792,.,.,.,.,1581,.,.,.,.,.,.,.,.,.,.,.,900,770
1791,.,.,.,.,1637,.,.,.,.,.,.,.,.,.,.,.,1090,1130
1790,.,.,.,.,1611,.,.,.,.,.,.,.,.,.,.,.,1600,1490
1789,.,.,.,.,1639,.,.,.,.,.,.,.,.,.,.,.,1320,1440
1788,.,.,.,.,1286,.,.,.,.,.,.,.,.,.,.,.,1100,1280
1787,.,.,.,.,1422,.,.,.,.,.,.,.,.,.,.,.,1270,1630
1786,.,.,.,.,1738,.,.,.,.,.,.,.,.,.,.,.,1400,1490
1785,.,.,.,.,1035,.,.,.,.,.,.,.,.,.,.,.,1430,1000
1784,.,.,.,.,1014,.,.,.,.,.,.,.,.,.,.,.,740,2030
1783,.,.,.,.,1201,.,.,.,.,.,.,.,.,.,.,.,1470,2300
1782,.,.,.,.,1604,.,.,.,.,.,.,.,.,.,.,.,1060,1940
1781,.,.,.,.,1591,.,.,.,.,.,.,.,.,.,.,.,1280,2740
1780,.,.,.,.,1382,.,.,.,.,.,.,.,.,.,.,.,1450,2340
1779,.,.,.,.,1337,.,.,.,.,.,.,.,.,.,.,.,.,1930
1778,.,.,.,.,1547,.,.,.,.,.,.,.,.,.,.,.,.,1610
1777,.,.,.,.,1765,.,.,.,.,.,.,.,.,.,.,.,.,1680
1776,.,.,.,.,1939,.,.,.,.,.,.,.,.,.,.,.,.,1520
1775,.,.,.,.,1864,.,.,.,.,.,.,.,.,.,.,.,.,1270
1774,.,.,.,.,1884,.,.,.,.,.,.,.,.,.,.,.,.,740
1773,.,.,.,.,2350,.,.,.,.,.,.,.,.,.,.,.,.,560
1772,.,.,.,.,1810,.,.,.,.,.,.,.,.,.,.,.,.,2040
1771,.,.,.,.,1511,.,.,.,.,.,.,.,.,.,.,.,.,1850
