,dc-239,dc-313,dc-312a,dc-226,dc-293,dc-290,dc-310,dc-316,dc-239a,dc-268,dc-267,dc-233,dc-204,dc-234,dc-230,dc-240,dc-258,dc-232,dc-196b,dc-265,dc-321,dc-311,dc-259b,dc-203,dc-322,ds-547,ds-466,ds-553,ds-376,ds-375,ds-554a,ds-464,ds-472,ds-554,ds-5,ds-585,ds-4,rk-080a,rk-026,rk-031b,rk-099b,rk-099a,rk-035b,rk-004,rk-031,rk-025,rk-098b,NN-4,NN-10,NN-12,HCL-6,HCL-7,CC-10,CC-18,CB-2,CC-9
1990,1070,1170,700,1050,1110,960,570,1160,1390,1070,470,810,830,400,970,1540,870,860,430,720,1240,1240,590,480,1150,1050,1270,1040,1020,1200,670,450,1170,1320,660,1050,1060,1950,1520,1370,2520,1820,1250,790,1270,1200,860,595,1901,455,2319,667,984,990,2164,1068
1989,870,850,470,650,1760,1080,630,1200,900,1010,460,650,1070,320,660,2130,660,650,630,540,980,1400,490,470,1080,830,1380,560,920,1000,500,370,990,840,650,910,1270,1350,1640,1460,2630,2080,990,840,1420,820,740,490,1563,394,2475,369,839,772,2000,841
1988,1050,740,590,640,1460,1320,680,1150,740,880,400,640,1030,410,1190,1580,690,810,590,560,1330,2000,540,540,1080,1020,1350,1010,980,1120,570,440,690,1400,690,1060,950,940,1230,1030,2000,1590,1090,920,1010,670,580,489,1425,432,1630,638,788,1207,1494,1033
1987,750,750,630,780,1820,1420,840,1620,900,1180,500,730,1270,650,1160,1710,710,700,560,690,1590,2240,420,710,1130,960,1400,1380,1460,1190,680,500,1560,1180,1030,1260,1380,670,1380,1140,2000,2250,1010,800,1110,660,620,291,1439,559,1292,540,879,1049,1863,1371
1986,980,780,710,910,1470,1200,610,1150,730,950,460,540,1020,620,1170,1090,620,580,550,670,1500,2040,430,610,1090,1080,1180,1130,1310,1260,520,510,780,1540,670,1250,840,490,1140,1050,1760,1690,1060,970,900,500,600,561,1017,450,1935,726,775,1183,1332,975
1985,720,900,690,1030,1620,1470,410,1100,790,1130,650,770,1120,680,1130,1170,520,550,530,510,1520,1890,430,810,1200,1270,1190,1250,1190,1240,560,490,1060,1640,510,1290,1130,480,1460,1020,1550,1920,1040,930,1100,660,570,391,1333,341,2265,754,989,786,2294,1796
1984,910,820,510,690,940,1300,440,620,620,960,480,540,950,430,830,1420,460,310,430,520,1110,1540,370,650,870,1120,1010,870,820,940,480,350,820,1090,690,880,860,500,1230,810,1640,1090,950,900,760,450,610,293,1015,416,2212,525,696,560,1627,954
1983,890,850,700,1120,1350,2680,740,1590,750,1150,600,750,1310,590,1640,1630,640,520,500,650,1990,2140,460,810,1150,1190,1410,1320,1370,1320,560,530,1090,1720,1100,1500,1150,840,1510,1590,3050,1870,1290,1230,1400,780,790,389,1385,505,3039,725,836,1157,2764,1343
1982,920,1190,750,1050,1960,2520,660,1520,790,1240,520,830,1150,610,1650,1450,810,650,510,650,2060,2380,570,870,1080,1400,1170,1280,1110,1160,490,560,1130,1760,870,1390,1050,1100,1530,1220,2110,2110,1170,1090,1450,980,780,609,828,381,2422,564,847,948,2179,732
1981,760,1190,670,710,1610,2190,680,1490,600,1060,400,780,930,490,1070,1510,910,420,420,700,1560,1440,640,930,960,1160,1110,1320,1200,1170,470,590,790,1630,1020,1470,1050,1490,1340,1310,2160,1280,910,1110,1310,910,660,506,994,480,1989,716,852,808,2740,1315
1980,880,1560,710,1050,1530,2460,590,1570,660,1230,560,790,960,490,1190,1670,1160,560,310,750,2000,1500,570,700,1210,1250,1420,1030,1240,1010,450,610,1020,1750,830,1320,1240,2290,1320,1750,2830,2060,1310,1110,1600,850,680,515,1142,450,1961,741,1062,1045,1943,1526
1979,720,1470,710,730,1480,2050,700,1620,610,940,550,630,940,330,1030,1100,920,560,500,710,1530,1580,410,830,1210,1170,1210,1330,1100,1030,440,590,940,1840,730,1320,1230,400,1310,1170,2240,1580,940,890,1200,490,520,374,1042,497,2060,573,909,1055,1792,1253
1978,880,1430,800,710,1980,1980,560,1880,570,1360,450,600,1050,450,1160,940,810,320,420,610,1830,1810,370,920,1250,980,1240,1270,1360,1060,400,810,1140,1730,700,1200,1050,500,1190,1530,2550,1810,1100,1140,1690,400,560,366,957,489,2002,775,938,1023,1849,968
1977,990,1360,550,1090,1620,1980,560,1680,470,1340,590,930,960,540,1220,860,1140,440,320,710,1790,1510,390,1140,1490,970,1540,910,1130,990,320,1060,820,1480,950,1140,1060,520,1210,1130,2150,1730,1210,880,1280,560,530,411,936,574,2163,662,1216,1396,2279,1424
1976,770,1500,600,890,1890,860,550,1750,590,1230,570,710,930,420,1350,780,530,610,430,550,1700,1920,330,910,1270,950,1170,810,1040,1040,340,680,790,1740,690,1350,1030,350,960,1190,1410,1280,820,640,1120,480,450,464,1168,657,2157,620,1263,1372,1913,1389
1975,990,1630,740,1030,1950,970,700,2000,960,1710,640,830,1130,790,1740,500,1110,830,600,880,1820,2210,400,800,1370,1010,1260,1200,960,1030,390,1020,1420,1900,900,1670,1320,670,1310,1830,3190,2580,1270,730,1810,500,670,455,971,716,2291,700,1513,1063,2019,1149
1974,920,1530,650,910,1450,590,660,1660,750,1210,760,720,1030,460,1380,540,470,610,460,690,1780,1720,370,770,1260,930,1300,770,1000,980,390,730,990,1720,740,1430,1470,840,1400,2110,2980,2610,1220,690,2060,550,700,697,1106,750,2234,822,1478,1487,1623,1449
1973,720,1210,790,820,2140,870,610,1810,680,1260,610,790,890,430,1300,480,1150,760,690,770,2070,2340,400,830,1380,1230,1180,1040,1330,930,590,680,970,1750,650,1090,1140,800,1220,2230,3170,1660,1110,900,1970,660,740,740,970,807,2261,856,1055,1329,1633,1541
1972,790,1510,910,1070,2080,920,620,1700,860,1220,760,820,780,660,1550,1170,1010,490,620,810,2390,1460,390,860,1400,1400,1180,1160,940,850,610,850,1150,1340,690,1220,1360,740,1230,2150,2890,1590,1220,1130,2060,660,810,565,1003,648,2610,873,1190,1381,1534,1528
1971,870,1480,800,790,2100,1160,620,1590,810,1250,600,850,660,450,1080,1610,1030,510,740,660,1720,1460,460,1030,1460,1450,1240,1130,1260,940,720,910,930,2100,880,1370,1550,330,1020,1900,2560,1190,1110,1740,1700,510,640,480,684,465,2377,657,909,1317,1882,1165
1970,1230,1790,660,1000,2300,1130,700,1500,1180,1310,730,760,850,580,1830,1800,1330,670,690,820,1950,2300,640,960,1320,1930,1360,1260,1760,1120,760,910,1120,2450,1070,1450,1950,360,1200,2300,2550,1720,1240,2340,2050,640,670,559,918,616,2249,851,1204,1548,2004,1585
1969,880,1640,840,1220,2370,1170,520,1580,830,1560,830,730,620,550,1640,1590,1620,680,680,910,1830,2170,650,910,1540,1580,1280,1180,1500,830,570,660,540,2320,1090,1640,2020,340,1100,2180,2050,1680,1010,3040,1970,700,570,561,1011,588,2417,745,1003,1536,2064,1383
1968,1210,1590,870,820,2770,1230,720,1630,1310,1740,890,820,640,470,1470,1240,1670,850,630,910,2380,2390,680,900,1410,1980,1300,1130,1780,1070,660,720,1170,2040,1130,1810,2280,540,1130,2300,2200,1780,1430,3630,2070,820,910,679,1205,720,3356,696,1142,1452,2219,1256
1967,800,1610,720,1010,1980,1070,630,1260,850,1600,640,610,590,430,1100,1480,1280,670,640,770,1630,2040,530,870,1320,1370,1290,950,1100,1040,520,520,650,1850,880,1880,1470,420,850,1630,1870,1400,1040,2860,1590,580,650,586,1101,673,1925,712,951,1402,2131,942
1966,970,1780,860,1030,2260,1170,670,1380,1030,1370,760,670,840,410,1430,1610,1340,830,650,940,1970,2520,590,840,1450,1720,1630,1160,1750,1050,760,650,930,2070,1100,1520,1730,720,880,2340,2440,1810,1290,2790,1950,790,860,437,936,775,2511,754,1267,1604,2793,1178
1965,860,1400,790,1330,1820,940,570,1310,1060,1310,690,860,490,610,1600,1340,1020,890,650,740,1530,2230,730,780,1270,1490,1160,930,1210,1150,560,620,700,1200,880,1630,1580,630,1090,2090,2380,2050,1200,2090,2050,810,580,491,949,717,2441,753,992,1375,2177,1294
1964,1000,1460,660,1010,1790,1010,630,1150,1220,1270,650,640,620,890,1300,930,830,710,500,580,1640,1870,500,850,1180,1460,1280,910,1260,980,550,470,550,1430,1000,1380,1190,650,1050,1870,2160,1980,940,2080,1790,640,640,415,660,599,2458,668,583,1325,1307,867
1963,1150,1320,600,1110,1570,730,600,960,1050,1420,630,530,430,410,1050,620,600,390,430,750,1860,2130,640,690,1000,1610,1420,1060,1100,1060,570,540,440,1330,1160,1730,1560,360,980,1750,1730,1580,1130,1750,1650,330,590,503,723,587,2785,569,752,979,1162,1395
1962,780,1360,590,900,910,570,610,920,810,1100,560,620,480,520,1350,780,450,680,520,460,1050,2130,620,570,980,680,1230,680,780,960,580,490,670,1040,730,1360,1080,530,710,960,820,990,710,990,770,360,460,469,528,744,2373,596,505,533,1194,905
1961,1220,1580,670,1420,1900,1070,520,1010,1120,1470,720,850,600,790,1170,2910,1450,650,660,780,1740,1940,680,720,1220,1290,1500,690,1100,940,720,490,580,1620,970,1290,1430,540,1000,1520,1230,1270,850,1480,1510,600,380,764,969,908,3067,641,1012,1195,2101,911
1960,890,1330,580,790,1710,1070,560,870,1130,1310,690,680,560,550,1030,2640,720,710,710,820,1430,1450,530,750,910,890,1000,930,820,950,710,410,440,1700,870,1120,1080,720,1090,1570,1570,2070,840,2000,1580,1050,440,615,702,790,2395,785,893,1420,2743,885
1959,870,1300,700,1240,1540,1040,700,1170,980,1250,840,700,720,430,1450,1650,1240,990,860,.,1280,1520,730,960,1180,1710,1270,1190,1100,1130,860,590,740,2020,970,1390,1190,700,1080,1700,1750,1490,960,1980,1750,780,610,703,877,842,2376,893,1078,793,1911,1082
1958,850,1420,650,1030,1410,1060,580,810,960,1140,750,660,560,600,950,1180,1090,610,750,.,1590,1620,580,810,900,1430,1200,1070,770,1300,900,610,650,1930,1110,910,1150,520,760,1250,1850,1560,740,1750,1430,800,560,688,852,819,2553,845,961,839,1989,1155
1957,1060,1570,760,1040,1850,1270,700,1150,1170,1340,930,1150,680,770,1360,1820,1330,990,1000,.,1490,2120,760,710,1140,1430,1460,1190,1340,1270,990,590,1390,1800,1130,1070,1380,820,1190,1900,2250,1530,1150,1980,1910,1230,690,977,1129,792,2833,946,1484,1114,2206,1057
1956,1120,1540,770,960,1550,1090,730,1130,1010,1290,1070,550,640,510,1040,1580,1400,680,950,.,1610,2270,750,870,1270,1330,1450,1030,1020,1370,1130,.,1200,1440,1400,1000,1210,920,1200,1990,1830,1230,880,2320,2140,1110,560,980,1030,932,3336,760,1473,1034,2347,1202
1955,980,1400,710,1240,1590,.,730,1320,1140,1250,800,990,490,590,1090,1990,1000,650,850,.,1100,2330,800,860,1050,1210,1330,1150,1120,1700,1050,.,930,1870,1030,1190,1120,750,1130,1640,1800,1060,950,2150,1980,1500,710,781,828,741,1999,992,1378,1198,2437,1315
1954,1120,1650,870,1260,1510,.,550,1230,1200,1350,940,910,550,750,1280,3240,1890,710,870,.,1700,2190,720,910,1130,1130,1520,1300,1360,2040,1060,.,1410,1740,1220,1370,1370,900,1240,1810,2080,1420,1300,2880,2230,1300,640,838,937,900,2177,1309,1358,1513,2242,1173
1953,1020,1590,780,1880,1830,.,650,2180,1300,1430,1320,1290,740,780,1550,2490,1580,1060,1140,.,1750,2130,750,1080,1220,1580,1720,1210,1380,2520,1170,.,1800,2220,1490,1470,1680,1010,1400,1930,2030,1280,1080,2600,2510,1150,670,682,771,973,2299,1419,1476,1265,2279,1312
1952,1040,1470,980,1250,1390,.,600,1630,1020,1430,1050,930,680,750,1410,1880,1080,1300,820,.,1600,1750,550,830,1080,1560,1470,1390,1220,2290,1330,.,1990,2120,1170,1870,1470,1080,1050,2180,2350,1500,960,2140,2230,1100,640,669,691,1125,2050,1264,1139,1353,2238,1170
1951,1290,1940,840,1490,1880,.,680,2280,1080,1470,1070,1390,700,900,1650,2090,1260,1270,930,.,2150,2010,840,1170,1310,1620,2070,1640,1390,2580,1240,.,1810,2600,1510,2460,2310,1150,1400,2550,2520,1200,1590,2760,2760,1670,660,1085,968,1362,2454,1233,1322,1607,3109,1536
1950,1140,1690,970,1190,1910,.,670,1710,1070,1540,1210,1300,590,730,1350,1970,1020,1620,1060,.,1630,2440,840,950,1060,1450,1600,1870,1100,1980,1430,.,2010,2970,1330,2280,2260,1140,1410,2740,2240,1670,1340,2130,2580,1570,740,1033,971,1351,3057,1439,1163,2336,2795,1271
1949,1010,1810,720,990,1750,.,630,1760,840,1230,1150,1050,770,680,1530,2120,1500,1410,790,.,1340,1870,700,740,1140,1120,1530,1230,1230,2170,1440,.,1590,2390,1040,1860,2000,1060,1400,2590,2100,1700,990,2090,2100,1150,590,1187,1157,1250,2857,1208,845,2145,3471,991
1948,1130,1800,780,590,1680,.,600,1820,800,1100,1060,1320,590,900,1750,2790,1110,1460,690,.,1390,1780,680,930,1020,1050,1400,1430,1150,1720,1090,.,1160,1890,930,1870,1780,990,1220,2900,1730,1070,1130,2270,2210,1850,690,787,1271,1616,3598,1594,1461,1878,3804,1100
1947,1210,2190,790,1420,1820,.,580,1940,690,1120,920,1100,830,1050,2160,3490,1080,1900,610,.,1390,2060,1140,1130,1150,1470,1520,2030,960,2700,1000,.,2030,2710,1230,3040,1660,1010,1360,2850,2150,2240,1360,2310,2240,2000,540,1169,1367,1303,2878,2176,1412,2052,3895,1243
1946,930,1940,500,1000,1350,.,610,1820,730,1080,1070,1400,770,820,1860,2050,1170,1580,650,.,1190,2020,750,930,1010,1260,1470,1690,1040,2330,1490,.,1460,1730,1000,2720,1660,980,1350,3270,2090,2220,990,2910,2620,2010,700,1285,1243,1510,3300,2098,1185,1754,3772,1170
1945,930,1920,710,1210,1600,.,680,1800,810,970,780,1420,610,870,2710,1830,1080,1460,610,.,1110,1740,770,740,980,1370,1560,1910,940,2300,1300,.,1360,1660,840,2940,1760,880,1490,3410,1880,1560,1130,3350,2750,2120,520,1211,1174,1404,2736,2086,1117,1891,3253,1173
1944,860,1540,570,1030,1220,.,630,1980,710,1050,780,1190,700,830,2050,1040,1020,1870,570,.,1100,1820,700,840,850,1060,990,1450,930,2240,1280,.,1180,940,710,2240,1390,780,1200,3190,1480,2110,1070,2820,2980,1910,530,1194,1065,1341,2399,1946,1022,1674,2682,1277
1943,900,2260,700,1090,1510,.,570,2040,650,1050,750,1320,800,800,2890,1870,1390,1930,470,.,1370,1470,870,980,960,1360,1240,1860,910,2700,1420,.,1560,1660,870,2510,2280,960,1630,3320,1710,2050,960,2980,3460,1700,660,1239,1309,1930,2667,2064,1575,2146,3398,1212
1942,640,1460,680,1100,1110,.,570,2100,1070,960,790,1000,840,830,2360,1710,1120,1900,540,.,1080,1480,700,940,970,1590,1160,2380,1080,1850,1310,.,1280,2110,490,2710,1650,1150,1100,2730,1760,1410,820,2500,2440,1500,490,1176,903,1851,2064,2336,1504,1497,2655,1409
1941,920,2050,650,1110,1470,.,570,1680,1150,1060,700,1580,740,890,2190,2030,750,1390,720,.,1440,1730,550,920,830,1250,1260,2640,1080,2570,1200,.,1990,2620,800,2970,1570,940,1520,3000,1720,1530,850,2710,2610,1100,440,1082,1081,1833,2501,1721,1500,1260,2071,1187
1940,720,2480,700,1420,1540,.,670,2310,1310,990,810,1590,680,710,3070,3050,1100,1410,780,.,1600,2030,730,1030,980,1280,1080,3610,1250,2840,1040,.,1500,3420,960,3230,1870,1410,1220,2970,1610,1500,810,2340,2540,1620,560,1282,1342,2381,4152,2373,1882,1744,2000,1161
1939,850,2290,650,1320,1460,.,620,2270,1400,1040,850,1520,820,730,2910,2720,1060,1770,840,.,1370,2020,700,1030,990,1120,1260,4370,1300,3120,1430,.,1980,3770,920,2450,2310,1130,1450,2550,1670,1810,890,2770,2390,1750,440,1266,1362,1922,4520,3691,1281,1278,2000,1109
1938,710,2730,740,1380,1100,.,590,1750,970,1200,880,1450,880,580,2340,2690,950,3170,980,.,1300,1920,800,810,1010,1290,1090,4840,1200,3980,1620,.,2150,4100,1060,2950,2200,1990,1470,2330,1770,1020,900,2620,2160,2380,480,1620,1193,3440,3152,4216,1622,1005,2000,1335
1937,670,2620,730,1280,1670,.,440,2330,1350,1130,780,1610,840,650,3090,2460,1010,3030,860,.,1360,2400,540,950,960,1230,1020,4190,920,4180,1500,.,1320,3460,1110,2830,1880,1700,1550,2730,1560,1590,870,3750,2640,2500,450,1692,1275,2963,5019,3939,1732,1151,.,1857
1936,790,1390,730,940,1010,.,590,2430,1050,960,680,1500,720,610,2640,1710,640,1460,670,.,1420,1360,750,930,950,1130,1090,3320,890,2520,1150,.,1490,3260,830,2540,1530,950,1220,2170,1070,1020,900,2180,1700,1310,570,1465,1215,1631,4100,2860,1317,874,.,1480
1935,800,1810,660,1400,1000,.,380,2420,990,1130,820,1360,750,680,2240,1660,630,1560,880,.,1750,1400,780,1030,860,1240,880,3330,1230,2670,1690,.,2110,4560,730,2770,1220,1110,1370,2430,1500,1080,790,1700,2070,1660,520,1946,1557,2159,4784,3096,1442,821,.,1553
1934,680,1760,520,1230,1080,.,440,1500,1150,1000,990,1650,850,530,2080,1450,810,1140,720,.,2000,1320,710,1010,930,1130,900,2780,1590,2500,1370,.,1950,4040,670,2440,1600,1150,1290,2230,1190,870,740,1000,1550,1320,410,1319,1461,2345,3896,3629,1186,.,.,1045
1933,600,1590,520,850,860,.,560,770,.,900,670,990,680,530,1530,1000,520,1150,480,.,1750,1480,430,820,680,790,680,3040,1780,2020,970,.,1240,3370,750,2720,1100,780,1150,2130,1200,900,690,830,1450,390,500,1187,1057,1057,1990,2482,872,.,.,717
1932,720,1350,750,910,1120,.,920,680,.,1090,730,1310,940,570,1170,1140,980,1140,540,.,1580,1440,800,920,770,1000,640,2740,960,1890,750,.,1280,3510,610,2280,1380,1030,1300,1550,1590,1810,850,580,1260,270,550,1179,1194,352,1787,2360,871,.,.,732
1931,670,970,630,880,970,.,790,610,.,960,710,900,730,470,740,970,830,930,650,.,1340,1270,790,850,760,800,520,2500,750,1210,760,.,710,2240,570,1910,940,820,1050,1130,1050,1320,800,430,1030,180,500,1163,952,349,1565,4084,868,.,.,709
1930,850,1240,710,1160,830,.,820,560,.,960,670,970,920,600,1070,1000,1070,1130,620,.,1330,980,830,1150,860,990,710,1970,990,1240,770,.,770,2130,430,1990,1180,850,1010,1040,1080,1240,810,520,900,120,460,974,1156,422,1757,5552,632,.,.,579
1929,830,1330,700,1150,1140,.,790,730,.,970,740,850,700,670,1300,1040,1320,1100,590,.,1480,1350,750,1000,890,940,530,2990,840,1140,880,.,710,2280,400,1940,1260,690,1160,1120,960,1560,780,640,930,190,400,1063,1459,886,1950,6904,502,.,.,413
1928,930,1880,590,1330,1330,.,950,1170,.,1180,680,1620,1040,840,1290,1750,1640,1050,830,.,1760,1270,1090,1290,1120,1020,1290,4950,1150,1450,1320,.,1370,2780,820,1580,1310,1180,1470,980,1100,1370,1150,820,900,410,770,1397,978,483,2233,6655,627,.,.,675
1927,1000,1290,710,1160,.,.,850,1290,.,1020,830,1440,1010,720,1300,990,680,920,510,.,1520,900,770,1130,910,950,1160,3730,860,1140,1020,.,1400,2730,890,1370,1080,1080,1300,960,930,1130,740,640,820,280,660,1126,672,330,1893,.,719,.,.,643
1926,760,1030,580,620,.,.,700,1040,.,790,810,830,460,390,510,680,520,450,490,.,1980,520,360,700,840,640,1000,2630,1000,940,1180,.,420,2210,570,630,720,550,910,770,510,680,580,350,730,270,510,516,523,309,367,.,174,.,.,504
1925,790,970,510,1160,.,.,610,750,.,890,540,690,700,510,730,650,620,230,470,.,2110,730,580,810,800,710,860,2050,880,500,720,.,530,2780,630,820,820,750,1120,630,590,770,710,360,880,280,380,641,609,251,834,.,168,.,.,525
1924,1030,1190,590,1380,.,.,990,2180,.,1250,670,1330,1020,590,770,970,700,420,560,.,.,1180,760,1410,1010,1000,1150,2850,1280,1420,940,.,1120,3980,950,1340,1430,1030,1280,770,670,1210,920,480,1060,340,640,868,934,441,1466,.,277,.,.,845
1923,1040,1260,710,1450,.,.,890,2080,.,1640,630,1500,810,680,980,1570,710,620,580,.,.,1480,920,1570,930,1140,1160,4760,1360,2200,1060,.,1850,4190,990,1250,1770,1450,1540,1060,890,1600,1080,490,1220,250,520,1074,1099,608,1841,.,340,.,.,859
1922,950,1620,800,1480,.,.,920,1040,.,1700,800,1470,1130,700,1030,1430,850,560,640,.,.,1510,830,1400,1090,870,1140,3760,1450,2160,1000,.,1520,3950,970,760,2090,1220,1540,810,790,1630,970,360,870,280,560,1332,1145,700,1186,.,160,.,.,779
1921,910,1330,610,1370,.,.,760,1540,.,1590,690,1580,650,890,710,810,640,390,530,.,.,1720,660,1440,890,900,1490,5340,1230,2000,880,.,1890,3680,970,500,2510,1100,1340,920,730,1070,800,400,990,290,540,1048,1054,695,796,.,184,.,.,640
1920,980,1180,660,1120,.,.,830,1370,.,1450,680,1100,840,720,330,360,430,240,460,.,.,1170,680,1060,1110,1010,840,3230,1240,2020,520,.,1630,2120,890,350,1590,840,1170,870,950,1230,810,400,980,200,370,1043,1019,517,834,.,241,.,.,734
1919,.,1220,580,620,.,.,680,1110,.,800,560,580,670,490,310,270,440,150,450,.,.,1010,450,920,930,500,860,1780,620,1630,520,.,930,600,650,110,1160,910,1330,820,1090,1540,690,420,890,240,420,1176,1017,297,623,.,205,.,.,620
1918,.,1230,570,730,.,.,710,1550,.,890,580,410,790,390,220,400,820,200,530,.,.,1000,450,800,1060,310,750,1320,660,1960,580,.,730,770,360,160,1940,660,1120,920,960,1170,900,560,1020,220,510,944,749,344,438,.,211,.,.,745
1917,.,1230,530,530,.,.,830,1290,.,1050,550,780,710,570,230,470,720,210,540,.,.,750,590,800,1010,670,1080,2220,1020,1330,870,.,1190,2520,650,100,1340,1150,1390,940,1110,1230,1040,510,1040,220,650,938,778,491,701,.,217,.,.,838
1916,.,1260,660,810,.,.,990,880,.,960,670,710,930,670,160,810,630,210,460,.,.,780,590,870,910,500,1090,2430,1240,1170,1240,.,840,2830,750,190,1160,1610,1290,1170,1320,1490,780,500,1160,270,720,1063,948,393,557,.,202,.,.,679
