,WR-15,BC-5,HC-15,BC-13,WR-5,BC-10,BC-16,BC-12,WR-8,WR-16,WR-9,WR-4,dc-318,dc-319,ds-546,rk-053,rk-003
1902,.,.,.,.,.,.,.,.,1312,.,.,903,.,.,.,257,.
1901,.,.,.,.,.,.,.,.,913,.,.,.,.,.,.,115,.
1900,.,.,.,.,.,.,.,.,483,.,.,.,.,.,.,99,.
1899,.,.,.,.,.,.,.,.,1381,.,.,.,.,.,.,.,.
1898,.,.,.,.,.,.,.,.,1073,.,.,.,.,.,.,.,.
1897,.,.,.,.,.,.,.,.,1167,.,.,.,.,.,.,.,.
1896,.,.,.,.,.,.,.,.,1376,.,.,.,.,.,.,.,.
1895,.,.,.,.,.,.,.,.,1469,.,.,.,.,.,.,.,.
1894,.,.,.,.,.,.,.,.,2121,.,.,.,.,.,.,.,.
1893,.,.,.,.,.,.,.,.,988,.,.,.,.,.,.,.,.
1892,.,.,.,.,.,.,.,.,457,.,.,.,.,.,.,.,.
1891,.,.,.,.,.,.,.,.,457,.,.,.,.,.,.,.,.
1890,.,.,.,.,.,.,.,.,982,.,.,.,.,.,.,.,.
1889,.,.,.,.,.,.,.,.,1209,.,.,.,.,.,.,.,.
1888,.,.,.,.,.,.,.,.,572,.,.,.,.,.,.,.,.
1887,.,.,.,.,.,.,.,.,517,.,.,.,.,.,.,.,.
1886,.,.,.,.,.,.,.,.,742,.,.,.,.,.,.,.,.
1885,.,.,.,.,.,.,.,.,513,.,.,.,.,.,.,.,.
1884,.,.,.,.,.,.,.,.,577,.,.,.,.,.,.,.,.
1883,.,.,.,.,.,.,.,.,813,.,.,.,.,.,.,.,.
