"","State","Tree","Tag","years","Ring_width"
"147","CO","01L","ABLA-H-01L","2006",0.59
"148","CO","01L","ABLA-H-01L","2005",0.633
"149","CO","01L","ABLA-H-01L","2004",0.676
"150","CO","01L","ABLA-H-01L","2003",0.7385
"151","CO","01L","ABLA-H-01L","2002",0.802
"152","CO","01L","ABLA-H-01L","2001",0.79
"153","CO","01L","ABLA-H-01L","2000",0.6845
"154","CO","01L","ABLA-H-01L","1999",0.7255
"155","CO","01L","ABLA-H-01L","1998",0.6805
"156","CO","01L","ABLA-H-01L","1997",0.6335
"157","CO","01L","ABLA-H-01L","1996",0.795
"158","CO","01L","ABLA-H-01L","1995",0.848
"159","CO","01L","ABLA-H-01L","1994",0.7785
"160","CO","01L","ABLA-H-01L","1993",0.802
"161","CO","01L","ABLA-H-01L","1992",0.9855
"162","CO","01L","ABLA-H-01L","1991",0.99
"163","CO","01L","ABLA-H-01L","1990",0.771
"164","CO","01L","ABLA-H-01L","1989",0.8625
"165","CO","01L","ABLA-H-01L","1988",0.933
"166","CO","01L","ABLA-H-01L","1987",0.945
"167","CO","01L","ABLA-H-01L","1986",1.0715
"168","CO","01L","ABLA-H-01L","1985",1.0385
"169","CO","01L","ABLA-H-01L","1984",1.079
"170","CO","01L","ABLA-H-01L","1983",0.9455
"171","CO","01L","ABLA-H-01L","1982",1.0745
"172","CO","01L","ABLA-H-01L","1981",0.989
"173","CO","01L","ABLA-H-01L","1980",0.948
"174","CO","01L","ABLA-H-01L","1979",1.055
"175","CO","01L","ABLA-H-01L","1978",0.939
"176","CO","01L","ABLA-H-01L","1977",0.7265
"177","CO","01L","ABLA-H-01L","1976",1.2155
"178","CO","01L","ABLA-H-01L","1975",1.0665
"179","CO","01L","ABLA-H-01L","1974",1.171
"180","CO","01L","ABLA-H-01L","1973",0.8975
"181","CO","01L","ABLA-H-01L","1972",0.9395
"182","CO","01L","ABLA-H-01L","1971",1.1815
"183","CO","01L","ABLA-H-01L","1970",1.486
"184","CO","01L","ABLA-H-01L","1969",1.5885
"185","CO","01L","ABLA-H-01L","1968",1.4655
"186","CO","01L","ABLA-H-01L","1967",1.402
"187","CO","01L","ABLA-H-01L","1966",1.8705
"188","CO","01L","ABLA-H-01L","1965",1.735
"189","CO","01L","ABLA-H-01L","1964",1.8015
"190","CO","01L","ABLA-H-01L","1963",1.505
"191","CO","01L","ABLA-H-01L","1962",1.6635
"192","CO","01L","ABLA-H-01L","1961",1.5205
"193","CO","01L","ABLA-H-01L","1960",1.663
"194","CO","01L","ABLA-H-01L","1959",1.45
"195","CO","01L","ABLA-H-01L","1958",1.638
"196","CO","01L","ABLA-H-01L","1957",1.363
"197","CO","01L","ABLA-H-01L","1956",1.451
"198","CO","01L","ABLA-H-01L","1955",1.437
"199","CO","01L","ABLA-H-01L","1954",1.434
"200","CO","01L","ABLA-H-01L","1953",1.5035
"201","CO","01L","ABLA-H-01L","1952",1.3805
"202","CO","01L","ABLA-H-01L","1951",1.2365
"203","CO","01L","ABLA-H-01L","1950",1.304
"204","CO","01L","ABLA-H-01L","1949",1.837
"205","CO","01L","ABLA-H-01L","1948",1.827
"206","CO","01L","ABLA-H-01L","1947",1.512
"207","CO","01L","ABLA-H-01L","1946",1.2905
"208","CO","01L","ABLA-H-01L","1945",1.3995
"209","CO","01L","ABLA-H-01L","1944",1.174
"210","CO","01L","ABLA-H-01L","1943",1.2525
"211","CO","01L","ABLA-H-01L","1942",1.4255
"212","CO","01L","ABLA-H-01L","1941",1.4315
"213","CO","01L","ABLA-H-01L","1940",1.3035
"214","CO","01L","ABLA-H-01L","1939",1.266
"215","CO","01L","ABLA-H-01L","1938",1.3915
"216","CO","01L","ABLA-H-01L","1937",1.258
"217","CO","01L","ABLA-H-01L","1936",1.1665
"218","CO","01L","ABLA-H-01L","1935",1.081
"219","CO","01L","ABLA-H-01L","1934",0.853
"220","CO","01L","ABLA-H-01L","1933",0.918
"221","CO","01L","ABLA-H-01L","1932",0.8385
"222","CO","01L","ABLA-H-01L","1931",1.019
"223","CO","01L","ABLA-H-01L","1930",0.9365
"224","CO","01L","ABLA-H-01L","1929",0.8515
"225","CO","01L","ABLA-H-01L","1928",0.835
"226","CO","01L","ABLA-H-01L","1927",0.8455
"227","CO","01L","ABLA-H-01L","1926",0.891
"228","CO","01L","ABLA-H-01L","1925",0.78
"229","CO","01L","ABLA-H-01L","1924",0.7475
"230","CO","01L","ABLA-H-01L","1923",0.5965
"231","CO","01L","ABLA-H-01L","1922",0.627
"232","CO","01L","ABLA-H-01L","1921",0.61
"233","CO","01L","ABLA-H-01L","1920",0.665
"234","CO","01L","ABLA-H-01L","1919",0.7185
"235","CO","01L","ABLA-H-01L","1918",0.58
"236","CO","01L","ABLA-H-01L","1917",0.638
"237","CO","01L","ABLA-H-01L","1916",0.607
"238","CO","01L","ABLA-H-01L","1915",0.69
"239","CO","01L","ABLA-H-01L","1914",0.7265
"240","CO","01L","ABLA-H-01L","1913",0.7335
"241","CO","01L","ABLA-H-01L","1912",0.726
"242","CO","01L","ABLA-H-01L","1911",0.71
"243","CO","01L","ABLA-H-01L","1910",0.964
"244","CO","01L","ABLA-H-01L","1909",1.031
"245","CO","01L","ABLA-H-01L","1908",1.154
"246","CO","01L","ABLA-H-01L","1907",1.067
"247","CO","01L","ABLA-H-01L","1906",1.0245
"248","CO","01L","ABLA-H-01L","1905",1.1565
"249","CO","01L","ABLA-H-01L","1904",1.1835
"250","CO","01L","ABLA-H-01L","1903",1.3035
"251","CO","01L","ABLA-H-01L","1902",1.011
"252","CO","01L","ABLA-H-01L","1901",1.046
"253","CO","01L","ABLA-H-01L","1900",1.059
"254","CO","01L","ABLA-H-01L","1899",1.121
"255","CO","01L","ABLA-H-01L","1898",1.025
"256","CO","01L","ABLA-H-01L","1897",0.501
"257","CO","01L","ABLA-H-01L","1896",NA
"258","CO","01L","ABLA-H-01L","1895",NA
"259","CO","01L","ABLA-H-01L","1894",NA
"260","CO","01L","ABLA-H-01L","1893",NA
"261","CO","01L","ABLA-H-01L","1892",NA
"262","CO","01L","ABLA-H-01L","1891",NA
"263","CO","01L","ABLA-H-01L","1890",NA
"264","CO","01L","ABLA-H-01L","1889",NA
"265","CO","01L","ABLA-H-01L","1888",NA
"266","CO","01L","ABLA-H-01L","1887",NA
"267","CO","01L","ABLA-H-01L","1886",NA
"268","CO","01L","ABLA-H-01L","1885",NA
"269","CO","01L","ABLA-H-01L","1884",NA
"270","CO","01L","ABLA-H-01L","1883",NA
"271","CO","01L","ABLA-H-01L","1882",NA
"272","CO","01L","ABLA-H-01L","1881",NA
"273","CO","01L","ABLA-H-01L","1880",NA
"274","CO","01L","ABLA-H-01L","1879",NA
"275","CO","01L","ABLA-H-01L","1878",NA
"276","CO","01L","ABLA-H-01L","1877",NA
"277","CO","01L","ABLA-H-01L","1876",NA
"278","CO","01L","ABLA-H-01L","1875",NA
"279","CO","02H","ABLA-H-02H","2013",0.1575
"280","CO","02H","ABLA-H-02H","2012",1.035
"281","CO","02H","ABLA-H-02H","2011",1.1635
"282","CO","02H","ABLA-H-02H","2010",1.004
"283","CO","02H","ABLA-H-02H","2009",1.2755
"284","CO","02H","ABLA-H-02H","2008",1.0135
"285","CO","02H","ABLA-H-02H","2007",0.908
"286","CO","02H","ABLA-H-02H","2006",0.8335
"287","CO","02H","ABLA-H-02H","2005",0.8325
"288","CO","02H","ABLA-H-02H","2004",0.8115
"289","CO","02H","ABLA-H-02H","2003",0.951
"290","CO","02H","ABLA-H-02H","2002",1.1665
"291","CO","02H","ABLA-H-02H","2001",1.407
"292","CO","02H","ABLA-H-02H","2000",1.196
"293","CO","02H","ABLA-H-02H","1999",1.3205
"294","CO","02H","ABLA-H-02H","1998",1.349
"295","CO","02H","ABLA-H-02H","1997",1.2615
"296","CO","02H","ABLA-H-02H","1996",1.2605
"297","CO","02H","ABLA-H-02H","1995",0.967
"298","CO","02H","ABLA-H-02H","1994",0.999
"299","CO","02H","ABLA-H-02H","1993",1.111
"300","CO","02H","ABLA-H-02H","1992",1.1685
"301","CO","02H","ABLA-H-02H","1991",1.094
"302","CO","02H","ABLA-H-02H","1990",1.1975
"303","CO","02H","ABLA-H-02H","1989",1.0345
"304","CO","02H","ABLA-H-02H","1988",1.131
"305","CO","02H","ABLA-H-02H","1987",1.151
"306","CO","02H","ABLA-H-02H","1986",1.0775
"307","CO","02H","ABLA-H-02H","1985",0.9815
"308","CO","02H","ABLA-H-02H","1984",1.0015
"309","CO","02H","ABLA-H-02H","1983",1.224
"310","CO","02H","ABLA-H-02H","1982",1.309
"311","CO","02H","ABLA-H-02H","1981",1.025
"312","CO","02H","ABLA-H-02H","1980",0.6975
"313","CO","02H","ABLA-H-02H","1979",1.0595
"314","CO","02H","ABLA-H-02H","1978",0.9205
"315","CO","02H","ABLA-H-02H","1977",0.836
"316","CO","02H","ABLA-H-02H","1976",0.9045
"317","CO","02H","ABLA-H-02H","1975",0.729
"318","CO","02H","ABLA-H-02H","1974",0.7355
"319","CO","02H","ABLA-H-02H","1973",0.729
"320","CO","02H","ABLA-H-02H","1972",0.656
"321","CO","02H","ABLA-H-02H","1971",0.821
"322","CO","02H","ABLA-H-02H","1970",1.6235
"323","CO","02H","ABLA-H-02H","1969",1.737
"324","CO","02H","ABLA-H-02H","1968",1.437
"325","CO","02H","ABLA-H-02H","1967",1.429
"326","CO","02H","ABLA-H-02H","1966",1.3825
"327","CO","02H","ABLA-H-02H","1965",1.9545
"328","CO","02H","ABLA-H-02H","1964",1.826
"329","CO","02H","ABLA-H-02H","1963",1.5245
"330","CO","02H","ABLA-H-02H","1962",1.433
"331","CO","02H","ABLA-H-02H","1961",1.241
"332","CO","02H","ABLA-H-02H","1960",1.441
"333","CO","02H","ABLA-H-02H","1959",1.4935
"334","CO","02H","ABLA-H-02H","1958",1.676
"335","CO","02H","ABLA-H-02H","1957",1.8715
"336","CO","02H","ABLA-H-02H","1956",1.7485
"337","CO","02H","ABLA-H-02H","1955",1.824
"338","CO","02H","ABLA-H-02H","1954",1.8575
"339","CO","02H","ABLA-H-02H","1953",1.6055
"340","CO","02H","ABLA-H-02H","1952",1.2045
"341","CO","02H","ABLA-H-02H","1951",1.084
"342","CO","02H","ABLA-H-02H","1950",1.432
"343","CO","02H","ABLA-H-02H","1949",2.133
"344","CO","02H","ABLA-H-02H","1948",2.2955
"345","CO","02H","ABLA-H-02H","1947",1.9815
"346","CO","02H","ABLA-H-02H","1946",1.7115
"347","CO","02H","ABLA-H-02H","1945",1.9405
"348","CO","02H","ABLA-H-02H","1944",1.5845
"349","CO","02H","ABLA-H-02H","1943",1.295
"350","CO","02H","ABLA-H-02H","1942",1.327
"351","CO","02H","ABLA-H-02H","1941",1.5445
"352","CO","02H","ABLA-H-02H","1940",1.499
"353","CO","02H","ABLA-H-02H","1939",1.1475
"354","CO","02H","ABLA-H-02H","1938",1.9505
"355","CO","02H","ABLA-H-02H","1937",2.017
"356","CO","02H","ABLA-H-02H","1936",1.6265
"357","CO","02H","ABLA-H-02H","1935",1.517
"358","CO","02H","ABLA-H-02H","1934",1.363
"359","CO","02H","ABLA-H-02H","1933",1.1875
"360","CO","02H","ABLA-H-02H","1932",0.801
"361","CO","02H","ABLA-H-02H","1931",1.4025
"362","CO","02H","ABLA-H-02H","1930",1.3395
"363","CO","02H","ABLA-H-02H","1929",0.715
"364","CO","02H","ABLA-H-02H","1928",0.7095
"365","CO","02H","ABLA-H-02H","1927",1.0035
"366","CO","02H","ABLA-H-02H","1926",1.289
"367","CO","02H","ABLA-H-02H","1925",1.0215
"368","CO","02H","ABLA-H-02H","1924",0.991
"369","CO","02H","ABLA-H-02H","1923",1.056
"370","CO","02H","ABLA-H-02H","1922",0.596
"371","CO","02H","ABLA-H-02H","1921",0.392
"372","CO","02H","ABLA-H-02H","1920",0.524
"373","CO","02H","ABLA-H-02H","1919",0.422
"374","CO","02H","ABLA-H-02H","1918",0.362
"375","CO","02H","ABLA-H-02H","1917",0.348
"376","CO","02H","ABLA-H-02H","1916",0.359
"377","CO","02H","ABLA-H-02H","1915",0.288
"378","CO","02H","ABLA-H-02H","1914",0.212
"379","CO","02H","ABLA-H-02H","1913",NA
"380","CO","02H","ABLA-H-02H","1912",NA
"381","CO","02H","ABLA-H-02H","1911",NA
"382","CO","02H","ABLA-H-02H","1910",NA
"383","CO","02H","ABLA-H-02H","1909",NA
"384","CO","02H","ABLA-H-02H","1908",NA
"385","CO","02H","ABLA-H-02H","1907",NA
"386","CO","02H","ABLA-H-02H","1906",NA
"387","CO","02H","ABLA-H-02H","1905",NA
"388","CO","02H","ABLA-H-02H","1904",NA
"389","CO","02H","ABLA-H-02H","1903",NA
"390","CO","02H","ABLA-H-02H","1902",NA
"391","CO","02H","ABLA-H-02H","1901",NA
"392","CO","02H","ABLA-H-02H","1900",NA
"393","CO","02H","ABLA-H-02H","1899",NA
"394","CO","02H","ABLA-H-02H","1898",NA
"395","CO","02H","ABLA-H-02H","1897",NA
"396","CO","02H","ABLA-H-02H","1896",NA
"397","CO","02H","ABLA-H-02H","1895",NA
"398","CO","02H","ABLA-H-02H","1894",NA
"399","CO","02H","ABLA-H-02H","1893",NA
"400","CO","02H","ABLA-H-02H","1892",NA
"401","CO","02H","ABLA-H-02H","1891",NA
"402","CO","02H","ABLA-H-02H","1890",NA
"403","CO","02H","ABLA-H-02H","1889",NA
"404","CO","02H","ABLA-H-02H","1888",NA
"405","CO","02H","ABLA-H-02H","1887",NA
"406","CO","02H","ABLA-H-02H","1886",NA
"407","CO","02H","ABLA-H-02H","1885",NA
"408","CO","02H","ABLA-H-02H","1884",NA
"409","CO","02H","ABLA-H-02H","1883",NA
"410","CO","02H","ABLA-H-02H","1882",NA
"411","CO","02H","ABLA-H-02H","1881",NA
"412","CO","02H","ABLA-H-02H","1880",NA
"413","CO","02H","ABLA-H-02H","1879",NA
"414","CO","02H","ABLA-H-02H","1878",NA
"415","CO","02H","ABLA-H-02H","1877",NA
"416","CO","02H","ABLA-H-02H","1876",NA
"417","CO","02H","ABLA-H-02H","1875",NA
"418","CO","02L","ABLA-H-02L","2013",0.1175
"419","CO","02L","ABLA-H-02L","2012",1.075
"420","CO","02L","ABLA-H-02L","2011",1.3205
"421","CO","02L","ABLA-H-02L","2010",1.152
"422","CO","02L","ABLA-H-02L","2009",1.526
"423","CO","02L","ABLA-H-02L","2008",1.475
"424","CO","02L","ABLA-H-02L","2007",1.2615
"425","CO","02L","ABLA-H-02L","2006",1.2975
"426","CO","02L","ABLA-H-02L","2005",1.474
"427","CO","02L","ABLA-H-02L","2004",1.1015
"428","CO","02L","ABLA-H-02L","2003",0.7665
"429","CO","02L","ABLA-H-02L","2002",1.314
"430","CO","02L","ABLA-H-02L","2001",1.632
"431","CO","02L","ABLA-H-02L","2000",1.302
"432","CO","02L","ABLA-H-02L","1999",0.9365
"433","CO","02L","ABLA-H-02L","1998",1.061
"434","CO","02L","ABLA-H-02L","1997",0.836
"435","CO","02L","ABLA-H-02L","1996",1.1955
"436","CO","02L","ABLA-H-02L","1995",1.0145
"437","CO","02L","ABLA-H-02L","1994",0.6415
"438","CO","02L","ABLA-H-02L","1993",0.827
"439","CO","02L","ABLA-H-02L","1992",0.983
"440","CO","02L","ABLA-H-02L","1991",0.8055
"441","CO","02L","ABLA-H-02L","1990",0.7455
"442","CO","02L","ABLA-H-02L","1989",0.892
"443","CO","02L","ABLA-H-02L","1988",0.946
"444","CO","02L","ABLA-H-02L","1987",0.9325
"445","CO","02L","ABLA-H-02L","1986",0.889
"446","CO","02L","ABLA-H-02L","1985",1.025
"447","CO","02L","ABLA-H-02L","1984",1.025
"448","CO","02L","ABLA-H-02L","1983",0.9205
"449","CO","02L","ABLA-H-02L","1982",0.722
"450","CO","02L","ABLA-H-02L","1981",0.7555
"451","CO","02L","ABLA-H-02L","1980",0.7505
"452","CO","02L","ABLA-H-02L","1979",0.975
"453","CO","02L","ABLA-H-02L","1978",0.7655
"454","CO","02L","ABLA-H-02L","1977",0.78
"455","CO","02L","ABLA-H-02L","1976",0.8985
"456","CO","02L","ABLA-H-02L","1975",1.007
"457","CO","02L","ABLA-H-02L","1974",0.9615
"458","CO","02L","ABLA-H-02L","1973",1.2655
"459","CO","02L","ABLA-H-02L","1972",0.778
"460","CO","02L","ABLA-H-02L","1971",0.773
"461","CO","02L","ABLA-H-02L","1970",1.62
"462","CO","02L","ABLA-H-02L","1969",2.0135
"463","CO","02L","ABLA-H-02L","1968",1.1085
"464","CO","02L","ABLA-H-02L","1967",0.8695
"465","CO","02L","ABLA-H-02L","1966",0.962
"466","CO","02L","ABLA-H-02L","1965",0.677
"467","CO","02L","ABLA-H-02L","1964",0.8965
"468","CO","02L","ABLA-H-02L","1963",1.266
"469","CO","02L","ABLA-H-02L","1962",1.355
"470","CO","02L","ABLA-H-02L","1961",1.2255
"471","CO","02L","ABLA-H-02L","1960",1.2085
"472","CO","02L","ABLA-H-02L","1959",1.117
"473","CO","02L","ABLA-H-02L","1958",1.088
"474","CO","02L","ABLA-H-02L","1957",1.2595
"475","CO","02L","ABLA-H-02L","1956",1.206
"476","CO","02L","ABLA-H-02L","1955",1.324
"477","CO","02L","ABLA-H-02L","1954",1.3685
"478","CO","02L","ABLA-H-02L","1953",1.413
"479","CO","02L","ABLA-H-02L","1952",1.267
"480","CO","02L","ABLA-H-02L","1951",0.8755
"481","CO","02L","ABLA-H-02L","1950",1.587
"482","CO","02L","ABLA-H-02L","1949",1.476
"483","CO","02L","ABLA-H-02L","1948",1.629
"484","CO","02L","ABLA-H-02L","1947",1.495
"485","CO","02L","ABLA-H-02L","1946",1.454
"486","CO","02L","ABLA-H-02L","1945",1.503
"487","CO","02L","ABLA-H-02L","1944",1.446
"488","CO","02L","ABLA-H-02L","1943",0.6
"489","CO","02L","ABLA-H-02L","1942",NA
"490","CO","02L","ABLA-H-02L","1941",NA
"491","CO","02L","ABLA-H-02L","1940",NA
"492","CO","02L","ABLA-H-02L","1939",NA
"493","CO","02L","ABLA-H-02L","1938",NA
"494","CO","02L","ABLA-H-02L","1937",NA
"495","CO","02L","ABLA-H-02L","1936",NA
"496","CO","02L","ABLA-H-02L","1935",NA
"497","CO","02L","ABLA-H-02L","1934",NA
"498","CO","02L","ABLA-H-02L","1933",NA
"499","CO","02L","ABLA-H-02L","1932",NA
"500","CO","02L","ABLA-H-02L","1931",NA
"501","CO","02L","ABLA-H-02L","1930",NA
"502","CO","02L","ABLA-H-02L","1929",NA
"503","CO","02L","ABLA-H-02L","1928",NA
"504","CO","02L","ABLA-H-02L","1927",NA
"505","CO","02L","ABLA-H-02L","1926",NA
"506","CO","02L","ABLA-H-02L","1925",NA
"507","CO","02L","ABLA-H-02L","1924",NA
"508","CO","02L","ABLA-H-02L","1923",NA
"509","CO","02L","ABLA-H-02L","1922",NA
"510","CO","02L","ABLA-H-02L","1921",NA
"511","CO","02L","ABLA-H-02L","1920",NA
"512","CO","02L","ABLA-H-02L","1919",NA
"513","CO","02L","ABLA-H-02L","1918",NA
"514","CO","02L","ABLA-H-02L","1917",NA
"515","CO","02L","ABLA-H-02L","1916",NA
"516","CO","02L","ABLA-H-02L","1915",NA
"517","CO","02L","ABLA-H-02L","1914",NA
"518","CO","02L","ABLA-H-02L","1913",NA
"519","CO","02L","ABLA-H-02L","1912",NA
"520","CO","02L","ABLA-H-02L","1911",NA
"521","CO","02L","ABLA-H-02L","1910",NA
"522","CO","02L","ABLA-H-02L","1909",NA
"523","CO","02L","ABLA-H-02L","1908",NA
"524","CO","02L","ABLA-H-02L","1907",NA
"525","CO","02L","ABLA-H-02L","1906",NA
"526","CO","02L","ABLA-H-02L","1905",NA
"527","CO","02L","ABLA-H-02L","1904",NA
"528","CO","02L","ABLA-H-02L","1903",NA
"529","CO","02L","ABLA-H-02L","1902",NA
"530","CO","02L","ABLA-H-02L","1901",NA
"531","CO","02L","ABLA-H-02L","1900",NA
"532","CO","02L","ABLA-H-02L","1899",NA
"533","CO","02L","ABLA-H-02L","1898",NA
"534","CO","02L","ABLA-H-02L","1897",NA
