Ring_pair,Lag,L01,D01,L02,D02,L03,D03,L04,D04,L05,D05,L06,D06,L07,D07,L08,D08,L10,D10,L11,D11,L12,D12,L13,D13,L14,D14,L15,D15,L16,D16,L17,D17,L18,D18,D19,L19,L20,D20,L21,D21,L22,D22,L23,D23,L24,D24,L25,D25,L26,D26,L27,D27,L28,D28,L29,D29,L30,L31,D31,L32,D32,L33,D33,L34,D34,L35,D35,L36,D36,L37,D37,L38,D38,L39,D39,L40,D40
11,10,0.065,0.26934019,0.702596613,0.487262763,0.644193294,1.07785435,1.73895965,2.379587359,0.1555319,0.62924729,0.1410934,0,0.25396811,1.02013803,0.39167715,0.294721903,0,0,0.51718952,0.70247934,0.56634817,0.11059176,0.76516342,0.31943147,1.15802384,1.11679798,1.03455029,0.311178405,0.18784451,0.07734485,0.38135251,0.76559789,0.11818515,0.495316061,0.25351956,0.34956691,0.17158692,0.48027596,0.24011204,0.22310678,0.08004228,0.17013361,0.063812225,0.15695336,0.043174066,0,0,0,0.124723695,0.28685158,1.47603143,0.80917957,0.261811001,0.459004357,0.46951588,0.387439027,0.64045932,0.52104756,0.26898155,0.29834241,0.60383193,0.45052081,0.449964443,0.01597362,0.477514398,0.44585962,0.23469476,0.122249744,0,0.64110899,0.500783386,1.33556193,0.44621357,3.855710181,2.396016,0.14908691,0.069720872
12,11,0.062241465,0.42672705,0.545066051,0.068183576,0.175111393,0.620278163,1.36519428,0,0.31883962,0.71268533,1.33107243,0.250838594,0.21164009,1.16884773,1.10052848,0.965493138,0.5035474,0.833750562,0.99011363,0.74853027,0.69370422,0.11059176,0.15261584,0,0.71932677,0.61629127,0,0,0.98375602,0.49387934,0.28283622,0.72251594,0.15996524,0.329684698,0.56787028,1.11394197,0.24142773,0.33861483,0.17007834,0.07436893,0.97861302,1.246102,0.185,0.33805783,1.494270725,0.56468039,0.471721316,0.305772791,0.08829496,0.31912213,0.28300442,0,0,0,0.09623151,0,0.57708235,0.39705698,0.1607723,0.4962267,0.611648592,0.10615711,0,0,0,0.36651097,0.27947729,0.850605667,1.885315093,0.76846678,0.312313945,0.92650963,0.47178805,0.912965498,0.477201,0.87736925,0.144544111
13,12,0,0,1.702409175,1.679525231,0.354938023,0.319324287,1.89778685,1.011417322,0,0.34261647,0.1438876,0,0.51188909,0.03004958,1.64511889,1.487131467,0,0,0.520024038,0.09693611,0,0,1.469879,0.79645572,0.84530203,0.52231417,1.46953757,0.772240895,0.80942059,0.86009554,0,0.31889959,0,0.299467861,0.36054808,0.8260071,0,0,0,0,1.27767136,1.08292058,0.069921384,0.0159362,0.590529423,0.24642492,0,0,0,0.115624392,0.6996771,0.63753648,0.434495109,0.166330995,1.29806006,1.679515704,0.35194985,0.17135501,0,0.15030273,0,2.21428571,1.81303337,0.8734844,1.078341319,0.21231411,0,0.009899495,0,0.36762409,0.04249653,0.33813224,0,1.468,0.410449,1.44889916,0.144249783
14,13,1.00141109,1.1220757,0.186118242,0.183,0.049030603,0.207761883,0,0.127534309,0.95463594,1.91775782,1.89254583,0.443226804,1.15862079,2.57112787,1.24458951,1.419332942,0.88289282,0.67504074,2.116117672,2.6535087,1.72682236,0.88314632,0.25939705,0.10677121,0,0,1.12259261,0.739657353,0.87712267,0.69472404,1.53979334,1.60648682,0.77966375,0.821160764,1.30545648,0.93704585,1.44554192,1.96347778,1.11070762,1.6998944,0.92406376,0.92368893,0.740099993,0.80788826,0.569825412,0.53859218,0.499544793,0.152397507,0.296386572,0.632344843,0.98698866,0.43881654,1.491199852,0.578150499,0.11689692,0.319001567,1.63627364,1.12966417,0.97834359,1.5821103,1.755056979,0.42990354,0,0,0.118067777,2.19516768,1.41536414,1.04355594,1.757708167,0.8929984,1.49116806,1.16139083,0.76493754,0.94,0.594644,1.44968163,0.502757397
15,14,0.38146212,0.22567238,1.522542939,1.864240596,0,0,1.29648662,0.708667764,0.23329785,0.3406341,1.18552041,0.686233925,0,0.27704348,0.62442795,1.149802157,0.51450619,0.829294881,0.381477391,0.31912213,0.26930358,0,0.99857848,0.62357413,0.54941408,0.49604574,0.96263046,0.407235804,0,0,0.36831321,0.25497806,NA,NA,0.32899257,0.12698413,0.09038077,0.43759799,0,0.10624133,0.01600846,0,0.063245553,0.17817212,0,0,0.575402468,0.25622256,0,0,1.07534984,0.59835658,1.564701249,0.65987423,0.7783864,1.309076392,0.29377195,0.15028829,0,0,0,1.48816976,0.597331566,0.46868059,0.805526536,0.59485851,0.36184491,0.650129987,0.798935542,0,0.19241122,0.38858922,0.14873786,1.406411746,0.817216,2.24126777,0.272385756
16,15,0.50174003,0.73118469,0.796179,1.381495566,0.294462222,0.483911149,2.43496216,0.695463155,0.82202523,1.34938436,0.93121641,0.419058468,1.61527291,1.97654555,0.3085158,0.873675569,0.3805403,0.407171954,1.940035309,1.38654088,1.30411563,0.49316048,0.55553005,0.53638719,1.27382623,0.92819903,0,0,0.59767613,0.25006238,0.94642459,1.59364826,NA,NA,0.90011592,0.70129276,1.81317821,1.42446762,0.97784208,1.04121919,0.91139781,0.51392697,0.285748141,1.16345166,0.146,0.17521768,0.611709899,0.587218017,0.283557754,0.376820912,0,0,1.570351871,1.084619749,0.9989373,1.214643981,1.1061,1.03426297,0.66177345,1.10551721,0.74150432,0.63339422,0.958501435,0.17071777,0.861734298,2.10362461,1.38700888,0.576799792,0.983272597,0.6069783,1.46859179,1.26708559,0.76758898,0.251246891,0,1.2891968,0.422906609
17,16,0.59535424,0.55411135,1.141606324,1.659289607,NA,NA,2.30855823,1.133806421,0.23319071,1.06325815,0.16931207,0,1.15241869,1.86996805,0.27533555,0.605260275,0,0,1.977002023,1.65790941,1.11854653,0.63086745,1.13775006,0.76175845,1.51940029,1.03714608,0.45131484,0.073736016,1.09973748,0.84600388,0.65216343,1.21114577,NA,NA,1.50260136,1.19216811,1.07253421,1.00925022,0.81297226,0.88340157,2.06974225,0.9962355,0.317737313,0.63445288,0.693865981,0.55500289,0,0,0.212708721,0.291760175,0.34203448,0.22310678,1.556639008,1.079513316,0.72333841,1.313,1.14400343,0.80034685,1.04138178,1.21457257,1.03769008,0.69547089,0.948232566,0.20233255,0.809830229,1.57112438,1.10674705,0,0,0.76698055,0.9502513,1.20370354,0.44671919,1.23371514,1.264329,1.0784512,0.240110391
18,17,0.91787119,0.84472372,0,0.324679842,NA,NA,1.96021277,2.478712569,0.59384908,0.99594783,0.96109358,0.33947754,1.9609571,2.18898385,0.13918454,0.13875518,0.30565138,0.236027541,1.95383162,1.74235773,0.84972858,0.6259219,0.3750272,0.03830585,1.60594467,1.0893881,1.01915368,0.768804917,0.94188345,0.458687,0.74871409,1.30831636,NA,NA,1.69118637,1.0952381,1.03321043,1.12066409,0.80817302,0.52101595,2.28719325,0.65357846,0.518785119,0.46652524,0.419147945,0.76964489,0.102181212,0.286714143,0.061611687,0.404188075,1.69338291,1.30715693,0.98107543,0.350168531,0,0,1.24433063,1.19211866,1.12936078,1.13157097,0.79076668,0,0,0,0,1.57126783,0.85231768,0.559703493,0.654622028,0.60843864,1.10040578,0.74317858,0.78647289,1.786111419,1.789264,0.38572555,0
19,18,0,0,0.599106001,0.769439406,NA,NA,2.02342925,2.227619582,0,0.10834484,1.94892834,0.807703535,0.3412594,0.21248265,0,0.39454911,0.85980708,0.727819346,0.467838647,0.22411632,0.28625263,0,1.64834892,0.67092049,1.85283815,0.65648629,1.41442303,0.914862285,0.94919504,0.86343548,0,0,NA,NA,1.13775286,1.27231901,0,0.1979899,0,0,1.8072547,1.03781244,0,0,0.998434775,1.09387298,0.834175042,0.69146945,0,0,1.54382547,1.03075988,0.66598048,0.318064459,0.37194474,0.250545405,0.29377195,0,0,0,0,0.68535084,0.586287472,0.41585994,0.637765631,0.10825938,0,1.390254653,1.924322218,0,0,0,0,1.923730231,1.620984,0.25910294,0
20,19,1.30767171,0.50551508,1.461458176,1.964294275,NA,NA,1.58187515,1.794879662,0.5965362,1.15992442,1.55228386,0.858918506,1.17341024,1.16865458,0.6687626,0.266580194,1.29607357,0.706884007,1.3233178,0.95670299,0.93589669,0.44157316,1.89497675,1.04657143,1.14726763,0.70282069,1.43474601,0.987446201,0.61391484,0.60855046,0.45197334,0.82867868,NA,NA,1.66786679,1.08506896,0.85284729,0.98588285,0.56567527,0.70137382,2.1046706,0.65822482,0.533885756,1.02785394,0.662004532,0.69056861,1.097175465,0.625991214,0.069921384,0.138600144,1.67830304,1.1662375,0,0,1.08416159,1.21069319,1.03371415,1.09411523,0.49055429,0.76551175,0.664157,1.2832283,1.960760057,0.47049181,1.158454142,1.30815687,0.63886293,1.784838928,1.231618853,0.1815566,0.78618581,0.57291457,0.17130899,2.420492925,2.816476,0.77730883,0.182849665
21,20,1.63249949,1.24176782,2.437324968,1.674526799,NA,NA,1.36519428,2.341288534,1.34434586,1.71308234,2.03663808,0.540712493,1.97132267,2.53077451,NA,NA,1.10632825,1.049400305,1.947812106,1.81700622,1.67236297,0.98204277,2.27943356,1.77636004,1.09951875,0.49504924,1.06629064,0.740790119,0.60106617,0.389632,0.80557295,2.67802834,NA,NA,0.99452361,0.55646185,1.79681166,1.44336967,1.40179054,1.38681559,1.36184829,0.46242444,0.758675161,1.16726537,0.526673523,0.42029154,1.210129332,0.727145102,0.498402448,0.76519344,1.55905165,0.92535049,0,0,1.00956429,2.920541388,1.56822315,1.53397155,1.19160907,1.42431171,1.85493824,2.169868,1.566456192,0.71420336,1.093782885,1.82701191,1.29614417,2.018679024,0.576778987,0.87810928,2.34088,2.03437108,1.18990285,2.641330157,1.627249,NA,NA
22,21,1.70725361,1.37435939,2.550898861,1.566069283,NA,NA,0.88514226,0.765836144,1.04935821,1.62947293,1.46981128,0.474400675,1.68808681,2.25391916,NA,NA,1.21835811,0.707983757,2.13577644,2.19942638,1.96066181,1.25160352,2.20557456,1.47365565,0.4479362,0.20717058,0.95995854,0.624711934,0.72823358,0.45994642,0.99030456,2.42417797,NA,NA,0.7086087,0.60400945,1.59335557,1.48941633,1.08315498,1.78549444,1.14154995,0.38280063,0.80164456,0.95948622,0.275072718,0.41665025,0.697195095,0.59328408,0.533666563,1.115508852,1.05486109,0.69771428,0.72680809,0.226735529,1.20127328,3.63024035,1.81646779,1.488537,1.10490978,1.21326988,1.57552697,1.80779048,2.316605275,1.03301582,1.309244057,1.8107792,1.08386981,2.400162078,0.387765393,1.11135901,0.8289547,1.79689637,1.33880932,1.661452678,0.433209,NA,NA
23,22,1.62849033,0.87757898,3.364786026,2.01380287,NA,NA,0.72776804,0.37335372,1.25513346,1.59757425,1.46737131,0.418516427,1.83773809,2.08330543,NA,NA,0.88823756,0.645619857,2.587706513,2.23470742,2.07889732,1.04173395,1.99256647,0.87221475,0.49001872,0,1.33407301,0.689200261,0.3437975,0.25942252,1.73727254,2.45747296,NA,NA,0.55293681,0.3178569,2.24468769,1.88342666,1.6346326,1.46647668,0.65634669,0.2554767,0.87658428,1.39120368,0.283809795,0.16798228,0.500356873,0.357393341,0.53364595,1.217900242,1.17339417,0.38664318,NA,NA,1.60594217,2.823312416,1.40988135,1.46963963,1.89157302,1.53573799,2.70446261,2.02423549,2.237910633,1.06751401,1.232877934,2.30280072,1.82747432,1.081994917,0.417137867,0.855866,1.93359212,1.66600636,1.557856,1.774284363,0.698529,NA,NA
24,23,1.68889392,1.05753457,2.77799874,1.249960799,NA,NA,1.04320337,1.056108422,1.00418641,1.79216706,1.46737131,0.316829607,1.32456944,1.95484038,NA,NA,1.12195563,0.682281467,2.525003168,2.45102214,1.34517813,1.2056656,1.10881816,0.72368983,0.78007634,0.35059637,0.62991817,0.368925467,0.33392565,0,1.79376921,1.88073325,NA,NA,0.56372879,0.28615486,2.06306075,1.58736417,1.49436835,1.7747231,0.56954517,0.32228967,0.788508719,1.15281629,0.115433964,0,0.556410819,0.355218243,0.588232947,1.095175785,0.71777108,0.25586299,NA,NA,0.92479262,2.878562488,1.58923186,1.39258134,1.17347379,1.45102479,2.42239541,0.67973718,1.276136748,0.58811476,0.722432696,2.5933627,1.31807768,1.185102527,0.271184439,0.70352618,0.78733352,1.32859521,0.675025,1.427774842,0.145625,NA,NA
25,24,1.28513797,1.01150579,1.843167383,1.542142989,NA,NA,NA,NA,0.51214592,0.734684966,0.48054679,0.157003185,1.61180293,1.53002263,NA,NA,0.427933,0.401428699,1.950120253,1.12936078,0.94102025,0.55513013,0.81444016,0.74490247,NA,NA,0.42213684,0.230766115,0.44098419,0.55434154,0.83344554,1.33863479,NA,NA,0.68131333,0.47645495,1.28794495,0.90156142,0.85331905,0.24527715,0.65476128,0.63764712,0.576042533,0.62232846,0.378355653,0.4418924,0.366727419,0.215127869,0.300059994,0.895491485,0.50997294,0,NA,NA,0.69148984,1.806934421,1.1097148,0.79702399,0.85099235,1.04500941,1.16691479,0.49701486,1.041316474,0.80215229,0.720835626,1.02264015,0.42549618,2.245574537,1.188722423,0.64011947,1.16865458,1.11016131,0.700504,0.862538115,0.217876,NA,NA
26,25,0.81177119,0.84949989,1.053589104,1.165189255,NA,NA,NA,NA,0.36870689,0.856266314,0.50871947,0,1.58631274,1.70833937,NA,NA,0.90700677,0,1.957570433,1.10572672,0.94102025,0.49316048,0.22750626,0.31872398,NA,NA,0.49866959,0.375325192,NA,NA,0.74871409,0.92484481,NA,NA,NA,NA,0.83829026,0.83643589,0.77721817,0.4891718,NA,NA,0.354812627,0.61307781,NA,NA,0.28429738,0.087555697,0.208786973,0.603848491,0.59996817,0.45379405,NA,NA,0.44646018,1.342821656,1.08857153,0.83865711,0.62203366,1.06471214,1.19293445,0.32477831,0.630619537,0.39631184,0.575543222,1.42819708,0.33997224,0.123369364,0.718348801,0.53459356,0.9136754,0.57535393,0.263116,1.376605971,0.850625,NA,NA
27,26,0.54491037,0.59579217,0.828329041,0.686895189,NA,NA,NA,NA,0.08483558,0.450711659,0.76190434,0.272943218,1.29100457,1.23239937,NA,NA,0.55790587,0.491781456,0.551710975,0.59533073,0.22646851,0.26338796,0,0.31872398,NA,NA,NA,NA,NA,NA,0.39572881,0.50995611,NA,NA,NA,NA,0.23368159,0.51034573,0.34941434,0.71189616,NA,NA,0.312673952,0.2395736,NA,NA,0.548861549,0.257178926,0.060299254,0.418638269,NA,NA,NA,NA,0.41445271,0.417714017,0.77068836,0.52579426,0.23373092,0.55632319,0.57370316,0.32128972,0.269668315,0.20765709,0.117426573,0.53459326,0.21248265,0.354532086,1.64317315,0.57950506,0.74399276,0.58674818,0.212376,NA,NA,NA,NA
28,27,0.14358433,0.22847587,1.403701535,1.102355659,NA,NA,NA,NA,0.51603471,0.22588714,NA,NA,0.718642,0.63744795,NA,NA,NA,NA,0.326,0.61619969,0,0,0.42981411,0.47178805,NA,NA,NA,NA,NA,NA,0.45219398,0.35204059,NA,NA,NA,NA,0.49796575,0.35102422,0,0.15936199,NA,NA,0.280793518,0.25696348,NA,NA,NA,NA,0,0.421732142,NA,NA,NA,NA,0.37209652,0.886945883,0.47796063,0.32512327,0,0.59516846,0.19123439,0.49972834,0.614996748,0.79868113,0.548342958,0.37079064,0.19123439,NA,NA,0.27600849,0.57996477,0.46468787,0.022464,NA,NA,NA,NA
29,28,0.70377403,0.46386517,NA,NA,NA,NA,NA,NA,0.39991877,0.306111091,NA,NA,0.8433798,0.87117887,NA,NA,NA,NA,0.658,0.97742019,0.58359598,0,NA,NA,NA,NA,NA,NA,NA,NA,0.60750339,0.86055094,NA,NA,NA,NA,0.69784511,0.80668767,0.47353073,0.40371704,NA,NA,0.494158881,0.96634355,NA,NA,NA,NA,0.169168555,0.616228854,NA,NA,NA,NA,NA,NA,0.73356534,0.63761919,0.4679445,0.59516846,0.74853027,NA,NA,NA,NA,1.19368874,0.6812712,NA,NA,0.5135196,0.57409651,0.70646629,0.196921,NA,NA,NA,NA
