,X,State,Species,Band,Pair,Comp,Tag,Lat,Long,Elev,Aspect,Slope,DBH,Bark,BAF,PIPO_L,PIPO_R,PIPO_G,POTR_L,POTR_R,POTR_G,PIEN_L,PIEN_R,PIEN_G,PSME_L,PSME_R,PSME_G,ABLA_L,ABLA_R,ABLA_G,PIED_L,PIED_R,PIED_G,QUGA_L,QUGA_R,QUGA_G,Jun_sp_L,Jun_sp_R,Jun_sp_G,BA_tot,BA_sameL,BA_sameLR,BA_sameRG,BA_same_all,BA_otherL,BA_otherLR,BA_otherRG,BA_other_all,BA_totL,BA_totR,BA_totG,PIPO_5,PIPO_5d,POTR_5,POTR_5d,PIEN_5,PIEN_5d,ABLA_5,ABLA_5d,PSME_5,PSME_5d,PIED_5,PIED_5d,QUGA_5,PIPU_5,PIPU_5d,Jun_sp_5,Jun_sp_5d,in5_tot,in5_L,in5_same,in5_sameL,in5_other,in5_otherL,N_Cr,p_bot.of.canopy.,p_top.of.canopy.,p_base.ref.,dist,three_cams,Notes,pic_N,pic_S,PIPO_r1,PIPO_r2,PIPO_r3,PIPO_r4,PIPO_reg_dead,POTR_r1,POTR_r2,POTR_r3,POTR_r4,POTR_reg_dead,PSME_r1,PSME_r2,PSME_r3,PSME_r4,PSME_rdead,ABLA_r1,ABLA_r2,ABLA_r3,ABLA_r4,ABLA_rt,ABLA_rdead,PIEN_r1,PIEN_r2,PIEN_r3,PIEN_r4,PIEN_rt,PIEN_rdead,PIED_R1,PIED_r2,PIED_r3,PIED_r4,PIED_rdead,Jun_spR1,Jun_spr2,Jun_spr3,Jun_spr4,Jun_sprdead,other,PairUn,ACF,Height,BA_totLR,DBHsc,BA_totLRsc,N_Crsc,in5_totsc,ACFsc,BAI10yr,BAI10yrtot,BAI10yrmax,BAI10yrmin,BAI10yrsd,BAI10yrCV
5,95,CO,PIPO,H,3,H,PIPO-H-3H,37.48592,108.2506,2673,S,3,64.3,3.6,10,1,0,0,0,1,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,10,10,0,10,40,50,40,80,50,10,30,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,5,5,0,0,5,5,6,45.5,133,-9,18,,originally entered into wrong spreadsheet and shifted,252,253,0,0,0,0,NA,8,21,5,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,H3,0.616197183,25.56,60,1.549469268,-0.592745322,1.461305007,0.147981668,-0.008430913,1377.968607,13779.68607,1768.713833,752.4720104,339.4139924,0.24631475
6,96,CO,PIPO,H,3,L,PIPO-H-3L,37.48549,108.25059,2672,S,2,74.2,5.7,10,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,10,10,0,10,20,20,10,30,30,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,126,-1.7,19,,originally entered into wrong spreadsheet and shifted,254,255,0,0,0,0,NA,8,13,4,4,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,H3,0.767423649,24.263,30,2.542835379,-1.235723298,-0.830938141,-1.244786971,0.912580854,2212.648012,22126.48012,2769.283655,1317.016214,444.3011056,0.200800626
7,97,CO,PIPO,H,4,H,PIPO-H-4H,37.48365,108.2522,2668,S,2,60.3,5.9,10,9,0,0,1,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,90,90,0,90,60,60,20,80,150,0,20,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,9,7,0,0,9,7,4,50.5,128,-12.2,17,,originally entered into wrong spreadsheet and shifted,264,265,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,H4,0.55278174,23.834,150,1.148109223,1.336188607,0.544407748,1.262196579,-0.394648818,1171.121156,11711.21156,1822.363112,646.2350862,390.4463586,0.333395359
8,98,CO,PIPO,H,4,L,PIPO-H-4L,37.48371,108.25212,2666,SSE,5,59.2,3.8,10,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,50,50,0,50,10,10,0,10,60,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,1,24,150,-15,13,,originally entered into wrong spreadsheet and shifted,266,267,0,0,0,0,NA,0,12,14,0,"2,2,2",0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,H4,0.763636364,21.45,60,1.03773521,-0.592745322,-0.830938141,-0.687679515,0.889515218,4479.247004,44792.47004,5868.838147,3378.232142,740.2932381,0.165271805
9,99,CO,PIPO,H,5,H,PIPO-H-5H,37.46877,108.22702,2699,WSW,4,51.3,3,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,0,50,0,0,0,0,50,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,5,4,4,1,1,5,31,123,-8,17,,,288,289,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,H5,0.702290076,22.27,50,0.245049121,-0.807071314,1.002856377,0.147981668,0.515899052,2229.541969,22295.41969,3306.521691,1696.522138,485.3927383,0.217709622
10,100,CO,PIPO,H,5,L,PIPO-H-5L,37.46886,108.22683,2692,WSW,4,56.9,4.2,5,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,35,35,0,35,5,5,0,5,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,105,-9.3,17,,,290,291,0,0,0,0,"2,",1,1,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,H5,0.857392826,19.431,40,0.806953184,-1.021397306,-1.289386771,-1.244786971,1.460518476,2906.799703,29067.99703,5273.800032,1808.652835,997.7647438,0.343251977
11,101,CO,PIPO,H,6,H,PIPO-H-6H,37.46813,108.22678,2689,SW,4,60.4,5,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,65,65,0,65,0,0,0,0,65,0,0,5,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,13,13,5,5,8,8,5,9,107,-13.4,15,,,292,293,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,H6,0.813953488,18.06,65,1.158143224,-0.485582326,1.002856377,2.376411489,1.195960678,523.8467784,5238.467784,752.681202,386.7669387,121.3344736,0.231622067
12,102,CO,PIPO,H,6,L,PIPO-H-6L,37.4683,108.22658,2699,SW,5,53.8,4.3,5,4,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,65,20,20,0,20,25,25,20,45,45,0,20,0,0,3,4,0,0,0,0,0,0,0,0,2,0,0,0,0,9,5,0,0,9,5,0,38,106,-15.1,12,,2 dead aspen crowns touching,294,295,0,0,0,0,NA,0,2,0,0,"2,",0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,H6,0.561519405,14.532,45,0.495899149,-0.91423431,-1.289386771,1.262196579,-0.341433977,2915.25591,29152.5591,4333.374185,2043.360175,664.9974666,0.228109465
13,103,CO,PIPO,H,7,H,PIPO-H-7H,37.46772,108.22676,2681,SW,2,53.2,3,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,80,80,0,80,0,0,0,0,80,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,5,50.7,138,-9.1,16,,,296,297,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,H7,0.593473827,23.536,80,0.435695143,-0.164093338,1.002856377,-0.13057206,-0.146822548,1326.996188,13269.96188,2331.108049,930.1112504,404.8200211,0.305064947
14,104,CO,PIPO,H,7,L,PIPO-H-7L,37.46781,108.22659,2688,SW,2,49.1,4,5,7,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,35,35,0,35,5,15,10,15,40,10,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,2,4,2,0,14.4,101,-14.3,16,,,298,299,0,0,0,1,NA,0,0,0,1,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,H7,0.751084128,18.448,50,0.024301096,-0.807071314,-1.289386771,0.426535396,0.81306857,1639.716127,16397.16127,2504.892454,1191.089133,394.0151565,0.240294738
15,105,CO,PIPO,H,8,H,PIPO-H-8H,37.46493,108.22893,2688,WSW,3,44.4,3.2,5,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,50,50,0,50,0,0,10,10,50,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,5,21.6,108,-8.6,17,,,300,301,0,0,0,0,NA,1,3,0,4,"1,2",0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,H8,0.740994854,19.822,50,-0.447296956,-0.807071314,1.002856377,-0.409125788,0.751622049,1946.077529,19460.77529,2954.881959,1542.87426,414.5932496,0.213040459
16,106,CO,PIPO,H,8,L,PIPO-H-8L,37.465,108.22871,2684,WSW,3,48.2,2.8,5,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,50,20,20,0,20,20,20,10,30,40,0,10,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,2,0,1,42.3,119,-5.5,17,,,302,303,0,0,0,0,NA,0,0,0,0,"4,",0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,H8,0.616064257,21.165,40,-0.066004914,-1.021397306,-0.830938141,-0.409125788,-0.00924047,3642.005287,36420.05287,5622.007055,2409.178383,950.9757316,0.261113221
17,107,CO,PIPO,H,9,H,PIPO-H-9H,37.46433,108.22867,2678,SW,2,48.8,3.6,5,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,100,100,0,100,0,0,5,5,100,0,5,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,12,12,1,0,7,36.4,140,-10.2,17,,,304,305,0,0,0,0,NA,1,9,0,0,"2,2,2,2,3,3,3,3",0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,H9,0.689747004,25.534,100,-0.005800907,0.264558646,1.919753636,2.376411489,0.439508209,1333.954801,13339.54801,1825.56876,1046.038292,239.3502112,0.179429026
18,108,CO,PIPO,H,9,L,PIPO-H-9L,37.46423,108.22877,2679,SW,2,57.3,3.3,5,11,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,55,55,0,55,0,0,25,25,55,0,25,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,1,4,0,2,16.7,105,-6.5,17,,1 dead aspen crown touching,306,307,0,0,0,0,NA,7,12,0,0,"1,3,2,2,2",0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,H9,0.791928251,18.955,55,0.847089189,-0.699908318,-0.372489512,0.147981668,1.06182078,3103.974239,31039.74239,4788.390994,2143.558284,754.930668,0.243214218
25,115,CO,PIPO,L,1,H,PIPO-L-01H,37.41583,108.33578,2292,SE,56,39,3,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,115,105,105,0,105,10,10,0,10,115,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,4,22.4,88.8,-4.7,22,,,400,401,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,L1,0.710160428,20.57,115,-0.989133017,0.586047635,0.544407748,-0.409125788,0.563831709,1062.767293,10627.67293,1662.123833,564.6975441,366.3140234,0.344679429
26,116,CO,PIPO,L,1,L,PIPO-L-01L,37.41592,108.33591,2294,SSE,3,38,3.7,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,0,50,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,68.8,-4.3,26,,,402,403,0,0,1,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,2,0,0,NA,0,0,0,0,NA,NA,L1,0.872777018,19.006,50,-1.089473028,-0.807071314,-0.830938141,-1.244786971,1.554212537,446.8300379,4468.300379,645.8179809,283.6880786,125.9985559,0.281983182
43,133,CO,PIPO,L,10,H,PIPO-L-10H,37.39123,108.30937,2241,SW,5,38.3,3.9,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,60,30,30,0,30,25,25,5,30,55,0,5,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,7,6,2,2,5,4,3,15.5,65.9,-11,19,,private on burl guy's land,436,437,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,1,1,0,0,NA,NA,L10,0.655396619,14.611,55,-1.059371025,-0.699908318,0.085959118,0.705089123,0.230304691,660.8138335,6608.138335,904.1889884,302.4370321,164.8262644,0.249429198
44,134,CO,PIPO,L,10,L,PIPO-L-10L,37.39138,108.30949,2245,SW,10,43.3,3.5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,35,25,25,0,25,10,10,0,10,35,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,2,2,1,1,2,4,56,-17.1,20,,private on burl guy's land,438,439,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,3,0,1,3,NA,1,1,2,0,NA,NA,L10,0.711354309,14.62,35,-0.557670969,-1.128560302,-0.372489512,-0.409125788,0.571102783,808.9386104,8089.386104,1213.04583,354.4956602,285.9249307,0.353456896
27,117,CO,PIPO,L,2,H,PIPO-L-2H,37.41694,108.33577,2308,S,5,37.8,3.9,5,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,145,145,0,145,0,0,0,0,145,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,11,10,10,1,1,4,34.2,70.3,-0.5,32,,,404,405,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,L2,0.509887006,22.656,145,-1.109541031,1.229025611,0.544407748,1.819304034,-0.655889832,542.6951845,5426.951845,754.7712698,253.4233078,167.1218545,0.307947922
28,118,CO,PIPO,L,2,L,PIPO-L-2L,37.41686,108.3358,2302,S,5,39.8,3.5,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,125,0,125,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,77.9,-1.5,23,,,406,407,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,L2,0.615869018,18.262,125,-0.908861008,0.800373627,-1.289386771,-1.244786971,-0.010429533,596.9320834,5969.320834,851.3232372,393.0777418,166.7967668,0.279423357
29,119,CO,PIPO,L,3,H,PIPO-L-3H,37.41505,108.33302,2298,SSW,6,46.8,3.8,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,0,130,0,0,0,0,130,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,3,3,1,1,4,24.2,92.2,-16.8,22,,,408,409,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,4,NA,L3,0.623853211,23.98,130,-0.206480929,0.907536623,0.544407748,-0.13057206,0.038196453,827.1487682,8271.487682,1188.063312,449.2070721,273.165281,0.330249275
30,120,CO,PIPO,L,3,L,PIPO-L-3L,37.41505,108.33302,2304,SSW,10,53.5,3.3,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,90,0,90,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,104,-13.7,23,,,410,411,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,L3,0.637213254,27.071,90,0.465797146,0.050232654,-1.289386771,-1.244786971,0.119562878,1336.675392,13366.75392,1789.074649,729.3264145,321.9906631,0.240889198
31,121,CO,PIPO,L,4,H,PIPO-L-4H,37.41517,108.33176,2298,SSW,15,35.5,2.7,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,170,160,160,0,160,10,10,0,10,170,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,9,8,8,1,1,4,42.4,85.5,-4.4,21,,,412,413,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,1,1,NA,0,0,0,0,NA,NA,L4,0.47942158,18.879,170,-1.340323057,1.764840591,0.544407748,1.262196579,-0.841432856,614.4902527,6144.902527,853.267576,327.3265001,196.864527,0.320370463
