,State,Species,Band,Pair,Comp,Tag,Lat,Long,Elev,Slope,Aspect,DBH,Bark,BAF,ABLA_L,ABLA_R,ABLA_G,PSME_L,PSME_R,PSME_G,PIEN_L,PIEN_R,PIEN_G,PIMO_L,PIMO_R,PIMO_G,LAOC_L,LAOC_R,LAOC_G,TSHE_L,TSHE_R,TSHE_G,THPL_L,THPL_R,THPL_G,ABGR_L,ABGR_R,ABGR_G,PIAL_L,PIAL_R,PIAL_G,PICO_L,PICO_R,PICO_G,Pop_sp_L,Pop_sp_R,Pop_sp_G,BA_tot,BA_sameL,BA_sameLR,BA_sameRG,BA_same_all,BA_otherL,BA_otherLR,BA_otherRG,BA_other_all,BA_totL,BA_totR,BA_totG,ABLA_5,ABLA_5d,PSME_5,PSME_5d,PIEN_5,PIEN_5d,LAOC_5nw,LAOC_5dnw,PIMO_5,PIMO_5d,TSHE_5,TSHE_5d,THPL_5,THPL_5d,ABGR_5,ABGR_5d,PICO_5,PICO_5D,PIAL_5,PIAL_5d,in5_tot,in5_L,in5_same,in5_sameL,in5_other,in5_otherL,p_bot.of.canopy.,p_top.of.canopy.,p_base.ref.,dist,Height,N_Cr,p_taller,pic_N,pic_S,ABLA_r1,ABLA_r2,ABLA_r3,ABLA_r4,ABLA_rt,ABLA_rdead,PSME_r1,PSME_r2,PSME_r3,PSME_r4,PSME_rt,PSME_rdead,PIEN_r1,PIEN_r2,PIEN_r3,PIEN_r4,PIEN_rdead,PIMO_r1,PIMO_r2,PIMO_r3,PIMO_r4,PIMO_rdead,LAOC_r1,LAOC_r2,LAOC_r3,LAOC_r4,LAOC_rdead,TSHE_r1,TSHE_r2,TSHE_r3,TSHE_r4,TSHE_r5,TSHE_rdead,THPL_r1,THPL_r2,THPL_r3,THPL_r4,THPL_r5,THPL_rdead,ABGR_r1,ABGR_r2,ABGR_r3,ABGR_r4,ABGR_rdead,PIAL_r1,PIAL_r2,PIAL_r3,PIAL_r4,PIAL_rdead,PICO_r1,PICO_r2,PICO_r3,PICO_r4,PICO_r5,PICO_rdead,PairUn,ACF,BA_totLR,DBHsc,BA_totLRsc,N_Crsc,in5_totsc,ACFsc,BAI10yr,BAI10yrtot,BAI10yrmax,BAI10yrmin,BAI10yrsd,BAI10yrCV
5,MT,ABLA,H,3,C,ABLA-H-3C,48.62897,113.83404,2272,56.7,240,19.6,1.1,5,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,65,70,5,70,0,0,0,0,65,5,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,11,10,0,0,15,35.7,0,14,4.998,4,0.8,990,991,28,60,34,18,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,H3,0.579831933,70,-0.786255682,-0.93327593,1.094149849,0.105897324,-0.651997692,177.4627254,1774.627254,271.5641007,135.2533926,44.19633961,0.249045762
6,MT,ABLA,H,3,N,ABLA-H-3N,48.62894,113.8343,2266,44.9,260,19.5,0.8,5,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,45,45,5,50,0,0,0,0,45,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,0,0,5.5,29,-1.2,13,3.926,1,0.9,988,989,54,44,28,16,0,"3,",0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,H3,0.778145695,45,-0.807901114,-1.440342147,-0.760058292,0.105897324,0.598939489,176.7842067,1767.842067,209.1774797,156.0862619,18.55230056,0.104943201
7,MT,ABLA,H,4,C,ABLA-H-4C,48.62841,113.83382,2269,41.1,230,19.7,0.5,5,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,80,55,60,10,65,10,10,5,15,65,5,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,14,12,12,2,2,0.1,25.8,-13,14,5.432,2,1,992,993,6,3,13,5,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,1,NA,0,0,0,0,0,NA,H4,0.662371134,70,-0.76461025,-0.93327593,-0.141988912,0.679292589,-0.131351246,501.559961,5015.59961,581.8205412,364.6808245,67.49878771,0.134577703
8,MT,ABLA,H,4,N,ABLA-H-4N,48.62834,113.83387,2266,50.3,220,19.8,0.6,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,60,40,40,0,40,20,20,0,20,60,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,4,4,1,1,-7.9,23.3,-7.9,14,4.368,0,1,994,995,4,16,6,2,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,1,0,0,NA,0,0,0,0,0,NA,H4,1,60,-0.742964819,-1.136102417,-1.378127672,-1.040893207,1.998367319,607.7310344,6077.310344,735.4159073,484.4429617,75.61324297,0.124418927
9,MT,ABLA,H,5,C,ABLA-H-5C,48.62811,113.83382,2263,4.7,260,23.5,0.7,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,105,105,0,105,0,0,0,0,105,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18,19,18,0,0,4,36.3,-13.3,10,4.96,3,0.9,996,997,8,32,9,11,0,"2,3,",0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,1,0,0,NA,0,0,0,0,0,NA,H5,0.651209677,105,0.057916155,-0.223383225,0.476080469,1.634951365,-0.201756249,197.4546883,1974.546883,305.1112115,154.4005579,48.4959868,0.245605649
10,MT,ABLA,H,5,N,ABLA-H-5N,48.62802,113.83369,2268,49.3,270,21.2,1.6,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,55,55,0,55,0,0,0,0,55,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,0,0,-4.5,55.6,-6.4,12,7.44,0,1,998,999,15,20,5,2,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,1,0,0,0,NA,0,0,0,0,0,NA,H5,0.969354839,55,-0.439928774,-1.23751566,-1.378127672,-0.276366187,1.805061664,507.0371503,5070.371503,663.0429816,322.0549885,98.38312981,0.194035348
11,MT,ABLA,H,6,C,ABLA-H-6C,48.62655,113.83418,2231,36.4,230,30.9,1.5,5,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,75,75,5,80,0,0,0,0,75,0,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,19,19,0,0,6.8,42.3,-8.4,12,6.084,4,0.75,1030,1031,21,24,3,6,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,1,NA,0,0,0,0,0,NA,H6,0.700197239,75,1.659678102,-0.831862686,1.094149849,1.634951365,0.107250856,296.526762,2965.26762,347.2644993,250.023312,36.53838699,0.123221212
12,MT,ABLA,H,6,N,ABLA-H-6N,48.62641,113.83421,2229,37.3,220,28.1,1.1,5,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,50,55,10,60,0,0,0,0,50,5,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,8,7,7,1,1,-5.9,32.3,-11.9,12,5.304,2,1,1028,1029,5,9,5,6,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,H6,0.864253394,55,1.053606014,-1.23751566,-0.141988912,-0.467497942,1.142095546,763.5594361,7635.594361,887.1891457,651.5956902,81.73456822,0.107044147
13,MT,ABLA,H,7,C,ABLA-H-7C,48.62716,113.83432,2241,65,245,27.5,1.5,5,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,80,85,10,90,0,0,0,0,80,5,5,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,10,9,8,2,2,6.7,47.1,-6.5,11,5.896,4,0.8,1032,1033,13,26,5,3,0,"2,",0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,H7,0.753731343,85,0.923733424,-0.629036199,1.094149849,0.105897324,0.444936961,317.5296816,3175.296816,359.0795887,261.9875846,35.00423338,0.110239248
14,MT,ABLA,H,7,N,ABLA-H-7N,48.62713,113.83434,2239,44.6,230,27,1,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,60,0,60,0,0,0,0,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,-4.6,48.2,-16,11,7.062,1,1,1034,1035,1,9,2,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,H7,0.822429907,60,0.815506265,-1.136102417,-0.760058292,-1.805420228,0.878278479,736.6046214,7366.046214,848.6970307,568.8301593,99.77021994,0.135446096
15,MT,ABLA,H,8,C,ABLA-H-8C,48.62632,113.83479,2211,38.5,230,23.5,1,5,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,80,80,5,85,0,0,0,0,80,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,0,0,18.6,48.6,5.1,10,4.35,5,0.5,1036,1037,9,20,2,8,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,1,0,0,NA,0,0,0,0,0,NA,H8,0.689655172,80,0.057916155,-0.730449443,1.712219229,0.679292589,0.040752886,260.3107688,2603.107688,336.6224312,179.4350167,43.39464846,0.16670324
16,MT,ABLA,H,8,N,ABLA-H-8N,48.62631,113.83472,2213,50.1,250,22.8,1.2,5,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,60,60,5,65,0,0,0,0,60,0,5,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,10,9,0,0,7.8,57.3,-7,11,7.073,2,1,1038,1039,13,25,13,6,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,H8,0.769828927,60,-0.093601867,-1.136102417,-0.141988912,-0.085234431,0.546478405,341.7078737,3417.078737,424.0828603,274.7302167,51.82564139,0.151666512
17,MT,ABLA,H,9,C,ABLA-H-9C,48.62602,113.8354,2181,41.7,260,20.6,0.8,5,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,45,45,5,50,0,0,0,0,45,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,0,0,12.7,41.7,-9.5,12,6.144,3,0.9,1040,1041,22,39,6,3,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,1,0,0,NA,0,0,0,0,0,NA,H9,0.56640625,45,-0.569801365,-1.440342147,0.476080469,0.870424345,-0.736685137,351.0368918,3510.368918,564.9773854,247.6317307,85.09372771,0.242406795
18,MT,ABLA,H,9,N,ABLA-H-9N,48.62601,113.83546,2180,38.1,260,21.7,1.1,5,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,120,125,10,130,0,0,0,0,120,5,5,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,13,12,0,0,1.1,77.5,-12,6.5,5.8175,1,1,1042,1043,19,24,3,5,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,2,0,0,NA,0,0,0,0,0,NA,H9,0.853631285,125,-0.331701616,0.182269748,-0.760058292,0.488160834,1.075092678,202.1872144,2021.872144,252.9230374,164.0162842,28.65489993,0.141724589
43,MT,ABLA,L,10,C,ABLA-L-10C,48.61726,113.84732,1601,33.91,260,22.1,0.9,10,10,0,1,5,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,100,100,10,110,60,60,40,100,160,0,50,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,6,5,2,2,41.7,82.1,-6.4,20,17.7,3,30,906,907,3,3,6,5,0,"4,3",4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L10,0.456497175,160,-0.245119889,0.892162453,0.476080469,-0.467497942,-1.429977153,292.8614141,2928.614141,412.7582333,99.31103422,90.89758352,0.310377466
44,MT,ABLA,L,10,N,ABLA-L-10N,48.61721,113.84757,1598,33.71,280,23.9,0.8,10,3,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,30,30,0,30,80,80,0,80,110,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,2,2,30.1,64,0.5,17,10.795,1,30,908,909,9,6,3,2,0,"3,3",3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L10,0.533858268,110,0.144497882,-0.121969982,-0.760058292,-1.423156718,-0.941993536,703.2319297,7032.319297,965.6941658,180.8444082,237.8016578,0.338155376
45,MT,ABLA,L,11,C,ABLA-L-11C,48.61773,113.84765,1590,51.81,275,20.8,0.9,10,9,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,90,90,0,90,30,30,10,40,120,0,10,8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,10,8,8,2,2,62,110,-12.4,14,17.136,3,40,910,911,0,2,0,1,0,NA,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L11,0.392156863,120,-0.526510501,0.080856505,0.476080469,-0.085234431,-1.835827397,315.9033871,3159.033871,385.7143277,266.0365745,38.83823616,0.122943399
