# Trouet and Taylor 2009 Winter PNA Reconstruction
#----------------------------------------------------------------------- 
#               World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available),
# and date accessed when using these downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/8697
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-recon-8697.json
#   Study_Level_JSON_Description: JSON metadata of this file's parent study, which includes all study metadata.
#
# Data_Type: Climate Reconstructions
# 
# Dataset_DOI: 10.25921/btbf-y606
#
# Science_Keywords: Atmospheric and Oceanic Circulation Patterns Reconstruction
#-------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/reconstructions/pna-trouet2009-noaa.txt
#   Data_Download_Description: NOAA Template File; Winter Pacific North American Reconstruction Data
#
#-------------------
# Contribution_Date
#   Date: 2009-07-01
#-------------------
# File_Last_Modified_Date
#   Date: 2025-06-16
#-------------------
# Title
#   Study_Name: Trouet and Taylor 2009 Winter PNA Reconstruction
#-------------------
# Investigators
#   Investigators: Trouet, V.; Taylor, A.H.
#-------------------
# Description_Notes_and_Keywords
#   Description: Winter Pacific North American (PNA) pattern reconstruction 1725-1999, based on three tree ring chronologies from the International Tree Ring Data Bank (ITRDB): North Fork Ridge (ITRDB MT111) 45N 111W, Mount Everts (ITRDB WY027) 44N 110W, Fish Trap (ITRDB AK086) 60N 154W
#-------------------
# Publication
#   Authors: Trouet, V. and A.H. Taylor
#   Journal_Name: Climate Dynamics
#   Published_Title: Multi-century variability in the Pacific North American circulation pattern reconstructed from tree rings.
#   Published_Date_or_Year: 2009-06-16
#   Volume: 35
#   Issue: 
#   Pages: 953-963
#   Report_Number: 
#   DOI: 10.1007/s00382-009-0605-9
#   Full_Citation: 
#   Abstract: We here present a reconstruction (1725–1999) of the winter Pacific North American (PNA) pattern based on three winter climate sensitive tree ring records from the western USA. Positive PNA phases in our record are associated with warm phases of ENSO and PDO and the reorganization of the PNA pattern towards a positive mode is strongest when ENSO and PDO are in phase. Regime shifts in our PNA record correspond to climatic shifts in other proxies of Pacific climate variability, including two well-documented shifts in the instrumental period (1976 and 1923). The correspondence breaks down in the early 19th century, when our record shows a prolonged period of positive PNA, with a peak in 1800–1820. This period corresponds to a period of low solar activity (Dalton Minimum), suggesting a ‘positive PNA like’ response to decreased solar irradiance. The distinct 30-year periodicity that dominates the PNA reconstruction in the 18th century and again from 1875 onwards is disrupted during this period.
#-------------------
# Funding_Agency
#   Funding_Agency_Name: US Forest Service
#   Grant_Number: Pacific Southwest Research Station, 04-JV-11272162-407
#-------------------
# Funding_Agency
#   Funding_Agency_Name: USA Joint Fire Science Program
#   Grant_Number: 
#-------------------
# Funding_Agency
#   Funding_Agency_Name: The Pennsylvania State University
#   Grant_Number: George S. Deike Research Grant (College of Earth and Mineral Sciences)
#-------------------
# Site_Information
#   Site_Name: Mount Everts, Fish Trap, North Fork Ridge
#   Location: Alaska
#   Northernmost_Latitude: 60.48
#   Southernmost_Latitude: 44.98
#   Easternmost_Longitude: -110.67
#   Westernmost_Longitude: -154.33
#   Elevation_m:
#-------------------
# Data_Collection
#   Collection_Name: PNA_trouet2009
#   First_Year: 1725
#   Last_Year: 1999
#   Time_Unit: CE
#   Core_Length_m: 
#   Parameter_Keywords: reconstructions
#   Notes: 
#-------------------
# Chronology_Information
#    Chronology:
#-------------------
# Variables 
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Variables format: shortname <tab> what,material,error,units,seasonality,data_type,detail,method, C(har) or N(umeric) data,additional information
#
## age	age,,,year Common Era,,climate reconstructions;tree ring,,,N,
## pna	Pacific-North American Pattern,,,dimensionless,winter,climate reconstructions;tree ring,,,N,
#-------------------------------
# Data: 
# Missing_Values: NA
age	pna
1982	-0.0450
1983	0.6913
1984	1.8484
1985	0.6289
1986	1.5102
1987	1.7700
1988	1.0523
1989	0.8249
1990	0.2242
1991	0.2190
1992	-0.3784
1993	-2.3454
1994	0.9057
1995	0.7933
1996	-0.3155
1997	-0.2859
1998	0.9402
1999	-0.1747
