age_CE,BIG026A_raw,BIG026B_raw,BIG035A_raw,BIG035B_raw,BIG041E_raw,BIG041W_raw,BIG047NE_raw,BIG047SW_raw,BIG050A_raw,BIG050B_raw,BIG052A_raw,BIG052B_raw,BIG055A_raw,BIG055B_raw,BIG026A_raw_outlier_flag,BIG026B_raw_outlier_flag,BIG035A_raw_outlier_flag,BIG035B_raw_outlier_flag,BIG041E_raw_outlier_flag,BIG041W_raw_outlier_flag,BIG047NE_raw_outlier_flag,BIG047SW_raw_outlier_flag,BIG050A_raw_outlier_flag,BIG050B_raw_outlier_flag,BIG052A_raw_outlier_flag,BIG052B_raw_outlier_flag,BIG055A_raw_outlier_flag,BIG055B_raw_outlier_flag
1843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,1.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86,2.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,1.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81,1.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74,1.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93,1.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63,2.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.16,2.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA
1851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38,1.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.89,2.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,1.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09,1.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1857,NA,NA,0.41,1.19,NA,NA,NA,NA,NA,NA,0.38,1.59,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1858,NA,NA,0.75,1.54,NA,NA,NA,NA,NA,NA,1.04,1.76,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1859,NA,NA,0.78,2.01,NA,NA,NA,NA,NA,NA,0.69,1.23,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1860,NA,NA,0.85,2.26,NA,NA,NA,NA,NA,NA,0.59,1.36,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1861,NA,NA,0.91,2.42,NA,NA,NA,NA,NA,NA,0.73,1.59,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1862,NA,NA,0.69,2.11,NA,NA,NA,NA,NA,NA,0.68,1.36,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1863,NA,NA,0.67,2.84,NA,NA,NA,NA,NA,NA,0.58,1.12,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1864,NA,NA,0.68,2.34,NA,NA,NA,NA,NA,NA,0.56,1.12,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1865,NA,NA,0.82,2.3,NA,NA,NA,NA,NA,NA,0.32,0.82,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1866,NA,NA,1.09,2.99,NA,NA,NA,NA,NA,NA,0.64,1.19,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1867,NA,NA,1.1,2.97,NA,NA,NA,NA,NA,NA,0.53,1.54,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1868,NA,NA,1.08,2.51,NA,NA,NA,NA,NA,NA,0.65,1.17,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1869,NA,NA,1.3,3,1.61,1.5,NA,NA,NA,NA,0.62,1.19,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1870,NA,NA,0.6,1.8,1.01,0.88,NA,NA,NA,NA,0.52,0.84,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1871,NA,NA,0.84,1.91,1.06,0.89,NA,NA,NA,NA,0.6,1,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1872,NA,NA,1.02,2.18,1.18,1.34,NA,NA,NA,NA,0.53,1.18,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1873,NA,NA,0.6,1.56,0.68,0.73,NA,NA,NA,NA,0.31,0.75,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1874,NA,NA,1.1,2.06,0.89,0.98,NA,NA,NA,NA,0.91,1.51,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1875,NA,NA,1.1,2.5,1.51,1.32,NA,NA,NA,NA,0.97,1.5,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1876,NA,NA,0.99,1.73,1.47,1.13,NA,NA,NA,NA,0.62,1.35,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1877,NA,NA,0.72,1.68,1.37,1.31,NA,NA,NA,NA,0.65,1.21,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1878,NA,NA,1.44,2.83,1.72,1.34,NA,NA,NA,NA,0.82,1.49,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1879,NA,NA,1.06,1.25,1.27,1.23,NA,NA,NA,NA,0.44,1.13,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1880,NA,NA,0.76,1.7,0.74,0.9,NA,NA,NA,NA,0.62,0.95,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1881,NA,NA,0.61,1.81,1.35,1.09,NA,NA,NA,NA,0.4,1.19,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1882,NA,NA,0.57,1.12,1.4,1.16,NA,NA,NA,NA,0.81,1.67,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1883,NA,NA,0.81,1.4,1.47,1.42,NA,NA,NA,NA,0.65,1.2,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1884,NA,NA,0.52,0.83,1.62,1.52,NA,NA,NA,NA,0.75,1.74,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1885,NA,NA,0.38,0.65,1.83,1.9,NA,NA,NA,NA,0.62,1.91,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1886,NA,NA,0.22,0.52,0.8,1.07,NA,NA,NA,NA,0.5,1.04,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1887,NA,NA,0.24,0.68,1.33,1.24,NA,NA,NA,NA,0.33,0.59,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1888,NA,NA,0.37,0.9,1.58,1.47,NA,NA,NA,NA,0.21,0.19,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1889,NA,NA,0.62,1.14,1.69,2.17,NA,NA,NA,NA,0.34,0.32,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1890,NA,NA,0.56,0.96,1.22,2.11,NA,NA,NA,NA,0.3,0.61,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1891,NA,NA,0.62,0.79,1.3,1.66,NA,NA,NA,NA,0.25,0.55,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1892,NA,NA,0.28,0.61,1.18,1.58,NA,NA,NA,NA,0.37,0.45,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1893,NA,NA,0.32,0.72,1.41,2.12,NA,NA,NA,NA,0.28,0.73,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1894,NA,NA,0.28,0.64,1.08,2.16,NA,NA,NA,NA,0.33,0.49,NA,0.61,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,FALSE
1895,NA,NA,0.25,0.61,1.24,2.25,NA,NA,NA,NA,0.36,0.42,NA,0.69,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,FALSE
1896,NA,NA,0.19,0.59,1.07,1.86,NA,NA,NA,NA,0.18,0.47,0.54,0.71,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
1897,NA,NA,0.27,0.8,0.69,1.77,NA,NA,NA,NA,0.35,0.39,0.78,0.84,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
1898,NA,NA,0.7,1.21,1.51,2.47,NA,NA,NA,NA,1.1,0.73,1.13,1.22,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
1899,NA,NA,1.1,1.27,1.63,2.05,NA,NA,NA,NA,1.18,1.11,1.66,1.38,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE
1900,NA,NA,0.81,0.8,1.14,1.63,NA,NA,NA,NA,0.59,0.67,0.81,0.82,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
1901,NA,NA,1.09,0.66,1.5,1.7,NA,NA,NA,NA,0.61,0.82,1.05,0.98,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
1902,NA,NA,0.49,0.41,1.39,1.52,NA,NA,NA,NA,0.58,0.53,0.58,0.71,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
1903,NA,NA,0.83,1.36,1.51,1.81,NA,NA,NA,NA,1.05,1.15,0.85,1,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
1904,NA,NA,0.32,0.72,1.07,1.39,NA,NA,NA,NA,0.47,0.77,0.45,0.64,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
1905,NA,NA,0.33,0.66,1.41,1.54,NA,NA,NA,NA,0.45,0.98,0.4,0.57,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
1906,NA,NA,0.41,0.89,1.11,1.28,NA,NA,NA,NA,0.42,0.77,0.56,0.78,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
1907,NA,NA,0.72,1.15,1.76,1.92,NA,NA,NA,NA,0.54,1.15,0.86,1.28,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
1908,NA,NA,0.7,0.96,1.88,2.01,NA,NA,NA,NA,0.59,1.04,0.94,1.52,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
1909,NA,NA,0.8,1.47,1.16,1.39,NA,NA,NA,NA,0.62,0.81,0.65,1.2,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
1910,NA,NA,0.61,0.9,0.55,0.89,NA,NA,NA,NA,0.78,0.65,0.55,0.78,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
1911,NA,NA,0.82,0.9,1.33,1.63,NA,NA,NA,NA,0.89,0.9,0.91,1.21,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
1912,NA,NA,0.83,1.44,1.25,1.26,NA,NA,NA,NA,0.69,0.93,1.1,1.41,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
1913,NA,NA,0.75,1.49,1.57,1.62,NA,NA,NA,NA,0.91,1.15,0.81,0.87,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
1914,NA,NA,0.96,1.51,1.63,1.97,NA,NA,NA,NA,0.66,1.51,1.24,1.62,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
1915,NA,NA,0.51,1.27,0.97,1.16,NA,NA,NA,NA,0.4,0.86,0.8,0.81,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
1916,NA,NA,0.55,1.69,1.23,1.36,NA,NA,NA,NA,0.65,0.79,0.91,1.33,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
1917,NA,NA,0.52,1.81,1.07,1.25,NA,NA,NA,NA,0.67,1.19,1.21,1.36,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
1918,NA,NA,0.32,1.14,0.44,0.73,NA,NA,NA,NA,0.36,0.79,1.05,0.93,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
1919,NA,NA,0.42,1.53,0.77,0.9,NA,NA,NA,NA,0.72,1.11,1.24,1.06,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
1920,NA,NA,0.66,1.6,0.67,0.84,NA,NA,NA,NA,0.68,1.31,1.02,0.97,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
1921,NA,NA,0.44,0.88,0.63,0.69,NA,NA,NA,NA,0.63,0.8,1.09,1.5,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
1922,NA,NA,0.49,0.78,0.7,0.74,1.85,2.17,NA,NA,0.57,0.68,0.92,1.35,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE
1923,NA,NA,0.43,0.66,0.55,0.73,1.48,2.21,NA,NA,0.57,0.61,0.66,1.25,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE
1924,NA,NA,0.51,0.8,0.54,0.64,1.26,1.6,NA,NA,0.76,1.11,0.72,1.29,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE
1925,NA,NA,0.85,1.05,0.75,1.06,2.26,1.98,NA,NA,0.67,1.14,0.97,1.63,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE
1926,NA,NA,0.63,0.58,0.67,0.65,1.64,2.02,NA,NA,0.15,0.54,0.51,0.86,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE
1927,NA,NA,0.75,0.55,0.61,0.64,2.15,2.24,NA,NA,0.34,0.55,0.72,0.92,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE
1928,NA,NA,0.64,0.59,0.81,0.95,1.75,2.06,NA,NA,0.49,0.61,0.86,1.29,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE
1929,NA,NA,0.67,0.71,0.8,0.98,1.85,1.73,NA,NA,0.56,0.68,1.09,1.38,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE
1930,NA,NA,0.56,0.72,0.94,1.01,1.76,2.37,NA,NA,0.89,0.63,0.95,1.37,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE
1931,NA,NA,0.72,0.83,0.85,0.84,2.07,2.5,NA,NA,0.71,0.8,1.13,1.53,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE
1932,2.9,3.22,0.8,0.86,0.68,0.66,1.28,1.12,2.13,1.9,0.85,0.57,0.78,0.95,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
1933,3.01,2.54,0.73,0.76,0.54,0.64,0.84,0.75,2.09,1.36,0.85,0.86,0.58,0.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
1934,2.27,2.08,0.35,0.39,0.27,0.21,0.49,0.52,1.74,1.55,0.64,0.46,0.5,0.49,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1935,2.73,2.71,0.55,0.91,0.84,0.66,0.72,0.87,1.85,1.94,0.69,1.06,0.82,0.97,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1936,1.93,1.74,0.37,0.61,0.47,0.38,0.57,0.61,1.26,1.1,0.42,0.64,0.44,0.51,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1937,1.75,1.37,0.22,0.35,0.77,0.53,0.44,0.33,0.99,1.01,0.71,0.5,0.53,0.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1938,2.21,1.7,0.21,0.33,0.65,0.67,0.36,0.53,1.3,1.08,0.5,0.65,0.56,0.73,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1939,1.64,1.2,0.13,0.32,0.71,0.47,0.71,0.87,1.18,0.73,0.58,0.5,0.52,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1940,1.25,1.13,0.21,0.52,0.93,0.68,0.9,0.9,0.83,0.77,0.63,0.48,0.63,0.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1941,1.24,1.21,0.21,0.47,0.7,0.52,1.15,0.75,0.85,0.7,0.52,0.32,0.49,0.59,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1942,1.75,1.46,0.2,0.37,0.59,0.37,1.57,0.81,0.69,0.81,0.64,0.48,0.63,0.59,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1943,1.14,1.85,0.16,0.32,0.53,0.42,1.57,0.87,0.6,0.52,0.69,0.57,0.51,0.59,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1944,0.67,1.74,0.16,0.37,0.59,0.34,1.74,0.72,0.76,0.61,0.66,0.41,0.56,0.69,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1945,0.64,1.36,0.12,0.32,0.48,0.22,1.45,0.68,1.03,0.78,0.59,0.52,0.59,0.75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1946,0.31,0.97,0.17,0.28,0.35,0.19,1.26,0.74,1.15,0.73,0.85,0.6,0.73,0.79,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1947,0.21,0.65,0.08,0.14,0.37,0.33,1.68,0.45,0.62,0.46,0.7,0.43,0.45,0.44,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1948,0.18,0.9,0.09,0.15,0.36,0.21,0.66,0.62,0.8,0.71,0.34,0.3,0.45,0.43,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1949,1.07,1.87,0.42,0.6,0.89,0.69,2.05,1.07,0.86,1.18,1.1,0.78,0.87,0.92,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1950,1.24,1.31,0.19,0.24,0.76,0.48,2.11,1.1,0.71,0.35,0.79,0.61,0.65,0.66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1951,1.03,1.12,0.2,0,0.68,0.49,1.45,0.94,0.74,0.78,0.79,0.67,0.72,0.77,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1952,1.32,1.49,0.27,0.46,0.57,0.23,1.82,0.92,0.66,0.86,0.43,0.52,0.75,0.73,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1953,1.28,1.47,0.29,0.56,0.63,0.41,1.49,1.11,0.44,0.55,0.58,0.56,0.65,0.62,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1954,1.68,1.65,0.28,0.43,0.63,0.47,1.4,0.94,0.2,0.69,0.56,0.35,0.54,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
