# Biondi et al. 1999 Idaho July Temperature Reconstruction
#----------------------------------------------------------------------- 
#               World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available),
# and date accessed when using these downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/6229
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-recon-6229.json
#   Study_Level_JSON_Description: JSON metadata of this file's parent study, which includes all study metadata.
#
# Data_Type: Climate Reconstructions
#
# Dataset_DOI: 10.25921/2w4y-7m50
#
# Science_Keywords: Air Temperature Reconstruction
#-------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/reconstructions/northamerica/usa/idaho/idaho-temperature-noaa.txt
#   Data_Download_Description: NOAA Template File; Surface Air Temperature Reconstruction Data
#
#-------------------
# Contribution_Date
#   Date: 2006-04-01
#-------------------
# File_Last_Modified_Date
#   Date: 2025-06-11
#-------------------
# Title
#   Study_Name: Biondi et al. 1999 Idaho July Temperature Reconstruction
#-------------------
# Investigators
#   Investigators: Biondi, F.
#-------------------
# Description_Notes_and_Keywords
#   Description: Samples were taken from whitebark pine (Pinus albicaulis) near upper treeline, and from Douglas-firs (Pseudotsuga menziesii) near the lower forest border in the Sawtooth-Salmon River region of Idaho.  Both chronologies correlate most strongly with July temperature.  The relationship with July temperature is inverse for the low-elevation Douglas-firs, due to moisture stress associated with high July temperatures, and positive for the high elevation whitebark pine, due to enhanced growing conditions at the cold treeline site. The tree-ring data are available in the International Tree Ring Data Bank at the NOAA/WDC Paleo website: http://www.ncdc.noaa.gov/paleo/treering.html Salmon River Valley Douglas-fir site id is ID014. Railroad Ridge whitebark pine site id is ID012. Railroad Ridge: 44.13N, 114.55W, 2930m elevation. Salmon River Valley: 44.42N, 114.25S, 1700m elevation
#-------------------
# Publication
#   Authors: Biondi, F., D.L. Perkins, D.R. Cayan, and M.K. Hughes
#   Journal_Name: Geophysical Research Letters
#   Published_Title: July Temperature during the second millennium reconstructed from Idaho tree rings.
#   Published_Date_or_Year: 1999-05-15
#   Volume: 26
#   Issue: 10
#   Pages: 1445-1448
#   Report_Number:
#   DOI: 10.1029/1999GL900272
#   Full_Citation: 
#   Abstract: An 858 year proxy record of July temperature for east-central Idaho shows multi-decadal periods of extreme cooling centered around AD 1300, 1340, 1460, and after AD 1600.  These cold intervals are interrupted by prolonged warm spells in the early 1400s, late 1500s, and in the 1930s.  The spatial signature of the paleoclimatic record is centered on the north-central Rockies and Central Great Plains, and expands over North America following a wave-like pattern.  Neither instrumental nor proxy data in Idaho northeast valleys show unusual warming during the twentieth century.  Climate episodes over the last three centuries are in broad agreement with the Greenland borehole temperature history.  Low-frequency patterns are consistent with other northern hemisphere tree-ring records for the late Holocene, and provide a chronology of warm and cold intervals during the Little Ice Age.
#-------------------
# Funding_Agency
#   Funding_Agency_Name: US National Science Foundation
#   Grant_Number: 
#-------------------
# Funding_Agency
#   Funding_Agency_Name: US Forest Service
#   Grant_Number: Rocky Mountain Research Station
#-------------------
# Site_Information
#   Site_Name: Salmon Valley River and Railroad Ridge
#   Location: Idaho
#   Northernmost_Latitude: 44.13
#   Southernmost_Latitude: 44.42
#   Easternmost_Longitude: -114.55
#   Westernmost_Longitude: -114.25
#   Elevation_m: 
#-------------------
# Data_Collection
#   Collection_Name: SAT_Biondi1999
#   First_Year: 1135
#   Last_Year: 1992
#   Time_Unit: CE
#   Core_Length_m: 
#   Parameter_Keywords: reconstructions
#   Notes: 
#-------------------
# Chronology_Information
#   Chronology:
#-------------------
# Variables 
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Variables format: shortname <tab> what,material,error,units,seasonality,data_type,detail,method, C(har) or N(umeric) data,additional information
#
## age	age,,,year Common Era,,climate reconstructions;tree ring,,,N,
## sat	surface air temperature,ring width,,standard deviation unit,Jul,climate reconstructions;tree ring,anomalized,regression analysis,N,anomalized from length of record; simple linear regression
#-------------------------------
# Data: 
# Missing_Values: NA
age	sat
1749	0.246
1750	-0.859
1751	0.798
1752	0.384
1753	-0.03
1754	0.108
1755	-0.859
1756	1.765
1757	1.212
1758	0.384
1759	0.66
1760	1.074
1761	0.246
1762	0.246
1763	1.074
1764	0.384
1765	0.108
1766	0.66
1767	0.108
1768	-0.444
1769	0.522
1770	-0.444
1771	-0.997
1772	0.108
1773	0.384
1774	0.936
1775	-0.583
1776	-0.306
1777	1.212
1778	0.246
1779	-0.168
1780	0.108
1781	0.66
1782	0.936
1783	1.765
1784	0.798
1785	0.798
1786	0.246
1787	-0.168
1788	0.522
1789	0.108
1790	-0.03
1791	-0.997
1792	-1.273
1793	0.246
1794	0.66
1795	1.765
1796	0.384
1797	-0.444
1798	1.488
1799	0.246
1800	1.074
1801	-0.168
1802	-0.306
1803	-0.444
1804	0.108
1805	-0.03
1806	-0.997
1807	0.798
1808	0.936
1809	0.246
1810	-0.444
1811	0.246
1812	-0.859
1813	-0.03
1814	-0.03
1815	0.108
1816	-0.03
1817	-0.03
1818	-0.583
1819	-0.583
1820	-0.444
1821	-0.997
1822	0.522
1823	0.108
1824	-0.03
1825	-0.721
1826	-0.721
1827	-0.859
1828	-1.687
1829	-0.997
1830	-0.859
1831	-0.721
1832	-1.135
1833	-0.583
1834	0.798
1835	-0.444
1836	-0.997
1837	-0.997
1838	-1.825
1839	-1.687
1840	-0.444
1841	-0.444
1842	0.108
1843	0.246
1844	-1.135
1845	-0.306
1846	0.108
1847	-0.03
1848	0.384
1849	0.108
1850	-0.583
1851	-0.583
1852	-0.03
1853	-0.306
1854	-0.306
1855	-0.721
1856	0.246
1857	0.108
1858	0.108
1859	1.212
1860	0.522
1861	-0.306
1862	0.522
1863	-0.03
1864	0.66
1865	-0.168
1866	-0.721
1867	-0.03
1868	-0.583
1869	-0.306
1870	1.074
1871	1.627
1872	0.936
1873	0.384
1874	1.212
1875	1.212
1876	0.384
1877	0.384
1878	0.936
1879	0.108
1880	0.522
1881	0.522
1882	0.246
1883	-0.168
1884	0.384
1885	-1.549
1886	-0.444
1887	-0.168
1888	-0.168
1889	0.66
1890	0.522
1891	0.108
1892	-0.444
1893	1.35
1894	-0.03
1895	0.522
1896	0.798
1897	0.384
1898	0.522
1899	0.522
1900	0.522
1901	1.212
1902	0.936
1903	0.108
1904	-0.306
1905	-0.583
1906	-0.444
1907	-0.997
1908	-1.273
1909	-0.168
1910	-0.168
1911	-1.135
1912	-0.997
1913	-1.273
1914	-0.859
1915	-1.825
1916	-1.273
1917	0.66
1918	0.384
1919	-0.03
1920	-0.03
1921	-0.859
1922	-0.721
1923	-0.444
1924	0.522
1925	0.108
1926	0.246
1927	0.936
1928	0.66
1929	1.627
1930	2.179
1931	1.765
1932	0.936
1933	1.35
1934	0.384
1935	1.488
1936	2.041
1937	1.627
1938	0.66
1939	1.074
1940	1.627
1941	0.936
1942	0.246
1943	1.074
1944	-0.306
1945	0.108
1946	1.074
1947	-0.583
1948	0.522
1949	0.384
1950	0.798
1951	-0.444
1952	0.108
1953	0.108
1954	1.35
1955	0.246
1956	-0.444
1957	-0.444
1958	-1.273
1959	0.384
1960	1.074
1961	0.522
1962	-0.583
1963	-0.859
1964	-0.444
1965	-1.273
1966	-0.03
1967	0.384
1968	-0.306
1969	-1.549
1970	-0.583
1971	0.384
1972	-0.997
1973	-0.583
1974	0.384
1975	-0.03
1976	-0.444
1977	0.108
1978	-0.306
1979	0.108
1980	0.66
1981	-0.997
1982	-0.583
1983	-0.859
1984	-0.859
1985	1.35
1986	-0.444
1987	-0.583
1988	-0.03
1989	1.212
1990	-0.444
1991	-0.721
1992	0.108
