sp,latin,genus,species,family,species.id,authority,id.level,syn,subsp,db
junico,Juniperus communis,Juniperus,communis,Cupressaceae,90,NA,species,NA,NA,current_harvardforest
kalmla,Kalmia latifolia,Kalmia,latifolia,Ericaceae,11,NA,species,NA,NA,current_harvardforest
larila,Larix laricina,Larix,laricina,Pinaceae,92,NA,species,NA,NA,current_harvardforest
lindbe,Lindera benzoin,Lindera,benzoin,Lauraceae,12,NA,species,NA,NA,current_harvardforest
lyonli,Lyonia ligustrina,Lyonia,ligustrina,Ericaceae,14,NA,species,NA,NA,current_harvardforest
nemomu,Nemopanthus mucronatus,Nemopanthus,mucronatus,Aquifoliaceae,16,NA,species,NA,NA,current_harvardforest
nysssy,Nyssa sylvatica,Nyssa,sylvatica,Nyssaceae,45,NA,species,NA,NA,current_harvardforest
ostrvi,Ostrya virginiana,Ostrya,virginiana,Betulaceae,46,NA,species,NA,NA,current_harvardforest
piceab,Picea abies,Picea,abies,Pinaceae,47,NA,species,NA,NA,current_harvardforest
piceru,Picea rubens,Picea,rubens,Pinaceae,49,NA,species,NA,NA,current_harvardforest
picexx,Picea unknown,Picea,unknown,Pinaceae,66,NA,multiple,NA,NA,current_harvardforest
pinure,Pinus resinosa,Pinus,resinosa,Pinaceae,50,NA,species,NA,NA,current_harvardforest
pinust,Pinus strobus,Pinus,strobus,Pinaceae,51,NA,species,NA,NA,current_harvardforest
pinuxx,Pinus unknown,Pinus,unknown,Pinaceae,67,NA,multiple,NA,NA,current_harvardforest
popugr,Populus grandidentata,Populus,grandidentata,Salicaceae,52,NA,species,NA,NA,current_harvardforest
poputr,Populus tremuloides,Populus,tremuloides,Salicaceae,53,NA,species,NA,NA,current_harvardforest
prunpe,Prunus pennsylvanicum,Prunus,pennsylvanicum,Rosaceae,54,NA,species,NA,NA,current_harvardforest
prunse,Prunus serotina,Prunus,serotina,Rosaceae,55,NA,species,NA,NA,current_harvardforest
queral,Quercus alba,Quercus,alba,Fagaceae,57,NA,species,NA,NA,current_harvardforest
querru,Quercus rubra,Quercus,rubra,Fagaceae,58,NA,species,NA,NA,current_harvardforest
querve,Quercus velutina,Quercus,velutina,Fagaceae,59,NA,species,NA,NA,current_harvardforest
querxx,Quercus unknown,Quercus,unknown,Fagaceae,64,NA,multiple,NA,NA,current_harvardforest
rhodpr,Rhododendron prinophyllum,Rhododendron,prinophyllum,Ericaceae,18,NA,species,NA,NA,current_harvardforest
salisp,Salix species,Salix,species,Salicaceae,89,NA,genus,NA,NA,current_harvardforest
sambra,Sambucus racemosa,Sambucus,racemosa,Adoxaceae,21,NA,species,NA,NA,current_harvardforest
sorbam,Sorbus americana,Sorbus,americana,Rosaceae,62,NA,species,NA,NA,current_harvardforest
toxira,Toxicodendron radicans,Toxicodendron,radicans,Anacardiaceae,91,NA,species,NA,NA,current_harvardforest
toxive,Toxicodendron vernix,Toxicodendron,vernix,Anacardiaceae,87,NA,species,NA,NA,current_harvardforest
tsugca,Tsuga canadensis,Tsuga,canadensis,Pinaceae,63,NA,species,NA,NA,current_harvardforest
ulmuam,Ulmus americana,Ulmus,americana,Ulmaceae,84,NA,species,NA,NA,current_harvardforest
uniden,Unidentified unknown,Unidentified,unknown,Unknown,65,NA,multiple,NA,NA,current_harvardforest
vaccco,Vaccinium corymbosum,Vaccinium,corymbosum,Ericaceae,24,NA,species,NA,NA,current_harvardforest
vibuac,Viburnum acerfolium,Viburnum,acerfolium,Adoxaceae,26,NA,species,NA,NA,current_harvardforest
vibual,Viburnum alnifolium,Viburnum,alnifolium,Adoxaceae,27,NA,species,NA,NA,current_harvardforest
vibuca,Viburnum cassinoides,Viburnum,cassinoides,Adoxaceae,28,NA,species,NA,NA,current_harvardforest
vibude,Viburnum dentatum,Viburnum,dentatum,Adoxaceae,29,NA,species,NA,NA,current_harvardforest
