age_CE,279011_raw,279012_raw,279021_raw,279022_raw,279031_raw,279032_raw,279041_raw,279042_raw,279051_raw,279052_raw,279061_raw,279062_raw,279071_raw,279072_raw,279081_raw,279082_raw,279091_raw,279092_raw,279011_raw_outlier_flag,279012_raw_outlier_flag,279021_raw_outlier_flag,279022_raw_outlier_flag,279031_raw_outlier_flag,279032_raw_outlier_flag,279041_raw_outlier_flag,279042_raw_outlier_flag,279051_raw_outlier_flag,279052_raw_outlier_flag,279061_raw_outlier_flag,279062_raw_outlier_flag,279071_raw_outlier_flag,279072_raw_outlier_flag,279081_raw_outlier_flag,279082_raw_outlier_flag,279091_raw_outlier_flag,279092_raw_outlier_flag
1946,0.11,0.22,0.36,0.31,0.24,0.31,1.13,0.81,0.41,0.39,0.29,0.07,0.12,0.28,0.23,0.2,0.19,0.24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1947,0.4,0.52,1.32,1.19,1.02,1.3,2.14,2.29,2.26,1.69,1.03,0.42,0.81,0.97,1.45,1.13,1.23,1.42,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1948,0.42,0.56,0.94,0.85,0.98,0.99,2.12,2.46,1.6,1.32,0.67,0.43,0.62,0.67,0.81,0.84,0.92,0.81,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1949,0.49,0.51,1.17,1.15,0.88,0.85,2.13,2.55,1.67,1.32,0.89,0.36,0.53,0.9,0.83,0.75,1.26,1.27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1950,0.61,0.68,1.08,1.17,1.14,1.26,2.3,2.42,2.28,1.93,0.72,0.46,0.71,0.86,0.68,0.81,1.15,1.23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1951,0.32,0.43,0.55,0.52,0.56,0.67,0.95,1.07,1.09,1.02,0.33,0.3,0.39,0.43,0.47,0.43,0.61,0.63,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1952,0.43,0.48,1.02,1.24,0.58,0.6,1.47,1.77,1.43,1.16,0.66,0.39,0.49,0.83,0.49,0.47,0.74,0.72,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1953,0.33,0.37,0.45,0.5,0.45,0.66,0.76,0.72,0.77,0.75,0.26,0.28,0.29,0.39,0.32,0.39,0.31,0.35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1954,0.31,0.44,0.51,0.61,0.46,0.6,1.09,1.03,0.93,0.78,0.3,0.24,0.26,0.4,0.36,0.39,0.28,0.31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1955,0.26,0.32,0.44,0.57,0.54,0.51,0.66,0.7,0.81,0.62,0.42,0.29,0.33,0.39,0.32,0.3,0.37,0.44,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1956,0.22,0.35,0.39,0.51,0.32,0.37,0.53,0.47,0.66,0.46,0.31,0.31,0.31,0.34,0.22,0.36,0.41,0.46,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1957,0.29,0.35,0.51,0.58,0.49,0.55,1.08,1.05,0.82,0.63,0.41,0.3,0.35,0.43,0.36,0.25,0.4,0.46,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1958,0.41,0.48,0.65,0.8,0.71,0.74,1.24,1.23,0.98,0.71,0.51,0.46,0.52,0.41,0.39,0.41,0.47,0.63,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1959,0.07,0.15,0.14,0.2,0.18,0.31,0.29,0.31,0.39,0.22,0.14,0.03,0.1,0.11,0.09,0.08,0.1,0.14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1960,0.25,0.37,0.41,0.49,0.42,0.64,0.78,0.99,0.59,0.49,0.37,0.38,0.34,0.43,0.31,0.33,0.32,0.41,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1961,0.17,0.3,0.37,0.45,0.14,0.5,0.75,0.67,0.62,0.43,0.27,0.25,0.18,0.24,0.28,0.3,0.21,0.24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1962,0.37,0.44,0.74,0.88,0.59,0.67,0.98,0.82,0.67,0.45,0.55,0.36,0.4,0.55,0.25,0.35,0.28,0.45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1963,0.29,0.4,0.56,0.75,0.53,0.7,1.19,1.06,0.65,0.55,0.42,0.45,0.31,0.37,0.3,0.33,0.32,0.45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1964,0.25,0.32,0.54,0.63,0.47,0.59,0.84,0.85,0.64,0.5,0.34,0.32,0.31,0.29,0.29,0.42,0.29,0.42,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1965,0.4,0.51,0.95,1.19,0.84,1.13,1.42,1.2,1.03,0.89,0.65,0.38,0.42,0.62,0.42,0.48,0.47,0.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1966,0.6,0.7,1.08,1.21,1.1,1.27,1.26,1.38,1.22,1.05,0.79,0.55,0.55,0.63,0.48,0.68,0.55,0.83,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1967,0.41,0.55,0.9,1.17,0.72,0.94,0.83,1.17,1.02,0.78,0.85,0.52,0.59,0.45,0.46,0.72,0.48,0.73,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1968,0.39,0.49,0.99,1.22,0.76,1.15,0.92,1.28,1.17,1.02,0.85,0.49,0.61,0.6,0.57,0.7,0.45,0.82,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1969,0.63,0.66,1.5,1.72,1.13,1.7,1.39,1.7,1.44,1.11,1.26,0.48,0.44,0.78,0.49,0.68,0.47,0.83,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1970,0.38,0.48,0.89,0.85,0.67,1.76,1.07,1.04,0.95,0.79,0.96,0.36,0.36,0.55,0.51,0.77,0.54,0.83,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1971,0.32,0.47,1.03,0.89,0.64,0.89,1.68,1.3,1.08,0.92,1.19,0.37,0.48,0.62,0.72,0.67,0.47,0.93,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
