"","Tag","years","Ring_width(mm)","Lat","Long"
"158","I001232",2000,2.2915,54.6333,-110.216698
"159","I001232",2001,2.6095,54.6333,-110.216698
"160","I001232",2002,2.032,54.6333,-110.216698
"161","I001232",2003,2.707,54.6333,-110.216698
"162","I001232",2004,2.794,54.6333,-110.216698
"163","I001232",2005,2.868,54.6333,-110.216698
"164","I001232",2006,2.7215,54.6333,-110.216698
"165","I001232",2007,2.776,54.6333,-110.216698
"166","I001232",2008,2.3635,54.6333,-110.216698
"167","I001232",2009,1.859,54.6333,-110.216698
"168","I001232",2010,1.9495,54.6333,-110.216698
"169","I001243",1990,3.1035,54.6333,-110.216698
"170","I001243",1991,3.7945,54.6333,-110.216698
"171","I001243",1992,3.4175,54.6333,-110.216698
"172","I001243",1993,2.7925,54.6333,-110.216698
"173","I001243",1994,2.841,54.6333,-110.216698
"174","I001243",1995,2.547,54.6333,-110.216698
"175","I001243",1996,3.4445,54.6333,-110.216698
"176","I001243",1997,3.6195,54.6333,-110.216698
"177","I001243",1998,2.527,54.6333,-110.216698
"178","I001243",1999,1.9825,54.6333,-110.216698
"179","I001243",2000,2.6575,54.6333,-110.216698
"180","I001243",2001,3.0355,54.6333,-110.216698
"181","I001243",2002,1.59,54.6333,-110.216698
"182","I001243",2003,2.6995,54.6333,-110.216698
"183","I001243",2004,1.8785,54.6333,-110.216698
"184","I001243",2005,2.5825,54.6333,-110.216698
"185","I001243",2006,2.385,54.6333,-110.216698
"186","I001243",2007,2.027,54.6333,-110.216698
"187","I001243",2008,1.6525,54.6333,-110.216698
"188","I001243",2009,0.982,54.6333,-110.216698
"189","I001243",2010,1.071,54.6333,-110.216698
"190","I001255",1990,1.858,54.6333,-110.216698
"191","I001255",1991,1.577,54.6333,-110.216698
"192","I001255",1992,1.547,54.6333,-110.216698
"193","I001255",1993,1.1725,54.6333,-110.216698
"194","I001255",1994,2.255,54.6333,-110.216698
"195","I001255",1995,3.5265,54.6333,-110.216698
"196","I001255",1996,3.3565,54.6333,-110.216698
"197","I001255",1997,3.059,54.6333,-110.216698
"198","I001255",1998,2.1175,54.6333,-110.216698
"199","I001255",1999,1.6725,54.6333,-110.216698
"200","I001255",2000,2.7315,54.6333,-110.216698
"201","I001255",2001,4.2685,54.6333,-110.216698
"202","I001255",2002,2.2845,54.6333,-110.216698
"203","I001255",2003,3.9575,54.6333,-110.216698
"204","I001255",2004,4.279,54.6333,-110.216698
"205","I001255",2005,4.965,54.6333,-110.216698
"206","I001255",2006,3.7415,54.6333,-110.216698
"207","I001255",2007,3.557,54.6333,-110.216698
"208","I001255",2008,4.0785,54.6333,-110.216698
"209","I001255",2009,2.2895,54.6333,-110.216698
"210","I001255",2010,2.0785,54.6333,-110.216698
"211","I001513",1990,2.975,56.6333,-114.583298
"212","I001513",1991,2.78,56.6333,-114.583298
"213","I001513",1992,3.01,56.6333,-114.583298
"214","I001513",1993,2.415,56.6333,-114.583298
"215","I001513",1994,3.67,56.6333,-114.583298
"216","I001513",1995,4.255,56.6333,-114.583298
"217","I001513",1996,3.68,56.6333,-114.583298
"218","I001513",1997,3.775,56.6333,-114.583298
"219","I001513",1998,2.34,56.6333,-114.583298
"220","I001513",1999,1.405,56.6333,-114.583298
"221","I001513",2000,2.015,56.6333,-114.583298
"222","I001513",2001,3.505,56.6333,-114.583298
"223","I001513",2002,1.775,56.6333,-114.583298
"224","I001513",2003,2.64,56.6333,-114.583298
"225","I001513",2004,2.885,56.6333,-114.583298
"226","I001513",2005,3.43,56.6333,-114.583298
"227","I001513",2006,2.545,56.6333,-114.583298
"228","I001513",2007,2.65,56.6333,-114.583298
"229","I001513",2008,2.62,56.6333,-114.583298
"230","I001513",2009,1.995,56.6333,-114.583298
"231","I001513",2010,1.755,56.6333,-114.583298
"232","I001523",1990,3.38,56.6333,-114.583298
"233","I001523",1991,3.565,56.6333,-114.583298
"234","I001523",1992,3.215,56.6333,-114.583298
"235","I001523",1993,3.98,56.6333,-114.583298
"236","I001523",1994,5.255,56.6333,-114.583298
"237","I001523",1995,5.36,56.6333,-114.583298
"238","I001523",1996,5.86,56.6333,-114.583298
"239","I001523",1997,5.79,56.6333,-114.583298
"240","I001523",1998,4.33,56.6333,-114.583298
"241","I001523",1999,2.915,56.6333,-114.583298
"242","I001523",2000,3.795,56.6333,-114.583298
"243","I001523",2001,4.92,56.6333,-114.583298
"244","I001523",2002,2.575,56.6333,-114.583298
"245","I001523",2003,4.74,56.6333,-114.583298
"246","I001523",2004,4.57,56.6333,-114.583298
"247","I001523",2005,4.545,56.6333,-114.583298
"248","I001523",2006,3.775,56.6333,-114.583298
"249","I001523",2007,3.945,56.6333,-114.583298
"250","I001523",2008,4.12,56.6333,-114.583298
"251","I001523",2009,2.62,56.6333,-114.583298
"252","I001523",2010,3.085,56.6333,-114.583298
"253","I001535",1990,2.54,56.6333,-114.583298
"254","I001535",1991,2.81,56.6333,-114.583298
"255","I001535",1992,3.355,56.6333,-114.583298
"256","I001535",1993,2.275,56.6333,-114.583298
"257","I001535",1994,3.73,56.6333,-114.583298
"258","I001535",1995,4.095,56.6333,-114.583298
"259","I001535",1996,4.475,56.6333,-114.583298
"260","I001535",1997,4.425,56.6333,-114.583298
"261","I001535",1998,3.5,56.6333,-114.583298
"262","I001535",1999,2.22,56.6333,-114.583298
"263","I001535",2000,2.91,56.6333,-114.583298
"264","I001535",2001,4.105,56.6333,-114.583298
"265","I001535",2002,2.475,56.6333,-114.583298
"266","I001535",2003,4.21,56.6333,-114.583298
"267","I001535",2004,4.895,56.6333,-114.583298
"268","I001535",2005,4.77,56.6333,-114.583298
"269","I001535",2006,3.665,56.6333,-114.583298
"270","I001535",2007,3.715,56.6333,-114.583298
"271","I001535",2008,3.445,56.6333,-114.583298
"272","I001535",2009,2.685,56.6333,-114.583298
"273","I001535",2010,2.345,56.6333,-114.583298
"274","I001542",1990,2.47,56.6333,-114.583298
"275","I001542",1991,3.855,56.6333,-114.583298
"276","I001542",1992,2.445,56.6333,-114.583298
"277","I001542",1993,2.005,56.6333,-114.583298
"278","I001542",1994,3.365,56.6333,-114.583298
"279","I001542",1995,3.745,56.6333,-114.583298
"280","I001542",1996,4.73,56.6333,-114.583298
"281","I001542",1997,4.83,56.6333,-114.583298
"282","I001542",1998,2.885,56.6333,-114.583298
"283","I001542",1999,1.725,56.6333,-114.583298
"284","I001542",2000,2.26,56.6333,-114.583298
"285","I001542",2001,3.125,56.6333,-114.583298
"286","I001542",2002,1.765,56.6333,-114.583298
"287","I001542",2003,3.24,56.6333,-114.583298
"288","I001542",2004,3.25,56.6333,-114.583298
"289","I001542",2005,3.79,56.6333,-114.583298
"290","I001542",2006,2.63,56.6333,-114.583298
"291","I001542",2007,2.45,56.6333,-114.583298
"292","I001542",2008,2.62,56.6333,-114.583298
"293","I001542",2009,1.615,56.6333,-114.583298
"294","I001542",2010,1.665,56.6333,-114.583298
"295","I001552",1990,2.3985,56.6333,-114.583298
"296","I001552",1991,2.723,56.6333,-114.583298
"297","I001552",1992,2.444,56.6333,-114.583298
"298","I001552",1993,2.113,56.6333,-114.583298
"299","I001552",1994,2.577,56.6333,-114.583298
"300","I001552",1995,3.801,56.6333,-114.583298
"301","I001552",1996,3.9975,56.6333,-114.583298
"302","I001552",1997,3.766,56.6333,-114.583298
"303","I001552",1998,3.1525,56.6333,-114.583298
"304","I001552",1999,2.3175,56.6333,-114.583298
"305","I001552",2000,4.258,56.6333,-114.583298
"306","I001552",2001,5.527,56.6333,-114.583298
"307","I001552",2002,1.962,56.6333,-114.583298
"308","I001552",2003,4.266,56.6333,-114.583298
"309","I001552",2004,4.3725,56.6333,-114.583298
"310","I001552",2005,5.652,56.6333,-114.583298
"311","I001552",2006,4.347,56.6333,-114.583298
"312","I001552",2007,4.2815,56.6333,-114.583298
"313","I001552",2008,4.5525,56.6333,-114.583298
"314","I001552",2009,2.9265,56.6333,-114.583298
"315","I001552",2010,3.006,56.6333,-114.583298
"316","I131414",1990,NA,53.3333,-60.416698
"317","I131414",1991,1.3435,53.3333,-60.416698
"318","I131414",1992,0.9125,53.3333,-60.416698
"319","I131414",1993,1.2675,53.3333,-60.416698
"320","I131414",1994,1.6905,53.3333,-60.416698
"321","I131414",1995,2.932,53.3333,-60.416698
"322","I131414",1996,3.145,53.3333,-60.416698
"323","I131414",1997,3.0075,53.3333,-60.416698
"324","I131414",1998,2.329,53.3333,-60.416698
"325","I131414",1999,1.503,53.3333,-60.416698
"326","I131414",2000,2.415,53.3333,-60.416698
"327","I131414",2001,3.385,53.3333,-60.416698
"328","I131414",2002,1.8505,53.3333,-60.416698
"329","I131414",2003,3.212,53.3333,-60.416698
"330","I131414",2004,3.122,53.3333,-60.416698
"331","I131414",2005,3.5855,53.3333,-60.416698
"332","I131414",2006,2.7195,53.3333,-60.416698
"333","I131414",2007,3.174,53.3333,-60.416698
"334","I131414",2008,3.326,53.3333,-60.416698
"335","I131414",2009,2.436,53.3333,-60.416698
"336","I131414",2010,1.728,53.3333,-60.416698
"337","I131422",1990,2.8085,53.3333,-60.416698
"338","I131422",1991,3.425,53.3333,-60.416698
"339","I131422",1992,2.2965,53.3333,-60.416698
"340","I131422",1993,3.0475,53.3333,-60.416698
"341","I131422",1994,3.1155,53.3333,-60.416698
"342","I131422",1995,4.4405,53.3333,-60.416698
"343","I131422",1996,1.809,53.3333,-60.416698
"344","I131422",1997,4.4965,53.3333,-60.416698
"345","I131422",1998,3.0365,53.3333,-60.416698
"346","I131422",1999,1.8385,53.3333,-60.416698
"347","I131422",2000,3.2175,53.3333,-60.416698
"348","I131422",2001,3.514,53.3333,-60.416698
"349","I131422",2002,1.8045,53.3333,-60.416698
"350","I131422",2003,4.1865,53.3333,-60.416698
"351","I131422",2004,3.115,53.3333,-60.416698
"352","I131422",2005,4.459,53.3333,-60.416698
"353","I131422",2006,2.776,53.3333,-60.416698
"354","I131422",2007,3.324,53.3333,-60.416698
"355","I131422",2008,3.2885,53.3333,-60.416698
"356","I131422",2009,2.0465,53.3333,-60.416698
"357","I131422",2010,1.8845,53.3333,-60.416698
"358","I131434",1990,2.1065,53.3333,-60.416698
"359","I131434",1991,1.783,53.3333,-60.416698
"360","I131434",1992,1.3795,53.3333,-60.416698
"361","I131434",1993,1.6145,53.3333,-60.416698
"362","I131434",1994,2.1295,53.3333,-60.416698
"363","I131434",1995,2.125,53.3333,-60.416698
"364","I131434",1996,3.199,53.3333,-60.416698
"365","I131434",1997,2.9405,53.3333,-60.416698
"366","I131434",1998,2.233,53.3333,-60.416698
"367","I131434",1999,1.691,53.3333,-60.416698
"368","I131434",2000,2.876,53.3333,-60.416698
"369","I131434",2001,3.967,53.3333,-60.416698
"370","I131434",2002,2.1125,53.3333,-60.416698
"371","I131434",2003,3.8235,53.3333,-60.416698
"372","I131434",2004,3.453,53.3333,-60.416698
"373","I131434",2005,4.3015,53.3333,-60.416698
"374","I131434",2006,3.0965,53.3333,-60.416698
"375","I131434",2007,3.284,53.3333,-60.416698
"376","I131434",2008,2.989,53.3333,-60.416698
"377","I131434",2009,2.448,53.3333,-60.416698
"378","I131434",2010,1.8785,53.3333,-60.416698
"379","I131444",1990,2.151,53.3333,-60.416698
"380","I131444",1991,2.2125,53.3333,-60.416698
"381","I131444",1992,1.545,53.3333,-60.416698
"382","I131444",1993,2.4065,53.3333,-60.416698
"383","I131444",1994,3.441,53.3333,-60.416698
"384","I131444",1995,4.135,53.3333,-60.416698
"385","I131444",1996,4.082,53.3333,-60.416698
"386","I131444",1997,4.383,53.3333,-60.416698
"387","I131444",1998,3.0005,53.3333,-60.416698
"388","I131444",1999,1.669,53.3333,-60.416698
"389","I131444",2000,2.7985,53.3333,-60.416698
"390","I131444",2001,3.83,53.3333,-60.416698
"391","I131444",2002,1.607,53.3333,-60.416698
"392","I131444",2003,3.999,53.3333,-60.416698
"393","I131444",2004,3.2845,53.3333,-60.416698
"394","I131444",2005,3.8025,53.3333,-60.416698
"395","I131444",2006,2.295,53.3333,-60.416698
"396","I131444",2007,2.1575,53.3333,-60.416698
"397","I131444",2008,1.994,53.3333,-60.416698
"398","I131444",2009,1.5495,53.3333,-60.416698
"399","I131444",2010,1.327,53.3333,-60.416698
"400","I131451",1990,2.731,53.3333,-60.416698
"401","I131451",1991,2.129,53.3333,-60.416698
"402","I131451",1992,1.6625,53.3333,-60.416698
"403","I131451",1993,2.196,53.3333,-60.416698
"404","I131451",1994,4.2145,53.3333,-60.416698
"405","I131451",1995,4.621,53.3333,-60.416698
"406","I131451",1996,5.095,53.3333,-60.416698
"407","I131451",1997,4.7215,53.3333,-60.416698
"408","I131451",1998,2.3255,53.3333,-60.416698
"409","I131451",1999,1.351,53.3333,-60.416698
"410","I131451",2000,2.3055,53.3333,-60.416698
"411","I131451",2001,2.961,53.3333,-60.416698
"412","I131451",2002,2.0845,53.3333,-60.416698
"413","I131451",2003,3.1265,53.3333,-60.416698
"414","I131451",2004,2.662,53.3333,-60.416698
"415","I131451",2005,5.011,53.3333,-60.416698
"416","I131451",2006,4.024,53.3333,-60.416698
"417","I131451",2007,3.5555,53.3333,-60.416698
"418","I131451",2008,3.9035,53.3333,-60.416698
"419","I131451",2009,2.789,53.3333,-60.416698
"420","I131451",2010,2.7345,53.3333,-60.416698
"421","I131515",1990,2.3495,49.0167,-57.616699
"422","I131515",1991,2.6995,49.0167,-57.616699
"423","I131515",1992,1.789,49.0167,-57.616699
"424","I131515",1993,3.2545,49.0167,-57.616699
"425","I131515",1994,3.451,49.0167,-57.616699
"426","I131515",1995,3.73,49.0167,-57.616699
"427","I131515",1996,3.745,49.0167,-57.616699
"428","I131515",1997,4.3615,49.0167,-57.616699
"429","I131515",1998,3.2945,49.0167,-57.616699
"430","I131515",1999,1.6685,49.0167,-57.616699
"431","I131515",2000,3.2295,49.0167,-57.616699
"432","I131515",2001,3.303,49.0167,-57.616699
"433","I131515",2002,1.5045,49.0167,-57.616699
"434","I131515",2003,2.908,49.0167,-57.616699
"435","I131515",2004,2.7235,49.0167,-57.616699
"436","I131515",2005,3.656,49.0167,-57.616699
"437","I131515",2006,2.454,49.0167,-57.616699
"438","I131515",2007,2.7865,49.0167,-57.616699
"439","I131515",2008,3.0675,49.0167,-57.616699
"440","I131515",2009,2.3305,49.0167,-57.616699
"441","I131515",2010,1.836,49.0167,-57.616699
"442","I131522",1990,1.3985,49.0167,-57.616699
"443","I131522",1991,1.2285,49.0167,-57.616699
"444","I131522",1992,0.6445,49.0167,-57.616699
"445","I131522",1993,0.9385,49.0167,-57.616699
"446","I131522",1994,0.681,49.0167,-57.616699
"447","I131522",1995,0.9465,49.0167,-57.616699
"448","I131522",1996,0.897,49.0167,-57.616699
"449","I131522",1997,1.125,49.0167,-57.616699
"450","I131522",1998,0.955,49.0167,-57.616699
"451","I131522",1999,0.7045,49.0167,-57.616699
"452","I131522",2000,1.8305,49.0167,-57.616699
"453","I131522",2001,1.4475,49.0167,-57.616699
"454","I131522",2002,0.6555,49.0167,-57.616699
"455","I131522",2003,1.1835,49.0167,-57.616699
"456","I131522",2004,0.929,49.0167,-57.616699
"457","I131522",2005,1.3595,49.0167,-57.616699
"458","I131522",2006,1.16,49.0167,-57.616699
"459","I131522",2007,1.4825,49.0167,-57.616699
"460","I131522",2008,1.279,49.0167,-57.616699
"461","I131522",2009,0.966,49.0167,-57.616699
"462","I131522",2010,0.921,49.0167,-57.616699
"463","I131532",1990,2.1535,49.0167,-57.616699
"464","I131532",1991,2.683,49.0167,-57.616699
"465","I131532",1992,1.9835,49.0167,-57.616699
"466","I131532",1993,2.3195,49.0167,-57.616699
"467","I131532",1994,2.1555,49.0167,-57.616699
"468","I131532",1995,2.4785,49.0167,-57.616699
"469","I131532",1996,1.834,49.0167,-57.616699
"470","I131532",1997,2.41,49.0167,-57.616699
"471","I131532",1998,2.457,49.0167,-57.616699
"472","I131532",1999,1.913,49.0167,-57.616699
"473","I131532",2000,3.319,49.0167,-57.616699
"474","I131532",2001,3.94,49.0167,-57.616699
"475","I131532",2002,2.798,49.0167,-57.616699
"476","I131532",2003,4.0415,49.0167,-57.616699
"477","I131532",2004,3.882,49.0167,-57.616699
"478","I131532",2005,4.233,49.0167,-57.616699
"479","I131532",2006,3.512,49.0167,-57.616699
"480","I131532",2007,3.3065,49.0167,-57.616699
"481","I131532",2008,3.383,49.0167,-57.616699
"482","I131532",2009,3.027,49.0167,-57.616699
"483","I131532",2010,2.644,49.0167,-57.616699
"484","I131541",1990,2.2415,49.0167,-57.616699
"485","I131541",1991,2.0685,49.0167,-57.616699
"486","I131541",1992,2.0435,49.0167,-57.616699
"487","I131541",1993,2.1815,49.0167,-57.616699
"488","I131541",1994,2.283,49.0167,-57.616699
"489","I131541",1995,3.675,49.0167,-57.616699
"490","I131541",1996,2.0985,49.0167,-57.616699
"491","I131541",1997,3.2925,49.0167,-57.616699
"492","I131541",1998,1.26,49.0167,-57.616699
"493","I131541",1999,1.0195,49.0167,-57.616699
"494","I131541",2000,2.414,49.0167,-57.616699
"495","I131541",2001,2.418,49.0167,-57.616699
"496","I131541",2002,1.1745,49.0167,-57.616699
"497","I131541",2003,2.678,49.0167,-57.616699
"498","I131541",2004,2.206,49.0167,-57.616699
"499","I131541",2005,3.3395,49.0167,-57.616699
"500","I131541",2006,2.125,49.0167,-57.616699
"501","I131541",2007,1.827,49.0167,-57.616699
"502","I131541",2008,1.861,49.0167,-57.616699
"503","I131541",2009,1.652,49.0167,-57.616699
"504","I131541",2010,1.65,49.0167,-57.616699
"505","I131551",1990,2.7625,49.0167,-57.616699
"506","I131551",1991,2.9265,49.0167,-57.616699
"507","I131551",1992,2.52,49.0167,-57.616699
"508","I131551",1993,2.668,49.0167,-57.616699
"509","I131551",1994,3.6545,49.0167,-57.616699
"510","I131551",1995,2.734,49.0167,-57.616699
"511","I131551",1996,3.383,49.0167,-57.616699
"512","I131551",1997,4.5605,49.0167,-57.616699
"513","I131551",1998,2.8175,49.0167,-57.616699
"514","I131551",1999,1.625,49.0167,-57.616699
"515","I131551",2000,2.558,49.0167,-57.616699
"516","I131551",2001,4.1375,49.0167,-57.616699
"517","I131551",2002,3.212,49.0167,-57.616699
"518","I131551",2003,2.806,49.0167,-57.616699
"519","I131551",2004,2.484,49.0167,-57.616699
"520","I131551",2005,3.529,49.0167,-57.616699
"521","I131551",2006,2.891,49.0167,-57.616699
"522","I131551",2007,3.053,49.0167,-57.616699
"523","I131551",2008,3.084,49.0167,-57.616699
"524","I131551",2009,2.2585,49.0167,-57.616699
"525","I131551",2010,1.9885,49.0167,-57.616699
"526","I131713",1990,1.511,46.2667,-60.616699
"527","I131713",1991,1.973,46.2667,-60.616699
"528","I131713",1992,1.4235,46.2667,-60.616699
"529","I131713",1993,1.5195,46.2667,-60.616699
"530","I131713",1994,1.332,46.2667,-60.616699
"531","I131713",1995,1.6855,46.2667,-60.616699
"532","I131713",1996,1.8505,46.2667,-60.616699
"533","I131713",1997,2.02,46.2667,-60.616699
"534","I131713",1998,1.3345,46.2667,-60.616699
"535","I131713",1999,1.0275,46.2667,-60.616699
"536","I131713",2000,1.7905,46.2667,-60.616699
"537","I131713",2001,2.734,46.2667,-60.616699
"538","I131713",2002,1.2845,46.2667,-60.616699
"539","I131713",2003,1.629,46.2667,-60.616699
"540","I131713",2004,1.05,46.2667,-60.616699
"541","I131713",2005,1.839,46.2667,-60.616699
"542","I131713",2006,1.355,46.2667,-60.616699
"543","I131713",2007,1.6935,46.2667,-60.616699
"544","I131713",2008,1.94,46.2667,-60.616699
"545","I131713",2009,1.6865,46.2667,-60.616699
"546","I131713",2010,1.657,46.2667,-60.616699
"547","I131723",1990,NA,46.2667,-60.616699
"548","I131723",1991,NA,46.2667,-60.616699
"549","I131723",1992,NA,46.2667,-60.616699
